eng,ne,mBART600M
The Government has taken several initiatives to break the intergenerational cycle of malnutrition in children.,बालबालिकाहरूमा कुपोषणको बिचको अन्तरक्रिया चक्र तोड्न सरकारले धेरै पहल गरेको छ।,The government has taken several initiatives to break the cycle of interaction between malnutrition in children.
"Adopting a life-cycle approach, interventions have been designed to meet the nutritional requirement of adolescent girls and boys, pregnant women, lactating mothers and children.",एक जीवन चक्र दृष्टिकोण हस्तक्षेप अपनाउने किशोर किशोरीहरू र केटाहरूलाई गर्भवती महिलालाई स्तनपान गराउने आमाहरू र बच्चाहरूको पोषण आवश्यकता पूरा गर्न डिजाइन गरिएको हो ।,A life cycle approach is designed to meet the nutritional needs of mothers and babies who are breastfeeding pregnant women and teenage boys who adopt interventions.
Awareness for Pregnancy in Preventing Anemia,रक्तअल्पता रोक्न को लागी गर्भावस्थाको लागी जागरूकता,Awareness of pregnancy to prevent anemia and to prevent anemia.
"Howrah North (U) I. C. D. S. Project, Howrah","हावडा उत्तर (यु) आईसीडीएस परियोजना, हावडा","Hawada North (Une) ICDS project, Hawada"
Birth Preparedness- For Institutional and Home Delivery,जन्म तयारी - संस्थागत र घर वितरण को लागी,Birth preparation - for institutional and home distribution.
New beneficiary addition with skip OTP option,नयाँ लाभार्थी थप्दा OTP नलगाई अगाडि जान सकिने विकल्प,The option to know before adding a new beneficiary is to opt out of the OTP.
We are now available on Video Conference,हामी अब भिडियो कन्फरेन्समा उपलब्ध छौं,We are now available via videoconference.
"Poshan Tracker App is meant for Aanganwadi workers, Anganwadi centers to enter beneficiaries data in the forms.","पोषण ट्रयाकर एपलाई लाभार्थीहरूको डाटा फाराममा लगाउ अंगनवाडी कार्यकर्ता, अंगनवाडी केन्द्रका लागि हो।","Install the Nutrition Tracker app in the beneficiaries' data form and it is for the Anganwadi worker, the Anganwadi Centre."
It is not at all developed for general public.,यो सामान्य जनताको प्रयोगका लागि होइन।,It is not for the use of the general public.
Swastha Balak/Balika Spardha Mission is about celebrating the health of children in India.,Swastha Balak/Balika Spardha Mission is about celebrating the health of children in India.,Swastha Balak/Balika Spardha Mission is about celebrating the health of children in India.
It entails identification and awareness of health conditions and providing necessary support wherever required.,It entails identification and awareness of health conditions and providing necessary support wherever required.,It involves identifying and raising awareness of health conditions and providing necessary support wherever needed.
”Our Privacy Policy applies when you use our Services (described below).,"""Our Privacy Policy applies when you use our Services (described below).","""Our Privacy Policy applies when you use our Services (described below)."
"This Privacy Policy is meant to help you understand what information we collect, why we collect it, and how it is used and shared.","This Privacy Policy is meant to help you understand what information we collect, why we collect it, and how it is used and shared.","This Privacy Policy is intended to help you understand what information we collect, why we collect it, and how it is used and shared."
The collecting and retaining agency in respect of your information is Ministry of Women and Child Development.,The collecting and retaining agency in respect of your information is Ministry of Women and Child Development.,The agency collecting and retaining your information is the Ministry of Women and Child Development.
We are committed to protecting the security of your personal information and safeguarding your privacy.,We are committed to protecting the security of your personal information and safeguarding your privacy.,We are committed to protecting the security of your personal information and safeguarding your privacy.
How to revive your health if you are Underweight,यदि तपाई कम तौल हुनुहुन्छ भने तपाईको स्वास्थ्यलाई कसरी पुनर्जीवित गर्ने,"If you are underweight, how can you restore your health?"
Can a beneficiary change his/her AWC?,के लाभार्थीले आफ्नो एडब्ल्यूसी परिवर्तन गर्न सक्नुहुन्छ?,Can the beneficiary change his or her AWS?
"We use the information we have, to help verify accounts.","हामीसँग भएको जानकारी प्रयोग गर्छौं, खाताहरू प्रमाणित गर्न मद्दत गर्न।",We use the information we have to help authenticate accounts.
The records may be used for verification of health status for the purposes of Poshan Tracker control and response.,अभिलेखहरू पोशन ट्र्याकर नियन्त्रण र प्रतिक्रियाको उद्देश्यका लागि स्वास्थ्य स्थिति प्रमाणीकरणको लागि प्रयोग गर्न सकिन्छ।,The records of the nutrition tracker can be used for health status verification for the purpose of control and response.
Scan the QR Code to Download the App,एन्ड्रोइडका लागि मात्र एप डाउनलोड गर्न स्क्यान गर्नुहोस्,Scan to download an app for Android onlyne scan to download an app for Android onlyne
Who is eligible for Hot Cooked Meal?,तातो पकाएको खानाको लागि को योग्य छ?,Who is eligible for hot-cooked meals?
Identifying and preventing Severe Acute Malnutrition,गम्भीर तीव्र कुपोषणको पहिचान र रोकथाम गर्ने,Identifying and preventing severe acute malnutrition.
Children who are identified as deficit on nutrition are eligible for additional food supplements.,पोषणमा कमीको रूपमा पहिचान गरिएका बालबालिकाहरू थप खाद्य पूरकहरूका लागि योग्य छन्।,Children who are identified as malnourished are eligible for additional food supplements.
Who is eligible for additional supplementary food.,थप पूरक खाना को लागी को योग्य छ।,Additional supplements are eligible for food.
"Uploading of Data of Anganwadi Services Schemes in Poshan Tracker (24 May, 2021)","पोषण ट्रयाकरमा आगनबाडी सेवा योजनाहरूको डेटा अपलोड (२४ मे, २०२१)","Upload data of the Agnbaadi service plans to the Nutrition Tracker (May 24, 2021)"
Children between 6 months - 3 years,६ महिना - ३ बर्षबीचका बच्चाहरू,Children between the ages of 6 months and 3 years old.
"Ministry of Women and Child Development, Government of India, Shastri Bhawan, New Delhi","महिला तथा बाल विकास मन्त्रालय, भारत सरकार, शास्त्री भवन, नयाँ दिल्ली","Ministry of Women and Child Development, Government of India, Shastri Bhawan, New Delhi"
Care of the weak newborn baby - How many weak babies are we missing?,कमजोर नवजात शिशुको हेरचाह - हामी कति कमजोर बच्चाहरू हराउँदै छौं?,Weakness-based baby care - how many vulnerable babies are we losing?
Underweight children who received Supplementary Nutrition,कम तौलका बालबालिका जसले पूरक पोषण पाएका छन्,Ne low-weight children who have received nutritional supplements.
This defense and indemnification obligation will survive this Agreement and your use of the Service and Website/App.,यो प्रतिरक्षा र क्षतिपूर्ति दायित्व यो सम्झौता र सेवा र वेबसाइट/एप को तपाईंको प्रयोग जीवित रहनेछ।,This immunity and indemnity liability will survive this agreement and your use of the service and website/app.
Identification and care of a Weak Newborn baby,कमजोर नवजात शिशुको पहिचान र हेरचाह,Identifying and caring for a vulnerable newborn baby.
1.2. Information from use of services.,1.2. सेवाहरूको प्रयोगबाट जानकारी।,1.2.ne Information from the use of the Services.
Please contact your respective Anganwadi Centre.,कृपया आफ्नो सम्बन्धित आंगनवाडी केन्द्रमा सम्पर्क गर्नुहोस्।,Please contact your respective Anganwadi Centre.ne.
GOBARDANGA I. C. D. S PROJECT(U),गोबरडंगा आईसीडीएस परियोजना (यु),The Goberdanga ICDS project (Une) is being implemented by the ICDS.
Please fill in the form below to create a new ticket.,नयाँ टिकट सिर्जना गर्न कृपया तलको फारम भर्नुहोस्।,"To create a new ticket, please fill out the form below.ne"
Anganwadi Worker will reach out to you within 48 hours.,आंगनवाडी कामदार 48 घण्टा भित्र तपाईं सम्म पुग्नेछ।,An Anganwadi worker will reach you within 48 hours.
Please note down the ticket number for future reference.,कृपया भविष्यको सन्दर्भका लागि टिकेट नम्बर नोट गर्नुहोस्।,Please note the ticket number for future reference.
Poshan Tracker is a project of Ministry of Women and Child Development.,पोषण ट्र्याकर (Poshan Tracker) महिला तथा बाल विकास मन्त्रालयद्वारा आयोजना गरिएको हो ।,Posnehan Tracker is organized by the Ministry of Women and Child Development.
Digital India Corporation is the technical partner of MoWCD.,डिजिटल इन्डिया कर्पोरेशन एमओडब्ल्युसीडी (MoWCD) को प्राविधिक साझेदार हो।,Digital India Corporation is the technical partner of MOWCD.
Poshan Tracker focuses on eradication of malnutrition from India.,पोषण ट्र्याकर (Poshan Tracker) भारतबाट कुपोषण उन्मूलनको कार्यमा केन्द्रित छ।,Posnehan Tracker is focused on eliminating malnutrition from India.
It serves as a mechanism to monitor and improvise on the service delivery under Poshan Abhiyaan,यसले पोषण अभियान अन्तर्गत सेवा प्रवाहमा अनुगमन र सुधार गर्ने संयन्त्रको रूपमा काम गर्दछ,It serves as a mechanism for monitoring and improving the flow of services under the Nutrition Campaignne.
Is poshan trackers app available over Apple I Store also?,पोषण ट्र्याकर एप एप्पल आई स्टोरमा पनि उपलब्ध छ?,Is the nutrition tracker app available on the Apple I Store as well?
Number of records becoming inactive and number of records migrating from one category to another,निष्क्रिय हुने रेकर्डहरूको संख्या र एक श्रेणीबाट अर्को श्रेणीमा सर्ने रेकर्डहरूको संख्या,The number of records that are deactivated and the number of records that are moved from one category to another.
In How many languages the Poshan Tracker App is available?,पोषण ट्र्याकर अनुप्रयोग कति भाषाहरूमा उपलब्ध छ?,How many languages is the Nutrition Tracker app available?
AWWs are requested to enter their mobile numbers in the Login screen.,AWW हरूलाई लगइन स्क्रिनमा आफ्नो मोबाइल नम्बर प्रविष्ट गर्न अनुरोध गरिन्छ।,AWWs are asked to enter their mobile number on their login screen.
"An OTP will be sent to your registered mobile number, post which you are required too set your MPIN.","एउटा OTP आफ्नो दर्ता मोबाइल नम्बर, तपाईलाई आफ्नो MPIN सेट गर्न चाहिने पोस्टमा पठाइनेछ।","An OTP will be sent to your registered mobile number, the post you need to set your MPINne."
Measles Containing vaccine (MCV)/MR-2JE-2**DiphtheriaPertussis & Tetanus (DPT)-Booster-1OPV –Booster,दादुरा युक्त खोप(एमसीवी)/एमआर -2जेई-2**भ्यागुते रोगपर्ट्युसिस र टिटानस(डीपीटी)-बोस्टर -1ओपीवी - बोस्टर,The vaccine containing the scrotum (ne MCV) /MR-2JE-2** is a booster for patients with pathogenesis and titanus (DPT) - booster -1OPV - booster.
The Poshan Tracker enables real-time monitoring and tracking of all AWCs and beneficiaries on defined indicators.,पोशन ट्रयाकरले परिभाषित सूचकहरूमा सबै एडब्ल्यूसीहरु र लाभार्थीहरूको वास्तविक-समय निगरानी र ट्र्याकिङ सक्षम बनाउँछ।,The position tracker enables real-time monitoring and tracking of all AWCs and beneficiaries across defined indicators.
It is built using centralized data architecture that also aligns with the digital technology systems of other ministries and programs.,यो केन्द्रीकृत डाटा आर्किटेक्चर प्रयोग गरेर बनाइएको हो जुन अन्य मन्त्रालय र कार्यक्रमहरूको डिजिटल प्रविधि प्रणालीहरूसँग पनि पङ्क्तिबद्ध हुन्छ।,It is built using a centralized data architecture that is aligned with the digital technology systems of other ministries and programs.
The public dashboard helps to impart transparency on services delivered to beneficiaries,सार्वजनिक ड्यासबोर्डले लाभार्थीहरूलाई प्रदान गरिएका सेवाहरूमा पारदर्शिता प्रदान गर्न मद्दत गर्दछ,Public dashboards help beneficiaries to provide transparency in the services provided.
Translations on the Poshan Tracker Portal & App Chabot are done by third party translators.,पोशन ट्रयाकर पोर्टल र एप चाबोट मा अनुवाद तेस्रो पक्ष अनुवादकहरु द्वारा गरिन्छ।,Translations into the POSsion Tracker Portal and App Keyboard are performed by third-party translators.
"While the translations are done on a best effort basis, some of the parts may be incorrect.","जबकि अनुवादहरू उत्कृष्ट प्रयासको आधारमा गरिन्छ, केही भागहरू गलत हुन सक्छन्।","While translations are made on the basis of outstanding effort, some parts may be wrong."
Certain files and other items on the website cannot be translated.,वेबसाइटमा रहेका निश्चित फाइलहरू र अन्य वस्तुहरू अनुवाद गर्न सकिँदैन।,The fixed files and other objects on the website cannot be translated.
"In addition, on translation, some applications and/or services may not function as expected, due to language barriers.","थप रूपमा, अनुवादमा, केही अनुप्रयोगहरू र/वा सेवाहरूले भाषा अवरोधहरूको कारणले अपेक्षित रूपमा काम नगर्न सक्छन्।","Furthermore, in translation, some applications and/or services may not work as expected due to language barriers."
"We are working constantly to rectify any errors, omissions, or ambiguities in the translations provided on this portal.","हामी यस पोर्टलमा प्रदान गरिएका अनुवादहरूमा कुनै त्रुटि, भूल वा अस्पष्टताहरू सुधार गर्न निरन्तर काम गरिरहेका छौं।","We are continuously working to correct any errors, errors or ambiguities in the translations provided on this portal."
"The MGRS collected primary growth data and related information from approximately 8500 children from widely different ethnic backgrounds and cultural settings (Brazil, Ghana, India, Norway, Oman and the USA)","एमजीआरएस ले व्यापक रूपमा विभिन्न जातीय पृष्ठभूमि र सांस्कृतिक सेटिङहरू (ब्राजिल, घाना, भारत, नर्वे, ओमान र यूएसए) बाट लगभग 8500 बालबालिकाहरूबाट प्राथमिक वृद्धि डेटा र सम्बन्धित जानकारी सङ्कलन गरेको छ।","MGRS has extensively collected primary growth data and related information from approximately 8500 children from various ethnic backgrounds and cultural settings (Brazil, Ghana, India, Norway, Oman and USA)."
Children of different age groups are monitored on monthly basis by AWWs.,विभिन्न उमेर समूहका बालबालिकालाई एडब्ल्यूडब्ल्यूहरु द्वारा मासिक रूपमा अनुगमन गरिन्छ।,Children of different ages are monitored monthly by the WWs.
"Health indicators like Stunting, Wasting and Underweight prevalence are measured as per WHO standards.","डब्लुएचओको मापदण्ड अनुसार स्वास्थ्य परिसूचकहरू जस्तै स्टन्टिङ, बर्बादी र कम तौलको प्रचलन मापन गरिन्छ।","According to WHO standards, health parameters such as stunting, waste and low-weight movement are measured."
Regular growth monitoring helps AWWs to provide relevant and timely assistance to children,नियमित वृद्धि अनुगमनले एडब्ल्यूडब्ल्यूहरु लाई बच्चाहरूलाई सान्दर्भिक र समयमै सहायता प्रदान गर्न मद्दत गर्छ,Regular growth monitoring helps AWWs provide children with relevant and timely support.
"Awareness for Children Stunting, Wasting to prevent malnutrition in children","बच्चाहरूमा कुपोषण रोक्न को लागी अविकसित बच्चाहरू, बर्बादका लागी जागरूकता","To prevent malnutrition in children, to prevent underdeveloped children, to raise awareness of waste."
Poshan Tracker adds new application features,पोशन ट्र्याकर (Poshan Tracker) ले नयाँ अनुप्रयोग सुविधाहरू थप्छ,Posnehan Tracker also adds new application features.
Making or Updating Home Visit Planner and Initiating home visits,गृह भ्रमण योजनाकार बनाउने वा अद्यावधिक गर्ने र गृह भ्रमणहरू सुरु गर्ने,Make or update a home tour planner and start home visits.
Poshan Calculator is designed to measure growth of the child based on standards defined by World Health Organization (WHO),पोशन क्याल्कुलेटर विश्व स्वास्थ्य संगठन (डब्ल्यूएचओ) द्वारा व्याख्या मापदण्ड आधारित बच्चाको वृद्धि मापन गर्न डिजाइन हो।,The nutrition calculator is a device designed by the World Health Organization (WHO) to measure the growth of a child based on interpretation criteria.
Migrated from one category to another,एक श्रेणीबाट अर्को श्रेणीमा सरेको छ,The person has moved from one category to another.
It usually occurs when a person has not had food of adequate quality and quantity and/or they have had frequent or prolonged illnesses,यो सामान्यतया तब हुन्छ जब एउटा व्यक्तिले पर्याप्त गुणस्तर र मात्राको खाना खाएको छैन र/वा उसलाई बारम्बार वा लामो समयसम्म रोग लागेको छ।,This usually occurs when a person does not eat enough food in sufficient quantity and quality and/or has a recurrent or prolonged illness.
Malnutrition is one of the most important challenges facing contemporary India.,कुपोषण समकालीन भारतले सामना गर्ने सबैभन्दा महत्त्वपूर्ण चुनौती मध्ये एक हो।,Malnutrition is one of the most important challenges facing contemporary India.
Nutrition is acknowledged as central to the achievement of National and Global Sustainable Development Goals.,पोषण राष्ट्रिय र वैश्विक दिगो विकास लक्ष्यहरूको उपलब्धिको केन्द्रीय मानिन्छ।,Nutrition is considered central to achieving the national and global Sustainable Development Goals.
"Optimum and appropriate nutrition is essential for women and children to survive, thrive and break the intergenerational cycle of poor health and poverty in the community.",महिला र बालबालिकाका लागि बाँच्नका लागि इष्टतम र उपयुक्त पोषण आवश्यक छ फल फलाउन र समुदायमा गरिब स्वास्थ्य र गरीबीको बीचको चक्र तोड्न।,"To survive for women and children, optimal and adequate nutrition is neededne to bear fruit and break the cycle between poor health and poverty in the community."
"Poshan Abhiyaan is India’s flagship programme to improve nutritional outcomes for children, adolescents, pregnant women and lactating mothers by leveraging technology, a targeted approach and convergence.","पोषण अभियान भनेको बच्चा, किशोरकिशोरी, गर्भिणीहरूका लागि पोषण परिणामहरू सुधार गर्ने भारतको प्रमुख कार्यक्रम हो।","The Nutrition Campaign is India's premier program to improve nutritional outcomes for children, adolescents, pregnant women."
Uploading of Data of Anganwadi Services Schemes in Poshan Tracker,पोशन ट्र्याकरमा आंगनवाडी सेवाहरूको योजना को डेटा अपलोड गर्दै,"In the position tracker, he uploads data on the plan of Anganwadi services."
The Poshan Tracker generates automated alerts to the critical last-mile beneficiaries.,पोशन ट्र्याकरले महत्वपूर्ण अन्तिम-माइल लाभार्थीहरूलाई स्वचालित सतर्कहरू उत्पन्न गर्दछ।,The position tracker generates automatic alerts to the important end-mile beneficiaries.
It also ensures efficient audit of the delivery system by documenting real time attendance of beneficiaries and duty bearers.,यसले लाभार्थी र कर्तव्य वाहकहरूको वास्तविक समय उपस्थिति कागजात गरेर वितरण प्रणालीको कुशल लेखापरीक्षण पनि सुनिश्चित गर्दछ।,It also ensures efficient auditing of the delivery system by documenting the real-time presence of beneficiaries and duty carriers.
"This management information system will help the nutrition programme to scale efficiently, thereby generating and documenting positive impact","यस व्यवस्थापन सूचना प्रणालीले पोषण कार्यक्रमलाई प्रभावकारी रूपमा मापन गर्न मद्दत गर्नेछ, जसले गर्दा सकारात्मक प्रभावहरू उत्पन्न गर्न र दस्तावेजीकरण गर्न।","This management information system will help to effectively measure the nutrition program, thereby generating and documenting positive impacts."
How can one Download Poshan Tracker App?,कसैले पोषण ट्र्याकर एप कसरी डाउनलोड गर्न सक्छन्?,How can anyone download the Nutrition Tracker app?
"Clarification regarding Cost of Smart phones (03 June, 2021)","स्मार्ट फोनहरूका मुल्यको बारेमा स्पष्टीकरण (०३ जून, २०२१)","Explanation on the price of smartphones (June 03, 2021)"
along with status update once resolved,एक पटक समाधान भएपछि अद्यावधिक स्थितिमा आउने,"Once resolved, it will be brought back to an even more up-to-date state."
"The Poshan Tracker system is regularly audited by auditors engaged by MWCD, for security and scalability of the system.",प्रणालीको सुरक्षा र स्केलेबिलिटीको लागि एमडब्ल्यूसीडी द्वारा संलग्न लेखा परीक्षकहरूद्वारा पोशन ट्र्याकर प्रणाली नियमित रूपमा लेखा परीक्षण गरिन्छ।,The position tracker system is regularly audited by the attending auditors by MWCD for the security and scalability of the system.
The records may be used for such audits.,त्यस्ता लेखापरीक्षणका लागि अभिलेखहरू प्रयोग गर्न सकिन्छ।,and records can be used for such audits.
Poshan Tracker adds new Resources on Website,पोशन ट्र्याकर ले वेबसाइट सुविधामा नयाँ स्रोतहरू थप्छ,The position tracker takes new resources to the website feature and adds them to the website feature.
"Technology under Poshan Tracker is being leveraged for dynamic identification of stunting, wasting, under-weight prevalence among children and last mile tracking of nutrition service delivery","पोशन ट्रयाकर अन्तर्गतको प्रविधिलाई बालबालिकामा स्टन्टिङ, बर्बादी, कम तौलको प्रचलन र पोषण सेवा वितरणको अन्तिम माइल ट्र्याकिङको गतिशील पहिचानको लागि प्रयोग गरिएको छ।","The technology underne Position Tracker has been used to dynamically identify stunting, waste, low-weight movement and last mile tracking of nutrition service delivery in children."
The System also takes feedback about system performance and experience.,प्रणालीले प्रणाली प्रदर्शन र अनुभवको बारेमा प्रतिक्रिया पनि लिन्छ।,The system also takes feedback about the performance and experience of the system.
"Information on name, mobile number, date of registration and health status may be used for these purposes","नाम, मोबाइल नम्बर, दर्ता मिति र स्वास्थ्य स्थिति जानकारी यी उद्देश्यका लागि प्रयोग गर्न सकिन्छ","Name, mobile number, registration date and health status informationne can be used for these purposes."
"We collect the content and other information that you provide when you use our Services, including when you sign up for an account.",तपाईंले खाताको लागि साइन अप गर्दा लगायत तपाईंले हाम्रा सेवाहरू प्रयोग गर्दा तपाईंले उपलब्ध गराउनुहुने सामग्री र अन्य जानकारी हामी सङ्कलन गर्छौं।,"We collect the content and other information you provide when you use our services, including when you sign up for an account."
"You may, however, choose not to share personal data where providing the data is optional.","तथापि, तपाईले व्यक्तिगत डेटा साझेदारी नगर्ने छनौट गर्न सक्नुहुन्छ जहाँ डेटा उपलब्ध गराउने वैकल्पिक छ।","However, you can choose not to share personal data where data provision is optional."
Tracking of services to the end beneficiary at a click of a button.,एक बटनको क्लिकमा अन्तिम लाभार्थीलाई सेवाहरूको ट्र्याकिङ।,Tracking services to the ultimate beneficiary with the click of a button.
"Services like Take Home Ration (THR) and Hot cooked Meal (HCM), vaccination for Infants and Pregnant Women","घरको राशन लिनुहोस् (टीएचआर) र तातो पकाएको खाना (एचसीएम), शिशुहरू र गर्भवती महिलाहरूको लागि खोप जस्ता सेवाहरू","Take home ration (THR) and hot cooked food (HCM), vaccines for infants and pregnant women, and other services."
"New Poshan Tracker App (13 January, 2021)","नयाँ पोषण ट्र्याकर एप (१३ जनवरी, २०२१)","A new nutrition tracker app called Ne (January 13, 2021)"
Preventing illnesses to avert Malnutrition and Death,कुपोषण र मृत्युबाट बच्नको लागि रोगहरू रोक्न,"To prevent malnutrition and death, prevent diseases."
Scan the QR Code to Download the App,एप डाउनलोड गर्न क्यूआर कोड स्क्यान गर्नुहोस्,"To download the app, scan the QR code or scan the app."
Pregnant women who received Take Home Ration (THR),घरको राशन लिनुहोस् (टीएचआर) प्राप्त गर्ने गर्भवती महिलाहरू,Ne take home ration (THR) pregnant women who receive it.
General Awareness on SAM and MAM,एसएएम र एमएएम सामान्य जागरूकता,SAM and MAM are general awareness.
"App can be accessed offline, currently daily tracking feature is available for offline data entry.Offline mode can store latest 3 days data.","सकिँदैन, कुनै पनि एपलाई मान्य इन्टरनेट जडानबिना चलाउन सकिँदैन।",No app can be run without a valid internet connection.
These organizations will not use the APIs/ No-code webpage integration to encourage or promote illegal activity or violation of third-party rights including these Terms with Poshan Tracker.,यी सङ्गठनहरूले एपीआई/ नो-कोड वेबपेज एकीकरण प्रयोग गर्दैनन् गैरकानूनी गतिविधि वा तेस्रो-पक्ष अधिकारहरूको उल्लङ्घनलाई प्रोत्साहित गर्न वा पोशन ट्र्याकरसँग यी सर्तहरू सहित।,These organizations do not use API/no-code webpage integration to encourage illegal activity or violation of third-party rights or to posture tracker including these terms.
"Pregnant Women, Lactating Mothers, Children from 6 months to 3 years and adolescent girls.","गर्भवती महिला, स्तनपान गराउने आमाहरू, 6 महिनादेखि 3 वर्षसम्मका बालबालिका र किशोरी केटीहरु।","Pregnant women, nursing mothers, children from 6 months to 3 years old and teenage girls."
