eng,kn,mBART600M
"Adopting a life-cycle approach, interventions have been designed to meet the nutritional requirement of adolescent girls and boys, pregnant women, lactating mothers and children.","ಜೀವನ ಚಕ್ರ ವಿಧಾನವನ್ನು ಅಳವಡಿಸಿಕೊಂಡು, ಹದಿಹರೆಯದ ಹುಡುಗಿಯರು ಮತ್ತು ಹುಡುಗರು, ಗರ್ಭಿಣಿಯರು, ಹಾಲುಣಿಸುವ ತಾಯಂದಿರು ಮತ್ತು ಮಕ್ಕಳ ಪೌಷ್ಠಿಕಾಂಶದ ಅಗತ್ಯವನ್ನು ಪೂರೈಸಲು ಮಧ್ಯಸ್ಥಿಕೆಗಳನ್ನು ವಿನ್ಯಾಸಗೊಳಿಸಲಾಗಿದೆ.","Adopting a lifecycle approach, interventions are designed to meet the nutritional needs of teenage girls and boys, pregnant women, nursing mothers and children."
Awareness for Pregnancy in Preventing Anemia,ರಕ್ತಹೀನತೆಯನ್ನು ತಡೆಗಟ್ಟುವಲ್ಲಿ ಗರ್ಭಾವಸ್ಥೆಯ ಬಗ್ಗೆ ಜಾಗೃತಿ,Raising awareness about pregnancy in the prevention of anaemia
"Howrah North (U) I. C. D. S. Project, Howrah","ಹೌರಾ ಉತ್ತರ (ಯು) ಐ. ಸಿ. ಡಿ. ಎಸ್. ಯೋಜನೆ, ಹೌರಾ","Howrah North (U) ICDS project, Howrah"
Birth Preparedness- For Institutional and Home Delivery,ಜನನಕ್ಕಾಗಿ ಸಿದ್ದತೆ ಸಾಂಸ್ಥಿಕ ಮತ್ತು ಮನೆ ಹೆರಿಗೆಗಾಗಿ,Preparation for birth is corporate and home delivery.
New beneficiary addition with skip OTP option,ಸ್ಕಿಪ್ OTP ಆಯ್ಕೆಯೊಂದಿಗೆ ಹೊಸ ಫಲಾನುಭವಿ ಸೇರ್ಪಡೆ,The addition of a new beneficiary with the Skynet OTP option.
We are now available on Video Conference,ನಾವು ಈಗ ವೀಡಿಯೊ ಕಾನ್ಫರೆನ್ಸ್ ನಲ್ಲಿ ಲಭ್ಯ,We are now available via videoconferencing.
"Poshan Tracker App is meant for Aanganwadi workers, Anganwadi centers to enter beneficiaries data in the forms.","ಅಂಗನವಾಡಿ ಕಾರ್ಮಿಕರು, ಅಂಗನವಾಡಿ ಕೇಂದ್ರಗಳು ಫಲಾನುಭವಿಗಳ ಡೇಟಾವನ್ನು ನಮೂನೆಗಳಲ್ಲಿ ನಮೂದಿಸಲು ಪೋಶನ್ ಟ್ರ್ಯಾಕರ್ ಅಪ್ಲಿಕೇಶನ್ ಸ್ರಿಷ್ಟಿಸಲಾಗಿದೆ.","An angnwadi worker, angnwadi centers and the position tracker app has been set up to enter the data of the beneficiaries in the forms."
It is not at all developed for general public.,ಇದು ಸಾಮಾನ್ಯ ಜನರಿಗೆ ಅಭಿವೃದ್ಧಿ ಹೊಂದಿಲ್ಲ.,It is not developed by the common people.
Swastha Balak/Balika Spardha Mission is about celebrating the health of children in India.,Swastha Balak/Balika Spardha Mission is about celebrating the health of children in India.,Swastha Balak/Balika Spardha Mission is about celebrating the health of children in India.
It entails identification and awareness of health conditions and providing necessary support wherever required.,It entails identification and awareness of health conditions and providing necessary support wherever required.,It involves identifying and raising awareness of health conditions and providing the necessary support wherever needed.
”Our Privacy Policy applies when you use our Services (described below).,"""Our Privacy Policy applies when you use our Services (described below).","""Our Privacy Policy applies when you use our Services (described below)."
"This Privacy Policy is meant to help you understand what information we collect, why we collect it, and how it is used and shared.","This Privacy Policy is meant to help you understand what information we collect, why we collect it, and how it is used and shared.","This Privacy Policy is intended to help you understand what information we collect, why we collect it, and how it is used and shared."
The collecting and retaining agency in respect of your information is Ministry of Women and Child Development.,The collecting and retaining agency in respect of your information is Ministry of Women and Child Development.,The agency that collects and retains your information is the Ministry of Women and Child Development.
We are committed to protecting the security of your personal information and safeguarding your privacy.,We are committed to protecting the security of your personal information and safeguarding your privacy.,We are committed to protecting the security of your personal information and safeguarding your privacy.
How to revive your health if you are Underweight,ನೀವು ಕಡಿಮೆ ತೂಕ ಹೊಂದಿದ್ದರೆ ನಿಮ್ಮ ಆರೋಗ್ಯವನ್ನು ಹೇಗೆ ಪುನರುಜ್ಜೀವನಗೊಳಿಸುವುದು,"If you are underweight, how can you restore your health?"
Can a beneficiary change his/her AWC?,ಒಬ್ಬ ಫಲಾನುಭವಿ ಅವನ/ಅವಳ AWC ಬದಲಾಯಿಸಬಹುದೇ?,Can a beneficiary replace his/her AWC?
"We use the information we have, to help verify accounts.",ನಾವು ನಮ್ಮ ಬಳಿ ಇರುವ ಮಾಹಿತಿಯನ್ನು ಖಾತೆಗಳನ್ನು ಪರಿಶೀಲಿಸಲು ಬಳಸುತ್ತೇವೆ.,We use the information we have to verify accounts.
The records may be used for verification of health status for the purposes of Poshan Tracker control and response.,ಪೋಷನ್ ಟ್ರ್ಯಾಕರ್ ನಿಯಂತ್ರಣ ಮತ್ತು ಪ್ರತಿಕ್ರಿಯೆಯ ಉದ್ದೇಶಗಳಿಗಾಗಿ ಆರೋಗ್ಯ ಸ್ಥಿತಿಯನ್ನು ಪರಿಶೀಲಿಸಲು ದಾಖಲೆಗಳನ್ನು ಬಳಸಬಹುದು.,Nutrition tracker can use records to check health status for control and response purposes.
Scan the QR Code to Download the App,ಅಪ್ಲಿಕೇಶನ್ ಡೌನ್ ಲೋಡ್ ಮಾಡಲು ಕ್ಯೂಆರ್ ಕೋಡ್ ಸ್ಕ್ಯಾನ್ ಮಾಡಿ,Scan the QR code to download the application.
Who is eligible for Hot Cooked Meal?,ಬಿಸಿ ಊಟಕ್ಕೆ ಯಾರು ಅರ್ಹರು?,Who deserves a hot meal?
Identifying and preventing Severe Acute Malnutrition,ತೀವ್ರ ಅಪೌಷ್ಟಿಕತೆಯನ್ನು ಗುರುತಿಸುವುದು ಮತ್ತು ತಡೆಗಟ್ಟುವುದು,Identifying and preventing acute malnutrition
Children who are identified as deficit on nutrition are eligible for additional food supplements.,ಪೌಷ್ಟಿಕಾಂಶದ ಕೊರತೆಯಿರುವ ಮಕ್ಕಳು ಹೆಚ್ಚುವರಿ ಆಹಾರ ಪಡೆಯಲು ಅರ್ಹರಾಗಿರುತ್ತಾರೆ.,Children who are malnourished are entitled to extra food.
Who is eligible for additional supplementary food.,ಹೆಚ್ಚುವರಿ ಪೂರಕ ಆಹಾರಕ್ಕಾಗಿ ಯಾರು ಅರ್ಹರು.,Who is eligible for supplemental nutrition?
"Uploading of Data of Anganwadi Services Schemes in Poshan Tracker (24 May, 2021)","ಅಂಗನವಾಡಿ ಸೇವೆಗಳ ಯೋಜನೆಗಳ ದತ್ತಾಂಶವನ್ನು ಪೋಷಣ್ ಟ್ರ್ಯಾಕರ್ ನಲ್ಲಿ ಅಪ್ ಲೋಡ್ ಮಾಡಲಾಗುತ್ತಿದೆ.(೨೪ ಮೇ, ೨೦೨೧)",The data on the projects of the Anganwadi services is being uploaded to the Nutrition Tracker.
Children between 6 months - 3 years,೬ ತಿಂಗಳ -೩ ವರ್ಷದ ನಡುವೆ ಮಕ್ಕಳು,Children between 6 months and 3 years old
"Ministry of Women and Child Development, Government of India, Shastri Bhawan, New Delhi","ಮಹಿಳಾ ಮತ್ತು ಮಕ್ಕಳ ಅಭಿವೃದ್ಧಿ ಸಚಿವಾಲಯ, ಭಾರತ ಸರ್ಕಾರ, ಶಾಸ್ತ್ರಿ ಭವನ, ನವದೆಹಲಿ","Ministry of Women and Child Development, Government of India, Shastri Bhavan, New Delhi"
Care of the weak newborn baby - How many weak babies are we missing?,ದುರ್ಬಲ ನವಜಾತ ಶಿಶುವಿನ ಆರೈಕೆ - ನಾವು ಎಷ್ಟು ದರ್ಬಲ ಮಕ್ಕಳನ್ನು ಕಳೆದುಕೊಳ್ಳುತ್ತಿದ್ದೇವೆ?,Weakness-based newborn care - how many vulnerable children are we losing?
Underweight children who received Supplementary Nutrition,ಪೂರಕ ಆಹಾರವನ್ನು ಪಡೆದಿರುವ ಕಡಿಮೆ ತೂಕದ ಮಕ್ಕಳು,Children with low weight who have been given supplemental nutrition
Identification and care of a Weak Newborn baby,ದುರ್ಬಲ ನವಜಾತ ಶಿಶುವಿನ ಗುರುತಿಸುವಿಕೆ ಮತ್ತು ಆರೈಕೆ,Identification and care of a weak newborn baby.
1.2. Information from use of services.,1.2. ಸೇವೆಗಳ ಬಳಕೆಯಿಂದ ಬರುವ ಮಾಹಿತಿ.,1.2.kn Information from the use of services.
Please contact your respective Anganwadi Centre.,ದಯವಿಟ್ಟು ನಿಮ್ಮ ಅಂಗನವಾಡಿ ಕೇಂದ್ರವನ್ನು ಸಂಪರ್ಕಿಸಿ.,Please contact your Anganwadi Centre.
GOBARDANGA I. C. D. S PROJECT(U),ಗೋಬರ್ದಂಗ ಐಸಿಡಿಎಸ್ ಪ್ರಾಜೆಕ್ಟ್(ಯು),Goberdanga is the ICDS project (U)
Please fill in the form below to create a new ticket.,ಹೊಸ ಟಿಕೆಟ್ ರಚಿಸಲು ಕೆಳಗಿನ ಫಾರ್ಮ್ ಅನ್ನು ಭರ್ತಿ ಮಾಡಿ.,"To create a new ticket, please fill out the form below."
Anganwadi Worker will reach out to you within 48 hours.,AWW 48 ಗಂಟೆಗಳ ಒಳಗೆ ನಿಮ್ಮನ್ನು ಸಂಪರ್ಕಿಸುತ್ತಾರೆ.,AWknW will contact you within 48 hours.
Please note down the ticket number for future reference.,ಭವಿಷ್ಯದ ಉಲ್ಲೇಖಕ್ಕಾಗಿ ದಯವಿಟ್ಟು ಟಿಕೆಟ್ ಸಂಖ್ಯೆ ಬರೆದಿಟ್ಟುಕೊಳ್ಳಿ.,Please note the ticket number for future reference.
Poshan Tracker is a project of Ministry of Women and Child Development.,ಪೋಶನ್ ಟ್ರ್ಯಾಕರ್ ಮಹಿಳಾ ಮತ್ತು ಮಕ್ಕಳ ಅಭಿವೃದ್ಧಿ ಸಚಿವಾಲಯದ ಒಂದು ಯೋಜನೆಯಾಗಿದೆ.,The position tracker is a project of the Ministry of Women and Child Development.
Digital India Corporation is the technical partner of MoWCD.,ಡಿಜಿಟಲ್ ಇಂಡಿಯಾ ಕಾರ್ಪೊರೇಷನ್ MoWCD ಯ ತಾಂತ್ರಿಕ ಪಾಲುದಾರ.,Digital India Corporation is a technical partner of MoWCD.
Poshan Tracker focuses on eradication of malnutrition from India.,ಭಾರತದಿಂದ ಅಪೌಷ್ಟಿಕತೆಯ ನಿರ್ಮೂಲನೆ ಬಗ್ಗೆ ಪೋಶನ್ ಟ್ರ್ಯಾಕರ್ ಗಮನಹರಿಸುತ್ತದೆ.,Position Tracker focuses on India's elimination of malnutrition from the world.
It serves as a mechanism to monitor and improvise on the service delivery under Poshan Abhiyaan,ಪೋಶನ್ ಅಭಿಯಾನದ ಅಡಿಯಲ್ಲಿ ಸೇವೆಯ ನೀಡುವ ಬಗ್ಗೆ ಮೇಲ್ವಿಚಾರಣೆ ಮಾಡಲು ಮತ್ತು ಸುಧಾರಿಸಲು ಇದು ಕಾರ್ಯವಿಧಾನವಾಗಿ ಕಾರ್ಯನಿರ್ವಹಿಸುತ್ತದೆ,It serves as a mechanism for monitoring and improving service delivery under the NPCK Positions campaign.
Is poshan trackers app available over Apple I Store also?,ಪೋಷಣ್ ಟ್ರ್ಯಾಕರ್ ಆಪ್ಪ್ ಆಪ್ಪಲ್ ಐ ಸ್ಟೋರ್ ನಲ್ಲೂ ಲಭ್ಯವಿದೆಯೇ?,Is the Nutrition Tracker app also available on the Apple Apple Store?
Number of records becoming inactive and number of records migrating from one category to another,ನಿಷ್ಕ್ರಿಯವಾಗುತ್ತಿರುವ ದಾಖಲೆಗಳ ಸಂಖ್ಯೆ ಮತ್ತು ಒಂದು ವರ್ಗದಿಂದ ಇನ್ನೊಂದಕ್ಕೆ ಸ್ಥಳಾಂತರಗೊಳ್ಳುವ ದಾಖಲೆಗಳ ಸಂಖ್ಯೆ,The number of records that are being deactivated and the number of records that are being moved from one class to another.
In How many languages the Poshan Tracker App is available?,ಪೋಷಣ್ ಟ್ರ್ಯಾಕರ್ ಅಪ್ಲಿಕೇಶನ್ ಎಷ್ಟು ಭಾಷೆಗಳಲ್ಲಿ ಲಭ್ಯವಿದೆ?,How many languages is the Nutrition Tracker app available?
AWWs are requested to enter their mobile numbers in the Login screen.,ತಮ್ಮ ಮೊಬೈಲ್ ಸಂಖ್ಯೆಯನ್ನು ಎಡಬ್ಯುಡಬ್ಲ್ಯು ಗಳು ಲಾಗಿನ್ ಪರದೆಯಲ್ಲಿ ನಮೂದಿಸಲು ವಿನಂತಿಸಲಾಗಿದೆ.,They are asked to enter their mobile number on the AWK's login screen.
"An OTP will be sent to your registered mobile number, post which you are required too set your MPIN.","ನಿಮ್ಮ ನೋಂದಾಯಿತ ಮೊಬೈಲ್ ಸಂಖ್ಯೆಗೆ ಒಟಿಪಿ ಕಳುಹಿಸಲಾಗುವುದು, ತದನಂತರ ನೀವು ನಿಮ್ಮ ಎಮ್. ಪಿನ್ ಗೊತ್ತುಪಡಿಸಬೇಕು.","An OTP will be sent to your registered mobile number, and you must then assign your M.P.N."
Measles Containing vaccine (MCV)/MR-2JE-2**DiphtheriaPertussis & Tetanus (DPT)-Booster-1OPV –Booster,ದಡಾರ ಲಸಿಕೆ (MCV)/MR-2JE-2**ಡಿಫ್ತೀರಿಯಾಪೆರ್ಟುಸಿಸ್ ಮತ್ತು ಟೆಟನಸ್ (DPT)-ಬೂಸ್ಟರ್-1OPV-ಬೂಸ್ಟರ್,The MR-2JE-2**diphtheriapertuosis and tetanus (DPT) - booster-1OPV-booster is a vaccine against the disease.
The Poshan Tracker enables real-time monitoring and tracking of all AWCs and beneficiaries on defined indicators.,ಪೋಶನ್ ಟ್ರ್ಯಾಕರ್ ಎಲ್ಲಾ AWCಗಳು ಮತ್ತು ಫಲಾನುಭವಿಗಳನ್ನು ವ್ಯಾಖ್ಯಾನಿಸಲಾದ ಸೂಚಕಗಳಲ್ಲಿ ನೈಜ-ಸಮಯದ ಮೇಲ್ವಿಚಾರಣೆ ಮತ್ತು ಟ್ರ್ಯಾಕಿಂಗ್ ಅನ್ನು ಸಕ್ರಿಯಗೊಳಿಸುತ್ತದೆ.,The position tracker enables real-time monitoring and tracking of all AWCs and beneficiaries across defined indicators.
It is built using centralized data architecture that also aligns with the digital technology systems of other ministries and programs.,"ಇದು ಕೇಂದ್ರೀಕೃತ ಡೇಟಾ ಆರ್ಕಿಟೆಕ್ಚರ್ ಅನ್ನು ಬಳಸಿಕೊಂಡು ನಿರ್ಮಿಸಲಾಗಿದೆ, ಇದು ಇತರ ಸಚಿವಾಲಯಗಳು ಮತ್ತು ವಿನ್ಯಾಸ ಕಾರ್ಯಕ್ರಮಗಳ ಡಿಜಿಟಲ್ ತಂತ್ರಜ್ಞಾನ ವ್ಯವಸ್ಥೆಗಳೊಂದಿಗೆ ಹೊಂದಾಣಿಕೆಯಾಗುತ್ತದೆ.","It is built using a centralized data architecture, which is compatible with digital technology systems of other ministries and design programs."
The public dashboard helps to impart transparency on services delivered to beneficiaries,ಸಾರ್ವಜನಿಕ ಡ್ಯಾಶ್ಬೋರ್ಡ್ ಫಲಾನುಭವಿಗಳಿಗೆ ನೀಡುವ ಸೇವೆಗಳಲ್ಲಿ ಪಾರದರ್ಶಕತೆಯನ್ನು ಒದಗಿಸಲು ಸಹಾಯ ಮಾಡುತ್ತದೆ,The public dashboard helps to provide transparency in the services provided to the beneficiaries.
Translations on the Poshan Tracker Portal & App Chabot are done by third party translators.,ಪೋಷನ್ ಟ್ರ್ಯಾಕರ್ ಪೋರ್ಟಲ್ ಮತ್ತು ಚಾಬೊಟ್ ಅಪ್ಲಿಕೇಶನ್ ಅನ್ನು ಥರ್ಡ್ ಪಾರ್ಟಿ ಅನುವಾದಕರು ಅನುವಾದಿಸಿದ್ದಾರೆ.,The Pouskn Tracker portal and the Chabot app have been translated by third party translators.
"While the translations are done on a best effort basis, some of the parts may be incorrect.","ಅನುವಾದಗಳನ್ನು ಅತ್ಯುತ್ತಮ ಪ್ರಯತ್ನದ ಆಧಾರದ ಮೇಲೆ ಮಾಡಲಾಗಿದ್ದರೂ, ಕೆಲವು ಭಾಗಗಳು ತಪ್ಪಾಗಿರಬಹುದು.","Although the best efforts have been made to translate the text, some parts may be wrong."
Certain files and other items on the website cannot be translated.,ವೆಬ್ಸೈಟ್ನಲ್ಲಿರುವ ಕೆಲವು ಫೈಲ್ಗಳು ಮತ್ತು ಇತರ ಐಟಂಗಳನ್ನು ಅನುವಾದಿಸಲಾಗುವುದಿಲ್ಲ.,Some files and other items on the website cannot be translated.
"In addition, on translation, some applications and/or services may not function as expected, due to language barriers.","ಹೆಚ್ಚುವರಿಯಾಗಿ, ಅನುವಾದದ ನಂತರ, ಭಾಷೆಯ ನಿರ್ಬಂಧಗಳ ಕಾರಣದಿಂದಾಗಿ ಕೆಲವು ಅಪ್ಲಿಕೇಶನ್ಗಳು ಮತ್ತು/ಅಥವಾ ಸೇವೆಗಳು ನಿರೀಕ್ಷೆಯಂತೆ ಕಾರ್ಯನಿರ್ವಹಿಸುವುದಿಲ್ಲ.","In addition, after translation, some applications and/or services may not work as expected due to language restrictions."
"We are working constantly to rectify any errors, omissions, or ambiguities in the translations provided on this portal.","ಈ ಪೋರ್ಟಲ್ನಲ್ಲಿ ಒದಗಿಸಲಾದ ಅನುವಾದಗಳಲ್ಲಿನ ಯಾವುದೇ ದೋಷಗಳು, ಲೋಪಗಳು ಅಥವಾ ಅಸ್ಪಷ್ಟತೆಗಳನ್ನು ಸರಿಪಡಿಸಲು ನಾವು ನಿರಂತರವಾಗಿ ಕಾರ್ಯನಿರ್ವಹಿಸುತ್ತಿದ್ದೇವೆ.","We are continuously working to correct any errors, gaps or ambiguities in the translations provided on this portal."
