eng,te,mBART600M
"Howrah North (U) I. C. D. S. Project, Howrah","హౌరా నార్త్ (యు) ఐ. సి. డి. ఎస్. ప్రాజెక్ట్, హౌరా","The Howrah North (U) ICDS project, Howrah, is located in the city of Howrah."
Birth Preparedness- For Institutional and Home Delivery,జనన సంసిద్ధత- సంస్థాగత మరియు హోమ్ డెలివరీ కొరకు,Birth prevention - for institutional and home delivery.
New beneficiary addition with skip OTP option,స్కిప్ OTP ఎంపికతో కొత్త లబ్ధిదారుని జోడింపు,Add a new beneficiary with the Skip OTP option.
We are now available on Video Conference,మేము ఇప్పుడు వీడియో కాన్ఫరెన్స్ లో అందుబాటులో ఉన్నాము,We are now available in videoconference.
"Poshan Tracker App is meant for Aanganwadi workers, Anganwadi centers to enter beneficiaries data in the forms.","పోషణ్ ట్రాకర్ యాప్ అంటే అంగన్వాడీ కార్మికులు, అంగన్వాడీ కేంద్రాలు, లబ్ధిదారుల డేటాను ఫారమ్లలో నమోదు చేయడానికి ఉద్దేశించినవి.","The app, called the PUSHNE TRACKER app, is designed to record data on the forms of Anganwadi workers, Anganwadi centres, beneficiaries."
It is not at all developed for general public.,ఇది సాధారణ ప్రజల కోసం అస్సలు అభివృద్ధి చేయబడలేదు.,It was never developed for the general public.
Swastha Balak/Balika Spardha Mission is about celebrating the health of children in India.,Swastha Balak/Balika Spardha Mission is about celebrating the health of children in India.,Swastha Balak/Balika Spardha Mission is about celebrating the health of children in India.
It entails identification and awareness of health conditions and providing necessary support wherever required.,It entails identification and awareness of health conditions and providing necessary support wherever required.,It involves identifying and raising awareness of health conditions and providing necessary support wherever needed.
”Our Privacy Policy applies when you use our Services (described below).,"""Our Privacy Policy applies when you use our Services (described below).","""Our Privacy Policy applies when you use our Services (described below)."
"This Privacy Policy is meant to help you understand what information we collect, why we collect it, and how it is used and shared.","This Privacy Policy is meant to help you understand what information we collect, why we collect it, and how it is used and shared.","This Privacy Policy is intended to help you understand what information we collect, why we collect it, and how it is used and shared."
The collecting and retaining agency in respect of your information is Ministry of Women and Child Development.,The collecting and retaining agency in respect of your information is Ministry of Women and Child Development.,The agency that collects and retains your information is the Ministry of Women and Child Development.
We are committed to protecting the security of your personal information and safeguarding your privacy.,We are committed to protecting the security of your personal information and safeguarding your privacy.,We are committed to protecting the security of your personal information and safeguarding your privacy.
How to revive your health if you are Underweight,మీరు తక్కువ బరువుతో ఉంటే మీ ఆరోగ్యాన్ని ఎలా పునరుద్ధరించాలి,"If you are underweight, how can you restore your health?"
Can a beneficiary change his/her AWC?,లబ్ధిదారుడు అతడి/ఆమె AWC ని మార్చవచ్చా?,Can the beneficiary change his/her AWC?
"We use the information we have, to help verify accounts.",ఖాతాలను ధృవీకరించడంలో సహాయపడటానికి మా వద్ద ఉన్న సమాచారాన్ని మేము ఉపయోగిస్తాము.,We use the information we have to help verify accounts.
The records may be used for verification of health status for the purposes of Poshan Tracker control and response.,పోషణ్ ట్రాకర్ కంట్రోల్ మరియు ప్రతిస్పందన యొక్క ఉద్దేశ్యాల కొరకు ఆరోగ్య స్థితిని ధృవీకరించడం కొరకు రికార్డ్ లను ఉపయోగించవచ్చు.,The nutrition tracker can use records to verify health status for control and response purposes.
Scan the QR Code to Download the App,యాప్ డౌన్ లోడ్ చేసుకోవడం కొరకు క్యూఆర్ కోడ్ స్కాన్ చేయండి,Scan the QR code to download the app.
Who is eligible for Hot Cooked Meal?,హాట్ కూకేడ్ మిల్ ఎవరు అర్హులు?,Who is eligible for a hot cooker mill?
Identifying and preventing Severe Acute Malnutrition,తీవ్రమైన పోషకాహార లోపాన్ని గుర్తించడం మరియు నిరోధించడం,Detecting and preventing severe malnutrition
Children who are identified as deficit on nutrition are eligible for additional food supplements.,పోషకాహార లోపంగా గుర్తించిన పిల్లలు అదనపు ఆహార అనుబంధాలకు అర్హులు.,Children who are diagnosed with malnutrition are eligible for additional food supplements.
Who is eligible for additional supplementary food.,అదనపు అనుబంధ ఆహారానికి ఎవరు అర్హులు.,Who are eligible for supplemental nutrition?
"Uploading of Data of Anganwadi Services Schemes in Poshan Tracker (24 May, 2021)","అంగన్ వాడీ సేవా పథకాలను పోషణ్ ట్రాకర్లో అప్లోడ్ చేయడం (24 మే, 2021)",Uploading the Anganwadi service schemes to the Nutrition Tracker (24th May 2021)
Children between 6 months - 3 years,6 నెలల -3 సంవత్సరాల మధ్య నమోదు చేసుకున్న పిల్లలు,Children registered between 6 months and 3 years of age
"Ministry of Women and Child Development, Government of India, Shastri Bhawan, New Delhi","మహిళా మరియు పిల్లల అభివృద్ధి మంత్రిత్వ శాఖ, భారత ప్రభుత్వం, శాస్త్రి భవన్, న్యూ  ిల్లీ","Ministry of Women and Child Development, Government of India, Sastri Bhavan, New Delhi, India"
Care of the weak newborn baby - How many weak babies are we missing?,బలహీనంగా ఉన్న నవజాత శిశువు యొక్క సంరక్షణ - మనం ఎంతమంది బలహీనమైన శిశువులను కోల్పోతున్నాం?,Caring for a weak newborn - how many of us are losing vulnerable babies?
Underweight children who received Supplementary Nutrition,సప్లిమెంటరీ న్యూట్రిషన్ అందుకున్న తక్కువ బరువున్న పిల్లలు,Low-weight children who received supplemental nutrition
This defense and indemnification obligation will survive this Agreement and your use of the Service and Website/App.,ఈ రక్షణ మరియు నష్టపరిహార బాధ్యత ఈ ఒప్పందం మరియు సేవ మరియు వెబ్ సైట్/యాప్ యొక్క మీ ఉపయోగం మనుగడలో ఉంటుంది.,This liability for protection and indemnity will be in place through this agreement and your use of the service and website/app.
Identification and care of a Weak Newborn baby,బలహీనమైన నవజాత శిశువును గుర్తించడం మరియు సంరక్షించడం,Identifying and protecting a newborn infant with a weakness.
1.2. Information from use of services.,1.2. సేవల యొక్క ఉపయోగం నుండి సమాచారం.,1.2. information from the use of the services.
Please contact your respective Anganwadi Centre.,దయచేసి మీ సంబంధిత అంగన్ వాడీ కేంద్రాన్ని సంప్రదించండి.,Please contact your respective Anganwadi Centre.
GOBARDANGA I. C. D. S PROJECT(U),గోబర్దంగ I ఐ. సి. డి. ఎస్. ప్రాజెక్ట్(యు),Goberdanga I is an ICDS project (U)
Please fill in the form below to create a new ticket.,కొత్త టిక్కెట్ సృష్టించడం కొరకు దయచేసి దిగువ ఫారాన్ని నింపండి.,"To create a new ticket, please fill out the form below."
Anganwadi Worker will reach out to you within 48 hours.,అంగన్ వాడీ వర్కర్ 48 గంటల్లోగా మిమ్మల్ని చేరుకుంటారు.,The Anganwadi worker will reach you within 48 hours.
Please note down the ticket number for future reference.,దయచేసి భవిష్యత్ సూచన కోసం టిక్కెట్ నంబర్ను వ్రాసి ఉంచుకోండి.,Please write down the ticket number for future reference.
Poshan Tracker is a project of Ministry of Women and Child Development.,పోషన్ ట్రాకర్ అనేది మహిళా మరియు శిశు అభివృద్ధి మంత్రిత్వ శాఖ యొక్క ప్రాజెక్ట్.,The Postion Tracker is a project of the Ministry of Women and Child Development.
Digital India Corporation is the technical partner of MoWCD.,డిజిటల్ ఇండియా కార్పొరేషన్ MoWCD యొక్క సాంకేతిక భాగస్వామి.,Digital India Corporation is the technical partner of MoWCD.
Poshan Tracker focuses on eradication of malnutrition from India.,పోషన్ ట్రాకర్ భారతదేశం నుండి పోషకాహార లోపాన్ని నిర్మూలించడంపై దృష్టి సారిస్తుంది.,The Nutrition Tracker focuses on eliminating the undernutrition from India.
It serves as a mechanism to monitor and improvise on the service delivery under Poshan Abhiyaan,పోషణ్ అభియాన్ కింద సర్వీస్ డెలివరీని పర్యవేక్షించడానికి మరియు మెరుగుపరచడానికి ఇది ఒక మెకానిజం వలె పనిచేస్తుంది,It acts as a mechanism to monitor and improve service delivery under the Poshte Abhiyan.
Is poshan trackers app available over Apple I Store also?,ఆపిల్ ఐ స్టోర్ ద్వారా పోషన్ ట్రాక్ యాప్ అందుబాటులో ఉందా?,Is the Posetion Track app available through the Apple Eye Store?
Number of records becoming inactive and number of records migrating from one category to another,నిష్క్రియంగా మారుతున్న రికార్డ్ల సంఖ్య మరియు ఒక కేటగిరీ నుండి మరో కేటగిరీకి మారుతున్న రికార్డ్ల సంఖ్య,The number of records that are inactively changing and the number of records that are changing from one category to another.
In How many languages the Poshan Tracker App is available?,పోషణ్ ట్రాకర్ యాప్ ఎన్ని భాషలలో అందుబాటులో ఉంది?,How many languages is the Nutrition Tracker app available?
AWWs are requested to enter their mobile numbers in the Login screen.,AWW లు తమ మొబైల్ నంబర్లను లాగిన్ స్క్రీన్లో నమోదు చేయాలని అభ్యర్థిస్తున్నాం.,We ask AWWs to enter their mobile numbers on the login screen.
"An OTP will be sent to your registered mobile number, post which you are required too set your MPIN.","మీ రిజిస్టర్డ్ మొబైల్ నంబర్ పోస్ట్కు OTP పంపబడుతుంది, దీనికి మీరు MPIN ని కూడా సెట్ చేయాలి.","An OTP will be sent to your registered mobile number post, for which you must also set MPIN."
Measles Containing vaccine (MCV)/MR-2JE-2**DiphtheriaPertussis & Tetanus (DPT)-Booster-1OPV –Booster,తట్టు కలిగిన వ్యాక్సిన్ (MCV)/MR-2JE-2**డిఫ్తీరియాపెర్టుసిస్ & టెటనస్ (DPT)-బూస్టర్-1OPV - బూస్టర్,The vaccine with the spleen (MCV)/MR-2teJE-2**dephthyriapertuosis & tetanus (DPT) - booster-1OPV - booster is a booster.
The Poshan Tracker enables real-time monitoring and tracking of all AWCs and beneficiaries on defined indicators.,"పోషణ్ ట్రాకర్, నిర్వచిత సూచికలపై అన్ని అంగన్ వాడీ కేంద్రాలు మరియు లబ్ధిదారుల యొక్క రియల్ టైమ్ మానిటరింగ్ మరియు ట్రాకింగ్ కు దోహదపడుతుంది.","The nutrition tracker, all Anganwadi centers and beneficiaries on defined indicators, contributes to real-time monitoring and tracking of the beneficiaries."
It is built using centralized data architecture that also aligns with the digital technology systems of other ministries and programs.,"ఇది సెంట్రలైజ్డ్ డేటా ఆర్కిటెక్చర్ ఉపయోగించి నిర్మించబడింది, ఇది ఇతర మంత్రిత్వ శాఖలు మరియు కార్యక్రమాల యొక్క డిజిటల్ టెక్నాలజీ వ్యవస్థలతో సమలేఖనం చేస్తుంది.","It is built using a centralized data architecture, which aligns with the digital technology systems of other ministries and programs."
The public dashboard helps to impart transparency on services delivered to beneficiaries,లబ్ధిదారులకు అందించే సేవలపై పారదర్శకతను అందించడానికి పబ్లిక్ డ్యాష్ బోర్డ్ సహాయపడుతుంది,The public dashboard helps to provide transparency on the services provided to the beneficiaries.
Translations on the Poshan Tracker Portal & App Chabot are done by third party translators.,పోషణ్ ట్రాకర్ పోర్టల్ మరియు యాప్ చాబోట్ పై అనువాదాలు తృతీయపక్ష అనువాదకుల ద్వారా చేయబడతాయి.,Translations on the Nutrition Tracker portal and App Chabot are done by third-party translators.
"While the translations are done on a best effort basis, some of the parts may be incorrect.","అనువాదాలు ఉత్తమ ప్రయత్న ప్రాతిపదికన చేయబడినప్పటికీ, కొన్ని భాగాలు తప్పుగా ఉండవచ్చు.","Although translations are done on the basis of best efforts, some parts may be wrong."
Certain files and other items on the website cannot be translated.,వెబ్ సైట్ లోని నిర్దిష్ట ఫైళ్లు మరియు ఇతర అంశాలను అనువదించడం సాధ్యం కాదు.,It is not possible to translate specific files and other items on the website.
"In addition, on translation, some applications and/or services may not function as expected, due to language barriers.","దీనికి అదనంగా, అనువాదంపై, భాషా అడ్డంకుల కారణంగా, కొన్ని అప్లికేషన్ లు మరియు/లేదా సర్వీసులు ఆశించిన విధంగా పనిచేయకపోవచ్చు.","In addition, on translation, due to language barriers, some applications and/or services may not work as expected."
"We are working constantly to rectify any errors, omissions, or ambiguities in the translations provided on this portal.","ఈ పోర్టల్ పై ఇవ్వబడ్డ అనువాదాల్లో ఏవైనా దోషాలు, మినహాయింపులు లేదా అస్పష్టతలను సరిదిద్దడం కొరకు మేం నిరంతరం పనిచేస్తున్నాం.","We are continuously working to correct any errors, exceptions or ambiguities in the translations provided on this portal."
"The MGRS collected primary growth data and related information from approximately 8500 children from widely different ethnic backgrounds and cultural settings (Brazil, Ghana, India, Norway, Oman and the USA)","MGRS విస్తృతంగా విభిన్న జాతి నేపథ్యాలు మరియు సాంస్కృతిక సెట్టింగ్ లు (బ్రెజిల్, ఘనా, భారతదేశం, నార్వే, ఒమన్ మరియు USA) నుండి సుమారు 8500 మంది పిల్లల నుండి ప్రాథమిక ఎదుగుదల డేటా మరియు సంబంధిత సమాచారాన్ని సేకరించింది","MGRS collected basic developmental data and related information from approximately 8,500 children from a wide range of racial backgrounds and cultural settings (Brazil, Ghana, India, Norway, Oman and the USA) from approximately 8,500 children from a wide variety of racial backgrounds and cultural settings."
Children of different age groups are monitored on monthly basis by AWWs.,విభిన్న వయస్సు గ్రూపుల పిల్లలు AWWల ద్వారా నెలవారీగా పర్యవేక్షించబడతారు.,Children of different age groups are monitored monthly by AWWs.
"Health indicators like Stunting, Wasting and Underweight prevalence are measured as per WHO standards.","స్టంటింగ్, వేస్టింగ్ మరియు తక్కువ బరువు ప్రాబల్యం వంటి ఆరోగ్య సూచికలు WHO ప్రమాణాలకు అనుగుణంగా లెక్కించబడతాయి.","Health indicators such as stunting, wasting and low-weight prevalence are calculated in accordance with WHO standards."
Regular growth monitoring helps AWWs to provide relevant and timely assistance to children,క్రమం తప్పకుండా ఎదుగుదలను పరీక్షించడం వల్ల AWWలు పిల్లలకు సరైన మరియు సకాలంలో సాయం అందించడం కొరకుసాయపడతాయి,Regular growth testing will allow AWWs to provide children with appropriate and timely support.
"Awareness for Children Stunting, Wasting to prevent malnutrition in children","పిల్లల కొరకు అవగాహన ఎదుగుదల, పిల్లల్లో పోషకాహార లోపాన్ని నిరోధించడం కొరకు వృధా చేయడం","Raising awareness for children, wasting time on preventing malnutrition in children."
Poshan Tracker adds new application features,పోషన్ ట్రాకర్ కొత్త అప్లికేషన్ ఫీచర్లను జోడిస్తుంది,The position tracker adds new application features to the application.
Making or Updating Home Visit Planner and Initiating home visits,హోమ్ విజిట్ ప్లానర్ చేయడం లేదా అప్ డేట్ చేయడం మరియు ఇంటి సందర్శనలను ప్రారంభించడం,Planning or updating a home visit and starting home visits.
Poshan Calculator is designed to measure growth of the child based on standards defined by World Health Organization (WHO),ప్రపంచ ఆరోగ్య సంస్థ (WHO) ద్వారా నిర్వచించబడ్డ ప్రమాణాల ఆధారంగా బిడ్డ ఎదుగుదలను లెక్కించడం కొరకు పోషణ్ కాలిక్యులేటర్ తాయారు చేసారు,A nutrition calculator has been developed to calculate the child's growth based on the standards defined by the World Health Organization (WHO).
Migrated from one category to another,ఒక వర్గం నుండి మరొక వర్గానికి మారి వచ్చారు,They have moved from one category to another.
It usually occurs when a person has not had food of adequate quality and quantity and/or they have had frequent or prolonged illnesses,ఒక వ్యక్తికి తగినంత నాణ్యత మరియు పరిమాణంలో ఆహారం లేనప్పుడు మరియు/లేదా వారికి తరచుగా లేదా దీర్ఘకాలిక అస్వస్థతలు ఉన్నప్పుడు ఇది సాధారణంగా సంభవిస్తుంది,This usually occurs when a person does not have enough food in sufficient quantity and quality and/or when they have frequent or chronic illnesses.
Malnutrition is one of the most important challenges facing contemporary India.,సమకాలీన భారతదేశం ఎదుర్కొంటున్న అతి ముఖ్యమైన సవాళ్లలో పోషకాహార లోపం ఒకటి.,Malnutrition is one of the most important challenges facing contemporary India.
Nutrition is acknowledged as central to the achievement of National and Global Sustainable Development Goals.,జాతీయ మరియు గ్లోబల్ సస్టైనబుల్ డెవలప్మెంట్ లక్ష్యాల సాధనకు పోషకాహారం కేంద్రంగా గుర్తించబడింది.,Nutrition has been identified as a key driver for achieving the national and global Sustainable Development Goals.
"Optimum and appropriate nutrition is essential for women and children to survive, thrive and break the intergenerational cycle of poor health and poverty in the community.","సమాజంలో పేలవమైన ఆరోగ్యం మరియు పేదరికం యొక్క మధ్యంతర చక్రాన్ని మనుగడ సాగించడానికి, వృద్ధి చెందడానికి మరియు విచ్ఛిన్నం చేయడానికి స్త్రీలు మరియు పిల్లలు సరైన మరియు తగిన పోషకాహారం అవసరం.","Women and children need proper and adequate nutrition to survive, thrive and break the cycle of poor health and poverty in society."
"Poshan Abhiyaan is India’s flagship programme to improve nutritional outcomes for children, adolescents, pregnant women and lactating mothers by leveraging technology, a targeted approach and convergence.","సాంకేతిక పరిజ్ఞానం, లక్ష్యంగా ఉన్న విధానం మరియు కలయిక ద్వారా పిల్లలు, కౌమారదశలు, గర్భిణీ స్త్రీలు మరియు పాలిచ్చే తల్లులకు పోషక ఫలితాలను మెరుగుపరిచేందుకు భారతదేశం యొక్క ప్రధాన కార్యక్రమం పోషన్ అభియాన్.","The POSHON ABIYAN is India's flagship program to improve nutritional outcomes for children, adolescents, pregnant women and nursing mothers through technology, a targeted approach and a combination."
Hot Cooked Meal (HCM) given in last 30 days,గత 30 రోజుల్లో వేడిగా వండి ఇవ్వబడిన భోజనం (హెచ్ సిఎమ్),Hot-cooked meals (HCM) in the last 30 days.
Uploading of Data of Anganwadi Services Schemes in Poshan Tracker,పోషణ్ ట్రాకర్ లో అంగన్ వాడీ సేవా పథకాల డేటాను అప్ లోడ్ చేయడం,Uploading data on the Anganwadi service plans to the Nutrition Tracker.
The Poshan Tracker generates automated alerts to the critical last-mile beneficiaries.,పోషణ్ ట్రాకర్ కీలకమైన చివరి మైలు లబ్ధిదారులకు ఆటోమేటెడ్ అలర్ట్ లను జనరేట్ చేస్తుంది.,The Nutrition Tracker generates automated alerts to key final mile beneficiaries.
It also ensures efficient audit of the delivery system by documenting real time attendance of beneficiaries and duty bearers.,లబ్ధిదారులు మరియు డ్యూటీ బేరర్ ల యొక్క రియల్ టైమ్ హాజరును డాక్యుమెంట్ చేయడం ద్వారా డెలివరీ సిస్టమ్ యొక్క సమర్థవంతమైన ఆడిట్ ని కూడా ఇది ధృవీకరిస్తుంది.,It also verifies the effective audit of the delivery system by documenting the real-time presence of beneficiaries and duty bearers.
"This management information system will help the nutrition programme to scale efficiently, thereby generating and documenting positive impact","ఈ మేనేజ్ మెంట్ ఇన్ఫర్మేషన్ సిస్టమ్ న్యూట్రిషన్ ప్రోగ్రామ్ ని సమర్థవంతంగా స్కేల్ చేయడానికి సహాయపడుతుంది, తద్వారా సానుకూల ప్రభావాన్ని జనరేట్ చేస్తుంది మరియు డాక్యుమెంట్ చేస్తుంది","This management information system helps to effectively scale the nutrition program, thereby generating and documenting a positive impact."
How can one Download Poshan Tracker App?,పోషన్ ట్రాకర్ యాప్ ని ఎలా డౌన్లోడ్ చేసుకోవచ్చు?,How can you download the Position Tracker app?
"Clarification regarding Cost of Smart phones (03 June, 2021)","స్మార్ట్ ఫోన్ల ధరల స్పష్టత (03 జూన్, 2021)",Resolution on the price of smartphones (03 June 2021)
along with status update once resolved,ఒకసారి పరిష్కరించబడిన స్థితి నవీకరణతో పాటు,"Once fixed, the status update will be added."
"The Poshan Tracker system is regularly audited by auditors engaged by MWCD, for security and scalability of the system.",సిస్టమ్ యొక్క భద్రత మరియు స్కేలబిలిటీ కొరకు MWCD ద్వారా నియమించబడ్డ ఆడిటర్ ల ద్వారా పోషణ్ ట్రాకర్ సిస్టమ్ రెగ్యులర్ గా ఆడిట్ చేయబడుతుంది.,The nutrition tracker system is regularly audited by auditors appointed by MWCD for the safety and scalability of the system.
The records may be used for such audits.,అటువంటి ఆడిట్ ల కొరకు రికార్డులను ఉపయోగించవచ్చు.,Records can be used for such audits.
Poshan Tracker adds new Resources on Website,పోషన్ ట్రాకర్ వెబ్సైట్ ఫీచర్లో కొత్త వనరులను జోడిస్తుంది,The position tracker adds new resources to the website feature.
"If this is your first time contacting us or you've lost the ticket number, please open a new ticket","ఒకవేళ మీరు మమ్మల్ని సంప్రదించడం ఇదే మొదటిసారి అయితే లేదా మీరు టిక్కెట్ నెంబరును పోగొట్టుకున్నట్లయితే, దయచేసి కొత్త టిక్కెట్ ని తెరవండి","If this is the first time you've contacted us or if you've lost your ticket number, please open a new ticket."
