eng,gu,mBART600M
We may provide law enforcement with information you provide to us related to your transactions to assist in any investigation or prosecution of you.,અમે કાયદાના અમલીકરણને તમારી કોઈપણ તપાસ અથવા કાર્યવાહીમાં મદદ કરવા માટે તમારા વ્યવહારોથી સંબંધિત તમે અમને પ્રદાન કરેલી માહિતી પ્રદાન કરી શકીએ છીએ.,We may provide information you provide to us regarding your transactions to assist law enforcement in any investigation or prosecution.
We may take legal action that we feel is appropriate.,અમને યોગ્ય લાગે તે અમે કાનૂની પગલાં લઈ શકીએ છીએ.,We can take legal action as we see fit.
Poshan Calculator helps to identify various health conditions of the child as per World Health Organization (WHO) standards,પોશન કેલ્ક્યુલેટર વર્લ્ડ હેલ્થ ઓર્ગેનાઈઝેશન (ડબ્લ્યુએચઓ) ના ધોરણો અનુસાર બાળકની વિવિધ આરોગ્ય સ્થિતિઓને ઓળખવામાં મદદ કરે છે,The dietary calculator helps identify the various health conditions of the baby according to the standards of the World Health Organization (WHO).
How to take care of weak newborn with the help of Kangaroo Mother Care,કાંગારુ મધર કેરની મદદથી નબળા નવજાતની સંભાળ કેવી રીતે રાખવી,How to care for a weak newborn with the help of Kangaru Mother Care
"Any liabilities civil or criminal, arising out of any incorrect data, shall solely lie with the concerned ASP.","કોઈપણ ખોટા ડેટાને કારણે ઉદ્ભવતી કોઈપણ જવાબદારીઓ સિવિલ અથવા ફોજદારી, ફક્ત સંબંધિત ASP પાસે જ રહેશે.","Any liability arising from any misrepresentation of data will be civil or criminal, only with the relevant ASP."
Poshan Tracker App is available over Google playstore https://play. google. com/store/apps/details?,પોષણ ટ્રેકર એપ્લિકેશન ગૂગલ પ્લે સ્ટોર https://play. google. com/store/apps/details?,The nutrition tracker app is Google Play Store https://play.google.com/store/apps/details?
Can App be accessed without internet?,શું આ એપ્લિકેશનને ઇન્ટરનેટ વિના ચલાવી શકાય છે?,Can this application be run without internet?
The Government has taken several initiatives to break the intergenerational cycle of malnutrition in children.,બાળકોમાં કુપોષણના અંતર્ગત ચક્રને તોડવા સરકારે અનેક પહેલ કરી છે.,The government of Uganda has taken several initiatives to break the cycle of malnutrition among children.
"Adopting a life-cycle approach, interventions have been designed to meet the nutritional requirement of adolescent girls and boys, pregnant women, lactating mothers and children.","જીવન ચક્રના અભિગમને અપનાવી, દખલગીરી કિશોરવયની છોકરીઓ અને છોકરાઓ, સગર્ભા સ્ત્રીઓ, સ્તનપાન કરાવતી માતાઓ અને બાળકોની પોષક જરૂરિયાતને પહોંચી વળવા માટે બનાવવામાં આવી છે.","Taking a life-cycle approach, the interventions are designed to meet the nutritional needs of teenage girls and boys, pregnant women, breastfeeding mothers and children."
Awareness for Pregnancy in Preventing Anemia,સગર્ભાવસ્થામાં એનિમિયાની અટકાયત માટે જાગૃતિ,Awareness of the delay in anaemia during pregnancy.
"Howrah North (U) I. C. D. S. Project, Howrah","હાવરા નોર્થ (યુ) આઈ. સી. ડી. એસ. પ્રોજેક્ટ, હાવરા","The Havra North (Ugu) ICDS project, Havra is located in Havra."
Birth Preparedness- For Institutional and Home Delivery,જન્મની તૈયારી- સંસ્થાકીય અને ઘરે પ્રસૂતિ માટે,Birth preparation - for institutional and home birth.
New beneficiary addition with skip OTP option,OTP વિકલ્પ ઉમેરવા સાથે નવા લાભાર્થી ઉમેરવા,Adding new beneficiaries with the addition of the OTP option.
We are now available on Video Conference,અમે હવે વીડિયો કોન્ફરન્સ પર ઉપલબ્ધ છીએ,We are now available via videoconferencing.
"Poshan Tracker App is meant for Aanganwadi workers, Anganwadi centers to enter beneficiaries data in the forms.","ફોર્મમાં લાભાર્થીઓનો ડેટા દાખલ કરવા માટે પોષણ ટ્રેકર એપ્લિકેશન, આંગણવાડી કાર્યકરો, આંગણવાડી કેન્દ્રો માટે છે.","The form for entering data of beneficiaries is for the Nutrition Tracker application, Anganwadi workers, Anganwadi centers."
It is not at all developed for general public.,તે સામાન્ય લોકો માટે બિલકુલ વિકસિત નથી.,It is not developed at all for the common people.
Swastha Balak/Balika Spardha Mission is about celebrating the health of children in India.,Swastha Balak/Balika Spardha Mission is about celebrating the health of children in India.,Swastha Balak/Balika Spardha Mission is about celebrating the health of children in India.
It entails identification and awareness of health conditions and providing necessary support wherever required.,It entails identification and awareness of health conditions and providing necessary support wherever required.,It involves identifying and raising awareness of health conditions and providing necessary support wherever needed.
”Our Privacy Policy applies when you use our Services (described below).,"""Our Privacy Policy applies when you use our Services (described below).","""Our Privacy Policy applies when you use our Services (described below)."
"This Privacy Policy is meant to help you understand what information we collect, why we collect it, and how it is used and shared.","This Privacy Policy is meant to help you understand what information we collect, why we collect it, and how it is used and shared.","This Privacy Policy is intended to help you understand what information we collect, why we collect it, and how it is used and shared."
The collecting and retaining agency in respect of your information is Ministry of Women and Child Development.,The collecting and retaining agency in respect of your information is Ministry of Women and Child Development.,The agency collecting and retaining your information is the Ministry of Women and Child Development.
We are committed to protecting the security of your personal information and safeguarding your privacy.,We are committed to protecting the security of your personal information and safeguarding your privacy.,We are committed to protecting the security of your personal information and safeguarding your privacy.
How to revive your health if you are Underweight,જો તમારું વજન ઓછું હોય તો તમારા સ્વાસ્થ્યને કેવી રીતે પુનર્જીવિત કરવું,"If you are underweight, how can you restore your health?"
Can a beneficiary change his/her AWC?,શું લાભાર્થી તેનું AWC બદલી શકે છે?,Can the beneficiary change his AWC?
"We use the information we have, to help verify accounts.",અમે અમારી પાસેની માહિતીનો ઉપયોગ એકાઉન્ટ ચકાસવામાં મદદ કરવા માટે કરીએ છીએ.,We use the information we have to help verify the account.
The records may be used for verification of health status for the purposes of Poshan Tracker control and response.,પોશન ટ્રેકર નિયંત્રણ અને પ્રતિભાવના હેતુઓ માટે આરોગ્યની સ્થિતિની ચકાસણી માટે રેકોર્ડનો ઉપયોગ કરી શકાય છે.,The records can be used to verify health status for control and immunity purposes.
Scan the QR Code to Download the App,એપ્લિકેશનને ડાઉનલોડ કરવા માટે ક્યૂઆર કોડ સ્કેન કરો,Scan the QR code to download the Gu app.
Who is eligible for Hot Cooked Meal?,ગરમ રાંધેલા ભોજન માટે કોણ પાત્ર છે?,Who is eligible for a hot-cooked meal?
Identifying and preventing Severe Acute Malnutrition,ગંભીર તીવ્ર કુપોષણની ઓળખ અને અટકાયત,Identification and detention of severe acute malnutrition
Children who are identified as deficit on nutrition are eligible for additional food supplements.,જે બાળકો પોષણની ઉણપ તરીકે ઓળખાય છે તેઓ વધારાના આહાર પૂરવણીઓ માટે પાત્ર છે.,Children who are known to be malnourished are eligible for additional dietary supplements.
Who is eligible for additional supplementary food.,વધારાના પૂરક ખોરાક માટે કોણ પાત્ર છે.,The corner is eligible for additional supplemental foods.
"Uploading of Data of Anganwadi Services Schemes in Poshan Tracker (24 May, 2021)","પોષણ ટ્રેકરમાં આંગણવાડી સેવા યોજનાઓનો માહિતી અદ્યતન કરવો (24 મે, 2021)",Updating the information on the Anganwadi service schemes in the Nutrition Tracker (24 May 2021)
Children between 6 months - 3 years,6 મહિનાથી 3 વર્ષનાં બાળકોની,Children between the ages of 6 months and 3 years old are eligible for the program.
"Ministry of Women and Child Development, Government of India, Shastri Bhawan, New Delhi","મહિલા અને બાળ વિકાસ મંત્રાલય, ભારત સરકાર, શાસ્ત્રી ભવન, નવી દિલ્હી","Ministry of Women and Child Development, Government of India, Shastri Bhavan, New Delhi"
Care of the weak newborn baby - How many weak babies are we missing?,નબળા નવજાત બાળકની સંભાળ - આપણાથી કેટલા નબળા બાળકો છુટી જાય છે?,Wealthy newborn care - how many vulnerable children do we lose?
Underweight children who received Supplementary Nutrition,પૂરક પોષણ મેળવનાર ઓછા વજનવાળા બાળકો,Low-weight children who receive nutritional supplements
Identification and care of a Weak Newborn baby,નબળા નવજાત શિશુની ઓળખ અને સંભાળ,Identification and care of vulnerable newborns
1.2. Information from use of services.,1.2. સેવાઓના ઉપયોગની માહિતી.,1.2.gu Information on the use of the services.
Please contact your respective Anganwadi Centre.,કૃપા કરીને તમારા સંબંધિત આંગણવાડી કેન્દ્રનો સંપર્ક કરો.,Please contact your respective Anganwadi Centre.
GOBARDANGA I. C. D. S PROJECT(U),ગોબરદંગા આઈ. સી. ડી. એસ. પ્રોજેક્ટ (યુ),The Goberdanga I.C.D.S. project (U) is being implemented in the state.
Please fill in the form below to create a new ticket.,નવી ટિકિટ બનાવવા માટે કૃપા કરીને નીચેનું ફોર્મ ભરો.,"To create a new ticket, please fill out the form below."
Anganwadi Worker will reach out to you within 48 hours.,આંગણવાડી કાર્યકર 48 કલાકની અંદર તમારો સંપર્ક કરશે.,An Anggu Anganwadi worker will contact you within 48 hours.
Please note down the ticket number for future reference.,ભવિષ્યના સંદર્ભ માટે કૃપા કરીને ટિકિટ નંબરની નોંધ કરી લો,"For future reference, please note the ticket number."
Is poshan trackers app available over Apple I Store also?,શું પોષણ ટ્રેક્સ એપ્લિકેશન એપલ આઇ સ્ટોર ઉપર પણ ઉપલબ્ધ છે?,Is the Nutrition Tracks app also available on the Apple Eye Store?
Number of records becoming inactive and number of records migrating from one category to another,સંખ્યાબંધ રેકોર્ડ્સ નિષ્ક્રીય બની રહ્યો છે અને સંખ્યાબંધ રેકોર્ડ એક કેટેગરીમાંથી અન્ય કેટેગરીમાં સ્થળાંતરીત થઈ રહેલ છે,A number of records are becoming inactive and a number of records are being moved from one category to another.
In How many languages the Poshan Tracker App is available?,પોષણ ટ્રેકર એપ્લિકેશન કેટલી ભાષાઓમાં ઉપલબ્ધ છે?,How many languages is the Nutrition Tracker app available in?
AWWs are requested to enter their mobile numbers in the Login screen.,આંગણ વાડી કાર્યકરોને લૉગિન સ્ક્રીન પર તેમનો મોબાઇલ નંબર દાખલ કરવા માટે વિનંતી કરવામાં આવે છે.,The employees of the Aganwadi are asked to enter their mobile number on the login screen.
"An OTP will be sent to your registered mobile number, post which you are required too set your MPIN.","તમારા નોંધાવેલ મોબાઇલ નંબર પર એક ઓટીપી મોકલવામાં આવશે, ત્યાર પછી કે તમને એમપિન સેટ કરવું પડશે.","An OTPgu will be sent to your registered mobile number, after which you will have to set up the MPIN."
Measles Containing vaccine (MCV)/MR-2JE-2**DiphtheriaPertussis & Tetanus (DPT)-Booster-1OPV –Booster,ઓરી ધરાવતી રસી (MCV)/MR-2JE-2**ડિપ્થેરિયાપેર્ટુસિસ એન્ડ ટેટેનસ (ડીપીટી)-બૂસ્ટર-1OPV - બૂસ્ટર,The urine-containing vaccine (MCV)/MR-2JE-2**** is a booster for diphtheria pertussis and tetanus (DPT) - booster-1OPV - booster
The Poshan Tracker enables real-time monitoring and tracking of all AWCs and beneficiaries on defined indicators.,પોશન ટ્રેકર નિર્ધારિત સૂચકાંકો પર તમામ AWC અને લાભાર્થીઓનું રીઅલ-ટાઇમ મોનિટરિંગ અને ટ્રેકિંગ સક્ષમ કરે છે.,The POSTION TRACKER enables real-time monitoring and tracking of all AWCs and beneficiaries on specified indicators.
It is built using centralized data architecture that also aligns with the digital technology systems of other ministries and programs.,તે કેન્દ્રિય ડેટા આર્કિટેક્ચરનો ઉપયોગ કરીને બનાવવામાં આવ્યું છે જે અન્ય મંત્રાલયો અને પ્રોગ્રામ્સની ડિજિટલ ટેક્નોલોજી સિસ્ટમ્સ સાથે પણ ગોઠવે છે.,It is designed using a centralized data architecture that also coordinates other ministries and programs with digital technology systems.
The public dashboard helps to impart transparency on services delivered to beneficiaries,સાર્વજનિક ડેશબોર્ડ લાભાર્થીઓને આપવામાં આવતી સેવાઓમાં પારદર્શિતા લાવવામાં મદદ કરે છે,The public dashboard helps to bring transparency to the services provided to the beneficiaries.
Translations on the Poshan Tracker Portal & App Chabot are done by third party translators.,પોશન ટ્રેકર પોર્ટલ અને એપ ચાબોટ પરના અનુવાદો તૃતીય પક્ષ અનુવાદકો દ્વારા કરવામાં આવે છે.,Translations on the PUSHON TRACKER portal and App Keyboard are done by third-party translators.
"While the translations are done on a best effort basis, some of the parts may be incorrect.","જ્યારે અનુવાદો શ્રેષ્ઠ પ્રયાસના આધારે કરવામાં આવે છે, ત્યારે કેટલાક ભાગો ખોટા હોઈ શકે છે.","When translations are done on the basis of best practice, some parts may be incorrect."
Certain files and other items on the website cannot be translated.,વેબસાઇટ પરની અમુક ફાઇલો અને અન્ય વસ્તુઓનું ભાષાંતર કરી શકાતું નથી.,Some files and other items on the website cannot be translated.
"In addition, on translation, some applications and/or services may not function as expected, due to language barriers.","વધુમાં, ભાષાંતર પર, કેટલીક એપ્લિકેશનો અને/અથવા સેવાઓ ભાષા અવરોધોને લીધે, અપેક્ષા મુજબ કાર્ય કરી શકશે નહીં.","In addition, on translation, some applications and/or services may not work as expected due to language barriers."
"We are working constantly to rectify any errors, omissions, or ambiguities in the translations provided on this portal.","અમે આ પોર્ટલ પર પ્રદાન કરવામાં આવેલ અનુવાદોમાં કોઈપણ ભૂલો, ભૂલો અથવા અસ્પષ્ટતાઓને સુધારવા માટે સતત કામ કરી રહ્યા છીએ.","We are constantly working to correct any errors, errors or ambiguities in the translations provided on this portal."
"The MGRS collected primary growth data and related information from approximately 8500 children from widely different ethnic backgrounds and cultural settings (Brazil, Ghana, India, Norway, Oman and the USA)","MGRS એ વ્યાપકપણે વિવિધ વંશીય પૃષ્ઠભૂમિ અને સાંસ્કૃતિક સેટિંગ્સ (બ્રાઝિલ, ઘાના, ભારત, નોર્વે, ઓમાન અને યુએસએ) ના આશરે 8500 બાળકો પાસેથી પ્રાથમિક વૃદ્ધિ ડેટા અને સંબંધિત માહિતી એકત્રિત કરી","MGRS extensively collected primary growth data and related information from approximately 8500 children from various ethnic backgrounds and cultural settings (Brazil, Ghana, India, Norway, Oman and USA)"
Children of different age groups are monitored on monthly basis by AWWs.,AWWs દ્વારા વિવિધ વય જૂથોના બાળકોનું માસિક ધોરણે નિરીક્ષણ કરવામાં આવે છે.,AWWs monitor children of different age groups on a monthly basis.
"Health indicators like Stunting, Wasting and Underweight prevalence are measured as per WHO standards.","સ્વાસ્થ્ય સૂચકાંકો જેમ કે સ્ટંટિંગ, વેસ્ટિંગ અને ઓછા વજનનો વ્યાપ WHO ના ધોરણો મુજબ માપવામાં આવે છે.","Health indicators such as stunting, weight loss and light weight are measured according to WHO standards."
Regular growth monitoring helps AWWs to provide relevant and timely assistance to children,નિયમિત વૃદ્ધિની દેખરેખ AWW ને બાળકોને સંબંધિત અને સમયસર સહાય પૂરી પાડવામાં મદદ કરે છે,Regular growth monitoring helps AWW provide relevant and timely support to children.
"Awareness for Children Stunting, Wasting to prevent malnutrition in children","બાળકોમાં કુપોષણને રોકવા માટે બાળકોના સ્ટંટિંગ, વેસ્ટિંગ અંગે જાગૃતિ","Raising awareness about child stunts, wasting, and malnutrition prevention in children."
Poshan Tracker adds new application features,પોષણ ટ્રેકર નવા એપ્લિકેશનની વિશેષતા ઉમેરી,Nutrition tracker added a new feature to the app.
Making or Updating Home Visit Planner and Initiating home visits,ગૃહ મુલાકાતનું આયોજન બનાવવું અથવા અપડેટ કરવું અને ગૃહ મુલાકાત શરૂ કરવી,Plan or update a home visit and start a home visit.
Poshan Calculator is designed to measure growth of the child based on standards defined by World Health Organization (WHO),વર્લ્ડ હેલ્થ ઓર્ગનાઈઝેશન(WHO) દ્વારા નિર્ધારિત ધોરણોના આધારે બાળકના વિકાસને માપવા માટે પોષણ કેલ્ક્યુલેટર ની રચના કરવામાં આવેલ છે,A nutrition calculator has been designed to measure a child's development based on standards set by the World Health Organization (WHO).
Migrated from one category to another,એક કેટેગરીમાંથી અન્ય કેટેગરીમાં સ્થળાંતરીત થયેલ,Migration from one category to another category.
It usually occurs when a person has not had food of adequate quality and quantity and/or they have had frequent or prolonged illnesses,તે સામાન્ય રીતે ત્યારે થાય છે જ્યારે વ્યક્તિએ પર્યાપ્ત ગુણવત્તા અને માત્રામાં ખોરાક ન લીધો હોય અને/અથવા તેને વારંવાર અથવા લાંબા સમય સુધી બીમારીઓ હોય,It usually occurs when a person has not eaten enough food of sufficient quality and quantity and/or has frequent or prolonged illnesses.
"Poshan Abhiyaan is India’s flagship programme to improve nutritional outcomes for children, adolescents, pregnant women and lactating mothers by leveraging technology, a targeted approach and convergence.","બાળકો, કિશોરો, સગર્ભાઓ માટેના પોષક પરિણામોને સુધારવા માટે, પોશણ અભિયાન એ ભારતનો મુખ્ય કાર્યક્રમ છે.","The Pushana Mission is India's flagship program to improve nutritional outcomes for children, adolescents, and pregnant women."
Hot Cooked Meal (HCM) given in last 30 days,પાછલા 30 દિવસમા દેવામા આવેલ ગરમ રાંધેલ ભોજન (HCM),Hot cooked meals (HCM) that have been owed over the past 30 days.
Uploading of Data of Anganwadi Services Schemes in Poshan Tracker,પોષણ ટ્રેકરમાં આંગણવાડી સેવાઓને લગતી યોજનાઓના ડેટા અપલોડ કરવો,Uploading data on schemes related to Anganwadi services to the Nutrition Tracker.
The Poshan Tracker generates automated alerts to the critical last-mile beneficiaries.,પોશન ટ્રેકર છેલ્લા માઈલના મહત્ત્વના લાભાર્થીઓને સ્વયંસંચાલિત ચેતવણીઓ જનરેટ કરે છે.,The POSHON TRACKER automatically generates alerts to the important beneficiaries of the last mile.
It also ensures efficient audit of the delivery system by documenting real time attendance of beneficiaries and duty bearers.,તે લાભાર્થીઓ અને ફરજ ધારકોની વાસ્તવિક સમયની હાજરીનું દસ્તાવેજીકરણ કરીને ડિલિવરી સિસ્ટમનું કાર્યક્ષમ ઓડિટ પણ સુનિશ્ચિત કરે છે.,It also ensures an efficient audit of the delivery system by documenting the real-time presence of beneficiaries and duty holders.
"This management information system will help the nutrition programme to scale efficiently, thereby generating and documenting positive impact","આ વ્યવસ્થાપન માહિતી પ્રણાલી પોષણ કાર્યક્રમને કાર્યક્ષમ રીતે માપવામાં મદદ કરશે, જેનાથી હકારાત્મક અસર પેદા થશે અને તેનું દસ્તાવેજીકરણ થશે","This management information system will help to efficiently measure the nutrition program, which will have a positive impact and be documented."
How can one Download Poshan Tracker App?,પોષણ ટ્રેકર એપ્લિકેશન કેવી રીતે ડાઉનલોડ કરી શકાય છે?,How can the Nutrition Tracker app be downloaded?
"Clarification regarding Cost of Smart phones (03 June, 2021)","સ્માર્ટ ફોનની કિંમત અંગે સ્પષ્ટતા (03 જૂન, 2021)","Clarification of the price of the smartphone (June 03, 2021)"
along with status update once resolved,એક વખત ઉકેલ મેળવી લેવામાં આવે એટલે સ્ટેટસ અપડેટેડ,"Once the solution is obtained, the status is updated."
"The Poshan Tracker system is regularly audited by auditors engaged by MWCD, for security and scalability of the system.",સિસ્ટમની સુરક્ષા અને માપનીયતા માટે MWCD દ્વારા રોકાયેલા ઓડિટર્સ દ્વારા પોશન ટ્રેકર સિસ્ટમનું નિયમિતપણે ઓડિટ કરવામાં આવે છે.,The POSSON TRACKER system is regularly audited by auditors hired by MWCD for security and scalability of the system.
The records may be used for such audits.,આવા ઓડિટ માટે રેકોર્ડનો ઉપયોગ થઈ શકે છે.,Records may be used for such audit.
Poshan Tracker adds new Resources on Website,વેબસાઈટની વિશેષતા અંગે પોષણ ટ્રેકર નવા સંશાધનો ઉમેરે છે,Nutrition tracker adds new resources to the website's specialty.
"Technology under Poshan Tracker is being leveraged for dynamic identification of stunting, wasting, under-weight prevalence among children and last mile tracking of nutrition service delivery","પોશાન ટ્રેકર હેઠળની ટેક્નોલોજીનો ઉપયોગ બાળકોમાં સ્ટંટિંગ, વેડિંગ, ઓછા વજનની ગતિશીલ ઓળખ અને પોશાન સેવા વિતરણના છેલ્લા માઇલ ટ્રેકિંગ માટે કરવામાં આવે છે","The technology under the Poshan Tracker is used to track stunting, weddings, dynamic identification of lightweight children and the last mile of delivery of the Poshan service among children."
The System also takes feedback about system performance and experience.,સિસ્ટમ સિસ્ટમની કામગીરી અને અનુભવ વિશે પ્રતિસાદ પણ લે છે.,The system also takes feedback about the performance and experience of the system.
"Information on name, mobile number, date of registration and health status may be used for these purposes","આ હેતુઓ માટે નામ, મોબાઇલ નંબર, નોંધણીની તારીખ અને આરોગ્યની સ્થિતિ વિશેની માહિતીનો ઉપયોગ કરી શકાય છે","For these purposes, information about name, mobile number, date of registration and health status may be used."
"We collect the content and other information that you provide when you use our Services, including when you sign up for an account.","જ્યારે તમે અમારી સેવાઓનો ઉપયોગ કરો છો ત્યારે અમે સામગ્રી અને અન્ય માહિતી એકત્રિત કરીએ છીએ, જેમાં તમે એકાઉન્ટ માટે સાઇન અપ કરો ત્યારે પણ સમાવેશ થાય છે.","When you use our services, we collect content and other information, including when you sign up for an account."
"You may, however, choose not to share personal data where providing the data is optional.","જો કે, તમે વ્યક્તિગત ડેટા શેર ન કરવાનું પસંદ કરી શકો છો જ્યાં ડેટા આપવો વૈકલ્પિક હોય.","However, you can choose not to share personal data where data is optional."
Tracking of services to the end beneficiary at a click of a button.,એક બટનના ક્લિક પર અંતિમ લાભાર્થી સુધીની સેવાઓનું ટ્રેકિંગ.,Tracking services to the ultimate beneficiary with the click of a button.
"Services like Take Home Ration (THR) and Hot cooked Meal (HCM), vaccination for Infants and Pregnant Women","ટેક હોમ રાશન (THR) અને હોટ કૂક મીલ(HCM), શિશુઓ અને સગર્ભા સ્ત્રીઓ માટે રસીકરણ જેવી સેવાઓ","Tech Home Ration (THR) and Hot Cooking Mill (HCM), services such as vaccination for infants and pregnant women."
"New Poshan Tracker App (13 January, 2021)","નવી પોશણ ટ્રેકર એપ્લિકેશન (13 જાન્યુઆરી, 2021)","The new fashion tracker app (January 13, 2021) is available on the market."
Preventing illnesses to avert Malnutrition and Death,કુપોષણ અને મૃત્યુને ટાળવા માટે બિમારીઓને અટકાવવી,Preventing diseases to prevent malnutrition and death.
Scan the QR Code to Download the App,એપ ડાઉનલોડ કરવા માટે QR કોડ સ્કેન કરો,Scan the QR code to download the app.
Pregnant women who received Take Home Ration (THR),ટેક હોમ રાશન (THR) મેળવનાર સગર્ભા સ્ત્રીઓ,Pregnant women who receive a Tech Home Ration (THR)
General Awareness on SAM and MAM,SAM અને MAM પર સામાન્ય જાગૃતિ,General awareness on SAMgu and MAM
"App can be accessed offline, currently daily tracking feature is available for offline data entry.Offline mode can store latest 3 days data.","ના, એપ્લિકેશન માન્ય ઇન્ટરનેટ કનેક્શન વિના કાર્ય કરશે નહીં.","No, the app will not work without a valid Internet connection."
These organizations will not use the APIs/ No-code webpage integration to encourage or promote illegal activity or violation of third-party rights including these Terms with Poshan Tracker.,આ સંસ્થાઓ પોશન ટ્રેકર સાથેની આ શરતો સહિતની ગેરકાયદેસર પ્રવૃત્તિ અથવા તૃતીય-પક્ષ અધિકારોના ઉલ્લંઘનને પ્રોત્સાહિત કરવા અથવા પ્રોત્સાહન આપવા APIs/ નો-કોડ વેબપેજ એકીકરણનો ઉપયોગ કરશે નહીં.,"These organizations will not use API/no-code webpage integration to promote or promote illegal activity or violation of third-party rights, including these terms and conditions with the Postion Tracker."
"Pregnant Women, Lactating Mothers, Children from 6 months to 3 years and adolescent girls.","સગર્ભા સ્ત્રીઓ, સ્તનપાન કરાવતી માતાઓ, 6 મહિનાથી 3 વર્ષ સુધીના બાળકો અને કિશોરીઓ.","Pregnant women, nursing mothers, children and adolescents from 6 months to 3 years old."
