eng,as,mBART600M
How to revive your health if you are Underweight,যদি আপুনি কম ওজনৰ আপোনাৰ স্বাস্থ্য কেনেদৰে পুনৰুদ্ধাৰ কৰিব,"If you are a low-weight person, how can you restore your health?"
Can a beneficiary change his/her AWC?,এগৰাকী হিতাধিকাৰীযে তেওঁৰ AWC সলনি কৰিব পাৰে নে?,A beneficiary who can change his AWC?
"We use the information we have, to help verify accounts.","আমি একাউন্ট সমূহ সত্যাপন কৰাত সহায কৰিবলৈ, আমাৰ ওচৰত থকা তথ্য সমূহ ব্যৱহাৰ কৰো।",We use the information we have to help authenticate accounts.
The records may be used for verification of health status for the purposes of Poshan Tracker control and response.,ৰেকৰ্ড সমূহ পোষণ ট্ৰেকাৰ নিযন্ত্ৰণ আৰু সঁহাৰিৰ উদ্দেশ্যে স্বাস্থ্যৰ স্থিতি সত্যাপন কৰিবলৈ ব্যৱহাৰ কৰা হ'ব পাৰে।,The records can be used to verify health status for pollution tracker control and evacuation purposes.
Scan the QR Code to Download the App,এপ্পটো ডাউনলোড কৰিবলৈ কিউআৰ কোড স্কেন কৰক,Scan the QR code to download the app.
Who is eligible for Hot Cooked Meal?,হ'ট কুকড মীলৰ বাবে কোন যোগ্য?,Who qualifies for the hot cooked meal?
Identifying and preventing Severe Acute Malnutrition,জটিল তীব্ৰ বিষমপুষ্টি চিনাক্ত কৰা আৰু বাধা দিযা,Identifying and preventing complex acute toxicity.
Children who are identified as deficit on nutrition are eligible for additional food supplements.,শিশু সকল যি পুষ্টিৰ অভাৱত ভোগা বুলি চিনাক্ত হৈছে তেওঁলোক অতিৰিক্ত খাদ্যৰ পৰিপূৰকৰ বাবে যোগ্য।,Children who are diagnosed as malnourished are eligible for supplemental nutrition.
Who is eligible for additional supplementary food.,অতিৰিক্ত পৰিপূৰক খাদ্যৰ বাবে কোন যোগ্য।,As no one qualifies for supplemental nutrition.
"Uploading of Data of Anganwadi Services Schemes in Poshan Tracker (24 May, 2021)","পোষাণ ট্ৰেকাৰত অংগনৱাডী সেৱা আঁচনিৰ তথ্য আপলোড কৰা ( ২৪ মে, ২০২১)","Uploaded details of the Anganwadi service scheme to the Kosan Tracker (May 24, 2021)"
Children between 6 months - 3 years,চিলড্রেন বেটোফেন ৬ মাস-৩ ইযার্স,Children's Bethofen 6 months to 3 years
"Ministry of Women and Child Development, Government of India, Shastri Bhawan, New Delhi","মহিলা আৰু শিশু বিকাশ মন্ত্ৰালয, ভাৰত চৰকাৰ, শাস্ত্ৰী ভৱন,","Ministry of Women and Child Development, Government of India, Shastri Bhavan,"
Care of the weak newborn baby - How many weak babies are we missing?,দূৰ্বল নৱজাতকৰ যত্ন - কিমান দূৰ্বল কেচুৱাক আমি হেৰুৱাই আহিছো?,Caring for vulnerable newborns - how many vulnerable children have I lost?
Underweight children who received Supplementary Nutrition,কম ওজনৰ শিশু যি পৰিপূৰক পুষ্টি লাভ কৰিছে,A low-weight baby who has been given a nutritional supplement.
This defense and indemnification obligation will survive this Agreement and your use of the Service and Website/App.,এই প্ৰতিৰক্ষা আৰু ক্ষতিপূৰণৰ বাধ্যবাধকতাই এই চুক্তি আৰু সেৱা আৰু ৱেবচাইট/ এপৰ আপোনাৰ ব্যৱহাৰ অক্ষুন্ন ৰাখিব।,This protection and indemnity obligation will keep your use of this agreement and services and the website/app intact.
Identification and care of a Weak Newborn baby,এগৰাকী দূৰ্বল নৱজাতকৰ চিনাক্তকৰণ আৰু যতন,Identifying and caring for a vulnerable newborn
1.2. Information from use of services.,1.2. সেৱা সমূহৰ ব্যৱহাৰৰ পৰা তথ্য।,1.2.as information from the use of the services.
Please contact your respective Anganwadi Centre.,অনুগ্ৰহ কৰি আপোনাৰ সংশ্লিষ্ট অংগনৱাডী কেন্দ্ৰত যোগাযোগ কৰক।,Please contact your respective Anganwadi Centre.
GOBARDANGA I. C. D. S PROJECT(U),গোবৰদাঙ্গা আই. চি. ডি. এছ. প্ৰকল্প (ইউ),The Gowardanga IAS CIDS project (EU) is being implemented.
Please fill in the form below to create a new ticket.,এটা নতুন টিকত প্ৰস্তুত কৰিবলৈ তলত দিযা ফৰ্মখন অনুগ্ৰহ কৰি পূৰ কৰা।,"To prepare a new ticket, please complete the form below."
Anganwadi Worker will reach out to you within 48 hours.,অংগনৱাডী কৰ্মীসকল 48 ঘন্টাৰ ভিতৰত আপোনাৰ ওচৰত আহি পাব।,The Anganwadi workers will be there within 48 hours.
Please note down the ticket number for future reference.,অনুগ্ৰহ কৰি ভৱিষ্যতৰ প্ৰসংগৰ বাবে টিকট নম্বৰটো মন কৰিব।,Please note the ticket number for future reference.
Poshan Tracker is a project of Ministry of Women and Child Development.,পোশান ট্ৰেকাৰ হৈছে মহিলা আৰু শিশু বিকাশ মন্ত্ৰালযৰ এটা প্ৰকল্প।,Dress trackers are a project of the Ministry of Women and Child Development.
Digital India Corporation is the technical partner of MoWCD.,ডিজিটেল ইণ্ডিযা কৰ্পোৰেচন হৈছে এমঅ'ডব্লিউচিডিৰ কাৰিকৰী অংশীদাৰ।,Digital India Corporation is the technical partner of MO'WCD.
Poshan Tracker focuses on eradication of malnutrition from India.,পোশান ট্ৰেকাৰে ভাৰতৰ পৰা পুষ্টিহীনতা নিৰ্মূলৰ ওপৰত গুৰুত্ব আৰোপ কৰিছে।,Dress trackers have been focusing on eliminating malnutrition from India.
It serves as a mechanism to monitor and improvise on the service delivery under Poshan Abhiyaan,ই পোশান অভিযানৰ অধীনত সেৱা প্ৰদান নিৰীক্ষণ আৰু উন্নত কৰাৰ এক প্ৰণালী হিচাপে কাম কৰে,The e-Gas campaign serves as a mechanism for monitoring and improving service delivery under the E-Gas campaign.
Is poshan trackers app available over Apple I Store also?,পোচান ট্ৰেকএপটো এপল আই ষ্টোৰত উপলব্ধ নেকি?,Is the Pochan TrackApt available on the Apple I Store?
Number of records becoming inactive and number of records migrating from one category to another,নিষ্ক্ৰিয হৈ পৰা ৰেকৰ্ডৰ সংখ্যা আৰু এটা শ্ৰেণীৰ পৰা আন এটা শ্ৰেণীলৈ প্ৰব্ৰজন কৰা ৰেকৰ্ডৰ সংখ্যা,The number of records that are inactive and the number of records that have moved from one class to another.
In How many languages the Poshan Tracker App is available?,কেইটা ভাষাত পোষণ ট্ৰেকাৰ এপ উপলব্ধ?,In which languages is the poshanas tracker app available?
AWWs are requested to enter their mobile numbers in the Login screen.,লগইন স্ক্ৰীনত তেওঁলোকৰ ম'বাইল নম্বৰসমূহ ভৰ্তি ককৰিবলৈ AWWক অনুৰোধ কৰা হৈছে।,AWWs are being asked to enter their mobile numbers on the login screen.
"An OTP will be sent to your registered mobile number, post which you are required too set your MPIN.","আপোনাৰ পঞ্জীভুক্ত ম'বাইল নম্বৰটোলৈ এটা OTP প্ৰেৰণ কৰা হ'ব, যিটো আপোনাৰ MPIN স্থাপন কৰিবলৈ প্ৰযোজন হ'ব।","An OTP will be sent to your registered mobile number, which will be used to set up your MPIN."
Measles Containing vaccine (MCV)/MR-2JE-2**DiphtheriaPertussis & Tetanus (DPT)-Booster-1OPV –Booster,সৰু আই যুক্ত ভেকচিন (MCV)/MR-2JE-2**ডিফথেৰিযাপাৰ্টুছিচ আৰু টিটেনাছ (DPT)-বুষ্টাৰ-1OPV -বুষ্টাৰ,Small-eyed vaccines (MCV)/MR-2JE-2**diphtheriapartucci and titanus (DPT) -booster-1OPV -booster are also included.
The Poshan Tracker enables real-time monitoring and tracking of all AWCs and beneficiaries on defined indicators.,পোষণ ট্ৰেকাৰে সংজ্ঞাযিত ইণ্ডিকেটৰৰ ওপৰত সকলো AWC আৰু হিতাধিকাৰীসকলৰ বাস্তৱ-সমযত নিৰীক্ষণ আৰু ট্ৰেকিং সক্ৰিয কৰি তোলে।,The nutrient tracker enables real-time monitoring and tracking of all AWCs and beneficiaries on the defined indicator.
It is built using centralized data architecture that also aligns with the digital technology systems of other ministries and programs.,ইযাক কেন্দ্ৰীকৃত ডাটা আৰ্কিটেকচাৰ ব্যৱহাৰ কৰি সাজি উলিওৱা হয যি আন মন্ত্ৰালয আৰু প্ৰগ্ৰাম সমূহৰ ডিজিটেল প্ৰযুক্তি চিষ্টেমৰ সৈতে সমৰৈখিক হয।,It is designed using a centralized data architecture that is aligned with the digital technology systems of other ministries and programs.
The public dashboard helps to impart transparency on services delivered to beneficiaries,ৰাজহুৱা ডেশ্ববোৰ্ডে হিতাধিকাৰীসকললৈ আগবঢোৱা সেৱা সমূহৰ ওপৰত স্বচ্চতা প্ৰদান কৰাত সহায কৰে,Public dashboards help to provide transparency on the services offered to the beneficiaries.
Translations on the Poshan Tracker Portal & App Chabot are done by third party translators.,পোষণ ট্ৰেকাৰ পৰ্টেল আৰু এপ চাটব'টৰ অনুবাদ তৃতীয পক্ষ অনুবাদকৰ দ্বাৰা সম্পন্ন হয।,Translation of the Poshnan Tracker portal and app chatbot is done by a third-party translator.
"While the translations are done on a best effort basis, some of the parts may be incorrect.","যদিও অনুবাদ সমূহ সৰ্বোত্তম প্ৰযাসেৰে সম্পন্ন কৰা হয, কিছু অংশ অশুদ্ধও হৈ ৰব পাৰে।","Although translations are done with the best of effort, some parts may still be unclean."
Certain files and other items on the website cannot be translated.,ৱেবচাইটটোৰ কিছুমান ফাইল বা আন সামগ্ৰী অনুবাদ কৰিব পৰা নাযায।,Some files or other content on the website may not be translatable.
"In addition, on translation, some applications and/or services may not function as expected, due to language barriers.","ইযাৰ উপৰি, অনুবাদত, কিছুমান এপ্লিকেচন আৰু/বা সেৱাই ভাষাৰ অন্তৰাযৰ ফলত, আশানুৰূপ ভাৱে কাম নকৰিব পাৰে।","In addition, in translation, some applications and/or service language interference may not work as expected."
"We are working constantly to rectify any errors, omissions, or ambiguities in the translations provided on this portal.","আমি এই পৰ্টেলত আগবঢোৱা অনুবাদ সমূহত যিকোনো ত্ৰুটি, বাদ পৰা তথ্য, বা অন্য সম্ভাৱনা সংশোধন কৰিবলৈ অবিৰত কাম কৰি আছো।","I am working continuously to correct any errors, omissions, or other possibilities in the translations provided on this portal."
"The MGRS collected primary growth data and related information from approximately 8500 children from widely different ethnic backgrounds and cultural settings (Brazil, Ghana, India, Norway, Oman and the USA)","MGRS-যে ব্যাপক ৰূপত বিভিন্ন নৃগোষ্ঠীগত পটভূমি আৰু সাংস্কৃতিক পৃষ্ঠভূমিৰ (ব্ৰাজিল, ঘানা, ভাৰত, নৰৱে, ওমন আৰু USA) পৰা প্ৰায 8500 গৰাকী শিশুৰ পৰা প্ৰাথমিক বিকাশত তথ্য আৰু সম্পৰ্কিত তথ্য সংগ্ৰহ কৰিছিল।","MGRS-which collected data and related information on early development from about 8,500 children from a wide range of ethnic and cultural backgrounds (Brazil, Ghana, India, Norway, Oman and the USA) in a comprehensive manner."
Children of different age groups are monitored on monthly basis by AWWs.,বিভিন্ন বযসৰ শিশু সকল মাহেকীযা ভিত্তিত AWW সকলৰ দ্বাৰা নিৰীক্ষিত হয।,Children of all ages were tested by MAKEIA-based AWWs.
"Health indicators like Stunting, Wasting and Underweight prevalence are measured as per WHO standards.","বাওনা হোৱা, পুষ্টিহীনতাত ভোগা আৰু কম ওজনৰ বিস্তাৰৰ দৰে স্বাস্থ্যজনিত সূচক সমূহ WHO মান অনুসৰি জোখা হয।","Health indicators such as obesity, malnutrition and the spread of low weight are measured according to WHO standards."
Regular growth monitoring helps AWWs to provide relevant and timely assistance to children,নিযমীযা বৃদ্ধিৰ নিৰীক্ষণে AWW সকলক শিশুসকললৈ প্ৰাসংগিক আৰু সমযমতে সহযোগিতা আগবঢোৱাত সহায কৰে,"In keeping with the growing trend, AWW helps all children develop collaboration that is relevant and timely to them."
"Awareness for Children Stunting, Wasting to prevent malnutrition in children","শিশুসকলৰ মাজত শিশু বাওনা হোৱা, বিষমপপুষ্টিক বাধা দিবলৈ পুষ্টিহীনতাৰ বাবে সজাগতা","Children are being bullied, malnourished, and malnourished to prevent malnutrition."
Poshan Tracker adds new application features,পোশান ট্ৰেকাৰে নতুন এপ্লিকেচন সুবিধা যোগ কৰে,The fashion tracker also adds new application features.
Making or Updating Home Visit Planner and Initiating home visits,হোম ভিজিটৰ প্লেনাৰ প্ৰস্তুত কৰা বা আপডেট কৰা আৰু হোপ ভিজিটৰ সূচনা কৰা,Preparing or updating a plan for home visits and starting a hopas visit.
Poshan Calculator is designed to measure growth of the child based on standards defined by World Health Organization (WHO),পোষণ কেলকুলেটৰ বিশ্ব স্বাস্থ্য সংস্থা (WHO) ৰ দ্বাৰা নিৰ্ধাৰিত মানৰ ওপৰত ভিত্তি কৰি শিশুৰ বিকাশ জুখিবলৈ সাজি উলিওৱা হৈছে,The nutrition calculator is designed to measure the development of a baby based on the standards set by the World Health Organization (WHO).
Migrated from one category to another,এটা শ্ৰেণীৰ পৰা আন এটা শ্ৰেণীলৈ প্ৰব্ৰজন কৰা হৈছে,One class is being moved from one class to another.
It usually occurs when a person has not had food of adequate quality and quantity and/or they have had frequent or prolonged illnesses,ই সাধাৰণতে তেতিযা সংঘটিত হয যেতিযা এগৰাকী লোকে পৰ্যাপ্ত মানদণ্ডৰ আৰু পৰিমাণৰ খাদ্য লাভ নকৰে আৰু/বা তেওঁলোকৰ ঘনাই হৈ থকা বা দীিৰ্গাযিত ৰোগ হয,It usually occurs when a person does not get enough food in sufficient quantity and quality and/or they have a chronic or chronic illness.
Malnutrition is one of the most important challenges facing contemporary India.,মালনিউট্রিশন ২ ওযান অফ টি মোস্ট ইম্পরট্যান্ট চ্যালেঞ্জেস ফাকিং কনটেম্পোরারি ইন্ডিযা.,Malnutrition 2 Ocean of Tea is one of the most important challenges facing contemporary India.
Nutrition is acknowledged as central to the achievement of National and Global Sustainable Development Goals.,নিউট্রিশন ২ অকনোলেজড এস সেন্ট্রাল তো টি অ্যাচিভমেন্ট অফ ন্যাশনাল এন্ড গ্লোবাল সুস্টাইনাবলে ডেভেলপমেন্ট গোলস.,Nutrition 2 Unknowns is central to achieving national and global sustainable development goals.
"Optimum and appropriate nutrition is essential for women and children to survive, thrive and break the intergenerational cycle of poor health and poverty in the community.","অপটিমাম এন্ড অপপ্রোপ্রিযেতে নিউট্রিশন ২ এসএনটিযাল ফর ওমেন এন্ড চিলড্রেন তো সুরভিভে, থ্রিভে এন্ড ব্র্যাক ইন্টারগেনেরাশনাল সাইকেল অফ পুওর হেলথ এন্ড পভার্টি ইন টি কমিউনিটি.","Optimum and improper nutrition 2 SNTAL for Women and Children to Survive, Thrive and Break the International Cycle of Poor Health and Poverty in the Community."
"Poshan Abhiyaan is India’s flagship programme to improve nutritional outcomes for children, adolescents, pregnant women and lactating mothers by leveraging technology, a targeted approach and convergence.","শিশু, বযঃসন্ধিকাল, গৰ্ভাৱস্থাৰ বাবে পুষ্টিৰ ফলাফল উন্নত কৰাৰ বাবে পোষণ অভিযান হৈছে ভাৰতৰ মুখ্য কাৰ্যসূচী।","The Pushn Mission is India's flagship programme to improve nutritional outcomes for children, adolescents, and pregnant women."
Hot Cooked Meal (HCM) given in last 30 days,হট কুকড মীল (এইচচিএম) শেষৰ ৩০ দিনত দিযা হয,Hot cooking meal (HCM) has been given in the last 30 days.
Uploading of Data of Anganwadi Services Schemes in Poshan Tracker,পোষণ ট্ৰেকাৰত অংগনৱাডী সেৱাসমূহৰ আঁচনি সমূহৰ ডাটা আপলোড হৈ আছে,Data on the schemes for the Anganwadi services are being uploaded to the Poshana Tracker.
The Poshan Tracker generates automated alerts to the critical last-mile beneficiaries.,পোষণ ট্ৰেকাৰে গুৰুত্বপূৰ্ণ অন্তিম পৰ্যাযৰ হিতাধিকাৰীসকললৈ অটোমেটেড এলাৰ্ট উৎপাদন কৰে।,The nutrient tracker generates automated alerts to the beneficiaries of the critical final stage.
It also ensures efficient audit of the delivery system by documenting real time attendance of beneficiaries and duty bearers.,ই হিতাধিকাৰী আৰু ডিউটি কৰা সকলৰ বাস্তৱ সমযৰ উপস্থিতি নথিভুক্ত কৰাৰ দ্বাৰা ডেলিভাৰী চিষ্টেমৰ নিপুণ অডিট সুনিশ্চিত কৰে।,It ensures the competent audit of the delivery system by documenting the real-time presence of the beneficiaries and the debtors.
"This management information system will help the nutrition programme to scale efficiently, thereby generating and documenting positive impact","এই মেনেজমেন্ট ইনফৰ্মেচন চিষ্টেমে নিপুণভাৱে জোখ লোৱাত, এনেদৰে ধনাত্মক প্ৰভাৱ উৎপন্ন কৰি আৰু নথিভুক্ত কৰি পৰিপুষ্টিৰ অনুষ্ঠানক সহায কৰিব","This management information system will assist the nutrition program by tailoring the information system, producing and documenting positive impacts, and thus providing nutrition programs."
How can one Download Poshan Tracker App?,পোষণ ট্ৰেকাৰ এপ কেনেকৈ ডাউনলোড কৰিব পাৰি?,How can I download the Nutrition Tracker apps?
"Clarification regarding Cost of Smart phones (03 June, 2021)","স্মাৰ্ট ফোনৰ ব্যয সম্পৰ্কে স্পষ্টীকৰণ (০৩ জুন, ২০২১)","Clarification on the costs of smartphones (June 03, 2021)"
