eng,pa,translation_text
There are 6 categories for beneficiariesPregnant WomenLactating MotherChildren from 0 to 6 monthsChildren from 6 months to 3 yearsChildren from 3 years to 6 yearsAdolescent girls,ਲਾਭਪਾਤਰੀਆਂ ਲਈ 6 ਸ੍ਰੇਣੀਆਂ ਹਨਗਰਭਵਤੀ ਔਰਤਾਂਦੁੱਧ ਚੁੰਘਾਉਣ ਵਾਲੀ ਮਾਂ0 ਤੋਂ 6 ਮਹੀਨੇ ਤੱਕ ਦੇ ਬੱਚੇ6 ਮਹੀਨਿਆਂ ਤੋਂ 3 ਸਾਲ ਤੱਕ ਦੇ ਬੱਚੇ3 ਸਾਲ ਤੋਂ 6 ਸਾਲ ਤੱਕ ਦੇ ਬੱਚੇਅੱਲ੍ਹੜ ਉਮਰ ਦੀਆਂ ਲੜਕੀਆਂ,engers there are 6 categories for beneficiariespa pregnant womenbreastfeeding mother0 to 6 months babies6 months to 3 years babies3 years to 6 years babies3 years to 6 years teenage girls
"Data Plan for Mobile Application (01 March, 2021)","ਮੋਬਾਈਲ ਐਪਲੀਕੇਸਨ ਲਈ ਡੇਟਾ ਯੋਜਨਾ (01 ਮਾਰਚ, 2021)", Data Plan for Mobile Applications (01 March 2021) - Data Plan for Mobile Applications (01 March 2021) - Data Plan for Mobile Applications (01 March 2021) - Data Plan for Mobile Applications (01 March 2021) - Data Plan for Mobile Applications (01 March 2021) - Data Plan for Mobile Applications (01 March 2021) - Data Plan for Mobile Applications (01 March 2021) - Data Plan for Mobile Applications (01 March 2021) - The data plan for mobile app is based on data plan for mobile applications and data plan for mobile applications and data plan for mobile applications and data plan for mobile applications and data plan for mobile applications and data plan for mobile applications and data systems for mobile applications and data systems for mobile applications and data systems for mobile applications and data systems for mobile applications and data systems for data systems for data systems and data systems for data systems for data systems for
 VIII. LIMITATIONS OF MULTI- LINGUAL INTERFACE, VIII. ਬਹੁ-ਭਾਸਾਈ ਇੰਟਰਫੇਸ ਦੀਆਂ ਸੀਮਾਵਾਂ,eng.VIII.Limitations of the multilingual interface
Srijangram I. C. D. S. Project,ਸ੍ਰੀਜੰਗਰਾਮ ਆਈਸੀਡੀਐਸ.ਪ੍ਰੋਜੈਕਟ,engramicdss.project.srijjangramicdss.project.
"We may investigate any violation of these Terms, including unauthorized use of the Site.",ਅਸੀਂ ਸਾਈਟ ਦੀ ਅਣਅਧਿਕਾਰਤ ਵਰਤੋਂ ਸਮੇਤ ਇਹਨਾਂ ਨਿਯਮਾਂ ਦੀ ਕਿਸੇ ਵੀ ਉਲੰਘਣਾ ਦੀ ਜਾਂਚ ਕਰ ਸਕਦੇ ਹਾਂ।," We may investigate any violation of these terms, including unauthorized use of the site."
We may provide law enforcement with information you provide to us related to your transactions to assist in any investigation or prosecution of you.,ਅਸੀਂ ਤੁਹਾਡੀ ਕਿਸੇ ਵੀ ਜਾਂਚ ਜਾਂ ਮੁਕੱਦਮੇ ਵਿੱਚ ਸਹਾਇਤਾ ਕਰਨ ਲਈ ਤੁਹਾਡੇ ਲੈਣ-ਦੇਣ ਨਾਲ ਸਬੰਧਤ ਤੁਹਾਡੇ ਦੁਆਰਾ ਪ੍ਰਦਾਨ ਕੀਤੀ ਜਾਣਕਾਰੀ ਕਾਨੂੰਨ ਦੀ ਪਾਲਣਾ ਲਈ ਦੇ ਸਕਦੇ ਹਾਂ।, We may provide information related to your transaction to comply with the law to assist you in any investigation or trial.
We may take legal action that we feel is appropriate.,ਜੇ ਸਾਨੂੰ ਉਚਿਤ ਲੱਗਦਾ ਹੈ ਤਾਂ ਅਸੀਂ ਕਾਨੂੰਨੀ ਕਾਰਵਾਈ ਕਰ ਸਕਦੇ ਹਾਂ।,"eng, bisa kita hukumkan jika kita merasa perlu."
Poshan Calculator helps to identify various health conditions of the child as per World Health Organization (WHO) standards,ਪੋਸਨ ਕੈਲਕੁਲੇਟਰ ਵਿਸਵ ਸਿਹਤ ਸੰਗਠਨ (ਡਬਲਯੂਐਚਓ) ਦੇ ਮਾਪਦੰਡਾਂ ਅਨੁਸਾਰ ਬੱਚੇ ਦੀਆਂ ਵੱਖ-ਵੱਖ ਸਿਹਤ ਸਥਿਤੀਆਂ ਦੀ ਪਛਾਣ ਕਰਨ ਵਿੱਚ ਮਦਦ ਕਰਦਾ ਹੈ, Poson Calculator helps identify different health conditions of the baby according to the World Health Organization (WHO) standards.
How to take care of weak newborn with the help of Kangaroo Mother Care,ਕੰਗਾਰੂ ਮਦਰ ਕੇਅਰ ਦੀ ਮਦਦ ਨਾਲ ਕਮਜੋਰ ਨਵਜੰਮੇ ਬੱਚੇ ਦੀ ਦੇਖਭਾਲ ਕਿਵੇਂ ਕਰੀਏ,engaru mothercare how to care for a vulnerable newborn baby with the help of kangaroo mothercare
"Any liabilities civil or criminal, arising out of any incorrect data, shall solely lie with the concerned ASP.","ਕੋਈ ਵੀ ਗਲਤ ਅੰਕੜਿਆਂ ਤੋਂ ਪੈਦਾ ਹੋਣ ਵਾਲੀ ਕੋਈ ਵੀ ਸਮਾਜਿਕ ਜਾਂ ਅਪਰਾਧਿਕ ਦੇਣਦਾਰੀ, ਸਿਰਫ ਸਬੰਧਤ ਏਐਸਪੀ ਦੀ ਹੀ ਹੋਵੇਗੀ।", Any social or criminal liability arising from any false data shall be solely of the ASP concerned.
Poshan Tracker App is available over Google playstore https://play. google. com/store/apps/details?,ਪੋਸਣ ਟ੍ਰੈਕਰ ਐਪ ਗੂਗਲ ਪਲੇਸਟੋਰ https://play.google.com /store/apps/details?, /store/apps/details?
Can App be accessed without internet?,ਕੀ ਐਪ ਨੂੰ ਇੰਟਰਨੈਟ ਤੋਂ ਬਿਨਾਂ ਚਲਾਇਆ ਜਾ ਸਕਦਾ ਹੈ?,eng app bisa di jalanin tanpa internet ga?
The Government has taken several initiatives to break the intergenerational cycle of malnutrition in children.,ਬੱਚਿਆਂ ਵਿੱਚ ਕੁਪੋਸਣ ਦੇ ਅੰਤਰ-ਜਨਮ ਚੱਕਰ ਨੂੰ ਤੋੜਨ ਲਈ ਸਰਕਾਰ ਨੇ ਕਈ ਉਪਰਾਲੇ ਕੀਤੇ ਹਨ।, The government has taken several measures to break the inter-birth cycle of anger in children.
"Adopting a life-cycle approach, interventions have been designed to meet the nutritional requirement of adolescent girls and boys, pregnant women, lactating mothers and children.","ਜੀਵਨ-ਚੱਕਰ ਦੀ ਪਹੁੰਚ ਅਪਣਾਉਂਦਿਆਂ, ਦਖਲਅੰਦਾਜੀ ਅੱਲ੍ਹੜ ਉਮਰ ਦੀਆਂ ਲੜਕੀਆਂ ਅਤੇ ਮੁੰਡਿਆਂ, ਗਰਭਵਤੀ ,ਰਤਾਂ, ਦੁੱਧ ਚੁੰਘਾਉਣ ਵਾਲੀਆਂ ਮਾਵਾਂ ਅਤੇ ਬੱਚਿਆਂ ਦੀ ਪੋਸਣ ਸੰਬੰਧੀ ਜਰੂਰਤ ਨੂੰ ਪੂਰਾ ਕਰਨ ਲਈ ਤਿਆਰ ਕੀਤੀ ਗਈ ਹੈ.","eng, adopting a life-cycle approach, the intervention is designed to meet the nutritional needs of teenage girls and boys, pregnant women, breastfeeding mothers and babies."
Awareness for Pregnancy in Preventing Anemia,ਅਨੀਮੀਆ ਨੂੰ ਰੋਕਣ ਲਈ ਗਰਭ ਅਵਸਥਾ ਬਾਰੇ ਜਾਗਰੂਕਤਾ, Awareness about pregnancy to prevent anemia
"Howrah North (U) I. C. D. S. Project, Howrah","ਹਾਵੜਾ ਉੱਤਰੀ (ਯੂ) ਆਈਸੀਡੀਐਸ.ਪ੍ਰੋਜੈਕਟ, ਹਾਵੜਾ"," Hawada North (Upa) ICDS.Project, Hawada"
Birth Preparedness- For Institutional and Home Delivery,ਜਨਮ ਦੀ ਤਿਆਰੀ- ਸੰਸਥਾਗਤ ਅਤੇ ਹੋਮ ਡਿਲਿਵਰੀ ਲਈ,eng-pa untuk penyelenggaraan kelahiran dan untuk penanganan bayi di rumah.
New beneficiary addition with skip OTP option,OTP ਛੱਡੋ ਵਿਕਲਪ ਦੇ ਨਾਲ ਨਵਾਂ ਲਾਭਪਾਤਰੀ ਐਡੀਸਨ,eng.org - The new beneficiary of Addison with the OTP exit option
We are now available on Video Conference,ਅਸੀਂ ਹੁਣ ਵੀਡੀਓ ਕਾਨਫਰੰਸ 'ਤੇ ਉਪਲਬਧ ਹਾਂ, We are now available via videoconferencing.
"Poshan Tracker App is meant for Aanganwadi workers, Anganwadi centers to enter beneficiaries data in the forms.It is not at all developed for general public.","ਪੋਸਣ ਟ੍ਰੈਕਰ ਐਪ ਦਾ ਅਰਥ ਆਂਗਣਵਾੜੀ ਵਰਕਰਾਂ ਲਈ ਹੈ, ਆਂਗਣਵਾੜੀ ਕੇਂਦਰਾਂ ਵਿੱਚ ਲਾਭਪਾਤਰੀਆਂ ਦੇ ਫਾਰਮ ਦਾਖਲ ਕਰਨ ਲਈ ਇਹ ਆਮ ਲੋਕਾਂ ਲਈ ਬਿਲਕੁਲ ਵਿਕਸਤ ਨਹੀਂ ਹੈ।","engon tracker app is for angnwadi workers, it is not developed for the general public to enter beneficiaries forms in angnwadi centers."
Swastha Balak/Balika Spardha Mission is about celebrating the health of children in India.,Swastha Balak/Balika Spardha Mission is about celebrating the health of children in India., Swastha Balak/Balika Spardha Mission is about celebrating the health of children in India.
It entails identification and awareness of health conditions and providing necessary support wherever required.,It entails identification and awareness of health conditions and providing necessary support wherever required.,"eng, yang melibatkan identifikasi dan kesadaran kondisi kesehatan dan memberikan dukungan yang diperlukan di manapun diperlukan."
”Our Privacy Policy applies when you use our Services (described below).,"""Our Privacy Policy applies when you use our Services (described below).","eng ""Polisi Privasi kami berlaku ketika Anda menggunakan Layanan kami (dijelaskan di bawah)."
"This Privacy Policy is meant to help you understand what information we collect, why we collect it, and how it is used and shared.","This Privacy Policy is meant to help you understand what information we collect, why we collect it, and how it is used and shared."," This Privacy Policy is intended to help you understand what information we collect, why we collect it, and how it is used and shared."
The collecting and retaining agency in respect of your information is Ministry of Women and Child Development.,The collecting and retaining agency in respect of your information is Ministry of Women and Child Development., The agency collecting and retaining your information is the Ministry of Women and Child Development.
We are committed to protecting the security of your personal information and safeguarding your privacy.,We are committed to protecting the security of your personal information and safeguarding your privacy., We are committed to protecting the security of your personal information and safeguarding your privacy.
How to revive your health if you are Underweight,ਜੇਕਰ ਤੁਹਾਡਾ ਭਾਰ ਘੱਟ ਹੈ ਤਾਂ ਆਪਣੀ ਸਿਹਤ ਨੂੰ ਕਿਵੇਂ ਠੀਕ ਕਰਨਾ ਹੈ,"eng.co.id - If you're underweight, how do you fix your health?"
Can a beneficiary change his/her AWC?,ਕੀ ਕੋਈ ਲਾਭਪਾਤਰੀ ਆਪਣਾ ਆਂਗਨਵਾੜੀ ਸੈਂਟਰ ਬਦਲ ਸਕਦਾ ਹੈ?,engadapi.com - Can a beneficiary change their Anganwadi center?
"We use the information we have, to help verify accounts.",ਅਸੀਂ ਖਾਤੇ ਦੀ ਪੁਸਟੀ ਕਰਨ ਵਿੱਚ ਮਦਦ ਕਰਨ ਲਈ ਸਾਡੇ ਕੋਲ ਮੌਜੂਦ ਜਾਣਕਾਰੀ ਦੀ ਵਰਤੋਂ ਕਰਦੇ ਹਾਂ।, We use the information we have to help verify the account.
The records may be used for verification of health status for the purposes of Poshan Tracker control and response.,ਰਿਕਾਰਡਾਂ ਦੀ ਵਰਤੋਂ ਪੋਸਨ ਟਰੈਕਰ ਨਿਯੰਤਰਣ ਅਤੇ ਜਵਾਬ ਦੇ ਉਦੇਸਾਂ ਲਈ ਸਿਹਤ ਸਥਿਤੀ ਦੀ ਪੁਸਟੀ ਲਈ ਕੀਤੀ ਜਾ ਸਕਦੀ ਹੈ।, The PAPA records can be used to confirm health status for Poson Tracker control and response purposes.
Scan the QR Code to Download the App,ਐਪ ਨੂੰ ਡਾਊਨਲੋਡ ਕਰਨ ਲਈ ਕਿਊਆਰ ਕੋਡ ਨੂੰ ਸਕੈਨ ਕਰੋ, Scan QR code to download app
Who is eligible for Hot Cooked Meal?,ਗਰਮ ਪਕਾਏ ਹੋਏ ਭੋਜਨ ਲਈ ਕੌਣ ਯੋਗ ਹੈ?,eng.org Siapa yang layak makan makanan yg sudah matang?
Identifying and preventing Severe Acute Malnutrition,ਗੰਭੀਰ ਤੀਬਰ ਕੁਪੋਸਣ ਦੀ ਪਛਾਣ ਕਰਨਾ ਅਤੇ ਰੋਕਣਾ, Identifying and preventing severe acute nausea
Children who are identified as deficit on nutrition are eligible for additional food supplements.,"ਜਿਹੜੇ ਬੱਚੇ ਪੋਸਣ ਦੀ ਘਾਟ ਵਜੋਂ ਪਛਾਣੇ ਗਏ ਹਨ, ਉਹ ਵਾਧੂ ਪੂਰਕ ਆਹਾਰ ਲਈ ਯੋਗ ਹਨ।",engengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengeng
Who is eligible for additional supplementary food.,ਕੌਣ ਵਾਧੂ ਪੂਰਕ ਆਹਾਰ ਲਈ ਯੋਗ ਹੈ।,eng.org Siapa yang layak untuk makanan tambahan?
"Uploading of Data of Anganwadi Services Schemes in Poshan Tracker (24 May, 2021)","ਪੋਸਨ ਟ੍ਰੈਕਰ ਵਿੱਚ ਆਂਗਣਵਾੜੀ ਸੇਵਾਵਾਂ ਸਕੀਮਾਂ ਦਾ ਡਾਟਾ ਅਪਲੋਡ ਕਰਨਾ (24 ਮਈ, 2021)","engwanwadi services schemes data uploading in Poson Tracker (May 24, 2021)"
Children between 6 months - 3 years,6 ਮਹੀਨੇ ਤੋਂ 3 ਸਾਲ ਦੇ ਵਿਚਕਾਰ ਦੇ ਬੱਚੇ,eng.org - Kids aged 6 months to 3 years
"Ministry of Women and Child Development, Government of India, Shastri Bhawan, New Delhi","ਮਹਿਲਾ ਅਤੇ ਬਾਲ ਵਿਕਾਸ ਮੰਤਰਾਲਾ, ਭਾਰਤ ਸਰਕਾਰ, ਸਾਸਤਰੀ ਭਵਨ, ਨਵੀਂ ਦਿੱਲੀ","eng Ministry of Women and Child Development, Government of India, Sastrypa Bhavan, New Delhi"
Care of the weak newborn baby - How many weak babies are we missing?,ਕਮਜੋਰ ਨਵਜੰਮੇ ਬੱਚੇ ਦੀ ਦੇਖਭਾਲ - ਅਸੀਂ ਕਿੰਨੇ ਕਮਜੋਰ ਬੱਚੇ ਗੁਆ ਰਹੇ ਹਾਂ?,engengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengeng
Underweight children who received Supplementary Nutrition,ਘੱਟ ਵਜਨ ਵਾਲੇ ਬੱਚੇ ਜਿਨ੍ਹਾਂ ਨੇ ਪੂਰਕ ਆਹਾਰ ਪ੍ਰਾਪਤ ਕੀਤਾ,eng.org - Babies with low weight who received a dietary supplement
This defense and indemnification obligation will survive this Agreement and your use of the Service and Website/App.,ਇਹ ਬਚਾਅ ਅਤੇ ਮੁਆਵਜੇ ਦੀ ਜਿੰਮੇਵਾਰੀ ਇਸ ਸਮਝੌਤੇ ਅਤੇ ਤੁਹਾਡੀ ਸੇਵਾ ਅਤੇ ਵੈੱਬਸਾਈਟ/ਐਪ ਦੀ ਵਰਤੋਂ ਤੋਂ ਬਚੇਗੀ।,eng/pension liability will avoid this agreement and your use of the service and website/app.
Identification and care of a Weak Newborn baby,ਕਮਜੋਰ ਨਵਜੰਮੇ ਬੱਚੇ ਦੀ ਪਛਾਣ ਅਤੇ ਦੇਖਭਾਲ, Identifying and caring for a vulnerable newborn baby
1.2. Information from use of services.,1.2. ਸੇਵਾਵਾਂ ਦੀ ਵਰਤੋਂ ਤੋਂ ਜਾਣਕਾਰੀ।,eng.1.2pa Informasi tentang penggunaan layanan.
Please contact your respective Anganwadi Centre.,ਕਿਰਪਾ ਕਰਕੇ ਆਪਣੇ ਸਬੰਧਤ ਆਂਗਣਵਾੜੀ ਕੇਂਦਰ ਨਾਲ ਸੰਪਰਕ ਕਰੋ।, Please contact your Agnwadi Centre.
GOBARDANGA I. C. D. S PROJECT(U),ਗੋਬਰਦਾਂਗਾ ਆਈ. ਸੀ. ਡੀ. ਐਸ ਪ੍ਰੋਜੈਕਟ (ਯੂ),eng Goberdanga I.C.D.S. Project (Upa)
Please fill in the form below to create a new ticket.,ਕਿਰਪਾ ਕਰਕੇ ਨਵੀਂ ਟਿਕਟ ਬਣਾਉਣ ਲਈ ਹੇਠਾਂ ਦਿੱਤੇ ਫਾਰਮ ਨੂੰ ਭਰੋ।," To create a new ticket, please fill out the form below."
Anganwadi Worker will reach out to you within 48 hours.,ਆਂਗਣਵਾੜੀ ਵਰਕਰ 48 ਘੰਟਿਆਂ ਦੇ ਅੰਦਰ ਤੁਹਾਡੇ ਨਾਲ ਸੰਪਰਕ ਕਰੇਗੀ।,engwanwadi worker will contact you within 48 hours.
Please note down the ticket number for future reference.,ਭਵਿੱਖ ਦੇ ਸੰਦਰਭ ਲਈ ਕਿਰਪਾ ਕਰਕੇ ਟਿਕਟ ਨੰਬਰ ਨੋਟ ਕਰੋ।, Please note the ticket number for future reference.
Poshan Tracker is a project of Ministry of Women and Child Development.,ਪੋਸਨ ਟ੍ਰੈਕਰ ਮਹਿਲਾ ਅਤੇ ਬਾਲ ਵਿਕਾਸ ਮੰਤਰਾਲੇ ਦਾ ਪ੍ਰੋਜੈਕਟ ਹੈ।," ""Poson Tracker"" is a project of the Ministry of Women and Child Development."
Digital India Corporation is the technical partner of MoWCD.,ਡਿਜੀਟਲ ਇੰਡੀਆ ਕਾਰਪੋਰੇਸਨ MoWCD ਦਾ ਤਕਨੀਕੀ ਭਾਈਵਾਲ ਹੈ।,eng Digital India Corporation is the technical partner of MoWCD.
Poshan Tracker focuses on eradication of malnutrition from India.,ਪੋਸਨ ਟ੍ਰੈਕਰ ਭਾਰਤ ਵਿੱਚੋਂ ਕੁਪੋਸਣ ਦੇ ਖਾਤਮੇ 'ਤੇ ਕੇਂਦਰਿਤ ਹੈ।,eng Tracker focuses on eliminating miscarriage from India.
It serves as a mechanism to monitor and improvise on the service delivery under Poshan Abhiyaan,ਇਹ ਪੋਸਣ ਅਭਿਆਨ ਅਧੀਨ ਸੇਵਾ ਪ੍ਰਦਾਨ ਕਰਨ ਦੀ ਨਿਗਰਾਨੀ ਅਤੇ ਸੁਧਾਰਨ ਦੀ ਵਿਧੀ ਵਜੋਂ ਕੰਮ ਕਰਦਾ ਹੈ, This serves as a mechanism for monitoring and improving the delivery of service under the Nutrition Campaignpa.
Is poshan trackers app available over Apple I Store also?,ਕੀ ਪੋਸਣ ਟ੍ਰੈਕਰ ਐਪ ਐਪਲ ਆਈ ਸਟੋਰ ਉੱਤੇ ਵੀ ਉਪਲਬਧ ਹੈ?, Is the Nutrition Trackerpa app available on the Apple I Store?
Number of records becoming inactive and number of records migrating from one category to another,ਕਈ ਰਿਕਾਰਡਾਂ ਦਾ ਅਕਿਰਿਆਸੀਲ ਹੋਣਾ ਅਤੇ ਕਈ ਰਿਕਾਰਡਾਂ ਦਾ ਇੱਕ ਸ੍ਰੇਣੀ ਤੋਂ ਦੂਸਰੀ ਵਿੱਚ ਬਦਲਣਾ,"eng rekamaning, daning rekamaning, daning rekamaning, daning rekamaning, daning rekamaning, daning rekamaning, daning rekamaning, daning rekamaning, daning rekamaning, anding rekamaning, anding rekamaning, anding rekamaning, anding rekamaning, anding rekamaning, anding rekamaning, anding."
In How many languages the Poshan Tracker App is available?,ਪੋਸਣ ਟ੍ਰੈਕਰ ਐਪ ਕਿੰਨੀ ਭਾਸਾਵਾਂ ਵਿੱਚ ਉਪਲਬਧ ਹੈ?, Nutrition Tracker apppa is available in how many languages?
AWWs are requested to enter their mobile numbers in the Login screen.,ਏਡਬਲਯੂਡਬਲਯੂ ਨੂੰ ਬੇਨਤੀ ਕੀਤੀ ਜਾਂਦੀ ਹੈ ਕਿ ਉਹ ਆਪਣੇ ਮੋਬਾਈਲ ਨੰਬਰ ਲੌਗਿਨ ਸਕ੍ਰੀਨ ਵਿੱਚ ਦਾਖਲ ਕਰਨ।, AWPA is requested to enter their mobile number in the login screen.
"An OTP will be sent to your registered mobile number, post which you are required too set your MPIN.",ਇੱਕ ਓਟੀਪੀ ਤੁਹਾਡੇ ਰਜਿਸਟਰ ਕੀਤੇ ਮੋਬਾਈਲ ਨੰਬਰ ਤੇ ਭੇਜਿਆ ਜਾਏਗਾ ਜਿਸਦੀ ਤੁਹਾਨੂੰ ਆਪਣੀ ਐਮਪੀ ਆਈਐਨ ਨਿਰਧਾਰਤ ਕਰਨ ਦੀ ਜਰੂਰਤ ਹੈ।," An OTP will be sent to your registered mobile number, which you need to set your MPIN."
Measles Containing vaccine (MCV)/MR-2JE-2**DiphtheriaPertussis & Tetanus (DPT)-Booster-1OPV –Booster,ਖਸਰੇ ਵਾਲੀ ਵੈਕਸੀਨ (ਐਮਸੀਵੀ)/ਐਮਆਰ-2ਜੇਈ-2**ਡਿਪਥੀਰੀਆਪਰਟੂਸਿਸ ਅਤੇ ਟੈਟਨਸ (ਡੀਪੀਟੀ)-ਬੂਸਟਰ-1ਓਪੀਵੀ - ਬੂਸਟਰ,eng vaccine (MCV) /MR-2JE-2**diphtheriapertuosis and tetanus (DPT) -booster-1OPV - booster
