eng,or,mBART600M
How to take care of weak newborn with the help of Kangaroo Mother Care,କଙ୍ଗାରୁ ମଦର କେୟାର ସାହାଯ୍ୟରେ କିପରି ଦୁର୍ବଳ ନବଜାତ ଶିଶୁର ଯତ୍ନ ନେବେ,How can Kangaroo Mother Care help her care for a weak newborn baby?
Poshan Tracker App is available over Google playstore https://play. google. com/store/apps/details?,ଗୁଗଲ୍ ପ୍ଲେ ଷ୍ଟୋର https://play. google. com/store/apps/details?,Or the Google Play Store https://play.google.com/store/apps/details?
Can App be accessed without internet?,ଇଣ୍ଟରନେଟ୍ ବିନା ଆପ୍କୁ ବ୍ୟବହାର କରାଯାଇପାରିବ କି?,Is it possible to use the app without the internet?
The Government has taken several initiatives to break the intergenerational cycle of malnutrition in children.,ଶିଶୁମାନଙ୍କର ପୁଷ୍ଟିହୀନତାର ଆନ୍ତ gen ଜାତୀୟ ଚକ୍ରକୁ ଭାଙ୍ଗିବା ପାଇଁ ସରକାର ଅନେକ ପଦକ୍ଷେପ ନେଇଛନ୍ତି।,The government has taken several steps to break the intergenic national cycle of child malnutrition.
"Adopting a life-cycle approach, interventions have been designed to meet the nutritional requirement of adolescent girls and boys, pregnant women, lactating mothers and children.","ଏକ ଜୀବନଚକ୍ର ପଦ୍ଧତିକୁ ଗ୍ରହଣ କରି କିଶୋର ବାଳିକା ଏବଂ ବାଳକ, ଗର୍ଭବତୀ ମହିଳା, ସ୍ତନ୍ୟପାନ କରାଉଥିବା ମା ଏବଂ ପିଲାମାନଙ୍କର ପୁଷ୍ଟିକର ଆବଶ୍ୟକତା ପୂରଣ ପାଇଁ ହସ୍ତକ୍ଷେପ ପ୍ରସ୍ତୁତ କରାଯାଇଛି |","The intervention is designed to meet the nutritional needs of teenage girls and boys, pregnant women, breastfeeding mothers and children by adopting a lifecycle approach."
Awareness for Pregnancy in Preventing Anemia,ରକ୍ତହୀନତାକୁ ରୋକିବାରେ ଗର୍ଭଧାରଣ ପାଇଁ ସଚେତନତା,Awareness of pregnancy in preventing anemia
"Howrah North (U) I. C. D. S. Project, Howrah","ହାୱଡା ନର୍ଥ (ୟୁ) ଆଇସିଡିଏସ ପ୍ରୋଜେକ୍ଟ, ହାୱଡା","Hawada North (U) ICDS Project, Hawada"
Birth Preparedness- For Institutional and Home Delivery,ଜନ୍ମ ପ୍ରସ୍ତୁତି- ଅନୁଷ୍ଠାନିକ ଏବଂ ଗୃହ ବିତରଣ ପାଇଁ,Or birth preparation - for institutional and home delivery.
New beneficiary addition with skip OTP option,ସ୍କିପ୍ OTP ବିକଳ୍ପ ସହିତ ନୂତନ ହିତାଧିକାରୀ ଯୋଗ,Adding new beneficiaries with the Skipor OTP option
We are now available on Video Conference,ଆମେ ବର୍ତ୍ତମାନ ଭିଡିଓ କନଫରେନ୍ସରେ ଉପଲବ୍ଧ,We are now available via videoconferencing or video conferencing.
"Poshan Tracker App is meant for Aanganwadi workers, Anganwadi centers to enter beneficiaries data in the forms.","ପୋଷନ୍ ଟ୍ରାକର୍ ଆପ୍ ଆଙ୍ଗାନୱାଡି କର୍ମକର୍ତ୍ତା, ଅଙ୍ଗନୱାଡି କେନ୍ଦ୍ରଗୁଡିକ ପାଇଁ ଫର୍ମରେ ହିତାଧିକାରୀଙ୍କ ତଥ୍ୟ ପ୍ରବେଶ କରିବା ପାଇଁ ଉଦ୍ଦିଷ୍ଟ ।","The Nutrition Tracker app is designed for Anganwadi workers, Anganwadi centers to access the beneficiary's data on the form."
It is not at all developed for general public.,ଏହା ସାଧାରଣ ଜନତାଙ୍କ ପାଇଁ ଏହା ବିକାଶ କରାଯାଇ ନାହିଁ ।,Or it is not developed for the general public.
Swastha Balak/Balika Spardha Mission is about celebrating the health of children in India.,Swastha Balak/Balika Spardha Mission is about celebrating the health of children in India.,Swastha Balak/Balika Spardha Mission is about celebrating the health of children in India.
It entails identification and awareness of health conditions and providing necessary support wherever required.,It entails identification and awareness of health conditions and providing necessary support wherever required.,Or it involves identifying and raising awareness of health conditions and providing necessary support wherever needed.
”Our Privacy Policy applies when you use our Services (described below).,"""Our Privacy Policy applies when you use our Services (described below).","""or Our Privacy Policy applies when you use our Services (described below)."
"This Privacy Policy is meant to help you understand what information we collect, why we collect it, and how it is used and shared.","This Privacy Policy is meant to help you understand what information we collect, why we collect it, and how it is used and shared.","or This Privacy Policy is intended to help you understand what information we collect, why we collect it, and how it is used and shared."
The collecting and retaining agency in respect of your information is Ministry of Women and Child Development.,The collecting and retaining agency in respect of your information is Ministry of Women and Child Development.,The agency collecting and retaining your information is the Ministry of Women and Child Development.
We are committed to protecting the security of your personal information and safeguarding your privacy.,We are committed to protecting the security of your personal information and safeguarding your privacy.,or We are committed to protecting the security of your personal information and safeguarding your privacy.
How to revive your health if you are Underweight,ଯଦି ତୁମେ ଓଜନ କମ ତେବେ କିପରି ତୁମର ସ୍ୱାସ୍ଥ୍ୟକୁ ପୁନର୍ଜୀବିତ କରିବ ।,Or how to restore your health if you are underweight.
Can a beneficiary change his/her AWC?,ଜଣେ ହିତାଧିକାରୀ ତାଙ୍କର AWC ପରିବର୍ତ୍ତନ କରିପାରିବେ କି?,Or can a beneficiary change his AWC?
"We use the information we have, to help verify accounts.The records may be used for verification of health status for the purposes of Poshan Tracker control and response.",ଖାତା ଯାଞ୍ଚ କରିବାରେ ସାହାଯ୍ୟ କରିବାକୁ ଆମେ ପାଖରେ ଥିବା ସୂଚନା ବ୍ୟବହାର କରୁ | ରେକର୍ଡଗୁଡିକ ପୃଷ୍ଟିକର ଟ୍ରାକର୍ ନିୟନ୍ତ୍ରଣ ଏବଂ ପ୍ରତିକ୍ରିୟା ଉଦ୍ଦେଶ୍ୟରେ ସ୍ୱାସ୍ଥ୍ୟ ସ୍ଥିତିର ଯାଞ୍ଚ ପାଇଁ ବ୍ୟବହୃତ ହୋଇପାରେ |,We use the information we have available to help verify the account or records that can be used to verify health status for the purpose of monitoring and tracking the feed's tracking and response.
Scan the QR Code to Download the App,ଆପ୍ ଡାଉନଲୋଡ୍ କରିବାକୁ କ୍ୟୁଆର୍ କୋଡ୍ ସ୍କାନ୍ କରନ୍ତୁ,Scan the QR code to download the app.
Who is eligible for Hot Cooked Meal?,ଗରମ ରନ୍ଧା ଖାଦ୍ୟ ପାଇଁ କିଏ ଯୋଗ୍ୟ?,Or who is eligible for hot-cooked meals?
Identifying and preventing Severe Acute Malnutrition,ଗୁରୁତର ତୀବ୍ର ପୁଷ୍ଟିହୀନତାକୁ ଚିହ୍ନଟ କରିବା ଏବଂ ପ୍ରତିରୋଧ କରିବା,Or to identify and prevent severe acute malnutrition.
Children who are identified as deficit on nutrition are eligible for additional food supplements.,ପୁଷ୍ଟିକର ଖାଦ୍ୟର ଅଭାବ ବୋଲି ଚିହ୍ନିତ ପିଲାମାନେ ଅତିରିକ୍ତ ଖାଦ୍ୟ ସପ୍ଲିମେଣ୍ଟ ପାଇଁ ଯୋଗ୍ୟ ଅଟନ୍ତି |,Children who are identified as malnourished are eligible for additional food supplements.
Who is eligible for additional supplementary food.,କିଏ ଅତିରିକ୍ତ ସପ୍ଲିମେଣ୍ଟାରୀ ଖାଦ୍ୟ ପାଇଁ ଯୋଗ୍ୟ ଅଟେ |,Who is eligible for additional supplementary food?
"Uploading of Data of Anganwadi Services Schemes in Poshan Tracker (24 May, 2021)","ପୋଷଣ ଟ୍ରାକରରେ ଅଙ୍ଗନୱାଡି ସେବା ସ୍କିମଗୁଡିକର ଡାଟା ଅପଲୋଡ୍ (24 ମଇ, 2021)",Uploaded data of the Anganwadi service schemes in the Nutrition Tracker (24 May 2021)
Children between 6 months - 3 years,6 ମାସ -3 ବର୍ଷ ମଧ୍ୟରେ ପିଲାମାନେ,Children between 6 months and 3 years of age.
"Ministry of Women and Child Development, Government of India, Shastri Bhawan, New Delhi","ମହିଳା ଏବଂ ଶିଶୁ ବିକାଶ ମନ୍ତ୍ରଣାଳୟ, ଭାରତ ସରକାର, ଶାସ୍ତ୍ରୀ ଭବନ, ନୂଆଦିଲ୍ଲୀ","Ministry of Women and Child Development, Government of India, Shastri Bhavan, New Delhi"
Care of the weak newborn baby - How many weak babies are we missing?,ଦୁର୍ବଳ ନବଜାତ ଶିଶୁର ଯତ୍ନ - ଆମେ କେତେ ଦୁର୍ବଳ ଶିଶୁ ହରାଉଛୁ?,Or caring for a weak newborn - how many vulnerable babies are we losing?
Underweight children who received Supplementary Nutrition,ସପ୍ଲିମେଣ୍ଟାରୀ ପୁଷ୍ଟିକର ଗ୍ରହଣ କରିଥିବା ଅଳ୍ପ ଓଜନ ବିଶିଷ୍ଟ ପିଲାମାନେ,Children with low weight who have taken supplemental nutrients
Identification and care of a Weak Newborn baby,ଏକ ଦୁର୍ବଳ ନବଜାତ ଶିଶୁର ପରିଚୟ ଏବଂ ଯତ୍ନ,Or identifying and caring for a weak newborn child.
1.2. Information from use of services.,1.2. ସେବାଗୁଡିକର ବ୍ୟବହାରରୁ ସୂଚନା |,1.2.or information from the use of services.
Please contact your respective Anganwadi Centre.,ଦୟାକରି ଆପଣଙ୍କର ସମ୍ପୃକ୍ତ ଅଙ୍ଗନୱାଡି କେନ୍ଦ୍ର ସହିତ ଯୋଗାଯୋଗ କରନ୍ତୁ |,Please contact your associated Anganwadi Centre.
GOBARDANGA I. C. D. S PROJECT(U),ଗୋବର୍ଦଙ୍ଗା ଆଇସିଡିଏସ ପ୍ରକଳ୍ପ (ୟୁ),Gowardanga is the ICDS project (U)
Please fill in the form below to create a new ticket.Anganwadi Worker will reach out to you within 48 hours.,ଦୟାକରି ଏକ ନୂତନ ଟିକେଟ୍ ସୃଷ୍ଟି କରିବାକୁ ନିମ୍ନରେ ଥିବା ଫର୍ମ ପୂରଣ କରନ୍ତୁ | ଅଙ୍ଗନୱାଡି କର୍ମୀ 48 ଘଣ୍ଟା ମଧ୍ୟରେ ଆପଣଙ୍କ ନିକଟରେ ପହଞ୍ଚିବ |,"To create a new ticket, please fill out the form below.The Anganwadi worker will reach you within 48 hours."
Please note down the ticket number for future reference.,ଦୟାକରି ଭବିଷ୍ୟତ ରେଫରେନ୍ସ ପାଇଁ ଟିକେଟ୍ ନମ୍ବର୍ ନୋଟ୍ କରନ୍ତୁ।,Or please note the ticket number for future reference.
Poshan Tracker is a project of Ministry of Women and Child Development.,ପୋଷଣ ଟ୍ରାକର ହେଉଛି ମହିଳା ଏବଂ ଶିଶୁ ବିକାଶ ମନ୍ତ୍ରଣାଳୟର ଏକ ପ୍ରକଳ୍ପ ।,Nutrition Tracker is a project of the Ministry of Women and Child Development.
Digital India Corporation is the technical partner of MoWCD.,ଡିଜିଟାଲ ଇଣ୍ଡିଆ କର୍ପୋରେସନ ହେଉଛି MoWCDର ବୈଷୟିକ ଅଂଶୀଦାର ।,Digital India Corporation is the technical partner of MoWCD.
Poshan Tracker focuses on eradication of malnutrition from India.,ପୋଷଣ ଟ୍ରାକର ଭାରତରୁ ପୁଷ୍ଟିହୀନତା ନିରାକରଣ ଉପରେ ଧ୍ୟାନ ଦେଇଥାଏ ।,Nutrition Tracker focuses on the prevention of malnutrition from India.
It serves as a mechanism to monitor and improvise on the service delivery under Poshan Abhiyaan,ଏହା ପୋଷଣ ଅଭିଯାନ ଅଧୀନରେ ସେବା ବିତରଣ ଉପରେ ନଜର ରଖିବା ଏବଂ ଉନ୍ନତି କରିବା ପାଇଁ ଏକ ପ୍ରଣାଳୀ ଭାବରେ କାର୍ଯ୍ୟ କରେ,It also serves as a mechanism for monitoring and improving service delivery under the Nutrition Campaign.
Is poshan trackers app available over Apple I Store also?,ଆପଲ୍ ଆଇ ଷ୍ଟୋରରେ ପୋଷନ୍ ଟ୍ରାକ୍ ଆପ୍ ମଧ୍ୟ ଉପଲବ୍ଧ ରହିଛି କି?,Is the Nutrition Track app also available on the Apple Apple Store?
Number of records becoming inactive and number of records migrating from one category to another,ରେକର୍ଡଗୁଡିକର ସଂଖ୍ୟା ନିଷ୍କ୍ରିୟ ହେବା ଏବଂ ଗୋଟିଏ ବର୍ଗରୁ ଅନ୍ୟ ବର୍ଗକୁ ସ୍ଥାନାନ୍ତରିତ ରେକର୍ଡ୍ ସଂଖ୍ୟା,Or the number of records being inactive and the number of records being transferred from one category to another.
In How many languages the Poshan Tracker App is available?,ପୋଷନ୍ ଟ୍ରାକର୍ ଆପ୍ କେତୋଟି ଭାଷାରେ ଉପଲବ୍ଧ ରହିଛି?,How many languages is the Nutrition Tracker app available?
AWWs are requested to enter their mobile numbers in the Login screen.,ଏଡବ୍ଲ୍ୟୁଡବ୍ଲ୍ୟୁମାନଙ୍କୁ ଲଗଇନ୍ ସ୍କ୍ରିନରେ ନିଜର ମୋବାଇଲ୍ ନମ୍ବର ପ୍ରବେଶ କରିବାକୁ ଅନୁରୋଧ କରାଯାଇଛି ।,AWS is asked to enter their mobile number on the login screen.
"An OTP will be sent to your registered mobile number, post which you are required too set your MPIN.","ଆପଣଙ୍କର ପଞ୍ଜୀକୃତ ମୋବାଇଲ୍ ନମ୍ବରକୁ ଏକ ଓଟିପି ପଠାଯିବ, ଯାହାପରେ ଆପଣଙ୍କୁ ଏମ୍ପିଆଇଏନ୍ ସେଟ୍ କରିବାକୁ ପଡିବ ।","An OTP will be sent to your registered mobile number, after which you will need to set the MPIN."
Measles Containing vaccine (MCV)/MR-2JE-2**DiphtheriaPertussis & Tetanus (DPT)-Booster-1OPV –Booster,ମିଳିମିଳା ଧାରଣକାରୀ ଟିକା (MCV) / MR-2JE-2**ଡିଫଥେରିଆପର୍ଟୁସିସ୍ ଏବଂ ଟିଟାନସ୍ (DPT) -ବଷ୍ଟର -1OPV - ବୁଷ୍ଟର,or the fluid-containing vaccine (MCV) /MR-2JE-2**dephtheriapertucis and titanium (DPT) -buster -1OPV -buster
"The MGRS collected primary growth data and related information from approximately 8500 children from widely different ethnic backgrounds and cultural settings (Brazil, Ghana, India, Norway, Oman and the USA)","MGRS ପ୍ରାଥମିକ ଅଭିବୃଦ୍ଧି ତଥ୍ୟ ଏବଂ ଆନୁସଙ୍ଗିକ ସୂଚନା ପ୍ରାୟ 8500 ପିଲାଙ୍କ ଠାରୁ ବିଭିନ୍ନ ଜାତିଗତ ପୃଷ୍ଠଭୂମି ଏବଂ ସାଂସ୍କୃତିକ ସେଟିଂସମୂହ (ବ୍ରାଜିଲ, ଘାନା, ଭାରତ, ନରୱେ, ଓମାନ ଏବଂ ଯୁକ୍ତରାଷ୍ଟ୍ର) ରୁ ସଂଗ୍ରହ କରିଥିଲା   |","MGorRS collected preliminary growth data and related information from approximately 8,500 children from various ethnic backgrounds and cultural settings (Brazil, Ghana, India, Norway, Oman and the United States)."
"Awareness for Children Stunting, Wasting to prevent malnutrition in children","ପିଲାମାନଙ୍କ ପାଇଁ ସଚେତନତା, ପିଲାମାନଙ୍କଠାରେ ପୁଷ୍ଟିହୀନତାକୁ ରୋକିବା ପାଇଁ ଅପଚୟ","or awareness for children, waste to prevent childhood malnutrition."
Poshan Tracker adds new application features,ପୋଷଣ ଟ୍ରାକର୍ ନୂତନ ଆପ୍ଲିକେସନ୍ ବୈଶିଷ୍ଟ୍ୟଗୁଡିକ ଯୋଡିଥାଏ,Nutrition tracker adds new application features to the feed.
Making or Updating Home Visit Planner and Initiating home visits,ଘର ପରିଦର୍ଶନ ଯୋଜନା ପ୍ରସ୍ତୁତ କରିବା କିମ୍ବା ଅଦ୍ୟତନ କରିବା ଏବଂ ଘର ପରିଦର୍ଶନ ଆରମ୍ଭ କରିବା,Or to prepare or update a home visitation plan and start home visits.
Poshan Calculator is designed to measure growth of the child based on standards defined by World Health Organization (WHO),ବିଶ୍ୱ ସ୍ୱାସ୍ଥ୍ୟ ସଂଗଠନ (WHO) ଦ୍ୱାରା ବ୍ୟାଖ୍ୟା କରାଯାଇଥିବା ମାନାଙ୍କ ଉପରେ ଆଧାର କରି ଶିଶୁର ଅଭିବୃଦ୍ଧି ମାପିବା ପାଇଁ ପୃଷ୍ଟିକର କାଲ୍କୁଲେଟର ଡିଜାଇନ୍ କରାଯାଇଛି,Nutrition calculator is designed to measure the growth of a child based on the standards defined by the World Health Organization (WHO).
Migrated from one category to another,ଗୋଟିଏ ବର୍ଗରୁ ଅନ୍ୟ ବର୍ଗକୁ ସ୍ଥାନାନ୍ତରିତ ହୋଇଛି,Or moved from one category to another.
It usually occurs when a person has not had food of adequate quality and quantity and/or they have had frequent or prolonged illnesses,ଏହା ସାଧାରଣତ ଘଟେ ଯେତେବେଳେ ଜଣେ ବ୍ୟକ୍ତିର ପର୍ଯ୍ୟାପ୍ତ ଗୁଣ ଏବଂ ପରିମାଣର ଖାଦ୍ୟ ନଥାଏ ଏବଂ / କିମ୍ବା ସେମାନଙ୍କର ବାରମ୍ବାର କିମ୍ବା ଦୀର୍ଘସ୍ଥାୟୀ ରୋଗ ହୋଇଥାଏ |,Or it usually happens when a person does not have enough quality and quantity of food and/or they have a recurrent or chronic illness.
"Poshan Abhiyaan is India’s flagship programme to improve nutritional outcomes for children, adolescents, pregnant women and lactating mothers by leveraging technology, a targeted approach and convergence.","ଶିଶୁ, କିଶୋର, ଗର୍ଭବତୀମାନଙ୍କ ପାଇଁ ପୁଷ୍ଟିକର ପରିଣାମକୁ ସୁଦୃଢ କରିବା ପାଇଁ ପୋଷନ୍ ଅଭିଆନ୍ ହେଉଛି ଭାରତର ଏକ ପ୍ରମୂଖ କାର୍ଯ୍ୟକ୍ରମ ।","PURN ABIAN is a flagship programme in India to strengthen the nutritional outcomes for children, adolescents, pregnant women."
Hot Cooked Meal (HCM) given in last 30 days,ବିଗତ 30 ଦିନ ମଧ୍ୟରେ ଦିଆଯାଇଥିବା ଗରମ ଭୋଜନ (HCM),Or a hot meal (HCM) served within the last 30 days.
Uploading of Data of Anganwadi Services Schemes in Poshan Tracker,ପୃଷ୍ଟିକର ଟ୍ରାକରରେ ଅଙ୍ଗନୱାଡି ସେବା ଯୋଜନା ଗୁଡିକର ଡାଟା ଅପଲୋଡ୍,Uploading data of the Anganwadi service schemes to the feeder tracker.
How can one Download Poshan Tracker App?,ଜଣେ କିପରି ଭାବେ ପୋଷନ୍ ଟ୍ରାକର୍ ଆପ୍ ଡାଉନଲୋଡ୍ କରିପାରିବେ?,How can one download the Nutrition Tracker app?
"Clarification regarding Cost of Smart phones (03 June, 2021)","ସ୍ମାର୍ଟ ଫୋନର ମୂଲ୍ୟ ବିଷୟରେ ସ୍ପଷ୍ଟୀକରଣ (03 ଜୁନ୍, 2021)","Or clarification on the price of a smartphone (June 03, 2021)"
along with status update once resolved,ଥରେ ସମାଧାନ ହେବା ପରେ ସ୍ଥିତି ଅପଡେଟ୍ ସହ,"Once resolved, the status is updated with the status update."
Poshan Tracker adds new Resources on Website,ପୋଷଣ ଟ୍ରାକର୍ ୱେବସାଇଟ୍ ବୈଶିଷ୍ଟ୍ୟରେ ନୂତନ ଉତ୍ସ ଯୋଡିଥାଏ,Nutrition Tracker adds new resources to the website feature.
"If this is your first time contacting us or you've lost the ticket number, please open a new ticket","ଯଦି ଏହା ଆମର ପ୍ରଥମ ଥର ଆମ ସହିତ ଯୋଗାଯୋଗ କରେ କିମ୍ବା ଆପଣ ଟିକେଟ୍ ନମ୍ବର ହରାଇଛନ୍ତି, ଦୟାକରି ଏକ ନୂତନ ଟିକେଟ୍ ଖୋଲନ୍ତୁ","If this is our first time contacting us or you have lost your ticket number, please open a new ticket."
"Technology under Poshan Tracker is being leveraged for dynamic identification of stunting, wasting, under-weight prevalence among children and last mile tracking of nutrition service delivery","ପୋଶାନ୍ ଟ୍ରାକର୍ ଅନ୍ତର୍ଗତ ଟେକ୍ନୋଲୋଜିକୁ ଷ୍ଟଣ୍ଟିଂ, ଅପଚୟ, ପିଲାମାନଙ୍କ ମଧ୍ୟରେ କମ୍ ଓଜନ ପ୍ରାଦୁର୍ଭାବ ଏବଂ ପୁଷ୍ଟିକର ସେବା ବିତରଣର ଶେଷ ମାଇଲ୍ ଟ୍ରାକିଂର ଗତିଶୀଳ ଚିହ୍ନଟ ପାଇଁ ବ୍ୟବହାର କରାଯାଉଛି |","The technology under the Poshanor Tracker is being used to dynamically identify stunts, waste, childhood obesity and last mile tracking of nutrition services."
"The System also takes feedback about system performance and experience.Information on name, mobile number, date of registration and health status may be used for these purposes","ସିଷ୍ଟମ୍ କାର୍ଯ୍ୟଦକ୍ଷତା ଏବଂ ଅଭିଜ୍ଞତା ବିଷୟରେ ମତାମତ ମଧ୍ୟ ନେଇଥାଏ | ଏହି ଉଦ୍ଦେଶ୍ୟରେ ନାମ, ମୋବାଇଲ୍ ନମ୍ବର, ପଞ୍ଜୀକରଣ ତାରିଖ ଏବଂ ସ୍ୱାସ୍ଥ୍ୟ ସ୍ଥିତି ବିଷୟରେ ସୂଚନା ବ୍ୟବହୃତ ହୋଇପାରେ |","The system also takes feedback on performance and experience, for which information about name, mobile number, registration date and health status may be used."
Tracking of services to the end beneficiary at a click of a button.,ଏକ ବଟନ୍ କ୍ଲିକ୍ କରି ଶେଷ ହିତାଧିକାରୀଙ୍କୁ ସେବାଗୁଡିକର ଟ୍ରାକିଂ କର।,Tracking services to the end beneficiaries by clicking a button.
"Services like Take Home Ration (THR) and Hot cooked Meal (HCM), vaccination for Infants and Pregnant Women","ଘରର ରାସନ ନିଅ (THR) ଏବଂ ରନ୍ଧା ଖାଦ୍ୟ (HCM), ଶିଶୁ ଏବଂ ଗର୍ଭବତୀ ମହିଳାଙ୍କ ପାଇଁ ଟୀକାକରଣ ପରି ସେବାଗୁଡିକ |","Take home ration (THR) and cooked food (HCM), vaccination for babies and pregnant women, and other services."
"New Poshan Tracker App (13 January, 2021)","ନୂତନ ପୋଷନ୍ ଟ୍ରାକର୍ ଆପ୍ (13 ଜାନୁଆରୀ, 2021)","Oror is the new nutrition tracker app (January 13, 2021)"
Preventing illnesses to avert Malnutrition and Death,ପୁଷ୍ଟିହୀନତା ଏବଂ ମୃତ୍ୟୁକୁ ରୋକିବା ପାଇଁ ରୋଗକୁ ରୋକିବା,Or preventing illness to prevent malnutrition and death.
Scan the QR Code to Download the App,ଆପ୍ ଡାଉନଲୋଡ୍ କରିବାକୁ QR କୋଡ୍ ସ୍କାନ୍ କରନ୍ତୁ,Scan the QR code to download the app.
Pregnant women who received Take Home Ration (THR),ଗର୍ଭବତୀ ମହିଳାମାନେ ଯେଉଁମାନେ ଘର ରାସନ (THR) ଗ୍ରହଣ କରିଥିଲେ,or pregnant women who received a home ration (THR).
General Awareness on SAM and MAM,SAM ଏବଂ MAM ଉପରେ ସାଧାରଣ ସଚେତନତା,General awareness about SAMor and MAM.
"App can be accessed offline, currently daily tracking feature is available for offline data entry.Offline mode can store latest 3 days data.","ନା, ବୈଧ ଇଣ୍ଟରନେଟ୍ ସଂଯୋଗ ବିନା ଆପ୍ କାମ କରିବ ନାହିଁ ।","No, the app won't work without a valid internet connection."
