eng,bn,translation_text
It serves as a mechanism to monitor and improvise on the service delivery under Poshan Abhiyaan,এটি পোশান অভিযানের অধীনে পরিষেবা সরবরাহের উপর নজরদারি এবং তার তাৎক্ষণিক উন্নযনের লক্ষ্যে একটি প্রক্রিযা হিসাবে কাজ করে,.au.au.au.au.au.au.au.au.au.au.au.au.au.au.au.au.au.au.au.au.au.au.au.au.au.au.au.au.au.au.au.au.au.au.au.au.au.au.au.au.au.au.au.au.au.au.au.au.au.au.au.au.au.au.au.au.au.au.au.au.au.au.au.au.au.au.au.au.au.au.au.au.au.au.au.au.au.au.au.au.au.au.au.au.au.au.au.au.au.au.au.au.au.au.au.au.au.au
Is poshan trackers app available over Apple I Store also?,অ্যাপল আই স্টোরের উপরেও কি পশান ট্র্যাকস অ্যাপ পাওযা যায?,eng.bn Can the pushon tracks app be found on the Apple iStore too?
Number of records becoming inactive and number of records migrating from one category to another,নিষ্ক্রিয হওযা রেকর্ডের সংখ্যা এবং এক বিভাগ থেকে অন্য বিভাগে স্থানান্তরিত রেকর্ডের সংখ্যা,eng.bn Number of records that are deleted and number of records that are transferred from one category to another.
In How many languages the Poshan Tracker App is available?,কত ভাষায পশান ট্র্যাকার অ্যাপ্লিকেশন উপলব্ধ?, How many languages are there?
AWWs are requested to enter their mobile numbers in the Login screen.,AWW দের লগইন স্ক্রিনে তাদের মোবাইল নম্বর এন্টার করার জন্য অনুরোধ করা হয।,.au.au.au.au.au.au.au.au.au.au.au.au.au.au.au.au.au.au.au.au.au.au.au.au.au.au.au.au.au.au.au.au.au.au.au.au.au.au.au.au.au.au.au.au.au.au.au.au.au.au.au.au.au.au.au.au.au.au.au.au.au.au.au.au.au.au.au.au.au.au.au.au.au.au.au.au.au.au.au.au.au.au.au.au.au.au.au.au.au.au.au.au.au.au.au.au.au.au
"An OTP will be sent to your registered mobile number, post which you are required too set your MPIN.","আপনার নিবন্ধিত মোবাইল নম্বরে একটি ওটিপি পাঠানো হবে, এর পর আপনাকে আপনার MPIN সেট করতে হবে।"," An OTP will be sent to your registered mobile number, after which you will need to set your MPIN."
Measles Containing vaccine (MCV)/MR-2JE-2**DiphtheriaPertussis & Tetanus (DPT)-Booster-1OPV –Booster,হামের ভ্যাকসিন (MCV)/MR-2JE-2**ডিপথিরিযাপারটুসিস এবং টিটেনাস্ (DPT)-বুস্টার-1OPV - বুস্টার,eng.bn Hamer Vaccine (MCV)/MR-2JE-2**Diptheriapartuosis and Titenas (DPT) -Booster-1OPV - Booster
The Poshan Tracker enables real-time monitoring and tracking of all AWCs and beneficiaries on defined indicators.,পোশান ট্র্যাকার সমস্ত AWC এবং সংজ্ঞাযিত সূচকে সুবিধাভোগীদের রিযেল-টাইম পর্যবেক্ষণ এবং ট্র্যাকিং সক্ষম করে।,eng.bn Dress Tracker enables real-time monitoring and tracking of beneficiaries in all AWC and defined indexes.
It is built using centralized data architecture that also aligns with the digital technology systems of other ministries and programs.,এটি কেন্দ্রীভূত ডেটা আর্কিটেকচার ব্যবহার করে তৈরি করা হযেছে যা অন্যান্য মন্ত্রণালয এবং প্রোগ্রামগুলির ডিজিটাল প্রযুক্তি সিস্টেমের সাথে সারিবদ্ধ।, It is created using a centralized data architecture that is aligned with the digital technology systems of other ministries and programs.
The public dashboard helps to impart transparency on services delivered to beneficiaries,পাবলিক ড্যাশবোর্ড সুবিধাভোগীদের প্রদান করা পরিষেবাগুলিতে স্বচ্ছতা প্রদানে সহাযতা করে,engrass Public Dashboard helps to provide transparency in the services provided to the beneficiaries.
Translations on the Poshan Tracker Portal & App Chabot are done by third party translators.,পোশান ট্র্যাকার পোর্টাল এবং অ্যাপ চ্যাটবটের অনুবাদগুলি তৃতীয পক্ষের অনুবাদকদের দ্বারা করা হয।, The translation of the Dress Tracker portal and the App Chatbot are done by third-party translators.
"While the translations are done on a best effort basis, some of the parts may be incorrect.","যদিও অনুবাদগুলি সর্বোত্তম প্রচেষ্টার ভিত্তিতে করা হয, তবে কিছু অংশ ভুল হতে পারে।"," Although translations are done with the best of efforts, some parts may be wrong."
Certain files and other items on the website cannot be translated.,ওযেবসাইটের কিছু ফাইল এবং অন্যান্য আইটেম অনুবাদ করা যাবে না।, Some files and other items on the web site cannot be translated.
"In addition, on translation, some applications and/or services may not function as expected, due to language barriers.","উপরন্তু, অনুবাদ করলে, কিছু অ্যাপ্লিকেশন এবং/অথবা পরিষেবাগুলি প্রত্যাশিতভাবে কাজ নাও করতে পারে, ভাষার বাধার কারণে।","eng.org - If translated, some applications and/or services may not work as expected, due to language disruption."
"We are working constantly to rectify any errors, omissions, or ambiguities in the translations provided on this portal.","এই পোর্টালে প্রদত্ত অনুবাদগুলিতে যেকোন ত্রুটি, বাদ পডা বা অস্পষ্টতা সংশোধন করার জন্য আমরা ক্রমাগত কাজ করছি।"," We are continually working to correct any errors, omissions or ambiguities in the translations provided on this portal."
"The MGRS collected primary growth data and related information from approximately 8500 children from widely different ethnic backgrounds and cultural settings (Brazil, Ghana, India, Norway, Oman and the USA)","MGRS ব্যাপকভাবে বিভিন্ন জাতিগত পটভূমি এবং সাংস্কৃতিক সেটিং (ব্রাজিল, ঘানা, ভারত, নরওযে, ওমান এবং মার্কিন যুক্তরাষ্ট্র) থেকে আনুমানিক 8500 শিশুর প্রাথমিক বৃদ্ধির তথ্য এবং সম্পর্কিত তথ্য সংগ্রহ করেছে।","eng.org MGRSbn has extensively collected data and related data on the early development of approximately 8500 infants from various ethnic backgrounds and cultural settings (Brazil, Ghana, India, Norway, Oman and the United States)"
Children of different age groups are monitored on monthly basis by AWWs.,AWWs দ্বারা মাসিক ভিত্তিতে বিভিন্ন বযসের শিশুদের পর্যবেক্ষণ করা হয।, AWbnWs monitor children of different ages on a monthly basis.
"Health indicators like Stunting, Wasting and Underweight prevalence are measured as per WHO standards.","স্বাস্থ্য সূচক যেমন স্টান্টিং, ওযেস্টিং এবং কম ওজনের প্রাদুর্ভাব WHO-এর মান অনুযাযী পরিমাপ করা হয।","eng, weighting, and low-weight outbreaks are measured according to WHO standards."
Regular growth monitoring helps AWWs to provide relevant and timely assistance to children,নিযমিত বৃদ্ধি পর্যবেক্ষণ AWW-কে শিশুদের প্রাসঙ্গিক এবং সমযমত সহাযতা প্রদান করতে সাহায্য করে,engengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengeng
"Awareness for Children Stunting, Wasting to prevent malnutrition in children","শিশুদের মধ্যে অপুষ্টি প্রতিরোধে শিশুদের বৃদ্ধিতে বাধা, অপুষ্টির ব্যাপারে সচেতনতা",engengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengeng
Poshan Tracker adds new application features,পোশান ট্র্যাকার নতুন অ্যাপ্লিকেশন বৈশিষ্ট্য যোগ করে,eng.bn Fashion Tracker adds new app features to the app
Making or Updating Home Visit Planner and Initiating home visits,হোম ভিজিট প্ল্যানার তৈরি বা আপডেট করা এবং হোম ভিজিট শুরু করা, Create or update a home visit planner and start a home visit.
Poshan Calculator is designed to measure growth of the child based on standards defined by World Health Organization (WHO),পোশান ক্যালকুলেটর বিশ্ব স্বাস্থ্য সংস্থা (WHO) দ্বারা সংজ্ঞাযিত মানগুলির উপর ভিত্তি করে শিশুদের বৃদ্ধি পরিমাপ করার জন্য ডিজাইন করা হযেছে।,eng.bn Clothing Calculator is designed to measure children's growth based on standards defined by the World Health Organization (WHO).
Migrated from one category to another,এক শ্রেণী থেকে অন্য শ্রেণীতে স্থানান্তরিত হযেছে,eng.bn. -Blooded from one class to another.
It usually occurs when a person has not had food of adequate quality and quantity and/or they have had frequent or prolonged illnesses,এটি সাধারণত তখনই ঘটে যখন একজন ব্যক্তি পর্যাপ্ত মানের এবং পরিমাণে খাবার না পায এবং/অথবা সে ঘন ঘন অসুস্থ হযে পরে বা দীর্ঘস্থাযী অসুস্থতা থাকে, This usually occurs when a person does not get enough quality and quantity of food and/or he is frequently ill after or with chronic illness.
"Poshan Abhiyaan is India’s flagship programme to improve nutritional outcomes for children, adolescents, pregnant women and lactating mothers by leveraging technology, a targeted approach and convergence.","পশান অভিযান হ'ল শিশু, কিশোর, গর্ভবতীদের পুষ্টির ফলাফল উন্নত করার জন্য ভারতের এক নিজস্ব কর্মসূচি।"," ""Pasha Bhan"" is India's own program to improve nutrition outcomes for children, teenagers, pregnant women."
Hot Cooked Meal (HCM) given in last 30 days,গত ৩০ দিনের মধ্যে দেওযা গরম রান্না করা খাবার (এইচসিএম), HCMs (hot cooked foods) - HCMs - Hot cooked foods (hot cooked foods) - HCMs - HCMs - Hot cooked foods - HCMs - Hot cooked foods - HCMs - Hot cooked foods - HCMs - Hot cooked foods - HCMs - Hot cooked foods - Hot cooked foods - Hot cooked foods - Hot cooked foods - Hot cooked foods - Hot cooked foods - Hot cooked foods - Hot cooked foods - Hot cooked foods - Hot cooked foods - Hot cooked foods - Hot cooked foods - Hot cooked foods - Hot cooked foods - Hot cooked foods - Hot cooked foods - Hot cooked foods - Hot cooked foods - Hot cooked foods - Hot cooked foods - Hot cooked foods - Hot cooked foods - Hot cooked foods - Hot cooked foods - Hot cooked foods - Hot
Uploading of Data of Anganwadi Services Schemes in Poshan Tracker,পোশান ট্র্যাকারে অঙ্গনওযাডি পরিষেবা প্রকল্পের ডেটা আপলোড করা,eng.bn Uploading data from the service project to the clothing tracker
The Poshan Tracker generates automated alerts to the critical last-mile beneficiaries.,পোশান ট্র্যাকার শেষ-মাইলের গুরুত্বপূর্ণ সুবিধাভোগীদের জন্য স্বযংক্রিয অ্যালার্ট তৈরী করে।,eng.bn Dress Tracker creates automated alerts for important end-mile beneficiaries.
It also ensures efficient audit of the delivery system by documenting real time attendance of beneficiaries and duty bearers.,এটি সুবিধাভোগী এবং দাযিত্ব বহনকারীদের রিযেল-টাইম উপস্থিতি নথিভুক্ত করে বিতরণ ব্যবস্থার একটি দক্ষ নিরীক্ষা নিশ্চিত করে।," It documents the real-time presence of the beneficiaries and liabilities, ensuring an efficient audit of the distribution system."
"This management information system will help the nutrition programme to scale efficiently, thereby generating and documenting positive impact","এই ম্যানেজমেন্ট ইনফরমেশন সিস্টেম পুষ্টি প্রোগ্রামকে দক্ষতার সাথে মাপতে সাহায্য করবে, যার ফলে একটি ইতিবাচক প্রভাব তৈরি এবং নথিভুক্ত করবে","eng.org - This management information system will help to efficiently measure nutrition programs, thereby creating and documenting a positive impact."
How can one Download Poshan Tracker App?,কীভাবে একজন পশান ট্র্যাকার অ্যাপ্লিকেশন ডাউনলোড করতে পারেন?,eng.bn A push tracker app can download a push tracker app?
"Clarification regarding Cost of Smart phones (03 June, 2021)","স্মার্ট ফোনের দাম সম্পর্কে ব্যাখ্যা (০৩ জুন, ২০২১)"," Explanation of the price of smartphones (June 03, 2021)"
along with status update once resolved,স্ট্যাটাস আপডেট সহ একবার সমাধান করা হযে গেছে,"eng.org - Once solved with the status update,"
"The Poshan Tracker system is regularly audited by auditors engaged by MWCD, for security and scalability of the system.",সিস্টেমের নিরাপত্তা এবং মাপযোগ্যতার জন্য MWCD দ্বারা নিযুক্ত অডিটরদের দ্বারা পোশান ট্র্যাকার সিস্টেমটি নিযমিতভাবে নিরীক্ষিত হয।,eng sistemat tracker sistemat sistemat sistemat sistemat sistemat sistemat sistemat sistemat sistemat sistemat sistemat sistemat sistemat sistemat sistemat sistemat sistemat sistemat sistemat sistemat sistemat sistemat sistemat sistemat sistemat sistemat sistemat sistemat sistemat sistemat sistemat sistemat sistemat sistemat sistemat sistemat sistemat sistemat sistemat sistemat sistemat sistemat sistemat sistemat sistemat sistemat sistemat sistemat sistemat sistemat sistemat sistemat sistemat sistemat sistemat sistemat sistemat sistemat sistemat sistemat sistemat sistemat sistemat sistemat sistemat sistemat sistemat sistemat sistemat sistemat sistemat sistemat sistemat sistemat sistemat sistemat sistemat sistemat sistemat sistemat sistemat sistemat sistemat sistemat sistemat sistemat sistemat sistemat sistemat sistemat sistemat sistemat sistemat sistemat sistemat sistemat sistemat
The records may be used for such audits.,এই ধরনের নিরীক্ষার জন্য রেকর্ড ব্যবহার করা যেতে পারে।,eng.org - Records can be used for this type of audit.
