eng,hi,mBART600M
Birth Preparedness- For Institutional and Home Delivery,जन्म से पूर्व तैयारी-नैदानिकों और गृह प्रसव के संदर्भ में,Pre-natal preparation-in terms of clinicians and home delivery.
New beneficiary addition with skip OTP option,स्किप ओटीपी विकल्प के साथ नई  लाभार्थी संयोजन,A new beneficiary combination with the Skip OTP option
We are now available on Video Conference,अब हम वीडियो कॉन्फ्रेंस पर उपलब्ध हैं,We are now available via videoconferencing.
"Poshan Tracker App is meant for Aanganwadi workers, Anganwadi centers to enter beneficiaries data in the forms.",पोषण ट्रैकर ऐप आंगनवाडी कार्यकर्ताओं के लिए है जो आंगनवाडी केंद्रों के लाभार्थियों के डेटा को प्रपत्रों में दर्ज करता है।,Nutrition Tracker app is for Anganwadi workers which records data of beneficiaries of the Anganwadi centres in forms.
It is not at all developed for general public.,यह आम जनता के लिए बिल्कुल भी विकसित नहीं है।,It is not developed at all for the general public.
Swastha Balak/Balika Spardha Mission is about celebrating the health of children in India.,Swastha Balak/Balika Spardha Mission is about celebrating the health of children in India.,Swhiastha Balak/Balika Spardha Mission is about celebrating the health of children in India.
It entails identification and awareness of health conditions and providing necessary support wherever required.,It entails identification and awareness of health conditions and providing necessary support wherever required.,It involves identifying and raising awareness of health conditions and providing necessary support wherever needed.
”Our Privacy Policy applies when you use our Services (described below).,"""Our Privacy Policy applies when you use our Services (described below).","""Our Privacy Policy applies when you use our Services (described below)."
"This Privacy Policy is meant to help you understand what information we collect, why we collect it, and how it is used and shared.","This Privacy Policy is meant to help you understand what information we collect, why we collect it, and how it is used and shared.","This Privacy Policy is intended to help you understand what information we collect, why we collect it, and how it is used and shared."
The collecting and retaining agency in respect of your information is Ministry of Women and Child Development.,The collecting and retaining agency in respect of your information is Ministry of Women and Child Development.,The only agency collecting and retaining your information is the Ministry of Women and Child Development.
We are committed to protecting the security of your personal information and safeguarding your privacy.,We are committed to protecting the security of your personal information and safeguarding your privacy.,We are committed to protecting the security of your personal information and safeguarding your privacy.
How to revive your health if you are Underweight,"यदि आप कम वजन वाले हैं, तो अपने स्वास्थ्य को पुनर्जीवित कैसे करें","If you are underweight, how can you restore your health?"
Can a beneficiary change his/her AWC?,क्या कोई लाभार्थी अपना आँगनवाडी केंद्र परिवर्तित कर सकता है?,Can a beneficiary convert his or her Aganwadi Centre?
"We use the information we have, to help verify accounts.",खातों को सत्यापित करने में सहायता के लिए हम अपने पास मौजूद सूचना का उपयोग करते हैं।,We use the information we have to help verify accounts.
The records may be used for verification of health status for the purposes of Poshan Tracker control and response.,पोषण ट्रैकर नियंत्रण और प्रतिक्रिया के प्रयोजनों के लिए रिकॉर्ड का उपयोग स्वास्थ्य स्थिति के सत्यापन के लिए किया जा सकता है।,Records for the purposes of nutrition tracker control and response can be used to verify health status.
Scan the QR Code to Download the App,ऐप डाउनलोड करने के लिए क्यूआर कोड को स्कैन करें,Scan the QR code to download the app.
Who is eligible for Hot Cooked Meal?,गर्म पके हुए भोजन के लिए कौन पात्र है?,Who is eligible for hot-baked meals?
Identifying and preventing Severe Acute Malnutrition,गंभीर कुपोषण की पहचान और बचाव,Identifying and preventing severe malnutrition
Children who are identified as deficit on nutrition are eligible for additional food supplements.,पोषण की कमी वाले बच्चों के रूप में पहचाना जाने वाले बच्चे अतिरिक्त पूरक आहार के लिए पात्र हैं।,Children identified as malnourished children are eligible for supplemental nutrition.
Who is eligible for additional supplementary food.,अतिरिक्त पूरक भोजन के लिए कौन पात्र है।,Who is eligible for additional supplemental meals?
Children between 6 months - 3 years,6 महीने से 3 साल के बीच के बच्चे,Children between 6 months and 3 years old
"Ministry of Women and Child Development, Government of India, Shastri Bhawan, New Delhi","महिला एवं बाल विकास मंत्रालय, भारत सरकार, शास्त्री भवन, नई दिल्ली","Ministry of Women and Child Development, Government of India, Shastri Bhawan, New Delhi"
Care of the weak newborn baby - How many weak babies are we missing?,कमजोर नवजात शिशु की देखभाल- हमारे द्वारा कितने कमजोर शिशुओं की अनदेखी हुई है?,What about caring for a weakened newborn - how many weakened babies have we overlooked?
Underweight children who received Supplementary Nutrition,पूरक पोषण प्राप्त करने वाले कम वजन के बच्चे,Children with low weight who receive nutritional supplements
This defense and indemnification obligation will survive this Agreement and your use of the Service and Website/App.,यह रक्षा और क्षतिपूर्ति दायित्व इस वेबसाइट/ऐप केअनुबंध और सेवा आपके उपयोग से बचे रहेंगे।,This protection and compensation obligation will be exempt from your use of this website/app.
Identification and care of a Weak Newborn baby,कमजोर नवजात शिशु की पहचान और देखभाल,Identify and care for a vulnerable newborn baby.
1.2. Information from use of services.,1.2. सेवाओं के उपयोग से प्राप्त सूचनाएँ।,1.2.hi. Notifications obtained from the use of the services.
Please contact your respective Anganwadi Centre.,"कृपया, अपने संबंधित आँगनवाडी केंद्र से संपर्क करें।",Please contact your respective Aganwadi Centre.
GOBARDANGA I. C. D. S PROJECT(U),गोबरदंगा आईसीडीएस परियोजना (यू),The Gohiberdanga ICDS project (U) is being implemented.
Please fill in the form below to create a new ticket.,नया टिकट बनाने के लिए कृपया नीचे दिए गए प्रपत्र को भरें।,"To create a new ticket, please fill out the form below."
Anganwadi Worker will reach out to you within 48 hours.,आँगनबाडी कार्यकर्ता 48 घंटे के अंदर आपसे संपर्क करेगी।,An agganwadi worker will contact you within 48 hours.
Please note down the ticket number for future reference.,कृपाकए भविष्यक सन्दर्भ लेल टिकट संख्या नोट करू।,"For future reference, please note the ticket number."
Poshan Tracker is a project of Ministry of Women and Child Development.,पोषण ट्रैकर महिला एवं बाल विकास मंत्रालयक एकटा परियोजना अछि।,The Nutrition Tracker is a project of the Ministry of Women and Child Development.
Digital India Corporation is the technical partner of MoWCD.,डिजिटल इंडिया कॉर्पोरेशन महिला एवं बाल विकास मंत्रालय (MoWCD) केँ एकटा तकनीकी भागीदार अछि।,Digital India Corporation is a technical partner to the Ministry of Women and Child Development (MoWCD).
Poshan Tracker focuses on eradication of malnutrition from India.,पोषण ट्रैकर भारत मे कुपोषणक उन्मूलन पर केंद्रित अछि।,The Nutrition Tracker focuses on eliminating malnutrition in India.
It serves as a mechanism to monitor and improvise on the service delivery under Poshan Abhiyaan,सेवा वितरण पर निगरानी आ सुधार करबाक लेल पोषण अभियान केर अधीनस्थ ई एकटा तंत्रक रूप मे कार्य करैत अछि,"The E, which is a subsidiary of the Nutrition Campaign, acts as a single mechanism to monitor and improve the delivery of services."
Is poshan trackers app available over Apple I Store also?,क्या ऐप्पल आई स्टोर पर भी पोषण ट्रैक ऐप उपलब्ध है?,Is the nutrition tracking app also available on the Apple Apple Store?
Number of records becoming inactive and number of records migrating from one category to another,निष्क्रिय होने वाले रिकॉर्डों  की संख्या और एक श्रेणी से दूसरी श्रेणी में जाने वाले रिकॉर्डों  की संख्या,The number of records that are deactivated and the number of records that are moved from one category to another.
In How many languages the Poshan Tracker App is available?,पोषण ट्रैकर ऐप कितनी भाषाओं में उपलब्ध है?,How many languages is the Nutrition Tracker app available?
AWWs are requested to enter their mobile numbers in the Login screen.,एडब्ल्यूडब्ल्यू से अनुरोध है कि लॉगिन स्क्रीन में अपने मोबाइल नंबर दर्ज करें।,AWW is requested to enter your mobile number in the login screen.
"An OTP will be sent to your registered mobile number, post which you are required too set your MPIN.","आपके पंजीकृत मोबाइल नंबर पर एक ओटीपी भेजा जाएगा जिसकी आपको आवश्यकता है, अपना एमपीआईएन स्थापित करें।","An OTP will be sent to your registered mobile number, which you need, set up your MPIN."
Measles Containing vaccine (MCV)/MR-2JE-2**DiphtheriaPertussis & Tetanus (DPT)-Booster-1OPV –Booster,खसरा युक्त टीका (MCV)/MR-2JE-2**डिप्थीरियापर्टुसिस और टिटनेस (DPT)-बूस्टर-1OPV-बूस्टर,The measles-containing vaccine (MCV)/MR-2JE-2**diptyriapertucis and titnese (DPT) -booster-1OPV-booster
The Poshan Tracker enables real-time monitoring and tracking of all AWCs and beneficiaries on defined indicators.,यह पोषण ट्रैकर परिभाषित संकेतकों के आधार पर वास्तविक समयावधि और सभी आँगनवाडी कार्यकर्ताओं के साथ-साथ लाभार्थियों की ट्रैकिंग और निगरानी सक्षम बनाता है।,This nutrition tracker enables real-time tracking and monitoring of all yard workers as well as beneficiaries based on the indicators defined by the tracker.
It is built using centralized data architecture that also aligns with the digital technology systems of other ministries and programs.,इसका निर्माण केंद्रीकृत आँकडों के ढाँचों का उपयोग करके किया जाता है जिसमें अन्य मंत्रालय और उनके कार्यक्रम डिजिटल प्रणाली द्वारा एक संरेखित होते हैं।,It is built using centralized data structures in which other ministries and their programs are aligned by a digital system.
The public dashboard helps to impart transparency on services delivered to beneficiaries,पब्लिक डैसबोर्ड का प्रमुख कार्य लाभार्थी को प्रदत सेवा में पारदर्शिता को बनाए रखने में सहायता प्रदान करना है।,The main function of the public dashboard is to help the beneficiary maintain transparency in the services provided.
Translations on the Poshan Tracker Portal & App Chabot are done by third party translators.,पोषण ट्रैकर पोर्टल और ऐप चैट-बोट पर तीसरे पक्ष के अनुवादकों द्वारा अनुवाद किया जाता है।,The nutrition tracker portal and app are translated by third-party translators on the chat-bot.
"While the translations are done on a best effort basis, some of the parts may be incorrect.","हालाँकि, अनुवाद की श्रेणी को सर्वोत्तम रखने का प्रयास किया जाता है, फिर भी इसमें संभावित रूप से कुछ त्रुटियाँ पाई जा सकती हैं।","Although efforts are made to keep the category of translations as best as possible, there are still some errors that can be found."
Certain files and other items on the website cannot be translated.,इस वेबसाइट पर उपलब्ध कुछ फाइलों और अन्य सामग्रियों का अनुवाद नहीं किया जा सकता है।,Some files and other materials available on this website cannot be translated.
"In addition, on translation, some applications and/or services may not function as expected, due to language barriers.","इसके अलावा, अनुवाद के संदर्भ में भाषा की बाधाओं के कारण कुछ एप्लिकेशन और/या सेवाएँ अपेक्षित रूप से कार्य नहीं कर सकती हैं।","In addition, some applications and/or services may not work as expected due to language barriers in terms of translation."
"We are working constantly to rectify any errors, omissions, or ambiguities in the translations provided on this portal.","हम इस पोर्टल पर उपलब्ध कराए गए अनुवादों में किसी भी प्रकार की त्रुटि, चूक या अस्पष्टता को सुधारने के लिए निरंतर कार्य कर रहे हैं।","We are continuously working to correct any errors, omissions or ambiguities in the translations made available on this portal."
"The MGRS collected primary growth data and related information from approximately 8500 children from widely different ethnic backgrounds and cultural settings (Brazil, Ghana, India, Norway, Oman and the USA)","MGRS ने व्यापक रूप से विभिन्न जातीय और सांस्कृतिक पृष्ठभूमि (ब्राजील, घाना, भारत, नॉर्वे, ओमान और यूएसए) से लगभग 8500 बच्चों का प्राथमिक विकास का आँकडा और संबंधित जानकारी एकत्र की।","MGhiRS collected data and related information on the primary development of about 8500 children from a wide range of ethnic and cultural backgrounds (Brazil, Ghana, India, Norway, Oman and the USA)."
Children of different age groups are monitored on monthly basis by AWWs.,AWW द्वारा मासिक आधार पर विभिन्न आयु वाले बच्चों की निगरानी करना।,AWhiW monitors children of all ages on a monthly basis.
"Health indicators like Stunting, Wasting and Underweight prevalence are measured as per WHO standards.","स्वास्थ्य संकेतक जैसे-स्टंटिंग, वेस्टिंगऔर कम वजन से संबंधित मामलों को विश्व स्वास्थ्य संगठन के मानक के अनुसार मापा जाता है।","Health indicators such as stunting, wasting, and cases of weight loss are measured according to the World Health Organization's standard."
Regular growth monitoring helps AWWs to provide relevant and timely assistance to children,बच्चों को प्रासंगिक और आवधिक सहायता प्रदान करने में नियमित विकास निगरानी आँगनवाडी कार्यकर्ताओं को सक्षम बनाता है।,Regular development monitoring enables the yard workers to provide relevant and periodic assistance to children.
"Awareness for Children Stunting, Wasting to prevent malnutrition in children","बच्चों में कुपोषण को रोकने के लिए स्टंटिंग, वेस्टिंग के प्रति जागरुकता","Stunting, wasteful, and awareness-raising to prevent malnutrition in children."
Poshan Tracker adds new application features,पोषण ट्रैकर ने नई एप्लिकेशन फीचर जोडा है,Nutrition Tracker has added a new app feature.
Making or Updating Home Visit Planner and Initiating home visits,देखभाल कर्ता की गृह यात्रा संबंधी योजनाओं का निर्माण करना और उन्हें अद्यतित करते रहना,hihi to build and keep updated the caregiver's home travel plans.
Poshan Calculator is designed to measure growth of the child based on standards defined by World Health Organization (WHO),विश्व स्वास्थ्य संगठन द्वारा परिभाषित मानकों के आधार पर बच्चों के विकास को मापने के लिए पोषण मापक का निर्माण किया गया।,Nutrition meters were developed to measure children's development based on standards defined by the World Health Organization.
Migrated from one category to another,एक श्रेणी से दूसरी श्रेणी में स्थानांतरण,transferring from one category to another categoryhi
It usually occurs when a person has not had food of adequate quality and quantity and/or they have had frequent or prolonged illnesses,यह आमतौर पर तब होता है जब किसी व्यक्ति ने पर्याप्त गुणवत्ता और मात्रा का भोजन नहीं किया होता है और/या उन्हें बार-बार या लंबी बीमारी होती है,This usually occurs when a person has not eaten enough food in sufficient quantity and/or has a recurrent or chronic illness.
"Poshan Abhiyaan is India’s flagship programme to improve nutritional outcomes for children, adolescents, pregnant women and lactating mothers by leveraging technology, a targeted approach and convergence.","पोषण अभियान, एक लक्षित दृष्टिकोण और अभिसरण द्वारा बच्चों, किशोरों, गर्भवती महिलाओं और स्तनपान कराने वाली माताओं के लिए पोषण संबंधी परिणामों में सुधार करने के लिए भारत का प्रमुख कार्यक्रम है।","The NIHI Nutrition Campaign is India's flagship program to improve nutritional outcomes for children, adolescents, pregnant women and breastfeeding mothers through a targeted approach and convergence."
Hot Cooked Meal (HCM) given in last 30 days,पिछले 30 दिनों में दिया गया गर्म पकाया हुआ भोजन (एचसीएम),Hot cooked meals (HCM) served in the last 30 days
Uploading of Data of Anganwadi Services Schemes in Poshan Tracker,पोषण ट्रैकर में आँगनवाडी सेवा योजनाओं के आँकडे को अपलोड करना,Uploading data on the Aganwadi service schemes to the Nutrition Tracker
The Poshan Tracker generates automated alerts to the critical last-mile beneficiaries.,पोषण ट्रैकर लाभार्थियों के महत्वपूर्ण स्व-चालित संकेतकों का निर्माण करता है।,The nutrition tracker builds critical self-driving indicators of beneficiaries.
It also ensures efficient audit of the delivery system by documenting real time attendance of beneficiaries and duty bearers.,यह लाभार्थियों और कर्तव्य धारकों की वास्तविक सामयिक उपस्थिति का दस्तावेजीकरण करके वितरण प्रणाली की कुशल लेखा परीक्षा की भी सुनिश्चितता करता है।,It also ensures efficient auditing of the distribution system by documenting the actual timely presence of beneficiaries and duty holders.
"This management information system will help the nutrition programme to scale efficiently, thereby generating and documenting positive impact",यह प्रबंधन सूचना प्रणाली पोषण कार्यक्रम और उससे संबंधित दस्तावेजीकरण की कुशलता से वृद्धि करते हुए सकारात्मक प्रभाव को उत्पन्न करने में सहायता करेगी।,This management information system will help generate a positive impact while efficiently enhancing nutrition programs and related documentation.
How can one Download Poshan Tracker App?,पोषण ट्रैकर ऐप को कैसे डाउनलोड किया जा सकता है?,How can the Nutrition Tracker app be downloaded?
along with status update once resolved,एक बार हल हो जाने पर स्थिति अपडेट के साथ,Once resolved with a status update
"The Poshan Tracker system is regularly audited by auditors engaged by MWCD, for security and scalability of the system.",इस प्रणाली की सुरक्षा और मापनीयता के लिए MWCD द्वारा नियुक्त लेखापरीक्षकों द्वारा पोषण ट्रैकर प्रणाली का नियमित रूप से लेखा-परीक्षण किया जाता है।,The nutrition tracker system is regularly audited by auditors appointed by MWCDhi for the safety and scalability of this system.
The records may be used for such audits.,ऐसे लेखा-परीक्षण के लिए अभिलेखों का उपयोग किया जा सकता है।,Records can be used for such audits.
Poshan Tracker adds new Resources on Website,पोषण ट्रैकर ने वेबसाइट सुविधा पर नई संसाधन जोडा है,Nutrition Tracker has added new resources to the website feature.
"Technology under Poshan Tracker is being leveraged for dynamic identification of stunting, wasting, under-weight prevalence among children and last mile tracking of nutrition service delivery","पोषण ट्रैकर के तहत प्रौद्यौगिकी का उपयोग स्टंटिंग, वेस्टिंग, कम वजन वाले बच्चों की पहचान और पोषण सेवा के वितरण को गतिशील पहचान देने में किया जा सकता है।","The technology under the Nutrition Trackerhi can be used to dynamically identify stunting, wasting, identifying children with low weight and distributing nutrition services."
The System also takes feedback about system performance and experience.,"सिस्टम, सिस्टम प्रदर्शन और अनुभव के बारे में भी प्रतिक्रिया प्राप्त करता है।","It also receives feedback about the system, system performance and experience."
"Information on name, mobile number, date of registration and health status may be used for these purposes","इन उद्देश्यों के लिए नाम, मोबाइल नंबर, पंजीकरण की तारीख और स्वास्थ्य की स्थिति की सूचना का उपयोग किया जा सकता है।","For these purposes, information on name, mobile number, date of registration and health status may be used."
"We collect the content and other information that you provide when you use our Services, including when you sign up for an account.","जब आप किसी खाते के लिए साइन अप करते हैं, तो हम उस सामग्री और अन्य सूचना को भी एकत्र करते हैं, जो आप हमारी सेवाओं का उपयोग करते समय हमें प्रदान करते हैं।","When you sign up for an account, we also collect the content and other information you provide us when you use our services."
"You may, however, choose not to share personal data where providing the data is optional.","हालाँकि, आप जहाँ डेटा प्रदान करना वैकल्पिक है वहाँ व्यक्तिगत आँकडों को साझा नहीं करने वाले विकल्प का चयन कर सकते हैं।","However, where data provision is optional, you can choose not to share personal data."
Tracking of services to the end beneficiary at a click of a button.,एक बटन के क्लिक द्वारा लाभार्थी के साथ-साथ सेवाओं की अंतिम रूप से ट्रैकिंग करना।,"Hi, tracking the beneficiary as well as the services ultimately by clicking a button."
"Services like Take Home Ration (THR) and Hot cooked Meal (HCM), vaccination for Infants and Pregnant Women","टेक होम राशन, हॉट कुक्ड मील, गर्भवती महिलाओं और बच्चों के टीकाकरण जैसी सेवाएँ-","Services such as home rationing, hot cooked meals, vaccination of pregnant women and children-"
Preventing illnesses to avert Malnutrition and Death,कुपोषण और मृत्यु पर रोक के संदर्भ में बीमारियों से बचाव,Prevention of diseases in terms of preventing malnutrition and death.
Scan the QR Code to Download the App,एप्प को डाउनलोड करने के लिए QR कोड को स्कैन करें,Scan the QR code to download the app.
Pregnant women who received Take Home Ration (THR),टेक होम राशन (THR) प्राप्त करने वाली गर्भवती महिलाएँ,Pregnant women who receive a Tech Home Ration (THR)
General Awareness on SAM and MAM,SAM और MAM पर सामान्य जागरूकता,General awareness on SAMhi and MAM.
"App can be accessed offline, currently daily tracking feature is available for offline data entry.Offline mode can store latest 3 days data.",कोई भी ऐप वैध इंटरनेट कनेक्शन के बिना काम नहीं करती है।,No app works without a valid internet connection.
These organizations will not use the APIs/ No-code webpage integration to encourage or promote illegal activity or violation of third-party rights including these Terms with Poshan Tracker.,ये संगठन पोशन ट्रैकर के साथ इन शर्तों सहित अवैध गतिविधि या तीसरे पक्ष के अधिकारों के उल्लंघन को प्रोत्साहित करने या बढावा देने के लिए API/नो-कोड वेबपेज के एकीकरण का उपयोग नहीं करेंगे।,"These organizations will not use the integration of API/no-code webpages with the position tracker to encourage or promote illegal activity or violation of third party rights, including these terms."
"Pregnant Women, Lactating Mothers, Children from 6 months to 3 years and adolescent girls.","गर्भवती महिलाएँ, स्तनपान कराने वाली माताएँ, 6 महीने से 3 वर्ष तक के बच्चे और किशोर लडकियाँ।","This includes pregnant women, nursing mothers, infants 6 months to 3 years old and teenage girls."
An AWW can use ‘Migrate Beneficiary’ option to migrate a beneficiary from one AWC to another AWC basis their Aadhaar number.,एक आँगनवाडी कार्यकर्ता अपनी आधार संख्या के आधार पर किसी लाभार्थी को एक आँगनवाडी केंद्र से दूसरे आँगनवाडी केंद्र में स्थानांतरित करने के लिए 'माइग्रेट लाभार्थी' के विकल्प का उपयोग कर सकता है।,An Aganwadi worker can use the option of'migrant beneficiary' to transfer a beneficiary from one Aganwadi centre to another Aganwadi centre based on his or her Aadhaar number.
A beneficiary is eligible for HCM for at least 21 days in a month.,एक लाभार्थी महीने में कम से कम 21 दिनों के लिए HCM के लिए पात्र है।,A beneficiary is eligible for HCM for at least 21 days per month.
ABHA (Health ID) and its Benefits,ABHA (स्वास्थ्य पहचान पत्र) और इसके लाभ,ABhiHA (Health ID) and its benefits.
"We'ar sorry, the page you requested could not be found.","क्षमा करें, आपके द्वारा अनुरोधित पृष्ठ नहीं मिल सका।","hi Sorry, I couldn't find the page you requested."
Dadra & Nagar Haveli - Daman & Diu,दादरा और नगर हवेली-दमन और दीव,Dadra and Nagar Haveli-Daman and Diu
Download Mobile App from Play Store,प्ले स्टोर से मोबाइल एप्प डाउनलोड करें,Download the mobile app from the Play Store.
"Further, whenever you change or access your account on the System or any information relating to it, we offer the use of a secure server.","इसके अलावा, जब कभी भी आप सिस्टम पर अपने खातों या इससे संबंधित सूचनाओं को तक पहुँच प्राप्त करने या परिवर्तित करने की कोशिश करेंगे तो हम आपको एक सुरक्षित सर्वर का उपयोग करने का अवसर प्रदान करेंगे।","In addition, whenever you try to access or convert your accounts or information related to the system, we will provide you with the opportunity to use a secure server."
General Awareness on the Delivery of the child,बच्चे के प्रसव पर सामान्य जागरूकता,General awareness of childbirth
"We also use the data to operate our services, which includes analyzing our performance, meeting our legal obligations, developing our workforce, and doing research.","हम अपनी सेवाओं को संचालित करने के लिए भी आँकडों का उपयोग करते हैं, जिसमें हमारे प्रदर्शन का विश्लेषण करना, हमारे कानूनी दायित्वों को पूरा करना, हमारे कार्यबल का विकास करना और शोध करना शामिल है।","We also use statistics to operate our services, including analyzing our performance, fulfilling our legal obligations, developing our workforce and conducting research."
