eng,ml,mBART600M
General Awareness about Growth Monitoring of Children,കുട്ടികളുടെ വളർച്ചാ നിരീക്ഷണത്തെക്കുറിച്ചുള്ള പൊതുവായ അവബോധം,General awareness of child development monitoring in children.
Wasting is defined as low weight-for-height,കുറഞ്ഞ തൂക്കം-ഉയരം-ഉയരം എന്നാണ് പാഴാക്കൽ നിർവചിച്ചിരിക്കുന്നത്,Waste is defined as minimum weight-height-height inml.
Hot Cooked Meal (HCM) Given Today,ഇന്ന് നൽകിയ ചൂടുള്ള വേവിച്ച ഭക്ഷണം (HCM),Hot-cooked meals (HCM) served today.
There are 6 categories for beneficiariesPregnant WomenLactating MotherChildren from 0 to 6 monthsChildren from 6 months to 3 yearsChildren from 3 years to 6 yearsAdolescent girls,ഗുണഭോക്താക്കൾക്ക് 6 വിഭാഗങ്ങളുണ്ട്ഗർഭിണികൾമുലയൂട്ടുന്ന അമ്മ0 മുതൽ 6 മാസം വരെയുള്ള കുട്ടികൾ6 മാസം മുതൽ 3 വർഷം വരെയുള്ള കുട്ടികൾ3 വയസ്സ് മുതൽ 6 വയസ്സ് വരെയുള്ള കുട്ടികൾകൌമാരക്കാരായ പെൺകുട്ടികൾ,Beneficiaries have 6 categories of 6ml pregnant women nursing mothers0 to 6 months children6 months to 3 years children3 to 6 years of age teenage girls
"Data Plan for Mobile Application (01 March, 2021)","മൊബൈൽ ആപ്ലിക്കേഷനായുള്ള ഡാറ്റ പ്ലാൻ (01 മാർച്ച്, 2021)",The data plan for the mobile application (01 March 2021)
 VIII. LIMITATIONS OF MULTI- LINGUAL INTERFACE, VIII. ബഹുഭാഷാ ഇന്റർഫേസിന്റെ പരിമിതികൾ,VIII.ml. Limits of multilingual interface
Srijangram I. C. D. S. Project,ശ്രീജൻഗ്രാം ഐ. സി. ഡി. എസ്. പ്രോജക്ട്,The Srijangramml ICDS project is a project of the Srijangram.
"We may investigate any violation of these Terms, including unauthorized use of the Site.","സൈറ്റിന്റെ അനധികൃത ഉപയോഗം ഉൾപ്പെടെ, ഈ നിബന്ധനകളുടെ ഏതെങ്കിലും ലംഘനം ഞങ്ങൾ അന്വേഷിക്കാം.","We may investigate any violation of these terms, including unauthorized use of the site."
We may provide law enforcement with information you provide to us related to your transactions to assist in any investigation or prosecution of you.,നിങ്ങളുടെ ഇടപാടുകളുമായി ബന്ധപ്പെട്ട് നിങ്ങൾ ഞങ്ങൾക്ക് നൽകുന്ന വിവരങ്ങൾ നിയമപാലകർക്ക് ഞങ്ങൾ നൽകിയേക്കാം.,We may provide law enforcement with information you provide in connection with your transactions.
We may take legal action that we feel is appropriate.,ഞങ്ങൾക്ക് ഉചിതമെന്ന് തോന്നുന്ന നിയമനടപടി സ്വീകരിക്കാം.,We can take legal action as we see fit.
Poshan Calculator helps to identify various health conditions of the child as per World Health Organization (WHO) standards,ലോകാരോഗ്യ സംഘടനയുടെ (ഡബ്ല്യുഎച്ച്ഒ) മാനദണ്ഡങ്ങൾ അനുസരിച്ച് കുട്ടിയുടെ വിവിധ ആരോഗ്യസ്ഥിതികൾ തിരിച്ചറിയാൻ പോഷൻ കാൽക്കുലേറ്റർ സഹായിക്കുന്നു,The nutrition calculator helps identify the various health conditions of a child in accordance with the standards of the World Health Organization (WHO).
How to take care of weak newborn with the help of Kangaroo Mother Care,കംഗാരു മദർ കെയറിന്റെ സഹായത്തോടെ ദുർബലമായ നവജാതശിശുവിനെ എങ്ങനെ പരിപാലിക്കാം,How to care for a vulnerable newborn baby with the help of Kangaroo Mother Care
"Any liabilities civil or criminal, arising out of any incorrect data, shall solely lie with the concerned ASP.",ഏതെങ്കിലും തെറ്റായ ഡാറ്റയിൽ നിന്ന് ഉണ്ടാകുന്ന ഏതെങ്കിലും സിവിൽ അല്ലെങ്കിൽ ക്രിമിനൽ ബാധ്യതകൾ ബന്ധപ്പെട്ട എഎസ്പിയിൽ മാത്രമായിരിക്കും.,Any civil or criminal liability arising from any misrepresentation shall be exclusive to the relevant APS.
Poshan Tracker App is available over Google playstore https://play. google. com/store/apps/details?,ഗൂഗിൾ പ്ലേസ്റ്റോറിൽ പോഷാൻ ട്രാക്കർ ആപ്പ് ലഭ്യമാണ് https://play. google. com/store/apps/details?,The Nutrition Tracker app is available on the Google Play Store and is available at https://play.google.com/store/apps/details?
Can App be accessed without internet?,ഇന്റർനെറ്റ് ഇല്ലാതെ എ. പി. പി ആക്സസ് ചെയ്യാൻ കഴിയുമോ?,Is it possible to access the APP without Internet access?
The Government has taken several initiatives to break the intergenerational cycle of malnutrition in children.,കുട്ടികളിലെ പോഷകാഹാരക്കുറവിന്റെ അന്തർജനന ചക്രം തകർക്കാൻ സർക്കാർ നിരവധി സംരംഭങ്ങൾ എടുത്തിട്ടുണ്ട്.,The government has taken several initiatives to break the underground cycle of malnutrition in children.
"Adopting a life-cycle approach, interventions have been designed to meet the nutritional requirement of adolescent girls and boys, pregnant women, lactating mothers and children.","ഒരു ജീവിത ചക്ര സമീപനം സ്വീകരിച്ച്, കൌമാരക്കാരായ പെൺകുട്ടികളുടെയും ആൺകുട്ടികളുടെയും ഗർഭിണികളുടെയും മുലയൂട്ടുന്ന അമ്മമാരുടെയും കുട്ടികളുടെയും പോഷകാഹാര ആവശ്യങ്ങൾ നിറവേറ്റുന്നതിനായി ഇടപെടലുകൾ രൂപകൽപ്പന ചെയ്തിട്ടുണ്ട്.","Taking a life-cycle approach, the interventions have been designed to meet the nutritional needs of teenage girls, boys, pregnant women, breastfeeding mothers and children."
Awareness for Pregnancy in Preventing Anemia,അനീമിയ തടയുന്നതിൽ ഗർഭധാരണത്തിനുള്ള ബോധവൽക്കരണം,This is a campaign to raise awareness about pregnancy in preventing anemia.
"Howrah North (U) I. C. D. S. Project, Howrah","ഹൌറ നോർത്ത് (യു) ഐ. സി. ഡി. എസ്. പ്രോജക്ട്, ഹൌറ","Howrah North (ml U) ICDS project, Howrah"
Birth Preparedness- For Institutional and Home Delivery,ജനന തയ്യാറെടുപ്പ്- സ്ഥാപനപരവും ഹോം ഡെലിവറിക്കും,Birth Preparation- Institutional and home delivery.
New beneficiary addition with skip OTP option,OTP ഒഴിവാക്കിക്കൊണ്ടുള്ള പുതിയ ഗുണഭോക്താക്കളെ കൂട്ടിച്ചേർക്കൽ,Adding new beneficiaries by excluding OTPml
We are now available on Video Conference,ഞങ്ങൾ ഇപ്പോൾ വീഡിയോ കോൺഫറൻസിലാണ്,We are currently in a video conference.
"Poshan Tracker App is meant for Aanganwadi workers, Anganwadi centers to enter beneficiaries data in the forms.",അംഗൻവാടി തൊഴിലാളികൾക്കും അംഗൻവാടി കേന്ദ്രങ്ങൾക്കും ഗുണഭോക്താക്കളുടെ ഡാറ്റ ഫോമുകളിൽ നൽകുന്നതിന് വേണ്ടിയാണ് പോഷൻ ട്രാക്കർ ആപ്പ്.,The Nutrition Tracker app is designed to provide the employees of Anganwadi and the centres of Anganwadi with beneficiary data in forms.
It is not at all developed for general public.,ഇത് പൊതുജനങ്ങൾക്കായി വികസിപ്പിച്ചതല്ല.,This is not developed for the general public.
Swastha Balak/Balika Spardha Mission is about celebrating the health of children in India.,Swastha Balak/Balika Spardha Mission is about celebrating the health of children in India.,Swastha Balak/Balika Spardha Mission is about celebrating the health of children in India.
It entails identification and awareness of health conditions and providing necessary support wherever required.,It entails identification and awareness of health conditions and providing necessary support wherever required.,It involves identifying and raising awareness of health conditions and providing necessary support wherever needed.
”Our Privacy Policy applies when you use our Services (described below).,"""Our Privacy Policy applies when you use our Services (described below).","""Our Privacy Policy applies when you use our Services (described below)."
"This Privacy Policy is meant to help you understand what information we collect, why we collect it, and how it is used and shared.","This Privacy Policy is meant to help you understand what information we collect, why we collect it, and how it is used and shared.","This Privacy Policy is intended to help you understand what information we collect, why we collect it, and how it is used and shared."
The collecting and retaining agency in respect of your information is Ministry of Women and Child Development.,The collecting and retaining agency in respect of your information is Ministry of Women and Child Development.,The agency collecting and retaining your information is the Ministry of Women and Child Development.
We are committed to protecting the security of your personal information and safeguarding your privacy.,We are committed to protecting the security of your personal information and safeguarding your privacy.,We are committed to protecting the security of your personal information and safeguarding your privacy.
How to revive your health if you are Underweight,നിങ്ങൾക്ക് ഭാരം കുറവാണെങ്കിൽ നിങ്ങളുടെ ആരോഗ്യം എങ്ങനെ പുനരുജ്ജീവിപ്പിക്കാം,"If you are underweight, how can you restore your health?"
Can a beneficiary change his/her AWC?,ഒരു ഗുണഭോക്താവിന് അവന്റെ/അവളുടെ AWC മാറ്റാൻ കഴിയുമോ?,Can a beneficiary change his/her AWC?
"We use the information we have, to help verify accounts.",അക്കൌണ്ടുകൾ സ്ഥിരീകരിക്കാൻ സഹായിക്കുന്നതിന് ഞങ്ങളുടെ പക്കലുള്ള വിവരങ്ങൾ ഞങ്ങൾ ഉപയോഗിക്കുന്നു.,We use the information we have to help verify the ml accounts.
The records may be used for verification of health status for the purposes of Poshan Tracker control and response.,പോഷൻ ട്രാക്കർ നിയന്ത്രണത്തിനും പ്രതികരണത്തിനും വേണ്ടി ആരോഗ്യ നില പരിശോധിക്കുന്നതിന് രേഖകൾ ഉപയോഗിക്കാം.,The documentation can be used to check health status for control and response.
Scan the QR Code to Download the App,ആപ്പ് ഡൌൺലോഡ് ചെയ്യുന്നതിന് ക്യുആർ കോഡ് സ്കാൻ ചെയ്യുക,Scan the QR code to download the mL app.
Who is eligible for Hot Cooked Meal?,ചൂട് പാകം ചെയ്ത ഭക്ഷണത്തിന് അർഹതയുള്ളത് ആരാണ്?,Who deserves a hot-cooked meal?
Identifying and preventing Severe Acute Malnutrition,ഗുരുതരമായ പോഷകാഹാരക്കുറവ് തിരിച്ചറിയുകയും തടയുകയും ചെയ്യുക,Identify and prevent serious malnutrition.
Children who are identified as deficit on nutrition are eligible for additional food supplements.,പോഷകാഹാരക്കുറവ് തിരിച്ചറിയുന്ന കുട്ടികൾക്ക് അധിക ഭക്ഷണ സപ്ലിമെന്റുകൾക്ക് അർഹതയുണ്ട്.,Children who are diagnosed with malnutrition are eligible for supplemental nutrition.
Who is eligible for additional supplementary food.,അധിക സപ്ലിമെന്ററി ഭക്ഷണത്തിന് അർഹതയുള്ളവർ.,Those eligible for an additional supplementary diet.
"Uploading of Data of Anganwadi Services Schemes in Poshan Tracker (24 May, 2021)","അംഗൻവാടി സേവന പദ്ധതികളുടെ ഡാറ്റ പോഷൻ ട്രാക്കറിൽ അപ്ലോഡ് ചെയ്യുന്നു (24 മേയ്, 2021)","Members of the Anganwadi Service Project are uploading data to the Positions Tracker (May 24, 2021)"
Children between 6 months - 3 years,6 മാസം മുതൽ 3 വയസ് വരെയുള്ള ചെയ്തു,The study was done between 6 months and 3 years of age.
"Ministry of Women and Child Development, Government of India, Shastri Bhawan, New Delhi","വനിതാ-ശിശു വികസന മന്ത്രാലയം, ഇന്ത്യാ ഗവൺമെന്റ്, ശാസ്ത്ര ഭവൻ, ന്യൂഡൽഹി","Ministry of Women and Child Development, Government of India, Syasya Bhawan, New Delhi"
Care of the weak newborn baby - How many weak babies are we missing?,ആഴ്ചയിലെ നവജാത ശിശുവിന്റെ സംരക്ഷണം - എത്ര ആഴ്ചകളിലെ കുഞ്ഞുങ്ങളെ നമുക്ക് കാണാതാവുന്നു?,Week-long baby care - how many weeks of babies do we miss?
Underweight children who received Supplementary Nutrition,സപ്ലിമെന്ററി പോഷകാഹാരം ലഭിച്ച ഭാരക്കുറവുള്ള കുട്ടികൾ,Weight-loss children who have received supplemental nutrition.
Identification and care of a Weak Newborn baby,ദുർബലമായ നവജാത ശിശുവിന്റെ തിരിച്ചറിയലും പരിചരണവും,Identification and care of a vulnerable newborn baby.
1.2. Information from use of services.,1.2. സേവനങ്ങളുടെ ഉപയോഗത്തിൽ നിന്നുള്ള വിവരങ്ങൾ.,1.2.ml Information from the use of the services.
Please contact your respective Anganwadi Centre.,ദയവായി നിങ്ങളുടെ അങ്കണവാടി കേന്ദ്രവുമായി ബന്ധപ്പെടുക.,Please contact your Anganawadi Centre.
GOBARDANGA I. C. D. S PROJECT(U),ഗോബർദംഗ ഐസിഡിഎസ് പ്രോജക്ട്(യു),Goberdanga is the name of the ICDS project.
Please fill in the form below to create a new ticket.,ഒരു പുതിയ ടിക്കറ്റ് സൃഷ്ടിക്കാൻ ചുവടെയുള്ള ഫോം പൂരിപ്പിക്കുക.,"To create a new ticket, please fill out the form below."
Anganwadi Worker will reach out to you within 48 hours.,അംഗൻവാടി വർക്കർ 48 മണിക്കൂറിനുള്ളിൽ നിങ്ങളെ ബന്ധപ്പെടും.,The Anganwadi worker will contact you within 48 hours.
Your request is received.Please note down the ticket number for future reference.,നിങ്ങളുടെ അപേക്ഷ സ്വീകരിച്ചിരിക്കുന്നു ഭാവി ഉപയോഗത്തിനായി ടിക്കറ്റ് നമ്പർ ദയവായി നോട്ട് ചെയ്യുക,Your application has been accepted.ml Ticket number for future use please note.
Is poshan trackers app available over Apple I Store also?,ആപ്പിൾ ഐ സ്റ്റോറിലും പോഷൻ ട്രാക്ക് ആപ്ലിക്കേഷൻ ലഭ്യമാണോ?,Is the Nutrition Track app also available on the Apple Apple Apple Store?
Number of records becoming inactive and number of records migrating from one category to another,"പ്രവർത്തനരഹിതമാകുന്ന റെക്കോർഡുകളുടെ എണ്ണം, ഒരു വിഭാഗത്തിൽ നിന്നും മറ്റൊന്നിലേക്ക് മാറുന്ന റെക്കോർഡുകളുടെ എണ്ണം","The number of records that are disabled in theml, the number of records that are switched from one category to another."
In How many languages the Poshan Tracker App is available?,പോഷാൻ ട്രാക്കർ ആപ്പ് എത്ര ഭാഷകളിൽ ലഭ്യമാണ്?,How many languages is the Pusan Trackerml app available?
AWWs are requested to enter their mobile numbers in the Login screen.,എഒപ്പംഒപ്പം- കൾ അവരുടെ മൊബൈൽ നമ്പറുകൾ ലോഗിൻ സ്ക്രീനിൽ നൽകാൻ അഭ്യർത്ഥിക്കുന്നു.,eandml requests that users enter their mobile numbers on the login screen.
"An OTP will be sent to your registered mobile number, post which you are required too set your MPIN.","നിങ്ങളുടെ രജിസ്റ്റർ ചെയ്ത മൊബൈൽ നമ്പറിലേക്ക് ഒരു ഒടിപി അയയ്ക്കും, നിങ്ങൾക്കാവശ്യമുള്ള പോസ്റ്റും നിങ്ങളുടെ എംപിഎൻ സജ്ജമാക്കുക.","The email will send an OTP to your registered mobile number, set the post you want and your MPN."
Measles Containing vaccine (MCV)/MR-2JE-2**DiphtheriaPertussis & Tetanus (DPT)-Booster-1OPV –Booster,അഞ്ചാംപനി അടങ്ങിയ വാക്സിൻ (MCV)/MR-2JE-2**ഡിഫ്തീരിയപെർട്ടുസിസ് & ടെറ്റനസ് (DPT)-ബൂസ്റ്റർ-1OPV -ബൂസ്റ്റർ,Vaccine containing fifth-grade fever (MCV) /MR-2JE-2****Diftheriapertuosis & Tetanus (DPT) -booster-1OPV -booster
The Poshan Tracker enables real-time monitoring and tracking of all AWCs and beneficiaries on defined indicators.,നിർവചിക്കപ്പെട്ട സൂചകങ്ങളിൽ എല്ലാ AWC-കളുടെയും ഗുണഭോക്താക്കളുടെയും തത്സമയ നിരീക്ഷണവും ട്രാക്കിംഗും പോഷൻ ട്രാക്കർ പ്രാപ്തമാക്കുന്നു.,The nutrition tracker enables real-time monitoring and tracking of all AWCs and beneficiaries in defined indicators.
It is built using centralized data architecture that also aligns with the digital technology systems of other ministries and programs.,"കേന്ദ്രീകൃത ഡാറ്റ ആർക്കിടെക്ചർ ഉപയോഗിച്ചാണ് ഇത് നിർമ്മിച്ചിരിക്കുന്നത്, അത് മറ്റ് മന്ത്രാലയങ്ങളുടെയും പ്രോഗ്രാമുകളുടെയും ഡിജിറ്റൽ സാങ്കേതിക സംവിധാനങ്ങളുമായി വിന്യസിക്കുന്നു.","It is built using a centralized data architecture, which is integrated with the digital technology systems of other ministries and programs."
The public dashboard helps to impart transparency on services delivered to beneficiaries,ഗുണഭോക്താക്കൾക്ക് നൽകുന്ന സേവനങ്ങളിൽ സുതാര്യത നൽകാൻ പൊതു ഡാഷ്ബോർഡ് സഹായിക്കുന്നു,The public dashboard helps to provide transparency in the services provided to the beneficiaries.
Translations on the Poshan Tracker Portal & App Chabot are done by third party translators.,പോഷൻ ട്രാക്കർ പോർട്ടലിലെയും ആപ്പ് ചാബോട്ടിലെയും വിവർത്തനങ്ങൾ മൂന്നാം കക്ഷി വിവർത്തകരാണ് ചെയ്യുന്നത്.,Translations of the Potion Tracker Portal and App Chabot are performed by third-party translators.
"While the translations are done on a best effort basis, some of the parts may be incorrect.","വിവർത്തനങ്ങൾ മികച്ച പ്രയത്നത്തിന്റെ അടിസ്ഥാനത്തിലാണെങ്കിലും, ചില ഭാഗങ്ങൾ തെറ്റായിരിക്കാം.","Although the best efforts are made in translating, some parts may be wrong."
Certain files and other items on the website cannot be translated.,വെബ്സൈറ്റിലെ ചില ഫയലുകളും മറ്റ് ഇനങ്ങളും വിവർത്തനം ചെയ്യാൻ കഴിയില്ല.,Some files and other items on theml website cannot be translated.
"In addition, on translation, some applications and/or services may not function as expected, due to language barriers.","കൂടാതെ, പരിഭാഷയിൽ, ഭാഷാ തടസ്സങ്ങൾ കാരണം ചില ആപ്ലിക്കേഷനുകളും കൂടാതെ/അല്ലെങ്കിൽ സേവനങ്ങളും പ്രതീക്ഷിച്ച പോലെ പ്രവർത്തിച്ചേക്കില്ല.","In addition, in translation, some applications and/or services may not work as expected due to language barriers."
"We are working constantly to rectify any errors, omissions, or ambiguities in the translations provided on this portal.",ഈ പോർട്ടലിൽ നൽകിയിരിക്കുന്ന വിവർത്തനങ്ങളിലെ തെറ്റുകളോ ഒഴിവാക്കലുകളോ അവ്യക്തതകളോ തിരുത്താൻ ഞങ്ങൾ നിരന്തരം പ്രവർത്തിക്കുന്നു.,"We are constantly working to correct errors, exceptions or ambiguities in the translations provided on this portal."
"The MGRS collected primary growth data and related information from approximately 8500 children from widely different ethnic backgrounds and cultural settings (Brazil, Ghana, India, Norway, Oman and the USA)","വിവിധ വംശീയ പശ്ചാത്തലങ്ങളിൽ നിന്നും സാംസ്കാരിക പശ്ചാത്തലങ്ങളിൽ നിന്നുമുള്ള (ബ്രസീൽ, ഘാന, ഇന്ത്യ, നോർവേ, ഒമാൻ, യുഎസ്എ) ഏകദേശം 8500 കുട്ടികളിൽ നിന്ന് പ്രാഥമിക വളർച്ചാ വിവരങ്ങളും അനുബന്ധ വിവരങ്ങളും MGRS ശേഖരിച്ചു","MGRS collected basic developmental and related data from approximately 8500 children from various racial and cultural backgrounds (Brazil, Ghana, India, Norway, Oman, USA) and related information from approximately 8500 children."
Children of different age groups are monitored on monthly basis by AWWs.,വിവിധ പ്രായത്തിലുള്ള കുട്ടികളെ AWW-കൾ പ്രതിമാസം നിരീക്ഷിക്കുന്നു.,AWmlWs monitor children of all ages monthly.
"Health indicators like Stunting, Wasting and Underweight prevalence are measured as per WHO standards.","ആരോഗ്യ സൂചകങ്ങളായ മുരടിപ്പ്, ക്ഷീണം, ഭാരക്കുറവ് എന്നിവയുടെ വ്യാപനം ലോകാരോഗ്യ സംഘടനയുടെ മാനദണ്ഡങ്ങൾക്കനുസരിച്ചാണ് അളക്കുന്നത്.","The prevalence of health indicators such as dizziness, fatigue, and weight loss is measured by the World Health Organization's standards."
Regular growth monitoring helps AWWs to provide relevant and timely assistance to children,ക്രമമായ വളർച്ചാ നിരീക്ഷണം കുട്ടികൾക്ക് പ്രസക്തവും സമയബന്ധിതവുമായ സഹായം നൽകാൻ AWW-കളെ സഹായിക്കുന്നു,"Regular growth monitoring helps AWWs provide relevant, timely assistance to children."
"Awareness for Children Stunting, Wasting to prevent malnutrition in children","കുട്ടികളിലെ പോഷകാഹാരക്കുറവ് തടയാൻ കുട്ടികൾക്കുള്ള ബോധവൽക്കരണം മുരടിപ്പ്, പാഴാക്കൽ","Children's awareness to prevent malnutrition in children, screaming, wasteful"
Poshan Tracker adds new application features,പോഷൺട്രാക്കർ പുതിയ ആപ്ലിക്കേഷൻ ഫീച്ചറുകൾ ചേർക്കുന്നു,PossionTrackerml is adding new application features.
Making or Updating Home Visit Planner and Initiating home visits,ഹോം വിസിറ്റ് പ്ലാനർ ഉണ്ടാക്കുകയോ അപ്ഡേറ്റ് ചെയ്യുകയോ ഹോം സന്ദർശനങ്ങൾ ആരംഭിക്കുകയോ ചെയ്യുക,"Make, update, or start home visits a home visit planner."
Poshan Calculator is designed to measure growth of the child based on standards defined by World Health Organization (WHO),ലോകാരോഗ്യ സംഘടന (ഡബ്ല്യുഎച്ച്ഒ) നിർവചിച്ചിരിക്കുന്ന മാനദണ്ഡങ്ങളെ അടിസ്ഥാനമാക്കി കുട്ടിയുടെ വളർച്ച അളക്കുന്നതിനാണ് പോഷൻ കാൽക്കുലേറ്റർ രൂപകൽപ്പന ചെയ്തിരിക്കുന്നത്,The nutrition calculator is designed to measure a child's growth based on standards defined by the World Health Organization (WHO).
Migrated from one category to another,ഒരു വിഭാഗത്തിൽ നിന്നും മറ്റൊന്നിലേക്ക് മാറി,Theml moved from one category to another.
It usually occurs when a person has not had food of adequate quality and quantity and/or they have had frequent or prolonged illnesses,ഒരു വ്യക്തിക്ക് വേണ്ടത്ര ഗുണനിലവാരവും അളവും ഉള്ള ഭക്ഷണം ഇല്ലെങ്കിൽ കൂടാതെ/അല്ലെങ്കിൽ അവർക്ക് ഇടയ്ക്കിടെ അല്ലെങ്കിൽ നീണ്ടുനിൽക്കുന്ന അസുഖങ്ങൾ ഉണ്ടാകുമ്പോഴാണ് ഇത് സാധാരണയായി സംഭവിക്കുന്നത്,This usually occurs when a person does not have enough quality and quantity of food and/or they have occasional or chronic illnesses.
Malnutrition is one of the most important challenges facing contemporary India.,സമകാലിക ഇന്ത്യ നേരിടുന്ന ഏറ്റവും പ്രധാനപ്പെട്ട വെല്ലുവിളിയാണ് പോഷകാഹാരക്കുറവ്.,Malnutrition is the most important challenge facing modern India.
Nutrition is acknowledged as central to the achievement of National and Global Sustainable Development Goals.,"ദേശീയ, ആഗോള സുസ്ഥിര വികസന ലക്ഷ്യങ്ങളുടെ നേട്ടത്തിന്റെ കേന്ദ്രമായി പോഷകാഹാരം അംഗീകരിക്കപ്പെട്ടിരിക്കുന്നു.",Nutrition is recognized as a key component in achieving the national and global Sustainable Development Goals.
"Optimum and appropriate nutrition is essential for women and children to survive, thrive and break the intergenerational cycle of poor health and poverty in the community.",സമൂഹത്തിലെ മോശം ആരോഗ്യത്തിൻറെയും ദാരിദ്ര്യത്തിൻറെയും അന്തർജനന ചക്രം അതിജീവിക്കാനും അഭിവൃദ്ധി പ്രാപിക്കാനും തകർക്കാനും സ്ത്രീകൾക്കും കുട്ടികൾക്കും ഒപ്റ്റിമലും ഉചിതമായ പോഷകാഹാരവും ആവശ്യമാണ്.,"To survive, thrive and break the cycle of poor health and poverty in society, women and children need optimal and adequate nutrition."
"Poshan Abhiyaan is India’s flagship programme to improve nutritional outcomes for children, adolescents, pregnant women and lactating mothers by leveraging technology, a targeted approach and convergence.",കുട്ടികൾക്കും ക o മാരക്കാർക്കും മുൻഗണനകൾക്കുമുള്ള പോഷക ഫലങ്ങൾ മെച്ചപ്പെടുത്തുന്നതിനുള്ള ഇന്ത്യയുടെ മുൻനിര പദ്ധതിയാണ് പോഷൻ അഭിയാൻ.,"The PUSHON ABIAN is India's leading project to improve nutritional outcomes for children, adolescents and their priorities."
Hot Cooked Meal (HCM) given in last 30 days,കഴിഞ്ഞ 30 ദിവസത്തിനുള്ളിൽ നൽകിയ ചൂടുള്ള വേവിച്ച ഭക്ഷണം (HCM),Hot-cooked meals (HCM) delivered within the last 30 days.
Uploading of Data of Anganwadi Services Schemes in Poshan Tracker,അങ്കണവാടി സേവന പദ്ധതികളുടെ ഡാറ്റ പോഷൻ ട്രാക്കറിൽ അപ്ലോഡ് ചെയ്യുന്നു,The data of the Anganawati service projects is uploaded to the Position Tracker.
How can one Download Poshan Tracker App?,ഒരാൾക്ക് എങ്ങനെ പോഷാൻ ട്രാക്കർ എ. പി. പി ഡൌൺലോഡുചെയ്യാനാകും?,How can someone download the APP of the Pushmanml Tracker?
