eng,mr,translation_text
1.2. Information from use of services.,1.2. सेवांच्या वापरावरून माहिती.,eng.1.2 Informasi tentang penggunaan layanan.
Please contact your respective Anganwadi Centre.,कृपया तुमच्या संबंधित अंगणवाडी केंद्राशी संपर्क साधा., Please contact your respective Anganwadi Centre.
GOBARDANGA I. C. D. S PROJECT(U),गोबरडंगा आयसीडीएस प्रकल्प(यु),engoranda ICDS project(u)
Please fill in the form below to create a new ticket.,नवीन तिकीट तयार करण्यासाठी कृपया खालील फॉर्म भरा.,"eng.mrBeserta tiket baru, isilah formulir di bawah ini."
Anganwadi Worker will reach out to you within 48 hours.,अंगणवाडी सेविका 48 तासांच्या आत तुमच्यापर्यंत पोहोचेल.,engr.org Anganwadi maids will reach you within 48 hours.
Please note down the ticket number for future reference.,भविष्यातील संदर्भासाठी कृपया तिकीट क्रमांकाची नोंद करा.,eng. for future reference please enter the ticket number.
Poshan Tracker is a project of Ministry of Women and Child Development.,पोषण ट्रॅकर हा महिला आणि बाल विकास मंत्रालयाचा प्रकल्प आहे.,eng.mr Nutrition Tracker is a project of the Ministry of Women and Child Development.
Digital India Corporation is the technical partner of MoWCD.,डिजिटल इंडिया कॉर्पोरेशन हे मोडब्ल्यूसीडी  चे तांत्रिक भागीदार आहे.,eng Digital India Corporation is the technical partner of ModWCD.
Poshan Tracker focuses on eradication of malnutrition from India.,पोषण ट्रॅकर भारतातून कुपोषण निर्मूलनावर लक्ष केंद्रित करते.,eng.mr Nutrition Tracker focuses on eliminating malnutrition from India.
It serves as a mechanism to monitor and improvise on the service delivery under Poshan Abhiyaan,पोषण अभियानांतर्गत सेवा वितरणावर देखरेख आणि सुधारणा करण्यासाठी हे एक यंत्रणा म्हणून काम करते,eng.jpg He serves as a mechanism for monitoring and improving the delivery of services under the Nutrition Campaign.
Is poshan trackers app available over Apple I Store also?,अँपल आय स्टोअरमध्येही पोषण ट्रॅक अॅप उपलब्ध आहे का?,eng.jpg Is the Nutrition Track app available in the Apple App Store?
Number of records becoming inactive and number of records migrating from one category to another,निष्क्रीय होणार्या नोंदींची संख्या आणि एका श्रेणीतून दुसर्यात स्थलांतरित होणार्या नोंदींची संख्या,eng.mrNombro de registros que se desactivarán y el número de registros que se desplazarán de una categoría a otra.
In How many languages the Poshan Tracker App is available?,पोषण ट्रॅकर अॅप किती भाषांमध्ये उपलब्ध आहे?,eng.jpg Nutrition Tracker app is available in how many languages?
AWWs are requested to enter their mobile numbers in the Login screen.,एडब्ल्यूडब्ल्यू ला लॉगिन स्क्रीनमध्ये त्यांचे मोबाइल नंबर प्रविष्ट करण्याची विनंती केली जाते.,eng. wmw la login screen is requested to enter their mobile number.
"An OTP will be sent to your registered mobile number, post which you are required too set your MPIN.",आपल्या नोंदणीकृत मोबाइल नंबरवर एक ओटीपी पाठविला जाईल जो आपण आपला एमपीन म्हणून सेट करणे आवश्यक आहे.,eng.org.A OTP will be sent to your registered mobile number which you need to set as your MPIN.
Measles Containing vaccine (MCV)/MR-2JE-2**DiphtheriaPertussis & Tetanus (DPT)-Booster-1OPV –Booster,गोवर (एमसीव्ही)/एमआर-2जेई-2**घटसर्पपेर्ट्युसिस आणि टिटॅनस (डीपीटी)-बूस्टर-1ओपीव्ही - बूस्टर,eng Gower (MCV)/MR-2JE-2**GutSperperpertucis and Titans (DPT) -Booster-1OPV -Booster
The Poshan Tracker enables real-time monitoring and tracking of all AWCs and beneficiaries on defined indicators.,पोषण ट्रॅकर सर्व अंगणवाडी केंद्रस् आणि लाभार्थ्यांचे रिअल-टाइम मॉनिटरिंग आणि परिभाषित निर्देशकांवर मागोवा ठेवण्यास सक्षम करते.,eng.mr Nutrition Tracker enables real-time monitoring of all Anganwadi Centres and beneficiaries and tracking of defined indicators.
It is built using centralized data architecture that also aligns with the digital technology systems of other ministries and programs.,हे केंद्रीकृत डेटा आर्किटेक्चर वापरून तयार केले गेले आहे जे इतर मंत्रालये आणि कार्यक्रमांच्या डिजिटल तंत्रज्ञान प्रणालींशी देखील संरेखित होते.,eng.it was created using a centralized data architecture that was also aligned with the digital technology systems of other ministries and programs.
The public dashboard helps to impart transparency on services delivered to beneficiaries,सार्वजनिक डॅशबोर्ड लाभार्थ्यांना दिल्या जाणार्या सेवांमध्ये पारदर्शकता आणण्यास मदत करतो,eng.mrDashboard public helps bring transparency in the services provided to the beneficiaries.mr
Translations on the Poshan Tracker Portal & App Chabot are done by third party translators.,पोषण ट्रॅकर पोर्टल आणि एप चॅबॉट वरील भाषांतर तृतीय पक्ष अनुवादकाद्वारे केले जाते.,eng.mr Nutrition Tracker Portal and App Chabot are translated by a third party translator.
"While the translations are done on a best effort basis, some of the parts may be incorrect.",भाषांतरे सर्वोत्कृष्ट प्रयत्नांच्या आधारावर केली जात असली तरी काही भाग चुकीचे असू शकतात.,"eng.mrWhile the translations are done on the basis of best efforts, some parts may be wrong."
Certain files and other items on the website cannot be translated.,वेबसाइटवरील काही फाइल्स आणि इतर गोष्टींचे भाषांतर केले जाऊ शकत नाही.,eng.mrSome files and other items on the website cannot be translated.
"In addition, on translation, some applications and/or services may not function as expected, due to language barriers.","याव्यतिरिक्त, भाषांतरावर, भाषेच्या अडथळ्यांमुळे काही अनुप्रयोग आणि/किंवा सेवा अपेक्षेप्रमाणे कार्य करू शकत नाहीत.","englerAdditionally, in translation, some applications and/or services may not work as expected due to language barriers."
"We are working constantly to rectify any errors, omissions, or ambiguities in the translations provided on this portal.","या पोर्टलवर प्रदान केलेल्या भाषांतरांमधील कोणत्याही त्रुटी, चूक किंवा अस्पष्टता सुधारण्यासाठी आम्ही सतत काम करत आहोत.","eng.org - We are continuously working to correct any errors, errors or ambiguities in the translations provided on this portal."
"The MGRS collected primary growth data and related information from approximately 8500 children from widely different ethnic backgrounds and cultural settings (Brazil, Ghana, India, Norway, Oman and the USA)","एमजीआरएसने मोठ्या प्रमाणावर भिन्न वांशिक पार्श्वभूमी आणि सांस्कृतिक सेटिंग्जमधील (ब्राझील, घाना, भारत, नॉर्वे, ओमान आणि यूएसए) अंदाजे 8500 मुलांकडून प्राथमिक वाढ डेटा आणि संबंधित माहिती गोळा केली","eng.mr MGRS has collected primary growth data and related information from approximately 8500 children from a wide range of ethnic backgrounds and cultural settings (Brazil, Ghana, India, Norway, Oman and USA)"
Children of different age groups are monitored on monthly basis by AWWs.,वेगवेगळ्या वयोगटातील मुलांचे मासिक आधारावर अंगणवाडी सेविकास् द्वारे निरीक्षण केले जाते.,eng.mrChildren of different ages are monitored monthly by Anganwadi Deviyas.
"Health indicators like Stunting, Wasting and Underweight prevalence are measured as per WHO standards.","खुंटणे, अशक्तपणा आणि कमी वजनाचे प्रमाण यासारखे आरोग्य निर्देशक डब्ल्यूएचओ मानकांनुसार मोजले जातात.","eng, disability, and evidence of weight loss are measured according to WHO health guidelines."
Regular growth monitoring helps AWWs to provide relevant and timely assistance to children,नियमित वाढीचे निरीक्षण केल्याने अंगणवाडी सेविका ला मुलांना संबंधित आणि वेळेवर सहाय्य प्रदान करण्यात मदत होते,engr.org Monitoring regular growth helps Anganwadi Savitika provide the children with relevant and timely support.
"Awareness for Children Stunting, Wasting to prevent malnutrition in children","मुलांमधील कुपोषण टाळण्यासाठी बुटकेपणा, लूकडेपणा याबाबत जनजागृती",eng.mrMembers raise awareness of malnutrition in children to prevent malnutrition in children.
Poshan Tracker adds new application features,पोशन ट्रॅकर नवीन ऍप्लिकेशन वैशिष्ट्ये जोडत आहे,eng.org - The Food Tracker is adding new application features.
Making or Updating Home Visit Planner and Initiating home visits,गृह- भेटीचे नियोजन बनवणे किंवा अपडेट करणे आणि गृह- भेटी सुरू करणे,eng. -Making a schedule or updating a home visit and starting a home visit. -Making a schedule or updating a home visit and starting a home visit.
Poshan Calculator is designed to measure growth of the child based on standards defined by World Health Organization (WHO),पोषण कॅल्क्युलेटर हे मुलांची वाढ मोजण्यासाठी डिझाइन केलेले आहे जे जागतिक आरोग्य संघटनेने (डब्ल्यूएचओ) परिभाषित केलेल्या मानकांच्या आधारे मूल्यमापन करते,eng.mr Calculator Nutrition This is designed to measure the growth of children who evaluate based on standards defined by the World Health Organization (WHO).
Migrated from one category to another,एका श्रेणीतून दुसर्यात स्थलांतरित झाले,eng.org - Migration from one category to another
It usually occurs when a person has not had food of adequate quality and quantity and/or they have had frequent or prolonged illnesses,हे सहसा तेव्हा होते जेव्हा एखाद्या व्यक्तीने पुरेशा दर्जाचे आणि प्रमाणात अन्न घेतले नसते आणि/किंवा त्यांना वारंवार किंवा दीर्घकाळापर्यंत आजार होत असतात,eng.mrth This usually occurs when a person has not eaten enough quality and quantity food and/or he is often or long-term ill.
"Poshan Abhiyaan is India’s flagship programme to improve nutritional outcomes for children, adolescents, pregnant women and lactating mothers by leveraging technology, a targeted approach and convergence.","मुले, किशोरवयीन मुले, गर्भवती महिला आणि स्तनपान करणार्या मातांना तंत्रज्ञानाचा लाभ देऊन, लक्ष्यित दृष्टिकोन आणि अभिसरण देऊन पौष्टिक परिणाम सुधारण्यासाठी पोषण अभियान हा भारताचा प्रमुख कार्यक्रम आहे.",eng.mrKampagne Nutrition (KMP) -Kampagne Nutrition (KMP) -Kampagne Nutrition (KMP) -Kampagne Nutrition (KMP) -Kampagne Nutrition (KMP) -Kampagne Nutrition (KMP) -Kampagne Nutrition (KMP) -Kampagne Nutrition (KPM) -KPM) -Kampagne Nutrition (KPM) -Kampagne Nutrition (KPM) -Kampagne Nutrition (KPM) -Kampagne Nutrition (KPM) -Kampagne Nutrition (KPM) -Kampagne Nutrition (KPM) -Kampagne Nutrition (KPM) -Kampagne Nutrition (KPM) -Kampagne Nutrition (KPM) -Kampagne Nutrition (KPM) -Kampagne Nutrition (KPM) -Kamp
Hot Cooked Meal (HCM) given in last 30 days,मागील ३० दिवसात दिलेली गरम शिजवलेले भोजन (एचसीएम),eng.mrHot cooked meals (HCM) delivered in the last 30 days
Uploading of Data of Anganwadi Services Schemes in Poshan Tracker,पोषण ट्रॅकरमध्ये अंगणवाडी सेवा योजनांचा डेटा अपलोड करणे,eng.mr Uploading data of Anganwadi Service Schemes to a nutrition tracker
The Poshan Tracker generates automated alerts to the critical last-mile beneficiaries.,पोषण ट्रॅकर शेवटच्या टप्प्यातील गंभीर लाभार्थ्यांना स्वयंचलित सूचना व्युत्पन्न करतो.,eng.mr Nutrition Tracker automatically generates information to the final critical beneficiaries.
It also ensures efficient audit of the delivery system by documenting real time attendance of beneficiaries and duty bearers.,हे लाभार्थी आणि कर्तव्य धारकांच्या वास्तविक वेळेच्या उपस्थितीचे दस्तऐवजीकरण करून वितरण प्रणालीचे कार्यक्षम ऑडिट देखील सुनिश्चित करते., Hmr also ensures efficient audit of the distribution system by documenting the real-time presence of beneficiaries and duty holders.
"This management information system will help the nutrition programme to scale efficiently, thereby generating and documenting positive impact","ही व्यवस्थापन माहिती प्रणाली पोषण कार्यक्रमास कार्यक्षमतेने मापन करण्यास मदत करेल, ज्यामुळे सकारात्मक प्रभाव निर्माण आणि दस्तऐवजीकरण होईल","eng.mr itself management information system will help to efficiently measure nutrition program, thus creating positive impact and documenting it."
How can one Download Poshan Tracker App?,आपण पोशन ट्रॅकर अॅप डाउनलोड कसे करू शकतो?,eng.org Bagaimana kita bisa download aplikasi pengesan posisi?
"Clarification regarding Cost of Smart phones (03 June, 2021)","स्मार्ट फोनच्या किंमतीबाबात स्पष्टीकरण (03 जून, 2021)",eng.mr Pricing clarification for smart phones (03 June 2021)
along with status update once resolved,निराकरण झाल्यानंतर स्थिती अपडेट सह,eng.mrSituasi update setelah selesai
"The Poshan Tracker system is regularly audited by auditors engaged by MWCD, for security and scalability of the system.",प्रणालीच्या सुरक्षितता आणि मापनक्षमतेसाठी पोषण ट्रॅकर प्रणालीचे नियमितपणे एमडब्ल्यूसीडीद्वारे गुंतलेल्या ऑडिटर्सद्वारे ऑडिट केले जाते.,eng.mr The nutrition tracker system is regularly audited by MWCD by auditors involved in the system's safety and measurement efficiency.
The records may be used for such audits.,अशा ऑडिटसाठी नोंदी वापरल्या जाऊ शकतात.,eng.orgLogins can be used for such audits.
