eng,ur,mBART600M
We are now available on Video Conference,اب ہم ویڈیو کانفرنس میں دستیاب ہیں,Now we are available in videoconferencing.
"Poshan Tracker App is meant for Aanganwadi workers, Anganwadi centers to enter beneficiaries data in the forms.",پوشن ٹریکر اپلی کیشن سب سے زیادہ فعال آنگن واڑی عاملین کے لئے کار آمد ہوگا آنگن واڑی مراکز پر جہاں فوائد حاصل کرنےوالوں کی معلومات تشکیل دی گئی ہیں,The Pushur Pusan Tracker app will be the carriageway for the most active Anganwadi workers at the Anganwadi centres where information on beneficiaries has been generated.
It is not at all developed for general public.,یہ عوام الناس کے لئے ہرگز نہیں ہے,But it is not for the common people at all.
How to revive your health if you are Underweight,اگر آپ کم وزن ہیں تو اپنی صحت کو کیسے زندہ کریں ۔,"If you are underweight, how do you maintain your health?"
"A healthy child is a child who is identified as Normal Child, as per WHO category, considering Age, Height and Weight of the Child.",صحت مند بچہ وہ بچہ ہوتا ہے جس کی شناخت ڈبلیو ایچ او کے زمرے کے مطابق بچے کی عمر ، قد اور وزن کی بنیاد پر کی جاتی ہے ۔,"A healthy child is a child that is identified by the WHO's age, height and weight category."
Can a beneficiary change his/her AWC?,کیا فائدہ اٹھانے والا اپنا AWC تبدیل کر سکتا ہے,Can the beneficiary change their AWC?
"We use the information we have, to help verify accounts.",اکاؤنٹس کی تصدیق میں مدد کے لیے ہم اپنے پاس موجود معلومات کا استعمال کرتے ہیں ۔,We use the information we have to help verify our accounts.
The records may be used for verification of health status for the purposes of Poshan Tracker control and response.,پوشن ٹریکر کنٹرول اور رسپانس کے مقاصد کے لیے صحت کی حالت کی تصدیق کے لیے ریکارڈ کا استعمال کیا جا سکتا ہے ۔,Records can be used to verify health status for control and response purposes.
Poshan Tracker adds new interactive feature,پوشن ٹریکر نے نیا انٹرایکٹو فیچر شامل کیا ۔,Pushur Pushin Tracker has added a new interactive feature.
What is Swastha Balak Balika Spardha?,صحت مند لڑکا لڑکی مقابلہ کیا ہے,What a healthy boy girl has competed in.
AWC Vaccination given in last 7 days,AWC ویکسینیشن پچھلے سات دنوں میں دی گئی ۔,Our AWC vaccination was given in the last seven days.
Scan the QR Code to Download the App,صرف اینڈروئیڈ کیلئے ایپ ڈاؤن لوڈ کرنے کیلئے اسکین کریں,ur Scan to download an app for Android only.
Who is eligible for Hot Cooked Meal?,گرم پکا ہوا کھانے کے لیے کون اہل ہے,Who is eligible to eat hot-cooked food?
Identifying and preventing Severe Acute Malnutrition,شدید غذائی قلت کی شناخت اور روک تھام,Ur Ur Identification and prevention of severe malnutrition
Children who are identified as deficit on nutrition are eligible for additional food supplements.,وہ بچے جن کی نشاندہی غذائیت کی کمی کے طور پر کی گئی ہےوہ اضافی فوڈ سپلیمنٹس کے اہل ہیں ۔,Children who are identified as malnourished are eligible for supplemental food supplements.
Who is eligible for additional supplementary food.,کون اضافی اضافی خوراک کا اہل ہے ۔,Who is eligible for additional supplemental doses.
"Uploading of Data of Anganwadi Services Schemes in Poshan Tracker (24 May, 2021)","پوشن ٹریکر میں آنگنواڑی سروس اسکیمیں (24 مئی , 2021)",The Anganwadi service schemes in Pushur Tracker (24 May 2021) are being implemented.
Children between 6 months - 3 years,6 ماہ سے 3 سال کے درمیان کے بچے,Children between 6 months and 3 years old.
"Ministry of Women and Child Development, Government of India, Shastri Bhawan, New Delhi",وزارت خواتین و بچوں کی ترقی ، حکومت ھند ، شاستری بھون نئی دہلی,"Ministry of Women and Child Development, Government of India, Shastri Bhavan New Delhi"
Care of the weak newborn baby - How many weak babies are we missing?,کمزور نوزائیدہ بچے کی دیکھ بھال - ہم کتنے کمزور بچے غائب ہیں,Wealthy baby care - how many of us are missing?
Underweight children who received Supplementary Nutrition,کم وزن والے بچے جنہوں نے سپلیمنٹری نیوٹریشن حاصل کی ۔,The low-weight children who received supplemental nutrition.
Identification and care of a Weak Newborn baby,کمزور نوزائیدہ بچے کی شناخت اور دیکھ بھال,Identifying and caring for a vulnerable newborn baby.
1.2. Information from use of services.,1.2. خدمات کے استعمال سے متعلق معلومات .,1.2.ur Information about the use of the services.
Take Home Ration (THR) given today,گھر لے جاؤ راشن ( ٹی ایچ آر ) آج دیا,Take home your ration (THR) today.
Please contact your respective Anganwadi Centre.,براہ کرم اپنے متعلقہ آنگن واڑی سنٹر سے رابطہ کریں ۔,Please contact your respective Anganwadi Centre.
How can I get the Certificate?,میں سرٹیفکیٹ کیسے حاصل کرسکتا ہوں,How can I get a certificate?
GOBARDANGA I. C. D. S PROJECT(U),گوبر ڈانگہ -1 آئی سی ڈی ایس پروجیکٹ ( اربن ),Gur Gur Gur Danga-1 ICDS project (Urban) is being implemented in the city.
Please fill in the form below to create a new ticket.,نیا ٹکٹ بنانے کے لیے براہ کرم نیچے دیئے گئے فارم کو پر کریں ۔,"To create a new ticket, please fill out the form below."
Anganwadi Worker will reach out to you within 48 hours.,آنگن واڑی ورکر 48 گھنٹے کے اندر آپ سے رابطہ کرے گی ۔,An Anganwadi worker will contact you within 48 hours.
Please note down the ticket number for future reference.,براہ کرم مستقبل کے حوالے کے لیے ٹکٹ نمبر نوٹ کریں ۔,Please note the ticket number for future quotations.
Scan to Download App for Android only,صرف اینڈرائیڈ کے لیے ایپ ڈاؤن لوڈ کرنے کے لیے اسکین کریں ۔,ur Scan to download the app for Android only.
Poshan Tracker is a project of Ministry of Women and Child Development.,پوشن ٹریکر وزرات برائے خواتین و ترقی اطفال کا ایک پروجیکٹ ہے ۔,The Pushur Pushun Tracker is a project of the Ministry of Women and Child Development.
Digital India Corporation is the technical partner of MoWCD.,ڈیجیٹل انڈیا ، کارپوریشن وزرات برائے خواتین و ترقی اطفال کا تکنیکی شریک ہے ۔,"Digital India, Corporation of Ministers for Women and Child Development is the technical partner of Digital India."
Poshan Tracker focuses on eradication of malnutrition from India.,پوشن ٹریکر بھارت سے ناقص غذائیت کو جڑ سے اکھاڑ پھینکنے پر اپنی توجہ مرکوز کرتا ہے ۔,Pushur Pushun Tracker focuses on uprooting malnutrition from India.
It serves as a mechanism to monitor and improvise on the service delivery under Poshan Abhiyaan,یہ پوشن ابھیان کے تحت خدمات کی فراہمی کی نگرانی کرنے اور اس میں بہتری لانے کے ایک میکانزم کے طور پر کام کرتا ہے ۔,It serves as a mechanism to monitor and improve the delivery of services under the Pusan Abhiyaan.
Is poshan trackers app available over Apple I Store also?,کیا پوشن ٹریکر اپلیکیشن اپیل I اسٹور پر بھی دستئیاب ہے,The Pushin Tracker app is also available on the Appell I Store.
Number of records becoming inactive and number of records migrating from one category to another,غیر فعال ہونے والے ریکارڈز کی تعداد اور ایک زمرے سے دوسرے میں منتقل ہونے والے ریکارڈز کی تعداد,ur number of deactivated records and number of records transferred from one category to another.
In How many languages the Poshan Tracker App is available?,پوشن ٹریکر اپلیکیشن کتنی زبانوں میں دستیاب ہے,Pushur Pushun Tracker app is available in how many languages.
AWWs are requested to enter their mobile numbers in the Login screen.,AWWs سے درخواست ہے کہ وہ اپنا موبائل نمبر اپنے لاگ ان اسکرین پر شامل کریں ایک OTP ان کے رجسٹرڈ شدہ موبائل پر بھیجا جائے گا ۔,"When AWurWs are asked to include their mobile number on their login screen, an OTP will be sent to their registered mobile."
"An OTP will be sent to your registered mobile number, post which you are required too set your MPIN.",پھر اس کے بعد آپ کو MPIN. سیٹ کرنے کی ضرورت درپیش ہوگی,Then you will need to set MPIN.
Maximum 4 children can be registered using one mobile number.,ایک موبائل نمبر کے ذریعے زیادہ سے زیادہ 4 بچوں کو رجسٹر کیا جا سکتا ہے ۔,A maximum of 4 children can be registered through a mobile number.
Measles Containing vaccine (MCV)/MR-2JE-2**DiphtheriaPertussis & Tetanus (DPT)-Booster-1OPV –Booster,خسرہ پر مشتمل ویکسین ( MCV)/ MR-2JE-2** خناقپرٹیوسس اور ٹیٹنس ( DPT) - بوسٹر -1OPV - بوسٹر,Ur Loss-containing Vaccine (MCV)/MR-2JE-2** Dysphagia and Tettinase (DPT) - Booster -1OPV - Booster
The Poshan Tracker enables real-time monitoring and tracking of all AWCs and beneficiaries on defined indicators.,پوشن ٹریکر تمام AWCs اور استفادہ کنندگان کی متعین اشارے پر حقیقی وقت کی نگرانی اور ٹریکنگ کے قابل بناتا ہے ۔,The Pushur Tracker enables real-time monitoring and tracking of all AWCs and specified indicators of users.
It is built using centralized data architecture that also aligns with the digital technology systems of other ministries and programs.,یہ سنٹرلائزڈ ڈیٹا آرکیٹیکچر کا استعمال کرتے ہوئے بنایا گیا ہے جو دوسری وزارتوں اور پروگراموں کے ڈیجیٹل ٹکنالوجی کے نظام کے ساتھ بھی مطابقت رکھتا ہے ۔,It is built using a centralized data architecture that is also compatible with the digital technology systems of other ministries and programs.
The public dashboard helps to impart transparency on services delivered to beneficiaries,عوامی ڈیش بورڈ,ur public dashboard.
"The MGRS collected primary growth data and related information from approximately 8500 children from widely different ethnic backgrounds and cultural settings (Brazil, Ghana, India, Norway, Oman and the USA)",ایم جی آر ایس نے بڑے پیمانے پر مختلف نسلی پس منظر اور ثقافتی ترتیبات ( برازیل ، گھانا ، ہندوستان ، ناروے ، عمان اور امریکہ ) کے تقریبا 8500 بچوں سے ابتدائی نمو کے اعداد و شمار اور متعلقہ معلومات اکٹھی کیں ۔,"MGRur collected early development data and related information from approximately 8,500 children from various ethnic backgrounds and cultural settings (Brazil, Ghana, India, Norway, Oman and the United States) on a large scale."
Children of different age groups are monitored on monthly basis by AWWs.,AWWs کے ذریعے مختلف عمر کے بچوں کی ماہانہ بنیادوں پر نگرانی کی جاتی ہے ۔,AWurWs monitor children of all ages on a monthly basis.
"Health indicators like Stunting, Wasting and Underweight prevalence are measured as per WHO standards.",صحت کے اشارے جیسے سٹنٹنگ ، ویسٹنگ اور کم وزن کا پھیلاؤ ڈبلیو ایچ او کے معیارات کے مطابق ماپا جاتا ہے ۔,"The spread of health indicators such as stunting, weight loss and low weight is measured according to WHO standards."
Regular growth monitoring helps AWWs to provide relevant and timely assistance to children,باقاعدگی سے ترقی کی نگرانی بچوں کو متعلقہ اور بروقت مدد فراہم کرنے میں AWWs کی مدد کرتی ہے ۔,Regular developmental monitoring helps AWWs provide relevant and timely support to children.
"Awareness for Children Stunting, Wasting to prevent malnutrition in children",بچوں میں غذائیت کی کمی کو روکنے کے لیے بچوں کو سٹنٹنگ ، ضائع کرنے کے لیے آگاہی,"To prevent malnutrition in children, children stunt, lose awareness to lose weight."
Poshan Tracker adds new application features,پوشن ٹریکر ایپلیکیشن کی نئی خصوصیات شامل کرتا ہے ۔,The Pushur Tracker app adds new features to the app.
Making or Updating Home Visit Planner and Initiating home visits,اور گھر کے دورے شروع کرنا گھر کا دورہمنصوبہ ساز بنانا یا اپ ڈیٹ کرنا,Starting home visits and building or updating a home visitor plan.
Poshan Calculator is designed to measure growth of the child based on standards defined by World Health Organization (WHO),پوشن کیلکولیٹر ورلڈ ہیلتھ آرگنائزیشن ( ڈبلیو ایچ او ) کے بیان کردہ معیارات کی بنیاد پر بچے کی نشوونما کی پیمائش کے لئے ڈیزائن کیا گیا ہے ۔,The Pushur Pushun Calculator is designed to measure a child's development based on the standards set by the World Health Organization (WHO).
Migrated from one category to another,ایک زمرے سے دوسرے زمرے میں منتقل ہوئے ۔,The class moved from one category to another.
It usually occurs when a person has not had food of adequate quality and quantity and/or they have had frequent or prolonged illnesses,یہ عام طور پر اس وقت ہوتا ہےجب کسی شخص نے مناسب معیار اور مقدار کا کھانا نہیں کھایا ہوتا ہے اور / یا اسے اکثر یا طویل بیماریاں ہوتی ہیں ۔,This usually occurs when a person has not eaten the proper quality and quantity of food and/or has frequent or chronic illnesses.
"Poshan Abhiyaan is India’s flagship programme to improve nutritional outcomes for children, adolescents, pregnant women and lactating mothers by leveraging technology, a targeted approach and convergence.",پوشن ابھیان بھارت کا ایک اہم منصوبہ ہے جو بچوں نوعمروں کے لئے غذاسے متعلق نتائج کی اصلاح کرتا ہے,Pushur Pusan Abhiyan is a major Indian project that improves nutritional outcomes for children and adolescents.
Hot Cooked Meal (HCM) given in last 30 days,پچھلے 30 دنوں میں دیا گیا گرما گرم کھانا ( HCM),"During the last 30 days, hot food (HCM) has been given."
This campaign will run from 08th to 14th Jan 2022.The Registration begins from 22nd Dec 2021 till 14th Jan 2022.,یہ مہم 08 سے 14 جنوری 2022 تک چلے گی ۔رجسٹریشن 22 دسمبر 2021 سے 14 جنوری 2022 تک شروع ہوتی ہے ۔,This campaign will run from 08 to 14 January 2022.Registration will start from 22 December 2021 to 14 January 2022.
a) 0-2 Years to be measured by AWW/ Agency Representativeb) 2 Years - 6 Years to be measured by AWW/Agency Representative/Self,a) 0-2 سال جیسا کہ آنگن واڑی ورکر / ایجنسی کے نمائندے کے ذریعہ ماپا جاتا ہے ۔b) 2 سال - 6 سال آنگن واڑی ورکر / ایجنسی کے نمائندے / خود کے ذریعہ ناپے جائیں گے ۔,a) 0-2 years as measured by the representative of the Angahwadi worker/agency.b) 2 years - 6 years will be measured by the representative of the Angahwadi worker/agency/self.
Uploading of Data of Anganwadi Services Schemes in Poshan Tracker,پوشن ٹریکر میں آنگن واڑی خدمات کی اسکیموں کا ڈیٹا اپ لوڈ کرنا,Uploading data of the Anganwadi service schemes to Pushun Tracker
How can one Download Poshan Tracker App?,کوئی شخص پوشن ٹریکر اپلیکیشن کیسے ڈاون لوڈ کر سکتا ہے,How can someone download the Passion Tracker app?
Children from 0-6 years of age are eligible for this campaign.,0-6 سال کی عمر کے بچے اس مہم کے لیے اہل ہیں ۔,Children between the ages of 0-6 are eligible for this campaign.
"Clarification regarding Cost of Smart phones (03 June, 2021)","سمارٹ فونز کی قیمت کے بارے میں وضاحت (03 جون , 2021)",A clarification on the price of smartphones (03 June 2021)
"POSHAN Abhiyaan is the Government of India's flagship programme to improve nutritional outcomes for children, adolescents, pregnant women and lactating mothers by leveraging technology, a targeted approach and convergence.",پوشن مہم حکومت ہند کا علمبردار پروگرام ہے جو بچوں کو نو عمر کے حامل حاملہ خواتین اور دودھ پلانے والی ماؤں کے لئے غذائیت کے نتائج کو بہتر بنانے کے لئے ٹکنالوجی کو ہدف بنا کر استعمال کر سکتے ہیں ۔,"The Government of India's Pioneer Programme of the ""Pushur Pushen"" campaign is a pioneering programme that aims to use technology to improve nutritional outcomes for children, pregnant and breastfeeding mothers and teenagers."
"The initiative lays emphasis on creating synergy between various programmes in health, nutrition, sanitation sectors etc.",اس اقدام کے تحت صحت اور تغذیہ سے متعلق صفائی ستھرائی شعبوں وغیرہ میں مختلف پروگراموں کے مابین ہم آہنگی پیدا کرنے پر زور دیا گیا ہے,"Under this initiative, the focus is on the coordination of various programs in the health and nutrition hygiene sectors, etc."
", to ensure efficiency and effective outcomes.",تاکہ کارکردگی اور موثر نتائج کو یقینی بنایا جاسکے ۔,ur to ensure efficiency and efficient results.
along with status update once resolved,حل ہونے کے بعد اسٹیٹس اپ ڈیٹ کے ساتھ,With the status update after resolving ur.
"The Poshan Tracker system is regularly audited by auditors engaged by MWCD, for security and scalability of the system.",پوشن ٹریکر سسٹم کا باقاعدگی سے نظام کی حفاظت اور اسکیل ایبلٹی کے لیے MWCD کے ذریعے مصروف آڈیٹرز کے ذریعے آڈٹ کیا جاتا ہے ۔,The Pushur Tracker system is regularly audited by busy auditors through MWCD for system security and scalability.
The records may be used for such audits.,ریکارڈ کو اس طرح کے آڈٹ کے لیے استعمال کیا جا سکتا ہے ۔,The ur record can be used for such an audit.
Poshan Tracker adds new Resources on Website,پوشن ٹریکر نے ویب سائٹ کی خصوصیت پر نئے وسائل کا اضافہ کیا ہے ۔,Pushur Pushun Tracker has added new resources to the website feature.
How many Children can be registered?,کتنے بچے رجسٹر کر سکتے ہیں,How many children can register?
Why I did not get the Certificate?,مجھے سرٹیفکیٹ کیوں نہیں ملا ؟,Why didn't I get a certificate?
I am unable to  install  ‘Poshan Tracker’ android app,میں ' نیوٹریشن ٹریکر ' اینڈرائیڈ ایپ انسٹال کرنے سے قاصر ہوں ۔,I am unable to install the Nutrition Tracker Android app.
The System also takes feedback about system performance and experience.,سسٹم سسٹم کی کارکردگی اور تجربے کے بارے میں بھی رائے لیتا ہے ۔,Our system also takes feedback on the performance and experience of the system.
"Information on name, mobile number, date of registration and health status may be used for these purposes",نام ، موبائل نمبر ، رجسٹریشن کی تاریخ اور صحت کی حیثیت سے متعلق معلومات ان مقاصد کے لیے استعمال کی جا سکتی ہیں ۔,"Namur, mobile number, registration date and health status information may be used for these purposes."
Tracking of services to the end beneficiary at a click of a button.,ایک بٹن کے ایک کلک پر آخری فائدہ اٹھانے والے تک خدمات کا سراغ لگانا ۔,To track services to the ultimate beneficiary with a single click of a button.
"Services like Take Home Ration (THR) and Hot cooked Meal (HCM), vaccination for Infants and Pregnant Women",ٹیک ہوم راشن ( THR) اور گرم پکا ہوا کھانا ( HCM)، شیر خوار بچوں اور حاملہ خواتین کے لیے ویکسینیشن جیسی خدمات,"services such as take-home ration (THR) and hot cooked food (HCM), vaccination for infants and pregnant women."
"New Poshan Tracker App (13 January, 2021)",جدید پوشن ٹریئکر اپلی کیشن :(13 جنوری 2021),The latest push tracker app is: (((13 January 2021)
Preventing illnesses to avert Malnutrition and Death,غذائی قلت اور موت سے بچنے کے لیے بیماریوں سے بچاؤ,"To prevent malnutrition and death, prevent diseases."
Scan the QR Code to Download the App,ایپ ڈاؤن لوڈ کرنے کے لیے کیو آر کوڈ اسکین کریں ۔,Scan the QR code to download the app.
Make sure you are registered with this mobile no.,یقینی بنائیں کہ آپ اس موبائل نمبر کے ساتھ رجسٹرڈ ہیں ۔,Make sure you are registered with that mobile number.
Pregnant women who received Take Home Ration (THR),حاملہ خواتین جنہوں نے ٹیک ہوم راشن ( THR) حاصل کیا,For pregnant women who have received a Tech Home Ration (THR).
How to Add a Child for the first time?,پہلی بار بچے کو کیسے شامل کریں ؟,How do you include a child for the first time?
General Awareness on SAM and MAM,SAM اور MAM پر عمومی آگاہی,General awareness on SAMur and MAM.
Your android app version should be above version 6.0.,آپ کے Android ایپ کا ورژن 6.0 سے اوپر ہونا چاہیے ۔,Your Android app must be version 6.0 or higher.
"App can be accessed offline, currently daily tracking feature is available for offline data entry.Offline mode can store latest 3 days data.",جی نہیں ، پوشن ٹریکر اپلی کیشن بغیر انٹرنیٹ رابطے کے فعال نہیں ہوگا ۔,"Yes, the Push Tracker app will not be enabled without an internet connection."
These organizations will not use the APIs/ No-code webpage integration to encourage or promote illegal activity or violation of third-party rights including these Terms with Poshan Tracker.,یہ تنظیمیں APIs / بغیر کوڈ ویب پیج انضمام کو غیر قانونی سرگرمی یا تیسرے فریق کے حقوق کی خلاف ورزی کی حوصلہ افزائی یا فروغ دینے کے لیے استعمال نہیں کریں گی جن میں پوشن ٹریکر کے ساتھ یہ شرائط شامل ہیں ۔,"These organizations will not use API/codeless webpage integration to encourage or promote illegal activity or violation of third party rights, including these terms with the PushTracker."
"Pregnant Women, Lactating Mothers, Children from 6 months to 3 years and adolescent girls.",حاملہ خواتین ، دودھ پلانے والی مائیں ، چھ ماہ سے تین سال تک کے بچے اور نوعمر لڑکیاں ۔,"This includes pregnant women, breastfeeding mothers, infants and teenage girls aged six months to three years."
Health ID has now been renamed to Ayushman Bharat Health Account (ABHA),ہیلتھ آئی ڈی کا نام اب آیوشمان بھارت ہیلتھ اکاؤنٹ ( ABHA) رکھ دیا گیا ہے ۔,The name of the Health ID of Ur has now been changed to Ayushman Bharat Health Account (ABHA).
"New Poshan Tracker App : CSC-SPV Nodal Person (02 February, 2021)",جدید پوشن ٹریئکر اپلی کیشن : CSC- SPV نوڈل پرسن (02 فروری 2021),The latest Pushin Tracker app: CSC-SPV noodle person (02 February 2021) is also available.
An AWW can use ‘Migrate Beneficiary’ option to migrate a beneficiary from one AWC to another AWC basis their Aadhaar number.,AWW ایک AWC سے دوسرے AWC میں اس کے آدھار نمبر کی بنیاد پر استفادہ کنندہ کو منتقل کرنے کے لیے ' مائیگریٹ بینیفشری ' کا اختیار استعمال کر سکتا ہے ۔,AWur AWW can use the option of 'Migrant Benefit' to transfer a beneficiary from one AWC to another AWC based on its Aadhaar number.
A beneficiary is eligible for HCM for at least 21 days in a month.,ایک استفادہ کنندہ مہینے میں کم از کم اکیس دنوں کے لیے HCM کا اہل ہے ۔,A beneficiary is eligible for HCM for at least twenty-one days per month.
ABHA (Health ID) and its Benefits,ABHA ( صحت کا شناختی کارڈ ) اور اس کے فوائد,ABur ABHA (Health ID Card) and its benefits.
"We'ar sorry, the page you requested could not be found.",ہمیں افسوس ہے کہ آپ نے جس صفحے کو درخواست کی وہ نہیں مل سکا ۔,We are sorry that you did not find the page you requested.
Dadra & Nagar Haveli - Daman & Diu,دادرا اور نگر حویلی ۔دمن اور دیو,Dadur Dadra and Nagar Haveli - Daman and Dev
Download Mobile App from Play Store,پلے اسٹور سے موبائل ایپ ڈاؤن لوڈ کریں ۔,Download the mobile app from the Playur Play Store.
General Awareness on the Delivery of the child,بچے کی ترسیل کے بارے میں عمومی آگاہی,Ur General awareness about the delivery of the child.
Where can I enquire about Hot Cooked Meal?,میں گرم پکے ہوئے کھانے کے بارے میں کہاں پوچھ سکتا ہوں,Where can I ask about hot cooked food?
In how many languages AWW can enter the data while filling up the form?,AWW یا AWC میں کتنی زبانوں میں ڈیٹا داخل یا فارم پر کیا جا سکتا ہے,How many languages can be entered into AWurW or AWC or data can be entered on a form?
Children who are identified as deficit on nutrition are eligible for additional food supplements.,وہ بچے جن کی نشاندہی غذائیت کی کمی کے طور پر کی گئی ہےوہ اضافی فوڈ سپلیمنٹس کے اہل ہیں ۔,Children who are identified as malnourished are eligible for supplemental food supplements.
An underweight person is a person whose body weight is considered too low to be healthy,کم وزن والا وہ شخص ہے جس کے جسمانی وزن کو صحت مند ہونے کے لیے بہت کم سمجھا جاتا ہے ۔,A low-weight is a person whose body weight is considered too low to be healthy.
When and how to use MPIN?,MPIN کا استعمال کب اور کیسے کریں ؟,When and how should I use MPurIN?
What are the pre-requisite to participate in this campaign?,اس مہم میں حصہ لینے کے لیے کیا شرائط ہیں,What are the conditions for participating in this campaign?
Ensuring that complementary feeding improves over time,اس بات کو یقینی بنانا کہ تکمیلی خوراک وقت کے ساتھ بہتر ہوتی ہے ۔,Ensuring that the supplementary diet improves over time.
