eng,te
"National Nutrition Mission named as the Hon’ble Prime Minister’s Overarching Scheme for Holistic Nutrition (POSHAN) Abhiyaan was launched in 2017, as a multi-ministerial convergence mission, with the overarching vision to make India malnutrition free by 2022.","గౌరవనీయ ప్రధానమంత్రి హోలిస్టిక్ న్యూట్రిషన్ (పోషాన్) అభియాన్ పేరుతో నేషనల్ న్యూట్రిషన్ మిషన్ 2017 లో బహుళ-మంత్రివర్గ కన్వర్జెన్స్ మిషన్గా ప్రారంభించబడింది, 2022 నాటికి భారతదేశ పోషకాహారలోపాన్ని ఉచితంగా చేయాలనే దృక్పథంతో."
Bankura - I,బాంకురా - I
Icds Project Vijaypur,ఐసిడిఎస్ ప్రాజెక్ట్ విజయపూర్
 XI. VIOLATION OF THESE TERMS, XI. ఈ నిబంధనల ఉల్లంఘన
Rampurhat - I,రాంపూర్హాట్ - I
Mirzapur City 2,మీర్జాపూర్ సిటీ 2
"All personal information collected from you under Clause 1 at the time of registration will be retained for as long as your record remains in existence and if any medical or administrative interventions have been commenced under Clause 2, subject to Clause4(b) below, for such period thereafter as is required for such interventions to be completed.","రిజిస్ట్రేషన్ సమయంలో క్లాజ్ 1 కింద మీ నుంచి సేకరించబడ్డ మొత్తం వ్యక్తిగత సమాచారం మీ రికార్డు ఉనికిలో ఉన్నంత కాలం మరియు దిగువ క్లాజ్ 4(బి)కు లోబడి క్లాజ్ 2 కింద ఏవైనా వైద్య లేదా అడ్మినిస్ట్రేటివ్ జోక్యాలు ప్రారంభించబడినట్లయితే, అటువంటి జోక్యాలను పూర్తి చేయడం కొరకు అవసరమైన కాలవ్యవధి వరకు ఉంచబడుతుంది."
"All personal information collected under Clauses 1 will be retained on the application Server, to the extent that such information relates to people who have been registered for the event.","క్లాజులు 1 కింద సేకరించబడ్డ మొత్తం వ్యక్తిగత సమాచారం కూడా అప్లికేషన్ సర్వర్ లో ఉంచబడుతుంది, అటువంటి సమాచారం ఈవెంట్ కొరకు రిజిస్టర్ చేసుకున్న వ్యక్తులకు సంబంధించినంత వరకు."
"Nothing set out herein shall apply to the anonymized, aggregated datasets generated by the personal data of registered users of Poshan Tracker or any reports, heat maps or other visualization created using such datasets.","పోషణ్ ట్రాకర్ యొక్క రిజిస్టర్డ్ యూజర్ ల యొక్క వ్యక్తిగత డేటా ద్వారా జనరేట్ చేయబడ్డ అనామధేయ, అగ్రిగేటెడ్ డేటాసెట్ లకు లేదా అటువంటి డేటాసెట్ లను ఉపయోగించి సృష్టించబడ్డ ఏదైనా రిపోర్ట్ లు, హీట్ మ్యాప్ లు లేదా ఇతర విజువలైజేషన్ లకు ఇక్కడ సెట్ చేయబడ్డ ఏదీ వర్తించదు."
Number Of Positions,స్థానాల సంఖ్య
Please enter Height greater than 29.99 and less than 140.01,దయచేసి ఎత్తు 29.99 కంటే ఎక్కువ మరియు 140.01 కంటే తక్కువ ఎత్తును నమోదు చేయండి
"While login to the Poshan Tracker App, AWWs are required to enter the MPIN set by them.","పోషణ్ ట్రాక్జెర్ యాప్లోకి లాగిన్ అయితే, AWW లు వారు సెట్ చేసిన MPIN ని నమోదు చేయవలసిఉంటుంది."
This MPIN will act as a passcode to run the Poshan Tracker App and entering the information in the beneficiaries forms.,ఈ MPIN పోషణ్ ట్రాకర్ యాప్ను అమలు చేయడానికి పాస్కోడ్గా పనిచేస్తుంది మరియు లబ్ధిదారుల ఫారంలో సమాచారాన్ని నమోదు చేస్తుంది.
Matigara ICDS Project( Main ),మటిగర ఐసిడిఎస్ ప్రాజెక్ట్ (మెయిన్)
How to ensure timely initiation of complementary feeding,కాంప్లిమెంటరీ ఫీడింగ్ ని సకాలంలో ప్రారంభించేవిధంగా ఏవిధంగా ధృవీకరించాలి
20 December 2021,20 డిసెంబర్ 2021
Poshan Tracker App can only be installed in Android Phone with Android version 6.0 and above.,పోషన్ ట్రాకర్ యాప్ను ఆండ్రాయిడ్ ఫోన్లో ఆండ్రాయిడ్ వెర్షన్ 6.0 మరియు అంతకంటే ఎక్కువ ఉంటే ఇన్స్టాల్ చేయవచ్చు.
Please Enter Mobile Number,దయచేసి మొబైల్ నెంబరు నమోదు చేయండి
Request for Hot Cooked Meal,వేడిగా వండిన భోజనం కోసం అభ్యర్థన
Hasnabad ICDS Project,హస్నాబాద్ ఐసిడిఎస్ ప్రాజెక్ట్
RAIPUR URBAN 1,రాయ్పూర్ అర్బన్ 1
General Awareness about Growth Monitoring of Children,పిల్లల ఎదుగుదల పర్యవేక్షణ గురించి సాధారణ అవగాహన
Bhind - R,భిండ్ - ఆర్
Bastar - Chhattisgarh,బామెతారా - ఛత్తీస్గఢ్
Please select Help Topic,దయచేసి సహాయ అంశాన్ని ఎంచుకోండి
SINGUR - Addl,సింగూర్ - అడిష్నల్
Wasting is defined as low weight-for-height,వేస్టింగ్ అనేది తక్కువ బరువు-కొరకు-ఎత్తుగా నిర్వచించబడుతుంది
Hot Cooked Meal (HCM) Given Today,ఈ రోజు ఇచ్చిన వేడి వేడిగా వండిన భోజనం (హెచ్ సిఎమ్)
There are 6 categories for beneficiariesPregnant WomenLactating MotherChildren from 0 to 6 monthsChildren from 6 months to 3 yearsChildren from 3 years to 6 yearsAdolescent girls,లబ్ధిదారుల కొరకు 6 కేటగిరీలు ఉన్నాయిగర్భిణీ స్త్రీలుపాలిచ్చే తల్లి0 నుంచి 6 నెలల పిల్లలు6 నెలల నుంచి 3 సంవత్సరాల పిల్లలు3 సంవత్సరాల నుండి 6 సంవత్సరాల వరకు పిల్లలుకౌమార బాలికలు
"Data Plan for Mobile Application (01 March, 2021)","మొబైల్ అప్లికేషన్ కోసం డేటా ప్లాన్ (01 మార్చి, 2021)"
Old  Amravati Urban,పాత అమరావతి అర్బన్
The WHO Multicentre Growth Reference Study (MGRS) was undertakenbetween 1997 and 2003 to generate new growth curves for assessing the growth and development of infants and young children around the world,ప్రపంచవ్యాప్తంగా శిశువులు మరియు చిన్న పిల్లల ఎదుగుదల మరియు అభివృద్ధిని మదింపు చేయడం కొరకు కొత్త ఎదుగుదల వక్రాలను సృష్టించడం కొరకు 1997 మరియు 2003 మధ్య కాలంలో WHO మల్టీసెంటర్ గ్రోత్ రిఫరెన్స్ స్టడీ (MGRS) చేపట్టబడింది
Garbeta - I,గార్బెటా - I
How to set MPIN?,MPIN ను ఎలా సెట్ చేయాలి?
Rewa - Urban,రేవా - అర్బన్
 VIII. LIMITATIONS OF MULTI- LINGUAL INTERFACE, VIII. బహుభాషా ఇంటర్ ఫేస్ యొక్క పరిమితులు
Diamond Harbour-I ICDS Project,డైమండ్ హార్బర్-I ఐసిడిఎస్ ప్రాజెక్ట్
Srijangram I. C. D. S. Project,సృజంగ్రామ్ ఐ. సి. డి. ఎస్. ప్రాజెక్ట్
"We may investigate any violation of these Terms, including unauthorized use of the Site.","సైట్ యొక్క అనధీకృత ఉపయోగంతో సహా, ఈ నిబంధనల యొక్క ఏదైనా ఉల్లంఘనను మేము పరిశోధించవచ్చు."
We may provide law enforcement with information you provide to us related to your transactions to assist in any investigation or prosecution of you.,మీ యొక్క ఏదైనా ఇన్వెస్టిగేషన్ లేదా ప్రాసిక్యూషన్ లో సాయపడటం కొరకు మీ లావాదేవీలకు సంబంధించి మీరు మాకు అందించే సమాచారంతో మేం లా ఎన్ ఫోర్స్ మెంట్ ని అందించవచ్చు.
We may take legal action that we feel is appropriate.,సముచితమని మేము భావించే చట్టపరమైన చర్య తీసుకోవచ్చు.
"If we determine that you have violated these Terms or the law, or for any other reason or for no reason, we may block your account and will prevent you from accessing the Site at any time without notice to you.","మీరు ఈ నిబంధనలు లేదా చట్టాన్ని ఉల్లంఘించారని లేదా ఏదైనా ఇతర కారణం వల్ల లేదా ఏ కారణం లేకుండా ఉల్లంఘించారని మేము నిర్ధారించినట్లయితే, మేము మీ ఖాతాను నిరోధించవచ్చు మరియు మీకు నోటీసు ఇవ్వకుండా ఏ సమయంలోనైనా సైట్ ని యాక్సెస్ చేసుకోకుండా మిమ్మల్ని నిరోధిస్తాము."
There are limited fields for data entry.Name is required to be entered in English language and for other fields numeric values are required.Most of the features are provided in check boxes or with drop down selection menu.Reports to be updated.,AWW ఆంగ్ల భాషలో మాత్రమే ఫారం నింపగలదు.
P P Kamaicha,పి పి కమైచా
Children between 3-6 Years,3-6 సంవత్సరాల మధ్య పిల్లలు
Poshan Calculator helps to identify various health conditions of the child as per World Health Organization (WHO) standards,ప్రపంచ ఆరోగ్య సంస్థ (WHO) ప్రమాణాలకు అనుగుణంగా బిడ్డ యొక్క వివిధ ఆరోగ్య పరిస్థితులను గుర్తించడానికి పోషణ్ కాలిక్యులేటర్ సహాయపడుతుంది
General Awareness on Mother Care,తల్లి జాగ్రత్తలపై సాధారణ అవగాహన
Mal Adl 2,మాల్ ఎడిఎల్ 2
New Poshan Tracker App,న్యూ పోషణ్ ట్రాకర్ యాప్
How to take care of weak newborn with the help of Kangaroo Mother Care,కంగారూ మదర్ కేర్ సహాయంతో బలహీనమైన నవజాత శిశువును ఎలా సంరక్షించాలి
Siliguri II (U),సిలిగురి II (యు)
Old Urban Project 1,పాత అర్బన్ ప్రాజెక్ట్ 1
District Performance across 6 KPIs,6 KPIల అంతటా జిల్లా పనితీరు
Kaliyaganj ICDS Project,కాలియాగంజ్ ఐసిడిఎస్ ప్రాజెక్ట్
Turbhe-Panvel Navi Mumbai,తుర్భే-పన్వెల్ నవీ ముంబై
East Zone Rmc,ఈస్ట్ జోన్ ఆర్ఎంసి
Bagh Kare Khan,బాగ్ కారే ఖాన్
"Shenoy Nagar,Project 1","షెనాయ్ నగర్, ప్రాజెక్ట్ 1"
"The ASPs collecting data from Poshan Tracker and displaying to users shall be solely responsible for the correctness of such data and any liability arising out of any data so provided, shall completely rest with such third party.",పోషణ్ ట్రాకర్ నుంచి డేటాను సేకరించే మరియు యూజర్ లకు డిస్ ప్లే చేసే ఎఎస్ పిలు అటువంటి డేటా యొక్క కచ్చితత్త్వానికి పూర్తిగా బాధ్యత వహిస్తారు మరియు అలా అందించబడ్డ ఏదైనా డేటా నుంచి ఉత్పన్నం అయ్యే ఏదైనా బాధ్యత పూర్తిగా అటువంటి తృతీయపక్షానికి ఉంటుంది.
"Any liabilities civil or criminal, arising out of any incorrect data, shall solely lie with the concerned ASP.","ఏదైనా తప్పుడు డేటా వల్ల ఉత్పన్నమయ్యే ఏవైనా అప్పులు సివిల్ లేదా క్రిమినల్, పూర్తిగా సంబంధిత ASP వద్దనే ఉంటాయి."
ICDS Khadur Sahib,ఐసిడిఎస్ ఖాదూర్ సాహిబ్
Poshan Tracker App is available over Google playstore https://play. google. com/store/apps/details?,పోషాన్ ట్రాకర్ అనువర్తనం గూగుల్ ప్లేస్టోర్ ద్వారా అందుబాటులో ఉంది https://play. google. com/store/apps/details?
 id=com. poshantracker, id=com. poshantracker
Can App be accessed without internet?,ఇంటర్నెట్ లేకుండా యాప్ ని యాక్సెస్ చేయవచ్చా?
The Government has taken several initiatives to break the intergenerational cycle of malnutrition in children.,పిల్లలలో పోషకాహార లోపం యొక్క ఇంటర్జెనరేషన్ చక్రాన్ని విచ్ఛిన్నం చేయడానికి ప్రభుత్వం అనేక కార్యక్రమాలు చేపట్టింది.
"Adopting a life-cycle approach, interventions have been designed to meet the nutritional requirement of adolescent girls and boys, pregnant women, lactating mothers and children.","జీవిత-చక్ర విధానాన్ని అనుసరించి, కౌమారదశలో ఉన్న బాలికలు మరియు బాలురు, గర్భిణీ స్త్రీలు, పాలిచ్చే తల్లులు మరియు పిల్లల పోషక అవసరాలను తీర్చడానికి జోక్యం రూపొందించబడింది."
Dhupguri Adl 2,ధూప్గురి ఎడిఎల్ 2
Nalhati - II,నల్హటి - II
Awareness for Pregnancy in Preventing Anemia,రక్తహీనతను నివారించడంలో గర్భధారణ కొరకు అవగాహన
Last 30 days,చివరి 30 రోజులు
"Howrah North (U) I. C. D. S. Project, Howrah","హౌరా నార్త్ (యు) ఐ. సి. డి. ఎస్. ప్రాజెక్ట్, హౌరా"
Ranaghat 1 Addl,రణఘాట్ 1 అడిష్నల్
Query Related to,సంబంధించిన క్వైరీ
Dhar - U,ధర్ - యు
South Garo Hills,దక్షిణ గారో కొండలు
3. SHARING OF INFORMATION,3. సమాచారాన్ని పంచుకోవడం
Birth Preparedness- For Institutional and Home Delivery,జనన సంసిద్ధత- సంస్థాగత మరియు హోమ్ డెలివరీ కొరకు
New beneficiary addition with skip OTP option,స్కిప్ OTP ఎంపికతో కొత్త లబ్ధిదారుని జోడింపు
We are now available on Video Conference,మేము ఇప్పుడు వీడియో కాన్ఫరెన్స్ లో అందుబాటులో ఉన్నాము
Data Plan for Mobile Application,మొబైల్ అప్లికేషన్ కొరకు డేటా ప్లాన్
North West Delhi,వాయువ్య ఢిల్లీ
English Bazar &amp,ఇంగ్లీష్ బజార్ &
2.6. Surveys and Feedbacks.,2.6. సర్వేలు మరియు ఫీడ్ బ్యాక్ లు.
"Poshan Tracker App is meant for Aanganwadi workers, Anganwadi centers to enter beneficiaries data in the forms.","పోషణ్ ట్రాకర్ యాప్ అంటే అంగన్వాడీ కార్మికులు, అంగన్వాడీ కేంద్రాలు, లబ్ధిదారుల డేటాను ఫారమ్లలో నమోదు చేయడానికి ఉద్దేశించినవి."
It is not at all developed for general public.,ఇది సాధారణ ప్రజల కోసం అస్సలు అభివృద్ధి చేయబడలేదు.
Get In Touch,అందుబాటులో ఉండు
ICDS NAUSHERA PANNUAN,ఐసిడిఎస్ నౌషేరా పన్నువాన్
"Poshan Abhiyaan is India’s flagship programme to improve nutritional outcomes for children, adolescents, pregnant women and lactating mothers by leveraging technology, a targeted approach and convergence.Poshan Tracker Portal or App is governed by Ministry of Woman and Child Development, Government of India, hereinafter referred to as “MWCD”, “our”, “us”, “we” which shall include a reference to other departments and divisions of the program/campaign.References to Poshan Tracker Portal or App in this policy include Poshan Tracker or any other Apps or portals that are integrated with Poshan Tracker through APIs / related sites, apps, communications and services (“Services”) hereinafter collectively referred to as “Poshan Tracker or System.”Our Privacy Policy applies when you use our Services (described below).This Privacy Policy is meant to help you understand what information we collect, why we collect it, and how it is used and shared.The collecting and retaining agency in respect of your information is MWCD.We are committed to protecting the security of your personal information and safeguarding your privacy.Any information or data collected and processed on the System is done in accordance with the provisions of Information Technology Act, 2000 read with its Rules and other national and state laws relating to the collection and processing of personal data.This Privacy Policy is required to be read in conjunction with the Terms of Service available at https://poshantracker. in. Your access to and use of the System is conditional upon your acceptance of this Privacy Policy and the Terms of Service.By accessing and/or using the System, you represent that you have read, understood and are bound by the Terms of Service and this Privacy Policy, and that you consent to your information and data being collected, stored and used in the manner laid out in this Privacy Policy.You hereby acknowledge that the collection of your information as described in Clause 1 of this Privacy Policy is necessary to fulfil the purposes specified in Clause 2 and 3 of this Privacy Policy.","పోషణ్ అభియాన్ అనేది పిల్లలు, కౌమారులు, గర్భిణీ స్త్రీలు మరియు పాలిచ్చే తల్లుల కొరకు పోషకాహార ఫలితాలను మెరుగుపరచడం కొరకు టెక్నాలజీ, ఒక లక్ష్యిత అప్రోచ్ మరియు కన్వర్జెన్స్ ద్వారా పోషకాహార ఫలితాలను మెరుగుపరచడం కొరకు భారతదేశం యొక్క ఫ్లాగ్ షిప్ ప్రోగ్రామ్.పోషణ్ ట్రాకర్ పోర్టల్ లేదా యాప్ అనేది భారత ప్రభుత్వ మహిళా మరియు శిశు అభివృద్ధి మంత్రిత్వ శాఖ ద్వారా నిర్వహించబడుతుంది, ఇకపై దీనిని ""MWCD"", ""మా"", ""మనం"", ""మనం"" అని పిలుస్తారు, దీనిలో ప్రోగ్రామ్/క్యాంపెయిన్ యొక్క ఇతర డిపార్ట్ మెంట్ లు మరియు డివిజన్ ల రిఫరెన్స్ ఉంటుంది.ఈ పాలసీలో పోషణ్ ట్రాకర్ పోర్టల్ లేదా యాప్ యొక్క రిఫరెన్స్ ల్లో పోషణ్ ట్రాకర్ లేదా APIలు/సంబంధిత సైట్ లు, యాప్ లు, కమ్యూనికేషన్ లు మరియు సర్వీస్ లు (""సర్వీస్ లు"") ద్వారా పోషణ్ ట్రాకర్ తో ఇంటిగ్రేట్ చేయబడ్డ ఏదైనా ఇతర యాప్ లు లేదా పోర్టల్ లు చేర్చబడతాయి, ఇకపై సమిష్టిగా ""పోషణ్ ట్రాకర్ లేదా సిస్టమ్""గా రిఫర్ చేయబడతాయి.మీరు మా సేవలను ఉపయోగించినప్పుడు మా గోప్యతా విధానం వర్తిస్తుంది (దిగువ వివరించబడింది).మేము ఏ సమాచారాన్ని సేకరిస్తాము, మేము దానిని ఎందుకు సేకరిస్తాము మరియు అది ఎలా ఉపయోగించబడుతుంది మరియు భాగస్వామ్యం చేయబడుతుందో అర్థం చేసుకోవడంలో మీకు సహాయపడటానికి ఈ గోప్యతా విధానం ఉద్దేశించబడింది.మీ సమాచారానికి సంబంధించి సేకరించే మరియు నిలుపుకునే ఏజెన్సీ MWCD.మీ వ్యక్తిగత సమాచారం యొక్క భద్రతను సంరక్షించడానికి మరియు మీ గోప్యతను సంరక్షించడానికి మేం కట్టుబడి ఉన్నాం.సిస్టమ్ పై సేకరించబడ్డ మరియు ప్రాసెస్ చేయబడ్డ ఏదైనా సమాచారం లేదా డేటా ఇన్ఫర్మేషన్ టెక్నాలజీ యాక్ట్, 2000 యొక్క నిబంధనలకు అనుగుణంగా చేయబడుతుంది మరియు వ్యక్తిగత డేటా యొక్క సేకరణ మరియు ప్రాసెసింగ్ కు సంబంధించిన ఇతర జాతీయ మరియు రాష్ట్ర చట్టాలతో రీడ్ చేయబడుతుంది.ఈ గోప్యతా విధానాన్ని https://poshantracker.in వద్ద లభ్యం అయ్యే సేవా నిబంధనలకు అనుబంధంగా చదవాల్సి ఉంటుంది.ఈ గోప్యతా విధానం మరియు సేవా నిబంధనలను మీరు ఆమోదించిన తరువాత సిస్టమ్ యొక్క మీ ప్రాప్యత మరియు ఉపయోగం షరతులతో కూడినది.సిస్టమ్ ని యాక్సెస్ చేసుకోవడం మరియు/లేదా ఉపయోగించడం ద్వారా, మీరు సేవా నిబంధనలు మరియు ఈ గోప్యతా విధానాన్ని చదివారని, అర్థం చేసుకున్నారని మరియు దానికి కట్టుబడి ఉన్నారని మరియు ఈ గోప్యతా విధానంలో పేర్కొనబడ్డ రీతిలో మీ సమాచారం మరియు డేటా సేకరించడానికి, నిల్వ చేయడానికి మరియు ఉపయోగించడానికి మీరు సమ్మతిస్తున్నారని మీరు ప్రాతినిధ్యం వహిస్తున్నారు.ఈ గోప్యతా విధానం యొక్క క్లాజ్ 2 మరియు 3లో పేర్కొనబడ్డ ఉద్దేశ్యాలను నెరవేర్చడం కొరకు ఈ గోప్యతా విధానం యొక్క క్లాజ్ 1లో వివరించిన విధంగా మీ సమాచారాన్ని సేకరించడం అవసరమని మీరు ఇందుమూలంగా ధృవీకరిస్తున్నారు."
Swastha Balak/Balika Spardha Mission is about celebrating the health of children in India.,Swastha Balak/Balika Spardha Mission is about celebrating the health of children in India.
It entails identification and awareness of health conditions and providing necessary support wherever required.,It entails identification and awareness of health conditions and providing necessary support wherever required.
"Swastha Balak/Balika Spardha Portal or App is governed by Ministry of Woman and Child development, Government of India, hereinafter referred to as “our”, “us”, “we” which shall include a reference to other departments and divisions of the program/campaign.","Swastha Balak/Balika Spardha Portal or App is governed by Ministry of Woman and Child development, Government of India, hereinafter referred to as ""our"", ""us"", ""we"" which shall include a reference to other departments and divisions of the program/campaign."
"References to Swastha Balak/Balika Spardha Portal or App in this policy include Poshan Tracker or any other Apps or portals that are integrated with Poshan Tracker through APIs / related sites, apps, communications and services (“Services”) hereinafter collectively referred to as “Poshan Tracker or System.","References to Swastha Balak/Balika Spardha Portal or App in this policy include Poshan Tracker or any other Apps or portals that are integrated with Poshan Tracker through APIs / related sites, apps, communications and services (""Services"") hereinafter collectively referred to as ""Poshan Tracker or System."
”Our Privacy Policy applies when you use our Services (described below).,"""Our Privacy Policy applies when you use our Services (described below)."
"This Privacy Policy is meant to help you understand what information we collect, why we collect it, and how it is used and shared.","This Privacy Policy is meant to help you understand what information we collect, why we collect it, and how it is used and shared."
The collecting and retaining agency in respect of your information is Ministry of Women and Child Development.,The collecting and retaining agency in respect of your information is Ministry of Women and Child Development.
We are committed to protecting the security of your personal information and safeguarding your privacy.,We are committed to protecting the security of your personal information and safeguarding your privacy.
"Any information or data collected and processed on the System is done in accordance with the provisions of Information Technology Act, 2000 read with its Rules and other national and state laws relating to the collection and processing of personal data.","Any information or data collected and processed on the System is done in accordance with the provisions of Information Technology Act, 2000 read with its Rules and other national and state laws relating to the collection and processing of personal data."
This Privacy Policy is required to be read in conjunction with the Terms of Service available at https://poshantracker. in. Your access to and use of the System is conditional upon your acceptance of this Privacy Policy and the Terms of Service.,This Privacy Policy is required to be read in conjunction with the Terms of Service available at https://poshantracker. in. Your access to and use of the System is conditional upon your acceptance of this Privacy Policy and the Terms of Service.
"By accessing and/or using the System, you represent that you have read, understood and are bound by the Terms of Service and this Privacy Policy, and that you consent to your information and data being collected, stored and used in the manner laid out in this Privacy Policy.","By accessing and/or using the System, you represent that you have read, understood and are bound by the Terms of Service and this Privacy Policy, and that you consent to your information and data being collected, stored and used in the manner laid out in this Privacy Policy."
You hereby acknowledge that the collection of your information as described in Clause 1 of this Privacy Policy is necessary to fulfil the purposes specified in Clause 2 and 3 of this Privacy Policy.,You hereby acknowledge that the collection of your information as described in Clause 1 of this Privacy Policy is necessary to fulfil the purposes specified in Clause 2 and 3 of this Privacy Policy.
How to revive your health if you are Underweight,మీరు తక్కువ బరువుతో ఉంటే మీ ఆరోగ్యాన్ని ఎలా పునరుద్ధరించాలి
Can a beneficiary change his/her AWC?,లబ్ధిదారుడు అతడి/ఆమె AWC ని మార్చవచ్చా?
Ensuring Exclusive Breastfeeding,ప్రత్యేకంగా స్తన్యం ధృవీకరించడం
Koppal - Karnataka,కొప్పడ - కర్ణాటక
Udaipur N/P Icds,ఉదయపూర్ ఎన్/పి ఐసిడిఎస్
North Garo Hills,ఉత్తర గారో కొండలు
"We use the information we have, to help verify accounts.",ఖాతాలను ధృవీకరించడంలో సహాయపడటానికి మా వద్ద ఉన్న సమాచారాన్ని మేము ఉపయోగిస్తాము.
The records may be used for verification of health status for the purposes of Poshan Tracker control and response.,పోషణ్ ట్రాకర్ కంట్రోల్ మరియు ప్రతిస్పందన యొక్క ఉద్దేశ్యాల కొరకు ఆరోగ్య స్థితిని ధృవీకరించడం కొరకు రికార్డ్ లను ఉపయోగించవచ్చు.
Sant Kabir Nagar City,సంత్ కబీర్ నగర్ సిటీ
Bhiwandi Nizampur Thane-[U],భివాండి నిజాంపూర్ థానే-[యు]
Diyungbra Icds Project.,డియుంగ్బ్రా ఐసిడిఎస్ ప్రాజెక్ట్.
Scan the QR Code to Download the App,యాప్ డౌన్ లోడ్ చేసుకోవడం కొరకు క్యూఆర్ కోడ్ స్కాన్ చేయండి
Who is eligible for Hot Cooked Meal?,హాట్ కూకేడ్ మిల్ ఎవరు అర్హులు?
Kaliyaganj Additional ICDS Project,కాలియాగంజ్ అడిష్నల్ ఐసిడిఎస్ ప్రాజెక్ట్
Burdwan - II,బుర్ద్వాన్ - II
Chanchal - I,చంచల్ - I
Please Select Help Topic,దయచేసి సహాయ అంశం ఎంచుకోండి
JOYNAGAR-II Addl ICDS PROJECT,జోయ్నగర్-II అడిష్నల్ ఐసిడిఎస్ ప్రాజెక్ట్
N R Pura,ఎన్ ఆర్ పురా
Kanpur Nagar City 2,కాన్పూర్ నగర్ సిటీ 2
Identifying and preventing Severe Acute Malnutrition,తీవ్రమైన పోషకాహార లోపాన్ని గుర్తించడం మరియు నిరోధించడం
Children who are identified as deficit on nutrition are eligible for additional food supplements.,పోషకాహార లోపంగా గుర్తించిన పిల్లలు అదనపు ఆహార అనుబంధాలకు అర్హులు.
Siaha ICDS Project,సియాహా ఐసిడిఎస్ ప్రాజెక్ట్
Raina - II,రైనా - II
Who is eligible for additional supplementary food.,అదనపు అనుబంధ ఆహారానికి ఎవరు అర్హులు.
Please Enter Name,దయచేసి పేరు నమోదు చేయండి
Anganwadi Worker profile page,అంగన్వాడీ కార్యకర్త ప్రొఫైల్ పేజీ
Budaun - Uttar Pradesh,బుడాన్ - ఉత్తర ప్రదేశ్
"Uploading of Data of Anganwadi Services Schemes in Poshan Tracker (24 May, 2021)","అంగన్ వాడీ సేవా పథకాలను పోషణ్ ట్రాకర్లో అప్లోడ్ చేయడం (24 మే, 2021)"
Back to careers,తిరిగి కెరీర్స్ కి
Chungthang Tribal Project,చుంగ్తాంగ్ గిరిజన ప్రాజెక్ట్
Children (3 - 6 years),పిల్లలు (3-6 సంవత్సరాలు)
What’s New on Poshan Tracker,పోషణ్ ట్రాకర్ లో కొత్తగా ఏమిటి
Jashpur 2 Lodam,జష్పూర్ 2 లోడం
Children between 6 months - 3 years,6 నెలల -3 సంవత్సరాల మధ్య నమోదు చేసుకున్న పిల్లలు
Jorethang Rural Project,జోరెథాంగ్ రూరల్ ప్రాజెక్ట్
Prayagraj City 1,ప్రయాగ్రాజ్ సిటీ 1
KOTBHAI AT GIDDERBAHA,కోట్భాయ్ ఎట్ గిద్దర్బాహా
1.3. Information from third parties.,1.3. తృతీయపక్షాల నుంచి సమాచారం.
Preventing anemia in women,మహిళల్లో రక్తహీనత నివారణ
"Ministry of Women and Child Development, Government of India, Shastri Bhawan, New Delhi","మహిళా మరియు పిల్లల అభివృద్ధి మంత్రిత్వ శాఖ, భారత ప్రభుత్వం, శాస్త్రి భవన్, న్యూ  ిల్లీ"
Care of the weak newborn baby - How many weak babies are we missing?,బలహీనంగా ఉన్న నవజాత శిశువు యొక్క సంరక్షణ - మనం ఎంతమంది బలహీనమైన శిశువులను కోల్పోతున్నాం?
7. CHANGES TO PRIVACY POLICY,7. గోప్యతా విధానానికి మార్పులు
