eng,pa
Please select Anganwadi center,ਕਿਰਪਾ ਕਰਕੇ ਆਂਗਣਵਾੜੀ ਕੇਂਦਰ ਚੁਣੋ
Central Zone Rmc,ਕੇਂਦਰੀ ਜੋਨ ਆਰਐਮਸੀ
"National Nutrition Mission named as the Hon’ble Prime Minister’s Overarching Scheme for Holistic Nutrition (POSHAN) Abhiyaan was launched in 2017, as a multi-ministerial convergence mission, with the overarching vision to make India malnutrition free by 2022.","ਰਾਸਟਰੀ ਪੋਸਣ ਮਿਸਨ, ਜਿਸਨੂੰ ਮਾਨਯੋਗ ਪ੍ਰਧਾਨ ਮੰਤਰੀ ਦੀ ਓਵਰਰੈਚਿੰਗ ਯੋਜਨਾ ਫਾਰ ਹੋਲੀਸਟਿਕ ਪੋਸਣ (ਪੋਸਨ) ਅਭਿਆਨ ਦਿੱਤਾ ਗਿਆ ਹੈ, ਨੂੰ ਇੱਕ ਬਹੁ-ਮੰਤਰੀ ਮੰਡਲ ਦੇ ਰੂਪ ਵਿੱਚ, 2017 ਵਿੱਚ ਸੁਰੂ ਕੀਤਾ ਗਿਆ ਸੀ, ਜਿਸ ਨਾਲ 2022 ਤੱਕ ਭਾਰਤ ਨੂੰ ਕੁਪੋਸਣ ਮੁਕਤ ਬਣਾਇਆ ਜਾ ਸਕੇ।"
Bankura - I,ਬਾਂਕੁਰਾ- I
Icds Project Vijaypur,ਆਈਸੀਡੀਐਸ ਪ੍ਰੋਜੈਕਟ ਵਿਜੇਪੁਰ
 XI. VIOLATION OF THESE TERMS, XI. ਇਹਨਾਂ ਨਿਯਮਾਂ ਦੀ ਉਲੰਘਣਾ
Rampurhat - I,ਰਾਮਪੁਰਹਾਟ - I
Mirzapur City 2,ਮਿਰਜਾਪੁਰ ਸਹਿਰ 2
"All personal information collected from you under Clause 1 at the time of registration will be retained for as long as your record remains in existence and if any medical or administrative interventions have been commenced under Clause 2, subject to Clause4(b) below, for such period thereafter as is required for such interventions to be completed.","ਰਜਿਸਟ੍ਰੇਸਨ ਦੇ ਸਮੇਂ ਦਫਾ 1 ਦੇ ਤਹਿਤ ਤੁਹਾਡੇ ਤੋਂ ਇਕੱਠੀ ਕੀਤੀ ਗਈ ਸਾਰੀ ਨਿੱਜੀ ਜਾਣਕਾਰੀ ਉਦੋਂ ਤੱਕ ਬਰਕਰਾਰ ਰੱਖੀ ਜਾਵੇਗੀ ਜਦੋਂ ਤੱਕ ਤੁਹਾਡਾ ਰਿਕਾਰਡ ਮੌਜੂਦ ਰਹੇਗਾ ਅਤੇ ਜੇਕਰ ਦਫਾ 2 ਦੇ ਅਧੀਨ ਕੋਈ ਡਾਕਟਰੀ ਜਾਂ ਪ੍ਰਸਾਸਨਿਕ ਦਖਲਅੰਦਾਜੀ ਸੁਰੂ ਕੀਤੀ ਗਈ ਹੈ, ਤਾਂ ਹੇਠਾਂ ਦਫਾ 4(ਬੀ) ਦੇ ਅਧੀਨ, ਇਸ ਤੋਂ ਬਾਅਦ ਦੀ ਅਵਧੀ ਲਈ ਅਜਿਹੀ ਦਖਲਅੰਦਾਜੀ ਨੂੰ ਪੂਰਾ ਕਰਨ ਲਈ ਲੋੜੀਂਦਾ ਹੈ।"
"All personal information collected under Clauses 1 will be retained on the application Server, to the extent that such information relates to people who have been registered for the event.","ਦਫਾ 1 ਦੇ ਤਹਿਤ ਇਕੱਤਰ ਕੀਤੀ ਗਈ ਸਾਰੀ ਨਿੱਜੀ ਜਾਣਕਾਰੀ ਐਪਲੀਕੇਸਨ ਇਸ ਹੱਦ ਤੱਕ ਸਰਵਰ 'ਤੇ ਰੱਖੀ ਜਾਵੇਗੀ, ਕਿ ਅਜਿਹੀ ਜਾਣਕਾਰੀ ਉਹਨਾਂ ਲੋਕਾਂ ਨਾਲ ਸਬੰਧਤ ਹੈ ਜੋ ਘਟਨਾ ਲਈ ਰਜਿਸਟਰ ਕੀਤੇ ਗਏ ਹਨ।"
"Nothing set out herein shall apply to the anonymized, aggregated datasets generated by the personal data of registered users of Poshan Tracker or any reports, heat maps or other visualization created using such datasets.","ਇੱਥੇ ਦੱਸੀ ਗਈ ਕੋਈ ਵੀ ਚੀਜ ਪੋਸਣ ਟਰੈਕਰ ਦੇ ਰਜਿਸਟਰਡ ਉਪਭੋਗਤਾਵਾਂ ਦੇ ਨਿੱਜੀ ਅੰਕੜਿਆਂ ਦੀ ਵਰਤੋਂ ਕਰਕੇ ਬਣਾਏ ਗਏ ਅਗਿਆਤ ਜਾਂ ਸਮੁਚੇ ਅੰਕੜਾ ਸਮੂਹ ਜਾਂ ਕੋਈ ਰਿਪੋਰਟਾਂ, ਹੀਟ ਮੈਪ ਜਾਂ ਹੋਰ ਦ੍ਰਿਸਟੀਕੋਣ ਦੁਆਰਾ ਇਕੱਠੇ ਕੀਤੇ ਅੰਕੜਾ ਸਮੂਹ 'ਤੇ ਲਾਗੂ ਨਹੀਂ ਹੋਵੇਗੀ।"
Number Of Positions,ਅਹੁਦਿਆਂ ਦੀ ਸੰਖਿਆ
Please enter Height greater than 29.99 and less than 140.01,ਕਿਰਪਾ ਕਰਕੇ 29.99 ਤੋਂ ਵੱਧ ਅਤੇ 140.01 ਤੋਂ ਘੱਟ ਉਚਾਈ ਦਰਜ ਕਰੋ
"While login to the Poshan Tracker App, AWWs are required to enter the MPIN set by them.","ਪੋਸਣ ਟ੍ਰੈਕਰ ਐਪ ਤੇ ਲੋਗਿਨ ਕਰਦੇ ਸਮੇਂ, ਏਡਬਲਯੂਡਬਲਯੂ ਨੂੰ ਉਹਨਾਂ ਦੁਆਰਾ ਨਿਰਧਾਰਤ ਐਮਪੀਆਈ ਦਾਖਲ ਕਰਨ ਦੀ ਲੋੜ ਹੁੰਦੀ ਹੈ।"
This MPIN will act as a passcode to run the Poshan Tracker App and entering the information in the beneficiaries forms.,ਇਹ ਐਮਪੀਆਈਐਨ ਪੋਸਣ ਟ੍ਰੈਕਰ ਐਪ ਚਲਾਉਣ ਅਤੇ ਲਾਭਪਾਤਰੀਆਂ ਦੇ ਫਾਰਮ ਵਿਚ ਜਾਣਕਾਰੀ ਦਾਖਲ ਕਰਨ ਲਈ ਇਕ ਪਾਸਕੋਡ ਵਜੋਂ ਕੰਮ ਕਰੇਗੀ ।
Matigara ICDS Project( Main ),ਮਟੀਗਰਾ ਆਈਸੀਡੀਐਸ ਪ੍ਰੋਜੈਕਟ (ਮੁੱਖ)
How to ensure timely initiation of complementary feeding,ਪੂਰਕ ਆਹਾਰ ਦੀ ਸਮੇਂ ਸਿਰ ਸੁਰੂਆਤ ਨੂੰ ਕਿਵੇਂ ਯਕੀਨੀ ਬਣਾਇਆ ਜਾਵੇ
20 December 2021,20 ਦਸੰਬਰ 2021
Poshan Tracker App can only be installed in Android Phone with Android version 6.0 and above.,ਪੋਸਣ ਟ੍ਰੈਕਰ ਐਪ ਸਿਰਫ ਐਂਡਰਾਇਡ ਫੋਨ ਵਿੱਚ ਐਂਡਰਾਇਡ ਵਰਜਨ 6.0 ਅਤੇ ਇਸਤੋਂ ਵੱਧ ਦੇ ਨਾਲ ਇੰਸਟੌਲ ਕੀਤਾ ਜਾ ਸਕਦਾ ਹੈ।
Please Enter Mobile Number,ਕਿਰਪਾ ਕਰਕੇ ਮੋਬਾਈਲ ਨੰਬਰ ਦਰਜ ਕਰੋ
Request for Hot Cooked Meal,ਗਰਮ ਪਕਾਏ ਖਾਣੇ ਲਈ ਬੇਨਤੀ
Hasnabad ICDS Project,ਹਸਨਾਬਾਦ ਆਈਸੀਡੀਐਸ ਪ੍ਰੋਜੈਕਟ
RAIPUR URBAN 1,ਰਾਏਪੁਰ ਸਹਿਰੀ 1
General Awareness about Growth Monitoring of Children,ਬੱਚਿਆਂ ਦੇ ਵਿਕਾਸ ਦੀ ਨਿਗਰਾਨੀ ਬਾਰੇ ਆਮ ਜਾਗਰੂਕਤਾ
Bhind - R,ਭਿੰਡ - ਆਰ
Bastar - Chhattisgarh,ਬਸਤਰ - ਛੱਤੀਸਗੜ
Please select Help Topic,ਕਿਰਪਾ ਕਰਕੇ ਮਦਦ ਦਾ ਵਿਸਾ ਚੁਣੋ
SINGUR - Addl,ਸਿੰਗੂਰ - ਏਡੀਡੀਐਲ
Wasting is defined as low weight-for-height,ਦੁਰਬਲਤਾ ਨੂੰ ਉਚਾਈ ਅਨੁਸਾਰ ਘੱਟ ਭਾਰ ਵਜੋਂ ਪਰਿਭਾਸਿਤ ਕੀਤਾ ਗਿਆ ਹੈ
Hot Cooked Meal (HCM) Given Today,ਅੱਜ ਦਿੱਤਾ ਗਿਆ ਗਰਮ ਪਕਾਇਆ ਭੋਜਨ (ਐਚਸੀਐਮ) ਲਓ
There are 6 categories for beneficiariesPregnant WomenLactating MotherChildren from 0 to 6 monthsChildren from 6 months to 3 yearsChildren from 3 years to 6 yearsAdolescent girls,ਲਾਭਪਾਤਰੀਆਂ ਲਈ 6 ਸ੍ਰੇਣੀਆਂ ਹਨਗਰਭਵਤੀ ਔਰਤਾਂਦੁੱਧ ਚੁੰਘਾਉਣ ਵਾਲੀ ਮਾਂ0 ਤੋਂ 6 ਮਹੀਨੇ ਤੱਕ ਦੇ ਬੱਚੇ6 ਮਹੀਨਿਆਂ ਤੋਂ 3 ਸਾਲ ਤੱਕ ਦੇ ਬੱਚੇ3 ਸਾਲ ਤੋਂ 6 ਸਾਲ ਤੱਕ ਦੇ ਬੱਚੇਅੱਲ੍ਹੜ ਉਮਰ ਦੀਆਂ ਲੜਕੀਆਂ
"Data Plan for Mobile Application (01 March, 2021)","ਮੋਬਾਈਲ ਐਪਲੀਕੇਸਨ ਲਈ ਡੇਟਾ ਯੋਜਨਾ (01 ਮਾਰਚ, 2021)"
Old  Amravati Urban,ਪੁਰਾਣੀ ਅਮਰਾਵਤੀ ਸਹਿਰੀ
The WHO Multicentre Growth Reference Study (MGRS) was undertakenbetween 1997 and 2003 to generate new growth curves for assessing the growth and development of infants and young children around the world,1997 ਅਤੇ 2003 ਦੇ ਵਿਚਕਾਰ ਦੁਨੀਆ ਭਰ ਦੇ ਨਵਜੰਮੇ ਬੱਚਿਆਂ ਅਤੇ ਛੋਟੇ ਬੱਚਿਆਂ ਦੇ ਵਾਧੇ ਅਤੇ ਵਿਕਾਸ ਦਾ ਮੁਲਾਂਕਣ ਕਰਨ ਲਈ ਨਵੇਂ ਵਿਕਾਸ ਵਕਰ ਤਿਆਰ ਕਰਨ ਲਈ WHO ਮਲਟੀਸੈਂਟਰ ਗਰੋਥ ਰੈਫਰੈਂਸ ਸਟੱਡੀ (MGRS) ਕੀਤੀ ਗਈ ਸੀ।
Garbeta - I,ਗਰਬੇਟਾ - I
How to set MPIN?,ਐਮਪੀਆਈਐੱਨ ਕਿਵੇਂ ਨਿਰਧਾਰਤ ਕਰੀਏ?
Rewa - Urban,ਰੇਵਾ - ਸਹਿਰੀ
 VIII. LIMITATIONS OF MULTI- LINGUAL INTERFACE, VIII. ਬਹੁ-ਭਾਸਾਈ ਇੰਟਰਫੇਸ ਦੀਆਂ ਸੀਮਾਵਾਂ
Diamond Harbour-I ICDS Project,ਡਾਇਮੰਡ ਹਾਰਬਰ-1 ਆਈਸੀਡੀਐਸ ਪ੍ਰੋਜੈਕਟ
Srijangram I. C. D. S. Project,ਸ੍ਰੀਜੰਗਰਾਮ ਆਈਸੀਡੀਐਸ.ਪ੍ਰੋਜੈਕਟ
"We may investigate any violation of these Terms, including unauthorized use of the Site.",ਅਸੀਂ ਸਾਈਟ ਦੀ ਅਣਅਧਿਕਾਰਤ ਵਰਤੋਂ ਸਮੇਤ ਇਹਨਾਂ ਨਿਯਮਾਂ ਦੀ ਕਿਸੇ ਵੀ ਉਲੰਘਣਾ ਦੀ ਜਾਂਚ ਕਰ ਸਕਦੇ ਹਾਂ।
We may provide law enforcement with information you provide to us related to your transactions to assist in any investigation or prosecution of you.,ਅਸੀਂ ਤੁਹਾਡੀ ਕਿਸੇ ਵੀ ਜਾਂਚ ਜਾਂ ਮੁਕੱਦਮੇ ਵਿੱਚ ਸਹਾਇਤਾ ਕਰਨ ਲਈ ਤੁਹਾਡੇ ਲੈਣ-ਦੇਣ ਨਾਲ ਸਬੰਧਤ ਤੁਹਾਡੇ ਦੁਆਰਾ ਪ੍ਰਦਾਨ ਕੀਤੀ ਜਾਣਕਾਰੀ ਕਾਨੂੰਨ ਦੀ ਪਾਲਣਾ ਲਈ ਦੇ ਸਕਦੇ ਹਾਂ।
We may take legal action that we feel is appropriate.,ਜੇ ਸਾਨੂੰ ਉਚਿਤ ਲੱਗਦਾ ਹੈ ਤਾਂ ਅਸੀਂ ਕਾਨੂੰਨੀ ਕਾਰਵਾਈ ਕਰ ਸਕਦੇ ਹਾਂ।
"If we determine that you have violated these Terms or the law, or for any other reason or for no reason, we may block your account and will prevent you from accessing the Site at any time without notice to you.","ਜੇ ਅਸੀਂ ਇਹ ਨਿਰਧਾਰਤ ਕਰਦੇ ਹਾਂ ਕਿ ਤੁਸੀਂ ਇਹਨਾਂ ਨਿਯਮਾਂ ਜਾਂ ਕਾਨੂੰਨ ਦੀ ਉਲੰਘਣਾ ਕੀਤੀ ਹੈ, ਜਾਂ ਕਿਸੇ ਹੋਰ ਕਾਰਨ ਜਾਂ ਬਿਨਾਂ ਕਿਸੇ ਕਾਰਨ, ਅਸੀਂ ਤੁਹਾਡੇ ਖਾਤੇ ਨੂੰ ਬੰਦ ਕਰ ਸਕਦੇ ਹਾਂ ਅਤੇ ਤੁਹਾਨੂੰ ਬਿਨਾਂ ਕਿਸੇ ਨੋਟਿਸ ਦੇ ਕਿਸੇ ਵੀ ਸਮੇਂ ਸਾਈਟ ਨੂੰ ਐਕਸੈਸ ਕਰਨ ਤੋਂ ਰੋਕ ਸਕਦੇ ਹਾਂ।"
There are limited fields for data entry.Name is required to be entered in English language and for other fields numeric values are required.Most of the features are provided in check boxes or with drop down selection menu.Reports to be updated.,ਏਡਬਲਯੂਡਬਲਯੂ ਸਿਰਫ ਅੰਗ੍ਰੇਜੀ ਭਾਸਾ ਵਿਚ ਫਾਰਮ ਭਰ ਸਕਦਾ ਹੈ।
P P Kamaicha,ਪੀ ਪੀ ਕਮਾਇਚਾ
Children between 3-6 Years,3-6 ਸਾਲ ਦੇ ਵਿਚਕਾਰ ਬੱਚੇ
Poshan Calculator helps to identify various health conditions of the child as per World Health Organization (WHO) standards,ਪੋਸਨ ਕੈਲਕੁਲੇਟਰ ਵਿਸਵ ਸਿਹਤ ਸੰਗਠਨ (ਡਬਲਯੂਐਚਓ) ਦੇ ਮਾਪਦੰਡਾਂ ਅਨੁਸਾਰ ਬੱਚੇ ਦੀਆਂ ਵੱਖ-ਵੱਖ ਸਿਹਤ ਸਥਿਤੀਆਂ ਦੀ ਪਛਾਣ ਕਰਨ ਵਿੱਚ ਮਦਦ ਕਰਦਾ ਹੈ
General Awareness on Mother Care,ਮਾਂ ਦੀ ਦੇਖਭਾਲ ਬਾਰੇ ਆਮ ਜਾਗਰੂਕਤਾ
Mal Adl 2,ਮਲ ਏਡੀਐਲ 2
New Poshan Tracker App,ਨਵਾਂ ਪੋਸਨ ਟਰੈਕਰ ਐਪ
How to take care of weak newborn with the help of Kangaroo Mother Care,ਕੰਗਾਰੂ ਮਦਰ ਕੇਅਰ ਦੀ ਮਦਦ ਨਾਲ ਕਮਜੋਰ ਨਵਜੰਮੇ ਬੱਚੇ ਦੀ ਦੇਖਭਾਲ ਕਿਵੇਂ ਕਰੀਏ
Siliguri II (U),ਸਿਲੀਗੁੜੀ II (ਯੂ)
Old Urban Project 1,ਪੁਰਾਣਾ ਸਹਿਰੀ ਪ੍ਰੋਜੈਕਟ 1
District Performance across 6 KPIs,6 ਕੇਪੀਆਈ (KPIs) ਵਿੱਚ ਜਿਲ੍ਹਾ ਪ੍ਰਦਰਸਨ
Kaliyaganj ICDS Project,ਕਾਲੀਆਗੰਜ ਆਈਸੀਡੀਐਸ ਪ੍ਰੋਜੈਕਟ
Turbhe-Panvel Navi Mumbai,ਤੁਰਭੇ-ਪਨਵੇਲ ਨਵੀਂ ਮੁੰਬਈ
East Zone Rmc,ਪੂਰਬੀ ਜੋਨ ਆਰਐਮਸੀ
Bagh Kare Khan,ਬਾਗ ਕਰੇ ਖਾਨ
"Shenoy Nagar,Project 1","ਸੇਨੋਏ ਨਗਰ, ਪ੍ਰੋਜੈਕਟ 1"
"The ASPs collecting data from Poshan Tracker and displaying to users shall be solely responsible for the correctness of such data and any liability arising out of any data so provided, shall completely rest with such third party.","ਪੋਸਣ ਟਰੈਕਰ ਤੋਂ ਅੰਕੜੇ ਇਕੱਠੇ ਕਰਨ ਵਾਲੇ ਅਤੇ ਉਪਭੋਗਤਾਵਾਂ ਨੂੰ ਪ੍ਰਦਰਸਿਤ ਕਰਨ ਵਾਲੇ ਏਐਸਪੀ ਅਜਿਹੇ ਅੰਕੜਿਆਂ ਦੀ ਸੋਧ ਲਈ ਪੂਰੀ ਤਰ੍ਹਾਂ ਜਿੰਮੇਵਾਰ ਹੋਣਗੇ ਅਤੇ ਇਸ ਤਰ੍ਹਾਂ ਪ੍ਰਦਾਨ ਕੀਤੇ ਗਏ ਅੰਕੜਿਆਂ ਤੋਂ ਪੈਦਾ ਹੋਣ ਵਾਲੀ ਕੋਈ ਵੀ ਦੇਣਦਾਰੀ, ਪੂਰੀ ਤਰ੍ਹਾਂ ਨਾਲ ਅਜਿਹੀ ਤੀਜੀ ਧਿਰ ਦੀ ਹੋਵੇਗੀ।"
"Any liabilities civil or criminal, arising out of any incorrect data, shall solely lie with the concerned ASP.","ਕੋਈ ਵੀ ਗਲਤ ਅੰਕੜਿਆਂ ਤੋਂ ਪੈਦਾ ਹੋਣ ਵਾਲੀ ਕੋਈ ਵੀ ਸਮਾਜਿਕ ਜਾਂ ਅਪਰਾਧਿਕ ਦੇਣਦਾਰੀ, ਸਿਰਫ ਸਬੰਧਤ ਏਐਸਪੀ ਦੀ ਹੀ ਹੋਵੇਗੀ।"
ICDS Khadur Sahib,ਆਈਸੀਡੀਐਸ ਖਡੂਰ ਸਾਹਿਬ
Poshan Tracker App is available over Google playstore https://play. google. com/store/apps/details?,ਪੋਸਣ ਟ੍ਰੈਕਰ ਐਪ ਗੂਗਲ ਪਲੇਸਟੋਰ https://play.google.com /store/apps/details?
 id=com. poshantracker,id=com.poshantracker ਤੇ ਉਪਲਬਧ ਹੈ।
Can App be accessed without internet?,ਕੀ ਐਪ ਨੂੰ ਇੰਟਰਨੈਟ ਤੋਂ ਬਿਨਾਂ ਚਲਾਇਆ ਜਾ ਸਕਦਾ ਹੈ?
The Government has taken several initiatives to break the intergenerational cycle of malnutrition in children.,ਬੱਚਿਆਂ ਵਿੱਚ ਕੁਪੋਸਣ ਦੇ ਅੰਤਰ-ਜਨਮ ਚੱਕਰ ਨੂੰ ਤੋੜਨ ਲਈ ਸਰਕਾਰ ਨੇ ਕਈ ਉਪਰਾਲੇ ਕੀਤੇ ਹਨ।
"Adopting a life-cycle approach, interventions have been designed to meet the nutritional requirement of adolescent girls and boys, pregnant women, lactating mothers and children.","ਜੀਵਨ-ਚੱਕਰ ਦੀ ਪਹੁੰਚ ਅਪਣਾਉਂਦਿਆਂ, ਦਖਲਅੰਦਾਜੀ ਅੱਲ੍ਹੜ ਉਮਰ ਦੀਆਂ ਲੜਕੀਆਂ ਅਤੇ ਮੁੰਡਿਆਂ, ਗਰਭਵਤੀ ,ਰਤਾਂ, ਦੁੱਧ ਚੁੰਘਾਉਣ ਵਾਲੀਆਂ ਮਾਵਾਂ ਅਤੇ ਬੱਚਿਆਂ ਦੀ ਪੋਸਣ ਸੰਬੰਧੀ ਜਰੂਰਤ ਨੂੰ ਪੂਰਾ ਕਰਨ ਲਈ ਤਿਆਰ ਕੀਤੀ ਗਈ ਹੈ."
Dhupguri Adl 2,ਧੂਪਗੁੜੀ ਏਡੀਡੀਐਲ 2
Nalhati - II,ਨਲਹਟੀ - II
Awareness for Pregnancy in Preventing Anemia,ਅਨੀਮੀਆ ਨੂੰ ਰੋਕਣ ਲਈ ਗਰਭ ਅਵਸਥਾ ਬਾਰੇ ਜਾਗਰੂਕਤਾ
Last 30 days,ਪਿਛਲੇ 30 ਦਿਨ
"Howrah North (U) I. C. D. S. Project, Howrah","ਹਾਵੜਾ ਉੱਤਰੀ (ਯੂ) ਆਈਸੀਡੀਐਸ.ਪ੍ਰੋਜੈਕਟ, ਹਾਵੜਾ"
Ranaghat 1 Addl,ਰਾਨਾਘਾਟ 1 ਏਡੀਡੀਐਲ
Query Related to,ਸਬੰਧਤ ਪੁੱਛਗਿੱਛ
Dhar - U,ਧਰ - ਯੂ
South Garo Hills,ਪੱਛਮੀ ਗਾਰੋ ਪਹਾੜੀਆਂ
3. SHARING OF INFORMATION,3. ਜਾਣਕਾਰੀ ਸਾਂਝੀ ਕਰਨਾ
Birth Preparedness- For Institutional and Home Delivery,ਜਨਮ ਦੀ ਤਿਆਰੀ- ਸੰਸਥਾਗਤ ਅਤੇ ਹੋਮ ਡਿਲਿਵਰੀ ਲਈ
New beneficiary addition with skip OTP option,OTP ਛੱਡੋ ਵਿਕਲਪ ਦੇ ਨਾਲ ਨਵਾਂ ਲਾਭਪਾਤਰੀ ਐਡੀਸਨ
We are now available on Video Conference,ਅਸੀਂ ਹੁਣ ਵੀਡੀਓ ਕਾਨਫਰੰਸ 'ਤੇ ਉਪਲਬਧ ਹਾਂ
Data Plan for Mobile Application,ਮੋਬਾਈਲ ਐਪਲੀਕੇਸਨ ਲਈ ਡਾਟਾ ਪਲਾਨ
North West Delhi,ਉੱਤਰ-ਪੱਛਮੀ ਦਿੱਲੀ
English Bazar &amp,ਅੰਗਰੇਜੀ ਬਾਜਾਰ &amp
2.6. Surveys and Feedbacks.,2.6. ਸਰਵੇਖਣ ਅਤੇ ਆਡਿਟ (ਪ੍ਰਤੀ ਪੁਸਟੀ)।
"Poshan Tracker App is meant for Aanganwadi workers, Anganwadi centers to enter beneficiaries data in the forms.It is not at all developed for general public.","ਪੋਸਣ ਟ੍ਰੈਕਰ ਐਪ ਦਾ ਅਰਥ ਆਂਗਣਵਾੜੀ ਵਰਕਰਾਂ ਲਈ ਹੈ, ਆਂਗਣਵਾੜੀ ਕੇਂਦਰਾਂ ਵਿੱਚ ਲਾਭਪਾਤਰੀਆਂ ਦੇ ਫਾਰਮ ਦਾਖਲ ਕਰਨ ਲਈ ਇਹ ਆਮ ਲੋਕਾਂ ਲਈ ਬਿਲਕੁਲ ਵਿਕਸਤ ਨਹੀਂ ਹੈ।"
Get In Touch,ਸੰਪਰਕ ਵਿੱਚ ਰਹੇ
ICDS NAUSHERA PANNUAN,ਆਈਸੀਡੀਐਸ ਨੌਸਹਿਰਾ ਪੰਨੂਆਂ
