eng,or
"All personal information collected from you under Clause 1 at the time of registration will be retained for as long as your record remains in existence and if any medical or administrative interventions have been commenced under Clause 2, subject to Clause4(b) below, for such period thereafter as is required for such interventions to be completed.All personal information collected under Clauses 1 will be retained on the application Server, to the extent that such information relates to people who have been registered for the event.Nothing set out herein shall apply to the anonymized, aggregated datasets generated by the personal data of registered users of Poshan Tracker or any reports, heat maps or other visualization created using such datasets.","ପଞ୍ଜୀକରଣ ସମୟରେ ଧାରା 1 ଅନୁଯାୟୀ ଆପଣଙ୍କଠାରୁ ସଂଗୃହିତ ସମସ୍ତ ବ୍ୟକ୍ତିଗତ ସୂଚନା ଯେପର୍ଯ୍ୟନ୍ତ ଆପଣଙ୍କର ରେକର୍ଡ ବିଦ୍ୟମାନ ରହିବ ସେପର୍ଯ୍ୟନ୍ତ ରଖାଯିବ ଏବଂ ଯଦି କୌଣସି ଡାକ୍ତରୀ କିମ୍ବା ପ୍ରଶାସନିକ ହସ୍ତକ୍ଷେପ ଧାରା 2 ଅନୁଯାୟୀ ଆରମ୍ଭ ହୋଇଥିବ, ନିମ୍ନରେ ଧାରା 4 (ଖ) ଅନୁଯାୟୀ | ଏହିପରି ହସ୍ତକ୍ଷେପ ସମାପ୍ତ ହେବା ପାଇଁ ପରବର୍ତ୍ତୀ ଅବଧି |ଧାରା ଅନୁଯାୟୀ ସଂଗୃହିତ 1 ସମସ୍ତ ବ୍ୟକ୍ତିଗତ ସୂଚନା ଆପ୍ଲିକେସନ୍ ସର୍ଭରରେ ରଖାଯିବ, ଯେପର୍ଯ୍ୟନ୍ତ ଇଭେଣ୍ଟ ପାଇଁ ପଞ୍ଜୀକୃତ ହୋଇଥିବା ବ୍ୟକ୍ତିଙ୍କ ସହ ଏହି ସୂଚନା ସମ୍ବନ୍ଧୀୟ ଅଟେ |ପୃଷ୍ଟିକର ଟ୍ରାକରର ପଞ୍ଜୀକୃତ ଉପଭୋକ୍ତାଙ୍କ ବ୍ୟକ୍ତିଗତ ତଥ୍ୟ କିମ୍ବା ଏହିପରି ଡାଟାବେସ୍ ବ୍ୟବହାର କରି ସୃଷ୍ଟି ହୋଇଥିବା କୌଣସି ରିପୋର୍ଟ, ଉତ୍ତାପ ମାନଚିତ୍ର କିମ୍ବା ଅନ୍ୟାନ୍ୟ ଭିଜୁଆଲାଇଜେସନ୍ ଦ୍ୱାରା ଉତ୍ପାଦିତ ଅଜ୍ଞାତ, ଏକତ୍ରିତ ଡାଟାସେଟରେ ଏଠାରେ କୌଣସି ସେଟ୍ ପ୍ରଯୁଜ୍ୟ ହେବ ନାହିଁ |"
Number Of Positions,ପଦବୀ ସଂଖ୍ୟା
Please enter Height greater than 29.99 and less than 140.01,ଦୟାକରି 29.99 ରୁ ଅଧିକ ଏବଂ 140.01 ରୁ କମ୍ ଉଚ୍ଚତା ପ୍ରବେଶ କରନ୍ତୁ |
"While login to the Poshan Tracker App, AWWs are required to enter the MPIN set by them.","ପୋଷନ୍ ଟ୍ରାକର୍ ଆପ୍ରେ ଲଗ୍ଇନ୍ କରିବା ସମୟରେ, ଏଡବ୍ଲ୍ୟୁଡବ୍ଲ୍ୟୁମାନେ ସେମାନଙ୍କ ଦ୍ୱାରା ସେଟ୍ ହୋଇଥିବା ପ୍ରବେଶ କରିବାକୁ ଆବଶ୍ୟକ କରିଥାନ୍ତି ।"
This MPIN will act as a passcode to run the Poshan Tracker App and entering the information in the beneficiaries forms.,ଏହି ଏମ୍ପିଆଇଏନ୍ ପୋଷନ୍ ଟ୍ରାକର୍ ଆପ୍ ଚଲାଇବା ଏବଂ ହିତାଧିକାରୀ ଫର୍ମରେ ସୂଚନା ପ୍ରବେଶ କରିବା ପାଇଁ ଏକ ପାସକୋଡ୍ ଭାବରେ କାମ କରିବ ।
Matigara ICDS Project( Main ),ମାଟିଗରା ଆଇସିଡିଏସ୍ ପ୍ରୋଜେକ୍ଟ (ମୁଖ୍ୟ)
How to ensure timely initiation of complementary feeding,ସଂପନ୍ନ ଖାଦ୍ୟପେୟର ସମୟାନୁବର୍ତ୍ତୀକୁ କିପରି ସୁନିଶ୍ଚିତ କରିବେ
20 December 2021,20 ଡିସେମ୍ବର 2021
Poshan Tracker App can only be installed in Android Phone with Android version 6.0 and above.,ପୋଷନ୍ ଟ୍ରାକର୍ ଆପ୍କୁ କେବଳ ଆଣ୍ଡ୍ରଏଡ୍ ଭର୍ସନ୍ 6.0 ଏବଂ ତଦୁର୍ଦ୍ଧ ସହିତ ଆଣ୍ଡ୍ରଏଡ୍ ଫୋନରେ ଇନ୍ଷ୍ଟଲ୍ ହୋଇପାରିବ ।
Please Enter Mobile Number,ଦୟାକରି ମୋବାଇଲ୍ ନମ୍ବର ପ୍ରବେଶ କରନ୍ତୁ
Request for Hot Cooked Meal,ଗରମ ରନ୍ଧା ଖାଦ୍ୟ ପାଇଁ ଅନୁରୋଧ
Hasnabad ICDS Project,ହସନବାଦ ଆଇସିଡିଏସ ପ୍ରୋଜେକ୍ଟ
RAIPUR URBAN 1,ରାୟପୁର ସହରାଞ୍ଚଳ 1
General Awareness about Growth Monitoring of Children,ପିଲାମାନଙ୍କର ଅଭିବୃଦ୍ଧି ତଦାରଖ ବିଷୟରେ ସାଧାରଣ ସଚେତନତା
Bhind - R,ଭିଣ୍ଡ - ଆର
Bastar - Chhattisgarh,ବସ୍ତର - ଛତିଶଗଡ
Please select Help Topic,ଦୟାକରି ସହାୟତା ବିଷୟ ଚୟନ କରନ୍ତୁ
SINGUR - Addl,ସିଙ୍ଗୁର -ଆଡିସନାଲ୍
Wasting is defined as low weight-for-height,କମ୍ ଓଜନ-ଉଚ୍ଚତା ପାଇଁ ଅପଚୟ କୁ ବ୍ୟାଖ୍ୟା କରାଯାଇଛି |
Hot Cooked Meal (HCM) Given Today,ଆଜି ଦିଆଯାଇଥିବା ଗରମ ଭୋଜନ (HCM)
There are 6 categories for beneficiariesPregnant WomenLactating MotherChildren from 0 to 6 monthsChildren from 6 months to 3 yearsChildren from 3 years to 6 yearsAdolescent girls,ହିତାଧିକାରୀଙ୍କ ପାଇଁ 6 ଟି ବର୍ଗ ଅଛିଗର୍ଭବତୀ ମହିଳାସ୍ତନ୍ୟପାନ କରାଉଥିବା ମାତା0 ରୁ 6 ମାସ ପର୍ଯ୍ୟନ୍ତ ପିଲାମାନେ6 ମାସରୁ 3 ବର୍ଷ ପର୍ଯ୍ୟନ୍ତ ପିଲାମାନେ3 ବର୍ଷରୁ 6 ବର୍ଷ ପର୍ଯ୍ୟନ୍ତ ପିଲାମାନେକିଶୋର ଝିଅମାନେ
"Data Plan for Mobile Application (01 March, 2021)","ମୋବାଇଲ୍ ଆପ୍ଲିକେସନ୍ ପାଇଁ ଡାଟା ପ୍ଲାନ୍ (01 ମାର୍ଚ୍ଚ, 2021)"
Old  Amravati Urban,ପୁରୁଣା ଅମ୍ରାବତୀ ଅର୍ବାନ୍
The WHO Multicentre Growth Reference Study (MGRS) was undertakenbetween 1997 and 2003 to generate new growth curves for assessing the growth and development of infants and young children around the world,WHO ବହୁ କେନ୍ଦ୍ର ଅଭିବୃଦ୍ଧି ପ୍ରସଙ୍ଗ ଅଧ୍ୟୟନ (MGRS) 1997 ରୁ 2003 ମଧ୍ୟରେ ଶିଶୁ ଏବଂ ଛୋଟ ପିଲାମାନଙ୍କର ବୃଦ୍ଧି ଏବଂ ବିକାଶର ମୂଲ୍ୟାଙ୍କନ ପାଇଁ ନୂତନ ଅଭିବୃଦ୍ଧି ବକ୍ର ସୃଷ୍ଟି କରିବା ପାଇଁ କରାଯାଇଥିଲା |
Garbeta - I,ଗରବେଟା- I
How to set MPIN?,ଏମ୍ପିଆଇଏନ୍କୁ କିପରି ଭାବେ ସେଟ୍ କରାଯାଇପାରିବ?
Rewa - Urban,ରେୱା - ଅର୍ବାନ୍
 VIII. LIMITATIONS OF MULTI- LINGUAL INTERFACE, VIII. ଏକାଧିକ ଭାଷାଭାଷୀ ଇଣ୍ଟରଫେସ୍ ର ସୀମା |
Diamond Harbour-I ICDS Project,ଡାଇମଣ୍ଡ ହାର୍ବର- I ଆଇସିଡିଏସ୍ ପ୍ରକଳ୍ପ
Srijangram I. C. D. S. Project,ଶ୍ରୀଜନଗ୍ରାମ ଆଇସିଡିଏସ ପ୍ରକଳ୍ପ
"We may investigate any violation of these Terms, including unauthorized use of the Site.We may provide law enforcement with information you provide to us related to your transactions to assist in any investigation or prosecution of you.We may take legal action that we feel is appropriate.If we determine that you have violated these Terms or the law, or for any other reason or for no reason, we may block your account and will prevent you from accessing the Site at any time without notice to you.","ସାଇଟର ଅନଧିକୃତ ବ୍ୟବହାରକୁ ଅନ୍ତର୍ଭୁକ୍ତ କରି ଆମେ ଏହି ସର୍ତ୍ତାବଳୀର ଯେକୌଣସି ଉଲ୍ଲଂଘନକୁ ଅନୁସନ୍ଧାନ କରିପାରିବା | ତୁମର ଯେକୌଣସି ଅନୁସନ୍ଧାନ କିମ୍ବା ଦୋଷୀ ସାବ୍ୟସ୍ତ କରିବାରେ ସାହାଯ୍ୟ କରିବାକୁ ତୁମର କାରବାର ସହିତ ଜଡିତ ଥିବା ସୂଚନା ସହିତ ଆମେ ଆଇନ ପ୍ରଣୟନ ଯୋଗାଇ ପାରିବା | ଆମେ ଆଇନଗତ କାର୍ଯ୍ୟାନୁଷ୍ଠାନ ଗ୍ରହଣ କରିପାରିବା ଯାହାକୁ ଆମେ ଉପଯୁକ୍ତ ବୋଲି ଅନୁଭବ କରୁ | ଯଦି ଆମେ ସ୍ଥିର କରୁ ଯେ ଆପଣ ଏହି ସର୍ତ୍ତାବଳୀ କିମ୍ବା ନିୟମକୁ ଉଲ୍ଲଂଘନ କରିଛନ୍ତି, କିମ୍ବା ଅନ୍ୟ କୌଣସି କାରଣରୁ କିମ୍ବା ବିନା କାରଣରେ, ଆମେ ଆପଣଙ୍କ ଆକାଉଣ୍ଟକୁ ଅବରୋଧ କରିପାରିବା ଏବଂ ଆପଣଙ୍କୁ ବିନା ବିଜ୍ଞପ୍ତିରେ ଯେକୌଣସି ସମୟରେ ସାଇଟ୍ ପ୍ରବେଶ କରିବାକୁ ବାରଣ କରିବୁ |"
There are limited fields for data entry.Name is required to be entered in English language and for other fields numeric values are required.Most of the features are provided in check boxes or with drop down selection menu.Reports to be updated.,ଏଡବ୍ଲ୍ୟୁଡବ୍ଲ୍ୟୁ କେବଳ ଇଂରାଜୀ ଭାଷାରେ ଫର୍ମ ପୂରଣ କରିପାରିବ ।
P P Kamaicha,ପି ପି କାମାଇଚା
Children between 3-6 Years,3-6 ବର୍ଷ ମଧ୍ୟରେ ପିଲାମାନେ
Poshan Calculator helps to identify various health conditions of the child as per World Health Organization (WHO) standards,ବିଶ୍ୱ ସ୍ୱାସ୍ଥ୍ୟ ସଂଗଠନ (WHO) ମାନକ ଅନୁଯାୟୀ ପୃଷ୍ଟିକର କାଲ୍କୁଲେଟର ଶିଶୁର ବିଭିନ୍ନ ସ୍ୱାସ୍ଥ୍ୟ ଅବସ୍ଥା ଚିହ୍ନଟ କରିବାରେ ସାହାଯ୍ୟ କରେ
General Awareness on Mother Care,ମାତା ଯତ୍ନ ଉପରେ ସାଧାରଣ ସଚେତନତା
Mal Adl 2,ମାଲଦା ଆଡିସନାଲ୍ 2
New Poshan Tracker App,ନୂତନ ପୃଷ୍ଟିକର ଟ୍ରାକର୍ ଆପ୍
How to take care of weak newborn with the help of Kangaroo Mother Care,କଙ୍ଗାରୁ ମଦର କେୟାର ସାହାଯ୍ୟରେ କିପରି ଦୁର୍ବଳ ନବଜାତ ଶିଶୁର ଯତ୍ନ ନେବେ
Siliguri II (U),ସିଲିଗୁଡି II (ୟୁ)
Old Urban Project 1,ପୁରୁଣା ସହରୀ ପ୍ରକଳ୍ପ 1
District Performance across 6 KPIs,6 ଟି KPI ରେ ଜିଲ୍ଲା ପ୍ରଦର୍ଶନ
Kaliyaganj ICDS Project,କାଲିଆଗଞ୍ଜ ଆଇସିଡିଏସ୍ ପ୍ରକଳ୍ପ
Turbhe-Panvel Navi Mumbai,ତୁର୍ବେ-ପାନଭେଲ ନାଭି ମୁମ୍ବାଇ
East Zone Rmc,ପୂର୍ବ ଜୋନ୍ ଆରଏମସି
Bagh Kare Khan,ବାଗ କାରେ ଖାନ
"Shenoy Nagar,Project 1","ଶେନୋଏ ନଗର, ପ୍ରୋଜେକ୍ଟ 1"
"The ASPs collecting data from Poshan Tracker and displaying to users shall be solely responsible for the correctness of such data and any liability arising out of any data so provided, shall completely rest with such third party.Any liabilities civil or criminal, arising out of any incorrect data, shall solely lie with the concerned ASP.","ପୃଷ୍ଟିକର ଟ୍ରାକର୍ ଠାରୁ ତଥ୍ୟ ସଂଗ୍ରହ କରୁଥିବା ଏବଂ ଉପଭୋକ୍ତାମାନଙ୍କୁ ପ୍ରଦର୍ଶନ କରୁଥିବା ASP ଗୁଡିକ ଏହିପରି ତଥ୍ୟର ସଠିକତା ପାଇଁ ଦାୟୀ ରହିବେ ଏବଂ ପ୍ରଦାନ କରାଯାଇଥିବା ଯେକୌଣସି ତଥ୍ୟରୁ ଉତ୍ପନ୍ନ ଯେକୌଣସି ଦାୟିତ୍ବ ଏହିପରି ତୃତୀୟ ପକ୍ଷ ସହିତ ସମ୍ପୂର୍ଣ୍ଣ ଭାବରେ ରହିବ | କୌଣସି ଭୁଲ ତଥ୍ୟରୁ ଉତ୍ପନ୍ନ ଯେକୌଣସି ଦାୟିତ୍ବ ନାଗରିକ କିମ୍ବା ଅପରାଧିକ, କେବଳ ସଂପୃକ୍ତ ASP ସହିତ ରହିବ |"
ICDS Khadur Sahib,ଆଇସିଡିଏସ ଖଦୁର ସାହିବ
Poshan Tracker App is available over Google playstore https://play. google. com/store/apps/details?,ଗୁଗଲ୍ ପ୍ଲେ ଷ୍ଟୋର https://play. google. com/store/apps/details?
 id=com. poshantracker, id=com. poshantracker ଉପରେ ପୋଷନ୍ ଟ୍ରାକର୍ ଆପ୍ ଉପଲବ୍ଧ
Can App be accessed without internet?,ଇଣ୍ଟରନେଟ୍ ବିନା ଆପ୍କୁ ବ୍ୟବହାର କରାଯାଇପାରିବ କି?
The Government has taken several initiatives to break the intergenerational cycle of malnutrition in children.,ଶିଶୁମାନଙ୍କର ପୁଷ୍ଟିହୀନତାର ଆନ୍ତ gen ଜାତୀୟ ଚକ୍ରକୁ ଭାଙ୍ଗିବା ପାଇଁ ସରକାର ଅନେକ ପଦକ୍ଷେପ ନେଇଛନ୍ତି।
"Adopting a life-cycle approach, interventions have been designed to meet the nutritional requirement of adolescent girls and boys, pregnant women, lactating mothers and children.","ଏକ ଜୀବନଚକ୍ର ପଦ୍ଧତିକୁ ଗ୍ରହଣ କରି କିଶୋର ବାଳିକା ଏବଂ ବାଳକ, ଗର୍ଭବତୀ ମହିଳା, ସ୍ତନ୍ୟପାନ କରାଉଥିବା ମା ଏବଂ ପିଲାମାନଙ୍କର ପୁଷ୍ଟିକର ଆବଶ୍ୟକତା ପୂରଣ ପାଇଁ ହସ୍ତକ୍ଷେପ ପ୍ରସ୍ତୁତ କରାଯାଇଛି |"
Dhupguri Adl 2,ଧୂପଗୁରୀ ଆଡିସନାଲ୍ 2
Nalhati - II,ନଲହାଟି - II
Awareness for Pregnancy in Preventing Anemia,ରକ୍ତହୀନତାକୁ ରୋକିବାରେ ଗର୍ଭଧାରଣ ପାଇଁ ସଚେତନତା
Last 30 days,ଶେଷ 30 ଦିନ
"Howrah North (U) I. C. D. S. Project, Howrah","ହାୱଡା ନର୍ଥ (ୟୁ) ଆଇସିଡିଏସ ପ୍ରୋଜେକ୍ଟ, ହାୱଡା"
Ranaghat 1 Addl,ରାଣାଘାଟ 1 ଆଡିସନାଲ୍
Query Related to,ସମ୍ବନ୍ଧୀୟ ପ୍ରଶ୍ନ
Dhar - U,ଧର - ୟୁ
South Garo Hills,ଦକ୍ଷିଣ ଗାରୋ ପାହାଡ
3. SHARING OF INFORMATION,3. ସୂଚନାର ଅଂଶୀଦାର
Birth Preparedness- For Institutional and Home Delivery,ଜନ୍ମ ପ୍ରସ୍ତୁତି- ଅନୁଷ୍ଠାନିକ ଏବଂ ଗୃହ ବିତରଣ ପାଇଁ
New beneficiary addition with skip OTP option,ସ୍କିପ୍ OTP ବିକଳ୍ପ ସହିତ ନୂତନ ହିତାଧିକାରୀ ଯୋଗ
We are now available on Video Conference,ଆମେ ବର୍ତ୍ତମାନ ଭିଡିଓ କନଫରେନ୍ସରେ ଉପଲବ୍ଧ
Data Plan for Mobile Application,ମୋବାଇଲ୍ ଆପ୍ଲିକେସନ୍ ପାଇଁ ତଥ୍ଯ ଯୋଜନା
North West Delhi,ଉତ୍ତର ପଶ୍ଚିମ ଦିଲ୍ଲୀ
English Bazar &amp,ଇଂଲିଶ ବଜାର &amp
2.6. Surveys and Feedbacks.,2.6. ସର୍ଭେ ଏବଂ ମତାମତ |
"Poshan Tracker App is meant for Aanganwadi workers, Anganwadi centers to enter beneficiaries data in the forms.","ପୋଷନ୍ ଟ୍ରାକର୍ ଆପ୍ ଆଙ୍ଗାନୱାଡି କର୍ମକର୍ତ୍ତା, ଅଙ୍ଗନୱାଡି କେନ୍ଦ୍ରଗୁଡିକ ପାଇଁ ଫର୍ମରେ ହିତାଧିକାରୀଙ୍କ ତଥ୍ୟ ପ୍ରବେଶ କରିବା ପାଇଁ ଉଦ୍ଦିଷ୍ଟ ।"
It is not at all developed for general public.,ଏହା ସାଧାରଣ ଜନତାଙ୍କ ପାଇଁ ଏହା ବିକାଶ କରାଯାଇ ନାହିଁ ।
Get In Touch,ସମ୍ପର୍କ କରନ୍ତୁ
ICDS NAUSHERA PANNUAN,ଆଇସିଡିଏସ ନାଉଶରା ପାନୁଆନ୍
