eng,ml
Please select Help Topic,ദയവായി സഹായം വേണ്ട വിഷയം തെരഞ്ഞെടുക്കുക
SINGUR - Addl,സിംഗൂർ - എഡിഡിഎൽ
Wasting is defined as low weight-for-height,കുറഞ്ഞ തൂക്കം-ഉയരം-ഉയരം എന്നാണ് പാഴാക്കൽ നിർവചിച്ചിരിക്കുന്നത്
Hot Cooked Meal (HCM) Given Today,ഇന്ന് നൽകിയ ചൂടുള്ള വേവിച്ച ഭക്ഷണം (HCM)
There are 6 categories for beneficiariesPregnant WomenLactating MotherChildren from 0 to 6 monthsChildren from 6 months to 3 yearsChildren from 3 years to 6 yearsAdolescent girls,ഗുണഭോക്താക്കൾക്ക് 6 വിഭാഗങ്ങളുണ്ട്ഗർഭിണികൾമുലയൂട്ടുന്ന അമ്മ0 മുതൽ 6 മാസം വരെയുള്ള കുട്ടികൾ6 മാസം മുതൽ 3 വർഷം വരെയുള്ള കുട്ടികൾ3 വയസ്സ് മുതൽ 6 വയസ്സ് വരെയുള്ള കുട്ടികൾകൌമാരക്കാരായ പെൺകുട്ടികൾ
"Data Plan for Mobile Application (01 March, 2021)","മൊബൈൽ ആപ്ലിക്കേഷനായുള്ള ഡാറ്റ പ്ലാൻ (01 മാർച്ച്, 2021)"
Old  Amravati Urban,പഴയ അമരാവതി നഗരം
The WHO Multicentre Growth Reference Study (MGRS) was undertakenbetween 1997 and 2003 to generate new growth curves for assessing the growth and development of infants and young children around the world,ലോകമെമ്പാടുമുള്ള ശിശുക്കളുടെയും കൊച്ചുകുട്ടികളുടെയും വളർച്ചയും വികാസവും വിലയിരുത്തുന്നതിനായി പുതിയ വളർച്ചാ വളവുകൾ സൃഷ്ടിക്കുന്നതിനായി 1997 നും 2003 നും ഇടയിൽ WHO മൾട്ടിസെന്റർ ഗ്രോത്ത് റഫറൻസ് സ്റ്റഡി (MGRS) ഏറ്റെടുത്തു
Garbeta - I,ഗാർബെറ്റ - I
How to set MPIN?,എംപിൻ എങ്ങനെ സജ്ജമാക്കാം?
Rewa - Urban,രേവ - അർബൻ
 VIII. LIMITATIONS OF MULTI- LINGUAL INTERFACE, VIII. ബഹുഭാഷാ ഇന്റർഫേസിന്റെ പരിമിതികൾ
Diamond Harbour-I ICDS Project,ഡയമണ്ട് ഹാർബർ-I ഐസിഡിഎസ് പ്രോജക്ട്
Srijangram I. C. D. S. Project,ശ്രീജൻഗ്രാം ഐ. സി. ഡി. എസ്. പ്രോജക്ട്
"We may investigate any violation of these Terms, including unauthorized use of the Site.","സൈറ്റിന്റെ അനധികൃത ഉപയോഗം ഉൾപ്പെടെ, ഈ നിബന്ധനകളുടെ ഏതെങ്കിലും ലംഘനം ഞങ്ങൾ അന്വേഷിക്കാം."
We may provide law enforcement with information you provide to us related to your transactions to assist in any investigation or prosecution of you.,നിങ്ങളുടെ ഇടപാടുകളുമായി ബന്ധപ്പെട്ട് നിങ്ങൾ ഞങ്ങൾക്ക് നൽകുന്ന വിവരങ്ങൾ നിയമപാലകർക്ക് ഞങ്ങൾ നൽകിയേക്കാം.
We may take legal action that we feel is appropriate.,ഞങ്ങൾക്ക് ഉചിതമെന്ന് തോന്നുന്ന നിയമനടപടി സ്വീകരിക്കാം.
"If we determine that you have violated these Terms or the law, or for any other reason or for no reason, we may block your account and will prevent you from accessing the Site at any time without notice to you.","നിങ്ങൾ ഈ നിബന്ധനകളോ നിയമങ്ങളോ ലംഘിച്ചുവെന്നോ മറ്റെന്തെങ്കിലും കാരണത്താലോ കാരണമില്ലാതെയോ ഞങ്ങൾ നിർണ്ണയിക്കുകയാണെങ്കിൽ, ഞങ്ങൾ നിങ്ങളുടെ അക്കൌണ്ട് ബ്ലോക്ക് ചെയ്തേക്കാം കൂടാതെ നിങ്ങൾക്ക് അറിയിപ്പ് കൂടാതെ ഏത് സമയത്തും സൈറ്റ് ആക്സസ് ചെയ്യുന്നതിൽ നിന്ന് നിങ്ങളെ തടയുകയും ചെയ്യും."
There are limited fields for data entry.Name is required to be entered in English language and for other fields numeric values are required.Most of the features are provided in check boxes or with drop down selection menu.Reports to be updated.,ഇംഗ്ലീഷ് ഭാഷയിൽ മാത്രം ഫോം പൂരിപ്പിക്കൽ എഒപ്പംഒപ്പം ന് ചെയ്യാൻ കഴിയും.
P P Kamaicha,പി പി കാമൈച്ച
Children between 3-6 Years,3-6 വയസ്സിനിടയിലുള്ള കുട്ടികൾ
Poshan Calculator helps to identify various health conditions of the child as per World Health Organization (WHO) standards,ലോകാരോഗ്യ സംഘടനയുടെ (ഡബ്ല്യുഎച്ച്ഒ) മാനദണ്ഡങ്ങൾ അനുസരിച്ച് കുട്ടിയുടെ വിവിധ ആരോഗ്യസ്ഥിതികൾ തിരിച്ചറിയാൻ പോഷൻ കാൽക്കുലേറ്റർ സഹായിക്കുന്നു
General Awareness on Mother Care,മദർ കെയറിനെക്കുറിച്ചുള്ള പൊതുവായ അവബോധം
Mal Adl 2,മാൽ എഡിഎൽ 2
New Poshan Tracker App,പുതിയ പോഷൻ ട്രാക്കർ ആപ്പ്
How to take care of weak newborn with the help of Kangaroo Mother Care,കംഗാരു മദർ കെയറിന്റെ സഹായത്തോടെ ദുർബലമായ നവജാതശിശുവിനെ എങ്ങനെ പരിപാലിക്കാം
Siliguri II (U),സിലിഗുരി II (യു)
Old Urban Project 1,പഴയ നഗര പ്രോജക്ട് 1
District Performance across 6 KPIs,6 KPI-കളിൽ ഉടനീളം ജില്ലാ പ്രകടനം
Kaliyaganj ICDS Project,കലിയഗഞ്ച് ഐസിഡിഎസ് പ്രോജക്ട്
Turbhe-Panvel Navi Mumbai,തുർഭെ-പൻവേൽ നവി മുംബൈ
East Zone Rmc,ഈസ്റ്റ് സോൺ ആർഎംസി
Bagh Kare Khan,ബാഗ് കരേ ഖാൻ
"Shenoy Nagar,Project 1","ഷേണായി നഗർ, പ്രോജക്ട് 1"
"The ASPs collecting data from Poshan Tracker and displaying to users shall be solely responsible for the correctness of such data and any liability arising out of any data so provided, shall completely rest with such third party.","പോഷൻ ട്രാക്കറിൽ നിന്ന് ഡാറ്റ ശേഖരിക്കുകയും ഉപയോക്താക്കൾക്ക് പ്രദർശിപ്പിക്കുകയും ചെയ്യുന്ന എഎസ്പിമാർ അത്തരം ഡാറ്റയുടെ കൃത്യതയ്ക്കും അങ്ങനെ നൽകിയിട്ടുള്ള ഏതെങ്കിലും ഡാറ്റയിൽ നിന്ന് ഉണ്ടാകുന്ന ഏതെങ്കിലും ബാധ്യതയ്ക്കും പൂർണ്ണമായും ഉത്തരവാദിയായിരിക്കും, അത് അത്തരം മൂന്നാം കക്ഷിയിൽ പൂർണ്ണമായും നിക്ഷിപ്തമായിരിക്കും."
"Any liabilities civil or criminal, arising out of any incorrect data, shall solely lie with the concerned ASP.",ഏതെങ്കിലും തെറ്റായ ഡാറ്റയിൽ നിന്ന് ഉണ്ടാകുന്ന ഏതെങ്കിലും സിവിൽ അല്ലെങ്കിൽ ക്രിമിനൽ ബാധ്യതകൾ ബന്ധപ്പെട്ട എഎസ്പിയിൽ മാത്രമായിരിക്കും.
ICDS Khadur Sahib,ഐസിഡിഎസ് ഖാദൂർ സാഹിബ്
Poshan Tracker App is available over Google playstore https://play. google. com/store/apps/details?,ഗൂഗിൾ പ്ലേസ്റ്റോറിൽ പോഷാൻ ട്രാക്കർ ആപ്പ് ലഭ്യമാണ് https://play. google. com/store/apps/details?
 id=com. poshantracker, id=com. poshantracker.
Can App be accessed without internet?,ഇന്റർനെറ്റ് ഇല്ലാതെ എ. പി. പി ആക്സസ് ചെയ്യാൻ കഴിയുമോ?
The Government has taken several initiatives to break the intergenerational cycle of malnutrition in children.,കുട്ടികളിലെ പോഷകാഹാരക്കുറവിന്റെ അന്തർജനന ചക്രം തകർക്കാൻ സർക്കാർ നിരവധി സംരംഭങ്ങൾ എടുത്തിട്ടുണ്ട്.
"Adopting a life-cycle approach, interventions have been designed to meet the nutritional requirement of adolescent girls and boys, pregnant women, lactating mothers and children.","ഒരു ജീവിത ചക്ര സമീപനം സ്വീകരിച്ച്, കൌമാരക്കാരായ പെൺകുട്ടികളുടെയും ആൺകുട്ടികളുടെയും ഗർഭിണികളുടെയും മുലയൂട്ടുന്ന അമ്മമാരുടെയും കുട്ടികളുടെയും പോഷകാഹാര ആവശ്യങ്ങൾ നിറവേറ്റുന്നതിനായി ഇടപെടലുകൾ രൂപകൽപ്പന ചെയ്തിട്ടുണ്ട്."
Dhupguri Adl 2,ധുപ്ഗുരി അഡൽ 2
Nalhati - II,നൽഹതി - II
Awareness for Pregnancy in Preventing Anemia,അനീമിയ തടയുന്നതിൽ ഗർഭധാരണത്തിനുള്ള ബോധവൽക്കരണം
Last 30 days,കഴിഞ്ഞ 30 ദിവസം
"Howrah North (U) I. C. D. S. Project, Howrah","ഹൌറ നോർത്ത് (യു) ഐ. സി. ഡി. എസ്. പ്രോജക്ട്, ഹൌറ"
Ranaghat 1 Addl,രണഘട്ട് 1 അഡീഷണൽ
Query Related to,ഇതുമായി ബന്ധപ്പെട്ട ചോദ്യം
Dhar - U,ധർ - യു
South Garo Hills,സൌത്ത് ഗാരോ ഹിൽസ്
3. SHARING OF INFORMATION,3. വിവരങ്ങൾ പങ്കിടൽ
Birth Preparedness- For Institutional and Home Delivery,ജനന തയ്യാറെടുപ്പ്- സ്ഥാപനപരവും ഹോം ഡെലിവറിക്കും
New beneficiary addition with skip OTP option,OTP ഒഴിവാക്കിക്കൊണ്ടുള്ള പുതിയ ഗുണഭോക്താക്കളെ കൂട്ടിച്ചേർക്കൽ
We are now available on Video Conference,ഞങ്ങൾ ഇപ്പോൾ വീഡിയോ കോൺഫറൻസിലാണ്
Data Plan for Mobile Application,മൊബൈൽ ആപ്ലിക്കേഷനായുള്ള ഡാറ്റ പ്ലാൻ
North West Delhi,വടക്ക് പടിഞ്ഞാറൻ ഡൽഹി
English Bazar &amp,ഇംഗ്ലീഷ് ബസാർ &amp
2.6. Surveys and Feedbacks.,2.6. സർവേകളും ഫീഡ്ബാക്കും.
"Poshan Tracker App is meant for Aanganwadi workers, Anganwadi centers to enter beneficiaries data in the forms.",അംഗൻവാടി തൊഴിലാളികൾക്കും അംഗൻവാടി കേന്ദ്രങ്ങൾക്കും ഗുണഭോക്താക്കളുടെ ഡാറ്റ ഫോമുകളിൽ നൽകുന്നതിന് വേണ്ടിയാണ് പോഷൻ ട്രാക്കർ ആപ്പ്.
It is not at all developed for general public.,ഇത് പൊതുജനങ്ങൾക്കായി വികസിപ്പിച്ചതല്ല.
Get In Touch,സ്പർശിക്കുക
ICDS NAUSHERA PANNUAN,ഐസിഡിഎസ് നൌഷേര പന്നുവൻ
"Poshan Abhiyaan is India’s flagship programme to improve nutritional outcomes for children, adolescents, pregnant women and lactating mothers by leveraging technology, a targeted approach and convergence.Poshan Tracker Portal or App is governed by Ministry of Woman and Child Development, Government of India, hereinafter referred to as “MWCD”, “our”, “us”, “we” which shall include a reference to other departments and divisions of the program/campaign.References to Poshan Tracker Portal or App in this policy include Poshan Tracker or any other Apps or portals that are integrated with Poshan Tracker through APIs / related sites, apps, communications and services (“Services”) hereinafter collectively referred to as “Poshan Tracker or System.”Our Privacy Policy applies when you use our Services (described below).This Privacy Policy is meant to help you understand what information we collect, why we collect it, and how it is used and shared.The collecting and retaining agency in respect of your information is MWCD.We are committed to protecting the security of your personal information and safeguarding your privacy.Any information or data collected and processed on the System is done in accordance with the provisions of Information Technology Act, 2000 read with its Rules and other national and state laws relating to the collection and processing of personal data.This Privacy Policy is required to be read in conjunction with the Terms of Service available at https://poshantracker. in. Your access to and use of the System is conditional upon your acceptance of this Privacy Policy and the Terms of Service.By accessing and/or using the System, you represent that you have read, understood and are bound by the Terms of Service and this Privacy Policy, and that you consent to your information and data being collected, stored and used in the manner laid out in this Privacy Policy.You hereby acknowledge that the collection of your information as described in Clause 1 of this Privacy Policy is necessary to fulfil the purposes specified in Clause 2 and 3 of this Privacy Policy.","കുട്ടികൾ, കൌമാരക്കാർ, ഗർഭിണികൾ, മുലയൂട്ടുന്ന അമ്മമാർ എന്നിവർക്കുള്ള പോഷകാഹാര ഫലങ്ങൾ മെച്ചപ്പെടുത്തുന്നതിനുള്ള ഇന്ത്യയുടെ മുൻനിര പരിപാടിയാണ് പോഷൻ അഭിയാൻ, സാങ്കേതികവിദ്യയും ലക്ഷ്യബോധമുള്ള സമീപനവും ഒത്തുചേരലും പ്രയോജനപ്പെടുത്തി.പോഷൻ ട്രാക്കർ പോർട്ടൽ അല്ലെങ്കിൽ ആപ്പ് നിയന്ത്രിക്കുന്നത് ഇന്ത്യാ ഗവൺമെന്റിലെ സ്ത്രീ-ശിശു വികസന മന്ത്രാലയമാണ്, ഇനി മുതൽ ""MWCD"", ""ഞങ്ങളുടെ"", ""ഞങ്ങൾ"", ""ഞങ്ങൾ"" എന്നിങ്ങനെ പരാമർശിക്കപ്പെടുന്നു, അതിൽ മറ്റ് വകുപ്പുകളേയും ഡിവിഷനുകളേയും കുറിച്ചുള്ള ഒരു റഫറൻസ് ഉൾപ്പെടുന്നു. പ്രോഗ്രാം/പ്രചാരണം. ഈ നയത്തിലെ പോഷൻ ട്രാക്കർ പോർട്ടൽ അല്ലെങ്കിൽ ആപ്പിനെ കുറിച്ചുള്ള റഫറൻസുകളിൽ പോഷൻ ട്രാക്കർ അല്ലെങ്കിൽ പോഷൻ ട്രാക്കറുമായി സംയോജിപ്പിച്ചിട്ടുള്ള മറ്റേതെങ്കിലും ആപ്പുകൾ അല്ലെങ്കിൽ പോർട്ടലുകൾ എന്നിവ ഉൾപ്പെടുന്നു. സിസ്റ്റം. ""നിങ്ങൾ ഞങ്ങളുടെ സേവനങ്ങൾ ഉപയോഗിക്കുമ്പോൾ ഞങ്ങളുടെ സ്വകാര്യതാ നയം ബാധകമാണ് (ചുവടെ വിവരിച്ചിരിക്കുന്നത്).ഈ സ്വകാര്യതാ നയം, ഞങ്ങൾ എന്ത് വിവരങ്ങളാണ് ശേഖരിക്കുന്നത്, എന്തിനാണ് ഞങ്ങൾ അത് ശേഖരിക്കുന്നത്, അത് എങ്ങനെ ഉപയോഗിക്കുകയും പങ്കിടുകയും ചെയ്യുന്നു എന്ന് മനസിലാക്കാൻ നിങ്ങളെ സഹായിക്കുന്നതിന് വേണ്ടിയുള്ളതാണ്.നിങ്ങളുടെ വിവരങ്ങൾ ശേഖരിക്കുകയും നിലനിർത്തുകയും ചെയ്യുന്ന ഏജൻസി MWCD ആണ്.നിങ്ങളുടെ സ്വകാര്യ വിവരങ്ങളുടെ സുരക്ഷ പരിരക്ഷിക്കുന്നതിനും നിങ്ങളുടെ സ്വകാര്യത സംരക്ഷിക്കുന്നതിനും ഞങ്ങൾ പ്രതിജ്ഞാബദ്ധരാണ്.2000-ലെ ഇൻഫർമേഷൻ ടെക്നോളജി ആക്ട്, അതിന്റെ നിയമങ്ങളും വ്യക്തിഗത ഡാറ്റയുടെ ശേഖരണവും സംസ്കരണവുമായി ബന്ധപ്പെട്ട മറ്റ് ദേശീയ, സംസ്ഥാന നിയമങ്ങളും അനുസരിച്ചാണ് സിസ്റ്റത്തിൽ ശേഖരിക്കുകയും പ്രോസസ്സ് ചെയ്യുകയും ചെയ്യുന്ന ഏതൊരു വിവരവും അല്ലെങ്കിൽ ഡാറ്റയും ചെയ്യുന്നത്.ഈ സ്വകാര്യതാ നയം https://poshantracker.in-ൽ ലഭ്യമായ സേവന നിബന്ധനകൾക്കൊപ്പം വായിക്കേണ്ടതുണ്ട്.ഈ സ്വകാര്യതാ നയവും സേവന നിബന്ധനകളും നിങ്ങൾ അംഗീകരിച്ചതിന് മേൽ നിങ്ങളുടെ സിസ്റ്റത്തിലേക്കുള്ള പ്രവേശനവും ഉപയോഗവും വ്യവസ്ഥാപിതമാണ്.സിസ്റ്റം ആക്സസ് ചെയ്യുന്നതിലൂടെയും കൂടാതെ/അല്ലെങ്കിൽ ഉപയോഗിക്കുന്നതിലൂടെയും, നിങ്ങൾ സേവന നിബന്ധനകളും ഈ സ്വകാര്യതാ നയവും വായിക്കുകയും മനസ്സിലാക്കുകയും അവയ്ക്ക് വിധേയരായിരിക്കുകയും ചെയ്യുന്നുവെന്നും നിങ്ങളുടെ വിവരങ്ങളും ഡാറ്റയും ശേഖരിക്കുകയും സംഭരിക്കുകയും ഉപയോഗിക്കുകയും ചെയ്യുന്ന രീതിയിൽ നിങ്ങൾ സമ്മതിക്കുകയും ചെയ്യുന്നു.ഈ സ്വകാര്യതാ നയത്തിൽ.ഈ സ്വകാര്യതാ നയത്തിന്റെ ക്ലോസ് 1-ൽ വിവരിച്ചിരിക്കുന്ന നിങ്ങളുടെ വിവരങ്ങളുടെ ശേഖരണം ഈ സ്വകാര്യതാ നയത്തിന്റെ ക്ലോസ് 2, 3 എന്നിവയിൽ വ്യക്തമാക്കിയ ഉദ്ദേശ്യങ്ങൾ നിറവേറ്റുന്നതിന് ആവശ്യമാണെന്ന് നിങ്ങൾ ഇതിനാൽ അംഗീകരിക്കുന്നു."
Swastha Balak/Balika Spardha Mission is about celebrating the health of children in India.,Swastha Balak/Balika Spardha Mission is about celebrating the health of children in India.
It entails identification and awareness of health conditions and providing necessary support wherever required.,It entails identification and awareness of health conditions and providing necessary support wherever required.
"Swastha Balak/Balika Spardha Portal or App is governed by Ministry of Woman and Child development, Government of India, hereinafter referred to as “our”, “us”, “we” which shall include a reference to other departments and divisions of the program/campaign.","Swastha Balak/Balika Spardha Portal or App is governed by Ministry of Woman and Child development, Government of India, hereinafter referred to as ""our"", ""us"", ""we"" which shall include a reference to other departments and divisions of the program/campaign."
"References to Swastha Balak/Balika Spardha Portal or App in this policy include Poshan Tracker or any other Apps or portals that are integrated with Poshan Tracker through APIs / related sites, apps, communications and services (“Services”) hereinafter collectively referred to as “Poshan Tracker or System.","References to Swastha Balak/Balika Spardha Portal or App in this policy include Poshan Tracker or any other Apps or portals that are integrated with Poshan Tracker through APIs / related sites, apps, communications and services (""Services"") hereinafter collectively referred to as ""Poshan Tracker or System."
”Our Privacy Policy applies when you use our Services (described below).,"""Our Privacy Policy applies when you use our Services (described below)."
"This Privacy Policy is meant to help you understand what information we collect, why we collect it, and how it is used and shared.","This Privacy Policy is meant to help you understand what information we collect, why we collect it, and how it is used and shared."
The collecting and retaining agency in respect of your information is Ministry of Women and Child Development.,The collecting and retaining agency in respect of your information is Ministry of Women and Child Development.
We are committed to protecting the security of your personal information and safeguarding your privacy.,We are committed to protecting the security of your personal information and safeguarding your privacy.
"Any information or data collected and processed on the System is done in accordance with the provisions of Information Technology Act, 2000 read with its Rules and other national and state laws relating to the collection and processing of personal data.","Any information or data collected and processed on the System is done in accordance with the provisions of Information Technology Act, 2000 read with its Rules and other national and state laws relating to the collection and processing of personal data."
This Privacy Policy is required to be read in conjunction with the Terms of Service available at https://poshantracker. in. Your access to and use of the System is conditional upon your acceptance of this Privacy Policy and the Terms of Service.,This Privacy Policy is required to be read in conjunction with the Terms of Service available at https://poshantracker. in. Your access to and use of the System is conditional upon your acceptance of this Privacy Policy and the Terms of Service.
"By accessing and/or using the System, you represent that you have read, understood and are bound by the Terms of Service and this Privacy Policy, and that you consent to your information and data being collected, stored and used in the manner laid out in this Privacy Policy.","By accessing and/or using the System, you represent that you have read, understood and are bound by the Terms of Service and this Privacy Policy, and that you consent to your information and data being collected, stored and used in the manner laid out in this Privacy Policy."
