eng,gu
"All personal information collected from you under Clause 1 at the time of registration will be retained for as long as your record remains in existence and if any medical or administrative interventions have been commenced under Clause 2, subject to Clause4(b) below, for such period thereafter as is required for such interventions to be completed.","નોંધણી સમયે કલમ 1 હેઠળ તમારી પાસેથી એકત્રિત કરવામાં આવેલી તમામ અંગત માહિતી જ્યાં સુધી તમારો રેકોર્ડ અસ્તિત્વમાં રહેશે ત્યાં સુધી જાળવી રાખવામાં આવશે અને જો કલમ 2 હેઠળ કોઈપણ તબીબી અથવા વહીવટી હસ્તક્ષેપ શરૂ કરવામાં આવ્યા હોય, તો નીચેની કલમ 4(b) ને આધીન હોય, જેમ કે તે પછીનો સમયગાળો જેમ કે આવા હસ્તક્ષેપો પૂર્ણ કરવા માટે જરૂરી છે."
"All personal information collected under Clauses 1 will be retained on the application Server, to the extent that such information relates to people who have been registered for the event.","કલમ 1 હેઠળ એકત્રિત કરવામાં આવેલી તમામ વ્યક્તિગત માહિતી એપ્લિકેશન સર્વર પર જાળવી રાખવામાં આવશે, તે હદ સુધી કે આવી માહિતી ઇવેન્ટ માટે નોંધાયેલા લોકો સાથે સંબંધિત છે."
"Nothing set out herein shall apply to the anonymized, aggregated datasets generated by the personal data of registered users of Poshan Tracker or any reports, heat maps or other visualization created using such datasets.","અહીં દર્શાવેલ કંઈપણ પોશન ટ્રેકરના નોંધાયેલા વપરાશકર્તાઓના વ્યક્તિગત ડેટા અથવા આવા ડેટાસેટ્સનો ઉપયોગ કરીને બનાવેલા કોઈપણ અહેવાલો, હીટ મેપ્સ અથવા અન્ય વિઝ્યુલાઇઝેશન દ્વારા જનરેટ કરાયેલા અનામી, એકીકૃત ડેટાસેટ્સ પર લાગુ થશે નહીં."
Number Of Positions,વિવિધ પદોની સંખ્યા
Please enter Height greater than 29.99 and less than 140.01,કૃપા કરીને 37.99 કરતાં વધુ અને 150.01 કરતાં ઓછી ઊંચાઈ દાખલ કરો
"While login to the Poshan Tracker App, AWWs are required to enter the MPIN set by them.","પોષણ ટ્રેકર એપ્લિકેશન પર લૉગિન કરતાં સમયે, કાર્યકરોને તેમના દ્વારા સેટ કરેલ એમપિન દાખલ કરવો જરૂરી છે."
This MPIN will act as a passcode to run the Poshan Tracker App and entering the information in the beneficiaries forms.,આ એમપિન પોષણ ટ્રેકર એપ્લિકેશન ચલાવવા અને લાભાર્થીઓના ફોર્મમાં માહિતી દાખલ કરવા માટે પાસકોડ તરીકે કાર્ય કરશે.
Matigara ICDS Project( Main ),મતિગારા આઈસીડીએસ પ્રોજેક્ટ (મેઈન)
How to ensure timely initiation of complementary feeding,સમયસર પૂરક ખોરાક શરૂઆત કર્યાની ખાત્રી કેવી રીતે કરવી
20 December 2021,20 ડિસેમ્બર 2021
Poshan Tracker App can only be installed in Android Phone with Android version 6.0 and above.,પોષણ ટ્રેકર એપ્લિકેશન ફક્ત એન્ડ્રોઇડ 6.0 અને તેથી વધુનાં સંસ્કરણ વાળ ફોનમાં ઇન્સ્ટોલ કરી શકાય છે.
Please Enter Mobile Number,કૃપા કરીને મોબાઈલ નંબર દાખલ કરો
Request for Hot Cooked Meal,રાંધેલા ભોજન માટે વિનંતી
Hasnabad ICDS Project,હસનાબાદ આઈસીડીએસ પ્રોજેક્ટ
RAIPUR URBAN 1,રાઈપુર શહેર 1
General Awareness about Growth Monitoring of Children,બાળકોના વૃધ્ધિ-વિકાસ વિશે સામાન્ય જાગૃતિ
Bhind - R,બિંદ-આર
Bastar - Chhattisgarh,બસ્તર - છત્તીસગઢ
Please select Help Topic,કૃપા કરી મદદ માટેનો વિષય પસંદ કરો
SINGUR - Addl,સિંગુર-એડીડીએલ
Wasting is defined as low weight-for-height,બગાડને ઊંચાઈ માટે ઓછા વજન તરીકે વ્યાખ્યાયિત કરવામાં આવે છે
Hot Cooked Meal (HCM) Given Today,આજે દેવામા આવેલ ગરમ રાંધેલ ભોજન (HCM)
There are 6 categories for beneficiariesPregnant WomenLactating MotherChildren from 0 to 6 monthsChildren from 6 months to 3 yearsChildren from 3 years to 6 yearsAdolescent girls,લાભાર્થીઓ માટે 6 શ્રેણીઓ છેસગર્ભા સ્ત્રીઓસ્તનપાન કરાવતી માતા0 થી 6 મહિનાના બાળકો6 મહિનાથી 3 વર્ષ સુધીના બાળકો3 વર્ષથી 6 વર્ષ સુધીના બાળકોકિશોરવયની છોકરીઓ
"Data Plan for Mobile Application (01 March, 2021)","મોબાઇલ એપ્લિકેશન માટે ડેટા પ્લાન (01 માર્ચ, 2021)"
Old  Amravati Urban,જૂના અમરાવતી શહેર
The WHO Multicentre Growth Reference Study (MGRS) was undertakenbetween 1997 and 2003 to generate new growth curves for assessing the growth and development of infants and young children around the world,WHO મલ્ટિસેન્ટર ગ્રોથ રેફરન્સ સ્ટડી (MGRS) 1997 અને 2003 ની વચ્ચે વિશ્વભરમાં શિશુઓ અને નાના બાળકોની વૃદ્ધિ અને વિકાસનું મૂલ્યાંકન કરવા માટે નવા વૃદ્ધિ વળાંકો પેદા કરવા માટે હાથ ધરવામાં આવ્યું હતું
Garbeta - I,ગારબેટા-I
How to set MPIN?,એમપિન કેવી રીતે સેટ કરવું?
Rewa - Urban,રેવા-શહેર
 VIII. LIMITATIONS OF MULTI- LINGUAL INTERFACE, VIII. બહુભાષી ઇન્ટરફેસની મર્યાદાઓ
Diamond Harbour-I ICDS Project,ડિયમંડ હાર્બર-I આઈસીડીએસ પ્રોજેક્ટ
Srijangram I. C. D. S. Project,શ્રીજનગ્રામ આઈ. સી. ડી. એસ. પ્રોજેક્ટ
"We may investigate any violation of these Terms, including unauthorized use of the Site.",અમે સાઇટના અનધિકૃત ઉપયોગ સહિત આ શરતોના કોઈપણ ઉલ્લંઘનની તપાસ કરી શકીએ છીએ.
We may provide law enforcement with information you provide to us related to your transactions to assist in any investigation or prosecution of you.,અમે કાયદાના અમલીકરણને તમારી કોઈપણ તપાસ અથવા કાર્યવાહીમાં મદદ કરવા માટે તમારા વ્યવહારોથી સંબંધિત તમે અમને પ્રદાન કરેલી માહિતી પ્રદાન કરી શકીએ છીએ.
We may take legal action that we feel is appropriate.,અમને યોગ્ય લાગે તે અમે કાનૂની પગલાં લઈ શકીએ છીએ.
"If we determine that you have violated these Terms or the law, or for any other reason or for no reason, we may block your account and will prevent you from accessing the Site at any time without notice to you.","જો અમે નિર્ધારિત કરીએ કે તમે આ શરતો અથવા કાયદાનું ઉલ્લંઘન કર્યું છે, અથવા અન્ય કોઈ કારણસર અથવા કોઈ કારણસર, અમે તમારા એકાઉન્ટને અવરોધિત કરી શકીએ છીએ અને તમને સૂચના આપ્યા વિના કોઈપણ સમયે સાઇટને ઍક્સેસ કરવાથી અટકાવીશું."
There are limited fields for data entry.Name is required to be entered in English language and for other fields numeric values are required.Most of the features are provided in check boxes or with drop down selection menu.Reports to be updated.,આંગણવાડી કાર્યકર ફક્ત અંગ્રેજી ભાષામાં જ ફોર્મ ભરી શકે છે.
P P Kamaicha,પીપી કમૈચા
Children between 3-6 Years,3-6 વર્ષની વચ્ચેનાં બાળકો
Poshan Calculator helps to identify various health conditions of the child as per World Health Organization (WHO) standards,પોશન કેલ્ક્યુલેટર વર્લ્ડ હેલ્થ ઓર્ગેનાઈઝેશન (ડબ્લ્યુએચઓ) ના ધોરણો અનુસાર બાળકની વિવિધ આરોગ્ય સ્થિતિઓને ઓળખવામાં મદદ કરે છે
General Awareness on Mother Care,માતાની સંભાળ અંગે સામાન્ય જાગૃતિ
Mal Adl 2,માલ એડીએલ 2
New Poshan Tracker App,નવી પોષણ ટ્રેકર એપ
How to take care of weak newborn with the help of Kangaroo Mother Care,કાંગારુ મધર કેરની મદદથી નબળા નવજાતની સંભાળ કેવી રીતે રાખવી
Siliguri II (U),સિલિગુરી II(U)
Old Urban Project 1,જૂના શહેર પ્રોજેક્ટ-1
District Performance across 6 KPIs,6 KPIsમાં જિલ્લાનું પ્રદર્શન
Kaliyaganj ICDS Project,કલિયાગંજ આઈસીડીએસ પ્રોજેક્ટ
Turbhe-Panvel Navi Mumbai,તુરભે-પાનવેલ-નવી મુંબઈ
East Zone Rmc,પૂર્વ ઝોન આરએમસી
Bagh Kare Khan,બાઘ કરે ખાન
"Shenoy Nagar,Project 1","શેનોય નગર, પ્રોજેક્ટ-1"
"The ASPs collecting data from Poshan Tracker and displaying to users shall be solely responsible for the correctness of such data and any liability arising out of any data so provided, shall completely rest with such third party.","પોશન ટ્રેકર પાસેથી ડેટા એકત્ર કરતા અને વપરાશકર્તાઓને પ્રદર્શિત કરતા ASP આવા ડેટાની શુદ્ધતા માટે અને આ રીતે પ્રદાન કરવામાં આવેલ કોઈપણ ડેટામાંથી ઉદ્ભવતી કોઈપણ જવાબદારી માટે સંપૂર્ણપણે જવાબદાર રહેશે, તે સંપૂર્ણપણે આવા તૃતીય પક્ષની સાથે રહેશે."
"Any liabilities civil or criminal, arising out of any incorrect data, shall solely lie with the concerned ASP.","કોઈપણ ખોટા ડેટાને કારણે ઉદ્ભવતી કોઈપણ જવાબદારીઓ સિવિલ અથવા ફોજદારી, ફક્ત સંબંધિત ASP પાસે જ રહેશે."
ICDS Khadur Sahib,આઈસીડીએસ સાહિબ
Poshan Tracker App is available over Google playstore https://play. google. com/store/apps/details?,પોષણ ટ્રેકર એપ્લિકેશન ગૂગલ પ્લે સ્ટોર https://play. google. com/store/apps/details?
 id=com. poshantracker, id=com. poshantracker પર ઉપલબ્ધ છે.
Can App be accessed without internet?,શું આ એપ્લિકેશનને ઇન્ટરનેટ વિના ચલાવી શકાય છે?
The Government has taken several initiatives to break the intergenerational cycle of malnutrition in children.,બાળકોમાં કુપોષણના અંતર્ગત ચક્રને તોડવા સરકારે અનેક પહેલ કરી છે.
"Adopting a life-cycle approach, interventions have been designed to meet the nutritional requirement of adolescent girls and boys, pregnant women, lactating mothers and children.","જીવન ચક્રના અભિગમને અપનાવી, દખલગીરી કિશોરવયની છોકરીઓ અને છોકરાઓ, સગર્ભા સ્ત્રીઓ, સ્તનપાન કરાવતી માતાઓ અને બાળકોની પોષક જરૂરિયાતને પહોંચી વળવા માટે બનાવવામાં આવી છે."
Dhupguri Adl 2,ધુપગુરી એડીએલ 2
Nalhati - II,નાલહાટી-II
Awareness for Pregnancy in Preventing Anemia,સગર્ભાવસ્થામાં એનિમિયાની અટકાયત માટે જાગૃતિ
Last 30 days,છેલ્લા 30 દિવસો
"Howrah North (U) I. C. D. S. Project, Howrah","હાવરા નોર્થ (યુ) આઈ. સી. ડી. એસ. પ્રોજેક્ટ, હાવરા"
Ranaghat 1 Addl,રાણાઘાટ 1 એડીડીએલ
Query Related to,થી સંબંધિત પ્રશ્ન
Dhar - U,ધાર-યુ
South Garo Hills,દક્ષિણ ગેરો હિલ્સ
3. SHARING OF INFORMATION,3. માહિતીની વહેંચણી
Birth Preparedness- For Institutional and Home Delivery,જન્મની તૈયારી- સંસ્થાકીય અને ઘરે પ્રસૂતિ માટે
New beneficiary addition with skip OTP option,OTP વિકલ્પ ઉમેરવા સાથે નવા લાભાર્થી ઉમેરવા
We are now available on Video Conference,અમે હવે વીડિયો કોન્ફરન્સ પર ઉપલબ્ધ છીએ
Data Plan for Mobile Application,મોબાઇલ એપ્લિકેશન માટે ડેટા પ્લાન
North West Delhi,ઉત્તર પશ્ચિમ દિલ્હી
English Bazar &amp,ઈગ્લિશ બજાર અને એએમપી
2.6. Surveys and Feedbacks.,2.6. સર્વેક્ષણો અને પ્રતિભાવો.
"Poshan Tracker App is meant for Aanganwadi workers, Anganwadi centers to enter beneficiaries data in the forms.","ફોર્મમાં લાભાર્થીઓનો ડેટા દાખલ કરવા માટે પોષણ ટ્રેકર એપ્લિકેશન, આંગણવાડી કાર્યકરો, આંગણવાડી કેન્દ્રો માટે છે."
It is not at all developed for general public.,તે સામાન્ય લોકો માટે બિલકુલ વિકસિત નથી.
Get In Touch,સંપર્કમાં રહેવા
ICDS NAUSHERA PANNUAN,આઈસીડીએસ નૌશેરા પાનુઅન
"Poshan Abhiyaan is India’s flagship programme to improve nutritional outcomes for children, adolescents, pregnant women and lactating mothers by leveraging technology, a targeted approach and convergence.Poshan Tracker Portal or App is governed by Ministry of Woman and Child Development, Government of India, hereinafter referred to as “MWCD”, “our”, “us”, “we” which shall include a reference to other departments and divisions of the program/campaign.References to Poshan Tracker Portal or App in this policy include Poshan Tracker or any other Apps or portals that are integrated with Poshan Tracker through APIs / related sites, apps, communications and services (“Services”) hereinafter collectively referred to as “Poshan Tracker or System.”Our Privacy Policy applies when you use our Services (described below).This Privacy Policy is meant to help you understand what information we collect, why we collect it, and how it is used and shared.The collecting and retaining agency in respect of your information is MWCD.We are committed to protecting the security of your personal information and safeguarding your privacy.Any information or data collected and processed on the System is done in accordance with the provisions of Information Technology Act, 2000 read with its Rules and other national and state laws relating to the collection and processing of personal data.This Privacy Policy is required to be read in conjunction with the Terms of Service available at https://poshantracker. in. Your access to and use of the System is conditional upon your acceptance of this Privacy Policy and the Terms of Service.By accessing and/or using the System, you represent that you have read, understood and are bound by the Terms of Service and this Privacy Policy, and that you consent to your information and data being collected, stored and used in the manner laid out in this Privacy Policy.You hereby acknowledge that the collection of your information as described in Clause 1 of this Privacy Policy is necessary to fulfil the purposes specified in Clause 2 and 3 of this Privacy Policy.","પોષણ અભિયાન એ બાળકો, કિશોરો, સગર્ભા સ્ત્રીઓ અને સ્તનપાન કરાવતી માતાઓ માટે ટેક્નોલૉજી, લક્ષિત અભિગમ અને કન્વર્જન્સનો ઉપયોગ કરીને પોષણના પરિણામોને સુધારવા માટેનો ભારતનો મુખ્ય કાર્યક્રમ છે.પોશન ટ્રેકર પોર્ટલ અથવા એપ ભારત સરકારના મહિલા અને બાળ વિકાસ મંત્રાલય દ્વારા સંચાલિત થાય છે, જેને પછીથી ""MWCD"", ""અમારા"", ""અમે"", ""અમે"" તરીકે ઓળખવામાં આવે છે જેમાં અન્ય વિભાગો અને વિભાગોનો સંદર્ભ શામેલ હશે કાર્યક્રમ/ ઝુંબેશ.આ પોલિસીમાં પોશન ટ્રેકર પોર્ટલ અથવા એપના સંદર્ભોમાં પોશન ટ્રેકર અથવા અન્ય કોઈપણ એપ્સ અથવા પોર્ટલનો સમાવેશ થાય છે કે જે APIs/સંબંધિત સાઇટ્સ, એપ્સ, કોમ્યુનિકેશન્સ અને સેવાઓ (""સેવાઓ"") દ્વારા પોશાન ટ્રેકર સાથે સંકલિત કરવામાં આવે છે, જે પછીથી સામૂહિક રીતે ""પોશન ટ્રેકર અથવા સિસ્ટમ"" તરીકે ઓળખવામાં આવે છે.""જ્યારે તમે અમારી સેવાઓનો ઉપયોગ કરો છો ત્યારે અમારી પ્રાઇવસી પોલિસી લાગુ થાય છે (નીચે વર્ણવેલ).આ પ્રાઇવસી પોલિસી અમે કઈ માહિતી એકત્રિત કરીએ છીએ, અમે તેને શા માટે એકત્રિત કરીએ છીએ અને તેનો ઉપયોગ અને શેર કેવી રીતે કરવામાં આવે છે તે સમજવામાં તમને મદદ કરવા માટે છે.તમારી માહિતીના સંદર્ભમાં એકત્ર કરતી અને જાળવી રાખતી એજન્સી MWCD છે.અમે તમારી અંગત માહિતીની સુરક્ષા અને તમારી પ્રાઇવસીની સુરક્ષા માટે પ્રતિબદ્ધ છીએ.સિસ્ટમ પર કોઈપણ માહિતી અથવા ડેટા એકત્રિત અને પ્રક્રિયા કરવામાં આવે છે તે માહિતી ટેકનોલોજી અધિનિયમ, 2000 ની જોગવાઈઓ અનુસાર તેના નિયમો અને વ્યક્તિગત ડેટાના સંગ્રહ અને પ્રક્રિયાને લગતા અન્ય રાષ્ટ્રીય અને રાજ્ય કાયદાઓ અનુસાર કરવામાં આવે છે.આ પ્રાઇવસી પોલિસી https://poshantracker.in પર ઉપલબ્ધ સેવાની શરતો સાથે વાંચવી જરૂરી છે.સિસ્ટમની તમારી ઍક્સેસ અને ઉપયોગ આ પ્રાઇવસી પોલિસી અને સેવાની શરતોની તમારી સ્વીકૃતિ પર શરતી છે.સિસ્ટમને ઍક્સેસ કરીને અને/અથવા તેનો ઉપયોગ કરીને, તમે પ્રતિનિધિત્વ કરો છો કે તમે સેવાની શરતો અને આ પ્રાઇવસી પોલિસી વાંચી, સમજ્યા અને તેના દ્વારા બંધાયેલા છો, અને તમે તમારી માહિતી અને ડેટાને એકત્રિત, સંગ્રહિત અને નિર્ધારિત રીતે ઉપયોગમાં લેવા માટે સંમતિ આપો છો.આ પ્રાઇવસી પોલિસીમાં.તમે આથી સ્વીકારો છો કે આ પ્રાઇવસી પોલિસી ના ક્લોઝ 1 માં વર્ણવ્યા મુજબ તમારી માહિતીનો સંગ્રહ આ પ્રાઇવસી પોલિસી ના ક્લોઝ 2 અને 3 માં ઉલ્લેખિત હેતુઓને પૂર્ણ કરવા માટે જરૂરી છે."
Swastha Balak/Balika Spardha Mission is about celebrating the health of children in India.,Swastha Balak/Balika Spardha Mission is about celebrating the health of children in India.
It entails identification and awareness of health conditions and providing necessary support wherever required.,It entails identification and awareness of health conditions and providing necessary support wherever required.
"Swastha Balak/Balika Spardha Portal or App is governed by Ministry of Woman and Child development, Government of India, hereinafter referred to as “our”, “us”, “we” which shall include a reference to other departments and divisions of the program/campaign.","Swastha Balak/Balika Spardha Portal or App is governed by Ministry of Woman and Child development, Government of India, hereinafter referred to as ""our"", ""us"", ""we"" which shall include a reference to other departments and divisions of the program/campaign."
"References to Swastha Balak/Balika Spardha Portal or App in this policy include Poshan Tracker or any other Apps or portals that are integrated with Poshan Tracker through APIs / related sites, apps, communications and services (“Services”) hereinafter collectively referred to as “Poshan Tracker or System.","References to Swastha Balak/Balika Spardha Portal or App in this policy include Poshan Tracker or any other Apps or portals that are integrated with Poshan Tracker through APIs / related sites, apps, communications and services (""Services"") hereinafter collectively referred to as ""Poshan Tracker or System."
”Our Privacy Policy applies when you use our Services (described below).,"""Our Privacy Policy applies when you use our Services (described below)."
"This Privacy Policy is meant to help you understand what information we collect, why we collect it, and how it is used and shared.","This Privacy Policy is meant to help you understand what information we collect, why we collect it, and how it is used and shared."
The collecting and retaining agency in respect of your information is Ministry of Women and Child Development.,The collecting and retaining agency in respect of your information is Ministry of Women and Child Development.
We are committed to protecting the security of your personal information and safeguarding your privacy.,We are committed to protecting the security of your personal information and safeguarding your privacy.
"Any information or data collected and processed on the System is done in accordance with the provisions of Information Technology Act, 2000 read with its Rules and other national and state laws relating to the collection and processing of personal data.","Any information or data collected and processed on the System is done in accordance with the provisions of Information Technology Act, 2000 read with its Rules and other national and state laws relating to the collection and processing of personal data."
This Privacy Policy is required to be read in conjunction with the Terms of Service available at https://poshantracker. in. Your access to and use of the System is conditional upon your acceptance of this Privacy Policy and the Terms of Service.,This Privacy Policy is required to be read in conjunction with the Terms of Service available at https://poshantracker. in. Your access to and use of the System is conditional upon your acceptance of this Privacy Policy and the Terms of Service.
"By accessing and/or using the System, you represent that you have read, understood and are bound by the Terms of Service and this Privacy Policy, and that you consent to your information and data being collected, stored and used in the manner laid out in this Privacy Policy.","By accessing and/or using the System, you represent that you have read, understood and are bound by the Terms of Service and this Privacy Policy, and that you consent to your information and data being collected, stored and used in the manner laid out in this Privacy Policy."
You hereby acknowledge that the collection of your information as described in Clause 1 of this Privacy Policy is necessary to fulfil the purposes specified in Clause 2 and 3 of this Privacy Policy.,You hereby acknowledge that the collection of your information as described in Clause 1 of this Privacy Policy is necessary to fulfil the purposes specified in Clause 2 and 3 of this Privacy Policy.
How to revive your health if you are Underweight,જો તમારું વજન ઓછું હોય તો તમારા સ્વાસ્થ્યને કેવી રીતે પુનર્જીવિત કરવું
Can a beneficiary change his/her AWC?,શું લાભાર્થી તેનું AWC બદલી શકે છે?
Ensuring Exclusive Breastfeeding,માત્ર ને માત્ર સ્તનપાનની ખાત્રી કરવી
Koppal - Karnataka,કોપલ - કર્ણાટક
Udaipur N/P Icds,ઉદયપુર એન/એન આઈસીડીએસ
North Garo Hills,ઉત્તર ગેરો હિલ્સ
"We use the information we have, to help verify accounts.",અમે અમારી પાસેની માહિતીનો ઉપયોગ એકાઉન્ટ ચકાસવામાં મદદ કરવા માટે કરીએ છીએ.
The records may be used for verification of health status for the purposes of Poshan Tracker control and response.,પોશન ટ્રેકર નિયંત્રણ અને પ્રતિભાવના હેતુઓ માટે આરોગ્યની સ્થિતિની ચકાસણી માટે રેકોર્ડનો ઉપયોગ કરી શકાય છે.
Sant Kabir Nagar City,સંત કબિર નગર શહેર
Bhiwandi Nizampur Thane-[U],ભિવંડી નિઝામપુર થાણે-[યુ]
Diyungbra Icds Project.,દિયુંગબ્રા આઈસીડીએસ પ્રોજેક્ટ.
Scan the QR Code to Download the App,એપ્લિકેશનને ડાઉનલોડ કરવા માટે ક્યૂઆર કોડ સ્કેન કરો
Who is eligible for Hot Cooked Meal?,ગરમ રાંધેલા ભોજન માટે કોણ પાત્ર છે?
Kaliyaganj Additional ICDS Project,કાલિયાગંજ એડિશનલ આઈસીડીએસ પ્રોજેક્ટ
Burdwan - II,બર્દવાન-II
Chanchal - I,ચંચલ-I
Please Select Help Topic,કૃપા કરીને મદદ માટેનો વિષય પસંદ કરો
JOYNAGAR-II Addl ICDS PROJECT,જોયનગર-II એડીડીએલ આઈસીડીએસ પ્રોજેક્ટ
N R Pura,એનઆર પુરા
Kanpur Nagar City 2,કાનપુર નગર શહેર 2
Identifying and preventing Severe Acute Malnutrition,ગંભીર તીવ્ર કુપોષણની ઓળખ અને અટકાયત
Children who are identified as deficit on nutrition are eligible for additional food supplements.,જે બાળકો પોષણની ઉણપ તરીકે ઓળખાય છે તેઓ વધારાના આહાર પૂરવણીઓ માટે પાત્ર છે.
Siaha ICDS Project,સિયાહા આઈસીડીએસ પ્રોજેક્ટ
Raina - II,રેઈના-II
Who is eligible for additional supplementary food.,વધારાના પૂરક ખોરાક માટે કોણ પાત્ર છે.
Please Enter Name,કૃપા કરીને નામ દાખલ કરો
Anganwadi Worker profile page,આંગણવાડી કાર્યકર્તાનું પ્રોફાઈલ પેજ
Budaun - Uttar Pradesh,બુડાઉન - ઉત્તર પ્રદેશ
"Uploading of Data of Anganwadi Services Schemes in Poshan Tracker (24 May, 2021)","પોષણ ટ્રેકરમાં આંગણવાડી સેવા યોજનાઓનો માહિતી અદ્યતન કરવો (24 મે, 2021)"
Back to careers,કારકિર્દીમાં પરત ફરો
Chungthang Tribal Project,ચંગથંગ ટ્રાઈબલ પ્રોજેક્ટ
Children (3 - 6 years),બાળકો (3-6 વર્ષ)
What’s New on Poshan Tracker,પોષણ ટ્રેકર પર નવું શું છે
Jashpur 2 Lodam,જશપુર 2 લોડેમ
Children between 6 months - 3 years,6 મહિનાથી 3 વર્ષનાં બાળકોની
Jorethang Rural Project,જોરેથાંગ ગ્રામીણ પ્રોજેક્ટ
Prayagraj City 1,પ્રયાગરાજ શહેર 1
KOTBHAI AT GIDDERBAHA,કોતભાઈથી ગીદરબાહા
1.3. Information from third parties.,1.3. તૃતીય પક્ષો પાસેથી માહિતી.
Preventing anemia in women,સ્ત્રીઓમાં એનિમિયા અટકાયત
"Ministry of Women and Child Development, Government of India, Shastri Bhawan, New Delhi","મહિલા અને બાળ વિકાસ મંત્રાલય, ભારત સરકાર, શાસ્ત્રી ભવન, નવી દિલ્હી"
Care of the weak newborn baby - How many weak babies are we missing?,નબળા નવજાત બાળકની સંભાળ - આપણાથી કેટલા નબળા બાળકો છુટી જાય છે?
7. CHANGES TO PRIVACY POLICY,7. પ્રાઇવસી પોલિસી માં ફેરફારો
Underweight children who received Supplementary Nutrition,પૂરક પોષણ મેળવનાર ઓછા વજનવાળા બાળકો
Beneficiary deletion by AWW,AWW દ્વારા લાભાર્થી મિટાવવા
