eng,ta
"All personal information collected under Clauses 1 will be retained on the application Server, to the extent that such information relates to people who have been registered for the event.","உட்பிரிவு 1ன் கீழ் சேகரிக்கப்பட்ட அனைத்து தனிப்பட்ட தகவல்களும், நிகழ்வுக்காகப் பதிவுசெய்யப்பட்ட நபர்களுடன் தொடர்புடைய தகவல்களின் அளவிற்கு, பயன்பாட்டு சேவையகத்தில் சேமிக்கப்படும்."
"Nothing set out herein shall apply to the anonymized, aggregated datasets generated by the personal data of registered users of Poshan Tracker or any reports, heat maps or other visualization created using such datasets.","போஷன் டிராக்கர் இன் பதிவுசெய்யப்பட்ட பயனர்களின் தனிப்பட்ட தரவு அல்லது அத்தகைய தரவுத்தொகுப்புகளைப் பயன்படுத்தி உருவாக்கப்பட்ட அறிக்கைகள், வெப்ப வரைபடங்கள் அல்லது பிற காட்சிப்படுத்தல் மூலம் உருவாக்கப்பட்ட அநாமதேய, ஒருங்கிணைந்த தரவுத்தொகுப்புகளுக்கு இங்கு குறிப்பிடப்பட்டுள்ள எதுவும் பொருந்தாது."
Number Of Positions,பணியிடங்களின் எண்ணிக்கை
Please enter Height greater than 29.99 and less than 140.01,29.99 க்கும் அதிகமான உயரம் மற்றும் 140.01 க்கும் குறைவான உயரத்தை உள்ளிடவும்
"While login to the Poshan Tracker App, AWWs are required to enter the MPIN set by them.","போஷன் ட்ராக்ஜெர் பயன்பாட்டில் உள்நுழையும்போது, அங்கன்வாடி ஊழியர்கள் அவர்கள் அமைத்த எம்பின் ஐ உள்ளிட வேண்டும்."
This MPIN will act as a passcode to run the Poshan Tracker App and entering the information in the beneficiaries forms.,இந்த எம்பிநான்என் போஷன் டிராக்கர் பயன்பாட்டை இயக்குவதற்கான கடவுக்குறியீடாக செயல்படும் மற்றும் பயனாளிகளின் படிவங்களில் தகவல்களை உள்ளிடும்.
Matigara ICDS Project( Main ),மதிகரா ஐ. சி. டி. எஸ். புராஜக்ட் (மெயின்)
How to ensure timely initiation of complementary feeding,துணை உணவுகளை சரியான நேரத்தில் தொடங்குவதை எவ்வாறு உறுதிப்படுத்துவது
20 December 2021,20 டிசம்பர் 2021
Poshan Tracker App can only be installed in Android Phone with Android version 6.0 and above.,போஷான் டிராக்கர் பயன்பாட்டை ஆண்ட்ராய்டு பதிப்பு 6.0 மற்றும் அதற்கு மேற்பட்ட ஆண்ட்ராய்டு தொலைபேசியில் மட்டுமே நிறுவ முடியும்.
Please Enter Mobile Number,மொபைல் எண்ணை உள்ளிடவும்
Request for Hot Cooked Meal,சமைக்கப்பட்ட சூடான உணவுக்கான கோரிக்கை
Hasnabad ICDS Project,ஹாஸ்னாபாத் ஐ. சி. டி. எஸ். புராஜக்ட்
RAIPUR URBAN 1,ரெய்ப்பூர் அர்பன் 1
General Awareness about Growth Monitoring of Children,குழந்தைகளின் வளர்ச்சி கண்காணிப்பு பற்றிய பொது விழிப்புணர்வு
Bhind - R,பிந்த்-ஆர்
Bastar - Chhattisgarh,பஸ்தர் - சத்தீஸ்கர்
Please select Help Topic,தயவு செய்து உதவித் தலைப்பைத் தேர்ந்தெடுக்கவும்
SINGUR - Addl,சிங்கூர் - அடிஷனல்
Wasting is defined as low weight-for-height,ஊட்டச்சத்து குறைபாடு என்பது குறைந்த எடை-உயரம் என வரையறுக்கப்படுகிறது
Hot Cooked Meal (HCM) Given Today,இன்று கொடுக்கப்பட்ட சூடான சமைத்த உணவு (HCM)
There are 6 categories for beneficiariesPregnant WomenLactating MotherChildren from 0 to 6 monthsChildren from 6 months to 3 yearsChildren from 3 years to 6 yearsAdolescent girls,பயனாளிகளுக்கு 6 பிரிவுகள் உள்ளனகர்ப்பிணி பெண்கள்பாலூட்டும் தாய்மார்கள்0 முதல் 6 மாதங்கள் வரை உள்ள குழந்தைகள்6 மாதங்கள் முதல் 3 ஆண்டுகள் வரை உள்ள குழந்தைகள்3 வயது முதல் 6 வயது வரையிலான குழந்தைகள்வாலிபப் பெண்கள்
"Data Plan for Mobile Application (01 March, 2021)","மொபைல் பயன்பாட்டிற்கான தரவு திட்டம் (01 மார்ச், 2021)"
Old  Amravati Urban,பழைய அமராவதி அர்பன்
The WHO Multicentre Growth Reference Study (MGRS) was undertakenbetween 1997 and 2003 to generate new growth curves for assessing the growth and development of infants and young children around the world,உலகெங்கிலும் உள்ள கைக்குழந்தைகள் மற்றும் சிறு குழந்தைகளின் வளர்ச்சி மற்றும் வளர்ச்சியை மதிப்பிடுவதற்கான புதிய வளர்ச்சி வளைவுகளை உருவாக்க 1997 மற்றும் 2003 க்கு இடையில் WHO மல்டிசென்டர் க்ரோத் ரெஃபரன்ஸ் ஸ்டடி (MGRS) மேற்கொள்ளப்பட்டது
Garbeta - I,கர்பேடா - I
How to set MPIN?,எம்பின் அமைப்பது எப்படி?
Rewa - Urban,ரேவா - ரூரல்
 VIII. LIMITATIONS OF MULTI- LINGUAL INTERFACE, VIII. பல மொழி இடைமுகத்தின் வரம்புகள்
Diamond Harbour-I ICDS Project,டயமண்ட் ஹார்பர் - I
Srijangram I. C. D. S. Project,ஸ்ரீஜான்கிராம் ஐ. சி. டி. எஸ். புராஜக்ட்
"We may investigate any violation of these Terms, including unauthorized use of the Site.","தளத்தின் அங்கீகரிக்கப்படாத பயன்பாடு உட்பட, இந்த விதிமுறைகளை மீறினால் நாங்கள் விசாரிக்கலாம்."
We may provide law enforcement with information you provide to us related to your transactions to assist in any investigation or prosecution of you.,உங்கள் பரிவர்த்தனைகள் தொடர்பாக நீங்கள் எங்களுக்கு வழங்கிய தகவலை சட்ட அமலாக்கத்திற்கு நாங்கள் வழங்கலாம்.
We may take legal action that we feel is appropriate.,பொருத்தமற்றதாக நாங்கள் கருதும் தகவலின் மீது சட்ட நடவடிக்கை எடுக்கலாம்.
"If we determine that you have violated these Terms or the law, or for any other reason or for no reason, we may block your account and will prevent you from accessing the Site at any time without notice to you.","வேறு எந்த காரணத்திற்காகவும் அல்லது காரணமின்றி நீங்கள் இந்த விதிமுறைகள் அல்லது சட்டத்தை மீறியுள்ளீர்கள் என்று நாங்கள் தீர்மானித்தால், நாங்கள் உங்கள் கணக்கைத் தடுக்கலாம் மற்றும் எந்த நேரத்திலும் உங்களுக்கு அறிவிப்பு இல்லாமல் தளத்தை அணுகுவதைத் தடுப்போம்."
There are limited fields for data entry.Name is required to be entered in English language and for other fields numeric values are required.Most of the features are provided in check boxes or with drop down selection menu.Reports to be updated.,அடபிள்யூடபிள்யூ படிவத்தை நிரப்புவதை ஆங்கில மொழியில் மட்டுமே செய்ய முடியும்.
P P Kamaicha,பி பி கமைசா
Children between 3-6 Years,3-6 வயதுக்குட்பட்ட குழந்தைகள்
Poshan Calculator helps to identify various health conditions of the child as per World Health Organization (WHO) standards,உலக சுகாதார அமைப்பின் (WHO) தரநிலைகளின்படி குழந்தையின் பல்வேறு சுகாதார நிலைமைகளை கண்டறிய போஷன் கால்குலேட்டர் உதவுகிறது
General Awareness on Mother Care,தாய் பராமரிப்பு பற்றிய பொது விழிப்புணர்வு
Mal Adl 2,மால் அடிஷனல் 2
New Poshan Tracker App,புதிய போஷன் டிராக்கர் ஆப்
How to take care of weak newborn with the help of Kangaroo Mother Care,கங்காரு மதர் கேரின் உதவியுடன் பலவீனமான புதிதாகப் பிறந்த குழந்தையை எவ்வாறு பராமரிப்பது
Siliguri II (U),சிலிகுரி II (யு)
Old Urban Project 1,பழைய நகர்ப்புற திட்டம் 1
District Performance across 6 KPIs,6 KPIகள் முழுவதும் மாவட்ட செயல்திறன்
Kaliyaganj ICDS Project,காலியாகஞ்ஜ் ஐ. சி. டி. எஸ். புராஜக்ட்
Turbhe-Panvel Navi Mumbai,டர்பே-பன்வெல் நவி மும்பை
East Zone Rmc,கிழக்கு மண்டலம் ஆர்எம்சி
Bagh Kare Khan,பாக் கரே கான்
"Shenoy Nagar,Project 1","ஷெனாய் நகர், புராஜக்ட் 1"
"The ASPs collecting data from Poshan Tracker and displaying to users shall be solely responsible for the correctness of such data and any liability arising out of any data so provided, shall completely rest with such third party.",போஷன் டிராக்கர் இலிருந்து தரவைச் சேகரித்து பயனர்களுக்குக் காண்பிக்கும் ASPகள் அத்தகைய தரவின் சரியான தன்மைக்கு அவர்கள் மட்டுமே பொறுப்பாவார்கள் மற்றும் அவ்வாறு வழங்கப்பட்ட எந்தவொரு தரவிலிருந்து எழும் எந்தவொரு பொறுப்பும் மூன்றாம் தரப்பினர் உடையதாக இருக்கும்.
"Any liabilities civil or criminal, arising out of any incorrect data, shall solely lie with the concerned ASP.","தவறான தரவுகளிலிருந்து எழும், எந்தவொரு சிவில் அல்லது கிரிமினல் பொறுப்புகள், ஏதேனும் சம்பந்தப்பட்ட ஏஎஸ்பியிடம் மட்டுமே இருக்கும்."
ICDS Khadur Sahib, ஐ. சி. டி. எஸ். காதூர் சாஹிப்
Poshan Tracker App is available over Google playstore https://play. google. com/store/apps/details?,கூகிள் பிளேஸ்டோர் மூலம் போஷன் டிராக்கர் பயன்பாடு https://play. google. com/store/apps/details?
 id=com. poshantracker, id=com. poshantracker.
Can App be accessed without internet?,இணையம் இல்லாமல் அபிபி ஐ அணுக முடியுமா?
The Government has taken several initiatives to break the intergenerational cycle of malnutrition in children.,குழந்தைகளில் ஊட்டச்சத்து குறைபாட்டின் இடைநிலை சுழற்சியை உடைக்க அரசாங்கம் பல முயற்சிகளை எடுத்துள்ளது.
"Adopting a life-cycle approach, interventions have been designed to meet the nutritional requirement of adolescent girls and boys, pregnant women, lactating mothers and children.","வாழ்க்கைச் சுழற்சி அணுகுமுறையை ஏற்றுக்கொள்வது, இளம் பருவ பெண்கள் மற்றும் சிறுவர்கள், கர்ப்பிணிப் பெண்கள், பாலூட்டும் தாய்மார்கள் மற்றும் குழந்தைகளின் ஊட்டச்சத்து தேவைகளைப் பூர்த்தி செய்ய தலையீடுகள் வடிவமைக்கப்பட்டுள்ளன."
Dhupguri Adl 2,துப்குரி அடிஷனல் 2
Nalhati - II,நல்ஹதி - II
Awareness for Pregnancy in Preventing Anemia,கர்ப்ப காலத்தில் இரத்த சோகை வராமல் தடுப்பது குறித்த விழிப்புணர்வு
Last 30 days,கடந்த 30 நாட்கள்
"Howrah North (U) I. C. D. S. Project, Howrah","ஹௌரா வடக்கு (யு) ஐ. சி. டி. எஸ். புராஜக்ட், ஹௌரா"
Ranaghat 1 Addl,ரணகட் 1 அடிஷனல்
Query Related to,குவெரி ரிலேடெட் டு
Dhar - U,தர்- யு
South Garo Hills,தெற்கு கரோ ஹில்ஸ்
3. SHARING OF INFORMATION,3. தகவல் பகிர்வு
Birth Preparedness- For Institutional and Home Delivery,பிறப்புத் தயார்நிலை- நிறுவன மற்றும் வீட்டுப் பிரசவத்திற்கு
New beneficiary addition with skip OTP option,ஓ டி பியைத் தவிர்க்கும் விருப்பத் தேர்வுடனான புதிய பயனாளர் சேர்ப்பு
We are now available on Video Conference,வீடியோ கான்பரன்ஸ் மூலம் தற்போது நாம்
Data Plan for Mobile Application,மொபைல் பயன்பாட்டிற்கான மொபைல் டேட்டா திட்டங்கள்
North West Delhi,வட மேற்கு டெல்லி
English Bazar &amp,இங்கிலிஷ் பஜார் &amp
2.6. Surveys and Feedbacks.,2.6. ஆய்வுகள் மற்றும் கருத்துகள்.
"Poshan Tracker App is meant for Aanganwadi workers, Anganwadi centers to enter beneficiaries data in the forms.","போஷன் டிராக்கர் ஆப் என்பது ஆங்கன்வாடி தொழிலாளர்கள், அங்கன்வாடி மையங்கள் பயனாளிகளின் தரவை படிவங்களில் உள்ளிடுவதற்கானது."
It is not at all developed for general public.,இது பொது மக்களுக்காக உருவாக்கப்படவில்லை.
Get In Touch,தொடர்பில் இருங்கள்
ICDS NAUSHERA PANNUAN, ஐ. சி. டி. எஸ். நௌஷீரா பன்னுவான்
"Poshan Abhiyaan is India’s flagship programme to improve nutritional outcomes for children, adolescents, pregnant women and lactating mothers by leveraging technology, a targeted approach and convergence.Poshan Tracker Portal or App is governed by Ministry of Woman and Child Development, Government of India, hereinafter referred to as “MWCD”, “our”, “us”, “we” which shall include a reference to other departments and divisions of the program/campaign.References to Poshan Tracker Portal or App in this policy include Poshan Tracker or any other Apps or portals that are integrated with Poshan Tracker through APIs / related sites, apps, communications and services (“Services”) hereinafter collectively referred to as “Poshan Tracker or System.”Our Privacy Policy applies when you use our Services (described below).This Privacy Policy is meant to help you understand what information we collect, why we collect it, and how it is used and shared.The collecting and retaining agency in respect of your information is MWCD.We are committed to protecting the security of your personal information and safeguarding your privacy.Any information or data collected and processed on the System is done in accordance with the provisions of Information Technology Act, 2000 read with its Rules and other national and state laws relating to the collection and processing of personal data.This Privacy Policy is required to be read in conjunction with the Terms of Service available at https://poshantracker. in. Your access to and use of the System is conditional upon your acceptance of this Privacy Policy and the Terms of Service.By accessing and/or using the System, you represent that you have read, understood and are bound by the Terms of Service and this Privacy Policy, and that you consent to your information and data being collected, stored and used in the manner laid out in this Privacy Policy.You hereby acknowledge that the collection of your information as described in Clause 1 of this Privacy Policy is necessary to fulfil the purposes specified in Clause 2 and 3 of this Privacy Policy.","போஷன் அபியான் என்பது தொழில்நுட்பம், இலக்கு அணுகுமுறை மற்றும் ஒருங்கிணைப்பு ஆகியவற்றின் மூலம் குழந்தைகள், இளம் பருவத்தினர், கர்ப்பிணிப் பெண்கள் மற்றும் பாலூட்டும் தாய்மார்களுக்கான ஊட்டச்சத்து விளைவுகளை மேம்படுத்துவதற்கான இந்தியாவின் முதன்மைத் திட்டமாகும்.போஷன் டிராக்கர் போர்டல் அல்லது ஆப் ஆனது இந்திய அரசின் பெண்கள் மற்றும் குழந்தைகள் மேம்பாட்டு அமைச்சகத்தால் நிர்வகிக்கப்படுகிறது, இனிமேல் ""MWCD"", ""எங்கள்"", ""நாங்கள்"", ""நாங்கள்"" என குறிப்பிடப்படும், இதில் மற்ற துறைகள் மற்றும் நிகழ்ச்சி/பிரசாரம் பிரிவுகள் பற்றிய குறிப்பு இருக்கும்.இந்தக் கொள்கையில் உள்ள போஷன் டிராக்கர் போர்டல் அல்லது ஆப் பற்றிய குறிப்புகளில் போஷன் டிராக்கர் அல்லது போஷன் டிராக்கர் உடன் ஒருங்கிணைக்கப்பட்ட APIகள் / தொடர்புடைய தளங்கள், பயன்பாடுகள், தகவல் தொடர்புகள் மற்றும் சேவைகள் (""சேவைகள்"") மூலம் இனிமேல் கூட்டாக ""போஷன் டிராக்கர் அல்லது அமைப்பு"" என குறிப்பிடப்படும்.நீங்கள் எங்கள் சேவைகளைப் பயன்படுத்தும் போது எங்கள் தனியுரிமைக் கொள்கை பொருந்தும் (கீழே விவரிக்கப்பட்டுள்ளது).இந்தத் தனியுரிமைக் கொள்கையானது, நாங்கள் எந்தத் தகவலைச் சேகரிக்கிறோம், எதற்காகச் சேகரிக்கிறோம், அது எவ்வாறு பயன்படுத்தப்படுகிறது மற்றும் பகிரப்படுகிறது என்பதைப் புரிந்துகொள்ள உதவும்.உங்கள் தகவலைச் சேகரிக்கும் மற்றும் தக்கவைத்துக்கொள்ளும் நிறுவனம் MWCD ஆகும்.உங்கள் தனிப்பட்ட தகவலின் பாதுகாப்பைப் பாதுகாப்பதற்கும் உங்கள் தனியுரிமையைப் பாதுகாப்பதற்கும் நாங்கள் கடமைப்பட்டுள்ளோம்.கணினியில் சேகரிக்கப்பட்டு செயலாக்கப்படும் எந்தத் தகவலும், தகவல் தொழில்நுட்பச் சட்டம், 2000 இன் விதிகள் மற்றும் தனிப்பட்ட தரவைச் சேகரிப்பது மற்றும் செயலாக்குவது தொடர்பான பிற தேசிய மற்றும் மாநிலச் சட்டங்களுடன் படிக்கப்பட்ட விதிகளின்படி செய்யப்படுகிறது.இந்த தனியுரிமைக் கொள்கையானது https://poshantracker.in இல் கிடைக்கும் சேவை விதிமுறைகளுடன் இணைந்து படிக்கப்பட வேண்டும்.இந்த தனியுரிமைக் கொள்கை மற்றும் சேவை விதிமுறைகளை நீங்கள் ஏற்றுக்கொள்வதன் மூலம் உங்கள் கணினிக்கான அணுகல் மற்றும் பயன்பாடு நிபந்தனைக்குட்பட்டது.சிஸ்டத்தை அணுகுதல் மற்றும்/அல்லது பயன்படுத்துவதன் மூலம், சேவை விதிமுறைகள் மற்றும் இந்த தனியுரிமைக் கொள்கையை நீங்கள் படித்து, புரிந்து கொண்டு, அதற்குக் கட்டுப்பட்டிருப்பதைக் குறிப்பிடுகிறீர்கள், மேலும் இந்த தனியுரிமைக் கொள்கையில் உங்கள் தகவல் மற்றும் தரவு சேகரிக்கப்பட்டு, சேமித்து வைக்கப்பட்டுள்ள முறையில் பயன்படுத்தப்படுவதை ஒப்புக்கொள்கிறீர்கள்.இந்த தனியுரிமைக் கொள்கையின் பிரிவு 1ல் விவரிக்கப்பட்டுள்ளபடி உங்கள் தகவலைச் சேகரிப்பது இந்தத் தனியுரிமைக் கொள்கையின் 2 மற்றும் 3வது பிரிவில் குறிப்பிடப்பட்டுள்ள நோக்கங்களை நிறைவேற்றுவது அவசியம் என்பதை நீங்கள் ஒப்புக்கொள்கிறீர்கள்."
Swastha Balak/Balika Spardha Mission is about celebrating the health of children in India.,Swastha Balak/Balika Spardha Mission is about celebrating the health of children in India.
It entails identification and awareness of health conditions and providing necessary support wherever required.,It entails identification and awareness of health conditions and providing necessary support wherever required.
"Swastha Balak/Balika Spardha Portal or App is governed by Ministry of Woman and Child development, Government of India, hereinafter referred to as “our”, “us”, “we” which shall include a reference to other departments and divisions of the program/campaign.","Swastha Balak/Balika Spardha Portal or App is governed by Ministry of Woman and Child development, Government of India, hereinafter referred to as ""our"", ""us"", ""we"" which shall include a reference to other departments and divisions of the program/campaign."
"References to Swastha Balak/Balika Spardha Portal or App in this policy include Poshan Tracker or any other Apps or portals that are integrated with Poshan Tracker through APIs / related sites, apps, communications and services (“Services”) hereinafter collectively referred to as “Poshan Tracker or System.","References to Swastha Balak/Balika Spardha Portal or App in this policy include Poshan Tracker or any other Apps or portals that are integrated with Poshan Tracker through APIs / related sites, apps, communications and services (""Services"") hereinafter collectively referred to as ""Poshan Tracker or System."
”Our Privacy Policy applies when you use our Services (described below).,"""Our Privacy Policy applies when you use our Services (described below)."
"This Privacy Policy is meant to help you understand what information we collect, why we collect it, and how it is used and shared.","This Privacy Policy is meant to help you understand what information we collect, why we collect it, and how it is used and shared."
The collecting and retaining agency in respect of your information is Ministry of Women and Child Development.,The collecting and retaining agency in respect of your information is Ministry of Women and Child Development.
We are committed to protecting the security of your personal information and safeguarding your privacy.,We are committed to protecting the security of your personal information and safeguarding your privacy.
"Any information or data collected and processed on the System is done in accordance with the provisions of Information Technology Act, 2000 read with its Rules and other national and state laws relating to the collection and processing of personal data.","Any information or data collected and processed on the System is done in accordance with the provisions of Information Technology Act, 2000 read with its Rules and other national and state laws relating to the collection and processing of personal data."
This Privacy Policy is required to be read in conjunction with the Terms of Service available at https://poshantracker. in. Your access to and use of the System is conditional upon your acceptance of this Privacy Policy and the Terms of Service.,This Privacy Policy is required to be read in conjunction with the Terms of Service available at https://poshantracker. in. Your access to and use of the System is conditional upon your acceptance of this Privacy Policy and the Terms of Service.
"By accessing and/or using the System, you represent that you have read, understood and are bound by the Terms of Service and this Privacy Policy, and that you consent to your information and data being collected, stored and used in the manner laid out in this Privacy Policy.","By accessing and/or using the System, you represent that you have read, understood and are bound by the Terms of Service and this Privacy Policy, and that you consent to your information and data being collected, stored and used in the manner laid out in this Privacy Policy."
You hereby acknowledge that the collection of your information as described in Clause 1 of this Privacy Policy is necessary to fulfil the purposes specified in Clause 2 and 3 of this Privacy Policy.,You hereby acknowledge that the collection of your information as described in Clause 1 of this Privacy Policy is necessary to fulfil the purposes specified in Clause 2 and 3 of this Privacy Policy.
How to revive your health if you are Underweight,நீங்கள் எடை குறைவாக இருந்தால் உங்கள் ஆரோக்கியத்தை எவ்வாறு மீட்டெடுப்பது
Can a beneficiary change his/her AWC?,ஒரு பயனாளி தனது AWCயை மாற்ற முடியுமா?
Ensuring Exclusive Breastfeeding,பிரத்தியேகமாக தாய்ப்பால் கொடுப்பதை உறுதி செய்தல்
Koppal - Karnataka,கொப்பல் - கர்நாடகா
Udaipur N/P Icds,உதய்பூர் என்/பி ஐ. சி. டி. எஸ்.
North Garo Hills,வடக்கு கரோ ஹில்ஸ்
"We use the information we have, to help verify accounts.",கணக்குகளைச் சரிபார்க்க எங்களிடம் உள்ள தகவலைப் பயன்படுத்துகிறோம்.
The records may be used for verification of health status for the purposes of Poshan Tracker control and response.,"போஷன் டிராக்கர் கட்டுப்பாடு, பதிலளிப்பு நோக்கங்களுக்காக மற்றும் சுகாதார நிலையை சரிபார்ப்பதற்காக பதிவுகள் பயன்படுத்தப்படலாம்."
Sant Kabir Nagar City,சந்த் கபீர் நகர் நகரம்
Bhiwandi Nizampur Thane-[U],பிவாண்டி நிஸாம்பூர் தானே-[யு]
Diyungbra Icds Project.,தியுங்ப்ரா ஐ. சி. டி. எஸ். புராஜக்ட்.
Scan the QR Code to Download the App,பயன்பாட்டை ப்பதிவிறக்க க்யூஆர் குறியீட்டை ஸ்கேன் செய்யவும்
Who is eligible for Hot Cooked Meal?,சூடான சமைத்த உணவுக்கு யார் தகுதியானவர்?
Kaliyaganj Additional ICDS Project,காலியாகஞ்ஜ் அடிஷனல் ஐ. சி. டி. எஸ். புராஜக்ட்
Burdwan - II,பர்த்வான் - II
Chanchal - I,சஞ்சால் - I
Please Select Help Topic,ஹெல்ப் டாபிக் ஐத் தேர்ந்தெடுக்கவும்
JOYNAGAR-II Addl ICDS PROJECT,ஜாய்நகர்-II அடிஷனல் ஐ. சி. டி. எஸ். புராஜக்ட்
N R Pura,என் ஆர் புரா
Kanpur Nagar City 2,கான்பூர் நகர் நகரம் 2
Identifying and preventing Severe Acute Malnutrition,கடுமையான ஊட்டச்சத்துக் குறைபாட்டைக் கண்டறிந்து தடுப்பது
Children who are identified as deficit on nutrition are eligible for additional food supplements.,ஊட்டச்சத்து குறைபாடு உள்ள குழந்தைகள் கூடுதல் உணவுப் பொருட்களுக்கு தகுதியுடையவர்கள்.
Siaha ICDS Project,சியாஹா ஐ. சி. டி. எஸ். புராஜக்ட்
Raina - II,ரெய்னா - II
Who is eligible for additional supplementary food.,கூடுதல் துணை உணவுக்கு யார் தகுதியானவர்.
Please Enter Name,தயவுசெய்து பெயரை உள்ளிடவும்
Anganwadi Worker profile page,அங்கண்வாடி ஊழியர் சுயவிவரப் பக்கம்
Budaun - Uttar Pradesh,பதௌன் - உத்தரபிரதேசம்
"Uploading of Data of Anganwadi Services Schemes in Poshan Tracker (24 May, 2021)","போஷன் டிராக்கரில் அங்கன்வாடி சேவைத் திட்டங்களின் தரவைப் பதிவேற்றம் செய்தல் (24 மே, 2021)"
Back to careers,மீண்டும் கரியர்ஸுக்கு
Chungthang Tribal Project,சுங்தாங் பழங்குடியினர் திட்டம்
Children (3 - 6 years),குழந்தைகள் (3 - 6 ஆண்டுகள்)
What’s New on Poshan Tracker,போஷன் டிராக்கரில் புதிதாக என்ன இருக்கிறது
Jashpur 2 Lodam,ஜஷ்பூர் 2 லோடம்
Children between 6 months - 3 years,6 மாதங்கள் -3 வயதுக்கு இடைப்பட்ட குழந்தைகள்
Jorethang Rural Project,ஜோரேதாங் கிராமப்புற திட்டம்
Prayagraj City 1,பிரயாக்ராஜ் நகரம் 2
KOTBHAI AT GIDDERBAHA,கோட்பாய் அட் கிட்டர்பாஹா
1.3. Information from third parties.,1.3. மூன்றாம் தரப்பினரிடமிருந்து தகவல்.
Preventing anemia in women,பெண்களுக்கு ஏற்படும் இரத்த சோகையை தடுக்கும்
"Ministry of Women and Child Development, Government of India, Shastri Bhawan, New Delhi","பெண்கள் மற்றும் குழந்தைகள் மேம்பாட்டு அமைச்சகம், இந்திய அரசு, சாஸ்திரி பவன், புது தில்லி"
Care of the weak newborn baby - How many weak babies are we missing?,பலவீனமான புதிதாகப் பிறந்த குழந்தையின் பராமரிப்பு - எத்தனை பலவீனமான குழந்தைகளை நாம் காணவில்லை?
7. CHANGES TO PRIVACY POLICY,7. தனியுரிமைக் கொள்கையில் மாற்றங்கள்
Underweight children who received Supplementary Nutrition,கூடுதல் ஊட்டச்சத்து பெற்ற எடை குறைந்த குழந்தைகள்
