eng,sd
"All personal information collected under Clauses 1 will be retained on the application Server, to the extent that such information relates to people who have been registered for the event.","खंड 1 जे मातहत जमा करैल सजी निजी जानकारी खे एप्लिकेशन सर्वर ते हिन् हद ताईं रखंदासे कि ऐडी जानकारी हुन माणुन सा मैल खाये, जेखें इवेंट जे लाये रजिस्टर कयो वयो आहे।"
"Nothing set out herein shall apply to the anonymized, aggregated datasets generated by the personal data of registered users of Poshan Tracker or any reports, heat maps or other visualization created using such datasets.","पोशन ट्रैकर में पंजीकृत वपरिन्दणन जी व्यक्तिगत डेटा या कोई भी रिपोर्ट, हीट मैप्स या एडी डेटासेट जो इस्तेमाल करे ठैल बी विजुअलाइजेशन द्वारा उत्पन्न अज्ञात, समेकित डेटासेट ते इथे मुकरैल कुछ भी लागू न थींदो।"
Number Of Positions,जायूंनि  जी गणप
Please enter Height greater than 29.99 and less than 140.01,किरपा लम्बाई भरयो जेकि वधिक हुजे 37.99 खा आऊं घट हुजे 150.01
"While login to the Poshan Tracker App, AWWs are required to enter the MPIN set by them.","पोषण ट्रेकर एप ते लॉगिन करण वक्त, आंगनवाडी में कम कंदडनु खे उन्ह्नु पारां सेट कयलु एमपिन दाखिल करणो पवंदो।"
This MPIN will act as a passcode to run the Poshan Tracker App and entering the information in the beneficiaries forms.,पोषण ट्रेकर एप खे हलाइण एं फायदों वठंदड जे फॉर्म में जा॒ण दाखिल करण जे लाये एमपिन हिक पासकोड तरीके कम कंदो.
Matigara ICDS Project( Main ),मातीग्रा आई. सी. डी. ऐस. प्रोजेक्ट (मुल)
How to ensure timely initiation of complementary feeding,इजाफे वारे खादे खे सही टाइम ते शुरुआत करण कीयं पक्को कयूं
20 December 2021,20 डिसंबर 2021
Poshan Tracker App can only be installed in Android Phone with Android version 6.0 and above.,पोषण ट्रेकर एप खे ऐंड्रोइड 6.0 या उन खां वधिक जे कोल वारे ऐंड्रोइड फोन में इंसटाल करे सघ॒बो आहे.
Please Enter Mobile Number,किरपा मोबाईल नम्बर भरयो
Request for Hot Cooked Meal,कोसी रधियलु माने जी आछ
Hasnabad ICDS Project,हासनाबाद आई. सी. डी. ऐस. प्रोजेक्ट
RAIPUR URBAN 1,रायपुर शहरी 1
General Awareness about Growth Monitoring of Children,वहींवारी जागरूकता बारण जे वाध निगरानी जी
Bhind - R,भींद - आर
Bastar - Chhattisgarh,बस्तर - छत्तीसगढ
Please select Help Topic,महर्बानी करे मदद जी संफ चुंडो
SINGUR - Addl,सींगुर - धार
Wasting is defined as low weight-for-height,घट वजन लम्बाई जे लाए विनयाएण चयबो आ
Hot Cooked Meal (HCM) Given Today,अजु॒ दि॒नल गरम रधलु खाधो (HCM)
There are 6 categories for beneficiariesPregnant WomenLactating MotherChildren from 0 to 6 monthsChildren from 6 months to 3 yearsChildren from 3 years to 6 yearsAdolescent girls,हिते छः श्रेणियु आएन फायदे जे लाएपेटअ वारी माईढुक्क डेयन वारी माईबार 0 खा 6 महिनन जोबार 6 महिनन खा 3 सालन जोबार 3 सालन खा 6 सालन जोकिशोरी छोकरूयु
"Data Plan for Mobile Application (01 March, 2021)","मोबाईल एप्लीकेशन जे लाये डाटा प्लान ( 01 मार्च, 2021)"
Old  Amravati Urban,ओल्ड अमरावती शहरी
The WHO Multicentre Growth Reference Study (MGRS) was undertakenbetween 1997 and 2003 to generate new growth curves for assessing the growth and development of infants and young children around the world,WHO मल्टीसेंटर ग्रोथ रेफरेंस स्टडी (MGRS) 1997 आऊं 2003 जे विच्छ में दुनिया भर जे जाएल आऊं नंडे बारन जी वृद्धि आऊं वाध जो आकलन करण जे लाये नए विकास वक्र उत्पन्न करण जे लाये कियोवयो होयो
Garbeta - I,गारबेटा - I
How to set MPIN?,एमपिन खे सेट कियें कयो वञे?
Rewa - Urban,रेवा - शहरी
 VIII. LIMITATIONS OF MULTI- LINGUAL INTERFACE, VIII. बहुभाषी - इंटरफेस जी सीमाउँ
Diamond Harbour-I ICDS Project,डायमोंड हार्बर-I आई. सी. डी. ऐस. प्रोजेक्ट
Srijangram I. C. D. S. Project,श्रीजानग्राम आई. सी. डि. ऐस. प्रोजेक्ट
"We may investigate any violation of these Terms, including unauthorized use of the Site.",अस्सां साइट जो गैर कानूनी इस्तेमाल सां हिन शरतुं जो केडे भि उल्लंघन जी जांच करे सगंदा आयुं।
We may provide law enforcement with information you provide to us related to your transactions to assist in any investigation or prosecution of you.,अस्सां केडी भी जांच या तवां जे मथ्थों मुकदमो हलायन में मदद जे लाये कानून खे तवान्जी लेनदेन सां संबंधित काई जानकारी डेई सगंदा आयुं।
We may take legal action that we feel is appropriate.,अस्सां कानूनी कार्रवाई करे सगंदा आयुं अगर असांखे ऊ सही लगे त।
"If we determine that you have violated these Terms or the law, or for any other reason or for no reason, we may block your account and will prevent you from accessing the Site at any time without notice to you.","अगर अस्सां इहो तय कयूं ता तवां हिन् शरतुं जो या कानून जो उल्लंघन कयो तो, या बे केडी वजह सां या बिना केडी वजह सां, अस्सां तवान्जे खाते के ब्लॉक करे सगंदा आयुं आऊं तवांखे बिना काई खबर डेई केडी भी मैल साइट ताईं पहुंचन सां रोके सगंदा आयुं।"
There are limited fields for data entry.Name is required to be entered in English language and for other fields numeric values are required.Most of the features are provided in check boxes or with drop down selection menu.Reports to be updated.,आंगनवाडी कम कंदड फॉर्म फकत अंग्रेजी बो॒लीअ में भरे सघ॒न था.
P P Kamaicha,पी पी कामाईछा
Children between 3-6 Years,3 - 6 सालनु जे विच में बा॒र
Poshan Calculator helps to identify various health conditions of the child as per World Health Organization (WHO) standards,पोषण केल्कयुलेटर सहायता कंदो आ जाम सारयु सिहत जी दिक्कत सा बार जी वर्ल्ड हेल्थ आर्गेनाइजेशन जे तहेत (WHO)
General Awareness on Mother Care,वहींवारी जागरूकता मां जे देखभाल करण जी
Mal Adl 2,माल धार 2
New Poshan Tracker App,नयो पोषण टे्कर एप
How to take care of weak newborn with the help of Kangaroo Mother Care,कंगारू मदर केयर जी मदद सां कमजोर जायल बार जी देखभाल कीयं कयूं
Siliguri II (U),सीलीगुडी II (यू)
Old Urban Project 1,पुराणीशहरी प्रोजेक्ट 1
District Performance across 6 KPIs,6 KPI में जिला प्रदर्शन
Kaliyaganj ICDS Project,कालीयागंज आई. सी. डी. ऐस. प्रोजेक्ट
Turbhe-Panvel Navi Mumbai,थुरबे-पानवेल नवी मुंम्बई
East Zone Rmc,इस्ट जोन आर एम सी
Bagh Kare Khan,बाघ कारे खां
"Shenoy Nagar,Project 1","शेनोइ नगर, प्रोजेक्ट 1"
"The ASPs collecting data from Poshan Tracker and displaying to users shall be solely responsible for the correctness of such data and any liability arising out of any data so provided, shall completely rest with such third party.",पोषण ट्रैकर खों डेटा जमा करण आऊं वापरिधननं खे प्रदर्शित करण वारे एएसपी एडी डेटा जे खरोपण जे लाये पूरी तरह सां जिम्मेदार हुँदा आऊं हिन् तरीके सां डेईल काई भी डेटा सां पैदा थेयन वारी काई भि देयता पूरी तरह सां इहो ट्रीं दुरी सां गड्ड हुंदी।
"Any liabilities civil or criminal, arising out of any incorrect data, shall solely lie with the concerned ASP.",काई भी गलत डेटा सां पैदा थेयन वारी सिविल या आपराधिक देनदारियां पूरी तरह सां संबंधित एएसपी वठ हुंदियूं।
ICDS Khadur Sahib, आई. सी. डी. ऐस. खादुर साहिब
Poshan Tracker App is available over Google playstore https://play. google. com/store/apps/details? id=com. poshantracker,पोषण ट्रेकर एप गूगल ते मौजूद आहे.Google playstore https://play. google. com/store/apps/details? id=com. poshantracker
Can App be accessed without internet?,छा हिन एप खे इंटरनेट जे बिना हलाए सघ॒बो आहे?
"The Government has taken several initiatives to break the intergenerational cycle of malnutrition in children.Adopting a life-cycle approach, interventions have been designed to meet the nutritional requirement of adolescent girls and boys, pregnant women, lactating mothers and children.",बा॒रनु में कुपोषण जी बिन अलाकुमी सिरिशते खे टोडण जे लाये सरकार कुझ कदम खँया आहिन छोकरा
Dhupguri Adl 2,धुपगुडी धार 2
Nalhati - II,नलहाटी - II
Awareness for Pregnancy in Preventing Anemia,जागरूकता गर्भावस्था मे एनीमिया जी
Last 30 days,आखिरीन 30 ॾींहुं
"Howrah North (U) I. C. D. S. Project, Howrah","हावडा उतर (यू) आई. सी. डी. ऐस. प्रोजेक्ट, हावडा"
Ranaghat 1 Addl,राणाघाट 1 धार
Query Related to,केंजे संबंधी सवाल आ
Dhar - U,धार - यू
South Garo Hills,दखण गारो टेकरियू
3. SHARING OF INFORMATION,3. सूचना बाटण
Birth Preparedness- For Institutional and Home Delivery,जन्म जी तैयारी- संस्थायुन आऊं होम डिलीवरी जे लाये
New beneficiary addition with skip OTP option,नयो फाईदोवठिंदड गंढायप नजपअंदाज कंदड OTP विकल्प सां
We are now available on Video Conference,असां हाणे विडिओ कान्फ्रन्स ते बि मौजूद आहियूं
Data Plan for Mobile Application,डेटा जी योजना मोबाईल अप्लिकेशन जे लाए
North West Delhi,उतर द॒खण दिल्ली
English Bazar &amp,अंग्रेजी बजार &amp
2.6. Surveys and Feedbacks.,2.6. सर्वे अंउ फिडबेक
"Poshan Tracker App is meant for Aanganwadi workers, Anganwadi centers to enter beneficiaries data in the forms.","पोषण ट्रेकर एप, आंगनवाडी में कम कंदडनु, आंगनवाडी मरकजन पारां फायदो वठंदडनु जे डाटा खे फॉर्म में दाखिल करण जे लाये ठाही वेई आहे."
It is not at all developed for general public.,हिन एप खे आम अवाम जे लाये बिलकुल न ठाहियो वियो आहे.
Get In Touch,राबतो कयो
ICDS NAUSHERA PANNUAN, आई. सी. डी. ऐस. नौसेरा पुनान
"Poshan Abhiyaan is India’s flagship programme to improve nutritional outcomes for children, adolescents, pregnant women and lactating mothers by leveraging technology, a targeted approach and convergence.Poshan Tracker Portal or App is governed by Ministry of Woman and Child Development, Government of India, hereinafter referred to as “MWCD”, “our”, “us”, “we” which shall include a reference to other departments and divisions of the program/campaign.References to Poshan Tracker Portal or App in this policy include Poshan Tracker or any other Apps or portals that are integrated with Poshan Tracker through APIs / related sites, apps, communications and services (“Services”) hereinafter collectively referred to as “Poshan Tracker or System.”Our Privacy Policy applies when you use our Services (described below).This Privacy Policy is meant to help you understand what information we collect, why we collect it, and how it is used and shared.The collecting and retaining agency in respect of your information is MWCD.We are committed to protecting the security of your personal information and safeguarding your privacy.Any information or data collected and processed on the System is done in accordance with the provisions of Information Technology Act, 2000 read with its Rules and other national and state laws relating to the collection and processing of personal data.This Privacy Policy is required to be read in conjunction with the Terms of Service available at https://poshantracker. in. Your access to and use of the System is conditional upon your acceptance of this Privacy Policy and the Terms of Service.By accessing and/or using the System, you represent that you have read, understood and are bound by the Terms of Service and this Privacy Policy, and that you consent to your information and data being collected, stored and used in the manner laid out in this Privacy Policy.You hereby acknowledge that the collection of your information as described in Clause 1 of this Privacy Policy is necessary to fulfil the purposes specified in Clause 2 and 3 of this Privacy Policy.","पोषण अभियान हिक लक्षित दरषटीकोण, जेमे हिनजो फायदो खडी बार, गर्भवती, किशोर, स्तनपान वारी माईयु जेमे पोषण सा जुडयल परिणाम अंउ सुधार करण भारत जो प्रमुख कार्यक्रम आ।पोषण टे्कर एप या पोर्टल महिला अंउ बार विकास मंत्रालय, भारत जी सरकार द्वारा शासित आ,जेको हिनखा पो एमडब्ल्यूसीडी असांजो, अंसा,अंसा जे रूप में संदर्भित कियो वेनदो आ जेमे अन्य विभाग अंउ परभाग जो संदर्भ शामिल थीं दो।हिन नीती में पोषण टे्कर एप या पोर्टल शामिल आ जेको एपीआई/ संबंधित एप, पोर्टल संचार अंउ सेवाउ जे माध्यम सा पोषण टे्कर सा गड हिक आहे, जेखे हिनखा पो पोषण टे्कर या व्यवस्था चयो वेनदो आ।असांजी गोपनीयता नीति तेमल लागू थिनदी आ जेमल तां असांजी सेवाउ (हेठ डिनल) जो इस्तेमाल कंदा आयो।हिय गोपनीयता नीति तांखे हियो समझण मे मदद करण जे लाए आ कि असा केडि जानकारी ईककठी कंदा आयु अंउ हिनजो उपयोग अंउ साझा किंय कंदा आयु।तांजी जानकारी जे संबंध में संग्रहण अंउ ठाए रखंण वारी एजेंसी MWCD आ।अस्सां तवान्जी निजी जानकारी जी हिफाजती आऊं तवान्जी गोपनीयता जी हिफाजती जे लाये बदेल आयुं।सिस्टम ते एकत्रित अंउ संसाधित केडि भी जानकारी या डाटा सूचना प्रौद्योगिकी अधिनियम, 2000 जे प्रावधान सा गड गड हिंजे नियम अंउ व्यक्तिगत डाटा जो संग्रह अंउ प्रसंस्करण सा संबंधित बयु राष्ट्रीय अंउ राज्य कानून जे अनुसार कियो वेंदो आ।हिंय गोपनीयता नीति https://poshantracker.in ते सेवा जी संयोजन मे पढन जे लाए उपलब्ध आ।हिंय गोपनीयता जी नीति अंउ सेवा जी शरतयु जी तांजी स्वीकृति ते सिस्टम ताई तांजी पहुंच अंउ वापरता सशर्त आ।सिस्टम ताई पहुंच अंउ उपयोग करे, तां प्रतिनिधित्व कंदा आयो कि ताने सेवा जी शरतयु अंउ हिन गोपनीयता नीति खे पढे, समझी करे बाध्य आयो, अंउ तां तांजी डेटा अंउ जानकारी खे ईकटठो, संग्रहित अंउ निर्धारित तरीके सा प्रयोग करण जे लाए सहमती डिनडा आयो।हिन गोपनीयता नीति में।'तवां हिन् गाल खे मन्यो ता कि हिनअ गोपनीयता नीति जे खंड 1 में ब्यान करैल तवान्जी जानकारी जो मजमुओ हिन् गोपनीयता नीति जे खंड 2 आऊं 3 में तफसीली जे इरादन खे पूरो करण जे लाये जरूरी आहे।"
Swastha Balak/Balika Spardha Mission is about celebrating the health of children in India.,Swastha Balak/Balika Spardha Mission is about celebrating the health of children in India.
It entails identification and awareness of health conditions and providing necessary support wherever required.,It entails identification and awareness of health conditions and providing necessary support wherever required.
"Swastha Balak/Balika Spardha Portal or App is governed by Ministry of Woman and Child development, Government of India, hereinafter referred to as “our”, “us”, “we” which shall include a reference to other departments and divisions of the program/campaign.","Swastha Balak/Balika Spardha Portal or App is governed by Ministry of Woman and Child development, Government of India, hereinafter referred to as ""our"", ""us"", ""we"" which shall include a reference to other departments and divisions of the program/campaign."
"References to Swastha Balak/Balika Spardha Portal or App in this policy include Poshan Tracker or any other Apps or portals that are integrated with Poshan Tracker through APIs / related sites, apps, communications and services (“Services”) hereinafter collectively referred to as “Poshan Tracker or System.","References to Swastha Balak/Balika Spardha Portal or App in this policy include Poshan Tracker or any other Apps or portals that are integrated with Poshan Tracker through APIs / related sites, apps, communications and services (""Services"") hereinafter collectively referred to as ""Poshan Tracker or System."
”Our Privacy Policy applies when you use our Services (described below).,"""Our Privacy Policy applies when you use our Services (described below)."
"This Privacy Policy is meant to help you understand what information we collect, why we collect it, and how it is used and shared.","This Privacy Policy is meant to help you understand what information we collect, why we collect it, and how it is used and shared."
The collecting and retaining agency in respect of your information is Ministry of Women and Child Development.,The collecting and retaining agency in respect of your information is Ministry of Women and Child Development.
We are committed to protecting the security of your personal information and safeguarding your privacy.,We are committed to protecting the security of your personal information and safeguarding your privacy.
"Any information or data collected and processed on the System is done in accordance with the provisions of Information Technology Act, 2000 read with its Rules and other national and state laws relating to the collection and processing of personal data.","Any information or data collected and processed on the System is done in accordance with the provisions of Information Technology Act, 2000 read with its Rules and other national and state laws relating to the collection and processing of personal data."
This Privacy Policy is required to be read in conjunction with the Terms of Service available at https://poshantracker. in. Your access to and use of the System is conditional upon your acceptance of this Privacy Policy and the Terms of Service.,This Privacy Policy is required to be read in conjunction with the Terms of Service available at https://poshantracker. in. Your access to and use of the System is conditional upon your acceptance of this Privacy Policy and the Terms of Service.
"By accessing and/or using the System, you represent that you have read, understood and are bound by the Terms of Service and this Privacy Policy, and that you consent to your information and data being collected, stored and used in the manner laid out in this Privacy Policy.","By accessing and/or using the System, you represent that you have read, understood and are bound by the Terms of Service and this Privacy Policy, and that you consent to your information and data being collected, stored and used in the manner laid out in this Privacy Policy."
You hereby acknowledge that the collection of your information as described in Clause 1 of this Privacy Policy is necessary to fulfil the purposes specified in Clause 2 and 3 of this Privacy Policy.,You hereby acknowledge that the collection of your information as described in Clause 1 of this Privacy Policy is necessary to fulfil the purposes specified in Clause 2 and 3 of this Privacy Policy.
How to revive your health if you are Underweight,किंय वापस पाए ता सघु सिहत अगर असांजो घट वजन आ
Can a beneficiary change his/her AWC?,छा लाभकारी बदलाव थी तो सघे उननजे AWC मे?
Ensuring Exclusive Breastfeeding,ढुक्क डेयन पक्के तौर सां करण
Koppal - Karnataka,कोप्पल - कर्नाटक
Udaipur N/P Icds,उदयपुर ऐन/पी आई. सी. डि. ऐस.
North Garo Hills,उतर गारो टेकरियू
"We use the information we have, to help verify accounts.",असांजे वठ जेकि सूचना हुनदी आ असा हुनसा तांजा अकाउंट वेरिफाई कंदा आयु।
The records may be used for verification of health status for the purposes of Poshan Tracker control and response.,रिकार्ड तांजा तांजे वेरिफिकेशन जे लाए ईसृतेमाल थींदा आएन ताकि ताखे तांजी सेहत जे बारे मे बुधाए सिघु।
Sant Kabir Nagar City,संत कबीर नगर शहरी
Bhiwandi Nizampur Thane-[U],भीवंडी नीजामपुर ताना-[यू]
Diyungbra Icds Project.,दीयूंगब्रा आई. सी. डि. ऐस. प्रोजेक्ट
Scan the QR Code to Download the App,एप खे डाउनलोड करण जे लाये स्केन कयो फकत एंड्रॉइड जे लाये
Who is eligible for Hot Cooked Meal?,केर गर्म ठयल रोटी जे काबिल आ?
Kaliyaganj Additional ICDS Project,कालीयागंज ऐडिशनल आई. डी. सी. ऐस. प्रोजेक्ट
Burdwan - II,बरदवान - II
Chanchal - I,चांचल - I
Please Select Help Topic,किरपा करे चुनयो मदद जो विषय
JOYNAGAR-II Addl ICDS PROJECT,जोयनगर-II धार आई. सी. डी. ऐस. प्रोजेक्ट
N R Pura,ऐन आर पुरा
Kanpur Nagar City 2,कानपुर नगर शहरी 2
Identifying and preventing Severe Acute Malnutrition,गंभीर आऊं पीडींदड कुपोषण जी पहचान करण आऊं हुनखे रोकण
Children who are identified as deficit on nutrition are eligible for additional food supplements.,बार जेका कुपोषित आएन उवे अतिरिक्त पूरी रोटी जे योग्य आ एन।
Siaha ICDS Project,सीअहा आई. सी. डी. ऐस. प्रोजेक्ट
Raina - II,राइना - II
Who is eligible for additional supplementary food.,केर अतिरिक्त पूरी रोटी जे योग्य आ।
Please Enter Name,किरपा नालो भरयो
Anganwadi Worker profile page,आङनवाडी कारुकनु रुपरेखा सुफो
Budaun - Uttar Pradesh,बंदायूँ - उत्तर प्रदेश
"Uploading of Data of Anganwadi Services Schemes in Poshan Tracker (24 May, 2021)","पोशन ट्रेक्टरु में आंगन वादी सर्विसिज स्कीमुन जे डेटा अप लोड करणु (24 मुई ,2021)"
Back to careers,नौकरीयूंनि डा॒हिं मोटो
Chungthang Tribal Project,छुंगथांग ट्राईबल प्रोजेक्ट
Children (3 - 6 years),बा॒र (3-6 साल)
What’s New on Poshan Tracker,पोषण ट्रैकर में नयो छा आहे
Jashpur 2 Lodam,जाशपुर 2 लोधाम
Children between 6 months - 3 years,6 महिननु - 3 सालनु जे विच में बा॒र
Jorethang Rural Project,जोरेतानंग गो॒ठाणी प्रोजेक्ट
Prayagraj City 1,प्रयागराज शहरी 1
KOTBHAI AT GIDDERBAHA,कोटभाई ऐट गीद्दरभा
1.3. Information from third parties.,1.3. सूचना बयन माणुन खा।
Preventing anemia in women,माइन में एनीमिया जी रोकथाम
"Ministry of Women and Child Development, Government of India, Shastri Bhawan, New Delhi",मिनिस्ट्री ओव वुमन एंड चाइल्ड डेवलपमेंट गवर्नमेंट ऑफ इंडिया शास्त्री भवन नई दिल्ली
Care of the weak newborn baby - How many weak babies are we missing?,कमजोर जायल बार जी देखभाल - अस्सां घणा कमजोर जायल बारण जी देखभाल नथ्था करे सगुं?
7. CHANGES TO PRIVACY POLICY,7. गोपनीयता नीति में बदलाव
Underweight children who received Supplementary Nutrition,पूरक पोषण प्राप्त करण वारा घट वजन वारा बारअ
Beneficiary deletion by AWW,फाईदोवठिंदड रदायप AWW पारां
"You agree to defend, indemnify and hold harmless Poshan Tracker and its affiliates, its officers, directors, employees and agents, from and against any and all claims, damages, obligations, losses, liabilities, costs or debt, and expenses including but not limited to attorneys fees relating to any allegation or third-party legal proceeding to the extent arising from:Your use of and access to the Site and Service;Your violation of any term of this Agreement;Your violation of any third party right, including without limitation, any copyright, property, or privacy right; orAny claim that your User Content caused damage to a third party.This defense and indemnification obligation will survive this Agreement and your use of the Service and Website/App.","तवां केडे भी आऊं सभी दावन, क्षतिइन, दायित्वन, हानिन, देनदारिन, लागतूं या ऋण, आऊं खर्च सहित, मगर जाइका सीमित न आहेन, सां आऊं हिनजे खिलाफ हानिरहित पोशन ट्रैकर आऊं हुनजा मददगार, हुनजा अधिकारि, निदेशक, कर्मचारि आऊं एजेंटन जी रक्षा, मुआवजे आऊं धारण करण जे लाये मने ती।मगर केडे भी आरोप या ट्रीं दुरी जी कानूनी कार्यवाही सां संबंधित वकीलन की फीस तक सीमित न आहेःसाइट आऊं सेवा जो तवान्जो इस्तेमाल आऊं एक्सेस;हिन् एग्रीमेंट जी काई भी शर्त जो तवान्जो उल्लंघन;तवान्जे द्वारा केडे भि ट्रीं दुरी जे हहक्कुन जो उल्लंघन, जैमे बिना कोई बंदिश जे, कोई कॉपीराइट, जायदाद, या गोपनीयता हक्क शामिल आहेन; याकोई भी दावो कि तवान्जी वपरिणदड सामग्री खे केडी ट्रीं दुरीअ नुकसान पहुंचायो तईं।इह रक्षा आऊं हर्जाने जो दायित्व हिन् एग्रीमेंट आऊं सेवा आऊं वेबसाइट/ऐप जे तवान्जे इस्तेमाल सा बचैल हुँदा।"
SURI - II,सपकी - II
ICDS (Tribal Project), आई. सी. डी. ऐस. (ट्राईबल प्रोजेक्ट)
Kakdwip Addl ICDS Project,काकद्वीप धार आई. सी. डी. ऐस. प्रोजेक्ट
Ranir Bazar N/P,रानीरबजार ऐन/पी
Children (0-6 months),बा॒र (0-6 महिना)
Identification and care of a Weak Newborn baby,कमजोर जायल बार जी पहचान आऊं देखभाल
Harangajao Icds Project,हरानगाजाओ आई. सी. डि. ऐस. प्रोजेक्ट
Sivnee Rural -1,सीवनी गो॒ठाणो -1
Dera Baba Nanak,देरा बाबा नानक
1.2. Information from use of services.,1.2. सर्विस इस्तेमाल करण जी सूचना।
Please contact your respective Anganwadi Centre.,किरपा तांजे आंगनवाडी कार्यकर्ता सा सम्पर्क कयो।
Chanchal - II,चांचाल - II
State Video Conference,जाणायो विडियो कॉनफरेंस
Uttar Bastar Kanker,उतर बस्तर कंकेर
"Jatinga Valley Icds Project, Mahur","जातींगा वेल्ली आई. सी. डि. ऐस प्रोजेक्ट, माहुर"
Ratua - II,रातुआ - II
6m - 3y,6 महिना -3 साल
Kushi Nagar City,कुशी नगर शहरी
Take Home Ration,घर जो राशन वठो
Raina - I,राईना - I
Chandrakona - II,चंद्रकोना - II
Mohgaon - T,मोहगाउं - टी
12 Digit Number,12 अंकिय नम्बर
About Reference tables,रेफेरेंस टेबल जे बारे मे
GOBARDANGA I. C. D. S PROJECT(U),गोबोरडांङा आई. सी. डी. ऐस. प्रोजेक्ट (यू)
Please fill in the form below to create a new ticket.,किरपा करे हिन हेठ डिनल फार्म खे भरो त नई टिकेट ठाहयुं।
Anganwadi Worker will reach out to you within 48 hours.,आंगनवाडी कार्यकर्ता तांजे वठ 48 किलाक मे पहुची वेन्दुवः।
Goregaon East (U),गेरेगाउं ओभर (यू)
RISHRA-KONNAGAR(U) ICDS PROJECT,रीषडा-कोननगर (यू) आई. सी. डी. ऐस. प्रोजेक्ट
Default language selection,मुल बो॒लीअ जी चुंडायप
Your request is received.Please note down the ticket number for future reference.,तव्हां जी आछ हासिल थी आहे महर्बानी करे टिकेट नम्बर नोट कयो मस्तकबील जे ड॒स लाई
Please enter Ticket Number,टिकेट नम्बर दाखिल कयो
We believe in building doers.Poshan Tracker is a project of Ministry of Women and Child Development.Digital India Corporation is the technical partner of MoWCD.Poshan Tracker focuses on eradication of malnutrition from India.It serves as a mechanism to monitor and improvise on the service delivery under Poshan Abhiyaan,असां वेसाहु कंदा आहियो दरअ जोडण में पोशान ट्रेकर हिक प्राजेक्ट आहे जईफां ऐं बा॒र वाधारपणे जे वजिरात जी डिजिटल इण्डिया कारपोरेशन हिकु तकनीकि भाईवार आहे MoWCD.पोशान ट्रेकर द्यान डिं॒दो आहे भारत खां अण-पैशकितटा जो निबेरो करण लाई इहो मदद कंदो आहे हिकु तरिको निगरानी ऐं अंदाजो लगाअण में सेवा जी मेसरायप नसबत पोशन अभियान हेटि
Turvihal - Kannatagi,तुवीहाल-कान्नातागी
Anganwadi Worker Training,आङनवाडी कारुकनु जी सिख्या
St Thomas Mount,सेंट थोमस माउंट
