eng,mr
"Nothing set out herein shall apply to the anonymized, aggregated datasets generated by the personal data of registered users of Poshan Tracker or any reports, heat maps or other visualization created using such datasets.","येथे नमूद केलेली कोणतीही गोष्ट पोषण ट्रॅकरच्या नोंदणीकृत वापरकर्त्यांच्या वैयक्तिक डेटाद्वारे व्युत्पन्न केलेल्या अनामित, एकत्रित डेटासेटवर किंवा अशा डेटासेटचा वापर करून तयार केलेले कोणतेही अहवाल, उष्णता नकाशे किंवा इतर व्हिज्युअलायझेशनवर लागू होणार नाही."
Number Of Positions,पदांची संख्या
Please enter Height greater than 29.99 and less than 140.01,कृपया 38 पेक्षा जास्त आणि 150 पेक्षा कमी उंची प्रविष्ट करा
"While login to the Poshan Tracker App, AWWs are required to enter the MPIN set by them.","पोषण ट्रॅझर अॅपवर लॉग इन करताना, एडब्ल्यूडब्ल्यू ने त्यांच्याद्वारे सेट केलेला एमपीन प्रविष्ट करणे आवश्यक आहे."
This MPIN will act as a passcode to run the Poshan Tracker App and entering the information in the beneficiaries forms.,हे एमपीन पोषण ट्रॅकर अॅप चालविण्यासाठी पासकोड म्हणून काम करेल आणि लाभार्थी फॉर्ममध्ये माहिती प्रविष्ट करेल.
Matigara ICDS Project( Main ),माटीगारा आयसीडीएस प्रकल्प (मुख्य)
How to ensure timely initiation of complementary feeding,पूरक आहार वेळेवर सुरू करण्याची खात्री कशी करावी
20 December 2021,20 डिसेंबर 2021
Poshan Tracker App can only be installed in Android Phone with Android version 6.0 and above.,पॉशन ट्रॅकर अॅप केवळ अँड्रॉइड फोन ६.० आणि त्यावरील आवृत्तीसह स्थापित केला जाऊ शकतो.
Please Enter Mobile Number,कृपया मोबाईल नंबर क्रमांक प्रविष्ट करा
Request for Hot Cooked Meal,गरम शिजवलेल्या जेवणाची विनंती
Hasnabad ICDS Project,हसनाबाद आयसीडीएस प्रकल्प
RAIPUR URBAN 1,रायपूर शहरी 1
General Awareness about Growth Monitoring of Children,मुलांच्या ग्रोथ मॉनिटरिंग बद्दल सामान्य जागरूकता
Bhind - R,भिंड - आर
Bastar - Chhattisgarh,बस्तर - छत्तीसगड
Please select Help Topic,कृपया मदत विषय निवडा
SINGUR - Addl,सिंगूर - अतिरिक्त
Wasting is defined as low weight-for-height,अशक्त जाण्याची व्याख्या उंचीसाठी कमी वजन अशी केली जाते
Hot Cooked Meal (HCM) Given Today,आज दिलेला गरम शिजवलेले भोजन (एचसीएम)
There are 6 categories for beneficiariesPregnant WomenLactating MotherChildren from 0 to 6 monthsChildren from 6 months to 3 yearsChildren from 3 years to 6 yearsAdolescent girls,लाभार्थ्यांसाठी 6 श्रेणी आहेतगर्भवती महिलास्तनपान करणारी आईमुले 0 महिने - 6 महिनेमुले 6 महिने - 3 वर्षेमुले 3 वर्षे - 6 वर्षेकिशोरवयीन मुली
"Data Plan for Mobile Application (01 March, 2021)",मोबाइल अनुप्रयोगासाठी डेटा प्लॅन (०१ मार्च २०२१)
Old  Amravati Urban,जुनी अमरावती शहरी
The WHO Multicentre Growth Reference Study (MGRS) was undertakenbetween 1997 and 2003 to generate new growth curves for assessing the growth and development of infants and young children around the world,डब्ल्यूएचओ मल्टीसेंटर ग्रोथ रेफरन्स स्टडी (एमजीआरएस) 1997 आणि 2003 दरम्यान जगभरातील नवजात आणि लहान मुलांच्या वाढ आणि विकासाचे मूल्यांकन करण्यासाठी नवीन वाढ वक्र निर्माण करण्यासाठी हाती घेण्यात आले होते
Garbeta - I,गरबेटा - I
How to set MPIN?,एमपीन कसे सेट करावा?
Rewa - Urban,रेवा - शहरी
 VIII. LIMITATIONS OF MULTI- LINGUAL INTERFACE, VIII. बहु-भाषिक इंटरफेसच्या मर्यादा
Diamond Harbour-I ICDS Project,डायमंड हार्बर-I आयसीडीएस प्रकल्प
Srijangram I. C. D. S. Project,सृजनग्राम आयसीडीएस प्रकल्प
"We may investigate any violation of these Terms, including unauthorized use of the Site.",आम्ही साइटच्या अनधिकृत वापरासह या अटींच्या कोणत्याही उल्लंघनाची चौकशी करू शकतो.
We may provide law enforcement with information you provide to us related to your transactions to assist in any investigation or prosecution of you.,तुमच्यावरील कोणत्याही तपासात किंवा खटला चालवण्यात मदत करण्यासाठी तुमच्या व्यवहारांशी संबंधित तुम्ही आम्हाला प्रदान केलेली माहिती आम्ही कायद्याची अंमलबजावणी करू शकतो.
We may take legal action that we feel is appropriate.,आम्हाला योग्य वाटेल अशी कायदेशीर कारवाई आम्ही करू शकतो.
"If we determine that you have violated these Terms or the law, or for any other reason or for no reason, we may block your account and will prevent you from accessing the Site at any time without notice to you.","आपण या अटींचे किंवा कायद्याचे किंवा इतर कोणत्याही कारणास्तव किंवा विनाकारण उल्लंघन केले आहे असे आम्ही निर्धारित केल्यास, आम्ही तुमचे खाते अवरोधित करू आणि तुम्हाला सूचना न देता कधीही साइटवर प्रवेश करण्यापासून प्रतिबंधित करू."
There are limited fields for data entry.Name is required to be entered in English language and for other fields numeric values are required.Most of the features are provided in check boxes or with drop down selection menu.Reports to be updated.,एडब्ल्यूडब्ल्यू केवळ इंग्रजी भाषेमध्ये फॉर्म भरू शकतात.
P P Kamaicha,पी पी कमाईचा
Children between 3-6 Years,३-६ वर्षे वयोगटातील मुले
Poshan Calculator helps to identify various health conditions of the child as per World Health Organization (WHO) standards,पोषण कॅल्क्युलेटर जागतिक आरोग्य संघटनेच्या (डब्ल्यूएचओ) मानकांनुसार मुलाच्या विविध आरोग्य स्थिती ओळखण्यास मदत करते
General Awareness on Mother Care,आईच्या काळजीबद्दल सामान्य जागरूकता
Mal Adl 2,मल अतिरिक्त 2
New Poshan Tracker App,नवीन पोषण ट्रॅकर एप
How to take care of weak newborn with the help of Kangaroo Mother Care,कांगारू मदर केअरच्या मदतीने कमकुवत नवजात बाळाची काळजी कशी घ्यावी
Siliguri II (U),सिलीगुडी II (यु)
Old Urban Project 1,जुना नागरी प्रकल्प १
District Performance across 6 KPIs,6 केपीआय मध्ये जिल्ह्याची कामगिरी
Kaliyaganj ICDS Project,कालियागंज आयसीडीएस प्रकल्प
Turbhe-Panvel Navi Mumbai,तुर्भे-पनवेल नवी मुंबई
East Zone Rmc,पूर्व विभाग आरएमसी
Bagh Kare Khan,बाग करे खान
"Shenoy Nagar,Project 1","शेणॉय नगर, प्रकल्प 1"
"The ASPs collecting data from Poshan Tracker and displaying to users shall be solely responsible for the correctness of such data and any liability arising out of any data so provided, shall completely rest with such third party.",पॉशन ट्रॅकरकडून डेटा गोळा करणारे आणि वापरकर्त्यांना दाखवणारे एएसपी अशा डेटाच्या अचूकतेसाठी पूर्णपणे जबाबदार असतील आणि अशा प्रकारे प्रदान केलेल्या कोणत्याही डेटामुळे उद्भवणारे कोणतेही दायित्व अशा तृतीय पक्षाकडे पूर्णतः विश्रांती घेतील.
"Any liabilities civil or criminal, arising out of any incorrect data, shall solely lie with the concerned ASP.",कोणत्याही चुकीच्या डेटामुळे उद्भवलेल्या कोणत्याही दिवाणी किंवा फौजदारी दायित्वे केवळ संबंधित एएसपीकडेच राहतील.
ICDS Khadur Sahib,पत्ती
Poshan Tracker App is available over Google playstore https://play. google. com/store/apps/details?,पोषण ट्रॅकर अॅप गुगल प्लेस्टोअरवर उपलब्ध आहे https://play. google. com/store/apps/details?
 id=com. poshantracker, id=com. poshantracker
Can App be accessed without internet?,इंटरनेटशिवाय आप मध्ये प्रवेश केला जाऊ शकतो का?
The Government has taken several initiatives to break the intergenerational cycle of malnutrition in children.,मुलांमध्ये कुपोषणाच्या मध्यंतरी चक्र मोडीत काढण्यासाठी सरकारने अनेक पुढाकार घेतले आहेत.
"Adopting a life-cycle approach, interventions have been designed to meet the nutritional requirement of adolescent girls and boys, pregnant women, lactating mothers and children.","जीवन-चक्र दृष्टिकोन स्वीकारणे, हस्तक्षेप किशोरवयीन मुली आणि मुले, गर्भवती महिला, स्तनपान करणारी माता व मुलांची पौष्टिक आवश्यकता भागविण्यासाठी डिझाइन केले गेले आहे."
Dhupguri Adl 2,धुपगुरी अतिरिक्त 2
Nalhati - II,नल्हाटी - II
Awareness for Pregnancy in Preventing Anemia,गरोदरपणात रक्तशय टाळण्यासाठी जागरूकता
Last 30 days,शेवटचे 30 दिवस
"Howrah North (U) I. C. D. S. Project, Howrah","हावडा उत्तर (यु) आयसीडीएस प्रकल्प, हावडा"
Ranaghat 1 Addl,राणाघाट 1 अतिरिक्त
Query Related to,याच्याशी संबंधित प्रश्न
Dhar - U,धार - यू
South Garo Hills,दक्षिण गॅरो हिल्स
3. SHARING OF INFORMATION,3. माहितीची देवाणघेवाण
Birth Preparedness- For Institutional and Home Delivery,जन्माची तयारी- दवाखान्यात आणि घरी प्रसूतीसाठी
New beneficiary addition with skip OTP option,"ओटीपी वगळा, पर्यायासह नवीन लाभार्थी जोडणे"
We are now available on Video Conference,आम्ही आता व्हिडिओ कॉन्फरन्सवर उपलब्ध आहोत
Data Plan for Mobile Application,मोबाईल एप्लिकेशनसाठी डेटा प्लॅन
North West Delhi,उत्तर पश्चिम दिल्ली
English Bazar &amp,इंग्रजी बाजार & अँप
2.6. Surveys and Feedbacks.,2.6. सर्वेक्षण आणि अभिप्राय.
"Poshan Tracker App is meant for Aanganwadi workers, Anganwadi centers to enter beneficiaries data in the forms.","अंगणवाडी सेविका, अंगणवाडी केंद्रे, लाभार्थ्यांचा डेटा फॉर्ममध्ये टाकण्यासाठी पोषण ट्रॅकर अॅप आहे."
It is not at all developed for general public.,हे सर्वसामान्यांसाठी अजिबात विकसित केलेले नाही.
Get In Touch,संपर्कात रहाण्यासाठी
ICDS NAUSHERA PANNUAN,आयसीडीएस नौशेरा पन्नुआन
"Poshan Abhiyaan is India’s flagship programme to improve nutritional outcomes for children, adolescents, pregnant women and lactating mothers by leveraging technology, a targeted approach and convergence.Poshan Tracker Portal or App is governed by Ministry of Woman and Child Development, Government of India, hereinafter referred to as “MWCD”, “our”, “us”, “we” which shall include a reference to other departments and divisions of the program/campaign.References to Poshan Tracker Portal or App in this policy include Poshan Tracker or any other Apps or portals that are integrated with Poshan Tracker through APIs / related sites, apps, communications and services (“Services”) hereinafter collectively referred to as “Poshan Tracker or System.”Our Privacy Policy applies when you use our Services (described below).This Privacy Policy is meant to help you understand what information we collect, why we collect it, and how it is used and shared.The collecting and retaining agency in respect of your information is MWCD.We are committed to protecting the security of your personal information and safeguarding your privacy.Any information or data collected and processed on the System is done in accordance with the provisions of Information Technology Act, 2000 read with its Rules and other national and state laws relating to the collection and processing of personal data.This Privacy Policy is required to be read in conjunction with the Terms of Service available at https://poshantracker. in. Your access to and use of the System is conditional upon your acceptance of this Privacy Policy and the Terms of Service.By accessing and/or using the System, you represent that you have read, understood and are bound by the Terms of Service and this Privacy Policy, and that you consent to your information and data being collected, stored and used in the manner laid out in this Privacy Policy.You hereby acknowledge that the collection of your information as described in Clause 1 of this Privacy Policy is necessary to fulfil the purposes specified in Clause 2 and 3 of this Privacy Policy.","पोषण अभियान हा तंत्रज्ञान, लक्ष्यित दृष्टीकोन आणि अभिसरणाचा लाभ घेऊन बालके, किशोरवयीन, गर्भवती महिला आणि स्तनदा माता यांच्यासाठी पोषणविषयक परिणाम सुधारण्यासाठी भारताचा प्रमुख कार्यक्रम आहे.पोषण ट्रॅकर पोर्टल किंवा एप भारत सरकारच्या महिला आणि बाल विकास मंत्रालयाद्वारे नियंत्रित केले जाते, यापुढे ""एमडब्ल्यूसीडी"", ""आमचे"", ""आम्ही"", ""आम्ही"" म्हणून संबोधले जाईल ज्यामध्ये इतर विभाग आणि विभागांचा संदर्भ समाविष्ट असेल कार्यक्रम/मोहिम.या धोरणातील पोषण ट्रॅकर पोर्टल किंवा एपच्या संदर्भांमध्ये पोषण ट्रॅकर किंवा पोषण ट्रॅकर सोबत एपीआयस्/संबंधित साइट्स, एप्स, कम्युनिकेशन्स आणि सेवा (सेवा) द्वारे एकत्रित केलेले पोषण ट्रॅकर किंवा इतर कोणतेही एप्स किंवा पोर्टल समाविष्ट आहेत. प्रणाली. ""तुम्ही आमच्या सेवा वापरता तेव्हा आमचे गोपनीयता धोरण लागू होते (खाली वर्णन केलेले).आम्ही कोणती माहिती गोळा करतो, ती का गोळा करतो आणि ती कशी वापरली आणि शेअर केली जाते हे समजून घेण्यास मदत करण्यासाठी हे गोपनीयता धोरण आहे.तुमची माहिती गोळा करणारी आणि ठेवणारी एजन्सी एमडब्ल्यूसीडी आहे.आम्ही तुमच्या वैयक्तिक माहितीच्या सुरक्षिततेचे रक्षण करण्यासाठी आणि तुमच्या गोपनीयतेचे रक्षण करण्यासाठी वचनबद्ध आहोत.सिस्टीमवर संकलित केलेली आणि प्रक्रिया केलेली कोणतीही माहिती किंवा डेटा माहिती तंत्रज्ञान कायदा, 2000 च्या नियमांनुसार आणि वैयक्तिक डेटाच्या संकलन आणि प्रक्रियेशी संबंधित इतर राष्ट्रीय आणि राज्य कायद्यांसह वाचलेल्या तरतुदींनुसार केला जातो.हे गोपनीयता धोरण https://poshantracker.in वर उपलब्ध सेवा अटींसह वाचणे आवश्यक आहे.तुमचा प्रणालीचा प्रवेश आणि वापर हे गोपनीयता धोरण आणि सेवा अटी तुमच्या स्वीकृतीवर सशर्त आहे.सिस्टीममध्ये प्रवेश करून आणि/किंवा वापरून, तुम्ही प्रतिनिधित्व करता की तुम्ही सेवा अटी आणि गोपनीयता धोरण वाचले आहे, समजले आहे आणि त्यांना बांधील आहात आणि तुम्ही तुमची माहिती आणि डेटा संकलित, संग्रहित आणि मांडलेल्या पद्धतीने वापरण्यास संमती देता.या गोपनीयता धोरणामध्ये.तुम्ही याद्वारे कबूल करता की या गोपनीयता धोरणाच्या कलम 1 मध्ये वर्णन केल्यानुसार तुमची माहिती संग्रहित करणे या गोपनीयता धोरणाच्या कलम 2 आणि 3 मध्ये निर्दिष्ट केलेल्या उद्देशांची पूर्तता करण्यासाठी आवश्यक आहे."
Swastha Balak/Balika Spardha Mission is about celebrating the health of children in India.,Swastha Balak/Balika Spardha Mission is about celebrating the health of children in India.
It entails identification and awareness of health conditions and providing necessary support wherever required.,It entails identification and awareness of health conditions and providing necessary support wherever required.
"Swastha Balak/Balika Spardha Portal or App is governed by Ministry of Woman and Child development, Government of India, hereinafter referred to as “our”, “us”, “we” which shall include a reference to other departments and divisions of the program/campaign.","Swastha Balak/Balika Spardha Portal or App is governed by Ministry of Woman and Child development, Government of India, hereinafter referred to as ""our"", ""us"", ""we"" which shall include a reference to other departments and divisions of the program/campaign."
"References to Swastha Balak/Balika Spardha Portal or App in this policy include Poshan Tracker or any other Apps or portals that are integrated with Poshan Tracker through APIs / related sites, apps, communications and services (“Services”) hereinafter collectively referred to as “Poshan Tracker or System.","References to Swastha Balak/Balika Spardha Portal or App in this policy include Poshan Tracker or any other Apps or portals that are integrated with Poshan Tracker through APIs / related sites, apps, communications and services (""Services"") hereinafter collectively referred to as ""Poshan Tracker or System."
”Our Privacy Policy applies when you use our Services (described below).,"""Our Privacy Policy applies when you use our Services (described below)."
"This Privacy Policy is meant to help you understand what information we collect, why we collect it, and how it is used and shared.","This Privacy Policy is meant to help you understand what information we collect, why we collect it, and how it is used and shared."
The collecting and retaining agency in respect of your information is Ministry of Women and Child Development.,The collecting and retaining agency in respect of your information is Ministry of Women and Child Development.
We are committed to protecting the security of your personal information and safeguarding your privacy.,We are committed to protecting the security of your personal information and safeguarding your privacy.
"Any information or data collected and processed on the System is done in accordance with the provisions of Information Technology Act, 2000 read with its Rules and other national and state laws relating to the collection and processing of personal data.","Any information or data collected and processed on the System is done in accordance with the provisions of Information Technology Act, 2000 read with its Rules and other national and state laws relating to the collection and processing of personal data."
This Privacy Policy is required to be read in conjunction with the Terms of Service available at https://poshantracker. in. Your access to and use of the System is conditional upon your acceptance of this Privacy Policy and the Terms of Service.,This Privacy Policy is required to be read in conjunction with the Terms of Service available at https://poshantracker. in. Your access to and use of the System is conditional upon your acceptance of this Privacy Policy and the Terms of Service.
"By accessing and/or using the System, you represent that you have read, understood and are bound by the Terms of Service and this Privacy Policy, and that you consent to your information and data being collected, stored and used in the manner laid out in this Privacy Policy.","By accessing and/or using the System, you represent that you have read, understood and are bound by the Terms of Service and this Privacy Policy, and that you consent to your information and data being collected, stored and used in the manner laid out in this Privacy Policy."
You hereby acknowledge that the collection of your information as described in Clause 1 of this Privacy Policy is necessary to fulfil the purposes specified in Clause 2 and 3 of this Privacy Policy.,You hereby acknowledge that the collection of your information as described in Clause 1 of this Privacy Policy is necessary to fulfil the purposes specified in Clause 2 and 3 of this Privacy Policy.
How to revive your health if you are Underweight,तुमचे वजन कमी असल्यास तुमचे आरोग्य कसे सुधारावे
Can a beneficiary change his/her AWC?,लाभार्थी त्याचे/तिचे अंगणवाडी केंद्र बदलू शकतो का?
Ensuring Exclusive Breastfeeding,निव्वळ स्तनपान सुनिश्चित करणे
Koppal - Karnataka,कोपल - कर्नाटक
Udaipur N/P Icds,उदयपूर N/P आयसीडीएस
North Garo Hills,उत्तर गॅरो हिल्स
"We use the information we have, to help verify accounts.",खाती पडताळण्यात मदत करण्यासाठी आम्ही आमच्याकडे असलेली माहिती वापरतो.
The records may be used for verification of health status for the purposes of Poshan Tracker control and response.,पोषण ट्रॅकर नियंत्रण आणि प्रतिसादाच्या उद्देशाने आरोग्य स्थितीच्या पडताळणीसाठी रेकॉर्डचा वापर केला जाऊ शकतो.
Sant Kabir Nagar City,संत कबीर नगर शहर
Bhiwandi Nizampur Thane-[U],भिवंडी निजामपूर ठाणे-[U]
Diyungbra Icds Project.,दियुंगब्रा आयसीडीएस प्रकल्प.
Scan the QR Code to Download the App,अॅप डाउनलोड करण्यासाठी क्यूआर कोड स्कॅन करा
Who is eligible for Hot Cooked Meal?,गरम शिजवलेल्या जेवणासाठी कोण पात्र आहे?
Kaliyaganj Additional ICDS Project,कालियागंज अतिरिक्त आयसीडीएस प्रकल्प
Burdwan - II,बर्दवान - II
Chanchal - I,चंचल - I
Please Select Help Topic,कृपया सहाय्य विषय निवडा
JOYNAGAR-II Addl ICDS PROJECT,जॉयनगर-II अतिरिक्त आयसीडीएस प्रकल्प
N R Pura,एन आर पुरा
Kanpur Nagar City 2,कानपूर नगर शहर 2
Identifying and preventing Severe Acute Malnutrition,गंभीर तीव्र कुपोषण ओळखणे आणि प्रतिबंध करणे
Children who are identified as deficit on nutrition are eligible for additional food supplements.,पोषणाची कमतरता म्हणून ओळखली जाणारी मुले अतिरिक्त आहार पूरक आहारांसाठी पात्र आहेत.
Siaha ICDS Project,सियाहा आयसीडीएस प्रकल्प
Raina - II,रैना - II
Who is eligible for additional supplementary food.,अतिरिक्त पूरक आहारासाठी कोण पात्र आहे.
Please Enter Name,कृपया नाव प्रविष्ट करा
Anganwadi Worker profile page,अंगणवाडी सेविका वर्णन पान
Budaun - Uttar Pradesh,बुडौन - उत्तर प्रदेश
"Uploading of Data of Anganwadi Services Schemes in Poshan Tracker (24 May, 2021)","पोषण ट्रेकरमध्ये अंगणवाडी सेवा योजनांचा डेटा अपलोड करणे (24 मे, 2021)"
Back to careers,परत करिअरकडे
Chungthang Tribal Project,चुंगथांग आदिवासी प्रकल्प
Children (3 - 6 years),मुले (3-6 वर्षे)
What’s New on Poshan Tracker,पोषण ट्रॅकर वर नवीन काय आहे
Jashpur 2 Lodam,जशपूर 2 लोडम
Children between 6 months - 3 years,६ महिन्यांपासून ३ वर्षाच्या मुलांची केली
Jorethang Rural Project,जोरथांग ग्रामीण प्रकल्प
Prayagraj City 1,प्रयागराज शहर 1
KOTBHAI AT GIDDERBAHA,कोटभाई गिद्दरबाहा
1.3. Information from third parties.,1.3. तृतीय पक्षांकडून माहिती.
Preventing anemia in women,महिलांमध्ये रक्तशय रोखणे
"Ministry of Women and Child Development, Government of India, Shastri Bhawan, New Delhi","महिला व बाल विकास मंत्रालय, भारत सरकार, शास्त्री भवन, नवी दिल्ली"
Care of the weak newborn baby - How many weak babies are we missing?,अशक्त नवजात बाळाची काळजी - आपण किती अशक्त नवजात  बालके गमावत आहोत?
7. CHANGES TO PRIVACY POLICY,7. गोपनीयता धोरणातील बदल
Underweight children who received Supplementary Nutrition,कमी वजनाची मुले ज्यांना पूरक पोषण मिळाले
Beneficiary deletion by AWW,एडब्ल्यूसी द्वारे लाभार्थी हटवणे
"You agree to defend, indemnify and hold harmless Poshan Tracker and its affiliates, its officers, directors, employees and agents, from and against any and all claims, damages, obligations, losses, liabilities, costs or debt, and expenses including but not limited to attorneys fees relating to any allegation or third-party legal proceeding to the extent arising from:Your use of and access to the Site and Service;Your violation of any term of this Agreement;Your violation of any third party right, including without limitation, any copyright, property, or privacy right; orAny claim that your User Content caused damage to a third party.This defense and indemnification obligation will survive this Agreement and your use of the Service and Website/App.","तुम्ही निरुपद्रवी पोषण ट्रॅकर आणि त्याचे सहयोगी, त्याचे अधिकारी, संचालक, कर्मचारी आणि एजंट, कोणत्याही आणि सर्व दावे, नुकसान, दायित्वे, नुकसान, दायित्वे, खर्च किंवा कर्ज, आणि खर्च यासह परंतु मर्यादित नसलेल्या खर्चाचा बचाव, नुकसानभरपाई आणि धारण करण्यास सहमती देता.कोणत्याही आरोप किंवा तृतीय-पक्ष कायदेशीर कार्यवाहीशी संबंधित वकील शुल्कःसाइट आणि सेवेचा तुमचा वापर आणि प्रवेश;या कराराच्या कोणत्याही अटींचे तुमचे उल्लंघन;कोणत्याही तृतीय पक्षाच्या अधिकाराचे तुमचे उल्लंघन, ज्यामध्ये मर्यादांशिवाय, कोणतेही कॉपीराइट, मालमत्ता किंवा गोपनीयता अधिकार यांचा समावेश आहे; किंवातुमच्या वापरकर्ता सामग्रीमुळे तृतीय पक्षाचे नुकसान झाल्याचा कोणताही दावा.हे संरक्षण आणि नुकसानभरपाईचे दायित्व हा करार आणि तुमचा सेवा आणि वेबसाइट/अॅपचा वापर टिकून राहील."
SURI - II,सुरी - II
ICDS (Tribal Project),आयसीडीएस (आदिवासी प्रकल्प)
Kakdwip Addl ICDS Project,काकद्वीप अतिरिक्त आयसीडीएस प्रकल्प
Ranir Bazar N/P,राणीर बाजार N/P
Children (0-6 months),मुले (०-६ महिने)
Identification and care of a Weak Newborn baby,अशक्त नवजात बाळाची ओळख आणि काळजी
Harangajao Icds Project,हरंगजाव आयसीडीएस प्रकल्प
Sivnee Rural -1,शिवणे ग्रामीण -1
Dera Baba Nanak,डेरा बाबा नानक
1.2. Information from use of services.,1.2. सेवांच्या वापरावरून माहिती.
Please contact your respective Anganwadi Centre.,कृपया तुमच्या संबंधित अंगणवाडी केंद्राशी संपर्क साधा.
Chanchal - II,चंचल - II
State Video Conference,राज्य व्हिडिओ कॉन्फरन्स
Uttar Bastar Kanker,उत्तर बस्तर कांकेर
"Jatinga Valley Icds Project, Mahur","जटिंगा व्हॅली आयसीडीएस प्रकल्प, माहूर"
Ratua - II,रतुआ - II
6m - 3y,६ महिने -३ वर्षे
Kushi Nagar City,कुशी नगर शहर
Take Home Ration,होम रेशन घ्या
Raina - I,रैना - I
Chandrakona - II,चंद्रकोना - II
Mohgaon - T,मोहगाव - टी
12 Digit Number,12 अंकी संख्या
About Reference tables,संदर्भ सारण्यांबद्दल
GOBARDANGA I. C. D. S PROJECT(U),गोबरडंगा आयसीडीएस प्रकल्प(यु)
Please fill in the form below to create a new ticket.,नवीन तिकीट तयार करण्यासाठी कृपया खालील फॉर्म भरा.
Anganwadi Worker will reach out to you within 48 hours.,अंगणवाडी सेविका 48 तासांच्या आत तुमच्यापर्यंत पोहोचेल.
Goregaon East (U),गोरेगाव पूर्व (यू)
RISHRA-KONNAGAR(U) ICDS PROJECT,रिश्रा-कोणनगर (यु) आयसीडीएस प्रकल्प
Default language selection,डीफॉल्ट भाषा निवड
Your request is received.,तुमची विनंती प्राप्त झाली आहे.
Please note down the ticket number for future reference.,भविष्यातील संदर्भासाठी कृपया तिकीट क्रमांकाची नोंद करा.
Please enter Ticket Number,कृपया तिकीट क्रमांक प्रविष्ट करा
We believe in building doers.,दरवाजे बांधण्यावर आमचा विश्वास आहे.
Poshan Tracker is a project of Ministry of Women and Child Development.,पोषण ट्रॅकर हा महिला आणि बाल विकास मंत्रालयाचा प्रकल्प आहे.
Digital India Corporation is the technical partner of MoWCD.,डिजिटल इंडिया कॉर्पोरेशन हे मोडब्ल्यूसीडी  चे तांत्रिक भागीदार आहे.
