eng,ur
Poshan Calculator helps to identify various health conditions of the child as per World Health Organization (WHO) standards,ورلڈ ہیلتھ آرگنائزیشن ( ڈبلیو ایچ او ) کے معیار کے مطابق پوشن کیلکولیٹر بچے کی صحت کی مختلف حالتوں کی نشاندہی کرنے میں مدد کرتا ہے ۔
General Awareness on Mother Care,ماں کی دیکھ بھال کے بارے میں عمومی آگاہی
Mal Adl 2,مال اڈیشنل 2
New Poshan Tracker App,نئی پوشن ٹریکر ایپ
How to take care of weak newborn with the help of Kangaroo Mother Care,کینگرو مدر کیئر کی مدد سے کمزور نومولود کی دیکھ بھال کیسے کی جائے ۔
Siliguri II (U),سیلیگوری II ( یو )
Old Urban Project 1,اولڈ اربن پروجیکٹ
District Performance across 6 KPIs,6 KPIs میں ضلع کی کارکردگی
Kaliyaganj ICDS Project,کالیا گنج آئی سی ڈی سی ایس پروجیکٹ
Turbhe-Panvel Navi Mumbai,توربھے ۔پنویل ، نوی ممبئی
MPIN is not working,mpin کام نہیں کر رہا ہے ۔
East Zone Rmc,آر ایم سی ایسٹ زون
Bagh Kare Khan,باغ کالے خان
"Shenoy Nagar,Project 1",شینوائے نگر پروجیکٹ 1
"The ASPs collecting data from Poshan Tracker and displaying to users shall be solely responsible for the correctness of such data and any liability arising out of any data so provided, shall completely rest with such third party.",پوشن ٹریکر سے ڈیٹا اکٹھا کرنے اور صارفین کو ڈسپلے کرنے والے ASPs اس طرح کے ڈیٹا کی درستگی کے لیے مکمل طور پر ذمہ دار ہوں گے اور اس طرح فراہم کردہ کسی بھی ڈیٹا سے پیدا ہونے والی ذمہ داری مکمل طور پر ایسے تیسرے فریق کے ساتھ رہے گی ۔
"Any liabilities civil or criminal, arising out of any incorrect data, shall solely lie with the concerned ASP.",کسی بھی غلط اعداد و شمار سے پیدا ہونے والی سول یا مجرمانہ ذمہ داریاں صرف متعلقہ ASP کے پاس ہوں گی ۔
ICDS Khadur Sahib,آئی سی ڈی ایس کھادر صاحب
Poshan Tracker App is available over Google playstore https://play. google. com/store/apps/details?,پوشن ٹریکر اپلیکیشن گوگل پلے استور پر دستیاب ہے
 id=com. poshantracker,https:// play. google. com/ store/ apps/ details? id= com. poshantracker
Can App be accessed without internet?,کیا پوشن ٹریکر اپلیکیشن اپیل بغیر انٹرنیٹ کے بھی فعال ہوگا ؟
The Government has taken several initiatives to break the intergenerational cycle of malnutrition in children.,بچوں میں غذائی قلت کے بین المیعاد چکر کو توڑنے کے لئے حکومت نے متعدد اقدامات کئے ہیں ۔
"Adopting a life-cycle approach, interventions have been designed to meet the nutritional requirement of adolescent girls and boys, pregnant women, lactating mothers and children.",لائف سائیکل اپروچ مداخلت کو اپنانے کے لئے نوعمر لڑکیوں ، لڑکوں ، حاملہ خواتین اور دودھ پلانے والی ماؤں اور بچوں کی غذائی ضرورت کو پورا کرنے کے لئے ڈیزائن کیا گیا ہے ۔
Dhupguri Adl 2,دھوپ گوڑی اڈیشنل 2
Nalhati - II,نل ہٹّی - II
Awareness for Pregnancy in Preventing Anemia,خون کی کمی کی روک تھام میں حمل کے لیے آگاہی
Last 30 days,آخری 30 دن
"Howrah North (U) I. C. D. S. Project, Howrah",ہوڑہ نارتھ ( اربن ) آئی سی ڈی ایس پروجیکٹ ، ہوڑہ
Ranaghat 1 Addl,رانا گھاٹ -1 اڈیشنل
Query Related to,سے متعلق سوال
Dhar - U,دھار اربن
South Garo Hills,جنوبی گارو پہاڑیاں
3. SHARING OF INFORMATION,3. معلومات کا اشتراک
Birth Preparedness- For Institutional and Home Delivery,پیدائش کی تیاری - ادارہ جاتی اور گھر کی ترسیل کے لیے
New beneficiary addition with skip OTP option,لیو ون ٹائم پاس ورڈ آپشن کے ساتھ نیا فائدہ اٹھانے والوں کا اضافہ
We are now available on Video Conference,اب ہم ویڈیو کانفرنس میں دستیاب ہیں
Data Plan for Mobile Application,موبائل ایپلیکیشن کے لیے ڈیٹا پلان
North West Delhi,شمال مغربی دہلی
English Bazar &amp,انگلش بازار اینڈ اے ایم پی
2.6. Surveys and Feedbacks.,2.6. سروے اور تاثرات ۔
"Poshan Tracker App is meant for Aanganwadi workers, Anganwadi centers to enter beneficiaries data in the forms.",پوشن ٹریکر اپلی کیشن سب سے زیادہ فعال آنگن واڑی عاملین کے لئے کار آمد ہوگا آنگن واڑی مراکز پر جہاں فوائد حاصل کرنےوالوں کی معلومات تشکیل دی گئی ہیں
It is not at all developed for general public.,یہ عوام الناس کے لئے ہرگز نہیں ہے
Get In Touch,رابطے میں رہنا
ICDS NAUSHERA PANNUAN,آئی سی دی ایس نوشہرا پنّوان
"Poshan Abhiyaan is India’s flagship programme to improve nutritional outcomes for children, adolescents, pregnant women and lactating mothers by leveraging technology, a targeted approach and convergence.Poshan Tracker Portal or App is governed by Ministry of Woman and Child Development, Government of India, hereinafter referred to as “MWCD”, “our”, “us”, “we” which shall include a reference to other departments and divisions of the program/campaign.References to Poshan Tracker Portal or App in this policy include Poshan Tracker or any other Apps or portals that are integrated with Poshan Tracker through APIs / related sites, apps, communications and services (“Services”) hereinafter collectively referred to as “Poshan Tracker or System.”Our Privacy Policy applies when you use our Services (described below).This Privacy Policy is meant to help you understand what information we collect, why we collect it, and how it is used and shared.The collecting and retaining agency in respect of your information is MWCD.We are committed to protecting the security of your personal information and safeguarding your privacy.Any information or data collected and processed on the System is done in accordance with the provisions of Information Technology Act, 2000 read with its Rules and other national and state laws relating to the collection and processing of personal data.This Privacy Policy is required to be read in conjunction with the Terms of Service available at https://poshantracker. in. Your access to and use of the System is conditional upon your acceptance of this Privacy Policy and the Terms of Service.By accessing and/or using the System, you represent that you have read, understood and are bound by the Terms of Service and this Privacy Policy, and that you consent to your information and data being collected, stored and used in the manner laid out in this Privacy Policy.You hereby acknowledge that the collection of your information as described in Clause 1 of this Privacy Policy is necessary to fulfil the purposes specified in Clause 2 and 3 of this Privacy Policy.",پوشن ابھیان ہندوستان کا ایک اہم پروگرام ہے جس کے ذریعے بچوں ، نوعمروں ، حاملہ خواتین اور دودھ پلانے والی ماؤں کے لیے ٹکنالوجی ، ایک ہدفی نقطہ نظر اور ہم آہنگی کے ذریعے غذائیت کے نتائج کو بہتر بنایا جا سکتا ہے ۔. پوشن ٹریکر پورٹل یا ایپ خواتین اور اطفال کی ترقی کی وزارت ، حکومت ہند کے زیر انتظام ہے ،اس کے بعد اسے MWCD کہا جاتا ہے ،ہمارا ہم جس میں پروگرام / مہم کے دیگر محکموں اور ڈویژنوں کا حوالہ شامل ہوگا ۔اس پالیسی میں پوشن ٹریکر پورٹل یا ایپ کے حوالہ جات میں پوشن ٹریکر یا کوئی بھی دیگر ایپس یا پورٹل شامل ہیں جو APIs/ متعلقہ سائٹس ، ایپس ، کمیونیکیشنز اور سروسز ( سروسز ) کے ذریعے پوشن ٹریکر کے ساتھ مربوط ہیں ۔ہماری رازداری کی پالیسی اس وقت لاگو ہوتی ہےجب آپ ہماری خدمات استعمال کرتے ہیں( ذیل میں بیان کیا گیا ہےاس رازداری کی پالیسی کا مقصد آپ کو یہ سمجھنے میں مدد کرنا ہے کہ ہم کون سی معلومات جمع کرتے ہیں ،ہم اسے کیوں جمع کرتے ہیں ،اور اس کا استعمال اور اشتراک کیسے کیا جاتا ہے ۔آپ کی معلومات کو جمع کرنے اور برقرار رکھنے والی ایجنسی MWCD ہے ۔. ہم آپ کی ذاتی معلومات کی حفاظت اور آپ کی رازداری کے تحفظ کے لیے پرعزم ہیں ۔سسٹم پر کوئی بھی معلومات یا ڈیٹا اکٹھا کیا جاتا ہے اور اس پر کارروائی کی جاتی ہےانفارمیشن ٹیکنالوجی ایکٹ 2000 کی دفعات کے مطابق اس کے قواعد اور دیگر قومی اور ریاستی قوانین کے ساتھ پڑھی جاتی ہے جو ذاتی ڈیٹا کی جمع اور پروسیسنگ سے متعلق ہے ۔اس رازداری کی پالیسی کو https:// poshantracker. in پر دستیاب سروس کی شرائط کے ساتھ پڑھنا ضروری ہے ۔سسٹم تک آپ کی رسائی اور استعمال اس پرائیویسی پالیسی اور سروس کی شرائط کو قبول کرنے پر مشروط ہے ۔سسٹم تک رسائی حاصل کرنے اور / یا استعمال کرکے ، آپ اس بات کی نمائندگی کرتے ہیں کہ آپ نے سروس کی شرائط اور اس پرائیویسی پالیسی کو پڑھا ، سمجھ لیا اور اس کے پابند ہیں ،اور یہ کہ آپ اپنی معلومات اور ڈیٹا کو جمع کیے جانے ، ذخیرہ کرنے اور استعمال کیے جانے والے طریقے سے قبول کرتے ہیں ۔اس رازداری کی پالیسی میں ۔آپ اس کے ذریعے تسلیم کرتے ہیں کہ اس رازداری کی پالیسی کی شق 1 میں بیان کردہ آپ کی معلومات کا مجموعہ اس رازداری کی پالیسی کی شق 2 اور 3 میں بیان کردہ مقاصد کو پورا کرنے کے لیے ضروری ہے ۔
"Swastha Balak/Balika Spardha Mission is about celebrating the health of children in India.It entails identification and awareness of health conditions and providing necessary support wherever required.Swastha Balak/Balika Spardha Portal or App is governed by Ministry of Woman and Child development, Government of India, hereinafter referred to as “our”, “us”, “we” which shall include a reference to other departments and divisions of the program/campaign.References to Swastha Balak/Balika Spardha Portal or App in this policy include Poshan Tracker or any other Apps or portals that are integrated with Poshan Tracker through APIs / related sites, apps, communications and services (“Services”) hereinafter collectively referred to as “Poshan Tracker or System.”Our Privacy Policy applies when you use our Services (described below).This Privacy Policy is meant to help you understand what information we collect, why we collect it, and how it is used and shared.The collecting and retaining agency in respect of your information is Ministry of Women and Child Development.We are committed to protecting the security of your personal information and safeguarding your privacy.Any information or data collected and processed on the System is done in accordance with the provisions of Information Technology Act, 2000 read with its Rules and other national and state laws relating to the collection and processing of personal data.This Privacy Policy is required to be read in conjunction with the Terms of Service available at https://poshantracker. in. Your access to and use of the System is conditional upon your acceptance of this Privacy Policy and the Terms of Service.By accessing and/or using the System, you represent that you have read, understood and are bound by the Terms of Service and this Privacy Policy, and that you consent to your information and data being collected, stored and used in the manner laid out in this Privacy Policy.You hereby acknowledge that the collection of your information as described in Clause 1 of this Privacy Policy is necessary to fulfil the purposes specified in Clause 2 and 3 of this Privacy Policy.","Swastha Balak/ Balika Spardha Mission is about celebrating the health of children in India. It entails identification and awareness of health conditions and providing necessary support wherever required. Swastha Balak/ Balika Spardha Portal or App is governed by Ministry of Woman and Child development, Government of India, hereinafter referred to as "" our"", "" us"", "" we"" which shall include a reference to other departments and divisions of the program/ campaign. References to Swastha Balak/ Balika Spardha Portal or App in this policy include Poshan Tracker or any other Apps or portals that are integrated with Poshan Tracker through APIs / related sites, apps, communications and services ("" Services"") hereinafter collectively referred to as "" Poshan Tracker or System."" Our Privacy Policy applies when you use our Services ( described below). This Privacy Policy is meant to help you understand what information we collect, why we collect it, and how it is used and shared. The collecting and retaining agency in respect of your information is Ministry of Women and Child Development. We are committed to protecting the security of your personal information and safeguarding your privacy. Any information or data collected and processed on the System is done in accordance with the provisions of Information Technology Act, 2000 read with its Rules and other national and state laws relating to the collection and processing of personal data. This Privacy Policy is required to be read in conjunction with the Terms of Service available at https:// poshantracker. in. Your access to and use of the System is conditional upon your acceptance of this Privacy Policy and the Terms of Service. By accessing and/ or using the System, you represent that you have read, understood and are bound by the Terms of Service and this Privacy Policy, and that you consent to your information and data being collected, stored and used in the manner laid out in this Privacy Policy. You hereby acknowledge that the collection of your information as described in Clause 1 of this Privacy Policy is necessary to fulfil the purposes specified in Clause 2 and 3 of this Privacy Policy."
How to revive your health if you are Underweight,اگر آپ کم وزن ہیں تو اپنی صحت کو کیسے زندہ کریں ۔
Please enter valid Email ID,براہ کرم درست ای میل آئی ڈی درج کریں ۔
"A healthy child is a child who is identified as Normal Child, as per WHO category, considering Age, Height and Weight of the Child.",صحت مند بچہ وہ بچہ ہوتا ہے جس کی شناخت ڈبلیو ایچ او کے زمرے کے مطابق بچے کی عمر ، قد اور وزن کی بنیاد پر کی جاتی ہے ۔
Can a beneficiary change his/her AWC?,کیا فائدہ اٹھانے والا اپنا AWC تبدیل کر سکتا ہے
Ensuring Exclusive Breastfeeding,دودھ پلانا خصوصی کو یقینی بنانا
Koppal - Karnataka,کوپل - کرناٹک
Udaipur N/P Icds,اودے پور این / پی آی سی ڈی ایس
North Garo Hills,شمالی گارو پہاڑیاں
"We use the information we have, to help verify accounts.",اکاؤنٹس کی تصدیق میں مدد کے لیے ہم اپنے پاس موجود معلومات کا استعمال کرتے ہیں ۔
The records may be used for verification of health status for the purposes of Poshan Tracker control and response.,پوشن ٹریکر کنٹرول اور رسپانس کے مقاصد کے لیے صحت کی حالت کی تصدیق کے لیے ریکارڈ کا استعمال کیا جا سکتا ہے ۔
Sant Kabir Nagar City,سنت کبیر نگر
Poshan Tracker adds new interactive feature,پوشن ٹریکر نے نیا انٹرایکٹو فیچر شامل کیا ۔
What is Swastha Balak Balika Spardha?,صحت مند لڑکا لڑکی مقابلہ کیا ہے
AWC Vaccination given in last 7 days,AWC ویکسینیشن پچھلے سات دنوں میں دی گئی ۔
Bhiwandi Nizampur Thane-[U],بھیونی نظام پور تھانے اربن
Diyungbra Icds Project.,ڈائینگورا آئی سی ڈی ایس پروجیکٹ
Scan the QR Code to Download the App,صرف اینڈروئیڈ کیلئے ایپ ڈاؤن لوڈ کرنے کیلئے اسکین کریں
Who is eligible for Hot Cooked Meal?,گرم پکا ہوا کھانے کے لیے کون اہل ہے
Kaliyaganj Additional ICDS Project,کالیا گنج اڈیشنل آئی سی ڈی ایس پروجیکٹ
Burdwan - II,بردوان - II
Chanchal - I,چنچل - I
Please Select Help Topic,براہ کرم مدد کا موضوع منتخب کریں
JOYNAGAR-II Addl ICDS PROJECT,جوائے نگر - II اڈیشنل آئی سیڈی ایس پروجیکٹ
N R Pura,این ۔آر پورا
Kanpur Nagar City 2,کان پور نگر سٹی 2
Identifying and preventing Severe Acute Malnutrition,شدید غذائی قلت کی شناخت اور روک تھام
Children who are identified as deficit on nutrition are eligible for additional food supplements.,وہ بچے جن کی نشاندہی غذائیت کی کمی کے طور پر کی گئی ہےوہ اضافی فوڈ سپلیمنٹس کے اہل ہیں ۔
Siaha ICDS Project,سیاہا آئی سی ڈی ایس پروجیکٹ
Enter Email Address,ای میل ایڈریس درج کریں ۔
Raina - II,رینا - II
Who is eligible for additional supplementary food.,کون اضافی اضافی خوراک کا اہل ہے ۔
Please Enter Name,برائے مہربانی نام درج کریں
Anganwadi Worker profile page,آنگن واڑی ورکر پروفائل پیج
Budaun - Uttar Pradesh,بڈاؤن - اتر پردیش
"Uploading of Data of Anganwadi Services Schemes in Poshan Tracker (24 May, 2021)","پوشن ٹریکر میں آنگنواڑی سروس اسکیمیں (24 مئی , 2021)"
Back to careers,روزگار کے مواقع پر واپس جائیں
Chungthang Tribal Project,چونگتھانگ ٹرائیبل پروجیکٹ
Children (3 - 6 years),بچے (3 - 6 سال )
What’s New on Poshan Tracker,پوشن ٹریکر پر نیا کیا ہے ۔
Jashpur 2 Lodam,جشپور 2 لوڈم
Children between 6 months - 3 years,6 ماہ سے 3 سال کے درمیان کے بچے
Jorethang Rural Project,جورے تھانگ رورل پروجیکٹ
Prayagraj City 1,پریاگ راج سٹی 1
KOTBHAI AT GIDDERBAHA,کوٹ بھائی ایٹ گڈرباھا
1.3. Information from third parties.,1.3. تیسرے فریق سے معلومات ۔
Preventing anemia in women,خواتین میں خون کی کمی کی روک تھام
"Ministry of Women and Child Development, Government of India, Shastri Bhawan, New Delhi",وزارت خواتین و بچوں کی ترقی ، حکومت ھند ، شاستری بھون نئی دہلی
Care of the weak newborn baby - How many weak babies are we missing?,کمزور نوزائیدہ بچے کی دیکھ بھال - ہم کتنے کمزور بچے غائب ہیں
7. CHANGES TO PRIVACY POLICY,7. رازداری کی پالیسی میں تبدیلیاں
Underweight children who received Supplementary Nutrition,کم وزن والے بچے جنہوں نے سپلیمنٹری نیوٹریشن حاصل کی ۔
Beneficiary deletion by AWW,AWW کے ذریعے فائدہ اٹھانے والے کو حذف کرنا
"You agree to defend, indemnify and hold harmless Poshan Tracker and its affiliates, its officers, directors, employees and agents, from and against any and all claims, damages, obligations, losses, liabilities, costs or debt, and expenses including but not limited to attorneys fees relating to any allegation or third-party legal proceeding to the extent arising from:Your use of and access to the Site and Service;Your violation of any term of this Agreement;Your violation of any third party right, including without limitation, any copyright, property, or privacy right; orAny claim that your User Content caused damage to a third party.This defense and indemnification obligation will survive this Agreement and your use of the Service and Website/App.",آپ کسی بھی اور تمام دعووں ، نقصانات ، ذمہ داریوں ، نقصانات ، واجبات ، اخراجات یا قرض ، اور اخراجات بشمول لیکن محدود نہیں ۔کسی بھی الزام یا فریق ثالث کی قانونی کارروائی سے متعلق اٹارنی کی فیس جس حد سے پیدا ہوتی ہے: آپ کا استعمال اور سائٹ اور سروس تک رسائی ؛ اس معاہدے کی کسی بھی مدت کی آپ کی خلاف ورزی ؛ کسی بھی فریق ثالث کے حق کی آپ کی خلاف ورزی ، بشمول بغیر کسی حد کے ، کوئی کاپی رائٹ ، جائیداد ، یا رازداری کا حق ؛ یاکوئی بھی دعوی کہ آپ کے صارف کے مواد نے فریق ثالث کو نقصان پہنچایا ہے ۔یہ دفاع اور معاوضہ کی ذمہ داری اس معاہدے اور سروس اور ویب سائٹ / ایپلی کیشن کے آپ کے استعمال سے محفوظ رہے گی ۔
SURI - II,سوری - II
ICDS (Tribal Project),آئی سی ڈی ایس ( ٹرائیبل پروجیکٹ )
Kakdwip Addl ICDS Project,کاک ڈویپ اڈیشنل آئی سی ڈی ایس پروجیکٹ
Ranir Bazar N/P,رانیر بازار این / پی
Children (0-6 months),بچے (0-6 مہینے )
Identification and care of a Weak Newborn baby,کمزور نوزائیدہ بچے کی شناخت اور دیکھ بھال
Harangajao Icds Project,ہرنگا جاؤ آئی سیڈی ایس پروجیکٹ
Sivnee Rural -1,سیونی رورل 1
AWC Vaccination given today,AWC ویکسینیشن آج دی گئی ۔
Dera Baba Nanak,ڈیرا بابا نانک
1.2. Information from use of services.,1.2. خدمات کے استعمال سے متعلق معلومات .
Take Home Ration (THR) given today,گھر لے جاؤ راشن ( ٹی ایچ آر ) آج دیا
