eng,kn
Bastar - Chhattisgarh,ಬಸ್ತರ್ - ಛತ್ತೀಸ್ಗಢ
Please select Help Topic,ದಯವಿಟ್ಟು ಸಹಾಯ ವಿಷಯವನ್ನು ಆಯ್ಕೆಮಾಡಿ
SINGUR - Addl,ಸಿಂಗೂರ್ - ಹೆಚ್ಚುವರಿ
Wasting is defined as low weight-for-height,ವೇಸ್ಟಿಂಗ್ ಅನ್ನು ಕಡಿಮೆ ತೂಕ ಮತ್ತು ಎತ್ತರದ ಅನುಪಾತ ಎಂದು ವ್ಯಾಖ್ಯಾನಿಸಲಾಗಿದೆ
Hot Cooked Meal (HCM) Given Today,ಈವತ್ತು ಕೊಟ್ಟ ಬೇಯಿಸಿದ ಬಿಸಿಯೂಟ(ಎಚ್. ಸಿ. ಎಮ್)
There are 6 categories for beneficiariesPregnant WomenLactating MotherChildren from 0 to 6 monthsChildren from 6 months to 3 yearsChildren from 3 years to 6 yearsAdolescent girls,ಫಲಾನುಭವಿಗಳಿಗೆ 6 ವಿಭಾಗಗಳಿವೆಗರ್ಭಿಣಿಯರುಹಾಲುಣಿಸುವ ತಾಯಿ0 ರಿಂದ 6 ತಿಂಗಳ ಮಗು6 ತಿಂಗಳಿಂದ 3 ವರ್ಷಗಳವರೆಗೆ ಮಕ್ಕಳು3 ವರ್ಷದಿಂದ 6 ವರ್ಷಗಳವರೆಗೆ ಮಕ್ಕಳುಹದಿಹರೆಯದ ಹುಡುಗಿಯರು
"Data Plan for Mobile Application (01 March, 2021)","ಮೊಬೈಲ್ ಆಪ್ಲಿಕೇಶನ್ ನ ಡೇಟ ಯೋಜನೆ(೦೧ ಮಾರ್ಚ್, ೨೦೨೧)"
Old  Amravati Urban,ಹಳೇ ಅಮರಾವತಿ ನಗರ
The WHO Multicentre Growth Reference Study (MGRS) was undertakenbetween 1997 and 2003 to generate new growth curves for assessing the growth and development of infants and young children around the world,WHO ಮಲ್ಟಿಸೆಂಟರ್ ಗ್ರೋತ್ ರೆಫರೆನ್ಸ್ ಸ್ಟಡಿ (MGRS) ಅನ್ನು 1997 ಮತ್ತು 2003 ರ ನಡುವೆ ವಿಶ್ವದಾದ್ಯಂತ ಶಿಶುಗಳು ಮತ್ತು ಚಿಕ್ಕ ಮಕ್ಕಳ ಬೆಳವಣಿಗೆ ಮತ್ತು ಬೆಳವಣಿಗೆಯನ್ನು ನಿರ್ಣಯಿಸಲು ಹೊಸ ಬೆಳವಣಿಗೆಯ ವಕ್ರಾಕೃತಿಗಳನ್ನು ಉತ್ಪಾದಿಸಲು ನಡೆಸಲಾಯಿತು
Garbeta - I,ಗಾರ್ಬೆಟಾ - I
How to set MPIN?,ಎಂಪಿನ್ ಅನ್ನು ಸೆಟ್ ಮಾಡುವುದು ಹೇಗೆ?
Rewa - Urban,ರೇವಾ - ನಗರ
 VIII. LIMITATIONS OF MULTI- LINGUAL INTERFACE, VIII. ಬಹುಭಾಷಾ ಇಂಟರ್ಫೇಸ್ಗಳ ಮಿತಿಗಳು
Diamond Harbour-I ICDS Project,ಡೈಮಂಡ್ ಹಾರ್ಬರ್-I ಐಸಿಡಿಎಸ್ ಯೋಜನೆ
Srijangram I. C. D. S. Project,ಸೃಜನ್ಗ್ರಾಮ್ ಐ. ಸಿ. ಡಿ. ಎಸ್. ಯೋಜನೆ
"We may investigate any violation of these Terms, including unauthorized use of the Site.",ಸೈಟ್ನ ಅನಧಿಕೃತ ಬಳಕೆ ಸೇರಿದಂತೆ ಈ ನಿಯಮಗಳ ಯಾವುದೇ ಉಲ್ಲಂಘನೆಯನ್ನು ನಾವು ತನಿಖೆ ಮಾಡಬಹುದು.
We may provide law enforcement with information you provide to us related to your transactions to assist in any investigation or prosecution of you.,ನಿಮ್ಮ ಯಾವುದೇ ತನಿಖೆ ಅಥವಾ ಕಾನೂನು ಕ್ರಮದಲ್ಲಿ ಸಹಾಯ ಮಾಡಲು ನಿಮ್ಮ ವಹಿವಾಟುಗಳಿಗೆ ಸಂಬಂಧಿಸಿದ ಮಾಹಿತಿಯನ್ನು ನಾವು ಕಾನೂನಿಗೆ ಒದಗಿಸಬಹುದು.
We may take legal action that we feel is appropriate.,ನಾವು ಸೂಕ್ತವೆನಿಸಿದ ಕಾನೂನು ಕ್ರಮ ತೆಗೆದುಕೊಳ್ಳಬಹುದು.
"If we determine that you have violated these Terms or the law, or for any other reason or for no reason, we may block your account and will prevent you from accessing the Site at any time without notice to you.","ನೀವು ಈ ನಿಯಮಗಳು ಅಥವಾ ಕಾನೂನನ್ನು ಉಲ್ಲಂಘಿಸಿದ್ದೀರಿ ಎಂದು ನಾವು ನಿರ್ಧರಿಸಿದರೆ ಅಥವಾ ಯಾವುದೇ ಕಾರಣಕ್ಕಾಗಿ ಅಥವಾ ಯಾವುದೇ ಕಾರಣವಿಲ್ಲದೆ, ನಾವು ನಿಮ್ಮ ಖಾತೆಯನ್ನು ನಿರ್ಬಂಧಿಸಬಹುದು ಮತ್ತು ಯಾವುದೇ ಸೂಚನೆಯಿಲ್ಲದೆ ಸೈಟ್ ಅನ್ನು ಪ್ರವೇಶಿಸದಂತೆ ನಿಮ್ಮನ್ನು ತಡೆಯಬಹುದು."
There are limited fields for data entry.Name is required to be entered in English language and for other fields numeric values are required.Most of the features are provided in check boxes or with drop down selection menu.Reports to be updated.,ಎಡಬ್ಲ್ಯುಡಬ್ಲ್ಯುಇಂಗ್ಲಿಷ್ ಭಾಷೆಯಲ್ಲಿ ಮಾತ್ರ ಫಾರ್ಮ್ ಭರ್ತಿ ಮಾಡಬಹುದು
P P Kamaicha,ಪಿ ಪಿ ಕಾಮೈಚಾ
Children between 3-6 Years,೩-೬ ವರ್ಷದ ನಡುವೆ ಮಕ್ಕಳು
Poshan Calculator helps to identify various health conditions of the child as per World Health Organization (WHO) standards,ವಿಶ್ವ ಆರೋಗ್ಯ ಸಂಸ್ಥೆ (WHO) ಮಾನದಂಡಗಳ ಪ್ರಕಾರ ಮಗುವಿನ ವಿವಿಧ ಆರೋಗ್ಯ ಪರಿಸ್ಥಿತಿಗಳನ್ನು ಗುರುತಿಸಲು ನ್ಯೂಟ್ರಿಷನ್ ಕ್ಯಾಲ್ಕುಲೇಟರ್ ಸಹಾಯ ಮಾಡುತ್ತದೆ
General Awareness on Mother Care,ತಾಯಿಯ ಆರೈಕೆಯ ಬಗ್ಗೆ ಸಾಮಾನ್ಯ ಅರಿವು
Mal Adl 2,ಮಾಲ್ ಹೆಚ್ಚುವರಿ 2
New Poshan Tracker App,ಹೊಸ ಪೋಶನ್ ಟ್ರ್ಯಾಕರ್ ಅಪ್ಲಿಕೇಶನ್
How to take care of weak newborn with the help of Kangaroo Mother Care,ಕಾಂಗರೂ ತಾಯಿ ಆರೈಕೆಯ ಸಹಾಯದಿಂದ ದುರ್ಬಲ ನವಜಾತ ಶಿಶುಗಳನ್ನು ಹೇಗೆ ಆರೈಕೆ ಮಾಡುವುದು
Siliguri II (U),ಸಿಲಿಗುರಿ II (U)
Old Urban Project 1,ಹಳೆ ನಗರ ಯೋಜನೆ 1
District Performance across 6 KPIs,6 ಕೆಪಿಐಗಳಲ್ಲಿ ಜಿಲ್ಲೆಯ ಕಾರ್ಯಕ್ಷಮತೆ
Kaliyaganj ICDS Project,ಕಾಲಿಯಾಗಂಜ್ ಐಸಿಡಿಎಸ್ ಯೋಜನೆ
Turbhe-Panvel Navi Mumbai,ತುರ್ಭೆ-ಪನ್ವೇಲ್ ನವಿ ಮುಂಬೈ
East Zone Rmc,ಪೂರ್ವ ವಲಯ ಆರ್. ಎಂ. ಸಿ.
Bagh Kare Khan,ಬಾಗ್ ಕರೇ ಖಾನ್
"Shenoy Nagar,Project 1","ಶೆಣೈ ನಗರ, ಯೋಜನೆ 1"
"The ASPs collecting data from Poshan Tracker and displaying to users shall be solely responsible for the correctness of such data and any liability arising out of any data so provided, shall completely rest with such third party.",ಪೋಷನ್ ಟ್ರ್ಯಾಕರ್ನಿಂದ ಡೇಟಾವನ್ನು ಸಂಗ್ರಹಿಸುವ ಮತ್ತು ಅದನ್ನು ಬಳಕೆದಾರರಿಗೆ ಪ್ರದರ್ಶಿಸುವ ASP ಅಂತಹ ಡೇಟಾದ ನಿಖರತೆಗೆ ಸಂಪೂರ್ಣವಾಗಿ ಜವಾಬ್ದಾರನಾಗಿರುತ್ತಾನೆ ಮತ್ತು ಹೀಗೆ ಒದಗಿಸಿದ ಯಾವುದೇ ಡೇಟಾದಿಂದ ಉಂಟಾಗುವ ಯಾವುದೇ ಹೊಣೆಗಾರಿಕೆಯು ಅಂತಹ ಥರ್ಡ್ ಪಾರ್ಟಿ ಜೊತೆಗೆ ಮಾತ್ರ ಇರುತ್ತದೆ.
"Any liabilities civil or criminal, arising out of any incorrect data, shall solely lie with the concerned ASP.",ಯಾವುದೇ ತಪ್ಪಾದ ದತ್ತಾಂಶದಿಂದ ಉಂಟಾಗುವ ಸಿವಿಲ್ ಅಥವಾ ಕ್ರಿಮಿನಲ್ ಹೊಣೆಗಾರಿಕೆಗಳು ಸಂಪೂರ್ಣವಾಗಿ ಸಂಬಂಧಪಟ್ಟ ASP ಯ ಬಳಿ ಇರುತ್ತವೆ.
ICDS Khadur Sahib,ಐಸಿಡಿಎಸ್ ಖಾದೂರ್ ಸಾಹಿಬ್
Poshan Tracker App is available over Google playstore https://play. google. com/store/apps/details?,ಪೋಷಣ್ ಟ್ರ್ಯಾಕರ್ ಆಪ್ಪ್ ಗೂಗ್ಲ್ ಪ್ಲೇಸ್ಟೋರ್ ನಲ್ಲಿ ಲಭ್ಯವಿದೆ https://play. google. com/store/apps/details?
 id=com. poshantracker, id=com. poshantracker
Can App be accessed without internet?,ಇಂಟರ್ನೆಟ್ ಇಲ್ಲದೆ ಈ ಆಪ್ಪ್ ಅನ್ನು ಪ್ರವೇಶಿಸಬಹುದೇ?
The Government has taken several initiatives to break the intergenerational cycle of malnutrition in children.,ಮಕ್ಕಳಲ್ಲಿ ಅಪೌಷ್ಟಿಕತೆಯ ಅಂತರಜನಕ ಚಕ್ರವನ್ನು ಮುರಿಯಲು ಸರ್ಕಾರ ಹಲವಾರು ಉಪಕ್ರಮಗಳನ್ನು ಕೈಗೊಂಡಿದೆ.
"Adopting a life-cycle approach, interventions have been designed to meet the nutritional requirement of adolescent girls and boys, pregnant women, lactating mothers and children.","ಜೀವನ ಚಕ್ರ ವಿಧಾನವನ್ನು ಅಳವಡಿಸಿಕೊಂಡು, ಹದಿಹರೆಯದ ಹುಡುಗಿಯರು ಮತ್ತು ಹುಡುಗರು, ಗರ್ಭಿಣಿಯರು, ಹಾಲುಣಿಸುವ ತಾಯಂದಿರು ಮತ್ತು ಮಕ್ಕಳ ಪೌಷ್ಠಿಕಾಂಶದ ಅಗತ್ಯವನ್ನು ಪೂರೈಸಲು ಮಧ್ಯಸ್ಥಿಕೆಗಳನ್ನು ವಿನ್ಯಾಸಗೊಳಿಸಲಾಗಿದೆ."
Dhupguri Adl 2,ಧೂಪಗುರಿ ಹೆಚ್ಚುವರಿ 2
Nalhati - II,ನಲ್ಹಾಟಿ - II
Awareness for Pregnancy in Preventing Anemia,ರಕ್ತಹೀನತೆಯನ್ನು ತಡೆಗಟ್ಟುವಲ್ಲಿ ಗರ್ಭಾವಸ್ಥೆಯ ಬಗ್ಗೆ ಜಾಗೃತಿ
Last 30 days,ಕೊನೆಯ 30 ದಿನಗಳು
"Howrah North (U) I. C. D. S. Project, Howrah","ಹೌರಾ ಉತ್ತರ (ಯು) ಐ. ಸಿ. ಡಿ. ಎಸ್. ಯೋಜನೆ, ಹೌರಾ"
Ranaghat 1 Addl,ರಾಣಾಘಾಟ್ 1 ಹೆಚ್ಚುವರಿ
Query Related to,ಸಂಬಂಧಿಸಿದ ಪ್ರಶ್ನೆಗಳು
Dhar - U,ಧರ್ - ಯು
South Garo Hills,ದಕ್ಷಿಣ ಗಾರೊ ಬೆಟ್ಟಗಳು
3. SHARING OF INFORMATION,3. ಮಾಹಿತಿಯನ್ನು ಹಂಚಿಕೊಳ್ಳುವುದು
Birth Preparedness- For Institutional and Home Delivery,ಜನನಕ್ಕಾಗಿ ಸಿದ್ದತೆ ಸಾಂಸ್ಥಿಕ ಮತ್ತು ಮನೆ ಹೆರಿಗೆಗಾಗಿ
New beneficiary addition with skip OTP option,ಸ್ಕಿಪ್ OTP ಆಯ್ಕೆಯೊಂದಿಗೆ ಹೊಸ ಫಲಾನುಭವಿ ಸೇರ್ಪಡೆ
We are now available on Video Conference,ನಾವು ಈಗ ವೀಡಿಯೊ ಕಾನ್ಫರೆನ್ಸ್ ನಲ್ಲಿ ಲಭ್ಯ
Data Plan for Mobile Application,ಮೊಬೈಲ್ ಅಪ್ಲಿಕೇಶನ್ಗಾಗಿ ಡೇಟಾ ಯೋಜನೆ
North West Delhi,ವಾಯುವ್ಯ ದೆಹಲಿ
English Bazar &amp,ಇಂಗ್ಲೀಷ್ ಬಜಾರ್ &amp
2.6. Surveys and Feedbacks.,2.6. ಸಮೀಕ್ಷೆಗಳು ಮತ್ತು ಪ್ರತಿಕ್ರಿಯೆಗಳು.
"Poshan Tracker App is meant for Aanganwadi workers, Anganwadi centers to enter beneficiaries data in the forms.","ಅಂಗನವಾಡಿ ಕಾರ್ಮಿಕರು, ಅಂಗನವಾಡಿ ಕೇಂದ್ರಗಳು ಫಲಾನುಭವಿಗಳ ಡೇಟಾವನ್ನು ನಮೂನೆಗಳಲ್ಲಿ ನಮೂದಿಸಲು ಪೋಶನ್ ಟ್ರ್ಯಾಕರ್ ಅಪ್ಲಿಕೇಶನ್ ಸ್ರಿಷ್ಟಿಸಲಾಗಿದೆ."
It is not at all developed for general public.,ಇದು ಸಾಮಾನ್ಯ ಜನರಿಗೆ ಅಭಿವೃದ್ಧಿ ಹೊಂದಿಲ್ಲ.
Get In Touch,ಸಂಪರ್ಕದಲ್ಲಿರಲು
ICDS NAUSHERA PANNUAN,ಐಸಿಡಿಎಸ್ ನೌಶೇರಾ ಪನ್ನುವಾನ್
