eng,ne
How to ensure timely initiation of complementary feeding,पूरक आहारको समयमै प्रारम्भ कसरी सुनिश्चित गर्ने
20 December 2021,20 डिसेम्बर 2021
Poshan Tracker App can only be installed in Android Phone with Android version 6.0 and above.,पोषण ट्र्याकर एप केवल एन्ड्रोइड फोनमा एन्ड्रोइड संस्करण ६.० र माथिकोसँग मात्र स्थापना गर्न सकिन्छ।
Please Enter Mobile Number,कृपया मोबाइल संख्या प्रविष्ट गर्नुहोस्
Request for Hot Cooked Meal,पकाएको तातो खानाका लागि अनुरोध गर्नुहोस्
Hasnabad ICDS Project,हसनाबाद आईसीडीएस परियोजना
RAIPUR URBAN 1,रायपुर शहरी 1
General Awareness about Growth Monitoring of Children,बालबालिकाको बृद्धि अनुगमनको बारेमा सामान्य जागरूकता
Bhind - R,भिन्द - आर
Bastar - Chhattisgarh,बस्तर - छत्तीसगढ
Please select Help Topic,कृपया मद्दत शीर्षक चयन गर्नुहोस्
SINGUR - Addl,सिंगुर - अतिरिक्त
Wasting is defined as low weight-for-height,बर्बादीलाई उचाइको लागि कम तौल भनेर परिभाषित गरिएको छ
Hot Cooked Meal (HCM) Given Today,आज दिएको खाजा(HCM) एकदम पकाउनुहोस
There are 6 categories for beneficiariesPregnant WomenLactating MotherChildren from 0 to 6 monthsChildren from 6 months to 3 yearsChildren from 3 years to 6 yearsAdolescent girls,लाभार्थीहरूको लागि 6 वर्गहरू छन्गर्भवती महिलास्तनपान गराउने आमा0 देखि 6 महिना सम्मका बालबालिका6 महिनादेखि 3 वर्षसम्मका बालबालिका3 वर्ष देखि 6 वर्ष सम्मका बालबालिकाकिशोरी केटीहरु
"Data Plan for Mobile Application (01 March, 2021)","मोबाइल अनुप्रयोगका लागि डाटा योजना (०१ मार्च, २०२१)"
Old  Amravati Urban,पुरानो अमरावती शहरी
The WHO Multicentre Growth Reference Study (MGRS) was undertakenbetween 1997 and 2003 to generate new growth curves for assessing the growth and development of infants and young children around the world,विश्वभरका शिशुहरू र साना बालबालिकाहरूको वृद्धि र विकासको मूल्याङ्कन गर्नको लागि नयाँ वृद्धि कर्भहरू सिर्जना गर्न 1997 र 2003 को बीचमा डब्ल्यूएचओ बहुकेन्द्रीय वृद्धि सन्दर्भ अध्ययन (एमजीआरएस) गरिएको थियो।
Garbeta - I,गरबेटा - I
How to set MPIN?,MPIN कसरी सेट गर्ने?
Rewa - Urban,रेवा - शहरी
 VIII. LIMITATIONS OF MULTI- LINGUAL INTERFACE, VIII. बहु-भाषिक इन्टरफेसको सीमाहरू
Diamond Harbour-I ICDS Project,डायमंड हार्बर-I आईसीडीएस परियोजना
Srijangram I. C. D. S. Project,श्रीजनग्राम आईसीडीएस परियोजना
"We may investigate any violation of these Terms, including unauthorized use of the Site.",हामी साइटको अनाधिकृत प्रयोग सहित यी सर्तहरूको कुनै पनि उल्लङ्घनको अनुसन्धान गर्न सक्छौं।
We may provide law enforcement with information you provide to us related to your transactions to assist in any investigation or prosecution of you.,हामीले कानून प्रवर्तनलाई तपाइँको कुनै पनि अनुसन्धान वा अभियोजनमा सहयोग गर्न तपाइँको लेनदेनसँग सम्बन्धित जानकारी प्रदान गर्न सक्छौं।
We may take legal action that we feel is appropriate.,हामीले उचित ठानेका कानुनी कारबाही गर्न सक्छौं।
"If we determine that you have violated these Terms or the law, or for any other reason or for no reason, we may block your account and will prevent you from accessing the Site at any time without notice to you.","यदि हामीले पत्ता लगायौं कि तपाईंले यी सर्तहरू वा कानून उल्लङ्घन गर्नुभएको छ, वा कुनै अन्य कारण वा कुनै कारण बिना, हामी तपाईंको खाता ब्लक गर्न सक्छौं र तपाईंलाई सूचना बिना कुनै पनि समयमा साइट पहुँच गर्नबाट रोक्न सक्छौं।"
There are limited fields for data entry.Name is required to be entered in English language and for other fields numeric values are required.Most of the features are provided in check boxes or with drop down selection menu.Reports to be updated.,AWW ले फाराम अंग्रेजी भाषामा मात्र भर्न सक्छन्।
P P Kamaicha,पी पी कमैचा
Children between 3-6 Years,३-६ बर्षबीचका बच्चाहरू
Poshan Calculator helps to identify various health conditions of the child as per World Health Organization (WHO) standards,पोशन क्याल्कुलेटर विश्व स्वास्थ्य संगठन (डब्लूएचओ) मापदण्ड अनुसार बच्चाको विभिन्न स्वास्थ्य अवस्थाहरूलाई मान्यता दिन मद्दत गर्दछ।
General Awareness on Mother Care,आमाको हेरचाह सम्बन्धी सामान्य जागरूकता
Mal Adl 2,माल एडीएल 2
New Poshan Tracker App,नयाँ पोशन ट्रैकर अनुप्रयोग
How to take care of weak newborn with the help of Kangaroo Mother Care,कंगारु आमाको हेरचाह सहयोगमा कमजोर नवजात शिशुको हेरचाह कसरी गर्न
Siliguri II (U),सिलगढी II (यु)
Old Urban Project 1,पुरानो सहरी परियोजना 1
District Performance across 6 KPIs,6 केपीआईहरूमा जिल्ला प्रदर्शन
Kaliyaganj ICDS Project,कालियागंज आईसीडीएस परियोजना
Turbhe-Panvel Navi Mumbai,तुर्भे-पनवेल नवी मुम्बई
East Zone Rmc,पूर्वी क्षेत्र आरएमसी
Bagh Kare Khan,बाग करे खान
"Shenoy Nagar,Project 1","शेनोय नगर, परियोजना 1"
"The ASPs collecting data from Poshan Tracker and displaying to users shall be solely responsible for the correctness of such data and any liability arising out of any data so provided, shall completely rest with such third party.",पोशन ट्रयाकरबाट डाटा सङ्कलन गर्ने र प्रयोगकर्ताहरूलाई प्रदर्शन गर्ने एएसपीहरू त्यस्ता डाटाको शुद्धताका लागि पूर्ण रूपमा जिम्मेवार हुनेछन् र यसरी उपलब्ध गराइएका कुनै पनि डाटाबाट उत्पन्न हुने दायित्व पूर्ण रूपमा त्यस्ता तेस्रो पक्षसँग रहनेछन्।
"Any liabilities civil or criminal, arising out of any incorrect data, shall solely lie with the concerned ASP.",कुनै पनि गलत डाटाबाट उत्पन्न हुने कुनै पनि दिवाणी वा फौजदारी दायित्वहरू सम्बन्धित एएसपीसँग मात्र हुनेछ।
ICDS Khadur Sahib,आईसीडीएस खदुर साहिब
Poshan Tracker App is available over Google playstore https://play. google. com/store/apps/details?,पोषण ट्र्याकर अनुप्रयोग गुगल प्लेस्टोर https://play.google.com/store/apps/details?
 id=com. poshantracker,id=com.poshantracker मा उपलब्ध छ।
Can App be accessed without internet?,के यो एप इन्टरनेटबिना पहुँच गर्न सकिन्छ?
The Government has taken several initiatives to break the intergenerational cycle of malnutrition in children.,बालबालिकाहरूमा कुपोषणको बिचको अन्तरक्रिया चक्र तोड्न सरकारले धेरै पहल गरेको छ।
"Adopting a life-cycle approach, interventions have been designed to meet the nutritional requirement of adolescent girls and boys, pregnant women, lactating mothers and children.",एक जीवन चक्र दृष्टिकोण हस्तक्षेप अपनाउने किशोर किशोरीहरू र केटाहरूलाई गर्भवती महिलालाई स्तनपान गराउने आमाहरू र बच्चाहरूको पोषण आवश्यकता पूरा गर्न डिजाइन गरिएको हो ।
Dhupguri Adl 2,धुपगुडी एडीएल 2
Nalhati - II,नलहाटी-II
Awareness for Pregnancy in Preventing Anemia,रक्तअल्पता रोक्न को लागी गर्भावस्थाको लागी जागरूकता
Last 30 days,पछिल्लो तीस दिन
"Howrah North (U) I. C. D. S. Project, Howrah","हावडा उत्तर (यु) आईसीडीएस परियोजना, हावडा"
Ranaghat 1 Addl,रानाघाट 1 अतिरिक्त
Query Related to,सम्बन्धित प्रश्न
Dhar - U,धर- यु
South Garo Hills,दक्षिण गारो हिल्स
3. SHARING OF INFORMATION,3. जानकारीको साझेदारी
Birth Preparedness- For Institutional and Home Delivery,जन्म तयारी - संस्थागत र घर वितरण को लागी
New beneficiary addition with skip OTP option,नयाँ लाभार्थी थप्दा OTP नलगाई अगाडि जान सकिने विकल्प
We are now available on Video Conference,हामी अब भिडियो कन्फरेन्समा उपलब्ध छौं
Data Plan for Mobile Application,मोबाइल अनुप्रयोगको लागि डाटा योजना
North West Delhi,उत्तर पश्चिम दिल्ली
English Bazar &amp,इंग्लिस बजार र एम्प
2.6. Surveys and Feedbacks.,2.6. सर्वेक्षण र प्रतिक्रियाहरू।
"Poshan Tracker App is meant for Aanganwadi workers, Anganwadi centers to enter beneficiaries data in the forms.","पोषण ट्रयाकर एपलाई लाभार्थीहरूको डाटा फाराममा लगाउ अंगनवाडी कार्यकर्ता, अंगनवाडी केन्द्रका लागि हो।"
It is not at all developed for general public.,यो सामान्य जनताको प्रयोगका लागि होइन।
Get In Touch,सम्पर्कमा रहनुहोस्
ICDS NAUSHERA PANNUAN,आईसीडीएस नौशेरा पन्नुआन
"Poshan Abhiyaan is India’s flagship programme to improve nutritional outcomes for children, adolescents, pregnant women and lactating mothers by leveraging technology, a targeted approach and convergence.Poshan Tracker Portal or App is governed by Ministry of Woman and Child Development, Government of India, hereinafter referred to as “MWCD”, “our”, “us”, “we” which shall include a reference to other departments and divisions of the program/campaign.References to Poshan Tracker Portal or App in this policy include Poshan Tracker or any other Apps or portals that are integrated with Poshan Tracker through APIs / related sites, apps, communications and services (“Services”) hereinafter collectively referred to as “Poshan Tracker or System.”Our Privacy Policy applies when you use our Services (described below).This Privacy Policy is meant to help you understand what information we collect, why we collect it, and how it is used and shared.The collecting and retaining agency in respect of your information is MWCD.We are committed to protecting the security of your personal information and safeguarding your privacy.Any information or data collected and processed on the System is done in accordance with the provisions of Information Technology Act, 2000 read with its Rules and other national and state laws relating to the collection and processing of personal data.This Privacy Policy is required to be read in conjunction with the Terms of Service available at https://poshantracker. in. Your access to and use of the System is conditional upon your acceptance of this Privacy Policy and the Terms of Service.By accessing and/or using the System, you represent that you have read, understood and are bound by the Terms of Service and this Privacy Policy, and that you consent to your information and data being collected, stored and used in the manner laid out in this Privacy Policy.You hereby acknowledge that the collection of your information as described in Clause 1 of this Privacy Policy is necessary to fulfil the purposes specified in Clause 2 and 3 of this Privacy Policy.","पोशन अभियान बालबालिका, किशोरकिशोरी, गर्भवती महिला र स्तनपान गराउने आमाहरूका लागि प्रविधि, लक्षित दृष्टिकोण र अभिसरणको प्रयोग गरेर पोषणसम्बन्धी परिणामहरू सुधार गर्नको लागि भारतको प्रमुख कार्यक्रम हो।पोशन ट्र्याकर पोर्टल वा एप भारत सरकारको महिला तथा बाल विकास मन्त्रालयद्वारा शासित छ, जसलाई यसपछि ""एमडब्ल्यूसीडी"", ""हाम्रो"", ""हामीलाई"", ""हामी"" भनिन्छ जसमा कार्यक्रम/अभियानका अन्य विभाग र विभागहरूको सन्दर्भ समावेश हुनेछ।यस नीतिमा रहेको पोशन ट्र्याकर पोर्टल वा एपका सन्दर्भहरूमा पोशन ट्रयाकर वा अन्य कुनै एप वा पोर्टलहरू समावेश छन् जुन एपीआईहरू/सम्बन्धित साइटहरू, एपहरू, सञ्चार र सेवाहरू (""सेवाहरू"") मार्फत पोशन ट्रयाकरसँग एकीकृत छन् र यसपछि सामूहिक रूपमा ""पोशन ट्र्याकर वा प्रणाली"" भनिन्छ।तपाईंले हाम्रा सेवाहरू प्रयोग गर्दा हाम्रो गोपनीयता नीति लागू हुन्छ (तल वर्णन गरिएको)।यो गोपनीयता नीतिले तपाईलाई हामीले कुन जानकारी सङ्कलन गर्छौं, किन सङ्कलन गर्छौं, र यसलाई कसरी प्रयोग र साझेदारी गरिन्छ भनेर बुझ्न मद्दत गर्नको लागि हो।तपाईको जानकारीको सम्बन्धमा सङ्कलन गर्ने र राख्ने एजेन्सी एमडब्ल्यूसीडी हो।हामी तपाइँको व्यक्तिगत जानकारी को सुरक्षा को रक्षा गर्न र तपाइँको गोपनीयता को रक्षा गर्न प्रतिबद्ध छ।प्रणालीमा सङ्कलन र प्रशोधन गरिएको कुनै पनि जानकारी वा डाटा सूचना प्रविधि ऐन, 2000 को नियमहरू र व्यक्तिगत डाटाको सङ्कलन र प्रशोधन सम्बन्धी अन्य राष्ट्रिय र राज्य कानूनहरूका प्रावधानहरू बमोजिम गरिन्छ।यो गोपनीयता नीति https://poshantracker.in मा उपलब्ध सेवा सर्तहरूसँग संयोजनमा पढ्न आवश्यक छ।तपाइँको पहुँच र प्रणाली को उपयोग यो गोपनीयता नीति र सेवा सर्तहरु को तपाइँको स्वीकृति मा सशर्त छ।प्रणालीमा पहुँच र/वा प्रयोग गरेर, तपाईंले सेवाका सर्तहरू र यो गोपनीयता नीतिले पढ्नुभएको, बुझ्नुभएको र बन्धनमा बाँधिएको कुरा प्रतिनिधित्व गर्नुहुन्छ, र तपाईं आफ्नो जानकारी र डेटा सङ्कलन, यस गोपनीयता नीतिमा राखिएको तरिकामा भण्डारण र प्रयोग गरिन्छ।यस गोपनीयता नीतिको खण्ड 1 मा वर्णन गरिए अनुसार तपाइँको जानकारीको संग्रह यस गोपनीयता नीतिको खण्ड 2 र 3 मा निर्दिष्ट उद्देश्यहरू पूरा गर्न आवश्यक छ भन्ने कुरा स्वीकार गर्नुहुन्छ।"
Swastha Balak/Balika Spardha Mission is about celebrating the health of children in India.,Swastha Balak/Balika Spardha Mission is about celebrating the health of children in India.
It entails identification and awareness of health conditions and providing necessary support wherever required.,It entails identification and awareness of health conditions and providing necessary support wherever required.
"Swastha Balak/Balika Spardha Portal or App is governed by Ministry of Woman and Child development, Government of India, hereinafter referred to as “our”, “us”, “we” which shall include a reference to other departments and divisions of the program/campaign.","Swastha Balak/Balika Spardha Portal or App is governed by Ministry of Woman and Child development, Government of India, hereinafter referred to as ""our"", ""us"", ""we"" which shall include a reference to other departments and divisions of the program/campaign."
"References to Swastha Balak/Balika Spardha Portal or App in this policy include Poshan Tracker or any other Apps or portals that are integrated with Poshan Tracker through APIs / related sites, apps, communications and services (“Services”) hereinafter collectively referred to as “Poshan Tracker or System.","References to Swastha Balak/Balika Spardha Portal or App in this policy include Poshan Tracker or any other Apps or portals that are integrated with Poshan Tracker through APIs / related sites, apps, communications and services (""Services"") hereinafter collectively referred to as ""Poshan Tracker or System."
”Our Privacy Policy applies when you use our Services (described below).,"""Our Privacy Policy applies when you use our Services (described below)."
"This Privacy Policy is meant to help you understand what information we collect, why we collect it, and how it is used and shared.","This Privacy Policy is meant to help you understand what information we collect, why we collect it, and how it is used and shared."
The collecting and retaining agency in respect of your information is Ministry of Women and Child Development.,The collecting and retaining agency in respect of your information is Ministry of Women and Child Development.
We are committed to protecting the security of your personal information and safeguarding your privacy.,We are committed to protecting the security of your personal information and safeguarding your privacy.
"Any information or data collected and processed on the System is done in accordance with the provisions of Information Technology Act, 2000 read with its Rules and other national and state laws relating to the collection and processing of personal data.","Any information or data collected and processed on the System is done in accordance with the provisions of Information Technology Act, 2000 read with its Rules and other national and state laws relating to the collection and processing of personal data."
This Privacy Policy is required to be read in conjunction with the Terms of Service available at https://poshantracker. in. Your access to and use of the System is conditional upon your acceptance of this Privacy Policy and the Terms of Service.,This Privacy Policy is required to be read in conjunction with the Terms of Service available at https://poshantracker. in. Your access to and use of the System is conditional upon your acceptance of this Privacy Policy and the Terms of Service.
"By accessing and/or using the System, you represent that you have read, understood and are bound by the Terms of Service and this Privacy Policy, and that you consent to your information and data being collected, stored and used in the manner laid out in this Privacy Policy.","By accessing and/or using the System, you represent that you have read, understood and are bound by the Terms of Service and this Privacy Policy, and that you consent to your information and data being collected, stored and used in the manner laid out in this Privacy Policy."
You hereby acknowledge that the collection of your information as described in Clause 1 of this Privacy Policy is necessary to fulfil the purposes specified in Clause 2 and 3 of this Privacy Policy.,You hereby acknowledge that the collection of your information as described in Clause 1 of this Privacy Policy is necessary to fulfil the purposes specified in Clause 2 and 3 of this Privacy Policy.
How to revive your health if you are Underweight,यदि तपाई कम तौल हुनुहुन्छ भने तपाईको स्वास्थ्यलाई कसरी पुनर्जीवित गर्ने
Can a beneficiary change his/her AWC?,के लाभार्थीले आफ्नो एडब्ल्यूसी परिवर्तन गर्न सक्नुहुन्छ?
Ensuring Exclusive Breastfeeding,अनन्य स्तनपान सुनिश्चित गर्दै
Koppal - Karnataka,कोप्पल - कर्णाटक
Udaipur N/P Icds,उदयपुर एन/पी आईसीडीएस
North Garo Hills,उत्तर गारो हिल्स
"We use the information we have, to help verify accounts.","हामीसँग भएको जानकारी प्रयोग गर्छौं, खाताहरू प्रमाणित गर्न मद्दत गर्न।"
The records may be used for verification of health status for the purposes of Poshan Tracker control and response.,अभिलेखहरू पोशन ट्र्याकर नियन्त्रण र प्रतिक्रियाको उद्देश्यका लागि स्वास्थ्य स्थिति प्रमाणीकरणको लागि प्रयोग गर्न सकिन्छ।
Sant Kabir Nagar City,सन्त कबीर नगर
Bhiwandi Nizampur Thane-[U],भिवांडी निजामपुर थाने- [यू]
Diyungbra Icds Project.,दियुङ्ब्रा आईसीडीएस परियोजना।
Scan the QR Code to Download the App,एन्ड्रोइडका लागि मात्र एप डाउनलोड गर्न स्क्यान गर्नुहोस्
Who is eligible for Hot Cooked Meal?,तातो पकाएको खानाको लागि को योग्य छ?
Kaliyaganj Additional ICDS Project,कालियागंज अतिरिक्त आईसीडीएस परियोजना
Burdwan - II,बर्दवान - II
Chanchal - I,चंचल - I
Please Select Help Topic,कृपया मद्दत शीर्षक चयन गर्नुहोस्
JOYNAGAR-II Addl ICDS PROJECT,जयनगर-II अतिरिक्त आईसीडीएस परियोजना
N R Pura,एनआर पुरा
Kanpur Nagar City 2,कानपुर नगर शहर 2
Identifying and preventing Severe Acute Malnutrition,गम्भीर तीव्र कुपोषणको पहिचान र रोकथाम गर्ने
Children who are identified as deficit on nutrition are eligible for additional food supplements.,पोषणमा कमीको रूपमा पहिचान गरिएका बालबालिकाहरू थप खाद्य पूरकहरूका लागि योग्य छन्।
Siaha ICDS Project,सियाहा आईसीडीएस परियोजना
Raina - II,रैना - II
Who is eligible for additional supplementary food.,थप पूरक खाना को लागी को योग्य छ।
Please Enter Name,कृपया नाम प्रविष्ट गर्नुहोस्
Anganwadi Worker profile page,आंगनवाडी कार्यकर्ताको प्रोफाइल पेज
Budaun - Uttar Pradesh,बुडाउन् - उत्तर प्रदेश
"Uploading of Data of Anganwadi Services Schemes in Poshan Tracker (24 May, 2021)","पोषण ट्रयाकरमा आगनबाडी सेवा योजनाहरूको डेटा अपलोड (२४ मे, २०२१)"
Back to careers,क्यारियरमा फर्कनुहोस्
Chungthang Tribal Project,चुङथाङ आदिवासी परियोजना
Children (3 - 6 years),बच्चाहरू (3 - 6 वर्ष)
What’s New on Poshan Tracker,पोशन ट्रयाकर मा नयाँ के छ
Jashpur 2 Lodam,जशपुर 2 लोदाम
Children between 6 months - 3 years,६ महिना - ३ बर्षबीचका बच्चाहरू
Jorethang Rural Project,जोरथाङ ग्रामीण परियोजना
Prayagraj City 1,प्रयागराज शहर 1
KOTBHAI AT GIDDERBAHA,कोटभाई एट गिद्दरबाहा
1.3. Information from third parties.,1.3. तेस्रो पक्षबाट जानकारी।
Preventing anemia in women,महिलाहरु मा रक्तअल्पता को रोकथाम
"Ministry of Women and Child Development, Government of India, Shastri Bhawan, New Delhi","महिला तथा बाल विकास मन्त्रालय, भारत सरकार, शास्त्री भवन, नयाँ दिल्ली"
Care of the weak newborn baby - How many weak babies are we missing?,कमजोर नवजात शिशुको हेरचाह - हामी कति कमजोर बच्चाहरू हराउँदै छौं?
7. CHANGES TO PRIVACY POLICY,7. गोपनीयता नीतिमा परिवर्तनहरू
Underweight children who received Supplementary Nutrition,कम तौलका बालबालिका जसले पूरक पोषण पाएका छन्
Beneficiary deletion by AWW,AWW द्वारा लाभार्थी हटाउने
"You agree to defend, indemnify and hold harmless Poshan Tracker and its affiliates, its officers, directors, employees and agents, from and against any and all claims, damages, obligations, losses, liabilities, costs or debt, and expenses including but not limited to attorneys fees relating to any allegation or third-party legal proceeding to the extent arising from:Your use of and access to the Site and Service;Your violation of any term of this Agreement;Your violation of any third party right, including without limitation, any copyright, property, or privacy right; orAny claim that your User Content caused damage to a third party.","तपाईं हानिरहित पोशन ट्र्याकर र यसका सम्बद्ध कम्पनीहरू, यसका अधिकारीहरू, निर्देशकहरू, कर्मचारीहरू र एजेन्टहरू, कुनै पनि र सबै दावीहरू, क्षतिहरू, दायित्वहरू, नोक्सानहरू, दायित्वहरू, लागतहरू वा ऋणहरू, र खर्चहरू समावेश छन् तर कुनै पनि आरोप वा तेस्रो-पक्ष कानुनी कार्यवाही सम्बन्धी अभियोक्ता शुल्कहरूमा सीमित छैन जसबाट उत्पन्न हुने हदसम्मःतपाइँको प्रयोग र साइट र सेवामा पहुँच;यस सम्झौताको कुनै पनि सर्तको तपाईंको उल्लङ्घन;तपाइँको कुनै पनि तेस्रो पक्ष अधिकारको उल्लङ्घन, बिना सीमा, कुनै पनि प्रतिलिपि अधिकार, सम्पत्ति, वा गोपनीयता अधिकार सहित; वातपाइँको प्रयोगकर्ता सामग्रीले तेस्रो पक्षलाई क्षति पुर्याएको कुनै पनि दावी।"
This defense and indemnification obligation will survive this Agreement and your use of the Service and Website/App.,यो प्रतिरक्षा र क्षतिपूर्ति दायित्व यो सम्झौता र सेवा र वेबसाइट/एप को तपाईंको प्रयोग जीवित रहनेछ।
SURI - II,सुरी - II
ICDS (Tribal Project),आईसीडीएस (आदिवासी परियोजना)
Kakdwip Addl ICDS Project,काकद्वीप अतिरिक्त आईसीडीएस परियोजना
Ranir Bazar N/P,रानीर बजार एन/पी
Children (0-6 months),बच्चाहरू (0-6 महिना)
Identification and care of a Weak Newborn baby,कमजोर नवजात शिशुको पहिचान र हेरचाह
Harangajao Icds Project,हरङजाओ आईसीडीएस परियोजना
Sivnee Rural -1,शिवनी ग्रामीण-1
Dera Baba Nanak,डेरा बाबा नानक
1.2. Information from use of services.,1.2. सेवाहरूको प्रयोगबाट जानकारी।
Please contact your respective Anganwadi Centre.,कृपया आफ्नो सम्बन्धित आंगनवाडी केन्द्रमा सम्पर्क गर्नुहोस्।
Chanchal - II,चंचल - II
State Video Conference,राज्यको भिडियो सम्मेलन
Uttar Bastar Kanker,उत्तर बस्तर कांकेर
"Jatinga Valley Icds Project, Mahur","जटिङ्गा उपत्यका आईसीडीएस परियोजना, माहुर"
Ratua - II,रतुआ - II
6m - 3y,६ महिना - ३ वर्ष
Kushi Nagar City,कुशी नगर
Take Home Ration,घरको राशन लिनुहोस्
Raina - I,रैना - I
Chandrakona - II,चन्द्रकोना - II
Mohgaon - T,मोहगाउँ - टी
12 Digit Number,12 अंकको संख्या
About Reference tables,सन्दर्भ तालिकाहरूको बारेमा
GOBARDANGA I. C. D. S PROJECT(U),गोबरडंगा आईसीडीएस परियोजना (यु)
Please fill in the form below to create a new ticket.,नयाँ टिकट सिर्जना गर्न कृपया तलको फारम भर्नुहोस्।
Anganwadi Worker will reach out to you within 48 hours.,आंगनवाडी कामदार 48 घण्टा भित्र तपाईं सम्म पुग्नेछ।
Goregaon East (U),गोरेगाउँ पूर्व (यु)
RISHRA-KONNAGAR(U) ICDS PROJECT,रिसरा-कोन्नागर (यु) आईसीडीएस परियोजना
Default language selection,पूर्वनिर्धारित भाषाको चयन
Your request is received.,तपाईंको अनुरोध प्राप्त भयो।
Please note down the ticket number for future reference.,कृपया भविष्यको सन्दर्भका लागि टिकेट नम्बर नोट गर्नुहोस्।
