eng,hi
"If we determine that you have violated these Terms or the law, or for any other reason or for no reason, we may block your account and will prevent you from accessing the Site at any time without notice to you.","यदि हम यह निर्धारित करते हैं कि आपने किसी अन्य कारण से या बिना किसी कारण के इन शर्तों या कानून का उल्लंघन किया है, तो हम आपके खाते को ब्लॉक कर सकते हैं, और आपको बिना किसी पूर्व सूचना के किसी भी समय साइट तक पहुँच को अवरुद्ध कर सकते हैं।"
There are limited fields for data entry.Name is required to be entered in English language and for other fields numeric values are required.Most of the features are provided in check boxes or with drop down selection menu.Reports to be updated.,एडब्ल्यूडब्ल्यू अंग्रेजी भाषा में ही फॉर्म भर सकता है।
P P Kamaicha,पीपी कमाइचा
Children between 3-6 Years,3-6 साल के बीच बच्चे
Poshan Calculator helps to identify various health conditions of the child as per World Health Organization (WHO) standards,विश्व स्वास्थ्य संगठन के अनुसार पोषण मापक बच्चों के विभिन्न प्रकार के स्वास्थ्य स्थितियों की पहचान करने में सहायता प्रदान करता है
General Awareness on Mother Care,मातृत्व देखभाल पर सामान्य जागरूकता
Mal Adl 2,माल अडिशनल 2
New Poshan Tracker App,नया पोषण ट्रैकर एप्प
How to take care of weak newborn with the help of Kangaroo Mother Care,कंगारु मदर केयर के साथ अपने कमजोर नवजात बच्चों की देखभाल कैसे करें
Siliguri II (U),सिलीगुडी II (यू)
Old Urban Project 1,पुरानी शहरी परियोजना 1
District Performance across 6 KPIs,6 KPI में जिला प्रदर्शन
Kaliyaganj ICDS Project,कालियागंज आईसीडीएस परियोजना
Turbhe-Panvel Navi Mumbai,तुर्भे-पनवेल नवी मुंबई
East Zone Rmc,पूर्वी क्षेत्र आरएमसी
Bagh Kare Khan,बाग करे खान
"Shenoy Nagar,Project 1","शेनॉय नगर, प्रोजेक्ट 1"
"The ASPs collecting data from Poshan Tracker and displaying to users shall be solely responsible for the correctness of such data and any liability arising out of any data so provided, shall completely rest with such third party.",पोषण ट्रैकर से डेटा एकत्र करने और उपयोगकर्ताओं को प्रदर्शित करने वाले ASPs ऐसे आँकडों की शुद्धता के लिए पूर्णतः उत्तरदायी होंगे और इस प्रकार प्रदत किसी भी डेटा से उत्पन्न होने वाली कोई भी देयता पूर्णतः तीसरे पक्ष के साथ होगी।
"Any liabilities civil or criminal, arising out of any incorrect data, shall solely lie with the concerned ASP.",किसी भी गलत आँकडे से उत्पन्न होने वाली सिविल या आपराधिक देनदारियाँ पूर्णतः संबंधित ASP के पास होंगी।
ICDS Khadur Sahib,आईसीडीएस खदुर साहिब
Poshan Tracker App is available over Google playstore https://play. google. com/store/apps/details?,पोषण ट्रैकर ऐप गूगल प्ले स्टोर  https://play.google.com/store/apps/details?
 id=com. poshantracker,id=com.poshantracker  पर उपलब्ध है।
Can App be accessed without internet?,क्या ऐप को इंटरनेट के बिना अभिगम किया जा सकता है?
The Government has taken several initiatives to break the intergenerational cycle of malnutrition in children.,बच्चों में कुपोषण के अंतरजनपदीय चक्र को तोडने के लिए सरकार ने कई पहल की हैं।
"Adopting a life-cycle approach, interventions have been designed to meet the nutritional requirement of adolescent girls and boys, pregnant women, lactating mothers and children.","जीवन-चक्र के दृष्टिकोण को अपनाते हुए, किशोर लडकियों और लडकों, गर्भवती महिलाओं, स्तनपान कराने वाली माताओं और बच्चों की पोषण संबंधी आवश्यकता को पूरा करने के लिए हस्तक्षेपों को डिजाइन किया गया है।"
Dhupguri Adl 2,धूपगुडी अडिशनल 2
Nalhati - II,नलहाटी - II
Awareness for Pregnancy in Preventing Anemia,गर्भावस्था के दौरान एनीमिया से बचाव पर जागरूकता
Last 30 days,पिछले 30 दिनों में
"Howrah North (U) I. C. D. S. Project, Howrah","हावडा उत्तर (यू) आईसीडीएस परियोजना, हावडा"
Ranaghat 1 Addl,राणाघाट 1 अडिशनल
Query Related to,से संबंधित प्रश्न
Dhar - U,धार - यू
South Garo Hills,दक्षिण गारो हिल्स
3. SHARING OF INFORMATION,3. सूचनाओं का साझाकरण
Birth Preparedness- For Institutional and Home Delivery,जन्म से पूर्व तैयारी-नैदानिकों और गृह प्रसव के संदर्भ में
New beneficiary addition with skip OTP option,स्किप ओटीपी विकल्प के साथ नई  लाभार्थी संयोजन
We are now available on Video Conference,अब हम वीडियो कॉन्फ्रेंस पर उपलब्ध हैं
Data Plan for Mobile Application,मोबाइल एप्लिकेशन के लिए डेटा प्लान
North West Delhi,उत्तर पश्चिम दिल्ली
English Bazar &amp,अंग्रेजी बाजार और एएमपी
2.6. Surveys and Feedbacks.,2.6. सर्वेक्षण और प्रतिक्रियाएँ।
"Poshan Tracker App is meant for Aanganwadi workers, Anganwadi centers to enter beneficiaries data in the forms.",पोषण ट्रैकर ऐप आंगनवाडी कार्यकर्ताओं के लिए है जो आंगनवाडी केंद्रों के लाभार्थियों के डेटा को प्रपत्रों में दर्ज करता है।
It is not at all developed for general public.,यह आम जनता के लिए बिल्कुल भी विकसित नहीं है।
Get In Touch,संपर्क में रहो
ICDS NAUSHERA PANNUAN,आईसीडीएस नौशेरा पन्नुआं
"Poshan Abhiyaan is India’s flagship programme to improve nutritional outcomes for children, adolescents, pregnant women and lactating mothers by leveraging technology, a targeted approach and convergence.Poshan Tracker Portal or App is governed by Ministry of Woman and Child Development, Government of India, hereinafter referred to as “MWCD”, “our”, “us”, “we” which shall include a reference to other departments and divisions of the program/campaign.References to Poshan Tracker Portal or App in this policy include Poshan Tracker or any other Apps or portals that are integrated with Poshan Tracker through APIs / related sites, apps, communications and services (“Services”) hereinafter collectively referred to as “Poshan Tracker or System.”Our Privacy Policy applies when you use our Services (described below).This Privacy Policy is meant to help you understand what information we collect, why we collect it, and how it is used and shared.The collecting and retaining agency in respect of your information is MWCD.We are committed to protecting the security of your personal information and safeguarding your privacy.Any information or data collected and processed on the System is done in accordance with the provisions of Information Technology Act, 2000 read with its Rules and other national and state laws relating to the collection and processing of personal data.This Privacy Policy is required to be read in conjunction with the Terms of Service available at https://poshantracker. in. Your access to and use of the System is conditional upon your acceptance of this Privacy Policy and the Terms of Service.By accessing and/or using the System, you represent that you have read, understood and are bound by the Terms of Service and this Privacy Policy, and that you consent to your information and data being collected, stored and used in the manner laid out in this Privacy Policy.You hereby acknowledge that the collection of your information as described in Clause 1 of this Privacy Policy is necessary to fulfil the purposes specified in Clause 2 and 3 of this Privacy Policy.","भारत का पोषण अभियान बच्चों, गर्भवती महिलाओं और स्तनपान कराने वाली माताओं के लिए एक लक्षित दृष्टिकोण और अभिसरण प्रौद्योगिकी का लाभ उठाकर पोषण संबंधी परिणामों में सुधार करने वाला एक प्रमुख कार्यक्रम है।पोशन ट्रैकर पोर्टल या ऐप महिला और बाल विकास मंत्रालय, भारत सरकार द्वारा शासित है, जिसे इसके बाद ""एमडब्ल्यूसीडी"", ""हमारा"", ""हमें"", ""हम"" के रूप में संदर्भित किया जाता है जिसमें अन्य विभागों और प्रभागों के कार्यक्रमों*/अभियानों का संदर्भ शामिल रहता है।इस नीति में पोशन ट्रैकर पोर्टल या ऐप के संदर्भ में पोशन ट्रैकर या कोई अन्य ऐप या पोर्टल शामिल हैं जो API / संबंधित साइट ऐप संचार और सेवाओं (""सेवाएं"") के माध्यम से पोशन ट्रैकर के साथ एकीकृतरऊप में है जिसे इसके बाद सामूहिक रूप से ""पोशन ट्रैकर या सिस्टम"" के नाम से पहचाना जाना लगा।हमारी गोपनीयता नीति आपके द्वारा उपयोग की जाने वाली सेवाओं पर आधारित होती है ( नीचे वर्णित है)।यह गोपनीयता नीति आपके सूचना एकत्र करने, इसके कारणों और उपयोग को साझा करने में सहायता प्रदान करने के लिए है।आपकी सूचना के संग्रहण को व्यवस्थित रखने वाली एजेंसी MWCD है।हम आपकी व्यक्तिगत सूचना की सुरक्षा और आपकी गोपनीयता की सुरक्षा के लिए प्रतिबद्ध हैं।इस सिस्टम पर आँकडों के संग्रहण और प्रसंस्करण से संबंधित एकत्रित और संसाधित कोई भी व्यक्तिगत सूचना या आँकडा, सूचना प्रौद्योगिकी अधिनियम 2000 के प्रावधानों के साथ-साथ राष्ट्रीय और राज्य कानूनों के नियमों पर आधारित होता है।इस गोपनीयता नीति को https://poshantracker.in पर उपलब्ध सेवा की शर्तों के आलोक में पठन करना आवश्यक है।आपकी सिस्टम तक पहुँच और उपयोग इस गोपनीयता नीति और सेवा की शर्तों की स्वीकृति के अधीन है।आपके द्वारा सिस्टम तक पहुँच प्राप्त और/या उपयोग करना इस बात की सुनिश्चिता करता है कि आप सेवा की शर्तों और इस गोपनीयता नीति के अधीन हैं, तथा इस गोपनीयता नीति में निर्धारित तरीके से संग्रहीत और उपयोग की जाने वाली सूचनाओं और आँकडों के लिए आप सहमति प्रदान करते हैं।आप एतद्द्वारा स्वीकार करते हैं कि इस गोपनीयता नीति के खंड 1 में वर्णित आपकी सूचना का संग्रहण इस गोपनीयता नीति के खंड 2 और 3 में निर्दिष्ट उद्देश्यों को पूरा करने के लिए आवश्यक है।"
Swastha Balak/Balika Spardha Mission is about celebrating the health of children in India.,Swastha Balak/Balika Spardha Mission is about celebrating the health of children in India.
It entails identification and awareness of health conditions and providing necessary support wherever required.,It entails identification and awareness of health conditions and providing necessary support wherever required.
"Swastha Balak/Balika Spardha Portal or App is governed by Ministry of Woman and Child development, Government of India, hereinafter referred to as “our”, “us”, “we” which shall include a reference to other departments and divisions of the program/campaign.","Swastha Balak/Balika Spardha Portal or App is governed by Ministry of Woman and Child development, Government of India, hereinafter referred to as ""our"", ""us"", ""we"" which shall include a reference to other departments and divisions of the program/campaign."
"References to Swastha Balak/Balika Spardha Portal or App in this policy include Poshan Tracker or any other Apps or portals that are integrated with Poshan Tracker through APIs / related sites, apps, communications and services (“Services”) hereinafter collectively referred to as “Poshan Tracker or System.","References to Swastha Balak/Balika Spardha Portal or App in this policy include Poshan Tracker or any other Apps or portals that are integrated with Poshan Tracker through APIs / related sites, apps, communications and services (""Services"") hereinafter collectively referred to as ""Poshan Tracker or System."
”Our Privacy Policy applies when you use our Services (described below).,"""Our Privacy Policy applies when you use our Services (described below)."
"This Privacy Policy is meant to help you understand what information we collect, why we collect it, and how it is used and shared.","This Privacy Policy is meant to help you understand what information we collect, why we collect it, and how it is used and shared."
The collecting and retaining agency in respect of your information is Ministry of Women and Child Development.,The collecting and retaining agency in respect of your information is Ministry of Women and Child Development.
We are committed to protecting the security of your personal information and safeguarding your privacy.,We are committed to protecting the security of your personal information and safeguarding your privacy.
"Any information or data collected and processed on the System is done in accordance with the provisions of Information Technology Act, 2000 read with its Rules and other national and state laws relating to the collection and processing of personal data.","Any information or data collected and processed on the System is done in accordance with the provisions of Information Technology Act, 2000 read with its Rules and other national and state laws relating to the collection and processing of personal data."
This Privacy Policy is required to be read in conjunction with the Terms of Service available at https://poshantracker. in. Your access to and use of the System is conditional upon your acceptance of this Privacy Policy and the Terms of Service.,This Privacy Policy is required to be read in conjunction with the Terms of Service available at https://poshantracker. in. Your access to and use of the System is conditional upon your acceptance of this Privacy Policy and the Terms of Service.
"By accessing and/or using the System, you represent that you have read, understood and are bound by the Terms of Service and this Privacy Policy, and that you consent to your information and data being collected, stored and used in the manner laid out in this Privacy Policy.","By accessing and/or using the System, you represent that you have read, understood and are bound by the Terms of Service and this Privacy Policy, and that you consent to your information and data being collected, stored and used in the manner laid out in this Privacy Policy."
You hereby acknowledge that the collection of your information as described in Clause 1 of this Privacy Policy is necessary to fulfil the purposes specified in Clause 2 and 3 of this Privacy Policy.,You hereby acknowledge that the collection of your information as described in Clause 1 of this Privacy Policy is necessary to fulfil the purposes specified in Clause 2 and 3 of this Privacy Policy.
How to revive your health if you are Underweight,"यदि आप कम वजन वाले हैं, तो अपने स्वास्थ्य को पुनर्जीवित कैसे करें"
Can a beneficiary change his/her AWC?,क्या कोई लाभार्थी अपना आँगनवाडी केंद्र परिवर्तित कर सकता है?
Ensuring Exclusive Breastfeeding,त्वरित रूप से स्तनपान को सुनिश्चित करना
Koppal - Karnataka,कोप्पल - कर्नाटक
Udaipur N/P Icds,उदयपुर एन/पी आईसीडीएस
North Garo Hills,उत्तर गारो हिल्स
"We use the information we have, to help verify accounts.",खातों को सत्यापित करने में सहायता के लिए हम अपने पास मौजूद सूचना का उपयोग करते हैं।
The records may be used for verification of health status for the purposes of Poshan Tracker control and response.,पोषण ट्रैकर नियंत्रण और प्रतिक्रिया के प्रयोजनों के लिए रिकॉर्ड का उपयोग स्वास्थ्य स्थिति के सत्यापन के लिए किया जा सकता है।
Sant Kabir Nagar City,संत कबीर नगर शहर
Bhiwandi Nizampur Thane-[U],भिवंडी निजामपुर ठाणे- [यू]
Diyungbra Icds Project.,दियुंगब्रा आईसीडीएस परियोजना।
Scan the QR Code to Download the App,ऐप डाउनलोड करने के लिए क्यूआर कोड को स्कैन करें
Who is eligible for Hot Cooked Meal?,गर्म पके हुए भोजन के लिए कौन पात्र है?
Kaliyaganj Additional ICDS Project,कालियागंज अडिशनल आईसीडीएस परियोजना
Burdwan - II,बर्दवान - II
Chanchal - I,चंचल - I
Please Select Help Topic,कृपया सहायता विषय का चयन करें
JOYNAGAR-II Addl ICDS PROJECT,जोयनगर-II अडिशनल आईसीडीएस परियोजना
N R Pura,एनआर पुरा
Kanpur Nagar City 2,कानपुर नगर शहर 2
Identifying and preventing Severe Acute Malnutrition,गंभीर कुपोषण की पहचान और बचाव
Children who are identified as deficit on nutrition are eligible for additional food supplements.,पोषण की कमी वाले बच्चों के रूप में पहचाना जाने वाले बच्चे अतिरिक्त पूरक आहार के लिए पात्र हैं।
Siaha ICDS Project,सियाहा आईसीडीएस परियोजना
Raina - II,रईना - II
Who is eligible for additional supplementary food.,अतिरिक्त पूरक भोजन के लिए कौन पात्र है।
Please Enter Name,कृपया नाम दर्ज करें
Anganwadi Worker profile page,आंगनवाडी कार्यकर्ता प्रोफाइल पेज
Budaun - Uttar Pradesh,बदायूँ - उत्तर प्रदेश
Back to careers,आजीविका मे वापसी
Chungthang Tribal Project,चुंगथांग जनजातीय परियोजना
Children (3 - 6 years),बच्चे (3 - 6 वर्ष)
What’s New on Poshan Tracker,पोषण ट्रैकर में नया क्या है
Jashpur 2 Lodam,जशपुर 2 लोदम
Children between 6 months - 3 years,6 महीने से 3 साल के बीच के बच्चे
Jorethang Rural Project,जोरेथांग ग्रामीण परियोजना
Prayagraj City 1,प्रयागराज शहर 1
KOTBHAI AT GIDDERBAHA,गिद्दरबाहा में कोटभाई
1.3. Information from third parties.,1.3. तीसरे पक्ष से प्राप्त सूचनाएँ।
Preventing anemia in women,महिलाओं का एनीमिया से बचाव
"Ministry of Women and Child Development, Government of India, Shastri Bhawan, New Delhi","महिला एवं बाल विकास मंत्रालय, भारत सरकार, शास्त्री भवन, नई दिल्ली"
Care of the weak newborn baby - How many weak babies are we missing?,कमजोर नवजात शिशु की देखभाल- हमारे द्वारा कितने कमजोर शिशुओं की अनदेखी हुई है?
7. CHANGES TO PRIVACY POLICY,7. गोपनियता नीति में परिवर्तन
Underweight children who received Supplementary Nutrition,पूरक पोषण प्राप्त करने वाले कम वजन के बच्चे
Beneficiary deletion by AWW,AWW द्वारा लाभार्थी का विलोपन
"You agree to defend, indemnify and hold harmless Poshan Tracker and its affiliates, its officers, directors, employees and agents, from and against any and all claims, damages, obligations, losses, liabilities, costs or debt, and expenses including but not limited to attorneys fees relating to any allegation or third-party legal proceeding to the extent arising from:Your use of and access to the Site and Service;Your violation of any term of this Agreement;Your violation of any third party right, including without limitation, any copyright, property, or privacy right; orAny claim that your User Content caused damage to a third party.","आप किसी भी असीमित दावों, क्षतियों, दायित्वों, हानियों, देनदारियों, लागतों या ऋणों, और खर्चों सहित हानिरहित पोशन ट्रैकर के सहयोगियों, उसके अधिकारियों, निदेशकों, कर्मचारियों और एजेंटों को किसी भी दावों के नुकसान दायित्वों, हानिकारक देनदारियों की लागत या ऋण और व्यय सहित, लेकिन किसी भी तीसरे पक्ष की वाद से उत्पन्न होने वाली कानूनी कार्यवाही संबंधित वकीलों की फीस तक सीमित नहीं हैःआपके द्वारा इस साइट और सेवा का उपयोग और एक्सेस;आपके द्वारा इस अनुबंध की किसी भी शर्त का उल्लंघन;किसी भी तीसरे पक्ष के अधिकार का उल्लंघन, बिना किसी सीमा के, कोई कॉपीराइट, संपत्ति या गोपनीयता अधिकार शामिल है; याकिसी तीसरे पक्ष को आपकी उपयोगकर्ता सामग्री द्वारा पहुँचाए गए नुकसान से संबंधित दावे को।"
This defense and indemnification obligation will survive this Agreement and your use of the Service and Website/App.,यह रक्षा और क्षतिपूर्ति दायित्व इस वेबसाइट/ऐप केअनुबंध और सेवा आपके उपयोग से बचे रहेंगे।
SURI - II,सूरी - II
ICDS (Tribal Project),आईसीडीएस (आदिवासी परियोजना)
Kakdwip Addl ICDS Project,काकद्वीप अडिशनल आईसीडीएस परियोजना
Ranir Bazar N/P,रनिर बाजार एन/पी
Children (0-6 months),बच्चे (0-6 महीने)
Identification and care of a Weak Newborn baby,कमजोर नवजात शिशु की पहचान और देखभाल
Harangajao Icds Project,हरंगाजाओ आईसीडीएस परियोजना
Sivnee Rural -1,सिवनी ग्रामीण -1
Dera Baba Nanak,डेरा बाबा नानाक
1.2. Information from use of services.,1.2. सेवाओं के उपयोग से प्राप्त सूचनाएँ।
Please contact your respective Anganwadi Centre.,"कृपया, अपने संबंधित आँगनवाडी केंद्र से संपर्क करें।"
Chanchal - II,चंचल - II
State Video Conference,राज्य वीडियो सम्मेलन
Uttar Bastar Kanker,उत्तर बस्तर कांकेर
"Jatinga Valley Icds Project, Mahur","जतिंगा वैली आईसीडीएस परियोजना, महुर"
Ratua - II,रतुआ - II
6m - 3y,6 महीने से 3 साल तक
Kushi Nagar City,कुशी नगर शहर
Take Home Ration,घर ले जाने वाला राशन
Raina - I,रईना - I
Chandrakona - II,चंद्रकोना - II
Mohgaon - T,मोहगाँव - टी
12 Digit Number,12 अंक केर संख्या
About Reference tables,संदर्भित तालिका के बारे में
GOBARDANGA I. C. D. S PROJECT(U),गोबरदंगा आईसीडीएस परियोजना (यू)
Please fill in the form below to create a new ticket.,नया टिकट बनाने के लिए कृपया नीचे दिए गए प्रपत्र को भरें।
Anganwadi Worker will reach out to you within 48 hours.,आँगनबाडी कार्यकर्ता 48 घंटे के अंदर आपसे संपर्क करेगी।
Goregaon East (U),गोरेगांव पूर्व (यू)
RISHRA-KONNAGAR(U) ICDS PROJECT,रिशरा-कोन्नागर (यू) आईसीडीएस परियोजना
Default language selection,डिफॉल्ट भाषा चयन
Your request is received.,अहाँक अनुरोध प्राप्त भेल अछि।
Please note down the ticket number for future reference.,कृपाकए भविष्यक सन्दर्भ लेल टिकट संख्या नोट करू।
Please enter Ticket Number,कृपाकए टिकट संख्या प्रविष्ट करू
We believe in building doers.,हमसभ कर्ता बनाबय मे विश्वास करैत छी।
Poshan Tracker is a project of Ministry of Women and Child Development.,पोषण ट्रैकर महिला एवं बाल विकास मंत्रालयक एकटा परियोजना अछि।
Digital India Corporation is the technical partner of MoWCD.,डिजिटल इंडिया कॉर्पोरेशन महिला एवं बाल विकास मंत्रालय (MoWCD) केँ एकटा तकनीकी भागीदार अछि।
Poshan Tracker focuses on eradication of malnutrition from India.,पोषण ट्रैकर भारत मे कुपोषणक उन्मूलन पर केंद्रित अछि।
It serves as a mechanism to monitor and improvise on the service delivery under Poshan Abhiyaan,सेवा वितरण पर निगरानी आ सुधार करबाक लेल पोषण अभियान केर अधीनस्थ ई एकटा तंत्रक रूप मे कार्य करैत अछि
Turvihal - Kannatagi,तुरविहाल - कन्नड
Anganwadi Worker Training,आंगनबाडी कार्यकर्ता प्रशिक्षण
St Thomas Mount,सेंट थॉमस माउंट
Please Select Beneficiary Category,कृपया लाभार्थी के श्रेणी का चयन करें
Purbasthali - II,पूर्बस्थली - II
3.2. Legal Disclosures.,3.2. कानूनी प्रकटीकरण।
Is poshan trackers app available over Apple I Store also?,क्या ऐप्पल आई स्टोर पर भी पोषण ट्रैक ऐप उपलब्ध है?
Number of records becoming inactive and number of records migrating from one category to another,निष्क्रिय होने वाले रिकॉर्डों  की संख्या और एक श्रेणी से दूसरी श्रेणी में जाने वाले रिकॉर्डों  की संख्या
