eng,bn
Wasting is defined as low weight-for-height,ওযেসটেডকে উচ্চতা অনুযাযী কম ওজন হিসাবে সংজ্ঞাযিত করা হয
Hot Cooked Meal (HCM) Given Today,গরম রান্না করা খাবার (এইচসিএম) আজ দেওযা হযেছে
There are 6 categories for beneficiariesPregnant WomenLactating MotherChildren from 0 to 6 monthsChildren from 6 months to 3 yearsChildren from 3 years to 6 yearsAdolescent girls,সুবিধাভোগীদের 6টি বিভাগ রযেছেগর্ভবতী মহিলাস্তন্যদানকারী মা0 থেকে 6 মাস পর্যন্ত বযসী শিশুরা6 মাস থেকে 3 বছর পর্যন্ত বযসী শিশুরা3 বছর থেকে 6 বছর পর্যন্ত বযসী শিশুরাকিশোরী মেযেরা
"Data Plan for Mobile Application (01 March, 2021)","মোবাইল অ্যাপ্লিকেশনটির জন্য ডেটা প্ল্যান (০১ মার্চ, ২০২১)"
Old  Amravati Urban,ওল্ড অমরাবতী আরবান
The WHO Multicentre Growth Reference Study (MGRS) was undertakenbetween 1997 and 2003 to generate new growth curves for assessing the growth and development of infants and young children around the world,বিশ্বজুডে সদ্যো জাত এবং শিশুদের বৃদ্ধি ও বিকাশের মূল্যাযনের জন্য নতুন বৃদ্ধি বক্ররেখা তৈরি করতে 1997 এবং 2003 এর মধ্যে WHO মাল্টিসেন্টার গ্রোথ রেফারেন্স স্টাডি (MGRS) করা হযেছিল।
Garbeta - I,গডবেতা - I
How to set MPIN?,কিভাবে MPIN সেট করবেন?
Rewa - Urban,রেওযা - আরবান
 VIII. LIMITATIONS OF MULTI- LINGUAL INTERFACE, VIII. বহুভাষিক ইন্টারফেসের সীমাবদ্ধতা
Diamond Harbour-I ICDS Project,ডাযমন্ড হারবার-I আইসিডিএস প্রকল্প
Srijangram I. C. D. S. Project,শ্রীজানগ্রাম আই. সি. ডি. এস. প্রকল্প
"We may investigate any violation of these Terms, including unauthorized use of the Site.",আমরা সাইটের অননুমোদিত ব্যবহার সহ এই শর্তাবলীর যেকোনো লঙ্ঘনের তদন্ত করতে পারি।
We may provide law enforcement with information you provide to us related to your transactions to assist in any investigation or prosecution of you.,আপনার যে কোনো তদন্ত বা বিচারে সহাযতা করার জন্য আমরা আপনার লেনদেনের সাথে সম্পর্কিত তথ্য দিযে আইন প্রযোগকারীকে প্রদান করতে পারি।
We may take legal action that we feel is appropriate.,যদি আমরা উপযুক্ত মনে না করি তাহলে আমরা আইনি পদক্ষেপ নিতে পারি।
"If we determine that you have violated these Terms or the law, or for any other reason or for no reason, we may block your account and will prevent you from accessing the Site at any time without notice to you.","যদি আমরা নির্ধারণ করি যে আপনি এই শর্তাবলী বা আইন লঙ্ঘন করেছেন, অথবা অন্য কোন কারণে বা কোন কারণ ছাডাই, আমরা আপনার অ্যাকাউন্ট ব্লক করতে পারি এবং আপনাকে বিজ্ঞপ্তি ছাডাই যেকোন সময সাইটে প্রবেশ করতে বাধা দিতে পারি।"
There are limited fields for data entry.Name is required to be entered in English language and for other fields numeric values are required.Most of the features are provided in check boxes or with drop down selection menu.Reports to be updated.,AWW শুধুমাত্র ইংরেজি ভাষায ফর্ম পূরণ করতে পারে।
P P Kamaicha,পি পি কামাইছা
Children between 3-6 Years,৩-৬ বছরের মধ্যে শিশুদের
Poshan Calculator helps to identify various health conditions of the child as per World Health Organization (WHO) standards,পোশান ক্যালকুলেটর বিশ্ব স্বাস্থ্য সংস্থার (WHO) মান অনুযাযী শিশুর বিভিন্ন স্বাস্থ্য অবস্থা সনাক্ত করতে সাহায্য করে
General Awareness on Mother Care,মাযের তত্ত্বাবধান সম্বন্ধে সাধারণ সচেতনতা
Mal Adl 2,মাল অ্যাডিশনাল 2
New Poshan Tracker App,নতুন পোশান ট্র্যাকার অ্যাপ
How to take care of weak newborn with the help of Kangaroo Mother Care,ক্যাঙ্গারু মাদার কেযারের সাহায্যে কীভাবে দুর্বল নবজাতকের যত্ন নেওযা যায
Siliguri II (U),শিলিগুডি II (ইউ)
Old Urban Project 1,পুরানো নগর প্রকল্প 1
District Performance across 6 KPIs,6 KPI জুডে জেলার পারফরম্যান্স
Kaliyaganj ICDS Project,কালিযাগঞ্জ আইসিডিএস প্রকল্প
Turbhe-Panvel Navi Mumbai,তুর্ভে-পানভেল নাভি মুম্বাই
East Zone Rmc,পূর্ব অঞ্চল আরএমসি
Bagh Kare Khan,বাগ কারে খান
"Shenoy Nagar,Project 1","শেনয নগর, প্রকল্প 1"
"The ASPs collecting data from Poshan Tracker and displaying to users shall be solely responsible for the correctness of such data and any liability arising out of any data so provided, shall completely rest with such third party.",ASP-রা পোশান ট্র্যাকার থেকে ডেটা সংগ্রহ করে এবং ব্যবহারকারীদের কাছে প্রদর্শন করে এই জাতীয ডেটার সঠিকতার জন্য সম্পূর্ণরূপে দাযী থাকবে এবং এইভাবে সরবরাহ করা কোনও ডেটা থেকে উদ্ভূত যে কোনও দায সম্পূর্ণরূপে এই জাতীয তৃতীয পক্ষের কাছে থাকবে।
"Any liabilities civil or criminal, arising out of any incorrect data, shall solely lie with the concerned ASP.","কোনো ভুল তথ্য থেকে উদ্ভূত যে কোনো দাযবদ্ধতা দেওযানি বা ফৌজদারি, শুধুমাত্র সংশ্লিষ্ট ASP-এর কাছে থাকবে।"
ICDS Khadur Sahib,আইসিডিএস খাদুর সাহেব
Poshan Tracker App is available over Google playstore https://play. google. com/store/apps/details?,পশান ট্র্যাকার অ্যাপ্লিকেশন গুগল প্লেস্টোর https://play. google. com/store/apps/details?
 id=com. poshantracker, id=com. poshantracker
Can App be accessed without internet?,ইন্টারনেট ছাডাই কি অ্যাপটি ব্যবহার করা যেতে পারে?
The Government has taken several initiatives to break the intergenerational cycle of malnutrition in children.,শিশুদের অপুষ্টির মধ্যবর্তী চক্রকে ভেঙে দেওযার জন্য সরকার বিভিন্ন উদ্যোগ গ্রহণ করেছে।
"Adopting a life-cycle approach, interventions have been designed to meet the nutritional requirement of adolescent girls and boys, pregnant women, lactating mothers and children.","জীবনচক্রের পদ্ধতির অবলম্বন করে, হস্তক্ষেপগুলি কিশোর-কিশোরী ও বালক, গর্ভবতী মহিলা, স্তন্যদানকারী মা ও শিশুদের পুষ্টির চাহিদা মেটাতে ডিজাইন করা হযেছে।"
Dhupguri Adl 2,ধুপগুডি অ্যাডিশনাল 2
Nalhati - II,নলহাটি - II
Awareness for Pregnancy in Preventing Anemia,অ্যানিমিযা প্রতিরোধে গর্ভাবস্থার জন্য সচেতনতা
Last 30 days,গত 30 দিন
"Howrah North (U) I. C. D. S. Project, Howrah","হাওডা উত্তর (ইউ) আই. সি. ডি. এস. প্রকল্প, হাওডা"
Ranaghat 1 Addl,রানাঘাট 1 অ্যাডিশনাল
Query Related to,সম্পর্কিত প্রশ্ন
Dhar - U,ধার - ইউ
South Garo Hills,দক্ষিণ গারো পাহাড
3. SHARING OF INFORMATION,3. তথ্য শেযার করা
Birth Preparedness- For Institutional and Home Delivery,জন্মের প্রস্তুতি- প্রাতিষ্ঠানিক এবং হোম ডেলিভারির জন্য
New beneficiary addition with skip OTP option,স্কিপ OTP বিকল্পের সাথে নতুন সুবিধাভোগী সংযোজন
We are now available on Video Conference,আমরা এখন ভিডিও কনফারেন্সে উপলব্ধ
Data Plan for Mobile Application,মোবাইল অ্যাপ্লিকেশনের জন্য ডেটা প্ল্যান
North West Delhi,উত্তর পশ্চিম দিল্লি
English Bazar &amp,ইংরেজী বাজার &amp
2.6. Surveys and Feedbacks.,2.6. সমীক্ষা এবং প্রতিক্রিযা।
"Poshan Tracker App is meant for Aanganwadi workers, Anganwadi centers to enter beneficiaries data in the forms.","পশান ট্র্যাকার অ্যাপ্লিকেশনটি আঙ্গানওযাদী কর্মীদের, অঙ্গনওযাডি কেন্দ্রগুলির জন্য ফর্মগুলিতে সুবিধাভোগীদের ডেটা প্রবেশের জন্য।"
It is not at all developed for general public.,এটি সাধারণ মানুষের জন্য মোটেই বিকাশযুক্ত নয।
Get In Touch,যোগাযোগ করুন
ICDS NAUSHERA PANNUAN,আইসিডিএস নওশেরা পান্নুযান
"Poshan Abhiyaan is India’s flagship programme to improve nutritional outcomes for children, adolescents, pregnant women and lactating mothers by leveraging technology, a targeted approach and convergence.Poshan Tracker Portal or App is governed by Ministry of Woman and Child Development, Government of India, hereinafter referred to as “MWCD”, “our”, “us”, “we” which shall include a reference to other departments and divisions of the program/campaign.References to Poshan Tracker Portal or App in this policy include Poshan Tracker or any other Apps or portals that are integrated with Poshan Tracker through APIs / related sites, apps, communications and services (“Services”) hereinafter collectively referred to as “Poshan Tracker or System.”Our Privacy Policy applies when you use our Services (described below).This Privacy Policy is meant to help you understand what information we collect, why we collect it, and how it is used and shared.The collecting and retaining agency in respect of your information is MWCD.We are committed to protecting the security of your personal information and safeguarding your privacy.Any information or data collected and processed on the System is done in accordance with the provisions of Information Technology Act, 2000 read with its Rules and other national and state laws relating to the collection and processing of personal data.This Privacy Policy is required to be read in conjunction with the Terms of Service available at https://poshantracker. in. Your access to and use of the System is conditional upon your acceptance of this Privacy Policy and the Terms of Service.By accessing and/or using the System, you represent that you have read, understood and are bound by the Terms of Service and this Privacy Policy, and that you consent to your information and data being collected, stored and used in the manner laid out in this Privacy Policy.You hereby acknowledge that the collection of your information as described in Clause 1 of this Privacy Policy is necessary to fulfil the purposes specified in Clause 2 and 3 of this Privacy Policy.","পোশান অভিযান হল শিশু, কিশোরী, গর্ভবতী মহিলা এবং স্তন্যদানকারী মাযেদের জন্য প্রযুক্তি, একটি লক্ষ্যযুক্ত পদ্ধতি এবং অভিন্নতার মাধ্যমে পুষ্টির ফলাফল উন্নত করার জন্য ভারতের একটি ফ্ল্যাগশিপ প্রোগ্রাম।পোশান ট্র্যাকার পোর্টাল বা অ্যাপ ভারত সরকারের মহিলা ও শিশু উন্নযন মন্ত্রক দ্বারা পরিচালিত হয, এরপরে ""MWCD"", ""আমাদের"", ""আমরা"" হিসাবে উল্লেখ করা হয যা এই প্রোগ্রাম/প্রচার-এর অন্যান্য বিভাগ এবং বিভাগের একটি রেফারেন্স অন্তর্ভুক্ত করবে।এই নীতিতে পোশান ট্র্যাকার পোর্টাল বা অ্যাপের রেফারেন্সগুলির মধ্যে রযেছে পোশান ট্র্যাকার বা অন্য কোনও অ্যাপ বা পোর্টাল যা এপিআই / সম্পর্কিত সাইট, অ্যাপস, যোগাযোগ এবং পরিষেবাদি (""পরিষেবাদি"") এর মাধ্যমে পোশান ট্র্যাকারের সাথে সংহত হয, যার পরে সম্মিলিতভাবে ""পোশান ট্র্যাকার বা সিস্টেম"" হিসাবে উল্লেখ করা হয।আপনি যখন আমাদের পরিষেবাগুলি ব্যবহার করেন তখন আমাদের গোপনীযতা নীতি প্রযোজ্য হয (নীচে বর্ণিত)।এই গোপনীযতা নীতিটি আপনাকে বুঝতে সাহায্য করবে যে আমরা কোন তথ্য সংগ্রহ করি, কেন আমরা এটি সংগ্রহ করি এবং এটি কীভাবে ব্যবহার এবং ভাগ করা হয।আপনার তথ্যের ক্ষেত্রে সংগ্রহ এবং রত্রা করার সংস্থা হল MWCD।আমরা আপনার ব্যক্তিগত তথ্যের নিরাপত্তা রক্ষা করতে এবং আপনার গোপনীযতা রক্ষা করতে প্রতিশ্রুতিবদ্ধ।সিস্টেমে সংগৃহীত এবং প্রক্রিযাকৃত যেকোন তথ্য বা ডাটা তথ্য প্রযুক্তি আইন, 2000 এর নিযমাবলী এবং ব্যক্তিগত তথ্য সংগ্রহ ও প্রক্রিযাকরণ সম্পর্কিত অন্যান্য জাতীয ও রাষ্ট্রীয আইনের বিধান অনুসারে করা হয।এই গোপনীযতা নীতিটি https://poshantracker.in-এ উপলব্ধ পরিষেবার শর্তাবলীর সাথে একযোগে পডতে হবে।সিস্টেমে আপনার অ্যাক্সেস এবং ব্যবহার এই গোপনীযতা নীতি এবং পরিষেবার শর্তাবলীর আপনার গ্রহণযোগ্যতার উপর শর্তসাপেক্ষ।সিস্টেমটি অ্যাক্সেস এবং / অথবা ব্যবহার করে, আপনি প্রতিনিধিত্ব করেন যে আপনি পরিষেবার শর্তাবলী এবং এই গোপনীযতা নীতি টি পডেছেন, বুঝতে পেরেছেন এবং আবদ্ধ রেযেছেন এবং আপনি এই গোপনীযতা নীতিতে বর্ণিত পদ্ধতিতে আপনার তথ্য এবং ডেটা সংগ্রহ, সঞ্চিত এবং ব্যবহার করতে সম্মত হন।আপনি এখানে স্বীকার করছেন যে এই গোপনীযতা নীতির ধারা 1 এ বর্ণিত অনুযাযী আপনার তথ্য সংগ্রহ এই গোপনীযতা নীতির ধারা 2 এবং 3 এ উল্লিখিত উদ্দেশ্যগুলি পূরণ করার জন্য প্রযোজনীয।"
Swastha Balak/Balika Spardha Mission is about celebrating the health of children in India.,Swastha Balak/Balika Spardha Mission is about celebrating the health of children in India.
It entails identification and awareness of health conditions and providing necessary support wherever required.,It entails identification and awareness of health conditions and providing necessary support wherever required.
"Swastha Balak/Balika Spardha Portal or App is governed by Ministry of Woman and Child development, Government of India, hereinafter referred to as “our”, “us”, “we” which shall include a reference to other departments and divisions of the program/campaign.","Swastha Balak/Balika Spardha Portal or App is governed by Ministry of Woman and Child development, Government of India, hereinafter referred to as ""our"", ""us"", ""we"" which shall include a reference to other departments and divisions of the program/campaign."
"References to Swastha Balak/Balika Spardha Portal or App in this policy include Poshan Tracker or any other Apps or portals that are integrated with Poshan Tracker through APIs / related sites, apps, communications and services (“Services”) hereinafter collectively referred to as “Poshan Tracker or System.","References to Swastha Balak/Balika Spardha Portal or App in this policy include Poshan Tracker or any other Apps or portals that are integrated with Poshan Tracker through APIs / related sites, apps, communications and services (""Services"") hereinafter collectively referred to as ""Poshan Tracker or System."
”Our Privacy Policy applies when you use our Services (described below).,"""Our Privacy Policy applies when you use our Services (described below)."
"This Privacy Policy is meant to help you understand what information we collect, why we collect it, and how it is used and shared.","This Privacy Policy is meant to help you understand what information we collect, why we collect it, and how it is used and shared."
The collecting and retaining agency in respect of your information is Ministry of Women and Child Development.,The collecting and retaining agency in respect of your information is Ministry of Women and Child Development.
We are committed to protecting the security of your personal information and safeguarding your privacy.,We are committed to protecting the security of your personal information and safeguarding your privacy.
"Any information or data collected and processed on the System is done in accordance with the provisions of Information Technology Act, 2000 read with its Rules and other national and state laws relating to the collection and processing of personal data.","Any information or data collected and processed on the System is done in accordance with the provisions of Information Technology Act, 2000 read with its Rules and other national and state laws relating to the collection and processing of personal data."
This Privacy Policy is required to be read in conjunction with the Terms of Service available at https://poshantracker. in. Your access to and use of the System is conditional upon your acceptance of this Privacy Policy and the Terms of Service.,This Privacy Policy is required to be read in conjunction with the Terms of Service available at https://poshantracker. in. Your access to and use of the System is conditional upon your acceptance of this Privacy Policy and the Terms of Service.
"By accessing and/or using the System, you represent that you have read, understood and are bound by the Terms of Service and this Privacy Policy, and that you consent to your information and data being collected, stored and used in the manner laid out in this Privacy Policy.","By accessing and/or using the System, you represent that you have read, understood and are bound by the Terms of Service and this Privacy Policy, and that you consent to your information and data being collected, stored and used in the manner laid out in this Privacy Policy."
You hereby acknowledge that the collection of your information as described in Clause 1 of this Privacy Policy is necessary to fulfil the purposes specified in Clause 2 and 3 of this Privacy Policy.,You hereby acknowledge that the collection of your information as described in Clause 1 of this Privacy Policy is necessary to fulfil the purposes specified in Clause 2 and 3 of this Privacy Policy.
How to revive your health if you are Underweight,আপনার ওজন কম হলে কীভাবে আপনার স্বাস্থ্য পুনরুজ্জীবিত করবেন
Can a beneficiary change his/her AWC?,একজন সুবিধাভোগী কি তার AWC পরিবর্তন করতে পারেন?
Ensuring Exclusive Breastfeeding,শুধুমাত্র বুকের দুধ খাওযানো নিশ্চিত করুন
Koppal - Karnataka,কোপাল - কর্ণাটক
Udaipur N/P Icds,উদযপুর এন/পি আইসিডিএস
North Garo Hills,উত্তর গারো পাহাড
"We use the information we have, to help verify accounts.",আমরা অ্যাকাউন্ট যাচাই করতে সাহায্য করার জন্য আমাদের কাছে থাকা তথ্য ব্যবহার করি।
The records may be used for verification of health status for the purposes of Poshan Tracker control and response.,রেকর্ডগুলি পোশান ট্র্যাকার নিযন্ত্রণ এবং প্রতিক্রিযার উদ্দেশ্যে স্বাস্থ্যের স্থিতি যাচাইযের জন্য ব্যবহার করা যেতে পারে।
Sant Kabir Nagar City,সন্ত কবির নগর সিটি
Bhiwandi Nizampur Thane-[U],ভিওযান্ডি নিজামপুর থানে- [ইউ]
Diyungbra Icds Project.,ডিযুংব্রা আইসিডিএস প্রকল্প।
Scan the QR Code to Download the App,অ্যাপটি ডাউনলোড করতে কিউআর কোডটি স্ক্যান করুন
Who is eligible for Hot Cooked Meal?,কারা গরম রান্না করা খাবারের জন্য যোগ্য?
Kaliyaganj Additional ICDS Project,কালিযাগঞ্জ অ্যাডিশনাল আইসিডিএস প্রকল্প
Burdwan - II,বর্ধমান - II
Chanchal - I,চাচোঁল - I
Please Select Help Topic,অনুগ্রহ করে হেল্প টপিক নির্বাচন করুন
JOYNAGAR-II Addl ICDS PROJECT,জযনগর-II অতিরিক্ত আইসিডিএস প্রকল্প
N R Pura,এন আর পুরা
Kanpur Nagar City 2,কানপুর নগর সিটি 2
Identifying and preventing Severe Acute Malnutrition,গুরুতর তীব্র অপুষ্টি সনাক্তকরণ এবং প্রতিরোধ করা
Children who are identified as deficit on nutrition are eligible for additional food supplements.,যেসব শিশুদের মধ্যে পুষ্টির ঘাটতি চিহ্নিত করা হযেছে তারা অতিরিক্ত খাদ্য সম্পূরক পাওযার যোগ্য।
Siaha ICDS Project,সিযাহা আইসিডিএস প্রকল্প
Raina - II,রাযনা - II
Who is eligible for additional supplementary food.,কারা অতিরিক্ত সম্পূরক খাদ্য পাওযার জন্য যোগ্য।
Please Enter Name,অনুগ্রহ করে নাম লিখুন
Anganwadi Worker profile page,অঙ্গনওযাডি কর্মীর প্রোফাইল পেজ
Budaun - Uttar Pradesh,বুদাউন - উত্তর প্রদেশ
"Uploading of Data of Anganwadi Services Schemes in Poshan Tracker (24 May, 2021)","পোশন ট্র্যাকারে অঙ্গনওযাডি পরিষেবা প্রকল্পের ডেটা আপলোড করা হচ্ছে (২৪ মে, ২০২১)"
Back to careers,ক্যারিযারে ফিরে যান
Chungthang Tribal Project,চুংথাং উপজাতি প্রকল্প
Children (3 - 6 years),শিশু (3 - 6 বছর)
What’s New on Poshan Tracker,পোশান ট্র্যাকারে নতুন কি আছে
Jashpur 2 Lodam,জাসপুর 2 লোডম
Children between 6 months - 3 years,৬ মাস থেকে ৩ বছরের মধ্যে শিশুদের
Jorethang Rural Project,জোরেথাং গ্রামীণ প্রকল্প
Prayagraj City 1,প্রযাগরাজ শহর 1
KOTBHAI AT GIDDERBAHA,গিদ্দারবাহায কোটভাই
1.3. Information from third parties.,1.3. তৃতীয পক্ষ থেকে তথ্য।
Preventing anemia in women,মহিলাদের মধ্যে অ্যানিমিযা প্রতিরোধ
"Ministry of Women and Child Development, Government of India, Shastri Bhawan, New Delhi","মহিলা ও শিশু উন্নযন মন্ত্রনালয, ভারত সরকার, শাস্ত্রী ভবন, নতুন দিল্লি"
Care of the weak newborn baby - How many weak babies are we missing?,দুর্বল নবজাতক শিশুর যত্ন - আমরা কতগুলি দুর্বল শিশুকে হারাচ্ছি?
7. CHANGES TO PRIVACY POLICY,7. গোপনীযতা নীতিতে পরিবর্তন
Underweight children who received Supplementary Nutrition,কম ওজনের শিশু যারা সম্পূরক পুষ্টি পেযেছে
Beneficiary deletion by AWW,এডাব্লুডাব্লু (AWW) দ্বারা সুবিধাভোগী ডিলিট করা
"You agree to defend, indemnify and hold harmless Poshan Tracker and its affiliates, its officers, directors, employees and agents, from and against any and all claims, damages, obligations, losses, liabilities, costs or debt, and expenses including but not limited to attorneys fees relating to any allegation or third-party legal proceeding to the extent arising from:Your use of and access to the Site and Service;Your violation of any term of this Agreement;Your violation of any third party right, including without limitation, any copyright, property, or privacy right; orAny claim that your User Content caused damage to a third party.","আপনি ক্ষতিহীন পোশান ট্র্যাকার এবং এর সহযোগীদের, এর কর্মকর্তা, পরিচালক, কর্মচারী এবং এজেন্টদের প্রতিরক্ষা, ক্ষতিপূরণ এবং ধরে রাখতে সম্মত হন যে কোনও এবং সমস্ত দাবি, ক্ষতি, বাধ্যবাধকতা, দায, খরচ বা ঋণ এবং খরচ সহ কিন্তু কোন অভিযোগ বা তৃতীয পক্ষের আইনি প্রক্রিযা সম্পর্কিত অ্যাটর্নি ফি এর থেকে উদ্ভূত পরিমাণে সীমাবদ্ধ নযঃআপনার সাইট এবং পরিষেবার ব্যবহার এবং অ্যাক্সেস;এই চুক্তির কোনো শর্ত যদি আপনি লঙ্ঘন করেন;সীমাবদ্ধতা ছাডা, কোনো কপিরাইট, সম্পত্তি, বা গোপনীযতার অধিকার সহ আপনার কোনো তৃতীয পক্ষের অধিকারের লঙ্ঘন; বাআপনার ব্যবহারকারীর বিষযবস্তু তৃতীয পক্ষের ক্ষতি করেছে এমন কোনো দাবি।"
This defense and indemnification obligation will survive this Agreement and your use of the Service and Website/App.,এই প্রতিরক্ষা এবং ক্ষতিপূরণের বাধ্যবাধকতা এই চুক্তি এবং আপনার পরিষেবা এবং ওযেবসাইট/অ্যাপের ব্যবহার থেকে বেঁচে থাকবে।
SURI - II,সুরি - II
ICDS (Tribal Project),আইসিডিএস (উপজাতি প্রকল্প)
Kakdwip Addl ICDS Project,কাকদ্বীপ অতিরিক্ত আইসিডিএস প্রকল্প
Ranir Bazar N/P,রানির বাজার এন/পি
Children (0-6 months),শিশু (0-6 মাস)
Identification and care of a Weak Newborn baby,একটি দুর্বল নবজাতক শিশুর সনাক্তকরণ এবং যত্ন
Harangajao Icds Project,হারঙ্গাজাও আইসিডিএস প্রকল্প
Sivnee Rural -1,সিভনি রুরাল -1
Dera Baba Nanak,ডেরা বাবা নানক
