eng,as
Poshan Tracker App can only be installed in Android Phone with Android version 6.0 and above.,পোষণ ট্ৰেকাৰ এপ কেৱল এণ্ড্ৰইড ফোনত এণ্ড্ৰইড সংস্কৰণ ৬.০ আৰু ততোধিকৰ সৈতে ইনষ্টল কৰিব পাৰি।
Please Enter Mobile Number,অনুগ্ৰহ কৰি মোবাইল নম্বৰ প্ৰদান কৰক
Request for Hot Cooked Meal,গৰম ৰন্ধা আহাৰৰ বাবে অনুৰোধ
Hasnabad ICDS Project,হাসনাবাদ আইচিডিএছ প্ৰকল্প
RAIPUR URBAN 1,ৰাযপুৰ নগৰ 1
General Awareness about Growth Monitoring of Children,শিশুসকলৰ বিকাশ পৰ্যবেক্ষণ কৰাৰ বিষযে সাধাৰণ সজাগতা
Bhind - R,ভিন্দ - আৰ
Bastar - Chhattisgarh,বস্তাৰ - চত্তীশগড
Please select Help Topic,অনুগ্ৰহ কৰি সহাযৰ বিষয বাছনি কৰক
SINGUR - Addl,সিংগুৰ - যোগল
Wasting is defined as low weight-for-height,পুষ্টিহীনতাক উচ্চতা অনুসৰি ওজন হিচাপে সংজ্ঞাযিত কৰা হয
Hot Cooked Meal (HCM) Given Today,হট কুকড মীল (এইচচিএম) আজি দিযা হয
There are 6 categories for beneficiariesPregnant WomenLactating MotherChildren from 0 to 6 monthsChildren from 6 months to 3 yearsChildren from 3 years to 6 yearsAdolescent girls,হিতাধিকাৰীসকলৰ বাবে 6 টা শ্ৰেণী থাকেগৰ্ভৱতী মহিলাস্তন্যপান কৰোৱা মহিলা0 ৰ পৰা 6 মাহৰ শিশু6 মাহৰ পৰা 3 বছৰৰ শিশু3 বছৰৰ পৰা 6 বছৰৰ শিশুকিশোৰী
"Data Plan for Mobile Application (01 March, 2021)","ম'বাইল এপ্লিকেশ্বনৰ বাবে ডাটা প্লান (০১ মাৰ্চ, ২০২১)"
Old  Amravati Urban,পুৰণি অমৰাৱতী নগৰীযা
The WHO Multicentre Growth Reference Study (MGRS) was undertakenbetween 1997 and 2003 to generate new growth curves for assessing the growth and development of infants and young children around the world,WHO মাল্টিচেন্টাৰ গ্ৰ'থ ৰেফাৰেঞ্চ ষ্টাডীযে (MGRS) সমগ্ৰ বিশ্বৰ নৱজাতক আৰু কণমানি শিশুসকলৰ বৃদ্ধি আৰু বিকাশ মূলযাযন কৰাৰ বাবে নতুন বৃদ্ধিৰ বক্ৰ ৰেখা উৎপন্ন কৰিবলৈ 1997 আৰু 2003 ৰ মাজত কৰ্মভাৰ লৈছিল।
Garbeta - I,গাৰ্বেটা - I
How to set MPIN?,কেনেকৈ স্থাপন কৰে?
Rewa - Urban,ৰেৱা - নগৰীযা
 VIII. LIMITATIONS OF MULTI- LINGUAL INTERFACE, VIII. বহু-ভাষিক ইন্টাৰফেচৰ সীমাৱদ্ধতা
Diamond Harbour-I ICDS Project,ডাযমণ্ড হাৰ্বাৰ-I আইচিডিএছ প্ৰকল্প
Srijangram I. C. D. S. Project,শ্ৰীজনগ্ৰাম আই. চি. ডি. এছ. প্ৰকল্প
"We may investigate any violation of these Terms, including unauthorized use of the Site.","আমি চাইটটোৰ অ-অনুমোদিত ব্যৱহাৰকে ধৰি, এই চৰ্তাৱলী সমূহৰ যিকোনো উলংঘনৰ তদন্ত কৰিব পাৰো।"
We may provide law enforcement with information you provide to us related to your transactions to assist in any investigation or prosecution of you.,আমি আপোনাৰ যিকোনো অনুসন্ধান বা অভিযোগ উত্থাপনত সহযোগ কৰিবলৈ আপোনাৰ লেনদেনৰে সম্পৰ্কিত আপুনি আমাক যোগান ধৰা তথ্যৰ সৈতে আইনী বলৱৎকৰণ আগবঢাব পাৰো।
We may take legal action that we feel is appropriate.,আমি আইনী ব্যৱস্থা গ্ৰহণ কৰিব পাৰো যাক আমি উপযুক্ত বুলি অনুভৱ কৰো।
"If we determine that you have violated these Terms or the law, or for any other reason or for no reason, we may block your account and will prevent you from accessing the Site at any time without notice to you.","যদি আমি নিৰ্ধাৰণ কৰো যে আপুনি কোনো আন কাৰণৰ বাবে বা কোনো কাৰণ অবিহনে এই আইনগত চৰ্তাৱলী সমূহ উলংঘন কৰিছে, আমি আপোনাৰ একাউন্ট ব্ললক কৰিব পাৰো আৰু যিকোনো সমযযত আপোনাক জাননী নিদিযাকৈ চাইটটোত প্ৰৱেশ কৰাৰ পৰা আপোনাক বিৰত কৰিব পাৰো।"
There are limited fields for data entry.Name is required to be entered in English language and for other fields numeric values are required.Most of the features are provided in check boxes or with drop down selection menu.Reports to be updated.,পোষণ ট্ৰেকত কিমান বেলেগ বেলেগ প্ৰপত্ৰ আছে।
P P Kamaicha,পি পি কামাইচা
Children between 3-6 Years,চিলড্রেন বেটোফেন ৩-৬ ইযার্স
Poshan Calculator helps to identify various health conditions of the child as per World Health Organization (WHO) standards,পোষণ কেলকুলেটৰে বিশ্ব স্বাস্থ্য সংস্থা (WHO) ৰ মতে ভিত্তি কৰি শিশুোৰ বিভিন্ন স্বাস্থ্যজনিত স্থিতি চিনাক্ত কৰাত সহায কৰে
General Awareness on Mother Care,মাতৃৰ যত্নৰ ওপৰত সাধাৰণ সজাগতা
Mal Adl 2,মাল আডল 2
New Poshan Tracker App,নতুন পোষণ ট্ৰেকাৰ এপ
How to take care of weak newborn with the help of Kangaroo Mother Care,কেংগাৰু মাডাৰ কেযাৰৰ সহাযত কেনেদৰে দূৰ্বল নৱজাতকৰ যতন লব লাগে
Siliguri II (U),শিলিগুৰি II (ইউ)
Old Urban Project 1,পুৰণি নগৰ প্ৰকল্প 1
District Performance across 6 KPIs,6 টা KPI-ত জিলাৰ প্ৰদৰ্শন
Kaliyaganj ICDS Project,কালিযাগঞ্জ আইচিডিএছ প্ৰকল্প
Turbhe-Panvel Navi Mumbai,তুৰ্ভে-পানভেল নৱী মুম্বাই
East Zone Rmc,ইষ্ট জোন আৰএমচি
Bagh Kare Khan,বাগ কৰে খান
"Shenoy Nagar,Project 1","শেনয নগৰ, প্ৰকল্প 1"
"The ASPs collecting data from Poshan Tracker and displaying to users shall be solely responsible for the correctness of such data and any liability arising out of any data so provided, shall completely rest with such third party.","ASP সমূহে পোষণ ট্ৰেকাৰৰ পৰা সংগ্ৰহ কৰা আৰু ব্যৱহাৰকসৰীসকলক প্ৰদৰ্শন কৰা ডাটা সমূহ সম্পূৰ্ণৰূপে এনে ডাটাৰ শুদ্ধতাৰ বাবে দাযবদ্ধ আৰু কোনো ডাটাৰ পৰা উদ্ভৱ হোৱা কোনো দাযবদ্ধতা, সম্পূৰ্ণ ৰূপে এনে তৃতীয পক্ষৰ ওপৰত ন্যস্ত থাকে।"
"Any liabilities civil or criminal, arising out of any incorrect data, shall solely lie with the concerned ASP.","কোনো অশুদ্ধ ডাটাৰ পৰা উদ্ভৱ হোৱা সামাজিক বা অপৰাধমূলক যিকোনো দাযবদ্ধতা, সম্পূৰ্ণৰূপে সংশ্লিষ্ট ASP ৰ সৈতে ন্যস্ত হ'ব।"
ICDS Khadur Sahib,আইচিডিএছ খাদুৰ চাহিব
Poshan Tracker App is available over Google playstore https://play. google. com/store/apps/details?,পোচন ট্ৰেকাৰ এপ্প গুগল প্লেষ্ট'ৰত উপলব্ধ https://play.google.com/store/apps/details?
 id=com. poshantracker,id=com.poshantracker।
Can App be accessed without internet?,ইণ্টাৰনেটৰ অবিহনে এপপত প্ৰৱেশ কৰিব পাৰিনে?
The Government has taken several initiatives to break the intergenerational cycle of malnutrition in children.,টি গভর্নমেন্ট হস্ তাকেঁ সেভেরাল ইনিশিযেটিভস তো ব্র্যাক টি ইন্টারগেনেরাশনাল সাইকেল অফ মালনিউট্রিশন ইন চিলড্রেন.
"Adopting a life-cycle approach, interventions have been designed to meet the nutritional requirement of adolescent girls and boys, pregnant women, lactating mothers and children.","আদপটিং এ লাইফ-সাইকেল এপ্রোচ, ইন্টারভেনশন্স হ্যাভ বিন ডিগনেড তো মেযেটি টি নিউট্রিশনাল রিকুইরেমেন্ট অফ এডোলেসেন্ট গার্লস এন্ড বযস, প্রেগন্যান্ট ওমেন, ল্যাকটেটিং মঠেরস এন্ড চিলড্রেন."
Dhupguri Adl 2,ধুপগুৰি আদল 2
Nalhati - II,নলহাটি - II
Awareness for Pregnancy in Preventing Anemia,এনিমিযাক বাধা দিযাত গৰ্ভধাৰণৰ বাবে সজাগতা
Last 30 days,যোৱা ৩০ দিন
"Howrah North (U) I. C. D. S. Project, Howrah","হাওৰা নৰ্থ (ইউ) আই. চি. ডি. এছ. প্ৰকল্প, হাওৰা"
Ranaghat 1 Addl,ৰাণাঘাট 1 এডল
Query Related to,প্ৰশ্নটো সম্পৰ্কিত হয
Dhar - U,ধৰ - ইউ
South Garo Hills,দক্ষিণ গাৰো হিলছ
3. SHARING OF INFORMATION,3. তথ্য ভাগ-বতৰা কৰা
Birth Preparedness- For Institutional and Home Delivery,জন্মৰ প্ৰস্তুতি - প্ৰতিষ্ঠান মূলক আৰু হোম ডেলিভাৰীৰ বাবে
New beneficiary addition with skip OTP option,স্কিপ OTP  বিকল্পৰ সৈতে নতুন বেনিফিচাৰীৰ সংযোজন
We are now available on Video Conference,আমি এতিযা ভিডিঅ' কনফাৰেন্সত উপলব্ধ
Data Plan for Mobile Application,মোবাইল এপ্লিকেচনৰ বাবে ডাটা প্লেন
North West Delhi,উত্তৰ পশ্চিম দিল্লী
English Bazar &amp,ইংৰাজী বজাৰ আৰু
2.6. Surveys and Feedbacks.,2.6. জৰীপ আৰু মন্তৱ্য।
"Poshan Tracker App is meant for Aanganwadi workers, Anganwadi centers to enter beneficiaries data in the forms.","পোষণ ট্ৰেকাৰ এপটো অংগনৱাডী কৰ্মীসকলৰ বাবে, অংগনৱাডী কেন্দ্ৰবোৰে প্ৰপত্ৰত হিতাধিকাৰীৰ তথ্য প্ৰৱেশ কৰাৰ বাবে।"
It is not at all developed for general public.,এইটো সাধাৰণ জনতাৰ বাবে সমূলি বিকশিত নহয।
Get In Touch,গেট ইন টাচ
ICDS NAUSHERA PANNUAN, আই. চি. ডি. এছ. নাউচাৰা পান্নুযান
"Poshan Abhiyaan is India’s flagship programme to improve nutritional outcomes for children, adolescents, pregnant women and lactating mothers by leveraging technology, a targeted approach and convergence.Poshan Tracker Portal or App is governed by Ministry of Woman and Child Development, Government of India, hereinafter referred to as “MWCD”, “our”, “us”, “we” which shall include a reference to other departments and divisions of the program/campaign.References to Poshan Tracker Portal or App in this policy include Poshan Tracker or any other Apps or portals that are integrated with Poshan Tracker through APIs / related sites, apps, communications and services (“Services”) hereinafter collectively referred to as “Poshan Tracker or System.”Our Privacy Policy applies when you use our Services (described below).This Privacy Policy is meant to help you understand what information we collect, why we collect it, and how it is used and shared.The collecting and retaining agency in respect of your information is MWCD.We are committed to protecting the security of your personal information and safeguarding your privacy.Any information or data collected and processed on the System is done in accordance with the provisions of Information Technology Act, 2000 read with its Rules and other national and state laws relating to the collection and processing of personal data.This Privacy Policy is required to be read in conjunction with the Terms of Service available at https://poshantracker. in. Your access to and use of the System is conditional upon your acceptance of this Privacy Policy and the Terms of Service.By accessing and/or using the System, you represent that you have read, understood and are bound by the Terms of Service and this Privacy Policy, and that you consent to your information and data being collected, stored and used in the manner laid out in this Privacy Policy.You hereby acknowledge that the collection of your information as described in Clause 1 of this Privacy Policy is necessary to fulfil the purposes specified in Clause 2 and 3 of this Privacy Policy.","পোষণ অভিযান হৈছে উত্তৰণ ঘটা প্ৰযুক্তি, এটা লক্ষ্য কৰি লোৱা প্ৰযাস আৰু ওচৰ চপাৰ প্ৰচেষ্টাৰ দ্বাৰা শিশু, কিশোৰ-কিশোৰী, গৰ্ভৱতী মহিলা আৰু দুগ্ধপান কৰোৱা মহিলা সকলৰ বাবে পুষ্টিগত পৰিণাম উন্নত কৰিবলৈ ভাৰতৰ প্ৰধান কাৰ্যসূচী।পোষণ ট্ৰেকাৰ পৰ্টেল বা এপ মহিলা আৰু শিশু বিকাশ মন্ত্ৰালয, ভাৰত চৰকাৰৰ দ্বাৰা পৰিচালিত হয, অতঃপৰ যাক ""MWCD"", ""আমাৰ"", ""আমাক"", ""আমি"" হিচাপে উল্লেখ কৰা হৈছে য'ত প্ৰগ্ৰাম/কেম্পেইনটোৰ আন বিভাগ আৰু খণ্ড সমূহৰ এটা উল্লেখ অন্তৰ্ভুক্ত থাকিব।এই আঁচনিত পোষণ ট্ৰেকাৰ পৰ্টেল বা এপৰ উল্লেখত পোষণ ট্ৰেকাৰ বা আন কোনো এপ বা পৰ্টেল অন্তৰ্ভুক্ত থাকিব যি API/ সম্পৰ্কিত চাইট, এপ, যোগাযোগ আৰু সেৱা সমূহৰ (""সেৱা সমূহ"") জৰিযতে একত্ৰীকৃত হয অতঃপৰ সামগ্ৰিকভাৱে ""পোষণ ট্ৰেকাৰ বা চিষ্টেম"" হিচাপে উল্লেখ কৰা হৈছে।যেতিযা আপুনি আমাৰ সেৱা সমূহ ব্যৱহাৰ কৰে আমাৰ গোপনীযতাৰ নীতি প্ৰযোগ হয (তলত ব্যাখ্যা কৰা হৈছে)।এই গোপনীযতাৰ নীতি আমি কি তথ্য সংগ্ৰহ কৰো, ইযাক কিয সংগ্ৰহ কৰো, আৰু ইযাক কেনেদৰে ব্যৱহাৰ কৰা হয আৰু ভাগ-বতৰা কৰা হয সেই বিষযে আপুনি বুজাত সহায কৰাৰ উদ্দেশ্যে ৰচিত হৈছে।আপোনাৰ তথ্যৰ বিষযে সংগ্ৰহকাৰী আৰু ধাৰণকাৰী এজেঞ্চী হৈছে MWCD।আমি আপোনাৰ ব্যক্তিগত তথ্যৰ নিৰাপত্তাক সুৰক্ষিত কৰাৰ আৰু আপোনাৰ গোপনীযতাক সুৰক্ষিত কৰি ৰাখিবলৈ দাযবদ্ধ।চিষ্টেমটোত সংগৃহীত আৰু প্ৰক্ৰিযাৰত যিকোনো তথ্য বা ডাটা তথ্য প্ৰযুক্তি আইন, 2000 ৰ সুবিধা অনুযাযী ব্যক্তিগত তথ্যৰ সংগ্ৰহ আৰু প্ৰক্ৰিযাকৰণেৰে সম্পৰ্কিত ইযাৰ নীতি আৰু আন ৰাষ্ট্ৰীয আৰু ৰাজ্যিক আইনেৰে পঢা হয।গোপনীযতাৰ নীতি সমূহ https://poshantracker.in ত উপলব্ধ সেৱাৰ চৰ্তাৱলী সমূহৰ সৈতে সংযোগ কৰি পঢিব লাগে।এই গোপনীযতাৰ নীতি আৰু সেৱাৰ চৰ্তাৱলী সমূহ আপুনি গ্ৰহণ কৰাৰ ওপৰত চিষ্টেমটোত আপোনাৰ প্ৰৱেশাধিকাৰ আৰু ব্যৱহাৰ চৰ্তসাপেক্ষ।চিষ্টেমটোৰ প্ৰৱেশাধিকাৰ লাভ আৰু/ বা ব্যৱহাৰৰ দ্বাৰা, আপুনি উপস্থাপন কৰিছে যে আপুনি সেৱাৰ চৰ্তাৱলী সমূহ আৰু এই গোপনীযতাৰ নীতি সমূহ পঢিছে, বুজিছে আৰু চুক্তিবদ্ধ হৈছে, আৰু এই গোপনীযতাৰ নীতিত থকা অনুসৰি সংগ্ৰহ, জমা আৰু ব্যৱহাৰ কৰা আপোনাৰ তথ্য আৰু ডাটাৰ প্ৰতি আপুনি সন্মত।আপুনি এনেদৰে মানি লৈছে যে এই গোপনীযতাৰ নীতিৰ দফা 1 ত ব্যাখ্যা কৰা হিচাপে আপোনাৰ তথ্য সমূহৰ সংগ্ৰহ এই গোপনীযতাৰ নীতিৰ দফা 2 আৰু 3 ত উল্লেখ কৰা উদ্দেশ্য সমূহ পূৰ কৰাৰ বাবে প্ৰযোজনীয।"
Swastha Balak/Balika Spardha Mission is about celebrating the health of children in India.,Swastha Balak/Balika Spardha Mission is about celebrating the health of children in India.
It entails identification and awareness of health conditions and providing necessary support wherever required.,It entails identification and awareness of health conditions and providing necessary support wherever required.
"Swastha Balak/Balika Spardha Portal or App is governed by Ministry of Woman and Child development, Government of India, hereinafter referred to as “our”, “us”, “we” which shall include a reference to other departments and divisions of the program/campaign.","Swastha Balak/Balika Spardha Portal or App is governed by Ministry of Woman and Child development, Government of India, hereinafter referred to as ""our"", ""us"", ""we"" which shall include a reference to other departments and divisions of the program/campaign."
"References to Swastha Balak/Balika Spardha Portal or App in this policy include Poshan Tracker or any other Apps or portals that are integrated with Poshan Tracker through APIs / related sites, apps, communications and services (“Services”) hereinafter collectively referred to as “Poshan Tracker or System.","References to Swastha Balak/Balika Spardha Portal or App in this policy include Poshan Tracker or any other Apps or portals that are integrated with Poshan Tracker through APIs / related sites, apps, communications and services (""Services"") hereinafter collectively referred to as ""Poshan Tracker or System."
”Our Privacy Policy applies when you use our Services (described below).,"""Our Privacy Policy applies when you use our Services (described below)."
"This Privacy Policy is meant to help you understand what information we collect, why we collect it, and how it is used and shared.","This Privacy Policy is meant to help you understand what information we collect, why we collect it, and how it is used and shared."
The collecting and retaining agency in respect of your information is Ministry of Women and Child Development.,The collecting and retaining agency in respect of your information is Ministry of Women and Child Development.
We are committed to protecting the security of your personal information and safeguarding your privacy.,We are committed to protecting the security of your personal information and safeguarding your privacy.
"Any information or data collected and processed on the System is done in accordance with the provisions of Information Technology Act, 2000 read with its Rules and other national and state laws relating to the collection and processing of personal data.","Any information or data collected and processed on the System is done in accordance with the provisions of Information Technology Act, 2000 read with its Rules and other national and state laws relating to the collection and processing of personal data."
This Privacy Policy is required to be read in conjunction with the Terms of Service available at https://poshantracker. in. Your access to and use of the System is conditional upon your acceptance of this Privacy Policy and the Terms of Service.,This Privacy Policy is required to be read in conjunction with the Terms of Service available at https://poshantracker. in. Your access to and use of the System is conditional upon your acceptance of this Privacy Policy and the Terms of Service.
"By accessing and/or using the System, you represent that you have read, understood and are bound by the Terms of Service and this Privacy Policy, and that you consent to your information and data being collected, stored and used in the manner laid out in this Privacy Policy.","By accessing and/or using the System, you represent that you have read, understood and are bound by the Terms of Service and this Privacy Policy, and that you consent to your information and data being collected, stored and used in the manner laid out in this Privacy Policy."
You hereby acknowledge that the collection of your information as described in Clause 1 of this Privacy Policy is necessary to fulfil the purposes specified in Clause 2 and 3 of this Privacy Policy.,You hereby acknowledge that the collection of your information as described in Clause 1 of this Privacy Policy is necessary to fulfil the purposes specified in Clause 2 and 3 of this Privacy Policy.
How to revive your health if you are Underweight,যদি আপুনি কম ওজনৰ আপোনাৰ স্বাস্থ্য কেনেদৰে পুনৰুদ্ধাৰ কৰিব
Can a beneficiary change his/her AWC?,এগৰাকী হিতাধিকাৰীযে তেওঁৰ AWC সলনি কৰিব পাৰে নে?
Ensuring Exclusive Breastfeeding,অনন্য স্তন্যপান নিশ্চিত কৰা
Koppal - Karnataka,কম্পাল - কৰ্ণাটক
Udaipur N/P Icds,উদযপুৰ এন/পি আইচিডি
North Garo Hills,উত্তৰ গাৰো হিলছ
"We use the information we have, to help verify accounts.","আমি একাউন্ট সমূহ সত্যাপন কৰাত সহায কৰিবলৈ, আমাৰ ওচৰত থকা তথ্য সমূহ ব্যৱহাৰ কৰো।"
The records may be used for verification of health status for the purposes of Poshan Tracker control and response.,ৰেকৰ্ড সমূহ পোষণ ট্ৰেকাৰ নিযন্ত্ৰণ আৰু সঁহাৰিৰ উদ্দেশ্যে স্বাস্থ্যৰ স্থিতি সত্যাপন কৰিবলৈ ব্যৱহাৰ কৰা হ'ব পাৰে।
Sant Kabir Nagar City,সন্ত কবীৰ নগৰ চহৰ
Bhiwandi Nizampur Thane-[U],ভিৱান্দি নিজামপুৰ থানে-[ইউ]
Diyungbra Icds Project.,দিযুংব্ৰা আইচডিএছ প্ৰকল্প।
Scan the QR Code to Download the App,এপ্পটো ডাউনলোড কৰিবলৈ কিউআৰ কোড স্কেন কৰক
Who is eligible for Hot Cooked Meal?,হ'ট কুকড মীলৰ বাবে কোন যোগ্য?
Kaliyaganj Additional ICDS Project,কালিযাগঞ্জ অতিৰিক্ত আইচিডিএছ প্ৰকল্প
Burdwan - II,বৰ্ধমান - II
Chanchal - I,চঞ্চল - I
Please Select Help Topic,অনুগ্ৰহ কৰি সহাযৰ বিষয বাচনি কৰক
JOYNAGAR-II Addl ICDS PROJECT,জযনগৰ-II এডল আইচিডিএছ প্ৰকল্প
N R Pura,এন আৰ পুৰা
Kanpur Nagar City 2,কানপুৰ নগৰ চহৰ 2
Identifying and preventing Severe Acute Malnutrition,জটিল তীব্ৰ বিষমপুষ্টি চিনাক্ত কৰা আৰু বাধা দিযা
Children who are identified as deficit on nutrition are eligible for additional food supplements.,শিশু সকল যি পুষ্টিৰ অভাৱত ভোগা বুলি চিনাক্ত হৈছে তেওঁলোক অতিৰিক্ত খাদ্যৰ পৰিপূৰকৰ বাবে যোগ্য।
Siaha ICDS Project,চিযাহ আইচিডিএছ প্ৰকল্প
Raina - II,ৰাইনা - II
Who is eligible for additional supplementary food.,অতিৰিক্ত পৰিপূৰক খাদ্যৰ বাবে কোন যোগ্য।
Please Enter Name,অনুগ্ৰহ কৰি নাম প্ৰদান কৰক
Anganwadi Worker profile page,অংগনৱাডী কৰ্মী প্ৰ'ফাইল পৃষ্ঠা
Budaun - Uttar Pradesh,বাদাউন - উত্তৰ প্ৰদেশ
"Uploading of Data of Anganwadi Services Schemes in Poshan Tracker (24 May, 2021)","পোষাণ ট্ৰেকাৰত অংগনৱাডী সেৱা আঁচনিৰ তথ্য আপলোড কৰা ( ২৪ মে, ২০২১)"
Back to careers,কেৰিযাৰলৈ ঘূৰি যাওক
Chungthang Tribal Project,চুংথাং জনজাতীয প্ৰকল্প
Children (3 - 6 years),শিশু (3 - 6 বছৰ)
What’s New on Poshan Tracker,পোষণ ট্ৰেকাৰত নতুন কি উপলব্ধ
Jashpur 2 Lodam,জশপুৰ 2 লোদাম
Children between 6 months - 3 years,চিলড্রেন বেটোফেন ৬ মাস-৩ ইযার্স
Jorethang Rural Project,জোৰেথাং গ্ৰাম্য প্ৰকল্প
Prayagraj City 1,প্ৰযাগৰাজ চহৰ 1
KOTBHAI AT GIDDERBAHA,গিড্ডাৰবাহাত কোটভাই
1.3. Information from third parties.,1.3. তৃতীয পক্ষৰ পৰা তথ্য।
