eng,bn,indic_trans_translated
It usually occurs when a person has not had food of adequate quality and quantity and/or they have had frequent or prolonged illnesses,এটি সাধারণত তখনই ঘটে যখন একজন ব্যক্তি পর্যাপ্ত মানের এবং পরিমাণে খাবার না পায এবং/অথবা সে ঘন ঘন অসুস্থ হযে পরে বা দীর্ঘস্থাযী অসুস্থতা থাকে,It usually occurs when a person does not have adequate quality and / or quantity of food and / or falls ill frequently or has a chronic illness
"Poshan Abhiyaan is India’s flagship programme to improve nutritional outcomes for children, adolescents, pregnant women and lactating mothers by leveraging technology, a targeted approach and convergence.","পশান অভিযান হ'ল শিশু, কিশোর, গর্ভবতীদের পুষ্টির ফলাফল উন্নত করার জন্য ভারতের এক নিজস্ব কর্মসূচি।","POSHAN Abhiyaan is India's own programme to improve the nutritional outcomes of children, adolescents and pregnant women."
Hot Cooked Meal (HCM) given in last 30 days,গত ৩০ দিনের মধ্যে দেওযা গরম রান্না করা খাবার (এইচসিএম),Hot cooked meals (HCM) during last 30 days
Uploading of Data of Anganwadi Services Schemes in Poshan Tracker,পোশান ট্র্যাকারে অঙ্গনওযাডি পরিষেবা প্রকল্পের ডেটা আপলোড করা,Uploading of Anganwadi Services Scheme data in Poshan Tracker
The Poshan Tracker generates automated alerts to the critical last-mile beneficiaries.,পোশান ট্র্যাকার শেষ-মাইলের গুরুত্বপূর্ণ সুবিধাভোগীদের জন্য স্বযংক্রিয অ্যালার্ট তৈরী করে।,Poshan Tracker generates automated alerts for the important beneficiaries of the last-mile.
It also ensures efficient audit of the delivery system by documenting real time attendance of beneficiaries and duty bearers.,এটি সুবিধাভোগী এবং দাযিত্ব বহনকারীদের রিযেল-টাইম উপস্থিতি নথিভুক্ত করে বিতরণ ব্যবস্থার একটি দক্ষ নিরীক্ষা নিশ্চিত করে।,This ensures an efficient audit of the distribution system by recording the real-time presence of the beneficiaries and the liabilities.
"This management information system will help the nutrition programme to scale efficiently, thereby generating and documenting positive impact","এই ম্যানেজমেন্ট ইনফরমেশন সিস্টেম পুষ্টি প্রোগ্রামকে দক্ষতার সাথে মাপতে সাহায্য করবে, যার ফলে একটি ইতিবাচক প্রভাব তৈরি এবং নথিভুক্ত করবে","This Management Information System will help to efficiently measure the nutrition programme, thereby creating and documenting a positive impact"
How can one Download Poshan Tracker App?,কীভাবে একজন পশান ট্র্যাকার অ্যাপ্লিকেশন ডাউনলোড করতে পারেন?,How can one download the Passion Tracker App?
"Clarification regarding Cost of Smart phones (03 June, 2021)","স্মার্ট ফোনের দাম সম্পর্কে ব্যাখ্যা (০৩ জুন, ২০২১)","Clarification regarding Price of Smartphones (June 03, 2021)"
along with status update once resolved,স্ট্যাটাস আপডেট সহ একবার সমাধান করা হযে গেছে,Resolved once with status update
"The Poshan Tracker system is regularly audited by auditors engaged by MWCD, for security and scalability of the system.",সিস্টেমের নিরাপত্তা এবং মাপযোগ্যতার জন্য MWCD দ্বারা নিযুক্ত অডিটরদের দ্বারা পোশান ট্র্যাকার সিস্টেমটি নিযমিতভাবে নিরীক্ষিত হয।,The Poshan Tracker System is regularly monitored by auditors appointed by MWCD for security and scalability of the system.
The records may be used for such audits.,এই ধরনের নিরীক্ষার জন্য রেকর্ড ব্যবহার করা যেতে পারে।,Records can be used for such audits.
Poshan Tracker adds new Resources on Website,পোশান ট্র্যাকার ওযেবসাইট বৈশিষ্ট্যে নতুন সংস্থান যোগ করে,Adding New Resources to Poshan Tracker and Website Features
"Technology under Poshan Tracker is being leveraged for dynamic identification of stunting, wasting, under-weight prevalence among children and last mile tracking of nutrition service delivery","পোশান ট্র্যাকারের অধীনে প্রযুক্তিটি বৃদ্ধিতে বাধা, অপুষ্টি, শিশুদের মধ্যে কম ওজনের প্রাদুর্ভাব এবং পুষ্টি পরিষেবা সরবরাহের শেষ মাইল ট্র্যাকিংযের গতিশীল সনাক্তকরণের জন্য ব্যবহার করা হচ্ছে","Technology under Poshan Tracker is being used for dynamic identification of stunting, under-nutrition, low birth weight prevalence among children and last mile tracking of nutrition service delivery"
The System also takes feedback about system performance and experience.,সিস্টেমটি সিস্টেমের কর্মক্ষমতা এবং অভিজ্ঞতা সম্পর্কে মতামত নেয।,The system seeks feedback about the performance and experience of the system.
"Information on name, mobile number, date of registration and health status may be used for these purposes","নাম, মোবাইল নম্বর, নিবন্ধনের তারিখ এবং স্বাস্থ্যের স্থিতির তথ্য এই উদ্দেশ্যে ব্যবহার করা যেতে পারে","The name, mobile number, date of registration and health status information can be used for this purpose"
Tracking of services to the end beneficiary at a click of a button.,ব্যাস একটি বোতামের ক্লিকেই শেষ সুবিধাভোগী পর্যন্ত পরিষেবার ট্র্যাকিং।,Beas tracking service up to the last beneficiary with a click of a button.
"Services like Take Home Ration (THR) and Hot cooked Meal (HCM), vaccination for Infants and Pregnant Women","টেক হোম রেশন (THR) এবং গরম রান্না করা খাবার (HCM), শিশু এবং গর্ভবতী মহিলাদের জন্য টিকা প্রদানের মতো পরিষেবা","Services such as Take Home Ration (THR) and Hot Cooked Meals (HCM), immunization of children and pregnant women"
"New Poshan Tracker App (13 January, 2021)","নতুন পশান ট্র্যাকার অ্যাপ (১৩ জানুযারী, ২০২১)","New Pashan Tracker App (13th January, 2021)"
Preventing illnesses to avert Malnutrition and Death,অপুষ্টি এবং মৃত্যু এডাতে অসুস্থতা প্রতিরোধ করা,Preventing Malnutrition and Illness to Avoid Deaths
Scan the QR Code to Download the App,অ্যাপটি ডাউনলোড করতে QR কোড স্ক্যান করুন,Scan the QR code to download the app
Pregnant women who received Take Home Ration (THR),গর্ভবতী মহিলারা যারা টেক হোম রেশন (THR) পেযেছেন,Pregnant women who have received Take Home Ration (THR)
General Awareness on SAM and MAM,SAM এবং MAM সম্পর্কে সাধারণ সচেতনতা,General Awareness about SAM and MAM
"App can be accessed offline, currently daily tracking feature is available for offline data entry.Offline mode can store latest 3 days data.","না, কোনও বৈধ ইন্টারনেট সংযোগ ছাডা এই অ্যাপটি কাজ করে না।","No, the app does not work without a valid internet connection."
These organizations will not use the APIs/ No-code webpage integration to encourage or promote illegal activity or violation of third-party rights including these Terms with Poshan Tracker.,এই সংস্থাগুলি পোশান ট্র্যাকারের সাথে এই শর্তাদি সহ অবৈধ কার্যকলাপ বা তৃতীয পক্ষের অধিকার লঙ্ঘনকে উত্সাহিত বা প্রচার করতে APIs/ নো-কোড ওযেবপেজ ইন্টিগ্রেশন ব্যবহার করবে না।,These entities shall not use APIs / No-Code and Webpage integration with Poshan Tracker to promote or propagate illegal activities or third party rights violations with these conditions.
"Pregnant Women, Lactating Mothers, Children from 6 months to 3 years and adolescent girls.","গর্ভবতী মহিলা, স্তন্যদানকারী মা, 6 মাস থেকে 3 বছর বযসী শিশু এবং কিশোরী মেযেরা।","Pregnant women, lactating mothers, children between the age of 6 months and 3 years and adolescent girls."
"New Poshan Tracker App : CSC-SPV Nodal Person (02 February, 2021)","নতুন পশান ট্র্যাকার অ্যাপঃ CSC-SPV নোডাল পারসান (০২ ফেব্রুযারি, ২০২১)",New Passion Tracker App: CSC-SPV Nodal Person (02 February 2021)
