eng,ta,indic_trans_translated
Poshan Tracker App is available over Google playstore https://play. google. com/store/apps/details?,கூகிள் பிளேஸ்டோர் மூலம் போஷன் டிராக்கர் பயன்பாடு https://play. google. com/store/apps/details?,POSHAN tracker application through Google Play Store https: / / play.google.com / store / apps / details
Can App be accessed without internet?,இணையம் இல்லாமல் அபிபி ஐ அணுக முடியுமா?,Is it possible to access UPI without internet?
The Government has taken several initiatives to break the intergenerational cycle of malnutrition in children.,குழந்தைகளில் ஊட்டச்சத்து குறைபாட்டின் இடைநிலை சுழற்சியை உடைக்க அரசாங்கம் பல முயற்சிகளை எடுத்துள்ளது.,The Government has taken several initiatives to break the intermediate cycle of malnutrition among children
"Adopting a life-cycle approach, interventions have been designed to meet the nutritional requirement of adolescent girls and boys, pregnant women, lactating mothers and children.","வாழ்க்கைச் சுழற்சி அணுகுமுறையை ஏற்றுக்கொள்வது, இளம் பருவ பெண்கள் மற்றும் சிறுவர்கள், கர்ப்பிணிப் பெண்கள், பாலூட்டும் தாய்மார்கள் மற்றும் குழந்தைகளின் ஊட்டச்சத்து தேவைகளைப் பூர்த்தி செய்ய தலையீடுகள் வடிவமைக்கப்பட்டுள்ளன.","Adoption of life cycle approach interventions have been designed to meet the nutritional needs of young women and children, pregnant women, lactating mothers and children"
Awareness for Pregnancy in Preventing Anemia,கர்ப்ப காலத்தில் இரத்த சோகை வராமல் தடுப்பது குறித்த விழிப்புணர்வு,Awareness on preventing anemia during pregnancy
"Howrah North (U) I. C. D. S. Project, Howrah","ஹௌரா வடக்கு (யு) ஐ. சி. டி. எஸ். புராஜக்ட், ஹௌரா","Howrah North (U) ICDS Project, Howrah"
Birth Preparedness- For Institutional and Home Delivery,பிறப்புத் தயார்நிலை- நிறுவன மற்றும் வீட்டுப் பிரசவத்திற்கு,Birth preparedness for institutional and home delivery
New beneficiary addition with skip OTP option,ஓ டி பியைத் தவிர்க்கும் விருப்பத் தேர்வுடனான புதிய பயனாளர் சேர்ப்பு,New user addition with ODB avoidance option
We are now available on Video Conference,வீடியோ கான்பரன்ஸ் மூலம் தற்போது நாம்,We are currently connected through a video conference
"Poshan Tracker App is meant for Aanganwadi workers, Anganwadi centers to enter beneficiaries data in the forms.","போஷன் டிராக்கர் ஆப் என்பது ஆங்கன்வாடி தொழிலாளர்கள், அங்கன்வாடி மையங்கள் பயனாளிகளின் தரவை படிவங்களில் உள்ளிடுவதற்கானது.",POSHAN Tracker App is for capturing the data of Anganwadi Workers and Anganwadi Centres (AWCs) beneficiaries in the form
It is not at all developed for general public.,இது பொது மக்களுக்காக உருவாக்கப்படவில்லை.,This is not for the public.
Swastha Balak/Balika Spardha Mission is about celebrating the health of children in India.,Swastha Balak/Balika Spardha Mission is about celebrating the health of children in India.,Swastha Balak / Balika Spardha Mission is about celebrating the health of children in India.
It entails identification and awareness of health conditions and providing necessary support wherever required.,It entails identification and awareness of health conditions and providing necessary support wherever required.,It indicates identification and awareness of health conditions and providing adequate support wherever required.
”Our Privacy Policy applies when you use our Services (described below).,"""Our Privacy Policy applies when you use our Services (described below).",Our Privacy Policy applies when you use our Services (described below).
"This Privacy Policy is meant to help you understand what information we collect, why we collect it, and how it is used and shared.","This Privacy Policy is meant to help you understand what information we collect, why we collect it, and how it is used and shared.","This Privacy Policy is meant to help you understand what information we collect, why we collect it, and how it is used and shared."
The collecting and retaining agency in respect of your information is Ministry of Women and Child Development.,The collecting and retaining agency in respect of your information is Ministry of Women and Child Development.,The collecting and retaining agency in respect of your information is Ministry of Women and Child Development.
We are committed to protecting the security of your personal information and safeguarding your privacy.,We are committed to protecting the security of your personal information and safeguarding your privacy.,We are committed to protect the security of your personal information and protecting your privacy.
How to revive your health if you are Underweight,நீங்கள் எடை குறைவாக இருந்தால் உங்கள் ஆரோக்கியத்தை எவ்வாறு மீட்டெடுப்பது,How to maintain your health if you are underweight
Can a beneficiary change his/her AWC?,ஒரு பயனாளி தனது AWCயை மாற்ற முடியுமா?,Can a user change his AWC?
"We use the information we have, to help verify accounts.",கணக்குகளைச் சரிபார்க்க எங்களிடம் உள்ள தகவலைப் பயன்படுத்துகிறோம்.,We use the information available with us to verify the accounts.
The records may be used for verification of health status for the purposes of Poshan Tracker control and response.,"போஷன் டிராக்கர் கட்டுப்பாடு, பதிலளிப்பு நோக்கங்களுக்காக மற்றும் சுகாதார நிலையை சரிபார்ப்பதற்காக பதிவுகள் பயன்படுத்தப்படலாம்.","The entries can be used for POSHAN tracker control, response purposes and for checking the health status"
Scan the QR Code to Download the App,பயன்பாட்டை ப்பதிவிறக்க க்யூஆர் குறியீட்டை ஸ்கேன் செய்யவும்,Scan the QR code to download the application
Who is eligible for Hot Cooked Meal?,சூடான சமைத்த உணவுக்கு யார் தகுதியானவர்?,Who is eligible for hot cooked meals?
Identifying and preventing Severe Acute Malnutrition,கடுமையான ஊட்டச்சத்துக் குறைபாட்டைக் கண்டறிந்து தடுப்பது,To identify and prevent severe malnutrition
Children who are identified as deficit on nutrition are eligible for additional food supplements.,ஊட்டச்சத்து குறைபாடு உள்ள குழந்தைகள் கூடுதல் உணவுப் பொருட்களுக்கு தகுதியுடையவர்கள்.,Malnourished children are entitled to additional food items.
Who is eligible for additional supplementary food.,கூடுதல் துணை உணவுக்கு யார் தகுதியானவர்.,Who is eligible for additional supplementary food
"Uploading of Data of Anganwadi Services Schemes in Poshan Tracker (24 May, 2021)","போஷன் டிராக்கரில் அங்கன்வாடி சேவைத் திட்டங்களின் தரவைப் பதிவேற்றம் செய்தல் (24 மே, 2021)","Uploading of data on Anganwadi Services Schemes on POSHAN Tracker (24th May, 2021)"
Children between 6 months - 3 years,6 மாதங்கள் -3 வயதுக்கு இடைப்பட்ட குழந்தைகள்,Children between 6 months and 3 years
"Ministry of Women and Child Development, Government of India, Shastri Bhawan, New Delhi","பெண்கள் மற்றும் குழந்தைகள் மேம்பாட்டு அமைச்சகம், இந்திய அரசு, சாஸ்திரி பவன், புது தில்லி","Ministry of Women and Child Development, Government of India, Shastri Bhawan, New Delhi"
Care of the weak newborn baby - How many weak babies are we missing?,பலவீனமான புதிதாகப் பிறந்த குழந்தையின் பராமரிப்பு - எத்தனை பலவீனமான குழந்தைகளை நாம் காணவில்லை?,Care of Weaker Newborn - How many weak children do we not find?
Underweight children who received Supplementary Nutrition,கூடுதல் ஊட்டச்சத்து பெற்ற எடை குறைந்த குழந்தைகள்,Overweight and underweight children
Identification and care of a Weak Newborn baby,புதிதாகப் பிறந்த பலவீனமான குழந்தையை அடையாளம் காணுதல் மற்றும் பராமரித்தல்,Identification and Nurturing of a Newborn Weaker Child
1.2. Information from use of services.,1.2. சேவைகளின் பயன்பாட்டிலிருந்து தகவல்.,1.2 Information from use of services.
Please contact your respective Anganwadi Centre.,உங்கள் அங்கன்வாடி மையத்தைத் தொடர்பு கொள்ளவும்.,Contact your Anganwadi Centre.
GOBARDANGA I. C. D. S PROJECT(U),கோபர்தங்கா ஐ. சி. டி. எஸ். புராஜக்ட்(யு),Gobardanga ICDS Project (U)
Please fill in the form below to create a new ticket.,புதிய டிக்கெட்டை உருவாக்க கீழே உள்ள படிவத்தை நிரப்பவும்.,To create a new ticket fill up the form below.
Anganwadi Worker will reach out to you within 48 hours.,அங்கன்வாடி பணியாளர் 48 மணி நேரத்திற்குள் உங்களைத் தொடர்புகொள்வார்.,The Anganwadi worker will contact you within 48 hours.
Your request is received.Please note down the ticket number for future reference.,உங்கள் கோரிக்கை வரப்பெற்றது எதிர்காலக் குறிப்புக்காக தயவு செய்து டிக்கட் எண்ணைக் குறித்துக் கொள்ளவும்,Please note down the ticket number for future reference of your request
Is poshan trackers app available over Apple I Store also?,ஆப்பிள் ஐ ஸ்டோரிலும் போஷன் டிராக்ஸ் பயன்பாடு கிடைக்குமா?,Will POSHAN TRAX be available on Apple iStore?
Number of records becoming inactive and number of records migrating from one category to another,செயலற்றவையாக ஆகிக் கொண்டிருக்கும் பதிவுகளின் எண்ணிக்கை மற்றும் ஒரு வகையிலிருந்து இன்னொன்றுக்கு மாறும் பதிவுகளின் எண்ணிக்கை,Number of inoperative entries and the number of entries which vary from one category to another
In How many languages the Poshan Tracker App is available?,போஷன் டிராக்கர் பயன்பாடு எத்தனை மொழிகளில் கிடைக்கிறது?,How many languages is POSHAN Tracker available?
AWWs are requested to enter their mobile numbers in the Login screen.,அங்கன்வாடி ஊழியர்கள் உள்நுழைவுத் திரையில் தங்கள் மொபைல் எண்களை உள்ளிடுமாறு கேட்டுகொள்ளப்படுகின்றனர்.,Anganwadi workers are requested to enter their mobile numbers on the login screen.
"An OTP will be sent to your registered mobile number, post which you are required too set your MPIN.","உங்கள் பதிவுசெய்யப்பட்ட மொபைல் எண்ணுக்கு ஒரு OTP அனுப்பப்படும்,அதற்கு பிறகு உங்கள் எம்பின் ஐ அமைக்கவும்.",An OTP will be sent to your registered mobile number and then set up your MP.
Measles Containing vaccine (MCV)/MR-2JE-2**DiphtheriaPertussis & Tetanus (DPT)-Booster-1OPV –Booster,தட்டம்மை கொண்ட தடுப்பூசி (MCV)/MR-2JE-2**தொண்டை அடைப்பான் நோய்பெர்டுசிஸ் & டெட்டனஸ் (DPT)-பூஸ்டர்-1OPV - பூஸ்டர்,Measles Vaccine (MCV) / MR-2JE-2 * Oral Polio Vaccine (DPT) -Booster-1OPV-Booster
The Poshan Tracker enables real-time monitoring and tracking of all AWCs and beneficiaries on defined indicators.,போஷன் டிராக்கர் ஆனது அனைத்து AWCகள் மற்றும் பயனாளிகளின் நிகழ்நேர கண்காணிப்பு மற்றும் வரையறுக்கப்பட்ட குறிகாட்டிகளில் கண்காணிப்பதை செயல்படுத்துகிறது.,POSHAN tracker enables real time monitoring of all AWCs and beneficiaries and monitoring in defined indicators.
It is built using centralized data architecture that also aligns with the digital technology systems of other ministries and programs.,இது மற்ற அமைச்சகங்கள் மற்றும் திட்டங்களின் டிஜிட்டல் தொழில்நுட்ப அமைப்புகளுடன் இணைந்த மையப்படுத்தப்பட்ட தரவு கட்டமைப்பைப் பயன்படுத்தி கட்டமைக்கப்பட்டுள்ளது.,It is built on a centralized data architecture integrated with the digital technology systems of other Ministries and Schemes.
The public dashboard helps to impart transparency on services delivered to beneficiaries,public dashboard பயனாளிகளுக்கு வழங்கப்படும் சேவைகளில் வெளிப்படைத்தன்மையை வழங்க உதவுகிறது,Public dashboard enables transparency in services provided to the beneficiaries
Translations on the Poshan Tracker Portal & App Chabot are done by third party translators.,போஷன் டிராக்கர் போர்ட்டல் & ஆப் சாட்போட் இல் மொழிபெயர்ப்புகள் மூன்றாம் தரப்பு மொழிபெயர்ப்பாளர்களால் செய்யப்படுகின்றன.,Translations on the POSHAN Tracker Portal & of Chattogram are done by third party interpreters.
"While the translations are done on a best effort basis, some of the parts may be incorrect.","மொழிபெயர்ப்புகள் சிறந்த முயற்சியின் அடிப்படையில் செய்யப்பட்டாலும், சில பகுதிகள் தவறாக இருக்கலாம்.","While the translations are based on best effort, there may be portions that are incorrect."
Certain files and other items on the website cannot be translated.,இணையதளத்தில் உள்ள சில கோப்புகள் மற்றும் பிற உருப்படிகளை மொழிபெயர்க்க முடியாது.,Some of the files and other items on the website cannot be translated.
"In addition, on translation, some applications and/or services may not function as expected, due to language barriers.","கூடுதலாக, மொழிபெயர்ப்பில், மொழி தடைகள் காரணமாக, சில பயன்பாடுகள் அல்லது சேவைகள் மொழி தடைகள் காரணமாக எதிர்பார்த்தபடி செயல்படாமல் போகலாம்.","Additionally, in translation, due to language barriers, some applications or services may not function as expected due to language barriers."
"We are working constantly to rectify any errors, omissions, or ambiguities in the translations provided on this portal.","இந்த போர்ட்டலில் வழங்கப்பட்டுள்ள மொழிபெயர்ப்புகளில் ஏதேனும் பிழைகள், தவறுகள் அல்லது தெளிவின்மைகள் இருந்தால் அவற்றைத் திருத்துவதற்கு நாங்கள் தொடர்ந்து பணியாற்றி வருகிறோம்.","We are constantly working to rectify any errors, errors or ambiguities in the translations provided on this portal"
"The MGRS collected primary growth data and related information from approximately 8500 children from widely different ethnic backgrounds and cultural settings (Brazil, Ghana, India, Norway, Oman and the USA)","MGRS ஆனது பல்வேறு இனப் பின்னணிகள் மற்றும் கலாச்சார அமைப்புகளைச் சேர்ந்த (பிரேசில், கானா, இந்தியா, நார்வே, ஓமன் மற்றும் அமெரிக்கா) சுமார் 8500 குழந்தைகளிடமிருந்து முதன்மை வளர்ச்சித் தரவு மற்றும் தொடர்புடைய தகவல்களைச் சேகரித்தது","MGRS collected primary developmental data and related information from around 8500 children of different ethnic and cultural backgrounds (Brazil, Ghana, India, Norway, Oman and USA)"
Children of different age groups are monitored on monthly basis by AWWs.,வெவ்வேறு வயது குழந்தைகள் AWW களால் மாதாந்திர அடிப்படையில் கண்காணிக்கப்படுகிறார்கள்.,Children of different ages are monitored on a monthly basis by AWWs.
"Health indicators like Stunting, Wasting and Underweight prevalence are measured as per WHO standards.","உடல் வளர்ச்சி குன்றிய நிலை, உடல் தேய்மானம் மற்றும் எடை குறைவாக இருப்பது போன்ற சுகாதார குறிகாட்டிகள் WHO தரத்தின்படி அளவிடப்படுகிறது.","Health indicators like stunting, wasting and underweight prevalence are measured as per WHO standards."
Regular growth monitoring helps AWWs to provide relevant and timely assistance to children,வளர்ச்சி கண்காணிப்பு AWW கள் குழந்தைகளுக்கு பொருத்தமான மற்றும் சரியான நேரத்தில் உதவி வழங்க உதவுகிறது,Growth monitoring helps AWWs to provide appropriate and timely support to children
"Awareness for Children Stunting, Wasting to prevent malnutrition in children",குழந்தைகளின் வளர்ச்சி குன்றியிருப்பதற்கான விழிப்புணர்வு மற்றும் குழந்தைகளின் ஊட்டச்சத்து குறைபாட்டை தடுப்பதற்கான விழிப்புணர்வு,Awareness on stunting and under-nutrition among children
Poshan Tracker adds new application features,ரோஷன் டிராக்கர் புதிய பயன்பாடு அம்சங்களைச் சேர்க்கிறது,Roshan Tracker Adds New App Features
Making or Updating Home Visit Planner and Initiating home visits,ஹோம் விசிட் பிளானரை உருவாக்குதல் அல்லது புதுப்பித்தல் மற்றும் வீட்டுச் சந்திப்புகளைத் தொடங்குதல்,Create or renew a Home Visit Planner and initiate home visits
Poshan Calculator is designed to measure growth of the child based on standards defined by World Health Organization (WHO),உலக சுகாதார அமைப்பு (WHO) வரையறுத்துள்ள தரநிலைகளின் அடிப்படையில் குழந்தையின் வளர்ச்சியை அளவிடும் வகையில் போஷன் கால்குலேட்டர் வடிவமைக்கப்பட்டுள்ளது,The POSHAN calculator is designed to measure the growth and development of a child as per WHO standards
Migrated from one category to another,ஒரு பிரிவிலிருந்து இன்னொன்றுக்கு மாறி இருக்கிறார்,He has changed from one category to another
It usually occurs when a person has not had food of adequate quality and quantity and/or they have had frequent or prolonged illnesses,"ஒரு நபர் நல்ல தரமான மற்றும் போதுமான அளவு உணவை உட்கொள்ளாதபோதும், அடிக்கடி உடல்நிலை சரியில்லாமல் போவதும் அல்லது நீண்ட கால நோய்களை கொண்டிருக்கும்போதும் இது பொதுவாக நிகழ்கிறது","It usually occurs when a person does not eat good quality and adequate food, often falls ill or has chronic diseases"
"Poshan Abhiyaan is India’s flagship programme to improve nutritional outcomes for children, adolescents, pregnant women and lactating mothers by leveraging technology, a targeted approach and convergence.","போஷன் அபியான் என்பது குழந்தைகள், இளம் பருவத்தினர், முன்னுரிமைக்கான ஊட்டச்சத்து விளைவுகளை மேம்படுத்துவதற்கான இந்தியாவின் முதன்மை திட்டமாகும்.","POSHAN Abhiyaan is India's flagship programme to improve the nutritional outcomes of children, adolescents and women on priority"
Hot Cooked Meal (HCM) given in last 30 days,கடந்த 30 நாட்களில் வழங்கப்பட்ட சூடான சமைத்த உணவு (HCM),Hot Cooked Meals (HCM) served during last 30 days
Uploading of Data of Anganwadi Services Schemes in Poshan Tracker,போஷன் டிராக்கரில் அங்கன்வாடி சேவைகள் திட்டங்களின் தரவைப் பதிவேற்றுதல்,Uploading of data on Anganwadi Services Schemes on POSHAN Tracker
The Poshan Tracker generates automated alerts to the critical last-mile beneficiaries.,போஷன் டிராக்கர் ஆனது முக்கியமான கடைசி மைல் பயனாளிகளுக்கு தானியங்கி விழிப்பூட்டல்களை உருவாக்குகிறது.,POSHAN tracker generates automated awareness for important last mile beneficiaries.
It also ensures efficient audit of the delivery system by documenting real time attendance of beneficiaries and duty bearers.,பயனாளிகள் மற்றும் கடமை தாங்குபவர்களின் உண்மையான நேர வருகையை ஆவணப்படுத்துவதன் மூலம் திறமையான தணிக்கையையும் இது உறுதி செய்கிறது.,It also ensures efficient audit by documenting real time attendance of beneficiaries and stakeholders.
"This management information system will help the nutrition programme to scale efficiently, thereby generating and documenting positive impact","இந்த மேலாண்மை தகவல் அமைப்பு ஊட்டச்சத்து திட்டத்தை திறம்பட அளவிடுவதற்கும், நேர்மறையான தாக்கத்தை உருவாக்கி ஆவணப்படுத்துவதற்கும் உதவும்",The Management Information System (MIS) will help in effective measurement and documentation of nutrition outcomes
How can one Download Poshan Tracker App?,போஷன் டிராக்கர் அபிபி ஐ எவ்வாறு பதிவிறக்கம் செய்யலாம்?,How to download POSHAN Tracker UPI?
"Clarification regarding Cost of Smart phones (03 June, 2021)","ஸ்மார்ட் போன்களின் விலை தொடர்பான தெளிவுபடுத்தல் (03 ஜூன், 2021)","Clarification regarding Price of Smartphones (June 03, 2021)"
along with status update once resolved,நிலை புதுப்பித்தலுடன் சேர்த்து ஒருமுறை தீர்க்கப்பட்டது,Resolved once with status update
"The Poshan Tracker system is regularly audited by auditors engaged by MWCD, for security and scalability of the system.","போஷன் டிராக்கர் அமைப்பு, அமைப்பின் பாதுகாப்பு மற்றும் அளவிடுதல் ஆகியவற்றிற்காக, MWCD ஆல் ஈடுபட்டுள்ள தணிக்கையாளர்களால் தொடர்ந்து தணிக்கை செய்யப்படுகிறது.",The POSHAN tracker system is continuously audited by auditors engaged by MWCD for protection and measurement of the system.
The records may be used for such audits.,அத்தகைய தணிக்கைகளுக்கு பதிவுகள் பயன்படுத்தப்படலாம்.,Records can be used for such audits.
Poshan Tracker adds new Resources on Website,ரோஷன் இணையதள அம்சத்தில் புதிய வளங்களைச் சேர்க்கிறது,Adding new resources to the Roshan Portal
"If this is your first time contacting us or you've lost the ticket number, please open a new ticket","நீங்கள் எங்களைத் தொடர்புகொள்வது இதுவே முதல் முறை என்றால் அல்லது டிக்கெட் நம்பரைத் தொலைத்துவிட்டால், தயவுசெய்து புதிய டிக்கெட்டைத் திறக்கவும்","If this is the first time you have contacted us or if you have lost your ticket number, please open a new ticket"
"Technology under Poshan Tracker is being leveraged for dynamic identification of stunting, wasting, under-weight prevalence among children and last mile tracking of nutrition service delivery","போஷான் டிராக்கரின் கீழ் உள்ள தொழில்நுட்பம், குழந்தைகளிடையே வளர்ச்சி குன்றிய நிலை, உடல் எடை குறைதல், உடல் எடை குறைவாக இருப்பது மற்றும் ஊட்டச்சத்து சேவை விநியோகத்தின் கடைசி மைல் கண்காணிப்பு போன்றவற்றின் ஆற்றல்மிக்க அடையாளத்திற்காக பயன்படுத்தப்படுகிறது","The technology under POSHAN tracker is being used for effective identification of stunting among children, weight loss, underweight and last-mile monitoring of nutrition service delivery"
The System also takes feedback about system performance and experience.,கணினி செயல்திறன் மற்றும் அனுபவம் பற்றிய கருத்துக்களையும் கணினி எடுத்துக்கொள்கிறது.,The system also takes feedback on computer performance and experience.
"Information on name, mobile number, date of registration and health status may be used for these purposes","இந்த நோக்கங்களுக்காக பெயர், மொபைல் எண், பதிவு செய்யப்பட்ட தேதி மற்றும் சுகாதார நிலை பற்றிய தகவல்கள் பயன்படுத்தப்படலாம்","Name, mobile number, date of registration and health status information may be used for these purposes"
"We collect the content and other information that you provide when you use our Services, including when you sign up for an account.","நீங்கள் எங்கள் சேவைகளைப் பயன்படுத்தும் போது நீங்கள் வழங்கும் உள்ளடக்கம் மற்றும் பிற தகவல்களை நாங்கள் சேகரிக்கிறோம், நீங்கள் கணக்கில் பதிவு செய்வது உட்பட.","We collect the content and other information you provide when you use our services, including when you register to account."
"You may, however, choose not to share personal data where providing the data is optional.","இருப்பினும், தரவை வழங்குவது விருப்பமானதாக இருந்தால், தனிப்பட்ட தரவைப் பகிர வேண்டாம் என்று நீங்கள் தேர்வு செய்யலாம்.","However, if it is optional to provide data, you may choose not to share personal data."
Tracking of services to the end beneficiary at a click of a button.,ஒரு பொத்தானைக் கிளிக் செய்வதன் மூலம் பயனாளிக்கான சேவைகளைக் கண்காணித்தல்.,Monitoring of beneficiary services with click of a button.
"Services like Take Home Ration (THR) and Hot cooked Meal (HCM), vaccination for Infants and Pregnant Women","டேக் ஹோம் ரேஷன் (THR) மற்றும் சூடான சமைத்த உணவு (HCM), கைக்குழந்தைகள் மற்றும் கர்ப்பிணிப் பெண்களுக்கு தடுப்பூசி போடுதல் போன்ற சேவைகள்","Services such as Take Home Ration (THR) and Hot Cooked Meals (HCM), immunization of children and pregnant women"
"New Poshan Tracker App (13 January, 2021)","புதிய போஷன் டிராக்கர் பயன்பாடு (13 ஜனவரி, 2021)","New POSHAN tracker usage (13th January, 2021)"
Preventing illnesses to avert Malnutrition and Death,ஊட்டச்சத்து குறைபாடு மற்றும் மரணத்தைத் தவிர்க்க நோய்களைத் தடுக்கிறது,Prevents Malnutrition and Malnutrition
Scan the QR Code to Download the App,பயன்பாட்டைப் பதிவிறக்க QR கோடை ஸ்கேன் செய்யவும்,Scan the QR Summer to download the app
Pregnant women who received Take Home Ration (THR),டேக் ஹோம் ரேஷன் (THR) பெற்ற கர்ப்பிணிப் பெண்கள்,Pregnant Women with Take Home Ration (THR)
General Awareness on SAM and MAM,SAM மற்றும் MAM பற்றிய பொது விழிப்புணர்வு,Public awareness about SAM and MAM
