eng,gu,indic_trans_translated
Srijangram I. C. D. S. Project,શ્રીજનગ્રામ આઈ. સી. ડી. એસ. પ્રોજેક્ટ,Srijangram ICDS Project
"We may investigate any violation of these Terms, including unauthorized use of the Site.",અમે સાઇટના અનધિકૃત ઉપયોગ સહિત આ શરતોના કોઈપણ ઉલ્લંઘનની તપાસ કરી શકીએ છીએ.,"We can investigate any violation of these conditions, including unauthorized use of the site."
We may provide law enforcement with information you provide to us related to your transactions to assist in any investigation or prosecution of you.,અમે કાયદાના અમલીકરણને તમારી કોઈપણ તપાસ અથવા કાર્યવાહીમાં મદદ કરવા માટે તમારા વ્યવહારોથી સંબંધિત તમે અમને પ્રદાન કરેલી માહિતી પ્રદાન કરી શકીએ છીએ.,We can provide you with the information you provide us regarding your transactions to help law enforcement in any of your investigations or proceedings.
We may take legal action that we feel is appropriate.,અમને યોગ્ય લાગે તે અમે કાનૂની પગલાં લઈ શકીએ છીએ.,We can take appropriate legal action.
Poshan Calculator helps to identify various health conditions of the child as per World Health Organization (WHO) standards,પોશન કેલ્ક્યુલેટર વર્લ્ડ હેલ્થ ઓર્ગેનાઈઝેશન (ડબ્લ્યુએચઓ) ના ધોરણો અનુસાર બાળકની વિવિધ આરોગ્ય સ્થિતિઓને ઓળખવામાં મદદ કરે છે,The POSHAN calculator helps to identify the various health conditions of the child as per World Health Organization (WHO) norms
How to take care of weak newborn with the help of Kangaroo Mother Care,કાંગારુ મધર કેરની મદદથી નબળા નવજાતની સંભાળ કેવી રીતે રાખવી,How to take care of a weak newborn with the help of Kangaroo Mother Care
"Any liabilities civil or criminal, arising out of any incorrect data, shall solely lie with the concerned ASP.","કોઈપણ ખોટા ડેટાને કારણે ઉદ્ભવતી કોઈપણ જવાબદારીઓ સિવિલ અથવા ફોજદારી, ફક્ત સંબંધિત ASP પાસે જ રહેશે.","Any liability arising out of any false data, whether civil or criminal, shall remain with the concerned ASP only."
Poshan Tracker App is available over Google playstore https://play. google. com/store/apps/details?,પોષણ ટ્રેકર એપ્લિકેશન ગૂગલ પ્લે સ્ટોર https://play. google. com/store/apps/details?,The POSHAN Tracker App is available on Google Play Store at https: / / play.google.com / store / apps / details? id = html
Can App be accessed without internet?,શું આ એપ્લિકેશનને ઇન્ટરનેટ વિના ચલાવી શકાય છે?,Can this application be run without internet?
The Government has taken several initiatives to break the intergenerational cycle of malnutrition in children.,બાળકોમાં કુપોષણના અંતર્ગત ચક્રને તોડવા સરકારે અનેક પહેલ કરી છે.,The Government has taken several initiatives to break the cycle of malnutrition among children.
"Adopting a life-cycle approach, interventions have been designed to meet the nutritional requirement of adolescent girls and boys, pregnant women, lactating mothers and children.","જીવન ચક્રના અભિગમને અપનાવી, દખલગીરી કિશોરવયની છોકરીઓ અને છોકરાઓ, સગર્ભા સ્ત્રીઓ, સ્તનપાન કરાવતી માતાઓ અને બાળકોની પોષક જરૂરિયાતને પહોંચી વળવા માટે બનાવવામાં આવી છે.","The interventions have been designed to address the nutritional needs of adolescent girls and boys, pregnant women, lactating mothers and children."
Awareness for Pregnancy in Preventing Anemia,સગર્ભાવસ્થામાં એનિમિયાની અટકાયત માટે જાગૃતિ,Awareness for prevention of Anaemia During Pregnancy
"Howrah North (U) I. C. D. S. Project, Howrah","હાવરા નોર્થ (યુ) આઈ. સી. ડી. એસ. પ્રોજેક્ટ, હાવરા","Howrah North (U) ICDS Project, Howrah"
Birth Preparedness- For Institutional and Home Delivery,જન્મની તૈયારી- સંસ્થાકીય અને ઘરે પ્રસૂતિ માટે,Birth Preparations for institutional and home delivery
New beneficiary addition with skip OTP option,OTP વિકલ્પ ઉમેરવા સાથે નવા લાભાર્થી ઉમેરવા,To add new beneficiary with OTP option
We are now available on Video Conference,અમે હવે વીડિયો કોન્ફરન્સ પર ઉપલબ્ધ છીએ,We are now available through video conference
"Poshan Tracker App is meant for Aanganwadi workers, Anganwadi centers to enter beneficiaries data in the forms.","ફોર્મમાં લાભાર્થીઓનો ડેટા દાખલ કરવા માટે પોષણ ટ્રેકર એપ્લિકેશન, આંગણવાડી કાર્યકરો, આંગણવાડી કેન્દ્રો માટે છે.","The POSHAN tracker application for entering beneficiary data in the form is for Anganwadi Workers, Anganwadi Centres."
It is not at all developed for general public.,તે સામાન્ય લોકો માટે બિલકુલ વિકસિત નથી.,It is not at all developed for the common man.
Swastha Balak/Balika Spardha Mission is about celebrating the health of children in India.,Swastha Balak/Balika Spardha Mission is about celebrating the health of children in India.,Swastha Balak / Balika Spardha Mission is about celebrating the health of children in India.
It entails identification and awareness of health conditions and providing necessary support wherever required.,It entails identification and awareness of health conditions and providing necessary support wherever required.,It indicates identification and awareness of health conditions and providing adequate support wherever required.
”Our Privacy Policy applies when you use our Services (described below).,"""Our Privacy Policy applies when you use our Services (described below).",Our Privacy Policy applications when you use our Services (described below).
"This Privacy Policy is meant to help you understand what information we collect, why we collect it, and how it is used and shared.","This Privacy Policy is meant to help you understand what information we collect, why we collect it, and how it is used and shared.","This Privacy Policy is meant to help you understand what information we collect, why we collect it, and how it is used and shared."
The collecting and retaining agency in respect of your information is Ministry of Women and Child Development.,The collecting and retaining agency in respect of your information is Ministry of Women and Child Development.,The collecting and retaining agency in respect of your information is Ministry of Women and Child Development.
We are committed to protecting the security of your personal information and safeguarding your privacy.,We are committed to protecting the security of your personal information and safeguarding your privacy.,We are committed to protecting the security of your personal information and protecting your privacy.
How to revive your health if you are Underweight,જો તમારું વજન ઓછું હોય તો તમારા સ્વાસ્થ્યને કેવી રીતે પુનર્જીવિત કરવું,How to restore your health if you are underweight
Can a beneficiary change his/her AWC?,શું લાભાર્થી તેનું AWC બદલી શકે છે?,Can the beneficiary change his AWC?
"We use the information we have, to help verify accounts.",અમે અમારી પાસેની માહિતીનો ઉપયોગ એકાઉન્ટ ચકાસવામાં મદદ કરવા માટે કરીએ છીએ.,We use the information we have to help us verify the account.
The records may be used for verification of health status for the purposes of Poshan Tracker control and response.,પોશન ટ્રેકર નિયંત્રણ અને પ્રતિભાવના હેતુઓ માટે આરોગ્યની સ્થિતિની ચકાસણી માટે રેકોર્ડનો ઉપયોગ કરી શકાય છે.,The records can be used to check the health status for the purposes of POSHAN tracker control and response.
Scan the QR Code to Download the App,એપ્લિકેશનને ડાઉનલોડ કરવા માટે ક્યૂઆર કોડ સ્કેન કરો,Scan the QR code to download the app
Who is eligible for Hot Cooked Meal?,ગરમ રાંધેલા ભોજન માટે કોણ પાત્ર છે?,Who is eligible for hot cooked meals?
Identifying and preventing Severe Acute Malnutrition,ગંભીર તીવ્ર કુપોષણની ઓળખ અને અટકાયત,Identification and Detention of Severe Acute Malnutrition
Children who are identified as deficit on nutrition are eligible for additional food supplements.,જે બાળકો પોષણની ઉણપ તરીકે ઓળખાય છે તેઓ વધારાના આહાર પૂરવણીઓ માટે પાત્ર છે.,Children who are known to be deficient in nutrition are eligible for additional food supplements.
Who is eligible for additional supplementary food.,વધારાના પૂરક ખોરાક માટે કોણ પાત્ર છે.,Who is eligible for additional supplementary food.
"Uploading of Data of Anganwadi Services Schemes in Poshan Tracker (24 May, 2021)","પોષણ ટ્રેકરમાં આંગણવાડી સેવા યોજનાઓનો માહિતી અદ્યતન કરવો (24 મે, 2021)","Updation of Anganwadi Services Scheme information in POSHAN tracker (24th May, 2021)"
Children between 6 months - 3 years,6 મહિનાથી 3 વર્ષનાં બાળકોની,Children (6 months to 3 years)
"Ministry of Women and Child Development, Government of India, Shastri Bhawan, New Delhi","મહિલા અને બાળ વિકાસ મંત્રાલય, ભારત સરકાર, શાસ્ત્રી ભવન, નવી દિલ્હી","Ministry of Women and Child Development, Government of India, Shastri Bhawan, New Delhi"
Care of the weak newborn baby - How many weak babies are we missing?,નબળા નવજાત બાળકની સંભાળ - આપણાથી કેટલા નબળા બાળકો છુટી જાય છે?,Care for Weak Newborns - How many of us are left out of it?
Underweight children who received Supplementary Nutrition,પૂરક પોષણ મેળવનાર ઓછા વજનવાળા બાળકો,Low birth weight children with supplementary nutrition
Identification and care of a Weak Newborn baby,નબળા નવજાત શિશુની ઓળખ અને સંભાળ,Identification and Care of a Vulnerable Newborn
1.2. Information from use of services.,1.2. સેવાઓના ઉપયોગની માહિતી.,1.2 Data on use of services.
Please contact your respective Anganwadi Centre.,કૃપા કરીને તમારા સંબંધિત આંગણવાડી કેન્દ્રનો સંપર્ક કરો.,Please contact your respective Anganwadi Centre.
GOBARDANGA I. C. D. S PROJECT(U),ગોબરદંગા આઈ. સી. ડી. એસ. પ્રોજેક્ટ (યુ),Gobardanga ICDS Project (U)
Please fill in the form below to create a new ticket.,નવી ટિકિટ બનાવવા માટે કૃપા કરીને નીચેનું ફોર્મ ભરો.,Please fill in the following form to get a new ticket:
Anganwadi Worker will reach out to you within 48 hours.,આંગણવાડી કાર્યકર 48 કલાકની અંદર તમારો સંપર્ક કરશે.,Anganwadi workers will contact you within 48 hours.
Please note down the ticket number for future reference.,ભવિષ્યના સંદર્ભ માટે કૃપા કરીને ટિકિટ નંબરની નોંધ કરી લો,Please note down the ticket number for future reference
Is poshan trackers app available over Apple I Store also?,શું પોષણ ટ્રેક્સ એપ્લિકેશન એપલ આઇ સ્ટોર ઉપર પણ ઉપલબ્ધ છે?,Is POSHAN Tracks app also available on Apple App Store?
Number of records becoming inactive and number of records migrating from one category to another,સંખ્યાબંધ રેકોર્ડ્સ નિષ્ક્રીય બની રહ્યો છે અને સંખ્યાબંધ રેકોર્ડ એક કેટેગરીમાંથી અન્ય કેટેગરીમાં સ્થળાંતરીત થઈ રહેલ છે,Number of records getting inactive and number of records getting transferred from one category to another category
In How many languages the Poshan Tracker App is available?,પોષણ ટ્રેકર એપ્લિકેશન કેટલી ભાષાઓમાં ઉપલબ્ધ છે?,How many languages is the POSHAN Tracker App available?
AWWs are requested to enter their mobile numbers in the Login screen.,આંગણ વાડી કાર્યકરોને લૉગિન સ્ક્રીન પર તેમનો મોબાઇલ નંબર દાખલ કરવા માટે વિનંતી કરવામાં આવે છે.,Anganwadi workers are requested to enter their mobile number on the login screen.
"An OTP will be sent to your registered mobile number, post which you are required too set your MPIN.","તમારા નોંધાવેલ મોબાઇલ નંબર પર એક ઓટીપી મોકલવામાં આવશે, ત્યાર પછી કે તમને એમપિન સેટ કરવું પડશે.","An OTP will be sent to your registered mobile number, after which you will have to set an MPIN."
Measles Containing vaccine (MCV)/MR-2JE-2**DiphtheriaPertussis & Tetanus (DPT)-Booster-1OPV –Booster,ઓરી ધરાવતી રસી (MCV)/MR-2JE-2**ડિપ્થેરિયાપેર્ટુસિસ એન્ડ ટેટેનસ (ડીપીટી)-બૂસ્ટર-1OPV - બૂસ્ટર,Covishield vaccine (MCV) / MR-2JE-2 * Diphtheria and Tetanus (DPT) -Booster-1OPV-Booster
The Poshan Tracker enables real-time monitoring and tracking of all AWCs and beneficiaries on defined indicators.,પોશન ટ્રેકર નિર્ધારિત સૂચકાંકો પર તમામ AWC અને લાભાર્થીઓનું રીઅલ-ટાઇમ મોનિટરિંગ અને ટ્રેકિંગ સક્ષમ કરે છે.,POSHAN tracker enables real-time monitoring and tracking of all AWCs and beneficiaries on prescribed indices.
It is built using centralized data architecture that also aligns with the digital technology systems of other ministries and programs.,તે કેન્દ્રિય ડેટા આર્કિટેક્ચરનો ઉપયોગ કરીને બનાવવામાં આવ્યું છે જે અન્ય મંત્રાલયો અને પ્રોગ્રામ્સની ડિજિટલ ટેક્નોલોજી સિસ્ટમ્સ સાથે પણ ગોઠવે છે.,It is built using the central data architecture that aligns with the digital technology systems of other ministries and programs.
The public dashboard helps to impart transparency on services delivered to beneficiaries,સાર્વજનિક ડેશબોર્ડ લાભાર્થીઓને આપવામાં આવતી સેવાઓમાં પારદર્શિતા લાવવામાં મદદ કરે છે,The Public Dashboard helps in bringing transparency in the services provided to the beneficiaries
Translations on the Poshan Tracker Portal & App Chabot are done by third party translators.,પોશન ટ્રેકર પોર્ટલ અને એપ ચાબોટ પરના અનુવાદો તૃતીય પક્ષ અનુવાદકો દ્વારા કરવામાં આવે છે.,Translations on the Potion Tracker Portal and App Chabots are done by third party translators.
"While the translations are done on a best effort basis, some of the parts may be incorrect.","જ્યારે અનુવાદો શ્રેષ્ઠ પ્રયાસના આધારે કરવામાં આવે છે, ત્યારે કેટલાક ભાગો ખોટા હોઈ શકે છે.","When translations are made on the basis of best effort, some parts may be wrong."
Certain files and other items on the website cannot be translated.,વેબસાઇટ પરની અમુક ફાઇલો અને અન્ય વસ્તુઓનું ભાષાંતર કરી શકાતું નથી.,Some files and other items on the website could not be translated.
"In addition, on translation, some applications and/or services may not function as expected, due to language barriers.","વધુમાં, ભાષાંતર પર, કેટલીક એપ્લિકેશનો અને/અથવા સેવાઓ ભાષા અવરોધોને લીધે, અપેક્ષા મુજબ કાર્ય કરી શકશે નહીં.","Further, on translation, some applications and / or services may not function as expected, due to language barriers."
"We are working constantly to rectify any errors, omissions, or ambiguities in the translations provided on this portal.","અમે આ પોર્ટલ પર પ્રદાન કરવામાં આવેલ અનુવાદોમાં કોઈપણ ભૂલો, ભૂલો અથવા અસ્પષ્ટતાઓને સુધારવા માટે સતત કામ કરી રહ્યા છીએ.","We are constantly working to correct any errors, errors or ambiguities in the translations provided on this portal."
"The MGRS collected primary growth data and related information from approximately 8500 children from widely different ethnic backgrounds and cultural settings (Brazil, Ghana, India, Norway, Oman and the USA)","MGRS એ વ્યાપકપણે વિવિધ વંશીય પૃષ્ઠભૂમિ અને સાંસ્કૃતિક સેટિંગ્સ (બ્રાઝિલ, ઘાના, ભારત, નોર્વે, ઓમાન અને યુએસએ) ના આશરે 8500 બાળકો પાસેથી પ્રાથમિક વૃદ્ધિ ડેટા અને સંબંધિત માહિતી એકત્રિત કરી","MGRS extensively collects primary growth data and related information from around 8500 children from various ethnic backgrounds and cultural settings (Brazil, Ghana, India, Norway, Oman and USA)"
Children of different age groups are monitored on monthly basis by AWWs.,AWWs દ્વારા વિવિધ વય જૂથોના બાળકોનું માસિક ધોરણે નિરીક્ષણ કરવામાં આવે છે.,AWWs monitor children of different age groups on a monthly basis.
"Health indicators like Stunting, Wasting and Underweight prevalence are measured as per WHO standards.","સ્વાસ્થ્ય સૂચકાંકો જેમ કે સ્ટંટિંગ, વેસ્ટિંગ અને ઓછા વજનનો વ્યાપ WHO ના ધોરણો મુજબ માપવામાં આવે છે.","Health indicators such as stunting, wasting and underweight prevalence are measured as per WHO standards."
Regular growth monitoring helps AWWs to provide relevant and timely assistance to children,નિયમિત વૃદ્ધિની દેખરેખ AWW ને બાળકોને સંબંધિત અને સમયસર સહાય પૂરી પાડવામાં મદદ કરે છે,Regular growth monitoring helps AWW to provide relevant and timely support to children
"Awareness for Children Stunting, Wasting to prevent malnutrition in children","બાળકોમાં કુપોષણને રોકવા માટે બાળકોના સ્ટંટિંગ, વેસ્ટિંગ અંગે જાગૃતિ","Awareness on child stunting, wasting to prevent malnutrition in children"
Poshan Tracker adds new application features,પોષણ ટ્રેકર નવા એપ્લિકેશનની વિશેષતા ઉમેરી,POSHAN TRACKER Adds New App Features
Making or Updating Home Visit Planner and Initiating home visits,ગૃહ મુલાકાતનું આયોજન બનાવવું અથવા અપડેટ કરવું અને ગૃહ મુલાકાત શરૂ કરવી,Planning or updating a home visit and starting a home visit
Poshan Calculator is designed to measure growth of the child based on standards defined by World Health Organization (WHO),વર્લ્ડ હેલ્થ ઓર્ગનાઈઝેશન(WHO) દ્વારા નિર્ધારિત ધોરણોના આધારે બાળકના વિકાસને માપવા માટે પોષણ કેલ્ક્યુલેટર ની રચના કરવામાં આવેલ છે,The POSHAN calculator is designed to measure the development of a child based on the standards set by the World Health Organization (WHO)
Migrated from one category to another,એક કેટેગરીમાંથી અન્ય કેટેગરીમાં સ્થળાંતરીત થયેલ,Migrated from one category to another
It usually occurs when a person has not had food of adequate quality and quantity and/or they have had frequent or prolonged illnesses,તે સામાન્ય રીતે ત્યારે થાય છે જ્યારે વ્યક્તિએ પર્યાપ્ત ગુણવત્તા અને માત્રામાં ખોરાક ન લીધો હોય અને/અથવા તેને વારંવાર અથવા લાંબા સમય સુધી બીમારીઓ હોય,This usually happens when the person has not taken adequate quality and quantity of food and / or has frequent or prolonged illness
"Poshan Abhiyaan is India’s flagship programme to improve nutritional outcomes for children, adolescents, pregnant women and lactating mothers by leveraging technology, a targeted approach and convergence.","બાળકો, કિશોરો, સગર્ભાઓ માટેના પોષક પરિણામોને સુધારવા માટે, પોશણ અભિયાન એ ભારતનો મુખ્ય કાર્યક્રમ છે.","POSHAN Abhiyaan is India's flagship programme to improve nutrition outcomes for children, adolescents and pregnant women."
Hot Cooked Meal (HCM) given in last 30 days,પાછલા 30 દિવસમા દેવામા આવેલ ગરમ રાંધેલ ભોજન (HCM),Hot cooked meals (HCM) served during last 30 days
Uploading of Data of Anganwadi Services Schemes in Poshan Tracker,પોષણ ટ્રેકરમાં આંગણવાડી સેવાઓને લગતી યોજનાઓના ડેટા અપલોડ કરવો,Uploading of scheme data related to Anganwadi Services in POSHAN tracker
The Poshan Tracker generates automated alerts to the critical last-mile beneficiaries.,પોશન ટ્રેકર છેલ્લા માઈલના મહત્ત્વના લાભાર્થીઓને સ્વયંસંચાલિત ચેતવણીઓ જનરેટ કરે છે.,The POSHAN tracker generates automated alerts to key beneficiaries of the last mile.
It also ensures efficient audit of the delivery system by documenting real time attendance of beneficiaries and duty bearers.,તે લાભાર્થીઓ અને ફરજ ધારકોની વાસ્તવિક સમયની હાજરીનું દસ્તાવેજીકરણ કરીને ડિલિવરી સિસ્ટમનું કાર્યક્ષમ ઓડિટ પણ સુનિશ્ચિત કરે છે.,It also ensures an efficient audit of the delivery system by documenting the real time attendance of the beneficiaries and the duty holders.
"This management information system will help the nutrition programme to scale efficiently, thereby generating and documenting positive impact","આ વ્યવસ્થાપન માહિતી પ્રણાલી પોષણ કાર્યક્રમને કાર્યક્ષમ રીતે માપવામાં મદદ કરશે, જેનાથી હકારાત્મક અસર પેદા થશે અને તેનું દસ્તાવેજીકરણ થશે","This Management Information System will help in effective measurement of POSHAN Abhiyaan, which will have a positive impact and will be documented"
How can one Download Poshan Tracker App?,પોષણ ટ્રેકર એપ્લિકેશન કેવી રીતે ડાઉનલોડ કરી શકાય છે?,How to download the POSHAN tracker app
"Clarification regarding Cost of Smart phones (03 June, 2021)","સ્માર્ટ ફોનની કિંમત અંગે સ્પષ્ટતા (03 જૂન, 2021)","Clarification regarding price of Smartphone (June 03, 2021)"
along with status update once resolved,એક વખત ઉકેલ મેળવી લેવામાં આવે એટલે સ્ટેટસ અપડેટેડ,Status updated once a solution is found
"The Poshan Tracker system is regularly audited by auditors engaged by MWCD, for security and scalability of the system.",સિસ્ટમની સુરક્ષા અને માપનીયતા માટે MWCD દ્વારા રોકાયેલા ઓડિટર્સ દ્વારા પોશન ટ્રેકર સિસ્ટમનું નિયમિતપણે ઓડિટ કરવામાં આવે છે.,The POSHAN tracker system is regularly audited by auditors engaged by MWCD for safety and scalability of the system.
The records may be used for such audits.,આવા ઓડિટ માટે રેકોર્ડનો ઉપયોગ થઈ શકે છે.,Records can be used for such audits.
Poshan Tracker adds new Resources on Website,વેબસાઈટની વિશેષતા અંગે પોષણ ટ્રેકર નવા સંશાધનો ઉમેરે છે,Poshan Tracker adds new resources to highlight the website
"Technology under Poshan Tracker is being leveraged for dynamic identification of stunting, wasting, under-weight prevalence among children and last mile tracking of nutrition service delivery","પોશાન ટ્રેકર હેઠળની ટેક્નોલોજીનો ઉપયોગ બાળકોમાં સ્ટંટિંગ, વેડિંગ, ઓછા વજનની ગતિશીલ ઓળખ અને પોશાન સેવા વિતરણના છેલ્લા માઇલ ટ્રેકિંગ માટે કરવામાં આવે છે","Technology under Poshan Tracker is being used for last mile tracking of child stunting, marriage, low weight dynamic identification and Poshan service delivery"
The System also takes feedback about system performance and experience.,સિસ્ટમ સિસ્ટમની કામગીરી અને અનુભવ વિશે પ્રતિસાદ પણ લે છે.,The system also takes feedback about the functioning and experience of the system.
"Information on name, mobile number, date of registration and health status may be used for these purposes","આ હેતુઓ માટે નામ, મોબાઇલ નંબર, નોંધણીની તારીખ અને આરોગ્યની સ્થિતિ વિશેની માહિતીનો ઉપયોગ કરી શકાય છે","Information regarding name, mobile number, date of registration and health status can be used for these purposes"
