eng,mr,indic_trans_translated
Hot Cooked Meal (HCM) Given Today,आज दिलेला गरम शिजवलेले भोजन (एचसीएम),Hot Cooked Meal (HCM) served today
There are 6 categories for beneficiariesPregnant WomenLactating MotherChildren from 0 to 6 monthsChildren from 6 months to 3 yearsChildren from 3 years to 6 yearsAdolescent girls,लाभार्थ्यांसाठी 6 श्रेणी आहेतगर्भवती महिलास्तनपान करणारी आईमुले 0 महिने - 6 महिनेमुले 6 महिने - 3 वर्षेमुले 3 वर्षे - 6 वर्षेकिशोरवयीन मुली,"There are 6 categories of beneficiaries: Pregnant women, Lactating mothers, Pregnant women, Lactating mothers, Pregnant women, Lactating mothers, Pregnant women, Lactating mothers, Pregnant women, Lactating mothers, Pregnant women, Lactating mothers, Pregnant women, Lactating mothers, Pregnant women, Lactating women, Pregnant women, Lactating women, Pregnant women, Lactating women, Lactating women, Pregnant women, Lactating women, Pregnant women, Lactating women, Lactating women, Pregnant women, Lactating mothers, Pregnant women, Lactating women, Pregnant women, Lactating women, Pregnant women, Pregnant women, Lactating women, Pregnant women, Lactating mothers and Lactating women."
"Data Plan for Mobile Application (01 March, 2021)",मोबाइल अनुप्रयोगासाठी डेटा प्लॅन (०१ मार्च २०२१),Data Plan for Mobile Application (01.03.2021)
 VIII. LIMITATIONS OF MULTI- LINGUAL INTERFACE, VIII. बहु-भाषिक इंटरफेसच्या मर्यादा,Multilingual interface limit
Srijangram I. C. D. S. Project,सृजनग्राम आयसीडीएस प्रकल्प,Srijangram ICDS Project
"We may investigate any violation of these Terms, including unauthorized use of the Site.",आम्ही साइटच्या अनधिकृत वापरासह या अटींच्या कोणत्याही उल्लंघनाची चौकशी करू शकतो.,"We can investigate any violation of these conditions, including unauthorized use of the site."
We may provide law enforcement with information you provide to us related to your transactions to assist in any investigation or prosecution of you.,तुमच्यावरील कोणत्याही तपासात किंवा खटला चालवण्यात मदत करण्यासाठी तुमच्या व्यवहारांशी संबंधित तुम्ही आम्हाला प्रदान केलेली माहिती आम्ही कायद्याची अंमलबजावणी करू शकतो.,We can enforce the law by providing you with information related to your transactions to assist in any investigation or prosecution against you.
We may take legal action that we feel is appropriate.,आम्हाला योग्य वाटेल अशी कायदेशीर कारवाई आम्ही करू शकतो.,We will take appropriate legal action.
Poshan Calculator helps to identify various health conditions of the child as per World Health Organization (WHO) standards,पोषण कॅल्क्युलेटर जागतिक आरोग्य संघटनेच्या (डब्ल्यूएचओ) मानकांनुसार मुलाच्या विविध आरोग्य स्थिती ओळखण्यास मदत करते,The POSHAN Calculator helps in identifying the various health status of the child as per World Health Organization (WHO) standards
How to take care of weak newborn with the help of Kangaroo Mother Care,कांगारू मदर केअरच्या मदतीने कमकुवत नवजात बाळाची काळजी कशी घ्यावी,How to take care of a weak newborn with Kangaroo Mother Care?
"Any liabilities civil or criminal, arising out of any incorrect data, shall solely lie with the concerned ASP.",कोणत्याही चुकीच्या डेटामुळे उद्भवलेल्या कोणत्याही दिवाणी किंवा फौजदारी दायित्वे केवळ संबंधित एएसपीकडेच राहतील.,Any civil or criminal liability arising out of any incorrect data shall remain with the concerned ASPs only.
Poshan Tracker App is available over Google playstore https://play. google. com/store/apps/details?,पोषण ट्रॅकर अॅप गुगल प्लेस्टोअरवर उपलब्ध आहे https://play. google. com/store/apps/details?,The POSHAN tracker app is available on Google Playstore at https: / / play.google.com / store / apps / details? id =? id =? id =? t
Can App be accessed without internet?,इंटरनेटशिवाय आप मध्ये प्रवेश केला जाऊ शकतो का?,Is it possible to access you without internet?
The Government has taken several initiatives to break the intergenerational cycle of malnutrition in children.,मुलांमध्ये कुपोषणाच्या मध्यंतरी चक्र मोडीत काढण्यासाठी सरकारने अनेक पुढाकार घेतले आहेत.,The government has taken several initiatives to break the cycle of malnutrition among children.
"Adopting a life-cycle approach, interventions have been designed to meet the nutritional requirement of adolescent girls and boys, pregnant women, lactating mothers and children.","जीवन-चक्र दृष्टिकोन स्वीकारणे, हस्तक्षेप किशोरवयीन मुली आणि मुले, गर्भवती महिला, स्तनपान करणारी माता व मुलांची पौष्टिक आवश्यकता भागविण्यासाठी डिझाइन केले गेले आहे.","The intervention is designed to meet the nutritional needs of adolescent girls and children, pregnant women, lactating mothers and children."
Awareness for Pregnancy in Preventing Anemia,गरोदरपणात रक्तशय टाळण्यासाठी जागरूकता,Awareness to avoid bleeding during pregnancy
"Howrah North (U) I. C. D. S. Project, Howrah","हावडा उत्तर (यु) आयसीडीएस प्रकल्प, हावडा","Howrah North (U) ICDS Project, Howrah"
Birth Preparedness- For Institutional and Home Delivery,जन्माची तयारी- दवाखान्यात आणि घरी प्रसूतीसाठी,Birth Preparations - Hospital and Home delivery
New beneficiary addition with skip OTP option,"ओटीपी वगळा, पर्यायासह नवीन लाभार्थी जोडणे","Inclusion of new beneficiaries with options, excluding OTP"
We are now available on Video Conference,आम्ही आता व्हिडिओ कॉन्फरन्सवर उपलब्ध आहोत,We are now available through video conference
"Poshan Tracker App is meant for Aanganwadi workers, Anganwadi centers to enter beneficiaries data in the forms.","अंगणवाडी सेविका, अंगणवाडी केंद्रे, लाभार्थ्यांचा डेटा फॉर्ममध्ये टाकण्यासाठी पोषण ट्रॅकर अॅप आहे.","There is a POSHAN tracker app for uploading the data of Anganwadi Workers, Anganwadi Centres, beneficiaries in the form."
It is not at all developed for general public.,हे सर्वसामान्यांसाठी अजिबात विकसित केलेले नाही.,It is not meant for the common man.
Swastha Balak/Balika Spardha Mission is about celebrating the health of children in India.,Swastha Balak/Balika Spardha Mission is about celebrating the health of children in India.,Swastha Balak / Balika Spardha Mission is about celebrating the health of children in India.
It entails identification and awareness of health conditions and providing necessary support wherever required.,It entails identification and awareness of health conditions and providing necessary support wherever required.,It indicates identification and awareness of health conditions and providing adequate support wherever required.
”Our Privacy Policy applies when you use our Services (described below).,"""Our Privacy Policy applies when you use our Services (described below).",Our Privacy Policy applies when you use our Services (described below).
"This Privacy Policy is meant to help you understand what information we collect, why we collect it, and how it is used and shared.","This Privacy Policy is meant to help you understand what information we collect, why we collect it, and how it is used and shared.","This Privacy Policy is meant to help you understand what information we collect, why we collect it, and how it is used and shared."
The collecting and retaining agency in respect of your information is Ministry of Women and Child Development.,The collecting and retaining agency in respect of your information is Ministry of Women and Child Development.,The collecting and retaining agency in respect of your information is Ministry of Women and Child Development.
We are committed to protecting the security of your personal information and safeguarding your privacy.,We are committed to protecting the security of your personal information and safeguarding your privacy.,We are committed to protecting the security of your personal information and protecting your privacy.
How to revive your health if you are Underweight,तुमचे वजन कमी असल्यास तुमचे आरोग्य कसे सुधारावे,How to improve your health if you are underweight
Can a beneficiary change his/her AWC?,लाभार्थी त्याचे/तिचे अंगणवाडी केंद्र बदलू शकतो का?,Can the beneficiary change his / her Anganwadi Centre?
"We use the information we have, to help verify accounts.",खाती पडताळण्यात मदत करण्यासाठी आम्ही आमच्याकडे असलेली माहिती वापरतो.,We use the information we have to help us verify the accounts.
The records may be used for verification of health status for the purposes of Poshan Tracker control and response.,पोषण ट्रॅकर नियंत्रण आणि प्रतिसादाच्या उद्देशाने आरोग्य स्थितीच्या पडताळणीसाठी रेकॉर्डचा वापर केला जाऊ शकतो.,The records can be used for verification of health status for the purpose of nutrition tracker control and response.
Scan the QR Code to Download the App,अॅप डाउनलोड करण्यासाठी क्यूआर कोड स्कॅन करा,Scan the QR code to download the app
Who is eligible for Hot Cooked Meal?,गरम शिजवलेल्या जेवणासाठी कोण पात्र आहे?,Who is eligible for hot cooked meals?
Identifying and preventing Severe Acute Malnutrition,गंभीर तीव्र कुपोषण ओळखणे आणि प्रतिबंध करणे,To identify and prevent severe acute malnutrition
Children who are identified as deficit on nutrition are eligible for additional food supplements.,पोषणाची कमतरता म्हणून ओळखली जाणारी मुले अतिरिक्त आहार पूरक आहारांसाठी पात्र आहेत.,Children who are known to be deficient in nutrition are eligible for additional dietary supplements.
Who is eligible for additional supplementary food.,अतिरिक्त पूरक आहारासाठी कोण पात्र आहे.,Who is eligible for additional supplementary diet.
"Uploading of Data of Anganwadi Services Schemes in Poshan Tracker (24 May, 2021)","पोषण ट्रेकरमध्ये अंगणवाडी सेवा योजनांचा डेटा अपलोड करणे (24 मे, 2021)","Uploading of Anganwadi Services data in POSHAN tracker (24th May, 2021)"
Children between 6 months - 3 years,६ महिन्यांपासून ३ वर्षाच्या मुलांची केली,Children aged 6 months to 3 years
"Ministry of Women and Child Development, Government of India, Shastri Bhawan, New Delhi","महिला व बाल विकास मंत्रालय, भारत सरकार, शास्त्री भवन, नवी दिल्ली","Ministry of Women and Child Development, Government of India, Shastri Bhawan, New Delhi"
Care of the weak newborn baby - How many weak babies are we missing?,अशक्त नवजात बाळाची काळजी - आपण किती अशक्त नवजात  बालके गमावत आहोत?,Care for a Disabled Newborn - How many of our disabled newborns are we losing?
Underweight children who received Supplementary Nutrition,कमी वजनाची मुले ज्यांना पूरक पोषण मिळाले,Low birth weight children who received supplementary nutrition
Identification and care of a Weak Newborn baby,अशक्त नवजात बाळाची ओळख आणि काळजी,Identification and Care of a Disabled Newborn
1.2. Information from use of services.,1.2. सेवांच्या वापरावरून माहिती.,1.2 Information on use of services.
Please contact your respective Anganwadi Centre.,कृपया तुमच्या संबंधित अंगणवाडी केंद्राशी संपर्क साधा.,Please contact your respective Anganwadi Centre.
GOBARDANGA I. C. D. S PROJECT(U),गोबरडंगा आयसीडीएस प्रकल्प(यु),Gobardanga ICDS Project (U)
Please fill in the form below to create a new ticket.,नवीन तिकीट तयार करण्यासाठी कृपया खालील फॉर्म भरा.,Please fill out the following form to generate a new ticket.
Anganwadi Worker will reach out to you within 48 hours.,अंगणवाडी सेविका 48 तासांच्या आत तुमच्यापर्यंत पोहोचेल.,Anganwadi worker will reach you in 48 hours.
Please note down the ticket number for future reference.,भविष्यातील संदर्भासाठी कृपया तिकीट क्रमांकाची नोंद करा.,Please enter the ticket number for future reference.
Poshan Tracker is a project of Ministry of Women and Child Development.,पोषण ट्रॅकर हा महिला आणि बाल विकास मंत्रालयाचा प्रकल्प आहे.,POSHAN tracker is a project of the Ministry of Women and Child Development.
Digital India Corporation is the technical partner of MoWCD.,डिजिटल इंडिया कॉर्पोरेशन हे मोडब्ल्यूसीडी  चे तांत्रिक भागीदार आहे.,Digital India Corporation is the technology partner of MoWCD.
Poshan Tracker focuses on eradication of malnutrition from India.,पोषण ट्रॅकर भारतातून कुपोषण निर्मूलनावर लक्ष केंद्रित करते.,POSHAN tracker focuses on eliminating malnutrition in India.
It serves as a mechanism to monitor and improvise on the service delivery under Poshan Abhiyaan,पोषण अभियानांतर्गत सेवा वितरणावर देखरेख आणि सुधारणा करण्यासाठी हे एक यंत्रणा म्हणून काम करते,It acts as a mechanism for monitoring and improving service delivery under POSHAN Abhiyaan
Is poshan trackers app available over Apple I Store also?,अँपल आय स्टोअरमध्येही पोषण ट्रॅक अॅप उपलब्ध आहे का?,Is POSHAN TRACK APP also available on Apple iStore?
Number of records becoming inactive and number of records migrating from one category to another,निष्क्रीय होणार्या नोंदींची संख्या आणि एका श्रेणीतून दुसर्यात स्थलांतरित होणार्या नोंदींची संख्या,Number of inoperative entries and number of entries migrating from one category to another
In How many languages the Poshan Tracker App is available?,पोषण ट्रॅकर अॅप किती भाषांमध्ये उपलब्ध आहे?,How many languages is the POSHAN Tracker App available?
AWWs are requested to enter their mobile numbers in the Login screen.,एडब्ल्यूडब्ल्यू ला लॉगिन स्क्रीनमध्ये त्यांचे मोबाइल नंबर प्रविष्ट करण्याची विनंती केली जाते.,AWW is requested to enter their mobile number in the login screen.
"An OTP will be sent to your registered mobile number, post which you are required too set your MPIN.",आपल्या नोंदणीकृत मोबाइल नंबरवर एक ओटीपी पाठविला जाईल जो आपण आपला एमपीन म्हणून सेट करणे आवश्यक आहे.,"An OTP will be sent to your registered mobile number, which you will have to set as your MPIN."
Measles Containing vaccine (MCV)/MR-2JE-2**DiphtheriaPertussis & Tetanus (DPT)-Booster-1OPV –Booster,गोवर (एमसीव्ही)/एमआर-2जेई-2**घटसर्पपेर्ट्युसिस आणि टिटॅनस (डीपीटी)-बूस्टर-1ओपीव्ही - बूस्टर,Gower (MCV) / MR-2JE-2 * Ghatsarpupartosis and Tetanus (DPT) - Booster 1OPV - Booster
The Poshan Tracker enables real-time monitoring and tracking of all AWCs and beneficiaries on defined indicators.,पोषण ट्रॅकर सर्व अंगणवाडी केंद्रस् आणि लाभार्थ्यांचे रिअल-टाइम मॉनिटरिंग आणि परिभाषित निर्देशकांवर मागोवा ठेवण्यास सक्षम करते.,POSHAN tracker enables real time monitoring of all Anganwadi Centres and beneficiaries and tracking on defined indicators.
It is built using centralized data architecture that also aligns with the digital technology systems of other ministries and programs.,हे केंद्रीकृत डेटा आर्किटेक्चर वापरून तयार केले गेले आहे जे इतर मंत्रालये आणि कार्यक्रमांच्या डिजिटल तंत्रज्ञान प्रणालींशी देखील संरेखित होते.,It is built on a centralized data architecture that aligns with the digital technology systems of other ministries and programs.
The public dashboard helps to impart transparency on services delivered to beneficiaries,सार्वजनिक डॅशबोर्ड लाभार्थ्यांना दिल्या जाणार्या सेवांमध्ये पारदर्शकता आणण्यास मदत करतो,The Public Dashboard helps in bringing transparency in the services provided to the beneficiaries
Translations on the Poshan Tracker Portal & App Chabot are done by third party translators.,पोषण ट्रॅकर पोर्टल आणि एप चॅबॉट वरील भाषांतर तृतीय पक्ष अनुवादकाद्वारे केले जाते.,Translations on the POSHAN tracker portal and app chatbot are done by third party interpreters.
"While the translations are done on a best effort basis, some of the parts may be incorrect.",भाषांतरे सर्वोत्कृष्ट प्रयत्नांच्या आधारावर केली जात असली तरी काही भाग चुकीचे असू शकतात.,"Though translations are based on best effort, they may be wrong in some respects."
Certain files and other items on the website cannot be translated.,वेबसाइटवरील काही फाइल्स आणि इतर गोष्टींचे भाषांतर केले जाऊ शकत नाही.,Some of the files and other things on the website cannot be translated.
"In addition, on translation, some applications and/or services may not function as expected, due to language barriers.","याव्यतिरिक्त, भाषांतरावर, भाषेच्या अडथळ्यांमुळे काही अनुप्रयोग आणि/किंवा सेवा अपेक्षेप्रमाणे कार्य करू शकत नाहीत.","Additionally, on translation, some applications and / or services may not work as expected due to language barriers."
"We are working constantly to rectify any errors, omissions, or ambiguities in the translations provided on this portal.","या पोर्टलवर प्रदान केलेल्या भाषांतरांमधील कोणत्याही त्रुटी, चूक किंवा अस्पष्टता सुधारण्यासाठी आम्ही सतत काम करत आहोत.","We are constantly working to rectify any errors, errors or ambiguities in the translations provided on this portal."
"The MGRS collected primary growth data and related information from approximately 8500 children from widely different ethnic backgrounds and cultural settings (Brazil, Ghana, India, Norway, Oman and the USA)","एमजीआरएसने मोठ्या प्रमाणावर भिन्न वांशिक पार्श्वभूमी आणि सांस्कृतिक सेटिंग्जमधील (ब्राझील, घाना, भारत, नॉर्वे, ओमान आणि यूएसए) अंदाजे 8500 मुलांकडून प्राथमिक वाढ डेटा आणि संबंधित माहिती गोळा केली","MGRS collected primary growth data and related information from approximately 8500 children across a wide range of ethnic backgrounds and cultural settings (Brazil, Ghana, India, Norway, Oman and USA)"
Children of different age groups are monitored on monthly basis by AWWs.,वेगवेगळ्या वयोगटातील मुलांचे मासिक आधारावर अंगणवाडी सेविकास् द्वारे निरीक्षण केले जाते.,The children of different age groups are monitored on a monthly basis by Anganwadi Sevikas.
"Health indicators like Stunting, Wasting and Underweight prevalence are measured as per WHO standards.","खुंटणे, अशक्तपणा आणि कमी वजनाचे प्रमाण यासारखे आरोग्य निर्देशक डब्ल्यूएचओ मानकांनुसार मोजले जातात.","Health indicators such as stunting, anaemia and low birth weight are measured in accordance with WHO standards."
Regular growth monitoring helps AWWs to provide relevant and timely assistance to children,नियमित वाढीचे निरीक्षण केल्याने अंगणवाडी सेविका ला मुलांना संबंधित आणि वेळेवर सहाय्य प्रदान करण्यात मदत होते,Regular monitoring of the growth of Anganwadi workers will help in providing relevant and timely support to the children
"Awareness for Children Stunting, Wasting to prevent malnutrition in children","मुलांमधील कुपोषण टाळण्यासाठी बुटकेपणा, लूकडेपणा याबाबत जनजागृती",Awareness on Stunting and Malnutrition among Children
Poshan Tracker adds new application features,पोशन ट्रॅकर नवीन ऍप्लिकेशन वैशिष्ट्ये जोडत आहे,Adding new application features to the POSHAN tracker
Making or Updating Home Visit Planner and Initiating home visits,गृह- भेटीचे नियोजन बनवणे किंवा अपडेट करणे आणि गृह- भेटी सुरू करणे,Planning or updating a home visit and starting home visits
Poshan Calculator is designed to measure growth of the child based on standards defined by World Health Organization (WHO),पोषण कॅल्क्युलेटर हे मुलांची वाढ मोजण्यासाठी डिझाइन केलेले आहे जे जागतिक आरोग्य संघटनेने (डब्ल्यूएचओ) परिभाषित केलेल्या मानकांच्या आधारे मूल्यमापन करते,The POSHAN calculator is designed to measure the growth of children which is evaluated on the basis of parameters defined by the World Health Organization (WHO)
Migrated from one category to another,एका श्रेणीतून दुसर्यात स्थलांतरित झाले,Migrating from one category to another
It usually occurs when a person has not had food of adequate quality and quantity and/or they have had frequent or prolonged illnesses,हे सहसा तेव्हा होते जेव्हा एखाद्या व्यक्तीने पुरेशा दर्जाचे आणि प्रमाणात अन्न घेतले नसते आणि/किंवा त्यांना वारंवार किंवा दीर्घकाळापर्यंत आजार होत असतात,This usually happens when a person does not take adequate quality and quantity of food and / or suffers from frequent or prolonged illness
"Poshan Abhiyaan is India’s flagship programme to improve nutritional outcomes for children, adolescents, pregnant women and lactating mothers by leveraging technology, a targeted approach and convergence.","मुले, किशोरवयीन मुले, गर्भवती महिला आणि स्तनपान करणार्या मातांना तंत्रज्ञानाचा लाभ देऊन, लक्ष्यित दृष्टिकोन आणि अभिसरण देऊन पौष्टिक परिणाम सुधारण्यासाठी पोषण अभियान हा भारताचा प्रमुख कार्यक्रम आहे.","POSHAN Abhiyaan is India's flagship programme to improve the nutritional outcomes of children, adolescents, pregnant women and lactating mothers by providing them access to technology, targeted approach and convergence."
Hot Cooked Meal (HCM) given in last 30 days,मागील ३० दिवसात दिलेली गरम शिजवलेले भोजन (एचसीएम),Hot Cooked Meals (HCM) served in last 30 days
Uploading of Data of Anganwadi Services Schemes in Poshan Tracker,पोषण ट्रॅकरमध्ये अंगणवाडी सेवा योजनांचा डेटा अपलोड करणे,Uploading of Anganwadi Services data in POSHAN tracker
The Poshan Tracker generates automated alerts to the critical last-mile beneficiaries.,पोषण ट्रॅकर शेवटच्या टप्प्यातील गंभीर लाभार्थ्यांना स्वयंचलित सूचना व्युत्पन्न करतो.,The POSHAN tracker generates automated notifications for critical beneficiaries in the last stage.
It also ensures efficient audit of the delivery system by documenting real time attendance of beneficiaries and duty bearers.,हे लाभार्थी आणि कर्तव्य धारकांच्या वास्तविक वेळेच्या उपस्थितीचे दस्तऐवजीकरण करून वितरण प्रणालीचे कार्यक्षम ऑडिट देखील सुनिश्चित करते.,It also ensures an efficient audit of the distribution system by documenting the real time attendance of the beneficiaries and the duty holders.
"This management information system will help the nutrition programme to scale efficiently, thereby generating and documenting positive impact","ही व्यवस्थापन माहिती प्रणाली पोषण कार्यक्रमास कार्यक्षमतेने मापन करण्यास मदत करेल, ज्यामुळे सकारात्मक प्रभाव निर्माण आणि दस्तऐवजीकरण होईल","This Management Information System will help in effective measurement of POSHAN Abhiyaan, which will create a positive impact and document it"
How can one Download Poshan Tracker App?,आपण पोशन ट्रॅकर अॅप डाउनलोड कसे करू शकतो?,How to download the Poshan Tracker App?
"Clarification regarding Cost of Smart phones (03 June, 2021)","स्मार्ट फोनच्या किंमतीबाबात स्पष्टीकरण (03 जून, 2021)","Clarification on Price of Smartphones (June 03, 2021)"
along with status update once resolved,निराकरण झाल्यानंतर स्थिती अपडेट सह,With status update after resolution
"The Poshan Tracker system is regularly audited by auditors engaged by MWCD, for security and scalability of the system.",प्रणालीच्या सुरक्षितता आणि मापनक्षमतेसाठी पोषण ट्रॅकर प्रणालीचे नियमितपणे एमडब्ल्यूसीडीद्वारे गुंतलेल्या ऑडिटर्सद्वारे ऑडिट केले जाते.,The POSHAN tracker system is regularly audited by auditors engaged by MWCD for safety and scalability of the system.
The records may be used for such audits.,अशा ऑडिटसाठी नोंदी वापरल्या जाऊ शकतात.,Records can be used for such audit.
