eng,ml,indic_trans_translated
Poshan Calculator helps to identify various health conditions of the child as per World Health Organization (WHO) standards,ലോകാരോഗ്യ സംഘടനയുടെ (ഡബ്ല്യുഎച്ച്ഒ) മാനദണ്ഡങ്ങൾ അനുസരിച്ച് കുട്ടിയുടെ വിവിധ ആരോഗ്യസ്ഥിതികൾ തിരിച്ചറിയാൻ പോഷൻ കാൽക്കുലേറ്റർ സഹായിക്കുന്നു,The POSHAN calculator helps in identifying the various health conditions of the child as per the WHO standards
How to take care of weak newborn with the help of Kangaroo Mother Care,കംഗാരു മദർ കെയറിന്റെ സഹായത്തോടെ ദുർബലമായ നവജാതശിശുവിനെ എങ്ങനെ പരിപാലിക്കാം,How to take care of a weak newborn with the help of Kangaroo Mother Care
"Any liabilities civil or criminal, arising out of any incorrect data, shall solely lie with the concerned ASP.",ഏതെങ്കിലും തെറ്റായ ഡാറ്റയിൽ നിന്ന് ഉണ്ടാകുന്ന ഏതെങ്കിലും സിവിൽ അല്ലെങ്കിൽ ക്രിമിനൽ ബാധ്യതകൾ ബന്ധപ്പെട്ട എഎസ്പിയിൽ മാത്രമായിരിക്കും.,Any civil or criminal liability arising out of any incorrect data shall be on the concerned ASP only.
Poshan Tracker App is available over Google playstore https://play. google. com/store/apps/details?,ഗൂഗിൾ പ്ലേസ്റ്റോറിൽ പോഷാൻ ട്രാക്കർ ആപ്പ് ലഭ്യമാണ് https://play. google. com/store/apps/details?,The Poshan Tracker app is available on Google Play Store at https: / / play.google.com / store / apps / details
Can App be accessed without internet?,ഇന്റർനെറ്റ് ഇല്ലാതെ എ. പി. പി ആക്സസ് ചെയ്യാൻ കഴിയുമോ?,Can APP be accessed without internet?
The Government has taken several initiatives to break the intergenerational cycle of malnutrition in children.,കുട്ടികളിലെ പോഷകാഹാരക്കുറവിന്റെ അന്തർജനന ചക്രം തകർക്കാൻ സർക്കാർ നിരവധി സംരംഭങ്ങൾ എടുത്തിട്ടുണ്ട്.,The Government has taken several initiatives to break the cycle of under-nutrition among children.
"Adopting a life-cycle approach, interventions have been designed to meet the nutritional requirement of adolescent girls and boys, pregnant women, lactating mothers and children.","ഒരു ജീവിത ചക്ര സമീപനം സ്വീകരിച്ച്, കൌമാരക്കാരായ പെൺകുട്ടികളുടെയും ആൺകുട്ടികളുടെയും ഗർഭിണികളുടെയും മുലയൂട്ടുന്ന അമ്മമാരുടെയും കുട്ടികളുടെയും പോഷകാഹാര ആവശ്യങ്ങൾ നിറവേറ്റുന്നതിനായി ഇടപെടലുകൾ രൂപകൽപ്പന ചെയ്തിട്ടുണ്ട്.","Interventions are designed to meet the nutritional needs of adolescent girls, boys, pregnant women, lactating mothers and children by adopting a life cycle approach."
Awareness for Pregnancy in Preventing Anemia,അനീമിയ തടയുന്നതിൽ ഗർഭധാരണത്തിനുള്ള ബോധവൽക്കരണം,Awareness for prevention of Anaemia
"Howrah North (U) I. C. D. S. Project, Howrah","ഹൌറ നോർത്ത് (യു) ഐ. സി. ഡി. എസ്. പ്രോജക്ട്, ഹൌറ","Howrah North (U) ICDS Project, Howrah"
Birth Preparedness- For Institutional and Home Delivery,ജനന തയ്യാറെടുപ്പ്- സ്ഥാപനപരവും ഹോം ഡെലിവറിക്കും,Birth preparedness - Institutional and Home Delivery
New beneficiary addition with skip OTP option,OTP ഒഴിവാക്കിക്കൊണ്ടുള്ള പുതിയ ഗുണഭോക്താക്കളെ കൂട്ടിച്ചേർക്കൽ,Inclusion of new beneficiaries excluding OTP
We are now available on Video Conference,ഞങ്ങൾ ഇപ്പോൾ വീഡിയോ കോൺഫറൻസിലാണ്,We are now in a video conference
"Poshan Tracker App is meant for Aanganwadi workers, Anganwadi centers to enter beneficiaries data in the forms.",അംഗൻവാടി തൊഴിലാളികൾക്കും അംഗൻവാടി കേന്ദ്രങ്ങൾക്കും ഗുണഭോക്താക്കളുടെ ഡാറ്റ ഫോമുകളിൽ നൽകുന്നതിന് വേണ്ടിയാണ് പോഷൻ ട്രാക്കർ ആപ്പ്.,The POSHAN Tracker App is aimed at providing the data of the beneficiaries to the Anganwadi Workers and Anganwadi Centres in the form of forms.
It is not at all developed for general public.,ഇത് പൊതുജനങ്ങൾക്കായി വികസിപ്പിച്ചതല്ല.,This is not for the public.
Swastha Balak/Balika Spardha Mission is about celebrating the health of children in India.,Swastha Balak/Balika Spardha Mission is about celebrating the health of children in India.,Swastha Balak / Balika Spardha Mission is about celebrating the health of children in India.
It entails identification and awareness of health conditions and providing necessary support wherever required.,It entails identification and awareness of health conditions and providing necessary support wherever required.,It indicates identification and awareness of health conditions and providing adequate support wherever required.
”Our Privacy Policy applies when you use our Services (described below).,"""Our Privacy Policy applies when you use our Services (described below).",Our Privacy Policy applies when you use our Services (described below).
"This Privacy Policy is meant to help you understand what information we collect, why we collect it, and how it is used and shared.","This Privacy Policy is meant to help you understand what information we collect, why we collect it, and how it is used and shared.","This Privacy Policy is meant to help you understand what information we collect, why we collect it, and how it is used and shared."
The collecting and retaining agency in respect of your information is Ministry of Women and Child Development.,The collecting and retaining agency in respect of your information is Ministry of Women and Child Development.,The collecting and retaining agency in respect of your information is Ministry of Women and Child Development.
We are committed to protecting the security of your personal information and safeguarding your privacy.,We are committed to protecting the security of your personal information and safeguarding your privacy.,We are committed to protecting the security of your personal information and protecting your privacy.
How to revive your health if you are Underweight,നിങ്ങൾക്ക് ഭാരം കുറവാണെങ്കിൽ നിങ്ങളുടെ ആരോഗ്യം എങ്ങനെ പുനരുജ്ജീവിപ്പിക്കാം,How to restore your health if you are underweight
Can a beneficiary change his/her AWC?,ഒരു ഗുണഭോക്താവിന് അവന്റെ/അവളുടെ AWC മാറ്റാൻ കഴിയുമോ?,Can a beneficiary change his / her AWC?
"We use the information we have, to help verify accounts.",അക്കൌണ്ടുകൾ സ്ഥിരീകരിക്കാൻ സഹായിക്കുന്നതിന് ഞങ്ങളുടെ പക്കലുള്ള വിവരങ്ങൾ ഞങ്ങൾ ഉപയോഗിക്കുന്നു.,We are using the information available with us to help us authenticate the accounts.
The records may be used for verification of health status for the purposes of Poshan Tracker control and response.,പോഷൻ ട്രാക്കർ നിയന്ത്രണത്തിനും പ്രതികരണത്തിനും വേണ്ടി ആരോഗ്യ നില പരിശോധിക്കുന്നതിന് രേഖകൾ ഉപയോഗിക്കാം.,The documents may be used to check the health status for the control and response of the POSHAN tracker.
Scan the QR Code to Download the App,ആപ്പ് ഡൌൺലോഡ് ചെയ്യുന്നതിന് ക്യുആർ കോഡ് സ്കാൻ ചെയ്യുക,Scan the QR code to download the app
Who is eligible for Hot Cooked Meal?,ചൂട് പാകം ചെയ്ത ഭക്ഷണത്തിന് അർഹതയുള്ളത് ആരാണ്?,Who is eligible for hot cooked food?
Identifying and preventing Severe Acute Malnutrition,ഗുരുതരമായ പോഷകാഹാരക്കുറവ് തിരിച്ചറിയുകയും തടയുകയും ചെയ്യുക,Identify and prevent severe malnutrition
Children who are identified as deficit on nutrition are eligible for additional food supplements.,പോഷകാഹാരക്കുറവ് തിരിച്ചറിയുന്ന കുട്ടികൾക്ക് അധിക ഭക്ഷണ സപ്ലിമെന്റുകൾക്ക് അർഹതയുണ്ട്.,Children who are malnourished are entitled to additional food supplements.
Who is eligible for additional supplementary food.,അധിക സപ്ലിമെന്ററി ഭക്ഷണത്തിന് അർഹതയുള്ളവർ.,Eligible for additional supplementary food.
"Uploading of Data of Anganwadi Services Schemes in Poshan Tracker (24 May, 2021)","അംഗൻവാടി സേവന പദ്ധതികളുടെ ഡാറ്റ പോഷൻ ട്രാക്കറിൽ അപ്ലോഡ് ചെയ്യുന്നു (24 മേയ്, 2021)","Data of Anganwadi Services Schemes to be uploaded on POSHAN Tracker (24th May, 2021)"
Children between 6 months - 3 years,6 മാസം മുതൽ 3 വയസ് വരെയുള്ള ചെയ്തു,6 months to 3 years
"Ministry of Women and Child Development, Government of India, Shastri Bhawan, New Delhi","വനിതാ-ശിശു വികസന മന്ത്രാലയം, ഇന്ത്യാ ഗവൺമെന്റ്, ശാസ്ത്ര ഭവൻ, ന്യൂഡൽഹി","Ministry of Women and Child Development, Government of India, Vigyan Bhawan, New Delhi"
Care of the weak newborn baby - How many weak babies are we missing?,ആഴ്ചയിലെ നവജാത ശിശുവിന്റെ സംരക്ഷണം - എത്ര ആഴ്ചകളിലെ കുഞ്ഞുങ്ങളെ നമുക്ക് കാണാതാവുന്നു?,Protecting the Newborn of the Week - How many weeks old are we missing?
Underweight children who received Supplementary Nutrition,സപ്ലിമെന്ററി പോഷകാഹാരം ലഭിച്ച ഭാരക്കുറവുള്ള കുട്ടികൾ,Children with undernourished children
Identification and care of a Weak Newborn baby,ദുർബലമായ നവജാത ശിശുവിന്റെ തിരിച്ചറിയലും പരിചരണവും,Identification and Care of a Vulnerable Newborn
1.2. Information from use of services.,1.2. സേവനങ്ങളുടെ ഉപയോഗത്തിൽ നിന്നുള്ള വിവരങ്ങൾ.,1.2 Data on use of services.
Please contact your respective Anganwadi Centre.,ദയവായി നിങ്ങളുടെ അങ്കണവാടി കേന്ദ്രവുമായി ബന്ധപ്പെടുക.,Please contact your Anganwadi Centre.
GOBARDANGA I. C. D. S PROJECT(U),ഗോബർദംഗ ഐസിഡിഎസ് പ്രോജക്ട്(യു),Gobardanga ICDS Project (U)
Please fill in the form below to create a new ticket.,ഒരു പുതിയ ടിക്കറ്റ് സൃഷ്ടിക്കാൻ ചുവടെയുള്ള ഫോം പൂരിപ്പിക്കുക.,To create a new ticket fill the form below.
Anganwadi Worker will reach out to you within 48 hours.,അംഗൻവാടി വർക്കർ 48 മണിക്കൂറിനുള്ളിൽ നിങ്ങളെ ബന്ധപ്പെടും.,Anganwadi workers will contact you within 48 hours.
Your request is received.Please note down the ticket number for future reference.,നിങ്ങളുടെ അപേക്ഷ സ്വീകരിച്ചിരിക്കുന്നു ഭാവി ഉപയോഗത്തിനായി ടിക്കറ്റ് നമ്പർ ദയവായി നോട്ട് ചെയ്യുക,Your application has been accepted. Please note down the ticket number for future use
Is poshan trackers app available over Apple I Store also?,ആപ്പിൾ ഐ സ്റ്റോറിലും പോഷൻ ട്രാക്ക് ആപ്ലിക്കേഷൻ ലഭ്യമാണോ?,Is the Potion Track app also available on Apple iStore?
Number of records becoming inactive and number of records migrating from one category to another,"പ്രവർത്തനരഹിതമാകുന്ന റെക്കോർഡുകളുടെ എണ്ണം, ഒരു വിഭാഗത്തിൽ നിന്നും മറ്റൊന്നിലേക്ക് മാറുന്ന റെക്കോർഡുകളുടെ എണ്ണം","Number of records to be disabled, number of records to be transferred from one category to another"
In How many languages the Poshan Tracker App is available?,പോഷാൻ ട്രാക്കർ ആപ്പ് എത്ര ഭാഷകളിൽ ലഭ്യമാണ്?,In how many languages is the Poshan Tracker App available?
AWWs are requested to enter their mobile numbers in the Login screen.,എഒപ്പംഒപ്പം- കൾ അവരുടെ മൊബൈൽ നമ്പറുകൾ ലോഗിൻ സ്ക്രീനിൽ നൽകാൻ അഭ്യർത്ഥിക്കുന്നു.,The applicants are requested to provide their mobile numbers on the login screen.
"An OTP will be sent to your registered mobile number, post which you are required too set your MPIN.","നിങ്ങളുടെ രജിസ്റ്റർ ചെയ്ത മൊബൈൽ നമ്പറിലേക്ക് ഒരു ഒടിപി അയയ്ക്കും, നിങ്ങൾക്കാവശ്യമുള്ള പോസ്റ്റും നിങ്ങളുടെ എംപിഎൻ സജ്ജമാക്കുക.","An OTP will be sent to your registered mobile number, and you will be asked to set up the post you want."
Measles Containing vaccine (MCV)/MR-2JE-2**DiphtheriaPertussis & Tetanus (DPT)-Booster-1OPV –Booster,അഞ്ചാംപനി അടങ്ങിയ വാക്സിൻ (MCV)/MR-2JE-2**ഡിഫ്തീരിയപെർട്ടുസിസ് & ടെറ്റനസ് (DPT)-ബൂസ്റ്റർ-1OPV -ബൂസ്റ്റർ,Vaccine (MCV) / MR-2JE-2 * Diphtheria pertussis & tetanus (DPT) -booster 1OPV-booster
The Poshan Tracker enables real-time monitoring and tracking of all AWCs and beneficiaries on defined indicators.,നിർവചിക്കപ്പെട്ട സൂചകങ്ങളിൽ എല്ലാ AWC-കളുടെയും ഗുണഭോക്താക്കളുടെയും തത്സമയ നിരീക്ഷണവും ട്രാക്കിംഗും പോഷൻ ട്രാക്കർ പ്രാപ്തമാക്കുന്നു.,POSHAN tracker enables real time monitoring and tracking of all AWCs and beneficiaries on defined indicators.
It is built using centralized data architecture that also aligns with the digital technology systems of other ministries and programs.,"കേന്ദ്രീകൃത ഡാറ്റ ആർക്കിടെക്ചർ ഉപയോഗിച്ചാണ് ഇത് നിർമ്മിച്ചിരിക്കുന്നത്, അത് മറ്റ് മന്ത്രാലയങ്ങളുടെയും പ്രോഗ്രാമുകളുടെയും ഡിജിറ്റൽ സാങ്കേതിക സംവിധാനങ്ങളുമായി വിന്യസിക്കുന്നു.",It is built on a centralized data architecture that integrates digital technology systems of other ministries and programs.
The public dashboard helps to impart transparency on services delivered to beneficiaries,ഗുണഭോക്താക്കൾക്ക് നൽകുന്ന സേവനങ്ങളിൽ സുതാര്യത നൽകാൻ പൊതു ഡാഷ്ബോർഡ് സഹായിക്കുന്നു,Public Dashboard helps in Transparency in Services to Beneficiaries
Translations on the Poshan Tracker Portal & App Chabot are done by third party translators.,പോഷൻ ട്രാക്കർ പോർട്ടലിലെയും ആപ്പ് ചാബോട്ടിലെയും വിവർത്തനങ്ങൾ മൂന്നാം കക്ഷി വിവർത്തകരാണ് ചെയ്യുന്നത്.,Translations on the Potion Tracker Portal and App Chatbot are done by third party interpreters.
"While the translations are done on a best effort basis, some of the parts may be incorrect.","വിവർത്തനങ്ങൾ മികച്ച പ്രയത്നത്തിന്റെ അടിസ്ഥാനത്തിലാണെങ്കിലും, ചില ഭാഗങ്ങൾ തെറ്റായിരിക്കാം.","Though translations are based on good effort, some parts may be wrong."
Certain files and other items on the website cannot be translated.,വെബ്സൈറ്റിലെ ചില ഫയലുകളും മറ്റ് ഇനങ്ങളും വിവർത്തനം ചെയ്യാൻ കഴിയില്ല.,Some files and other items on the website cannot be translated.
"In addition, on translation, some applications and/or services may not function as expected, due to language barriers.","കൂടാതെ, പരിഭാഷയിൽ, ഭാഷാ തടസ്സങ്ങൾ കാരണം ചില ആപ്ലിക്കേഷനുകളും കൂടാതെ/അല്ലെങ്കിൽ സേവനങ്ങളും പ്രതീക്ഷിച്ച പോലെ പ്രവർത്തിച്ചേക്കില്ല.","Also, in translation, some applications and / or services may not work as expected due to language barriers."
"We are working constantly to rectify any errors, omissions, or ambiguities in the translations provided on this portal.",ഈ പോർട്ടലിൽ നൽകിയിരിക്കുന്ന വിവർത്തനങ്ങളിലെ തെറ്റുകളോ ഒഴിവാക്കലുകളോ അവ്യക്തതകളോ തിരുത്താൻ ഞങ്ങൾ നിരന്തരം പ്രവർത്തിക്കുന്നു.,"We are constantly working to correct the errors, omissions and ambiguities in the translations provided on this portal."
"The MGRS collected primary growth data and related information from approximately 8500 children from widely different ethnic backgrounds and cultural settings (Brazil, Ghana, India, Norway, Oman and the USA)","വിവിധ വംശീയ പശ്ചാത്തലങ്ങളിൽ നിന്നും സാംസ്കാരിക പശ്ചാത്തലങ്ങളിൽ നിന്നുമുള്ള (ബ്രസീൽ, ഘാന, ഇന്ത്യ, നോർവേ, ഒമാൻ, യുഎസ്എ) ഏകദേശം 8500 കുട്ടികളിൽ നിന്ന് പ്രാഥമിക വളർച്ചാ വിവരങ്ങളും അനുബന്ധ വിവരങ്ങളും MGRS ശേഖരിച്ചു","MGRS collects primary growth data and related data from around 8500 children from different ethnic and cultural backgrounds (Brazil, Ghana, India, Norway, Oman, USA)"
Children of different age groups are monitored on monthly basis by AWWs.,വിവിധ പ്രായത്തിലുള്ള കുട്ടികളെ AWW-കൾ പ്രതിമാസം നിരീക്ഷിക്കുന്നു.,AWWs monitor children of different ages on a monthly basis.
"Health indicators like Stunting, Wasting and Underweight prevalence are measured as per WHO standards.","ആരോഗ്യ സൂചകങ്ങളായ മുരടിപ്പ്, ക്ഷീണം, ഭാരക്കുറവ് എന്നിവയുടെ വ്യാപനം ലോകാരോഗ്യ സംഘടനയുടെ മാനദണ്ഡങ്ങൾക്കനുസരിച്ചാണ് അളക്കുന്നത്.","The prevalence of health indicators like obesity, fatigue and weight loss are measured in accordance with WHO standards."
Regular growth monitoring helps AWWs to provide relevant and timely assistance to children,ക്രമമായ വളർച്ചാ നിരീക്ഷണം കുട്ടികൾക്ക് പ്രസക്തവും സമയബന്ധിതവുമായ സഹായം നൽകാൻ AWW-കളെ സഹായിക്കുന്നു,Regular growth monitoring helps AWWs to provide relevant and timely support to children
"Awareness for Children Stunting, Wasting to prevent malnutrition in children","കുട്ടികളിലെ പോഷകാഹാരക്കുറവ് തടയാൻ കുട്ടികൾക്കുള്ള ബോധവൽക്കരണം മുരടിപ്പ്, പാഴാക്കൽ",Awareness drive to prevent malnutrition among children
Poshan Tracker adds new application features,പോഷൺട്രാക്കർ പുതിയ ആപ്ലിക്കേഷൻ ഫീച്ചറുകൾ ചേർക്കുന്നു,PoshanTracker adds new app features
Making or Updating Home Visit Planner and Initiating home visits,ഹോം വിസിറ്റ് പ്ലാനർ ഉണ്ടാക്കുകയോ അപ്ഡേറ്റ് ചെയ്യുകയോ ഹോം സന്ദർശനങ്ങൾ ആരംഭിക്കുകയോ ചെയ്യുക,Create or update a Home Visit Planner or start home visits
Poshan Calculator is designed to measure growth of the child based on standards defined by World Health Organization (WHO),ലോകാരോഗ്യ സംഘടന (ഡബ്ല്യുഎച്ച്ഒ) നിർവചിച്ചിരിക്കുന്ന മാനദണ്ഡങ്ങളെ അടിസ്ഥാനമാക്കി കുട്ടിയുടെ വളർച്ച അളക്കുന്നതിനാണ് പോഷൻ കാൽക്കുലേറ്റർ രൂപകൽപ്പന ചെയ്തിരിക്കുന്നത്,The POSHAN calculator is designed to measure the growth of a child based on the criteria defined by the World Health Organization (WHO)
Migrated from one category to another,ഒരു വിഭാഗത്തിൽ നിന്നും മറ്റൊന്നിലേക്ക് മാറി,Moving from one category to another
It usually occurs when a person has not had food of adequate quality and quantity and/or they have had frequent or prolonged illnesses,ഒരു വ്യക്തിക്ക് വേണ്ടത്ര ഗുണനിലവാരവും അളവും ഉള്ള ഭക്ഷണം ഇല്ലെങ്കിൽ കൂടാതെ/അല്ലെങ്കിൽ അവർക്ക് ഇടയ്ക്കിടെ അല്ലെങ്കിൽ നീണ്ടുനിൽക്കുന്ന അസുഖങ്ങൾ ഉണ്ടാകുമ്പോഴാണ് ഇത് സാധാരണയായി സംഭവിക്കുന്നത്,It usually occurs when an individual does not have adequate quality and quantity of food and / or has frequent or chronic illnesses.
Malnutrition is one of the most important challenges facing contemporary India.,സമകാലിക ഇന്ത്യ നേരിടുന്ന ഏറ്റവും പ്രധാനപ്പെട്ട വെല്ലുവിളിയാണ് പോഷകാഹാരക്കുറവ്.,Malnutrition is one of the most pressing challenges facing contemporary India.
Nutrition is acknowledged as central to the achievement of National and Global Sustainable Development Goals.,"ദേശീയ, ആഗോള സുസ്ഥിര വികസന ലക്ഷ്യങ്ങളുടെ നേട്ടത്തിന്റെ കേന്ദ്രമായി പോഷകാഹാരം അംഗീകരിക്കപ്പെട്ടിരിക്കുന്നു.",Nutrition has been recognized as central to achieving national and global Sustainable Development Goals.
"Optimum and appropriate nutrition is essential for women and children to survive, thrive and break the intergenerational cycle of poor health and poverty in the community.",സമൂഹത്തിലെ മോശം ആരോഗ്യത്തിൻറെയും ദാരിദ്ര്യത്തിൻറെയും അന്തർജനന ചക്രം അതിജീവിക്കാനും അഭിവൃദ്ധി പ്രാപിക്കാനും തകർക്കാനും സ്ത്രീകൾക്കും കുട്ടികൾക്കും ഒപ്റ്റിമലും ഉചിതമായ പോഷകാഹാരവും ആവശ്യമാണ്.,"Women and children need Optimal and proper nutrition to survive, thrive and break the vicious cycle of ill health and poverty in society."
"Poshan Abhiyaan is India’s flagship programme to improve nutritional outcomes for children, adolescents, pregnant women and lactating mothers by leveraging technology, a targeted approach and convergence.",കുട്ടികൾക്കും ക o മാരക്കാർക്കും മുൻഗണനകൾക്കുമുള്ള പോഷക ഫലങ്ങൾ മെച്ചപ്പെടുത്തുന്നതിനുള്ള ഇന്ത്യയുടെ മുൻനിര പദ്ധതിയാണ് പോഷൻ അഭിയാൻ.,"POSHAN Abhiyaan is India's flagship programme to improve nutritional outcomes for children, adolescents and adolescents."
Hot Cooked Meal (HCM) given in last 30 days,കഴിഞ്ഞ 30 ദിവസത്തിനുള്ളിൽ നൽകിയ ചൂടുള്ള വേവിച്ച ഭക്ഷണം (HCM),Hot Cooked Meals (HCM) served during last 30 days
Uploading of Data of Anganwadi Services Schemes in Poshan Tracker,അങ്കണവാടി സേവന പദ്ധതികളുടെ ഡാറ്റ പോഷൻ ട്രാക്കറിൽ അപ്ലോഡ് ചെയ്യുന്നു,Data of Anganwadi Services being uploaded in POSHAN tracker
How can one Download Poshan Tracker App?,ഒരാൾക്ക് എങ്ങനെ പോഷാൻ ട്രാക്കർ എ. പി. പി ഡൌൺലോഡുചെയ്യാനാകും?,How can one download the Poshan Tracker APP?
"Clarification regarding Cost of Smart phones (03 June, 2021)","സ്മാർട്ട് ഫോണുകളുടെ വില സംബന്ധിച്ച വിശദീകരണം (03 ജൂൺ, 2021)","Clarification regarding Price of Smartphones (June 03, 2021)"
along with status update once resolved,പരിഹരിച്ചു കഴിഞ്ഞാൽ സ്റ്റാറ്റസ് അപ്ഡേറ്റ് ചെയ്യണം,Update status when resolved
