eng,kn,indic_trans_translated
Hot Cooked Meal (HCM) Given Today,ಈವತ್ತು ಕೊಟ್ಟ ಬೇಯಿಸಿದ ಬಿಸಿಯೂಟ(ಎಚ್. ಸಿ. ಎಮ್),Hot Cooked Meal (HCM)
There are 6 categories for beneficiariesPregnant WomenLactating MotherChildren from 0 to 6 monthsChildren from 6 months to 3 yearsChildren from 3 years to 6 yearsAdolescent girls,ಫಲಾನುಭವಿಗಳಿಗೆ 6 ವಿಭಾಗಗಳಿವೆಗರ್ಭಿಣಿಯರುಹಾಲುಣಿಸುವ ತಾಯಿ0 ರಿಂದ 6 ತಿಂಗಳ ಮಗು6 ತಿಂಗಳಿಂದ 3 ವರ್ಷಗಳವರೆಗೆ ಮಕ್ಕಳು3 ವರ್ಷದಿಂದ 6 ವರ್ಷಗಳವರೆಗೆ ಮಕ್ಕಳುಹದಿಹರೆಯದ ಹುಡುಗಿಯರು,6 categories of beneficiaries Pregnant women (0-6 months) Children (6-3 years) Children (3-6 years) Girls (0-6 years)
"Data Plan for Mobile Application (01 March, 2021)","ಮೊಬೈಲ್ ಆಪ್ಲಿಕೇಶನ್ ನ ಡೇಟ ಯೋಜನೆ(೦೧ ಮಾರ್ಚ್, ೨೦೨೧)","Mobile Application Data Plan (March 01, 2021)"
 VIII. LIMITATIONS OF MULTI- LINGUAL INTERFACE, VIII. ಬಹುಭಾಷಾ ಇಂಟರ್ಫೇಸ್ಗಳ ಮಿತಿಗಳು,VIII. Limitations of Multilingual Interfaces
Srijangram I. C. D. S. Project,ಸೃಜನ್ಗ್ರಾಮ್ ಐ. ಸಿ. ಡಿ. ಎಸ್. ಯೋಜನೆ,Srujangram ICDS Project
"We may investigate any violation of these Terms, including unauthorized use of the Site.",ಸೈಟ್ನ ಅನಧಿಕೃತ ಬಳಕೆ ಸೇರಿದಂತೆ ಈ ನಿಯಮಗಳ ಯಾವುದೇ ಉಲ್ಲಂಘನೆಯನ್ನು ನಾವು ತನಿಖೆ ಮಾಡಬಹುದು.,We can investigate any violation of these rules including unauthorized use of the site.
We may provide law enforcement with information you provide to us related to your transactions to assist in any investigation or prosecution of you.,ನಿಮ್ಮ ಯಾವುದೇ ತನಿಖೆ ಅಥವಾ ಕಾನೂನು ಕ್ರಮದಲ್ಲಿ ಸಹಾಯ ಮಾಡಲು ನಿಮ್ಮ ವಹಿವಾಟುಗಳಿಗೆ ಸಂಬಂಧಿಸಿದ ಮಾಹಿತಿಯನ್ನು ನಾವು ಕಾನೂನಿಗೆ ಒದಗಿಸಬಹುದು.,We can provide you with information related to your transactions to help you in any investigation or legal proceedings.
We may take legal action that we feel is appropriate.,ನಾವು ಸೂಕ್ತವೆನಿಸಿದ ಕಾನೂನು ಕ್ರಮ ತೆಗೆದುಕೊಳ್ಳಬಹುದು.,We will take appropriate legal action.
Poshan Calculator helps to identify various health conditions of the child as per World Health Organization (WHO) standards,ವಿಶ್ವ ಆರೋಗ್ಯ ಸಂಸ್ಥೆ (WHO) ಮಾನದಂಡಗಳ ಪ್ರಕಾರ ಮಗುವಿನ ವಿವಿಧ ಆರೋಗ್ಯ ಪರಿಸ್ಥಿತಿಗಳನ್ನು ಗುರುತಿಸಲು ನ್ಯೂಟ್ರಿಷನ್ ಕ್ಯಾಲ್ಕುಲೇಟರ್ ಸಹಾಯ ಮಾಡುತ್ತದೆ,The Nutritional Calculator helps in identifying the various health conditions of the child as per the World Health Organization (WHO) norms
How to take care of weak newborn with the help of Kangaroo Mother Care,ಕಾಂಗರೂ ತಾಯಿ ಆರೈಕೆಯ ಸಹಾಯದಿಂದ ದುರ್ಬಲ ನವಜಾತ ಶಿಶುಗಳನ್ನು ಹೇಗೆ ಆರೈಕೆ ಮಾಡುವುದು,How to take care of weak newborns with the help of Kangaroo mother
"Any liabilities civil or criminal, arising out of any incorrect data, shall solely lie with the concerned ASP.",ಯಾವುದೇ ತಪ್ಪಾದ ದತ್ತಾಂಶದಿಂದ ಉಂಟಾಗುವ ಸಿವಿಲ್ ಅಥವಾ ಕ್ರಿಮಿನಲ್ ಹೊಣೆಗಾರಿಕೆಗಳು ಸಂಪೂರ್ಣವಾಗಿ ಸಂಬಂಧಪಟ್ಟ ASP ಯ ಬಳಿ ಇರುತ್ತವೆ.,Civil or criminal liability arising out of any incorrect data is entirely with the concerned ASP.
Poshan Tracker App is available over Google playstore https://play. google. com/store/apps/details?,ಪೋಷಣ್ ಟ್ರ್ಯಾಕರ್ ಆಪ್ಪ್ ಗೂಗ್ಲ್ ಪ್ಲೇಸ್ಟೋರ್ ನಲ್ಲಿ ಲಭ್ಯವಿದೆ https://play. google. com/store/apps/details?,The POSHAN Tracker app is available on the Google Play Store at https: / / play.google.com / store / apps / details? id =? id =? id =? t
Can App be accessed without internet?,ಇಂಟರ್ನೆಟ್ ಇಲ್ಲದೆ ಈ ಆಪ್ಪ್ ಅನ್ನು ಪ್ರವೇಶಿಸಬಹುದೇ?,Can I access this app without internet?
The Government has taken several initiatives to break the intergenerational cycle of malnutrition in children.,ಮಕ್ಕಳಲ್ಲಿ ಅಪೌಷ್ಟಿಕತೆಯ ಅಂತರಜನಕ ಚಕ್ರವನ್ನು ಮುರಿಯಲು ಸರ್ಕಾರ ಹಲವಾರು ಉಪಕ್ರಮಗಳನ್ನು ಕೈಗೊಂಡಿದೆ.,The Government has taken a number of initiatives to break the vicious cycle of malnutrition among children
"Adopting a life-cycle approach, interventions have been designed to meet the nutritional requirement of adolescent girls and boys, pregnant women, lactating mothers and children.","ಜೀವನ ಚಕ್ರ ವಿಧಾನವನ್ನು ಅಳವಡಿಸಿಕೊಂಡು, ಹದಿಹರೆಯದ ಹುಡುಗಿಯರು ಮತ್ತು ಹುಡುಗರು, ಗರ್ಭಿಣಿಯರು, ಹಾಲುಣಿಸುವ ತಾಯಂದಿರು ಮತ್ತು ಮಕ್ಕಳ ಪೌಷ್ಠಿಕಾಂಶದ ಅಗತ್ಯವನ್ನು ಪೂರೈಸಲು ಮಧ್ಯಸ್ಥಿಕೆಗಳನ್ನು ವಿನ್ಯಾಸಗೊಳಿಸಲಾಗಿದೆ.","Interventions have been designed to meet the nutritional needs of adolescent girls and boys, pregnant women, lactating mothers and children by adopting the life cycle approach"
Awareness for Pregnancy in Preventing Anemia,ರಕ್ತಹೀನತೆಯನ್ನು ತಡೆಗಟ್ಟುವಲ್ಲಿ ಗರ್ಭಾವಸ್ಥೆಯ ಬಗ್ಗೆ ಜಾಗೃತಿ,Awareness on pregnancy for prevention of anemia
"Howrah North (U) I. C. D. S. Project, Howrah","ಹೌರಾ ಉತ್ತರ (ಯು) ಐ. ಸಿ. ಡಿ. ಎಸ್. ಯೋಜನೆ, ಹೌರಾ","Howrah North (U) ICDS Project, Howrah"
Birth Preparedness- For Institutional and Home Delivery,ಜನನಕ್ಕಾಗಿ ಸಿದ್ದತೆ ಸಾಂಸ್ಥಿಕ ಮತ್ತು ಮನೆ ಹೆರಿಗೆಗಾಗಿ,Preparing for institutional delivery and home delivery
New beneficiary addition with skip OTP option,ಸ್ಕಿಪ್ OTP ಆಯ್ಕೆಯೊಂದಿಗೆ ಹೊಸ ಫಲಾನುಭವಿ ಸೇರ್ಪಡೆ,New beneficiary added with OTP option
We are now available on Video Conference,ನಾವು ಈಗ ವೀಡಿಯೊ ಕಾನ್ಫರೆನ್ಸ್ ನಲ್ಲಿ ಲಭ್ಯ,We are now available through video conference
"Poshan Tracker App is meant for Aanganwadi workers, Anganwadi centers to enter beneficiaries data in the forms.","ಅಂಗನವಾಡಿ ಕಾರ್ಮಿಕರು, ಅಂಗನವಾಡಿ ಕೇಂದ್ರಗಳು ಫಲಾನುಭವಿಗಳ ಡೇಟಾವನ್ನು ನಮೂನೆಗಳಲ್ಲಿ ನಮೂದಿಸಲು ಪೋಶನ್ ಟ್ರ್ಯಾಕರ್ ಅಪ್ಲಿಕೇಶನ್ ಸ್ರಿಷ್ಟಿಸಲಾಗಿದೆ.","A Poshan Tracker App has been created for capturing the data of Anganwadi Workers, Anganwadi Centres and beneficiaries in the form"
It is not at all developed for general public.,ಇದು ಸಾಮಾನ್ಯ ಜನರಿಗೆ ಅಭಿವೃದ್ಧಿ ಹೊಂದಿಲ್ಲ.,This is not development for the common man.
Swastha Balak/Balika Spardha Mission is about celebrating the health of children in India.,Swastha Balak/Balika Spardha Mission is about celebrating the health of children in India.,Swastha Balak / Balika Spardha Mission is about celebrating the health of children in India.
It entails identification and awareness of health conditions and providing necessary support wherever required.,It entails identification and awareness of health conditions and providing necessary support wherever required.,It indicates identification and awareness of health conditions and providing adequate support wherever required.
”Our Privacy Policy applies when you use our Services (described below).,"""Our Privacy Policy applies when you use our Services (described below).",Our Privacy Policy applies when you use our Services (described below).
"This Privacy Policy is meant to help you understand what information we collect, why we collect it, and how it is used and shared.","This Privacy Policy is meant to help you understand what information we collect, why we collect it, and how it is used and shared.","This Privacy Policy is meant to help you understand what information we collect, why we collect it, and how it is used and shared."
The collecting and retaining agency in respect of your information is Ministry of Women and Child Development.,The collecting and retaining agency in respect of your information is Ministry of Women and Child Development.,The collecting and retaining agency in respect of your information is Ministry of Women and Child Development.
We are committed to protecting the security of your personal information and safeguarding your privacy.,We are committed to protecting the security of your personal information and safeguarding your privacy.,We are committed to protecting the security of your personal information and protecting your privacy.
How to revive your health if you are Underweight,ನೀವು ಕಡಿಮೆ ತೂಕ ಹೊಂದಿದ್ದರೆ ನಿಮ್ಮ ಆರೋಗ್ಯವನ್ನು ಹೇಗೆ ಪುನರುಜ್ಜೀವನಗೊಳಿಸುವುದು,How to improve your health if you are underweight
Can a beneficiary change his/her AWC?,ಒಬ್ಬ ಫಲಾನುಭವಿ ಅವನ/ಅವಳ AWC ಬದಲಾಯಿಸಬಹುದೇ?,Can a beneficiary change his / her AWC?
"We use the information we have, to help verify accounts.",ನಾವು ನಮ್ಮ ಬಳಿ ಇರುವ ಮಾಹಿತಿಯನ್ನು ಖಾತೆಗಳನ್ನು ಪರಿಶೀಲಿಸಲು ಬಳಸುತ್ತೇವೆ.,We use the information available with us to verify the accounts.
The records may be used for verification of health status for the purposes of Poshan Tracker control and response.,ಪೋಷನ್ ಟ್ರ್ಯಾಕರ್ ನಿಯಂತ್ರಣ ಮತ್ತು ಪ್ರತಿಕ್ರಿಯೆಯ ಉದ್ದೇಶಗಳಿಗಾಗಿ ಆರೋಗ್ಯ ಸ್ಥಿತಿಯನ್ನು ಪರಿಶೀಲಿಸಲು ದಾಖಲೆಗಳನ್ನು ಬಳಸಬಹುದು.,The nutrition tracker can use the documents to check the health status for control and response purposes.
Scan the QR Code to Download the App,ಅಪ್ಲಿಕೇಶನ್ ಡೌನ್ ಲೋಡ್ ಮಾಡಲು ಕ್ಯೂಆರ್ ಕೋಡ್ ಸ್ಕ್ಯಾನ್ ಮಾಡಿ,Scan the QR code to download the app
Who is eligible for Hot Cooked Meal?,ಬಿಸಿ ಊಟಕ್ಕೆ ಯಾರು ಅರ್ಹರು?,Who should have a hot meal?
Identifying and preventing Severe Acute Malnutrition,ತೀವ್ರ ಅಪೌಷ್ಟಿಕತೆಯನ್ನು ಗುರುತಿಸುವುದು ಮತ್ತು ತಡೆಗಟ್ಟುವುದು,Recognizing and Preventing Severe Malnutrition
Children who are identified as deficit on nutrition are eligible for additional food supplements.,ಪೌಷ್ಟಿಕಾಂಶದ ಕೊರತೆಯಿರುವ ಮಕ್ಕಳು ಹೆಚ್ಚುವರಿ ಆಹಾರ ಪಡೆಯಲು ಅರ್ಹರಾಗಿರುತ್ತಾರೆ.,Children who are malnourished are entitled to extra food.
Who is eligible for additional supplementary food.,ಹೆಚ್ಚುವರಿ ಪೂರಕ ಆಹಾರಕ್ಕಾಗಿ ಯಾರು ಅರ್ಹರು.,Who is eligible for additional supplementary food
"Uploading of Data of Anganwadi Services Schemes in Poshan Tracker (24 May, 2021)","ಅಂಗನವಾಡಿ ಸೇವೆಗಳ ಯೋಜನೆಗಳ ದತ್ತಾಂಶವನ್ನು ಪೋಷಣ್ ಟ್ರ್ಯಾಕರ್ ನಲ್ಲಿ ಅಪ್ ಲೋಡ್ ಮಾಡಲಾಗುತ್ತಿದೆ.(೨೪ ಮೇ, ೨೦೨೧)","Data of Anganwadi Services Schemes being uploaded on POSHAN Tracker (24th May, 2021)"
Children between 6 months - 3 years,೬ ತಿಂಗಳ -೩ ವರ್ಷದ ನಡುವೆ ಮಕ್ಕಳು,Children between 6 months and 3 years
"Ministry of Women and Child Development, Government of India, Shastri Bhawan, New Delhi","ಮಹಿಳಾ ಮತ್ತು ಮಕ್ಕಳ ಅಭಿವೃದ್ಧಿ ಸಚಿವಾಲಯ, ಭಾರತ ಸರ್ಕಾರ, ಶಾಸ್ತ್ರಿ ಭವನ, ನವದೆಹಲಿ","Ministry of Women and Child Development, Government of India, Shastri Bhawan, New Delhi"
Care of the weak newborn baby - How many weak babies are we missing?,ದುರ್ಬಲ ನವಜಾತ ಶಿಶುವಿನ ಆರೈಕೆ - ನಾವು ಎಷ್ಟು ದರ್ಬಲ ಮಕ್ಕಳನ್ನು ಕಳೆದುಕೊಳ್ಳುತ್ತಿದ್ದೇವೆ?,Care of Weak Newborn How many underprivileged children are we losing?
Underweight children who received Supplementary Nutrition,ಪೂರಕ ಆಹಾರವನ್ನು ಪಡೆದಿರುವ ಕಡಿಮೆ ತೂಕದ ಮಕ್ಕಳು,Children with low body weight who take supplements
Identification and care of a Weak Newborn baby,ದುರ್ಬಲ ನವಜಾತ ಶಿಶುವಿನ ಗುರುತಿಸುವಿಕೆ ಮತ್ತು ಆರೈಕೆ,Identification and Care of a Vulnerable Newborn
1.2. Information from use of services.,1.2. ಸೇವೆಗಳ ಬಳಕೆಯಿಂದ ಬರುವ ಮಾಹಿತಿ.,1.2 Information from the use of services.
Please contact your respective Anganwadi Centre.,ದಯವಿಟ್ಟು ನಿಮ್ಮ ಅಂಗನವಾಡಿ ಕೇಂದ್ರವನ್ನು ಸಂಪರ್ಕಿಸಿ.,Please contact your Anganwadi Centre.
GOBARDANGA I. C. D. S PROJECT(U),ಗೋಬರ್ದಂಗ ಐಸಿಡಿಎಸ್ ಪ್ರಾಜೆಕ್ಟ್(ಯು),Gobardanga ICDS Project (U)
Please fill in the form below to create a new ticket.,ಹೊಸ ಟಿಕೆಟ್ ರಚಿಸಲು ಕೆಳಗಿನ ಫಾರ್ಮ್ ಅನ್ನು ಭರ್ತಿ ಮಾಡಿ.,Fill up the following form to create a new ticket:
Anganwadi Worker will reach out to you within 48 hours.,AWW 48 ಗಂಟೆಗಳ ಒಳಗೆ ನಿಮ್ಮನ್ನು ಸಂಪರ್ಕಿಸುತ್ತಾರೆ.,AWW will contact you within 48 hours
Please note down the ticket number for future reference.,ಭವಿಷ್ಯದ ಉಲ್ಲೇಖಕ್ಕಾಗಿ ದಯವಿಟ್ಟು ಟಿಕೆಟ್ ಸಂಖ್ಯೆ ಬರೆದಿಟ್ಟುಕೊಳ್ಳಿ.,Please note down the ticket number for future reference.
Poshan Tracker is a project of Ministry of Women and Child Development.,ಪೋಶನ್ ಟ್ರ್ಯಾಕರ್ ಮಹಿಳಾ ಮತ್ತು ಮಕ್ಕಳ ಅಭಿವೃದ್ಧಿ ಸಚಿವಾಲಯದ ಒಂದು ಯೋಜನೆಯಾಗಿದೆ.,Poshan Tracker is a scheme of the Ministry of Women and Child Development.
Digital India Corporation is the technical partner of MoWCD.,ಡಿಜಿಟಲ್ ಇಂಡಿಯಾ ಕಾರ್ಪೊರೇಷನ್ MoWCD ಯ ತಾಂತ್ರಿಕ ಪಾಲುದಾರ.,Digital India Corporation is the technology partner of MoWCD.
Poshan Tracker focuses on eradication of malnutrition from India.,ಭಾರತದಿಂದ ಅಪೌಷ್ಟಿಕತೆಯ ನಿರ್ಮೂಲನೆ ಬಗ್ಗೆ ಪೋಶನ್ ಟ್ರ್ಯಾಕರ್ ಗಮನಹರಿಸುತ್ತದೆ.,The POSHAN Tracker focuses on eradication of malnutrition from India.
It serves as a mechanism to monitor and improvise on the service delivery under Poshan Abhiyaan,ಪೋಶನ್ ಅಭಿಯಾನದ ಅಡಿಯಲ್ಲಿ ಸೇವೆಯ ನೀಡುವ ಬಗ್ಗೆ ಮೇಲ್ವಿಚಾರಣೆ ಮಾಡಲು ಮತ್ತು ಸುಧಾರಿಸಲು ಇದು ಕಾರ್ಯವಿಧಾನವಾಗಿ ಕಾರ್ಯನಿರ್ವಹಿಸುತ್ತದೆ,It functions as a mechanism to monitor and improve service delivery under POSHAN Abhiyaan
Is poshan trackers app available over Apple I Store also?,ಪೋಷಣ್ ಟ್ರ್ಯಾಕರ್ ಆಪ್ಪ್ ಆಪ್ಪಲ್ ಐ ಸ್ಟೋರ್ ನಲ್ಲೂ ಲಭ್ಯವಿದೆಯೇ?,Is the POSHAN Tracker app available on Apple App Store?
Number of records becoming inactive and number of records migrating from one category to another,ನಿಷ್ಕ್ರಿಯವಾಗುತ್ತಿರುವ ದಾಖಲೆಗಳ ಸಂಖ್ಯೆ ಮತ್ತು ಒಂದು ವರ್ಗದಿಂದ ಇನ್ನೊಂದಕ್ಕೆ ಸ್ಥಳಾಂತರಗೊಳ್ಳುವ ದಾಖಲೆಗಳ ಸಂಖ್ಯೆ,Number of dormant documents and number of documents being transferred from one category to another
In How many languages the Poshan Tracker App is available?,ಪೋಷಣ್ ಟ್ರ್ಯಾಕರ್ ಅಪ್ಲಿಕೇಶನ್ ಎಷ್ಟು ಭಾಷೆಗಳಲ್ಲಿ ಲಭ್ಯವಿದೆ?,How many languages is the POSHAN Tracker App available?
AWWs are requested to enter their mobile numbers in the Login screen.,ತಮ್ಮ ಮೊಬೈಲ್ ಸಂಖ್ಯೆಯನ್ನು ಎಡಬ್ಯುಡಬ್ಲ್ಯು ಗಳು ಲಾಗಿನ್ ಪರದೆಯಲ್ಲಿ ನಮೂದಿಸಲು ವಿನಂತಿಸಲಾಗಿದೆ.,AWWs have been requested to enter their mobile number on the login screen.
"An OTP will be sent to your registered mobile number, post which you are required too set your MPIN.","ನಿಮ್ಮ ನೋಂದಾಯಿತ ಮೊಬೈಲ್ ಸಂಖ್ಯೆಗೆ ಒಟಿಪಿ ಕಳುಹಿಸಲಾಗುವುದು, ತದನಂತರ ನೀವು ನಿಮ್ಮ ಎಮ್. ಪಿನ್ ಗೊತ್ತುಪಡಿಸಬೇಕು.","OTP will be sent to your registered mobile number, after which you will be asked to confirm your MP PIN."
Measles Containing vaccine (MCV)/MR-2JE-2**DiphtheriaPertussis & Tetanus (DPT)-Booster-1OPV –Booster,ದಡಾರ ಲಸಿಕೆ (MCV)/MR-2JE-2**ಡಿಫ್ತೀರಿಯಾಪೆರ್ಟುಸಿಸ್ ಮತ್ತು ಟೆಟನಸ್ (DPT)-ಬೂಸ್ಟರ್-1OPV-ಬೂಸ್ಟರ್,Measles-Rubella (MCV) / MR-2JE-2 * Diphtheria pertussis and Tetanus (DPT) -booster 1OPV-booster
The Poshan Tracker enables real-time monitoring and tracking of all AWCs and beneficiaries on defined indicators.,ಪೋಶನ್ ಟ್ರ್ಯಾಕರ್ ಎಲ್ಲಾ AWCಗಳು ಮತ್ತು ಫಲಾನುಭವಿಗಳನ್ನು ವ್ಯಾಖ್ಯಾನಿಸಲಾದ ಸೂಚಕಗಳಲ್ಲಿ ನೈಜ-ಸಮಯದ ಮೇಲ್ವಿಚಾರಣೆ ಮತ್ತು ಟ್ರ್ಯಾಕಿಂಗ್ ಅನ್ನು ಸಕ್ರಿಯಗೊಳಿಸುತ್ತದೆ.,The POSHAN tracker enables real-time monitoring and tracking of all AWCs and beneficiaries on defined indicators
It is built using centralized data architecture that also aligns with the digital technology systems of other ministries and programs.,"ಇದು ಕೇಂದ್ರೀಕೃತ ಡೇಟಾ ಆರ್ಕಿಟೆಕ್ಚರ್ ಅನ್ನು ಬಳಸಿಕೊಂಡು ನಿರ್ಮಿಸಲಾಗಿದೆ, ಇದು ಇತರ ಸಚಿವಾಲಯಗಳು ಮತ್ತು ವಿನ್ಯಾಸ ಕಾರ್ಯಕ್ರಮಗಳ ಡಿಜಿಟಲ್ ತಂತ್ರಜ್ಞಾನ ವ್ಯವಸ್ಥೆಗಳೊಂದಿಗೆ ಹೊಂದಾಣಿಕೆಯಾಗುತ್ತದೆ.",It is built using a centralised data architecture that aligns with digital technology systems of other ministries and design programs.
The public dashboard helps to impart transparency on services delivered to beneficiaries,ಸಾರ್ವಜನಿಕ ಡ್ಯಾಶ್ಬೋರ್ಡ್ ಫಲಾನುಭವಿಗಳಿಗೆ ನೀಡುವ ಸೇವೆಗಳಲ್ಲಿ ಪಾರದರ್ಶಕತೆಯನ್ನು ಒದಗಿಸಲು ಸಹಾಯ ಮಾಡುತ್ತದೆ,The Public Dashboard will help in providing transparency in services to beneficiaries
Translations on the Poshan Tracker Portal & App Chabot are done by third party translators.,ಪೋಷನ್ ಟ್ರ್ಯಾಕರ್ ಪೋರ್ಟಲ್ ಮತ್ತು ಚಾಬೊಟ್ ಅಪ್ಲಿಕೇಶನ್ ಅನ್ನು ಥರ್ಡ್ ಪಾರ್ಟಿ ಅನುವಾದಕರು ಅನುವಾದಿಸಿದ್ದಾರೆ.,The Poshan Tracker portal and Chabot app have been translated by third party translators.
"While the translations are done on a best effort basis, some of the parts may be incorrect.","ಅನುವಾದಗಳನ್ನು ಅತ್ಯುತ್ತಮ ಪ್ರಯತ್ನದ ಆಧಾರದ ಮೇಲೆ ಮಾಡಲಾಗಿದ್ದರೂ, ಕೆಲವು ಭಾಗಗಳು ತಪ್ಪಾಗಿರಬಹುದು.","While the translations are based on best effort, some parts may be wrong."
Certain files and other items on the website cannot be translated.,ವೆಬ್ಸೈಟ್ನಲ್ಲಿರುವ ಕೆಲವು ಫೈಲ್ಗಳು ಮತ್ತು ಇತರ ಐಟಂಗಳನ್ನು ಅನುವಾದಿಸಲಾಗುವುದಿಲ್ಲ.,Some of the files and other items on the website cannot be translated.
"In addition, on translation, some applications and/or services may not function as expected, due to language barriers.","ಹೆಚ್ಚುವರಿಯಾಗಿ, ಅನುವಾದದ ನಂತರ, ಭಾಷೆಯ ನಿರ್ಬಂಧಗಳ ಕಾರಣದಿಂದಾಗಿ ಕೆಲವು ಅಪ್ಲಿಕೇಶನ್ಗಳು ಮತ್ತು/ಅಥವಾ ಸೇವೆಗಳು ನಿರೀಕ್ಷೆಯಂತೆ ಕಾರ್ಯನಿರ್ವಹಿಸುವುದಿಲ್ಲ.","Additionally, after translation, some apps and / or services do not work as expected due to language restrictions."
"We are working constantly to rectify any errors, omissions, or ambiguities in the translations provided on this portal.","ಈ ಪೋರ್ಟಲ್ನಲ್ಲಿ ಒದಗಿಸಲಾದ ಅನುವಾದಗಳಲ್ಲಿನ ಯಾವುದೇ ದೋಷಗಳು, ಲೋಪಗಳು ಅಥವಾ ಅಸ್ಪಷ್ಟತೆಗಳನ್ನು ಸರಿಪಡಿಸಲು ನಾವು ನಿರಂತರವಾಗಿ ಕಾರ್ಯನಿರ್ವಹಿಸುತ್ತಿದ್ದೇವೆ.","We are continuously working to rectify any errors, errors or ambiguities in the translations provided on this portal"
