eng,pa,indic_trans_translated
"We may investigate any violation of these Terms, including unauthorized use of the Site.",ਅਸੀਂ ਸਾਈਟ ਦੀ ਅਣਅਧਿਕਾਰਤ ਵਰਤੋਂ ਸਮੇਤ ਇਹਨਾਂ ਨਿਯਮਾਂ ਦੀ ਕਿਸੇ ਵੀ ਉਲੰਘਣਾ ਦੀ ਜਾਂਚ ਕਰ ਸਕਦੇ ਹਾਂ।,"We can investigate any violation of these rules, including unauthorized use of the site."
We may provide law enforcement with information you provide to us related to your transactions to assist in any investigation or prosecution of you.,ਅਸੀਂ ਤੁਹਾਡੀ ਕਿਸੇ ਵੀ ਜਾਂਚ ਜਾਂ ਮੁਕੱਦਮੇ ਵਿੱਚ ਸਹਾਇਤਾ ਕਰਨ ਲਈ ਤੁਹਾਡੇ ਲੈਣ-ਦੇਣ ਨਾਲ ਸਬੰਧਤ ਤੁਹਾਡੇ ਦੁਆਰਾ ਪ੍ਰਦਾਨ ਕੀਤੀ ਜਾਣਕਾਰੀ ਕਾਨੂੰਨ ਦੀ ਪਾਲਣਾ ਲਈ ਦੇ ਸਕਦੇ ਹਾਂ।,We can provide the information you provide related to your transactions to help you in any investigation or litigation to comply with the law.
We may take legal action that we feel is appropriate.,ਜੇ ਸਾਨੂੰ ਉਚਿਤ ਲੱਗਦਾ ਹੈ ਤਾਂ ਅਸੀਂ ਕਾਨੂੰਨੀ ਕਾਰਵਾਈ ਕਰ ਸਕਦੇ ਹਾਂ।,"If we find it appropriate, we can take legal action."
Poshan Calculator helps to identify various health conditions of the child as per World Health Organization (WHO) standards,ਪੋਸਨ ਕੈਲਕੁਲੇਟਰ ਵਿਸਵ ਸਿਹਤ ਸੰਗਠਨ (ਡਬਲਯੂਐਚਓ) ਦੇ ਮਾਪਦੰਡਾਂ ਅਨੁਸਾਰ ਬੱਚੇ ਦੀਆਂ ਵੱਖ-ਵੱਖ ਸਿਹਤ ਸਥਿਤੀਆਂ ਦੀ ਪਛਾਣ ਕਰਨ ਵਿੱਚ ਮਦਦ ਕਰਦਾ ਹੈ,The POSON calculator helps in identifying different health conditions of the child as per World Health Organization (WHO) norms
How to take care of weak newborn with the help of Kangaroo Mother Care,ਕੰਗਾਰੂ ਮਦਰ ਕੇਅਰ ਦੀ ਮਦਦ ਨਾਲ ਕਮਜੋਰ ਨਵਜੰਮੇ ਬੱਚੇ ਦੀ ਦੇਖਭਾਲ ਕਿਵੇਂ ਕਰੀਏ,How to take care of a weak newborn with the help of Kangaroo Mother Care
"Any liabilities civil or criminal, arising out of any incorrect data, shall solely lie with the concerned ASP.","ਕੋਈ ਵੀ ਗਲਤ ਅੰਕੜਿਆਂ ਤੋਂ ਪੈਦਾ ਹੋਣ ਵਾਲੀ ਕੋਈ ਵੀ ਸਮਾਜਿਕ ਜਾਂ ਅਪਰਾਧਿਕ ਦੇਣਦਾਰੀ, ਸਿਰਫ ਸਬੰਧਤ ਏਐਸਪੀ ਦੀ ਹੀ ਹੋਵੇਗੀ।",Any social or criminal liability arising out of any incorrect data shall be the liability of the concerned ASP only.
Poshan Tracker App is available over Google playstore https://play. google. com/store/apps/details?,ਪੋਸਣ ਟ੍ਰੈਕਰ ਐਪ ਗੂਗਲ ਪਲੇਸਟੋਰ https://play.google.com /store/apps/details?,The POSHAN Tracker app is available on Google Playstore https: / / play.google.com / store / apps / details? id = html
Can App be accessed without internet?,ਕੀ ਐਪ ਨੂੰ ਇੰਟਰਨੈਟ ਤੋਂ ਬਿਨਾਂ ਚਲਾਇਆ ਜਾ ਸਕਦਾ ਹੈ?,Can the app be operated without internet?
The Government has taken several initiatives to break the intergenerational cycle of malnutrition in children.,ਬੱਚਿਆਂ ਵਿੱਚ ਕੁਪੋਸਣ ਦੇ ਅੰਤਰ-ਜਨਮ ਚੱਕਰ ਨੂੰ ਤੋੜਨ ਲਈ ਸਰਕਾਰ ਨੇ ਕਈ ਉਪਰਾਲੇ ਕੀਤੇ ਹਨ।,The Government has taken a number of initiatives to break the cycle of under-nutrition among children.
"Adopting a life-cycle approach, interventions have been designed to meet the nutritional requirement of adolescent girls and boys, pregnant women, lactating mothers and children.","ਜੀਵਨ-ਚੱਕਰ ਦੀ ਪਹੁੰਚ ਅਪਣਾਉਂਦਿਆਂ, ਦਖਲਅੰਦਾਜੀ ਅੱਲ੍ਹੜ ਉਮਰ ਦੀਆਂ ਲੜਕੀਆਂ ਅਤੇ ਮੁੰਡਿਆਂ, ਗਰਭਵਤੀ ,ਰਤਾਂ, ਦੁੱਧ ਚੁੰਘਾਉਣ ਵਾਲੀਆਂ ਮਾਵਾਂ ਅਤੇ ਬੱਚਿਆਂ ਦੀ ਪੋਸਣ ਸੰਬੰਧੀ ਜਰੂਰਤ ਨੂੰ ਪੂਰਾ ਕਰਨ ਲਈ ਤਿਆਰ ਕੀਤੀ ਗਈ ਹੈ.","Adopting a life-cycle approach, the intervention is designed to meet the nutritional needs of adolescent girls and boys, pregnant women, lactating mothers and children."
Awareness for Pregnancy in Preventing Anemia,ਅਨੀਮੀਆ ਨੂੰ ਰੋਕਣ ਲਈ ਗਰਭ ਅਵਸਥਾ ਬਾਰੇ ਜਾਗਰੂਕਤਾ,Awareness about pregnancy to prevent anaemia
"Howrah North (U) I. C. D. S. Project, Howrah","ਹਾਵੜਾ ਉੱਤਰੀ (ਯੂ) ਆਈਸੀਡੀਐਸ.ਪ੍ਰੋਜੈਕਟ, ਹਾਵੜਾ","Howrah North (U) ICDS Project, Howrah"
Birth Preparedness- For Institutional and Home Delivery,ਜਨਮ ਦੀ ਤਿਆਰੀ- ਸੰਸਥਾਗਤ ਅਤੇ ਹੋਮ ਡਿਲਿਵਰੀ ਲਈ,Birth Preparation - For Institutional and Home Delivery
New beneficiary addition with skip OTP option,OTP ਛੱਡੋ ਵਿਕਲਪ ਦੇ ਨਾਲ ਨਵਾਂ ਲਾਭਪਾਤਰੀ ਐਡੀਸਨ,New Beneficiary Edition with OTP Skip option
We are now available on Video Conference,ਅਸੀਂ ਹੁਣ ਵੀਡੀਓ ਕਾਨਫਰੰਸ 'ਤੇ ਉਪਲਬਧ ਹਾਂ,We are now available on video conference
"Poshan Tracker App is meant for Aanganwadi workers, Anganwadi centers to enter beneficiaries data in the forms.It is not at all developed for general public.","ਪੋਸਣ ਟ੍ਰੈਕਰ ਐਪ ਦਾ ਅਰਥ ਆਂਗਣਵਾੜੀ ਵਰਕਰਾਂ ਲਈ ਹੈ, ਆਂਗਣਵਾੜੀ ਕੇਂਦਰਾਂ ਵਿੱਚ ਲਾਭਪਾਤਰੀਆਂ ਦੇ ਫਾਰਮ ਦਾਖਲ ਕਰਨ ਲਈ ਇਹ ਆਮ ਲੋਕਾਂ ਲਈ ਬਿਲਕੁਲ ਵਿਕਸਤ ਨਹੀਂ ਹੈ।","POSHAN tracker app, meant for Anganwadi workers, is not at all developed for the general public to fill up beneficiary forms in Anganwadi Centres."
Swastha Balak/Balika Spardha Mission is about celebrating the health of children in India.,Swastha Balak/Balika Spardha Mission is about celebrating the health of children in India.,Swastha Balak / Balika Spardha Mission is about celebrating the health of children in India.
It entails identification and awareness of health conditions and providing necessary support wherever required.,It entails identification and awareness of health conditions and providing necessary support wherever required.,It indicates identification and awareness of health conditions and providing adequate support wherever required.
”Our Privacy Policy applies when you use our Services (described below).,"""Our Privacy Policy applies when you use our Services (described below).",Our Privacy Policy applications when you use our Services (described below).
"This Privacy Policy is meant to help you understand what information we collect, why we collect it, and how it is used and shared.","This Privacy Policy is meant to help you understand what information we collect, why we collect it, and how it is used and shared.","This Privacy Policy is meant to help you understand what information we collect, why we collect it, and how it is used and shared."
The collecting and retaining agency in respect of your information is Ministry of Women and Child Development.,The collecting and retaining agency in respect of your information is Ministry of Women and Child Development.,The collecting and retaining agency in respect of your information is Ministry of Women and Child Development.
We are committed to protecting the security of your personal information and safeguarding your privacy.,We are committed to protecting the security of your personal information and safeguarding your privacy.,We are committed to protect the security of your personal information and protecting your privacy.
How to revive your health if you are Underweight,ਜੇਕਰ ਤੁਹਾਡਾ ਭਾਰ ਘੱਟ ਹੈ ਤਾਂ ਆਪਣੀ ਸਿਹਤ ਨੂੰ ਕਿਵੇਂ ਠੀਕ ਕਰਨਾ ਹੈ,How to maintain your health if you are underweight
Can a beneficiary change his/her AWC?,ਕੀ ਕੋਈ ਲਾਭਪਾਤਰੀ ਆਪਣਾ ਆਂਗਨਵਾੜੀ ਸੈਂਟਰ ਬਦਲ ਸਕਦਾ ਹੈ?,Can a beneficiary change his Anganwadi Centre?
"We use the information we have, to help verify accounts.",ਅਸੀਂ ਖਾਤੇ ਦੀ ਪੁਸਟੀ ਕਰਨ ਵਿੱਚ ਮਦਦ ਕਰਨ ਲਈ ਸਾਡੇ ਕੋਲ ਮੌਜੂਦ ਜਾਣਕਾਰੀ ਦੀ ਵਰਤੋਂ ਕਰਦੇ ਹਾਂ।,We use the information we have to help us validate the account.
The records may be used for verification of health status for the purposes of Poshan Tracker control and response.,ਰਿਕਾਰਡਾਂ ਦੀ ਵਰਤੋਂ ਪੋਸਨ ਟਰੈਕਰ ਨਿਯੰਤਰਣ ਅਤੇ ਜਵਾਬ ਦੇ ਉਦੇਸਾਂ ਲਈ ਸਿਹਤ ਸਥਿਤੀ ਦੀ ਪੁਸਟੀ ਲਈ ਕੀਤੀ ਜਾ ਸਕਦੀ ਹੈ।,The records can be used to establish a health status for the purposes of posse tracker control and response.
Scan the QR Code to Download the App,ਐਪ ਨੂੰ ਡਾਊਨਲੋਡ ਕਰਨ ਲਈ ਕਿਊਆਰ ਕੋਡ ਨੂੰ ਸਕੈਨ ਕਰੋ,Scan the QR code to download the app
Who is eligible for Hot Cooked Meal?,ਗਰਮ ਪਕਾਏ ਹੋਏ ਭੋਜਨ ਲਈ ਕੌਣ ਯੋਗ ਹੈ?,Who is eligible for hot cooked meals?
Identifying and preventing Severe Acute Malnutrition,ਗੰਭੀਰ ਤੀਬਰ ਕੁਪੋਸਣ ਦੀ ਪਛਾਣ ਕਰਨਾ ਅਤੇ ਰੋਕਣਾ,Identification and Prevention of Severe Acute Malnutrition
Children who are identified as deficit on nutrition are eligible for additional food supplements.,"ਜਿਹੜੇ ਬੱਚੇ ਪੋਸਣ ਦੀ ਘਾਟ ਵਜੋਂ ਪਛਾਣੇ ਗਏ ਹਨ, ਉਹ ਵਾਧੂ ਪੂਰਕ ਆਹਾਰ ਲਈ ਯੋਗ ਹਨ।",Children identified as undernourished are eligible for additional supplemental diet.
Who is eligible for additional supplementary food.,ਕੌਣ ਵਾਧੂ ਪੂਰਕ ਆਹਾਰ ਲਈ ਯੋਗ ਹੈ।,Who is eligible for supplementary nutrition.
"Uploading of Data of Anganwadi Services Schemes in Poshan Tracker (24 May, 2021)","ਪੋਸਨ ਟ੍ਰੈਕਰ ਵਿੱਚ ਆਂਗਣਵਾੜੀ ਸੇਵਾਵਾਂ ਸਕੀਮਾਂ ਦਾ ਡਾਟਾ ਅਪਲੋਡ ਕਰਨਾ (24 ਮਈ, 2021)","Uploading data of Anganwadi Services Schemes to POSON Tracker (May 24, 2021)"
Children between 6 months - 3 years,6 ਮਹੀਨੇ ਤੋਂ 3 ਸਾਲ ਦੇ ਵਿਚਕਾਰ ਦੇ ਬੱਚੇ,Children in the age group of 6 months to 3 years
"Ministry of Women and Child Development, Government of India, Shastri Bhawan, New Delhi","ਮਹਿਲਾ ਅਤੇ ਬਾਲ ਵਿਕਾਸ ਮੰਤਰਾਲਾ, ਭਾਰਤ ਸਰਕਾਰ, ਸਾਸਤਰੀ ਭਵਨ, ਨਵੀਂ ਦਿੱਲੀ","Ministry of Women and Child Development, Government of India, Shastri Bhawan, New Delhi"
Care of the weak newborn baby - How many weak babies are we missing?,ਕਮਜੋਰ ਨਵਜੰਮੇ ਬੱਚੇ ਦੀ ਦੇਖਭਾਲ - ਅਸੀਂ ਕਿੰਨੇ ਕਮਜੋਰ ਬੱਚੇ ਗੁਆ ਰਹੇ ਹਾਂ?,Care of Weak Newborn How many Weaker Children are we losing?
Underweight children who received Supplementary Nutrition,ਘੱਟ ਵਜਨ ਵਾਲੇ ਬੱਚੇ ਜਿਨ੍ਹਾਂ ਨੇ ਪੂਰਕ ਆਹਾਰ ਪ੍ਰਾਪਤ ਕੀਤਾ,Children with low birth weight who received supplementary nutrition
This defense and indemnification obligation will survive this Agreement and your use of the Service and Website/App.,ਇਹ ਬਚਾਅ ਅਤੇ ਮੁਆਵਜੇ ਦੀ ਜਿੰਮੇਵਾਰੀ ਇਸ ਸਮਝੌਤੇ ਅਤੇ ਤੁਹਾਡੀ ਸੇਵਾ ਅਤੇ ਵੈੱਬਸਾਈਟ/ਐਪ ਦੀ ਵਰਤੋਂ ਤੋਂ ਬਚੇਗੀ।,This protection and compensation liability will avoid this agreement and the use of your service and website / app.
Identification and care of a Weak Newborn baby,ਕਮਜੋਰ ਨਵਜੰਮੇ ਬੱਚੇ ਦੀ ਪਛਾਣ ਅਤੇ ਦੇਖਭਾਲ,Identification and Care of a Vulnerable Newborn
1.2. Information from use of services.,1.2. ਸੇਵਾਵਾਂ ਦੀ ਵਰਤੋਂ ਤੋਂ ਜਾਣਕਾਰੀ।,1.2 Information on use of services.
Please contact your respective Anganwadi Centre.,ਕਿਰਪਾ ਕਰਕੇ ਆਪਣੇ ਸਬੰਧਤ ਆਂਗਣਵਾੜੀ ਕੇਂਦਰ ਨਾਲ ਸੰਪਰਕ ਕਰੋ।,Please contact your respective Anganwadi Centre.
GOBARDANGA I. C. D. S PROJECT(U),ਗੋਬਰਦਾਂਗਾ ਆਈ. ਸੀ. ਡੀ. ਐਸ ਪ੍ਰੋਜੈਕਟ (ਯੂ),Gobardanga ICDS Project (U)
Please fill in the form below to create a new ticket.,ਕਿਰਪਾ ਕਰਕੇ ਨਵੀਂ ਟਿਕਟ ਬਣਾਉਣ ਲਈ ਹੇਠਾਂ ਦਿੱਤੇ ਫਾਰਮ ਨੂੰ ਭਰੋ।,Please fill out the form below to get a new ticket.
Anganwadi Worker will reach out to you within 48 hours.,ਆਂਗਣਵਾੜੀ ਵਰਕਰ 48 ਘੰਟਿਆਂ ਦੇ ਅੰਦਰ ਤੁਹਾਡੇ ਨਾਲ ਸੰਪਰਕ ਕਰੇਗੀ।,Anganwadi workers will contact you within 48 hours.
Please note down the ticket number for future reference.,ਭਵਿੱਖ ਦੇ ਸੰਦਰਭ ਲਈ ਕਿਰਪਾ ਕਰਕੇ ਟਿਕਟ ਨੰਬਰ ਨੋਟ ਕਰੋ।,Please note down the ticket number for future reference.
Poshan Tracker is a project of Ministry of Women and Child Development.,ਪੋਸਨ ਟ੍ਰੈਕਰ ਮਹਿਲਾ ਅਤੇ ਬਾਲ ਵਿਕਾਸ ਮੰਤਰਾਲੇ ਦਾ ਪ੍ਰੋਜੈਕਟ ਹੈ।,POSON Tracker is a project of the Ministry of Women and Child Development.
Digital India Corporation is the technical partner of MoWCD.,ਡਿਜੀਟਲ ਇੰਡੀਆ ਕਾਰਪੋਰੇਸਨ MoWCD ਦਾ ਤਕਨੀਕੀ ਭਾਈਵਾਲ ਹੈ।,Digital India Corporation is the technical partner of MoWCD.
Poshan Tracker focuses on eradication of malnutrition from India.,ਪੋਸਨ ਟ੍ਰੈਕਰ ਭਾਰਤ ਵਿੱਚੋਂ ਕੁਪੋਸਣ ਦੇ ਖਾਤਮੇ 'ਤੇ ਕੇਂਦਰਿਤ ਹੈ।,POSON Tracker focuses on elimination of Kuposhan from India.
It serves as a mechanism to monitor and improvise on the service delivery under Poshan Abhiyaan,ਇਹ ਪੋਸਣ ਅਭਿਆਨ ਅਧੀਨ ਸੇਵਾ ਪ੍ਰਦਾਨ ਕਰਨ ਦੀ ਨਿਗਰਾਨੀ ਅਤੇ ਸੁਧਾਰਨ ਦੀ ਵਿਧੀ ਵਜੋਂ ਕੰਮ ਕਰਦਾ ਹੈ,It acts as a mechanism for monitoring and improving service delivery under POSHAN Abhiyaan
Is poshan trackers app available over Apple I Store also?,ਕੀ ਪੋਸਣ ਟ੍ਰੈਕਰ ਐਪ ਐਪਲ ਆਈ ਸਟੋਰ ਉੱਤੇ ਵੀ ਉਪਲਬਧ ਹੈ?,Is the Poshan Tracker app also available on Apple App Store?
Number of records becoming inactive and number of records migrating from one category to another,ਕਈ ਰਿਕਾਰਡਾਂ ਦਾ ਅਕਿਰਿਆਸੀਲ ਹੋਣਾ ਅਤੇ ਕਈ ਰਿਕਾਰਡਾਂ ਦਾ ਇੱਕ ਸ੍ਰੇਣੀ ਤੋਂ ਦੂਸਰੀ ਵਿੱਚ ਬਦਲਣਾ,Inactivation of multiple records and conversion of multiple records from one category to another
In How many languages the Poshan Tracker App is available?,ਪੋਸਣ ਟ੍ਰੈਕਰ ਐਪ ਕਿੰਨੀ ਭਾਸਾਵਾਂ ਵਿੱਚ ਉਪਲਬਧ ਹੈ?,Poshan Tracker App is available in how many languages?
AWWs are requested to enter their mobile numbers in the Login screen.,ਏਡਬਲਯੂਡਬਲਯੂ ਨੂੰ ਬੇਨਤੀ ਕੀਤੀ ਜਾਂਦੀ ਹੈ ਕਿ ਉਹ ਆਪਣੇ ਮੋਬਾਈਲ ਨੰਬਰ ਲੌਗਿਨ ਸਕ੍ਰੀਨ ਵਿੱਚ ਦਾਖਲ ਕਰਨ।,AWWs are requested to enter their mobile number in the login screen.
"An OTP will be sent to your registered mobile number, post which you are required too set your MPIN.",ਇੱਕ ਓਟੀਪੀ ਤੁਹਾਡੇ ਰਜਿਸਟਰ ਕੀਤੇ ਮੋਬਾਈਲ ਨੰਬਰ ਤੇ ਭੇਜਿਆ ਜਾਏਗਾ ਜਿਸਦੀ ਤੁਹਾਨੂੰ ਆਪਣੀ ਐਮਪੀ ਆਈਐਨ ਨਿਰਧਾਰਤ ਕਰਨ ਦੀ ਜਰੂਰਤ ਹੈ।,"An OTP will be sent to your registered mobile number, which you need to specify as MP IN."
Measles Containing vaccine (MCV)/MR-2JE-2**DiphtheriaPertussis & Tetanus (DPT)-Booster-1OPV –Booster,ਖਸਰੇ ਵਾਲੀ ਵੈਕਸੀਨ (ਐਮਸੀਵੀ)/ਐਮਆਰ-2ਜੇਈ-2**ਡਿਪਥੀਰੀਆਪਰਟੂਸਿਸ ਅਤੇ ਟੈਟਨਸ (ਡੀਪੀਟੀ)-ਬੂਸਟਰ-1ਓਪੀਵੀ - ਬੂਸਟਰ,Measles Vaccine (MCV) / MR-2JE-2 * Diphtheria pertussis and Tetanus (DPT) - booster 1 OPV - booster
The Poshan Tracker enables real-time monitoring and tracking of all AWCs and beneficiaries on defined indicators.,ਪੋਸਣ ਟਰੈਕਰ ਪਰਿਭਾਸਿਤ ਸੂਚਕਾਂ 'ਤੇ ਸਾਰੇ ਆਂਗਣਵਾੜੀ ਕੇਂਦਰਾਂ(AWCs) ਅਤੇ ਲਾਭਪਾਤਰੀਆਂ ਦੀ ਅਸਲ-ਸਮੇਂ ਦੀ ਨਿਗਰਾਨੀ ਅਤੇ ਟਰੈਕਿੰਗ ਨੂੰ ਸਮਰੱਥ ਬਣਾਉਂਦਾ ਹੈ।,POSHAN tracker enables real time monitoring and tracking of all Anganwadi Centres (AWCs) and beneficiaries on defined indicators.
It is built using centralized data architecture that also aligns with the digital technology systems of other ministries and programs.,ਇਹ ਕੇਂਦਰੀਕ੍ਰਿਤ ਡਾਟਾ ਆਰਕੀਟੈਕਚਰ ਦੀ ਵਰਤੋਂ ਕਰਕੇ ਬਣਾਇਆ ਗਿਆ ਹੈ ਜੋ ਦੂਜੇ ਮੰਤਰਾਲਿਆਂ ਅਤੇ ਪ੍ਰੋਗਰਾਮਾਂ ਦੇ ਡਿਜੀਟਲ ਤਕਨਾਲੋਜੀ ਪ੍ਰਣਾਲੀਆਂ ਨਾਲ ਵੀ ਮੇਲ ਖਾਂਦਾ ਹੈ।,It has been created using centralized data architecture which is also compatible with digital technology systems of other Ministries and programmes.
The public dashboard helps to impart transparency on services delivered to beneficiaries,ਪਬਲਿਕ ਡੈਸਬੋਰਡ ਲਾਭਪਾਤਰੀਆਂ ਨੂੰ ਦਿੱਤੀਆਂ ਜਾਣ ਵਾਲੀਆਂ ਸੇਵਾਵਾਂ 'ਤੇ ਪਾਰਦਰਸਤਾ ਪ੍ਰਦਾਨ ਕਰਨ ਵਿੱਚ ਮਦਦ ਕਰਦਾ ਹੈ,Public Dashboard helps in providing transparency on services provided to beneficiaries
Translations on the Poshan Tracker Portal & App Chabot are done by third party translators.,ਪੋਸਣ ਟਰੈਕਰ ਪੋਰਟਲ ਅਤੇ ਐਪ ਚੈਬੋਟ 'ਤੇ ਅਨੁਵਾਦ ਤੀਜੀ ਧਿਰ ਦੇ ਅਨੁਵਾਦਕਾਂ ਦੁਆਰਾ ਕੀਤੇ ਜਾਂਦੇ ਹਨ।,Translations on the Poshan Tracker Portal and App Chabot are done by third party translators.
